state,district,year,horse_gram_kharif_yield_tonne_per_hectare
,,2017 - 2018,0.9
,,2018 - 2019,0.98
,,2019 - 2020,0.94
,,2020 - 2021,1.09
,,2021 - 2022,1.24
,,2022 - 2023,1.09
,Bageshwar,2000 - 2001,0.75
,,2001 - 2002,0.53
,,2002 - 2003,0.6
,,2003 - 2004,0.73
,,2004 - 2005,0.7
,,2005 - 2006,0.59
,,2006 - 2007,0.82
,,2007 - 2008,0.94
,,2008 - 2009,0.95
,,2009 - 2010,0.87
,,2010 - 2011,0.91
,,2011 - 2012,0.86
,,2012 - 2013,0.83
,,2013 - 2014,0.51
,,2014 - 2015,0.52
,,2015 - 2016,0.81
,,2016 - 2017,0.79
,,2017 - 2018,0.79
,,2018 - 2019,0.78
,,2019 - 2020,0.94
,,2020 - 2021,1.09
,,2021 - 2022,1.24
,,2022 - 2023,1.09
,Chamoli,2000 - 2001,0.6
,,2001 - 2002,0.55
,,2002 - 2003,0.55
,,2003 - 2004,0.84
,,2004 - 2005,0.75
,,2005 - 2006,0.77
,,2006 - 2007,0.52
,,2007 - 2008,0.73
,,2008 - 2009,0.73
,,2009 - 2010,0.52
,,2010 - 2011,1.04
,,2011 - 2012,0.86
,,2012 - 2013,1.08
,,2013 - 2014,0.82
,,2014 - 2015,0.69
,,2015 - 2016,0.91
,,2016 - 2017,0.84
,,2017 - 2018,0.86
,,2018 - 2019,0.88
,,2019 - 2020,0.98
,,2020 - 2021,0.98
,,2021 - 2022,1.02
,,2022 - 2023,0.77
,Champawat,2000 - 2001,0.5
,,2003 - 2004,0.77
,,2004 - 2005,0.71
,,2005 - 2006,0.63
,,2006 - 2007,0.6
,,2007 - 2008,0.55
,,2008 - 2009,0.55
,,2009 - 2010,0.55
,,2010 - 2011,0.6
,,2011 - 2012,0.58
,,2012 - 2013,0.58
,,2013 - 2014,0.58
,,2014 - 2015,1.15
,,2015 - 2016,1.37
,,2016 - 2017,0.9
,,2017 - 2018,1.08
,,2018 - 2019,0.94
,,2019 - 2020,0.99
,,2020 - 2021,1.25
,,2021 - 2022,1.16
,,2022 - 2023,1.29
,Dehradun,2000 - 2001,0.51
,,2001 - 2002,0.45
,,2002 - 2003,0.48
,,2003 - 2004,0.73
,,2004 - 2005,0.75
,,2005 - 2006,0.62
,,2006 - 2007,0.63
,,2007 - 2008,0.95
,,2008 - 2009,0.95
,,2009 - 2010,0.95
,,2010 - 2011,0.85
,,2011 - 2012,0.75
,,2012 - 2013,0.46
,,2013 - 2014,0.45
,,2014 - 2015,0.87
,,2015 - 2016,0.96
,,2016 - 2017,0.8
,,2017 - 2018,1.03
,,2018 - 2019,0.97
,,2019 - 2020,1.03
,,2020 - 2021,1.19
,,2021 - 2022,1.02
,,2022 - 2023,1.06
,Nainital,2000 - 2001,0.53
,,2001 - 2002,0.5
,,2002 - 2003,0.48
,,2003 - 2004,0.73
,,2004 - 2005,0.7
,,2005 - 2006,0.58
,,2006 - 2007,0.68
,,2007 - 2008,0.75
,,2008 - 2009,0.75
,,2009 - 2010,0.75
,,2010 - 2011,0.76
,,2011 - 2012,0.76
,,2012 - 2013,0.75
,,2013 - 2014,0.7
,,2014 - 2015,0.84
,,2015 - 2016,0.74
,,2016 - 2017,0.93
,,2017 - 2018,1.05
,,2018 - 2019,0.9
,,2019 - 2020,0.99
,,2020 - 2021,1.2
,,2021 - 2022,0.88
,,2022 - 2023,0.9
,Pauri garhwal,2000 - 2001,0.55
,,2001 - 2002,0.5
,,2002 - 2003,0.47
,,2003 - 2004,0.62
,,2004 - 2005,0.72
,,2005 - 2006,0.66
,,2006 - 2007,0.7
,,2007 - 2008,0.81
,,2008 - 2009,0.81
,,2009 - 2010,0.36
,,2010 - 2011,0.76
,,2011 - 2012,0.7
,,2012 - 2013,0.59
,,2013 - 2014,0.72
,,2014 - 2015,0.67
,,2015 - 2016,0.8
,,2016 - 2017,0.6
,,2017 - 2018,0.54
,,2018 - 2019,0.8
,,2019 - 2020,0.76
,,2020 - 2021,0.62
,,2021 - 2022,0.82
,,2022 - 2023,0.59
,Pithoragarh,2000 - 2001,0.6
,,2002 - 2003,0.55
,,2003 - 2004,0.81
,,2004 - 2005,0.74
,,2005 - 2006,0.89
,,2006 - 2007,0.82
,,2007 - 2008,0.81
,,2008 - 2009,0.81
,,2009 - 2010,0.94
,,2010 - 2011,1.31
,,2011 - 2012,1.21
,,2012 - 2013,1.44
,,2013 - 2014,1.43
,,2014 - 2015,0.88
,,2015 - 2016,1.12
,,2016 - 2017,0.83
,,2017 - 2018,1.19
,,2018 - 2019,0.97
,,2019 - 2020,1.19
,,2020 - 2021,0.95
,,2021 - 2022,1.45
,,2022 - 2023,1.23
,Rudra prayag,2000 - 2001,0.5
,,2001 - 2002,0.45
,,2002 - 2003,0.45
,,2003 - 2004,0.69
,,2004 - 2005,0.75
,,2005 - 2006,0.58
,,2006 - 2007,0.67
,,2007 - 2008,0.31
,,2008 - 2009,0.3
,,2009 - 2010,0.39
,,2010 - 2011,0.7
,,2011 - 2012,1.02
,,2012 - 2013,0.53
,,2013 - 2014,0.61
,,2014 - 2015,0.64
,,2015 - 2016,0.74
,,2016 - 2017,0.97
,,2017 - 2018,0.97
,,2018 - 2019,0.97
,,2019 - 2020,0.75
,,2020 - 2021,0.62
,,2021 - 2022,0.82
,,2022 - 2023,0.77
,Tehri garhwal,2000 - 2001,0.42
,,2001 - 2002,0.31
,,2002 - 2003,0.41
,,2003 - 2004,0.8
,,2004 - 2005,0.7
,,2005 - 2006,0.51
,,2006 - 2007,0.65
,,2007 - 2008,0.75
,,2008 - 2009,0.75
,,2009 - 2010,0.57
,,2010 - 2011,0.76
,,2011 - 2012,0.82
,,2012 - 2013,0.88
,,2013 - 2014,0.78
,,2014 - 2015,0.76
,,2015 - 2016,0.83
,,2016 - 2017,0.94
,,2017 - 2018,0.65
,,2018 - 2019,0.87
,,2019 - 2020,0.92
,,2020 - 2021,0.97
,,2021 - 2022,1.0
,,2022 - 2023,0.79
,Uttar kashi,2000 - 2001,0.6
,,2001 - 2002,0.5
,,2002 - 2003,0.48
,,2003 - 2004,0.72
,,2004 - 2005,0.75
,,2005 - 2006,0.62
,,2006 - 2007,0.8
,,2007 - 2008,0.86
,,2008 - 2009,0.86
,,2009 - 2010,0.48
,,2010 - 2011,0.92
,,2011 - 2012,0.97
,,2012 - 2013,0.9
,,2013 - 2014,1.37
,,2014 - 2015,1.03
,,2015 - 2016,0.74
,,2016 - 2017,0.76
,,2017 - 2018,1.1
,,2018 - 2019,0.68
,,2019 - 2020,0.76
,,2020 - 2021,0.7
,,2021 - 2022,0.95
,,2022 - 2023,0.89
West Bengal,Alipurduar,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bankura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.59
,,2011 - 2012,0.41
,,2012 - 2013,0.52
,,2013 - 2014,0.48
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Birbhum,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.41
,,2011 - 2012,0.4
,,2012 - 2013,0.4
,,2013 - 2014,0.4
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Coochbehar,2000 - 2001,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.66
,,2011 - 2012,0.67
,,2012 - 2013,0.66
,,2013 - 2014,0.65
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Darjeeling,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.5
,,2011 - 2012,0.67
,,2012 - 2013,0.5
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Dinajpur dakshin,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,Dinajpur uttar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.51
,,2011 - 2012,0.51
,,2012 - 2013,0.52
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,Hooghly,2006 - 2007,
,,2009 - 2010,
,,2022 - 2023,
,Jalpaiguri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.57
,,2011 - 2012,0.61
,,2012 - 2013,0.59
,,2013 - 2014,0.59
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jhargram,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Maldah,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.41
,,2011 - 2012,0.41
,,2012 - 2013,0.41
,,2013 - 2014,0.41
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Medinipur west,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.52
,,2011 - 2012,0.53
,,2012 - 2013,0.53
,,2013 - 2014,0.52
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Murshidabad,2004 - 2005,
,,2005 - 2006,
,,2008 - 2009,
,,2013 - 2014,0.97
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Paschim bardhaman,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Purba bardhaman,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2010 - 2011,0.6
,,2011 - 2012,0.55
,,2012 - 2013,0.54
,,2013 - 2014,0.55
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,Purulia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.52
,,2011 - 2012,0.49
,,2012 - 2013,0.51
,,2013 - 2014,0.51
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
