state,district,year,garlic_whole_year_yield_tonne_per_hectare
,,2006 - 2007,2.16
,,2007 - 2008,2.16
,,2008 - 2009,2.6
,,2009 - 2010,2.6
,,2010 - 2011,1.43
,,2011 - 2012,1.56
,,2012 - 2013,1.61
,,2013 - 2014,2.25
,,2015 - 2016,1.0
,,2016 - 2017,4.5
,,2017 - 2018,7.0
,,2018 - 2019,9.5
,,2019 - 2020,9.5
,Ujjain,2000 - 2001,2.31
,,2001 - 2002,2.31
,,2002 - 2003,2.47
,,2003 - 2004,3.81
,,2004 - 2005,3.86
,,2006 - 2007,3.91
,,2007 - 2008,3.75
,,2008 - 2009,3.59
,,2009 - 2010,3.75
,,2010 - 2011,2.82
,,2011 - 2012,3.19
,,2012 - 2013,3.64
,,2013 - 2014,4.55
,,2015 - 2016,10.75
,,2016 - 2017,12.0
,,2017 - 2018,12.26
,,2018 - 2019,12.4
,,2019 - 2020,12.5
,Umaria,2000 - 2001,1.67
,,2001 - 2002,2.0
,,2002 - 2003,1.85
,,2003 - 2004,2.05
,,2004 - 2005,2.1
,,2006 - 2007,1.84
,,2007 - 2008,1.82
,,2008 - 2009,1.83
,,2009 - 2010,1.86
,,2010 - 2011,1.37
,,2011 - 2012,1.32
,,2012 - 2013,2.02
,,2013 - 2014,3.18
,,2015 - 2016,4.21
,,2016 - 2017,7.0
,,2017 - 2018,7.0
,,2018 - 2019,7.0
,,2019 - 2020,7.0
,Vidisha,2000 - 2001,2.11
,,2001 - 2002,2.21
,,2002 - 2003,2.22
,,2003 - 2004,2.07
,,2004 - 2005,2.34
,,2006 - 2007,2.28
,,2007 - 2008,2.18
,,2008 - 2009,2.05
,,2009 - 2010,2.15
,,2010 - 2011,1.84
,,2011 - 2012,2.1
,,2012 - 2013,3.77
,,2013 - 2014,2.17
,,2015 - 2016,11.78
,,2016 - 2017,12.42
,,2017 - 2018,12.41
,,2018 - 2019,12.42
,,2019 - 2020,12.41
Meghalaya,East garo hills,2004 - 2005,1.29
,East jaintia hills,2004 - 2005,0.85
,East khasi hills,2004 - 2005,1.6
,Ri bhoi,2004 - 2005,1.31
,South garo hills,2004 - 2005,1.53
,West garo hills,2004 - 2005,4.33
,West khasi hills,2004 - 2005,1.62
Odisha,Anugul,2000 - 2001,3.17
,,2001 - 2002,3.17
,,2002 - 2003,3.17
,,2003 - 2004,3.17
,,2004 - 2005,3.17
,,2019 - 2020,
,Balangir,2000 - 2001,3.16
,,2001 - 2002,3.17
,,2002 - 2003,3.14
,,2003 - 2004,3.26
,,2004 - 2005,3.18
,,2019 - 2020,
,Baleshwar,2000 - 2001,3.17
,,2001 - 2002,3.17
,,2002 - 2003,3.16
,,2003 - 2004,3.19
,,2004 - 2005,3.18
,,2019 - 2020,
,Bargarh,2000 - 2001,3.18
,,2001 - 2002,3.14
,,2002 - 2003,3.14
,,2003 - 2004,3.15
,,2004 - 2005,3.14
,,2019 - 2020,
,Bhadrak,2000 - 2001,3.07
,,2001 - 2002,3.12
,,2002 - 2003,3.13
,,2003 - 2004,3.13
,,2004 - 2005,3.13
,,2019 - 2020,
,Boudh,2000 - 2001,3.1
,,2001 - 2002,3.15
,,2002 - 2003,3.2
,,2003 - 2004,3.17
,,2004 - 2005,3.21
,,2019 - 2020,
,Cuttack,2000 - 2001,3.17
,,2001 - 2002,3.17
,,2002 - 2003,3.16
,,2003 - 2004,3.18
,,2004 - 2005,3.17
,,2019 - 2020,
,Deogarh,2000 - 2001,3.14
,,2001 - 2002,3.12
,,2002 - 2003,3.13
,,2003 - 2004,3.12
,,2004 - 2005,3.14
,,2019 - 2020,
,Dhenkanal,2000 - 2001,3.16
,,2001 - 2002,3.15
,,2002 - 2003,3.15
,,2003 - 2004,3.13
,,2004 - 2005,3.14
,,2019 - 2020,
,Gajapati,2000 - 2001,3.0
,,2001 - 2002,3.14
,,2002 - 2003,3.2
,,2003 - 2004,3.0
,,2004 - 2005,3.12
,,2019 - 2020,
,Ganjam,2000 - 2001,3.07
,,2001 - 2002,3.21
,,2002 - 2003,3.2
,,2003 - 2004,3.19
,,2004 - 2005,3.2
,,2019 - 2020,
,Jagatsinghapur,2000 - 2001,3.14
,,2001 - 2002,3.13
,,2002 - 2003,3.2
,,2003 - 2004,3.21
,,2004 - 2005,3.2
,,2019 - 2020,
,Jajapur,2000 - 2001,3.13
,,2001 - 2002,3.19
,,2002 - 2003,3.19
,,2003 - 2004,3.21
,,2004 - 2005,3.2
,Jharsuguda,2000 - 2001,3.08
,,2001 - 2002,3.23
,,2002 - 2003,3.18
,,2003 - 2004,3.16
,,2004 - 2005,3.2
,,2019 - 2020,
,Kalahandi,2000 - 2001,3.16
,,2001 - 2002,3.16
,,2002 - 2003,3.16
,,2003 - 2004,3.14
,,2004 - 2005,3.17
,,2019 - 2020,
,Kandhamal,2000 - 2001,3.0
,,2001 - 2002,3.25
,,2002 - 2003,3.25
,,2003 - 2004,3.27
,,2004 - 2005,3.23
,Kendrapara,2000 - 2001,3.2
,,2001 - 2002,3.19
,,2002 - 2003,3.2
,,2003 - 2004,3.17
,,2004 - 2005,3.19
,,2019 - 2020,
,Kendujhar,2000 - 2001,3.15
,,2001 - 2002,3.17
,,2002 - 2003,3.17
,,2003 - 2004,3.19
,,2004 - 2005,3.18
,,2019 - 2020,
,Khordha,2000 - 2001,3.0
,,2001 - 2002,3.14
,,2002 - 2003,3.1
,,2003 - 2004,3.13
,,2004 - 2005,3.09
,,2019 - 2020,
,Koraput,2000 - 2001,3.2
,,2001 - 2002,3.19
,,2002 - 2003,3.13
,,2003 - 2004,3.18
,,2004 - 2005,3.16
,,2019 - 2020,
,Malkangiri,2000 - 2001,3.4
,,2001 - 2002,3.17
,,2002 - 2003,3.2
,,2003 - 2004,3.0
,,2004 - 2005,3.08
,,2019 - 2020,
,Mayurbhanj,2000 - 2001,3.1
,,2001 - 2002,3.15
,,2002 - 2003,3.15
,,2003 - 2004,3.13
,,2004 - 2005,3.14
,,2019 - 2020,
,Nabarangpur,2000 - 2001,3.14
,,2001 - 2002,3.25
,,2002 - 2003,3.14
,,2003 - 2004,3.0
,,2004 - 2005,3.21
,,2019 - 2020,
,Nayagarh,2000 - 2001,3.05
,,2001 - 2002,3.15
,,2002 - 2003,3.17
,,2003 - 2004,3.13
,,2004 - 2005,3.17
,,2019 - 2020,
,Nuapada,2000 - 2001,3.11
,,2001 - 2002,3.11
,,2002 - 2003,3.1
,,2003 - 2004,3.17
,,2004 - 2005,3.11
,,2019 - 2020,
,Puri,2000 - 2001,3.13
,,2001 - 2002,3.25
,,2002 - 2003,3.2
,,2003 - 2004,3.21
,,2004 - 2005,3.2
,,2019 - 2020,
,Rayagada,2000 - 2001,3.0
,,2001 - 2002,3.17
,,2002 - 2003,3.14
,,2003 - 2004,3.0
,,2004 - 2005,3.1
,,2019 - 2020,
,Sambalpur,2000 - 2001,3.11
,,2001 - 2002,3.15
,,2002 - 2003,3.14
,,2003 - 2004,3.16
,,2004 - 2005,3.14
,,2019 - 2020,
,Sonepur,2000 - 2001,3.1
,,2001 - 2002,3.09
,,2002 - 2003,3.1
,,2003 - 2004,3.05
,,2004 - 2005,3.1
,,2019 - 2020,
,Sundargarh,2000 - 2001,3.1
,,2001 - 2002,3.09
,,2002 - 2003,3.1
,,2003 - 2004,3.14
,,2004 - 2005,3.09
,,2019 - 2020,
Rajasthan,Ajmer,2000 - 2001,0.5
,,2001 - 2002,0.44
,,2002 - 2003,0.5
,,2003 - 2004,1.14
,,2004 - 2005,1.77
,,2005 - 2006,0.36
,,2006 - 2007,1.25
,,2007 - 2008,1.54
,,2008 - 2009,2.0
,,2010 - 2011,1.63
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2015 - 2016,2.25
,,2016 - 2017,3.0
,,2017 - 2018,1.0
,,2018 - 2019,2.5
,,2019 - 2020,0.6
,,2020 - 2021,1.0
,,2021 - 2022,2.8
,,2022 - 2023,1.17
,Alwar,2000 - 2001,0.75
,,2001 - 2002,1.2
,,2002 - 2003,2.57
,,2003 - 2004,1.67
,,2004 - 2005,4.0
,,2005 - 2006,1.0
,,2007 - 2008,1.0
,,2008 - 2009,0.67
,,2009 - 2010,1.0
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2016 - 2017,1.4
,,2017 - 2018,2.0
,,2018 - 2019,0.5
,,2020 - 2021,1.0
,,2021 - 2022,1.5
,Banswara,2000 - 2001,0.44
,,2001 - 2002,0.43
,,2002 - 2003,0.47
,,2003 - 2004,0.46
,,2004 - 2005,0.48
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.67
,,2010 - 2011,0.5
,,2011 - 2012,8.0
,,2021 - 2022,2.09
,,2022 - 2023,1.57
,Baran,2000 - 2001,4.26
,,2001 - 2002,5.13
,,2002 - 2003,5.34
,,2003 - 2004,16.93
,,2004 - 2005,4.3
,,2005 - 2006,6.43
,,2006 - 2007,5.65
,,2007 - 2008,6.67
,,2008 - 2009,6.12
,,2009 - 2010,5.84
,,2010 - 2011,5.68
,,2011 - 2012,0.73
,,2012 - 2013,0.64
,,2013 - 2014,3.79
,,2015 - 2016,4.12
,,2016 - 2017,6.98
,,2017 - 2018,5.67
,,2018 - 2019,6.91
,,2019 - 2020,7.22
,,2020 - 2021,6.22
,,2021 - 2022,5.8
,,2022 - 2023,5.68
,Barmer,2002 - 2003,0.5
,,2007 - 2008,0.0
,Bharatpur,2000 - 2001,2.0
,,2001 - 2002,1.0
,,2002 - 2003,5.0
,,2003 - 2004,4.0
,,2004 - 2005,2.5
,,2006 - 2007,1.0
,,2007 - 2008,2.5
,,2008 - 2009,1.0
,,2011 - 2012,4.0
,,2012 - 2013,1.0
,,2015 - 2016,10.0
,,2016 - 2017,10.0
,,2017 - 2018,0.0
,,2018 - 2019,6.25
,,2019 - 2020,5.0
,,2021 - 2022,10.0
,,2022 - 2023,11.6
,Bhilwara,2000 - 2001,3.84
,,2001 - 2002,3.72
,,2002 - 2003,3.86
,,2003 - 2004,3.29
,,2004 - 2005,3.28
,,2005 - 2006,3.49
,,2006 - 2007,3.47
,,2007 - 2008,3.04
,,2008 - 2009,2.67
,,2009 - 2010,2.21
,,2010 - 2011,2.9
,,2011 - 2012,2.7
,,2012 - 2013,3.55
,,2013 - 2014,3.83
,,2015 - 2016,3.79
,,2016 - 2017,3.78
,,2017 - 2018,3.73
,,2018 - 2019,3.8
,,2019 - 2020,3.63
,,2020 - 2021,3.63
,,2021 - 2022,3.94
,,2022 - 2023,3.97
,Bikaner,2000 - 2001,0.71
,,2001 - 2002,0.0
,,2002 - 2003,0.5
,,2003 - 2004,7.0
,,2004 - 2005,0.5
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2011 - 2012,0.71
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2015 - 2016,1.0
,,2016 - 2017,2.46
,,2017 - 2018,1.14
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,0.67
,,2021 - 2022,0.89
,,2022 - 2023,35.0
,Bundi,2000 - 2001,1.88
,,2001 - 2002,1.95
,,2002 - 2003,0.94
,,2003 - 2004,0.0
,,2004 - 2005,0.64
,,2005 - 2006,1.98
,,2006 - 2007,1.92
,,2007 - 2008,1.85
,,2008 - 2009,1.9
,,2009 - 2010,1.86
,,2010 - 2011,1.94
,,2011 - 2012,2.27
,,2012 - 2013,4.9
,,2013 - 2014,3.85
,,2015 - 2016,4.5
,,2016 - 2017,4.64
,,2017 - 2018,5.05
,,2018 - 2019,4.45
,,2019 - 2020,4.47
,,2020 - 2021,4.68
,,2021 - 2022,4.01
,,2022 - 2023,4.15
,Chittorgarh,2000 - 2001,2.5
,,2001 - 2002,3.73
,,2002 - 2003,4.6
,,2003 - 2004,4.6
,,2004 - 2005,5.63
,,2005 - 2006,5.0
,,2006 - 2007,6.6
,,2007 - 2008,6.5
,,2008 - 2009,6.5
,,2009 - 2010,6.5
,,2010 - 2011,5.7
,,2011 - 2012,5.73
,,2012 - 2013,6.6
,,2013 - 2014,4.74
,,2015 - 2016,4.88
,,2016 - 2017,4.87
,,2017 - 2018,5.13
,,2018 - 2019,5.15
,,2019 - 2020,0.0
,,2020 - 2021,5.07
,,2021 - 2022,4.81
,,2022 - 2023,4.89
,Churu,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2013 - 2014,1.0
,,2015 - 2016,0.5
,,2016 - 2017,1.0
,,2018 - 2019,4.0
,,2020 - 2021,1.0
,,2021 - 2022,1.67
,Dausa,2000 - 2001,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.8
,,2004 - 2005,3.0
,,2005 - 2006,3.0
,,2006 - 2007,1.0
,,2007 - 2008,0.83
,,2008 - 2009,1.5
,,2011 - 2012,2.5
,,2016 - 2017,1.0
,,2021 - 2022,2.0
,Dholpur,2000 - 2001,2.0
,,2001 - 2002,1.4
,,2002 - 2003,1.0
,,2003 - 2004,2.0
,,2004 - 2005,0.83
,,2007 - 2008,1.55
,,2008 - 2009,0.67
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,4.0
,,2012 - 2013,6.0
,,2016 - 2017,6.15
,,2017 - 2018,1.0
,,2019 - 2020,1.25
,,2020 - 2021,6.0
,,2021 - 2022,5.0
,,2022 - 2023,5.0
,Dungarpur,2000 - 2001,1.92
,,2001 - 2002,5.0
,,2002 - 2003,5.0
,,2003 - 2004,5.0
,,2004 - 2005,5.0
,,2005 - 2006,5.0
,,2006 - 2007,5.0
,,2007 - 2008,5.0
,,2008 - 2009,3.0
,,2009 - 2010,5.0
,,2010 - 2011,5.0
,,2011 - 2012,5.0
,,2013 - 2014,5.0
,,2015 - 2016,5.0
,,2016 - 2017,5.0
,,2017 - 2018,5.0
,,2018 - 2019,5.0
,,2019 - 2020,5.0
,,2020 - 2021,5.0
,,2021 - 2022,5.0
,,2022 - 2023,5.0
,Ganganagar,2000 - 2001,20.0
,,2001 - 2002,0.48
,,2002 - 2003,4.0
,,2003 - 2004,0.1
,,2004 - 2005,0.67
,,2005 - 2006,2.0
,,2006 - 2007,12.82
,,2007 - 2008,10.44
,,2008 - 2009,1.04
,,2009 - 2010,10.43
,,2010 - 2011,10.44
,,2011 - 2012,10.43
,,2012 - 2013,10.36
,,2013 - 2014,1.0
,,2015 - 2016,1.0
,,2016 - 2017,13.38
,,2017 - 2018,13.56
,,2018 - 2019,15.15
,,2019 - 2020,20.0
,,2020 - 2021,11.55
,,2021 - 2022,29.52
,,2022 - 2023,2.06
,Hanumangarh,2000 - 2001,0.5
,,2001 - 2002,0.43
,,2002 - 2003,0.72
,,2003 - 2004,0.0
,,2004 - 2005,1.0
,,2005 - 2006,2.0
,,2006 - 2007,10.0
,,2007 - 2008,0.55
,,2008 - 2009,1.67
,,2009 - 2010,4.0
,,2010 - 2011,0.91
,,2011 - 2012,1.57
,,2012 - 2013,1.55
,,2013 - 2014,5.0
,,2015 - 2016,4.53
,,2016 - 2017,1.72
,,2017 - 2018,1.85
,,2018 - 2019,3.18
,,2019 - 2020,1.57
,,2020 - 2021,2.24
,,2021 - 2022,4.56
,,2022 - 2023,2.16
,Jaipur,2000 - 2001,1.54
,,2001 - 2002,1.23
,,2002 - 2003,1.56
,,2003 - 2004,1.46
,,2004 - 2005,1.51
,,2005 - 2006,1.58
,,2006 - 2007,1.48
,,2007 - 2008,1.13
,,2008 - 2009,1.95
,,2009 - 2010,0.41
,,2010 - 2011,1.32
,,2011 - 2012,1.04
,,2012 - 2013,1.51
,,2013 - 2014,1.28
,,2015 - 2016,1.14
,,2016 - 2017,1.4
,,2017 - 2018,1.21
,,2018 - 2019,1.47
,,2019 - 2020,1.11
,,2020 - 2021,1.23
,,2021 - 2022,1.26
,,2022 - 2023,1.13
,Jaisalmer,2003 - 2004,0.44
,,2004 - 2005,0.5
,,2005 - 2006,3.0
,Jalore,2000 - 2001,1.07
,,2001 - 2002,1.0
,,2002 - 2003,1.57
,,2004 - 2005,0.0
,,2005 - 2006,1.6
,,2006 - 2007,1.25
,,2007 - 2008,1.55
,,2008 - 2009,1.55
,,2009 - 2010,1.75
,,2010 - 2011,1.67
,,2011 - 2012,0.86
,,2012 - 2013,1.0
,,2013 - 2014,1.25
,,2015 - 2016,1.5
,,2016 - 2017,1.75
,,2017 - 2018,2.0
,,2018 - 2019,3.14
,,2019 - 2020,3.75
,,2020 - 2021,3.25
,,2021 - 2022,3.6
,,2022 - 2023,2.5
,Jhalawar,2000 - 2001,1.88
,,2001 - 2002,1.97
,,2002 - 2003,1.12
,,2003 - 2004,2.3
,,2004 - 2005,1.86
,,2005 - 2006,2.63
,,2006 - 2007,2.67
,,2007 - 2008,3.16
,,2008 - 2009,3.26
,,2009 - 2010,3.0
,,2010 - 2011,4.5
,,2011 - 2012,4.59
,,2012 - 2013,4.2
,,2013 - 2014,2.5
,,2015 - 2016,6.0
,,2016 - 2017,6.0
,,2017 - 2018,3.0
,,2018 - 2019,2.5
,,2019 - 2020,2.5
,,2020 - 2021,5.56
,,2021 - 2022,4.71
,,2022 - 2023,6.0
,Jhunjhunu,2000 - 2001,2.0
,,2001 - 2002,2.0
,,2002 - 2003,2.0
,,2003 - 2004,2.0
,,2004 - 2005,1.95
,,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,1.15
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2010 - 2011,2.0
,,2011 - 2012,3.42
,,2012 - 2013,3.42
,,2013 - 2014,2.0
,,2015 - 2016,2.0
,,2016 - 2017,1.99
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2019 - 2020,1.99
,,2020 - 2021,1.99
,,2021 - 2022,20.0
,,2022 - 2023,0.6
,Jodhpur,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.51
,,2003 - 2004,0.61
,,2004 - 2005,0.61
,,2005 - 2006,0.6
,,2006 - 2007,2.96
,,2007 - 2008,2.5
,,2008 - 2009,2.5
,,2009 - 2010,1.5
,,2010 - 2011,1.4
,,2011 - 2012,1.3
,,2012 - 2013,1.3
,,2013 - 2014,5.19
,,2015 - 2016,5.2
,,2016 - 2017,15.0
,,2017 - 2018,1.04
,,2018 - 2019,15.0
,,2019 - 2020,15.0
,,2020 - 2021,14.77
,,2021 - 2022,14.94
,,2022 - 2023,11.16
,Karauli,2000 - 2001,2.0
,,2001 - 2002,1.88
,,2002 - 2003,1.75
,,2003 - 2004,2.0
,,2004 - 2005,2.0
,,2007 - 2008,1.0
,,2011 - 2012,2.71
,,2012 - 2013,2.0
,,2015 - 2016,2.0
,,2016 - 2017,2.5
,,2017 - 2018,4.0
,,2018 - 2019,3.25
,,2020 - 2021,3.0
,,2022 - 2023,3.0
,Kota,2000 - 2001,2.99
,,2001 - 2002,3.02
,,2002 - 2003,8.0
,,2003 - 2004,10.0
,,2004 - 2005,14.88
,,2005 - 2006,4.8
,,2006 - 2007,9.86
,,2007 - 2008,10.0
,,2008 - 2009,8.0
,,2009 - 2010,6.0
,,2010 - 2011,12.0
,,2011 - 2012,8.0
,,2012 - 2013,8.0
,,2013 - 2014,8.64
,,2015 - 2016,7.0
,,2016 - 2017,6.5
,,2017 - 2018,6.5
,,2018 - 2019,6.8
,,2019 - 2020,6.8
,,2020 - 2021,6.8
,,2021 - 2022,6.8
,,2022 - 2023,6.8
,Nagaur,2000 - 2001,1.47
,,2001 - 2002,1.39
,,2002 - 2003,1.36
,,2003 - 2004,1.22
,,2004 - 2005,1.0
,,2005 - 2006,1.2
,,2006 - 2007,1.97
,,2007 - 2008,2.88
,,2008 - 2009,0.54
,,2009 - 2010,0.76
,,2010 - 2011,3.96
,,2011 - 2012,4.14
,,2012 - 2013,2.73
,,2013 - 2014,2.19
,,2015 - 2016,13.43
,,2016 - 2017,12.95
,,2017 - 2018,12.4
,,2018 - 2019,1.75
,,2019 - 2020,13.72
,,2020 - 2021,13.51
,,2021 - 2022,1.56
,,2022 - 2023,1.57
,Pali,2000 - 2001,0.9
,,2001 - 2002,1.37
,,2002 - 2003,1.23
,,2003 - 2004,1.08
,,2004 - 2005,0.88
,,2005 - 2006,0.57
,,2006 - 2007,1.11
,,2007 - 2008,1.0
,,2008 - 2009,1.09
,,2009 - 2010,1.0
,,2010 - 2011,0.45
,,2011 - 2012,1.07
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2015 - 2016,1.0
,,2016 - 2017,0.86
,,2017 - 2018,1.0
,,2018 - 2019,15.0
,,2019 - 2020,2.4
,,2020 - 2021,1.33
,,2021 - 2022,1.19
,,2022 - 2023,1.91
,Pratapgarh,2008 - 2009,5.5
,,2009 - 2010,0.55
,,2010 - 2011,6.0
,,2011 - 2012,6.0
,,2012 - 2013,6.42
,,2013 - 2014,6.95
,,2015 - 2016,7.0
,,2016 - 2017,9.0
,,2017 - 2018,8.0
,,2018 - 2019,8.0
,,2019 - 2020,8.0
,,2020 - 2021,8.0
,,2021 - 2022,8.0
,,2022 - 2023,8.0
,Rajsamand,2000 - 2001,1.4
,,2001 - 2002,1.38
,,2002 - 2003,1.01
,,2003 - 2004,0.9
,,2004 - 2005,1.86
,,2005 - 2006,1.41
,,2006 - 2007,2.0
,,2007 - 2008,1.36
,,2008 - 2009,1.21
,,2009 - 2010,3.0
,,2010 - 2011,3.0
,,2011 - 2012,3.0
,,2012 - 2013,3.0
,,2013 - 2014,3.0
,,2015 - 2016,3.0
,,2016 - 2017,2.0
,,2017 - 2018,0.92
,,2018 - 2019,3.0
,,2019 - 2020,1.42
,,2020 - 2021,1.5
,,2021 - 2022,1.5
,,2022 - 2023,1.52
,Sawai madhopur,2000 - 2001,1.86
,,2001 - 2002,1.0
,,2002 - 2003,1.69
,,2003 - 2004,2.0
,,2004 - 2005,1.63
,,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2010 - 2011,2.0
,,2011 - 2012,2.0
,,2012 - 2013,2.0
,,2013 - 2014,1.57
,,2015 - 2016,1.16
,,2016 - 2017,1.86
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2021 - 2022,8.67
,,2022 - 2023,0.0
,Sikar,2000 - 2001,9.0
,,2001 - 2002,9.0
,,2002 - 2003,15.0
,,2003 - 2004,4.85
,,2004 - 2005,4.0
,,2005 - 2006,4.0
,,2006 - 2007,1.0
,,2007 - 2008,1.32
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,11.0
,,2015 - 2016,9.64
,,2016 - 2017,9.97
,,2017 - 2018,8.66
,,2018 - 2019,9.76
,,2019 - 2020,6.13
,,2020 - 2021,2.22
,,2021 - 2022,8.67
,,2022 - 2023,3.24
,Sirohi,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,0.8
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,0.94
,,2008 - 2009,0.8
,,2009 - 2010,1.0
,,2010 - 2011,0.81
,,2011 - 2012,0.8
,,2012 - 2013,0.78
,,2013 - 2014,0.83
,,2015 - 2016,0.83
,,2016 - 2017,11.0
,,2018 - 2019,11.0
,,2019 - 2020,11.0
,,2020 - 2021,11.0
,,2021 - 2022,11.0
,,2022 - 2023,11.0
,Tonk,2000 - 2001,0.33
,,2001 - 2002,8.0
,,2002 - 2003,2.0
,,2003 - 2004,0.48
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,1.0
,,2007 - 2008,0.94
,,2008 - 2009,0.5
,,2009 - 2010,0.0
,,2010 - 2011,0.22
,,2011 - 2012,0.24
,,2012 - 2013,0.5
,,2013 - 2014,0.25
,,2015 - 2016,0.29
,,2016 - 2017,0.25
,,2017 - 2018,0.25
,,2018 - 2019,0.29
,,2019 - 2020,0.25
,,2020 - 2021,0.4
,,2021 - 2022,0.2
,Udaipur,2000 - 2001,2.2
,,2001 - 2002,2.04
,,2002 - 2003,1.94
,,2003 - 2004,2.35
,,2004 - 2005,0.3
,,2005 - 2006,2.02
,,2006 - 2007,1.31
,,2007 - 2008,1.84
,,2008 - 2009,1.94
,,2009 - 2010,2.03
,,2010 - 2011,1.96
,,2011 - 2012,1.65
,,2012 - 2013,1.16
,,2013 - 2014,1.41
,,2015 - 2016,3.89
,,2016 - 2017,3.95
,,2017 - 2018,3.05
,,2018 - 2019,2.71
,,2019 - 2020,2.45
,,2020 - 2021,2.59
,,2021 - 2022,4.65
,,2022 - 2023,4.69
Tamil Nadu,Coimbatore,2002 - 2003,5.5
,,2006 - 2007,4.0
,,2021 - 2022,2.0
,Cuddalore,2006 - 2007,5.93
,Dharmapuri,2006 - 2007,6.0
,,2009 - 2010,3.0
,,2013 - 2014,0.5
,Dindigul,2000 - 2001,6.1
,,2002 - 2003,6.1
,,2003 - 2004,6.1
,,2004 - 2005,6.1
,,2005 - 2006,6.1
,,2006 - 2007,6.1
,,2007 - 2008,6.1
,,2008 - 2009,6.1
,,2009 - 2010,6.1
,,2011 - 2012,6.1
,,2013 - 2014,6.1
,,2014 - 2015,6.1
,,2015 - 2016,6.1
,,2016 - 2017,6.1
,,2017 - 2018,6.1
,,2018 - 2019,6.1
,,2019 - 2020,6.1
,,2020 - 2021,5.79
,,2021 - 2022,6.03
,,2022 - 2023,6.02
,Erode,2000 - 2001,5.63
,,2002 - 2003,5.63
,,2003 - 2004,5.61
,,2004 - 2005,5.63
,,2005 - 2006,5.62
,,2006 - 2007,5.63
,,2007 - 2008,5.64
,,2008 - 2009,5.63
,,2009 - 2010,5.63
,,2011 - 2012,4.69
,,2013 - 2014,4.78
,,2014 - 2015,4.62
,,2015 - 2016,4.41
,,2016 - 2017,4.59
,,2017 - 2018,4.54
,,2018 - 2019,4.61
,,2019 - 2020,4.56
,,2020 - 2021,5.79
,,2021 - 2022,4.82
,,2022 - 2023,5.78
,Kanchipuram,2006 - 2007,6.0
,,2015 - 2016,3.0
,,2016 - 2017,3.0
,Karur,2016 - 2017,6.0
,,2018 - 2019,3.0
,Krishnagiri,2003 - 2004,6.0
,,2004 - 2005,6.0
,,2005 - 2006,6.0
,,2006 - 2007,5.83
,Madurai,2013 - 2014,6.0
,Namakkal,2003 - 2004,4.56
,,2006 - 2007,2.0
,,2011 - 2012,1.0
,,2013 - 2014,0.43
,,2022 - 2023,5.72
,Perambalur,2014 - 2015,0.0
,Pudukkottai,2022 - 2023,6.0
,Ramanathapuram,2014 - 2015,0.0
,Ranipet,2021 - 2022,1.0
,Salem,2006 - 2007,6.0
,,2022 - 2023,5.71
,Sivaganga,2003 - 2004,6.0
,,2017 - 2018,1.0
,Thanjavur,2022 - 2023,6.0
,The nilgiris,2000 - 2001,5.49
,,2002 - 2003,5.53
,,2003 - 2004,5.54
,,2004 - 2005,5.54
,,2005 - 2006,5.55
,,2006 - 2007,5.55
,,2007 - 2008,5.55
,,2008 - 2009,5.55
,,2009 - 2010,5.55
,,2011 - 2012,5.55
,,2013 - 2014,5.55
,,2014 - 2015,5.55
,,2015 - 2016,5.55
,,2016 - 2017,5.55
,,2017 - 2018,5.55
,,2018 - 2019,5.54
,,2019 - 2020,5.55
,,2020 - 2021,5.79
,,2021 - 2022,5.6
,,2022 - 2023,5.6
,Theni,2016 - 2017,6.0
,,2018 - 2019,7.0
,,2019 - 2020,6.0
,Thiruvallur,2013 - 2014,6.0
,Thoothukudi,2014 - 2015,0.0
,Tirunelveli,2018 - 2019,0.0
