state,district,year,barley_rabi_yield_tonne_per_hectare
,,2011 - 2012,4.5
,,2012 - 2013,4.0
,,2013 - 2014,4.0
,,2014 - 2015,3.85
,,2015 - 2016,3.9
,,2016 - 2017,4.13
,,2017 - 2018,4.06
,,2018 - 2019,3.67
,,2019 - 2020,4.29
,,2020 - 2021,4.36
,,2021 - 2022,3.33
,,2022 - 2023,4.29
Rajasthan,Ajmer,2000 - 2001,1.45
,,2001 - 2002,2.51
,,2002 - 2003,1.62
,,2003 - 2004,2.43
,,2004 - 2005,2.36
,,2005 - 2006,1.75
,,2006 - 2007,2.16
,,2007 - 2008,2.05
,,2008 - 2009,2.34
,,2009 - 2010,2.2
,,2010 - 2011,2.26
,,2011 - 2012,2.72
,,2012 - 2013,3.24
,,2013 - 2014,2.7
,,2014 - 2015,1.97
,,2015 - 2016,2.47
,,2016 - 2017,3.21
,,2017 - 2018,2.63
,,2018 - 2019,3.07
,,2019 - 2020,3.23
,,2020 - 2021,3.04
,,2021 - 2022,3.04
,,2022 - 2023,2.99
,Alwar,2000 - 2001,2.48
,,2001 - 2002,2.72
,,2002 - 2003,3.17
,,2003 - 2004,2.07
,,2004 - 2005,3.2
,,2005 - 2006,2.89
,,2006 - 2007,3.25
,,2007 - 2008,2.91
,,2008 - 2009,3.69
,,2009 - 2010,3.71
,,2010 - 2011,3.64
,,2011 - 2012,3.58
,,2012 - 2013,3.79
,,2013 - 2014,3.27
,,2014 - 2015,3.18
,,2015 - 2016,3.59
,,2016 - 2017,4.16
,,2017 - 2018,4.17
,,2018 - 2019,4.06
,,2019 - 2020,3.85
,,2020 - 2021,4.03
,,2021 - 2022,4.22
,,2022 - 2023,3.91
,Banswara,2000 - 2001,0.99
,,2001 - 2002,2.68
,,2002 - 2003,1.72
,,2003 - 2004,1.65
,,2004 - 2005,1.57
,,2005 - 2006,1.49
,,2006 - 2007,1.84
,,2007 - 2008,1.64
,,2008 - 2009,0.93
,,2009 - 2010,1.43
,,2010 - 2011,2.85
,,2011 - 2012,1.59
,,2012 - 2013,2.09
,,2013 - 2014,1.88
,,2014 - 2015,1.93
,,2015 - 2016,1.82
,,2016 - 2017,3.3
,,2017 - 2018,3.32
,,2018 - 2019,3.6
,,2019 - 2020,3.53
,,2020 - 2021,3.5
,,2021 - 2022,3.55
,,2022 - 2023,3.4
,Baran,2000 - 2001,1.82
,,2001 - 2002,2.57
,,2002 - 2003,2.33
,,2003 - 2004,2.25
,,2004 - 2005,2.38
,,2005 - 2006,2.27
,,2006 - 2007,2.55
,,2007 - 2008,2.16
,,2008 - 2009,3.06
,,2009 - 2010,2.78
,,2010 - 2011,2.85
,,2011 - 2012,2.84
,,2012 - 2013,3.11
,,2013 - 2014,3.04
,,2014 - 2015,2.8
,,2015 - 2016,2.99
,,2016 - 2017,3.3
,,2017 - 2018,3.33
,,2018 - 2019,3.59
,,2019 - 2020,3.53
,,2020 - 2021,3.5
,,2021 - 2022,3.56
,,2022 - 2023,3.4
,Barmer,2000 - 2001,1.81
,,2001 - 2002,2.6
,,2002 - 2003,2.33
,,2003 - 2004,2.23
,,2004 - 2005,2.39
,,2005 - 2006,2.27
,,2006 - 2007,2.55
,,2007 - 2008,2.17
,,2008 - 2009,3.05
,,2009 - 2010,2.78
,,2010 - 2011,2.86
,,2011 - 2012,2.85
,,2012 - 2013,3.1
,,2013 - 2014,3.0
,,2014 - 2015,2.8
,,2015 - 2016,3.0
,,2016 - 2017,3.3
,,2017 - 2018,3.33
,,2018 - 2019,3.59
,,2019 - 2020,3.52
,,2020 - 2021,3.5
,,2021 - 2022,3.55
,,2022 - 2023,3.39
,Bharatpur,2000 - 2001,2.12
,,2001 - 2002,2.98
,,2002 - 2003,2.66
,,2003 - 2004,3.24
,,2004 - 2005,2.53
,,2005 - 2006,2.7
,,2006 - 2007,2.98
,,2007 - 2008,2.63
,,2008 - 2009,3.51
,,2009 - 2010,3.18
,,2010 - 2011,3.01
,,2011 - 2012,3.57
,,2012 - 2013,3.69
,,2013 - 2014,3.05
,,2014 - 2015,2.8
,,2015 - 2016,2.99
,,2016 - 2017,3.3
,,2017 - 2018,3.32
,,2018 - 2019,3.6
,,2019 - 2020,3.53
,,2020 - 2021,3.5
,,2021 - 2022,3.55
,,2022 - 2023,3.4
,Bhilwara,2000 - 2001,1.95
,,2001 - 2002,2.48
,,2002 - 2003,1.49
,,2003 - 2004,1.79
,,2004 - 2005,2.34
,,2005 - 2006,2.38
,,2006 - 2007,2.5
,,2007 - 2008,2.05
,,2008 - 2009,2.14
,,2009 - 2010,2.19
,,2010 - 2011,2.45
,,2011 - 2012,2.66
,,2012 - 2013,2.9
,,2013 - 2014,2.85
,,2014 - 2015,1.77
,,2015 - 2016,2.28
,,2016 - 2017,3.02
,,2017 - 2018,2.95
,,2018 - 2019,3.14
,,2019 - 2020,3.36
,,2020 - 2021,3.48
,,2021 - 2022,3.14
,,2022 - 2023,3.05
,Bikaner,2000 - 2001,1.82
,,2001 - 2002,2.57
,,2002 - 2003,2.33
,,2003 - 2004,2.25
,,2004 - 2005,2.38
,,2005 - 2006,2.27
,,2006 - 2007,1.66
,,2007 - 2008,0.98
,,2008 - 2009,1.91
,,2009 - 2010,1.02
,,2010 - 2011,1.94
,,2011 - 2012,2.55
,,2012 - 2013,2.42
,,2013 - 2014,2.43
,,2014 - 2015,2.16
,,2015 - 2016,2.34
,,2016 - 2017,1.86
,,2017 - 2018,2.21
,,2018 - 2019,2.53
,,2019 - 2020,2.8
,,2020 - 2021,2.21
,,2021 - 2022,2.73
,,2022 - 2023,2.64
,Bundi,2000 - 2001,1.58
,,2001 - 2002,1.86
,,2002 - 2003,1.66
,,2003 - 2004,2.46
,,2004 - 2005,2.4
,,2005 - 2006,2.27
,,2006 - 2007,2.55
,,2007 - 2008,2.16
,,2008 - 2009,3.06
,,2009 - 2010,2.77
,,2010 - 2011,2.85
,,2011 - 2012,2.84
,,2012 - 2013,3.11
,,2013 - 2014,3.05
,,2014 - 2015,2.8
,,2015 - 2016,2.99
,,2016 - 2017,3.3
,,2017 - 2018,3.32
,,2018 - 2019,3.6
,,2019 - 2020,3.53
,,2020 - 2021,3.5
,,2021 - 2022,3.55
,,2022 - 2023,3.4
,Chittorgarh,2000 - 2001,1.95
,,2001 - 2002,2.64
,,2002 - 2003,2.25
,,2003 - 2004,2.16
,,2004 - 2005,2.33
,,2005 - 2006,1.8
,,2006 - 2007,2.63
,,2007 - 2008,1.74
,,2008 - 2009,2.99
,,2009 - 2010,2.89
,,2010 - 2011,2.54
,,2011 - 2012,3.08
,,2012 - 2013,3.33
,,2013 - 2014,3.38
,,2014 - 2015,2.21
,,2015 - 2016,2.72
,,2016 - 2017,3.6
,,2017 - 2018,3.28
,,2018 - 2019,3.43
,,2019 - 2020,3.38
,,2020 - 2021,3.71
,,2021 - 2022,3.59
,,2022 - 2023,3.59
,Churu,2000 - 2001,1.15
,,2001 - 2002,0.65
,,2002 - 2003,1.01
,,2003 - 2004,0.99
,,2004 - 2005,1.24
,,2005 - 2006,1.0
,,2006 - 2007,1.66
,,2007 - 2008,0.98
,,2008 - 2009,2.03
,,2009 - 2010,2.66
,,2010 - 2011,1.58
,,2011 - 2012,1.43
,,2012 - 2013,2.27
,,2013 - 2014,2.32
,,2014 - 2015,1.84
,,2015 - 2016,2.54
,,2016 - 2017,2.39
,,2017 - 2018,2.3
,,2018 - 2019,2.54
,,2019 - 2020,2.16
,,2020 - 2021,2.02
,,2021 - 2022,2.59
,,2022 - 2023,2.3
,Dausa,2000 - 2001,2.17
,,2001 - 2002,2.84
,,2002 - 2003,2.3
,,2003 - 2004,2.75
,,2004 - 2005,1.92
,,2005 - 2006,2.26
,,2006 - 2007,1.86
,,2007 - 2008,2.33
,,2008 - 2009,2.82
,,2009 - 2010,2.52
,,2010 - 2011,2.81
,,2011 - 2012,2.83
,,2012 - 2013,3.24
,,2013 - 2014,2.88
,,2014 - 2015,2.96
,,2015 - 2016,3.12
,,2016 - 2017,3.33
,,2017 - 2018,3.68
,,2018 - 2019,3.79
,,2019 - 2020,3.39
,,2020 - 2021,3.5
,,2021 - 2022,3.55
,,2022 - 2023,3.4
,Dholpur,2000 - 2001,1.82
,,2001 - 2002,2.57
,,2002 - 2003,2.33
,,2003 - 2004,2.25
,,2004 - 2005,2.38
,,2005 - 2006,2.27
,,2006 - 2007,2.53
,,2007 - 2008,2.39
,,2008 - 2009,3.33
,,2009 - 2010,2.77
,,2010 - 2011,2.85
,,2011 - 2012,2.84
,,2012 - 2013,3.11
,,2013 - 2014,3.05
,,2014 - 2015,2.8
,,2015 - 2016,2.99
,,2016 - 2017,3.3
,,2017 - 2018,3.32
,,2018 - 2019,3.6
,,2019 - 2020,3.53
,,2020 - 2021,3.5
,,2021 - 2022,3.55
,,2022 - 2023,3.41
,Dungarpur,2000 - 2001,1.82
,,2001 - 2002,2.57
,,2002 - 2003,2.33
,,2003 - 2004,2.25
,,2004 - 2005,2.38
,,2005 - 2006,2.27
,,2006 - 2007,2.55
,,2007 - 2008,2.16
,,2008 - 2009,3.06
,,2009 - 2010,2.69
,,2010 - 2011,2.85
,,2011 - 2012,2.84
,,2012 - 2013,3.11
,,2013 - 2014,3.05
,,2014 - 2015,2.8
,,2015 - 2016,2.99
,,2016 - 2017,3.3
,,2017 - 2018,3.32
,,2018 - 2019,3.6
,,2019 - 2020,3.53
,,2020 - 2021,3.5
,,2021 - 2022,3.55
,,2022 - 2023,3.4
,Ganganagar,2000 - 2001,1.77
,,2001 - 2002,1.63
,,2002 - 2003,1.6
,,2003 - 2004,1.77
,,2004 - 2005,2.12
,,2005 - 2006,2.47
,,2006 - 2007,2.95
,,2007 - 2008,2.91
,,2008 - 2009,3.6
,,2009 - 2010,2.55
,,2010 - 2011,4.11
,,2011 - 2012,3.51
,,2012 - 2013,3.94
,,2013 - 2014,3.73
,,2014 - 2015,3.06
,,2015 - 2016,3.4
,,2016 - 2017,3.86
,,2017 - 2018,4.08
,,2018 - 2019,4.66
,,2019 - 2020,4.59
,,2020 - 2021,4.22
,,2021 - 2022,4.45
,,2022 - 2023,4.53
,Hanumangarh,2000 - 2001,1.52
,,2001 - 2002,2.37
,,2002 - 2003,2.3
,,2003 - 2004,2.03
,,2004 - 2005,2.32
,,2005 - 2006,2.32
,,2006 - 2007,2.54
,,2007 - 2008,2.81
,,2008 - 2009,3.88
,,2009 - 2010,2.98
,,2010 - 2011,3.12
,,2011 - 2012,3.28
,,2012 - 2013,3.42
,,2013 - 2014,3.66
,,2014 - 2015,3.88
,,2015 - 2016,3.32
,,2016 - 2017,3.43
,,2017 - 2018,3.18
,,2018 - 2019,3.61
,,2019 - 2020,3.7
,,2020 - 2021,3.43
,,2021 - 2022,3.62
,,2022 - 2023,3.9
,Jaipur,2000 - 2001,1.82
,,2001 - 2002,3.05
,,2002 - 2003,2.71
,,2003 - 2004,2.25
,,2004 - 2005,2.67
,,2005 - 2006,2.62
,,2006 - 2007,2.62
,,2007 - 2008,1.76
,,2008 - 2009,2.97
,,2009 - 2010,3.04
,,2010 - 2011,3.7
,,2011 - 2012,2.76
,,2012 - 2013,2.94
,,2013 - 2014,2.85
,,2014 - 2015,3.09
,,2015 - 2016,3.22
,,2016 - 2017,3.37
,,2017 - 2018,3.53
,,2018 - 2019,3.66
,,2019 - 2020,3.49
,,2020 - 2021,3.79
,,2021 - 2022,3.9
,,2022 - 2023,3.55
,Jaisalmer,2000 - 2001,1.81
,,2001 - 2002,2.57
,,2002 - 2003,2.32
,,2003 - 2004,2.25
,,2004 - 2005,2.38
,,2005 - 2006,2.27
,,2006 - 2007,2.55
,,2007 - 2008,2.16
,,2008 - 2009,3.06
,,2009 - 2010,2.78
,,2010 - 2011,2.85
,,2011 - 2012,2.83
,,2012 - 2013,1.42
,,2013 - 2014,3.04
,,2014 - 2015,2.8
,,2015 - 2016,3.0
,,2016 - 2017,3.2
,,2017 - 2018,3.33
,,2018 - 2019,3.57
,,2019 - 2020,3.5
,,2020 - 2021,3.46
,,2021 - 2022,3.5
,,2022 - 2023,3.5
,Jalore,2000 - 2001,1.82
,,2001 - 2002,2.57
,,2002 - 2003,2.33
,,2003 - 2004,2.25
,,2004 - 2005,2.38
,,2005 - 2006,2.27
,,2006 - 2007,2.55
,,2007 - 2008,2.16
,,2008 - 2009,3.06
,,2009 - 2010,2.77
,,2010 - 2011,2.85
,,2011 - 2012,2.84
,,2012 - 2013,1.38
,,2013 - 2014,3.05
,,2014 - 2015,2.81
,,2015 - 2016,2.99
,,2016 - 2017,3.3
,,2017 - 2018,3.32
,,2018 - 2019,3.6
,,2019 - 2020,3.53
,,2020 - 2021,3.5
,,2021 - 2022,3.55
,,2022 - 2023,3.4
,Jhalawar,2000 - 2001,1.81
,,2001 - 2002,2.57
,,2002 - 2003,2.33
,,2003 - 2004,2.25
,,2004 - 2005,2.38
,,2005 - 2006,2.27
,,2006 - 2007,2.55
,,2007 - 2008,2.16
,,2008 - 2009,3.06
,,2009 - 2010,2.77
,,2010 - 2011,2.85
,,2011 - 2012,2.84
,,2012 - 2013,3.11
,,2013 - 2014,3.05
,,2014 - 2015,2.8
,,2015 - 2016,3.0
,,2016 - 2017,3.3
,,2017 - 2018,3.32
,,2018 - 2019,3.6
,,2019 - 2020,3.52
,,2020 - 2021,3.5
,,2021 - 2022,3.55
,,2022 - 2023,3.4
,Jhunjhunu,2000 - 2001,1.83
,,2001 - 2002,2.22
,,2002 - 2003,2.39
,,2003 - 2004,2.54
,,2004 - 2005,1.76
,,2005 - 2006,1.77
,,2006 - 2007,2.71
,,2007 - 2008,2.33
,,2008 - 2009,3.16
,,2009 - 2010,3.05
,,2010 - 2011,2.4
,,2011 - 2012,2.83
,,2012 - 2013,3.37
,,2013 - 2014,3.12
,,2014 - 2015,3.17
,,2015 - 2016,2.82
,,2016 - 2017,3.11
,,2017 - 2018,3.26
,,2018 - 2019,3.37
,,2019 - 2020,3.34
,,2020 - 2021,3.07
,,2021 - 2022,3.46
,,2022 - 2023,2.63
,Jodhpur,2000 - 2001,1.82
,,2001 - 2002,2.57
,,2002 - 2003,2.33
,,2003 - 2004,2.25
,,2004 - 2005,2.38
,,2005 - 2006,2.27
,,2006 - 2007,2.55
,,2007 - 2008,2.16
,,2008 - 2009,3.06
,,2009 - 2010,2.77
,,2010 - 2011,2.85
,,2011 - 2012,2.84
,,2012 - 2013,2.61
,,2013 - 2014,3.05
,,2014 - 2015,2.8
,,2015 - 2016,2.99
,,2016 - 2017,3.3
,,2017 - 2018,3.32
,,2018 - 2019,3.6
,,2019 - 2020,3.53
,,2020 - 2021,3.5
,,2021 - 2022,3.55
,,2022 - 2023,3.4
,Karauli,2000 - 2001,1.82
,,2001 - 2002,2.57
,,2002 - 2003,2.33
,,2003 - 2004,2.25
,,2004 - 2005,2.38
,,2005 - 2006,2.27
,,2006 - 2007,2.55
,,2007 - 2008,2.16
,,2008 - 2009,3.06
,,2009 - 2010,2.77
,,2010 - 2011,2.85
,,2011 - 2012,2.41
,,2012 - 2013,3.27
,,2013 - 2014,3.05
,,2014 - 2015,2.8
,,2015 - 2016,2.99
,,2016 - 2017,3.3
,,2017 - 2018,3.32
,,2018 - 2019,3.6
,,2019 - 2020,3.53
,,2020 - 2021,3.5
,,2021 - 2022,3.54
,,2022 - 2023,3.41
,Kota,2000 - 2001,1.81
,,2001 - 2002,2.57
,,2002 - 2003,2.33
,,2003 - 2004,2.25
,,2004 - 2005,2.38
,,2005 - 2006,2.27
,,2006 - 2007,2.55
,,2007 - 2008,2.16
,,2008 - 2009,3.06
,,2009 - 2010,2.77
,,2010 - 2011,2.85
,,2011 - 2012,2.84
,,2012 - 2013,3.11
,,2013 - 2014,3.05
,,2014 - 2015,2.8
,,2015 - 2016,2.99
,,2016 - 2017,3.3
,,2017 - 2018,3.32
,,2018 - 2019,3.6
,,2019 - 2020,3.53
,,2020 - 2021,3.5
,,2021 - 2022,3.55
,,2022 - 2023,3.4
,Nagaur,2000 - 2001,1.29
,,2001 - 2002,2.48
,,2002 - 2003,1.68
,,2003 - 2004,2.29
,,2004 - 2005,2.2
,,2005 - 2006,2.05
,,2006 - 2007,2.51
,,2007 - 2008,1.35
,,2008 - 2009,2.45
,,2009 - 2010,2.64
,,2010 - 2011,2.62
,,2011 - 2012,2.46
,,2012 - 2013,2.42
,,2013 - 2014,2.57
,,2014 - 2015,2.26
,,2015 - 2016,2.44
,,2016 - 2017,2.51
,,2017 - 2018,2.64
,,2018 - 2019,2.62
,,2019 - 2020,3.14
,,2020 - 2021,2.73
,,2021 - 2022,2.87
,,2022 - 2023,2.45
,Pali,2000 - 2001,1.38
,,2001 - 2002,1.47
,,2002 - 2003,1.28
,,2003 - 2004,1.29
,,2004 - 2005,1.72
,,2005 - 2006,1.67
,,2006 - 2007,2.23
,,2007 - 2008,2.53
,,2008 - 2009,2.08
,,2009 - 2010,2.2
,,2010 - 2011,2.07
,,2011 - 2012,2.7
,,2012 - 2013,2.61
,,2013 - 2014,2.86
,,2014 - 2015,2.41
,,2015 - 2016,2.58
,,2016 - 2017,2.7
,,2017 - 2018,2.79
,,2018 - 2019,2.57
,,2019 - 2020,2.89
,,2020 - 2021,3.22
,,2021 - 2022,3.29
,,2022 - 2023,2.82
,Pratapgarh,2008 - 2009,1.76
,,2009 - 2010,2.05
,,2010 - 2011,1.95
,,2011 - 2012,2.46
,,2012 - 2013,2.42
,,2013 - 2014,2.6
,,2014 - 2015,3.79
,,2015 - 2016,2.37
,,2016 - 2017,3.55
,,2017 - 2018,3.81
,,2018 - 2019,2.42
,,2019 - 2020,3.75
,,2020 - 2021,3.57
,,2021 - 2022,3.86
,,2022 - 2023,3.63
,Rajsamand,2000 - 2001,1.75
,,2001 - 2002,2.19
,,2002 - 2003,1.87
,,2003 - 2004,2.42
,,2004 - 2005,0.88
,,2005 - 2006,2.6
,,2006 - 2007,2.21
,,2007 - 2008,2.0
,,2008 - 2009,1.85
,,2009 - 2010,1.98
,,2010 - 2011,1.79
,,2011 - 2012,2.72
,,2012 - 2013,2.78
,,2013 - 2014,2.67
,,2014 - 2015,1.74
,,2015 - 2016,2.39
,,2016 - 2017,2.43
,,2017 - 2018,2.7
,,2018 - 2019,2.58
,,2019 - 2020,2.89
,,2020 - 2021,3.58
,,2021 - 2022,3.32
,,2022 - 2023,2.77
,Sawai madhopur,2000 - 2001,1.09
,,2001 - 2002,2.16
,,2002 - 2003,1.71
,,2003 - 2004,2.04
,,2004 - 2005,1.18
,,2005 - 2006,1.64
,,2006 - 2007,1.37
,,2007 - 2008,1.43
,,2008 - 2009,1.97
,,2009 - 2010,1.97
,,2010 - 2011,2.85
,,2011 - 2012,2.84
,,2012 - 2013,3.11
,,2013 - 2014,3.05
,,2014 - 2015,2.8
,,2015 - 2016,2.99
,,2016 - 2017,3.3
,,2017 - 2018,3.32
,,2018 - 2019,3.6
,,2019 - 2020,3.53
,,2020 - 2021,3.5
,,2021 - 2022,3.55
,,2022 - 2023,3.4
,Sikar,2000 - 2001,2.02
,,2001 - 2002,2.47
,,2002 - 2003,2.53
,,2003 - 2004,2.55
,,2004 - 2005,2.44
,,2005 - 2006,1.87
,,2006 - 2007,2.75
,,2007 - 2008,1.79
,,2008 - 2009,2.59
,,2009 - 2010,2.84
,,2010 - 2011,2.64
,,2011 - 2012,2.67
,,2012 - 2013,3.14
,,2013 - 2014,3.24
,,2014 - 2015,3.41
,,2015 - 2016,3.45
,,2016 - 2017,3.71
,,2017 - 2018,3.24
,,2018 - 2019,3.95
,,2019 - 2020,3.52
,,2020 - 2021,3.4
,,2021 - 2022,3.82
,,2022 - 2023,2.83
,Sirohi,2000 - 2001,1.82
,,2001 - 2002,2.57
,,2002 - 2003,2.33
,,2003 - 2004,2.25
,,2004 - 2005,2.38
,,2005 - 2006,2.27
,,2006 - 2007,2.55
,,2007 - 2008,2.16
,,2008 - 2009,3.06
,,2009 - 2010,2.77
,,2010 - 2011,2.85
,,2011 - 2012,2.84
,,2012 - 2013,3.11
,,2013 - 2014,3.05
,,2014 - 2015,2.8
,,2015 - 2016,2.99
,,2016 - 2017,3.3
,,2017 - 2018,3.32
,,2018 - 2019,3.6
,,2019 - 2020,3.53
,,2020 - 2021,3.5
,,2021 - 2022,3.55
,,2022 - 2023,3.4
,Tonk,2000 - 2001,1.6
,,2001 - 2002,2.2
,,2002 - 2003,1.46
,,2003 - 2004,2.22
,,2004 - 2005,1.84
,,2005 - 2006,2.23
,,2006 - 2007,1.96
,,2007 - 2008,1.8
,,2008 - 2009,2.27
,,2009 - 2010,1.98
,,2010 - 2011,2.69
,,2011 - 2012,2.66
,,2012 - 2013,2.74
,,2013 - 2014,2.64
,,2014 - 2015,1.74
,,2015 - 2016,2.62
,,2016 - 2017,2.92
,,2017 - 2018,2.61
,,2018 - 2019,2.64
,,2019 - 2020,3.29
,,2020 - 2021,2.55
,,2021 - 2022,2.7
,,2022 - 2023,3.41
,Udaipur,2000 - 2001,1.78
,,2001 - 2002,1.73
,,2002 - 2003,1.61
,,2003 - 2004,2.65
,,2004 - 2005,2.09
,,2005 - 2006,2.18
,,2006 - 2007,1.92
,,2007 - 2008,1.96
,,2008 - 2009,1.72
,,2009 - 2010,1.81
,,2010 - 2011,1.7
,,2011 - 2012,2.51
,,2012 - 2013,2.06
,,2013 - 2014,2.39
,,2014 - 2015,2.21
,,2015 - 2016,2.55
,,2016 - 2017,2.54
,,2017 - 2018,2.38
,,2018 - 2019,2.42
,,2019 - 2020,2.77
,,2020 - 2021,2.28
,,2021 - 2022,2.27
,,2022 - 2023,2.3
Sikkim,Gangtok,2000 - 2001,1.15
,,2001 - 2002,1.29
,,2002 - 2003,1.2
,,2003 - 2004,1.14
,,2004 - 2005,1.14
,,2005 - 2006,1.18
,,2006 - 2007,1.07
,,2007 - 2008,1.06
,,2008 - 2009,0.9
,,2009 - 2010,0.9
,,2010 - 2011,0.9
,,2011 - 2012,0.93
,,2012 - 2013,1.04
,,2013 - 2014,1.09
,,2014 - 2015,1.07
,,2015 - 2016,1.08
,,2016 - 2017,1.09
,,2017 - 2018,1.09
,,2018 - 2019,1.15
,,2019 - 2020,1.15
,,2020 - 2021,1.15
,,2021 - 2022,1.01
,,2022 - 2023,1.13
,Geyzing,2000 - 2001,1.04
,,2001 - 2002,1.36
,,2002 - 2003,1.49
,,2003 - 2004,1.33
,,2004 - 2005,1.33
,,2005 - 2006,1.36
,,2006 - 2007,1.28
,,2007 - 2008,0.92
,,2008 - 2009,1.11
,,2009 - 2010,0.98
,,2010 - 2011,0.98
,,2011 - 2012,1.0
,,2012 - 2013,0.9
,,2013 - 2014,0.9
,,2014 - 2015,0.9
,,2015 - 2016,0.92
,,2016 - 2017,0.92
,,2021 - 2022,0.94
,Mangan,2000 - 2001,1.0
,,2001 - 2002,0.66
,,2002 - 2003,0.71
,,2003 - 2004,0.79
,,2004 - 2005,0.86
,,2005 - 2006,1.0
,,2006 - 2007,0.86
,,2007 - 2008,1.0
,,2008 - 2009,0.8
,,2009 - 2010,1.01
,,2010 - 2011,1.18
,,2011 - 2012,1.14
,,2012 - 2013,1.07
,,2013 - 2014,1.08
,,2014 - 2015,1.07
,,2015 - 2016,1.09
,,2016 - 2017,1.1
,,2017 - 2018,1.1
,,2018 - 2019,1.19
,,2019 - 2020,1.19
,,2020 - 2021,1.19
,,2021 - 2022,0.98
,,2022 - 2023,1.2
,Namchi,2000 - 2001,1.0
,,2001 - 2002,0.76
,,2002 - 2003,1.0
,,2003 - 2004,1.5
,,2004 - 2005,1.5
,,2005 - 2006,1.6
,,2006 - 2007,1.0
,,2007 - 2008,0.7
,,2008 - 2009,0.93
,,2009 - 2010,0.83
,,2010 - 2011,0.84
,,2011 - 2012,0.8
,,2012 - 2013,0.91
,,2013 - 2014,0.92
,,2014 - 2015,0.9
,,2015 - 2016,0.93
,,2016 - 2017,0.93
,,2017 - 2018,0.92
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2021 - 2022,0.99
,,2022 - 2023,1.0
,Pakyong,2022 - 2023,0.72
Uttar Pradesh,Agra,2000 - 2001,2.75
,,2001 - 2002,2.99
,,2002 - 2003,3.09
,,2003 - 2004,2.75
,,2004 - 2005,2.51
,,2005 - 2006,3.01
,,2006 - 2007,2.41
,,2007 - 2008,2.65
,,2008 - 2009,2.95
,,2009 - 2010,3.0
,,2010 - 2011,3.33
,,2011 - 2012,3.31
,,2012 - 2013,3.25
,,2013 - 2014,3.38
,,2014 - 2015,1.84
,,2015 - 2016,2.72
,,2016 - 2017,3.42
,,2017 - 2018,3.51
,,2018 - 2019,3.48
,,2019 - 2020,3.47
,,2020 - 2021,3.72
,,2021 - 2022,3.27
,,2022 - 2023,3.48
,Aligarh,2000 - 2001,3.49
,,2001 - 2002,3.66
,,2002 - 2003,3.54
,,2003 - 2004,3.46
,,2004 - 2005,3.07
,,2005 - 2006,2.62
,,2006 - 2007,2.79
,,2007 - 2008,3.17
,,2008 - 2009,3.47
,,2009 - 2010,3.03
,,2010 - 2011,3.0
,,2011 - 2012,3.37
,,2012 - 2013,3.23
,,2013 - 2014,3.37
,,2014 - 2015,2.5
,,2015 - 2016,2.77
,,2016 - 2017,3.34
,,2017 - 2018,3.39
,,2018 - 2019,3.29
,,2019 - 2020,4.28
,,2020 - 2021,3.47
,,2021 - 2022,3.78
,,2022 - 2023,3.5
,Allahabad,2000 - 2001,1.41
,,2001 - 2002,1.53
,,2002 - 2003,1.29
,,2003 - 2004,1.32
,,2004 - 2005,1.22
,,2005 - 2006,1.12
,,2006 - 2007,1.49
,,2007 - 2008,0.94
,,2008 - 2009,0.83
,,2009 - 2010,1.34
,,2010 - 2011,1.84
,,2011 - 2012,1.86
,,2012 - 2013,2.76
,,2013 - 2014,3.35
,,2014 - 2015,1.35
,,2015 - 2016,1.64
,,2016 - 2017,3.0
,,2017 - 2018,2.52
,,2018 - 2019,3.16
,,2019 - 2020,2.04
,,2020 - 2021,3.1
,,2021 - 2022,2.36
,,2022 - 2023,1.62
,Ambedkar nagar,2000 - 2001,2.14
,,2001 - 2002,2.38
,,2002 - 2003,2.45
,,2003 - 2004,2.28
,,2004 - 2005,2.04
,,2005 - 2006,1.86
,,2006 - 2007,2.09
,,2007 - 2008,1.84
,,2008 - 2009,2.25
,,2009 - 2010,2.15
,,2010 - 2011,2.24
,,2011 - 2012,2.62
,,2012 - 2013,2.68
,,2013 - 2014,2.9
,,2014 - 2015,1.72
,,2015 - 2016,2.18
,,2016 - 2017,2.77
,,2017 - 2018,2.85
,,2018 - 2019,3.06
,,2019 - 2020,3.28
,,2020 - 2021,3.14
,,2021 - 2022,3.03
,,2022 - 2023,3.07
,Amethi,2010 - 2011,2.24
,,2011 - 2012,2.62
,,2012 - 2013,2.68
,,2013 - 2014,2.9
,,2014 - 2015,1.72
,,2015 - 2016,2.18
,,2016 - 2017,2.77
,,2017 - 2018,2.85
,,2018 - 2019,3.06
,,2019 - 2020,3.22
,,2020 - 2021,3.15
,,2021 - 2022,3.03
,,2022 - 2023,3.07
,Amroha,2000 - 2001,2.28
,,2001 - 2002,2.47
,,2002 - 2003,2.46
,,2003 - 2004,2.37
,,2004 - 2005,2.12
,,2005 - 2006,2.04
,,2006 - 2007,2.16
,,2007 - 2008,2.21
,,2008 - 2009,2.34
,,2009 - 2010,2.29
,,2010 - 2011,2.61
,,2011 - 2012,2.7
,,2012 - 2013,2.66
,,2013 - 2014,2.88
,,2014 - 2015,1.71
,,2015 - 2016,2.19
,,2016 - 2017,2.8
,,2017 - 2018,2.84
,,2018 - 2019,3.08
,,2019 - 2020,3.28
,,2020 - 2021,3.14
,,2021 - 2022,3.03
,,2022 - 2023,3.07
,Auraiya,2000 - 2001,2.2
,,2001 - 2002,2.37
