state,district,year,coriander_whole_year_yield_tonne_per_hectare
,,2020 - 2021,1.45
,Banswara,2003 - 2004,1.33
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.33
,,2022 - 2023,1.0
,Baran,2000 - 2001,1.42
,,2001 - 2002,1.51
,,2002 - 2003,1.13
,,2003 - 2004,1.56
,,2004 - 2005,1.27
,,2005 - 2006,1.16
,,2006 - 2007,1.26
,,2007 - 2008,0.98
,,2008 - 2009,1.22
,,2009 - 2010,1.29
,,2010 - 2011,1.44
,,2011 - 2012,1.35
,,2012 - 2013,1.44
,,2013 - 2014,0.57
,,2014 - 2015,0.94
,,2015 - 2016,1.42
,,2016 - 2017,1.57
,,2017 - 2018,1.76
,,2018 - 2019,1.77
,,2019 - 2020,1.73
,,2020 - 2021,1.64
,,2021 - 2022,1.68
,,2022 - 2023,1.57
,Barmer,2000 - 2001,0.75
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.5
,,2014 - 2015,0.67
,,2015 - 2016,1.0
,,2016 - 2017,1.33
,,2017 - 2018,1.33
,,2018 - 2019,1.0
,,2019 - 2020,1.33
,,2020 - 2021,1.43
,,2021 - 2022,1.5
,,2022 - 2023,1.25
,Bharatpur,2000 - 2001,1.4
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2004 - 2005,1.0
,,2007 - 2008,0.77
,,2008 - 2009,1.17
,,2009 - 2010,1.19
,,2010 - 2011,1.08
,,2011 - 2012,1.24
,,2012 - 2013,1.0
,,2013 - 2014,0.67
,,2014 - 2015,0.77
,,2015 - 2016,1.1
,,2016 - 2017,1.1
,,2017 - 2018,1.29
,,2018 - 2019,1.29
,,2019 - 2020,1.5
,Bhilwara,2000 - 2001,0.45
,,2001 - 2002,0.36
,,2002 - 2003,0.57
,,2003 - 2004,1.23
,,2004 - 2005,1.14
,,2005 - 2006,1.0
,,2006 - 2007,1.33
,,2007 - 2008,0.75
,,2008 - 2009,1.11
,,2009 - 2010,1.25
,,2010 - 2011,1.13
,,2011 - 2012,1.22
,,2012 - 2013,1.33
,,2013 - 2014,0.67
,,2014 - 2015,0.79
,,2015 - 2016,1.07
,,2016 - 2017,1.14
,,2017 - 2018,1.33
,,2018 - 2019,1.31
,,2019 - 2020,1.46
,,2020 - 2021,1.5
,,2021 - 2022,1.46
,,2022 - 2023,1.36
,Bikaner,2000 - 2001,2.0
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,1.24
,,2004 - 2005,1.15
,,2005 - 2006,1.03
,,2006 - 2007,1.19
,,2007 - 2008,0.73
,,2008 - 2009,1.13
,,2009 - 2010,1.21
,,2010 - 2011,1.1
,,2011 - 2012,1.24
,,2012 - 2013,1.18
,,2013 - 2014,0.65
,,2014 - 2015,0.8
,,2015 - 2016,1.07
,,2016 - 2017,1.14
,,2017 - 2018,1.33
,,2018 - 2019,1.3
,,2019 - 2020,1.49
,,2020 - 2021,1.49
,,2021 - 2022,1.48
,,2022 - 2023,1.37
,Bundi,2000 - 2001,0.79
,,2001 - 2002,0.98
,,2002 - 2003,0.89
,,2003 - 2004,1.13
,,2004 - 2005,1.21
,,2005 - 2006,1.26
,,2006 - 2007,1.11
,,2007 - 2008,0.82
,,2008 - 2009,0.83
,,2009 - 2010,1.11
,,2010 - 2011,1.01
,,2011 - 2012,0.91
,,2012 - 2013,1.06
,,2013 - 2014,0.82
,,2014 - 2015,0.08
,,2015 - 2016,1.08
,,2016 - 2017,1.35
,,2017 - 2018,1.56
,,2018 - 2019,1.36
,,2019 - 2020,1.41
,,2020 - 2021,1.61
,,2021 - 2022,1.31
,,2022 - 2023,1.43
,Chittorgarh,2000 - 2001,1.09
,,2001 - 2002,0.99
,,2002 - 2003,1.11
,,2003 - 2004,0.44
,,2004 - 2005,0.77
,,2005 - 2006,0.9
,,2006 - 2007,1.33
,,2007 - 2008,0.91
,,2008 - 2009,0.99
,,2009 - 2010,0.58
,,2010 - 2011,0.65
,,2011 - 2012,1.14
,,2012 - 2013,0.59
,,2013 - 2014,0.72
,,2014 - 2015,0.45
,,2015 - 2016,1.09
,,2016 - 2017,0.99
,,2017 - 2018,1.04
,,2018 - 2019,1.24
,,2019 - 2020,1.71
,,2020 - 2021,1.45
,,2021 - 2022,1.75
,,2022 - 2023,1.31
,Churu,2000 - 2001,3.5
,,2001 - 2002,1.55
,,2002 - 2003,0.67
,,2003 - 2004,1.17
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,0.8
,,2008 - 2009,1.2
,,2009 - 2010,1.23
,,2010 - 2011,1.12
,,2011 - 2012,1.23
,,2012 - 2013,1.17
,,2013 - 2014,0.62
,,2014 - 2015,0.8
,,2015 - 2016,1.06
,,2016 - 2017,1.14
,,2017 - 2018,1.33
,,2018 - 2019,1.3
,,2019 - 2020,1.48
,,2020 - 2021,1.49
,,2021 - 2022,1.48
,,2022 - 2023,1.37
,Dausa,2000 - 2001,1.0
,,2001 - 2002,1.07
,,2002 - 2003,1.0
,,2003 - 2004,1.24
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,0.8
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.25
,,2018 - 2019,1.0
,,2019 - 2020,2.0
,,2022 - 2023,1.33
,Dholpur,2001 - 2002,0.0
,,2002 - 2003,1.0
,,2003 - 2004,1.17
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.2
,,2007 - 2008,0.75
,,2008 - 2009,1.25
,,2009 - 2010,1.0
,,2011 - 2012,1.0
,,2013 - 2014,0.67
,,2014 - 2015,1.0
,,2015 - 2016,1.13
,,2017 - 2018,1.25
,,2020 - 2021,1.67
,,2022 - 2023,1.5
,Dungarpur,2000 - 2001,0.0
,,2001 - 2002,4.0
,,2003 - 2004,1.33
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2016 - 2017,1.33
,,2018 - 2019,1.5
,,2020 - 2021,1.5
,Ganganagar,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.57
,,2003 - 2004,1.27
,,2004 - 2005,1.17
,,2005 - 2006,1.04
,,2006 - 2007,1.25
,,2007 - 2008,0.71
,,2008 - 2009,1.08
,,2009 - 2010,0.67
,,2010 - 2011,1.17
,,2011 - 2012,1.21
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2015 - 2016,1.09
,,2016 - 2017,1.13
,,2017 - 2018,1.31
,,2020 - 2021,1.48
,,2021 - 2022,1.33
,Hanumangarh,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2008 - 2009,1.0
,,2015 - 2016,1.0
,,2020 - 2021,2.0
,Jaipur,2000 - 2001,0.3
,,2001 - 2002,0.74
,,2002 - 2003,0.62
,,2003 - 2004,1.25
,,2004 - 2005,1.15
,,2005 - 2006,1.05
,,2006 - 2007,1.19
,,2007 - 2008,0.78
,,2008 - 2009,1.13
,,2009 - 2010,1.6
,,2010 - 2011,1.1
,,2011 - 2012,1.23
,,2012 - 2013,1.19
,,2013 - 2014,0.64
,,2014 - 2015,0.8
,,2015 - 2016,1.0
,,2016 - 2017,1.2
,,2017 - 2018,1.33
,,2018 - 2019,1.3
,,2019 - 2020,1.49
,,2020 - 2021,1.46
,,2021 - 2022,1.47
,,2022 - 2023,1.39
,Jaisalmer,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.13
,,2003 - 2004,1.22
,,2004 - 2005,1.15
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,0.8
,,2008 - 2009,1.0
,,2009 - 2010,2.0
,,2010 - 2011,1.11
,,2011 - 2012,1.27
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,0.5
,,2015 - 2016,1.05
,,2016 - 2017,1.17
,,2017 - 2018,1.33
,,2018 - 2019,1.4
,,2019 - 2020,2.0
,,2021 - 2022,1.5
,Jalore,2000 - 2001,1.0
,,2001 - 2002,0.62
,,2003 - 2004,1.27
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.14
,,2007 - 2008,0.71
,,2009 - 2010,1.0
,,2010 - 2011,1.14
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.75
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.14
,,2017 - 2018,1.33
,,2018 - 2019,1.0
,,2019 - 2020,1.5
,,2020 - 2021,1.47
,,2021 - 2022,1.5
,,2022 - 2023,1.4
,Jhalawar,2000 - 2001,0.84
,,2001 - 2002,0.74
,,2002 - 2003,0.99
,,2003 - 2004,1.08
,,2004 - 2005,0.99
,,2005 - 2006,0.84
,,2006 - 2007,1.1
,,2007 - 2008,0.45
,,2008 - 2009,0.95
,,2009 - 2010,1.1
,,2010 - 2011,0.81
,,2011 - 2012,1.05
,,2012 - 2013,0.93
,,2013 - 2014,0.66
,,2014 - 2015,0.86
,,2015 - 2016,0.91
,,2016 - 2017,0.87
,,2017 - 2018,1.23
,,2018 - 2019,1.06
,,2019 - 2020,1.31
,,2020 - 2021,1.33
,,2021 - 2022,1.33
,,2022 - 2023,1.22
,Jhunjhunu,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.14
,,2007 - 2008,0.83
,,2008 - 2009,1.11
,,2009 - 2010,1.25
,,2010 - 2011,1.0
,,2011 - 2012,1.33
,,2012 - 2013,1.0
,,2013 - 2014,0.63
,,2014 - 2015,0.67
,,2016 - 2017,1.0
,,2017 - 2018,1.5
,,2018 - 2019,1.0
,,2019 - 2020,2.0
,,2020 - 2021,1.43
,,2021 - 2022,1.46
,,2022 - 2023,1.39
,Jodhpur,2000 - 2001,0.59
,,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2003 - 2004,1.24
,,2004 - 2005,1.15
,,2005 - 2006,1.05
,,2006 - 2007,1.19
,,2007 - 2008,0.78
,,2008 - 2009,1.12
,,2009 - 2010,0.97
,,2010 - 2011,1.11
,,2011 - 2012,1.23
,,2012 - 2013,1.17
,,2013 - 2014,0.64
,,2014 - 2015,0.8
,,2015 - 2016,1.07
,,2016 - 2017,1.14
,,2017 - 2018,1.33
,,2018 - 2019,1.3
,,2019 - 2020,1.49
,,2020 - 2021,1.49
,,2021 - 2022,1.48
,,2022 - 2023,1.37
,Karauli,2000 - 2001,0.23
,,2001 - 2002,0.02
,,2002 - 2003,0.53
,,2003 - 2004,1.25
,,2004 - 2005,1.17
,,2005 - 2006,1.0
,,2006 - 2007,1.2
,,2007 - 2008,1.0
,,2008 - 2009,1.13
,,2009 - 2010,1.19
,,2010 - 2011,1.1
,,2011 - 2012,1.22
,,2012 - 2013,1.33
,,2013 - 2014,0.75
,,2014 - 2015,0.75
,,2015 - 2016,1.0
,,2016 - 2017,1.1
,,2017 - 2018,1.0
,,2018 - 2019,1.33
,,2020 - 2021,1.33
,,2021 - 2022,2.0
,,2022 - 2023,1.0
,Kota,2000 - 2001,1.14
,,2001 - 2002,1.16
,,2002 - 2003,1.18
,,2003 - 2004,1.07
,,2004 - 2005,1.31
,,2005 - 2006,1.1
,,2006 - 2007,1.26
,,2007 - 2008,1.07
,,2008 - 2009,1.28
,,2009 - 2010,1.33
,,2010 - 2011,1.26
,,2011 - 2012,1.44
,,2012 - 2013,1.37
,,2013 - 2014,0.67
,,2014 - 2015,0.62
,,2015 - 2016,1.06
,,2016 - 2017,1.32
,,2017 - 2018,1.22
,,2018 - 2019,1.86
,,2019 - 2020,1.84
,,2020 - 2021,1.65
,,2021 - 2022,1.85
,,2022 - 2023,1.66
,Nagaur,2000 - 2001,0.1
,,2001 - 2002,0.31
,,2002 - 2003,0.92
,,2003 - 2004,1.24
,,2004 - 2005,1.1
,,2005 - 2006,1.0
,,2006 - 2007,1.14
,,2007 - 2008,0.79
,,2008 - 2009,1.1
,,2009 - 2010,1.23
,,2010 - 2011,1.17
,,2011 - 2012,1.22
,,2012 - 2013,1.17
,,2013 - 2014,0.63
,,2014 - 2015,0.81
,,2015 - 2016,1.07
,,2016 - 2017,1.14
,,2017 - 2018,1.33
,,2018 - 2019,1.29
,,2019 - 2020,1.48
,,2020 - 2021,1.49
,,2021 - 2022,1.47
,,2022 - 2023,1.38
,Pali,2000 - 2001,0.5
,,2001 - 2002,0.9
,,2002 - 2003,1.0
,,2003 - 2004,1.25
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,0.83
,,2008 - 2009,1.13
,,2009 - 2010,1.2
,,2010 - 2011,1.11
,,2011 - 2012,1.23
,,2012 - 2013,1.14
,,2013 - 2014,0.75
,,2014 - 2015,0.81
,,2015 - 2016,1.08
,,2016 - 2017,1.15
,,2017 - 2018,1.34
,,2018 - 2019,1.33
,,2019 - 2020,1.43
,,2020 - 2021,1.5
,,2021 - 2022,1.33
,,2022 - 2023,1.38
,Pratapgarh,2008 - 2009,1.11
,,2009 - 2010,1.21
,,2010 - 2011,1.1
,,2011 - 2012,1.22
,,2012 - 2013,1.19
,,2013 - 2014,0.64
,,2014 - 2015,0.8
,,2015 - 2016,1.07
,,2016 - 2017,1.14
,,2017 - 2018,1.33
,,2018 - 2019,1.3
,,2019 - 2020,1.49
,,2020 - 2021,1.19
,,2021 - 2022,1.39
,,2022 - 2023,1.23
,Rajsamand,2000 - 2001,0.23
,,2001 - 2002,0.35
,,2002 - 2003,0.02
,,2003 - 2004,1.27
,,2004 - 2005,1.15
,,2005 - 2006,1.04
,,2006 - 2007,1.19
,,2007 - 2008,0.79
,,2008 - 2009,1.12
,,2009 - 2010,0.53
,,2010 - 2011,1.1
,,2011 - 2012,1.23
,,2012 - 2013,1.18
,,2013 - 2014,0.63
,,2014 - 2015,0.8
,,2015 - 2016,1.06
,,2016 - 2017,1.15
,,2017 - 2018,1.36
,,2018 - 2019,0.0
,,2019 - 2020,0.13
,,2020 - 2021,1.5
,,2021 - 2022,0.75
,,2022 - 2023,1.33
,Sawai madhopur,2000 - 2001,0.32
,,2001 - 2002,0.4
,,2002 - 2003,0.5
,,2003 - 2004,1.24
,,2004 - 2005,1.16
,,2005 - 2006,1.05
,,2006 - 2007,1.17
,,2007 - 2008,0.78
,,2008 - 2009,1.11
,,2009 - 2010,1.19
,,2010 - 2011,1.11
,,2011 - 2012,1.23
,,2012 - 2013,1.18
,,2013 - 2014,0.64
,,2014 - 2015,0.8
,,2015 - 2016,1.07
,,2016 - 2017,1.34
,,2017 - 2018,1.1
,,2018 - 2019,1.66
,,2019 - 2020,1.49
,,2020 - 2021,1.49
,,2021 - 2022,1.4
,,2022 - 2023,1.35
,Sikar,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,1.24
,,2004 - 2005,1.15
,,2005 - 2006,1.04
,,2006 - 2007,1.15
,,2007 - 2008,0.79
,,2008 - 2009,1.11
,,2009 - 2010,1.19
,,2010 - 2011,1.11
,,2011 - 2012,1.23
,,2012 - 2013,1.2
,,2013 - 2014,0.64
,,2014 - 2015,0.5
,,2015 - 2016,1.07
,,2017 - 2018,1.33
,,2019 - 2020,1.47
,,2020 - 2021,1.5
,,2021 - 2022,1.48
,,2022 - 2023,1.5
,Sirohi,2000 - 2001,0.5
,,2001 - 2002,0.44
,,2002 - 2003,0.67
,,2003 - 2004,1.25
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.14
,,2007 - 2008,1.0
,,2008 - 2009,1.25
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.33
,,2012 - 2013,1.25
,,2013 - 2014,0.67
,,2014 - 2015,0.75
,,2015 - 2016,1.0
,,2016 - 2017,1.15
,,2017 - 2018,1.5
,,2018 - 2019,1.25
,,2019 - 2020,1.47
,,2020 - 2021,1.5
,,2021 - 2022,1.45
,,2022 - 2023,1.25
,Tonk,2000 - 2001,0.33
,,2001 - 2002,0.37
,,2002 - 2003,0.39
,,2003 - 2004,1.24
,,2004 - 2005,1.14
,,2005 - 2006,1.04
,,2006 - 2007,1.13
,,2007 - 2008,0.76
,,2008 - 2009,1.13
,,2009 - 2010,1.23
,,2010 - 2011,1.11
,,2011 - 2012,1.23
,,2012 - 2013,1.19
,,2013 - 2014,0.6
,,2014 - 2015,0.77
,,2015 - 2016,1.07
,,2016 - 2017,1.14
,,2017 - 2018,1.33
,,2018 - 2019,1.31
,,2019 - 2020,1.49
,,2020 - 2021,1.49
,,2021 - 2022,1.5
,,2022 - 2023,1.33
,Udaipur,2000 - 2001,0.35
,,2001 - 2002,0.48
,,2002 - 2003,0.39
,,2003 - 2004,1.26
,,2004 - 2005,1.14
,,2005 - 2006,1.05
,,2006 - 2007,1.17
,,2007 - 2008,0.78
,,2008 - 2009,1.12
,,2009 - 2010,1.33
,,2010 - 2011,1.12
,,2011 - 2012,1.24
,,2012 - 2013,1.17
,,2013 - 2014,0.61
,,2014 - 2015,0.81
,,2015 - 2016,1.09
,,2016 - 2017,1.17
,,2017 - 2018,1.29
,,2018 - 2019,1.29
,,2019 - 2020,1.0
,,2020 - 2021,1.4
,,2021 - 2022,1.38
,,2022 - 2023,1.37
Tamil Nadu,Ariyalur,2008 - 2009,0.0
,,2009 - 2010,0.4
,,2011 - 2012,0.47
,,2013 - 2014,0.36
,,2014 - 2015,0.87
,,2015 - 2016,0.61
,,2016 - 2017,0.17
,,2017 - 2018,0.5
,,2018 - 2019,0.38
,,2019 - 2020,0.67
,,2020 - 2021,0.14
,,2021 - 2022,0.33
,,2022 - 2023,0.44
,Chengalpattu,2022 - 2023,0.33
,Coimbatore,2000 - 2001,0.18
,,2002 - 2003,0.48
,,2003 - 2004,0.52
,,2004 - 2005,0.73
,,2005 - 2006,0.31
,,2006 - 2007,0.45
,,2007 - 2008,0.55
,,2008 - 2009,1.29
,,2009 - 2010,0.36
,,2011 - 2012,0.47
,,2013 - 2014,0.35
,,2014 - 2015,0.88
,,2015 - 2016,0.42
,,2016 - 2017,0.46
,,2017 - 2018,0.35
,,2018 - 2019,0.39
,,2019 - 2020,0.43
,,2020 - 2021,0.26
,,2021 - 2022,0.18
,,2022 - 2023,0.39
,Cuddalore,2000 - 2001,0.1
,,2002 - 2003,0.18
,,2003 - 2004,0.4
,,2004 - 2005,0.34
,,2005 - 2006,0.23
,,2006 - 2007,0.41
,,2007 - 2008,0.4
,,2008 - 2009,0.35
,,2009 - 2010,0.39
,,2011 - 2012,0.35
,,2013 - 2014,0.35
,,2014 - 2015,0.86
,,2015 - 2016,0.6
,,2016 - 2017,0.0
,,2018 - 2019,1.0
,,2022 - 2023,0.33
,Dharmapuri,2000 - 2001,0.34
,,2002 - 2003,0.19
,,2003 - 2004,0.29
,,2004 - 2005,0.43
,,2005 - 2006,0.3
,,2006 - 2007,0.33
,,2007 - 2008,0.39
,,2008 - 2009,0.34
,,2009 - 2010,0.4
,,2011 - 2012,0.47
,,2013 - 2014,0.3
,,2014 - 2015,0.89
,,2015 - 2016,0.6
,,2016 - 2017,0.16
,,2017 - 2018,0.51
,,2018 - 2019,0.39
,,2019 - 2020,0.5
,,2020 - 2021,0.57
,,2021 - 2022,0.54
,,2022 - 2023,0.49
,Dindigul,2000 - 2001,0.23
,,2002 - 2003,0.19
,,2003 - 2004,0.29
,,2004 - 2005,0.43
,,2005 - 2006,0.3
,,2006 - 2007,0.33
,,2007 - 2008,0.38
,,2008 - 2009,0.34
,,2009 - 2010,0.39
,,2011 - 2012,0.46
,,2013 - 2014,0.33
,,2014 - 2015,0.88
,,2015 - 2016,0.6
,,2016 - 2017,0.16
,,2017 - 2018,0.5
,,2018 - 2019,0.43
,,2019 - 2020,0.52
,,2020 - 2021,0.22
,,2021 - 2022,0.33
,,2022 - 2023,0.41
,Erode,2003 - 2004,0.25
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.0
,,2009 - 2010,0.0
,,2013 - 2014,0.33
,,2014 - 2015,1.0
,,2017 - 2018,0.67
,,2019 - 2020,0.43
,,2021 - 2022,0.5
,Kallakurichi,2021 - 2022,0.5
,Kanchipuram,2000 - 2001,0.2
,,2003 - 2004,0.27
,,2004 - 2005,0.4
,,2005 - 2006,0.33
,,2006 - 2007,0.33
,,2007 - 2008,0.5
,,2014 - 2015,1.0
,Karur,2002 - 2003,0.14
,,2003 - 2004,0.27
,,2004 - 2005,0.5
,,2005 - 2006,0.33
,,2006 - 2007,0.5
,,2007 - 2008,0.0
,,2008 - 2009,0.25
,,2009 - 2010,0.44
,,2011 - 2012,0.44
,,2013 - 2014,0.25
,,2014 - 2015,0.88
,,2015 - 2016,0.59
,,2017 - 2018,0.5
,,2018 - 2019,0.4
,,2019 - 2020,0.5
,,2020 - 2021,0.19
,,2021 - 2022,0.33
,,2022 - 2023,0.43
,Krishnagiri,2003 - 2004,0.29
,,2004 - 2005,0.43
,,2005 - 2006,0.31
,,2006 - 2007,0.33
,,2007 - 2008,0.39
,,2008 - 2009,0.34
,,2009 - 2010,0.4
,,2011 - 2012,0.47
,,2013 - 2014,0.35
,,2014 - 2015,0.88
,,2015 - 2016,0.59
,,2016 - 2017,0.14
,,2017 - 2018,0.5
,,2018 - 2019,0.4
,,2019 - 2020,0.5
,,2020 - 2021,0.15
,,2021 - 2022,0.33
,,2022 - 2023,0.39
,Madurai,2000 - 2001,0.23
,,2002 - 2003,0.19
,,2003 - 2004,0.29
,,2004 - 2005,0.43
,,2005 - 2006,0.3
,,2006 - 2007,0.33
,,2007 - 2008,0.38
,,2008 - 2009,0.34
,,2009 - 2010,0.4
,,2011 - 2012,0.47
,,2013 - 2014,0.35
,,2014 - 2015,0.88
,,2015 - 2016,0.6
,,2016 - 2017,0.16
,,2017 - 2018,0.5
,,2018 - 2019,0.4
,,2019 - 2020,0.49
,,2020 - 2021,0.17
,,2021 - 2022,0.33
,,2022 - 2023,0.41
,Namakkal,2000 - 2001,0.24
,,2002 - 2003,0.19
,,2003 - 2004,0.3
,,2004 - 2005,0.44
,,2005 - 2006,0.31
,,2006 - 2007,0.29
,,2007 - 2008,0.33
,,2008 - 2009,0.0
,,2009 - 2010,0.38
,,2011 - 2012,0.45
,,2013 - 2014,0.33
,,2014 - 2015,0.87
,,2015 - 2016,0.6
,,2016 - 2017,0.16
,,2017 - 2018,0.51
,,2018 - 2019,0.39
,,2019 - 2020,0.5
,,2020 - 2021,0.32
,,2022 - 2023,0.4
,Perambalur,2000 - 2001,0.11
,,2002 - 2003,0.25
,,2003 - 2004,0.29
,,2004 - 2005,0.32
,,2005 - 2006,0.28
,,2006 - 2007,0.32
,,2007 - 2008,0.32
,,2008 - 2009,0.93
,,2009 - 2010,0.39
,,2011 - 2012,0.48
,,2013 - 2014,0.36
,,2014 - 2015,0.88
,,2015 - 2016,0.59
,,2016 - 2017,0.16
,,2017 - 2018,0.52
,,2018 - 2019,0.4
,,2019 - 2020,0.51
,,2020 - 2021,0.18
,,2021 - 2022,0.38
,,2022 - 2023,0.36
,Pudukkottai,2000 - 2001,0.22
,,2002 - 2003,0.2
,,2003 - 2004,0.33
,,2004 - 2005,0.38
,,2006 - 2007,0.0
,,2008 - 2009,0.33
,,2009 - 2010,0.4
,,2011 - 2012,0.4
,,2014 - 2015,0.88
,,2015 - 2016,0.6
,,2016 - 2017,0.18
,,2019 - 2020,0.6
,,2020 - 2021,0.19
,,2021 - 2022,0.33
,Ramanathapuram,2000 - 2001,0.25
,,2002 - 2003,0.07
,,2003 - 2004,0.1
,,2004 - 2005,0.34
,,2005 - 2006,0.3
,,2006 - 2007,0.41
,,2007 - 2008,0.46
,,2008 - 2009,0.23
,,2009 - 2010,0.42
,,2011 - 2012,0.28
,,2013 - 2014,0.38
,,2014 - 2015,1.62
,,2015 - 2016,0.61
,,2016 - 2017,0.0
,,2017 - 2018,0.7
,,2018 - 2019,0.36
,,2019 - 2020,0.4
,,2020 - 2021,0.13
,,2021 - 2022,0.26
,,2022 - 2023,0.19
,Ranipet,2020 - 2021,0.11
,Salem,2000 - 2001,0.55
,,2002 - 2003,0.19
,,2003 - 2004,0.28
,,2004 - 2005,0.44
,,2005 - 2006,0.3
,,2006 - 2007,0.32
,,2007 - 2008,0.39
,,2008 - 2009,0.34
,,2009 - 2010,0.39
,,2011 - 2012,0.45
,,2013 - 2014,0.35
,,2014 - 2015,0.87
,,2015 - 2016,0.59
,,2016 - 2017,0.17
,,2017 - 2018,0.56
,,2018 - 2019,0.33
,,2019 - 2020,0.5
,,2020 - 2021,0.17
,,2021 - 2022,0.35
,,2022 - 2023,0.41
,Sivaganga,2002 - 2003,0.33
,,2003 - 2004,0.25
,,2004 - 2005,0.44
,,2005 - 2006,0.27
,,2006 - 2007,0.0
,,2007 - 2008,0.5
,,2008 - 2009,0.3
,,2009 - 2010,0.0
,,2011 - 2012,0.43
,,2013 - 2014,0.0
,,2014 - 2015,1.0
,,2015 - 2016,0.58
,,2016 - 2017,0.15
,,2017 - 2018,0.53
,,2018 - 2019,0.39
,,2019 - 2020,0.5
,Thanjavur,2002 - 2003,0.1
,,2003 - 2004,0.4
,,2013 - 2014,0.0
,,2021 - 2022,0.0
,,2022 - 2023,0.42
,The nilgiris,2003 - 2004,0.3
,,2004 - 2005,0.4
,,2017 - 2018,1.0
,,2021 - 2022,0.5
,Theni,2000 - 2001,0.24
,,2002 - 2003,0.14
,,2003 - 2004,0.3
,,2004 - 2005,0.42
,,2005 - 2006,0.3
,,2006 - 2007,0.32
,,2007 - 2008,0.39
,,2008 - 2009,0.33
,,2009 - 2010,0.4
,,2011 - 2012,0.46
,,2013 - 2014,0.34
,,2014 - 2015,0.88
,,2015 - 2016,0.59
,,2016 - 2017,0.16
,,2017 - 2018,0.51
,,2018 - 2019,0.39
,,2021 - 2022,0.34
,,2022 - 2023,0.38
,Thenkasi,2021 - 2022,0.25
,Thiruvallur,2000 - 2001,0.2
,,2002 - 2003,0.2
,,2003 - 2004,0.29
,,2011 - 2012,0.44
,,2014 - 2015,1.0
,,2018 - 2019,0.33
,,2019 - 2020,0.33
,,2021 - 2022,0.0
,Thiruvarur,2003 - 2004,0.33
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,Thoothukudi,2000 - 2001,0.34
,,2002 - 2003,0.12
,,2003 - 2004,0.17
,,2004 - 2005,0.32
,,2005 - 2006,0.27
,,2006 - 2007,0.2
,,2007 - 2008,0.09
,,2008 - 2009,0.23
,,2009 - 2010,0.4
,,2011 - 2012,0.39
,,2013 - 2014,0.07
,,2014 - 2015,0.88
,,2015 - 2016,0.8
,,2016 - 2017,0.0
,,2017 - 2018,0.46
,,2018 - 2019,0.31
,,2019 - 2020,0.59
,,2020 - 2021,0.09
,,2021 - 2022,0.2
,,2022 - 2023,0.23
,Tiruchirappalli,2000 - 2001,0.23
,,2002 - 2003,0.13
,,2003 - 2004,0.5
,,2004 - 2005,0.55
,,2005 - 2006,0.32
,,2006 - 2007,0.3
,,2007 - 2008,0.81
,,2008 - 2009,0.34
,,2009 - 2010,0.33
,,2011 - 2012,0.47
,,2013 - 2014,0.57
,,2014 - 2015,0.35
,,2015 - 2016,0.68
,,2016 - 2017,0.36
,,2017 - 2018,0.41
,,2018 - 2019,0.31
,,2019 - 2020,0.48
