state,district,year,arhar_tur_kharif_yield_tonne_per_hectare
,Sivasagar,2000 - 2001,0.64
,,2001 - 2002,0.63
,,2002 - 2003,0.63
,,2003 - 2004,0.59
,,2004 - 2005,0.6
,,2005 - 2006,0.65
,,2006 - 2007,0.62
,,2007 - 2008,0.63
,,2008 - 2009,0.6
,,2009 - 2010,0.62
,,2010 - 2011,0.59
,,2011 - 2012,0.55
,,2012 - 2013,0.65
,,2013 - 2014,0.65
,,2014 - 2015,0.81
,,2015 - 2016,0.89
,,2016 - 2017,0.81
,,2017 - 2018,0.87
,,2018 - 2019,1.03
,,2019 - 2020,1.02
,,2020 - 2021,1.12
,,2021 - 2022,1.15
,,2022 - 2023,1.0
,Sonitpur,2000 - 2001,0.82
,,2001 - 2002,0.8
,,2002 - 2003,0.82
,,2003 - 2004,0.83
,,2004 - 2005,0.82
,,2005 - 2006,0.83
,,2006 - 2007,0.83
,,2007 - 2008,0.91
,,2008 - 2009,0.87
,,2009 - 2010,0.79
,,2010 - 2011,0.82
,,2011 - 2012,0.83
,,2012 - 2013,0.92
,,2013 - 2014,0.93
,,2014 - 2015,1.03
,,2015 - 2016,0.94
,,2016 - 2017,0.94
,,2017 - 2018,0.93
,,2018 - 2019,0.96
,,2019 - 2020,1.06
,,2020 - 2021,1.02
,,2021 - 2022,1.05
,,2022 - 2023,1.05
,South salmara mancachar,2020 - 2021,0.98
,,2021 - 2022,0.98
,,2022 - 2023,0.95
,Tinsukia,2000 - 2001,0.75
,,2001 - 2002,0.74
,,2002 - 2003,0.74
,,2003 - 2004,0.75
,,2004 - 2005,0.75
,,2005 - 2006,0.74
,,2006 - 2007,0.74
,,2007 - 2008,0.75
,,2008 - 2009,0.74
,,2009 - 2010,0.74
,,2010 - 2011,0.75
,,2011 - 2012,0.79
,,2012 - 2013,0.83
,,2013 - 2014,0.94
,,2014 - 2015,0.96
,,2015 - 2016,0.73
,,2016 - 2017,0.58
,,2017 - 2018,0.58
,,2018 - 2019,0.56
,,2019 - 2020,0.57
,,2020 - 2021,0.58
,,2021 - 2022,0.6
,,2022 - 2023,0.61
,Udalguri,2005 - 2006,0.6
,,2006 - 2007,0.6
,,2007 - 2008,0.6
,,2008 - 2009,0.6
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.7
,,2012 - 2013,0.68
,,2013 - 2014,0.72
,,2014 - 2015,0.77
,,2015 - 2016,0.87
,,2016 - 2017,0.83
,,2017 - 2018,0.82
,,2018 - 2019,0.87
,,2019 - 2020,0.91
,,2020 - 2021,0.8
,,2021 - 2022,0.85
,,2022 - 2023,0.88
,West karbi anglong,2020 - 2021,0.76
,,2021 - 2022,0.76
,,2022 - 2023,0.76
Bihar,Araria,2000 - 2001,1.0
,,2001 - 2002,1.4
,,2002 - 2003,1.22
,,2003 - 2004,1.21
,,2004 - 2005,1.23
,,2005 - 2006,1.08
,,2006 - 2007,1.23
,,2007 - 2008,1.06
,,2008 - 2009,1.15
,,2009 - 2010,1.35
,,2010 - 2011,0.57
,,2011 - 2012,1.9
,,2012 - 2013,0.99
,,2013 - 2014,1.67
,,2014 - 2015,1.4
,,2016 - 2017,1.58
,Arwal,2003 - 2004,1.26
,,2004 - 2005,1.0
,,2005 - 2006,1.01
,,2007 - 2008,1.13
,,2008 - 2009,0.98
,,2009 - 2010,1.43
,,2010 - 2011,1.15
,,2011 - 2012,1.48
,,2012 - 2013,1.2
,,2013 - 2014,1.29
,,2014 - 2015,0.84
,,2015 - 2016,1.75
,,2016 - 2017,0.97
,,2018 - 2019,1.71
,,2019 - 2020,1.3
,,2020 - 2021,1.39
,,2021 - 2022,1.74
,,2022 - 2023,1.88
,Aurangabad,2000 - 2001,0.69
,,2001 - 2002,1.29
,,2002 - 2003,1.38
,,2003 - 2004,1.33
,,2004 - 2005,1.53
,,2005 - 2006,1.02
,,2006 - 2007,1.97
,,2007 - 2008,1.09
,,2008 - 2009,1.16
,,2009 - 2010,1.56
,,2010 - 2011,1.91
,,2011 - 2012,1.71
,,2012 - 2013,1.93
,,2013 - 2014,1.86
,,2014 - 2015,2.14
,,2015 - 2016,1.28
,,2016 - 2017,1.47
,,2017 - 2018,0.76
,,2018 - 2019,1.67
,,2019 - 2020,1.23
,,2020 - 2021,1.15
,,2021 - 2022,1.2
,,2022 - 2023,1.4
,Banka,2000 - 2001,0.67
,,2001 - 2002,1.45
,,2002 - 2003,1.6
,,2003 - 2004,1.5
,,2004 - 2005,1.53
,,2005 - 2006,0.83
,,2006 - 2007,1.5
,,2007 - 2008,2.21
,,2008 - 2009,1.52
,,2009 - 2010,1.48
,,2010 - 2011,0.87
,,2011 - 2012,0.72
,,2012 - 2013,0.65
,,2013 - 2014,2.37
,,2014 - 2015,0.52
,,2015 - 2016,1.37
,,2016 - 2017,0.96
,,2017 - 2018,1.31
,,2018 - 2019,1.99
,,2019 - 2020,2.04
,,2020 - 2021,1.42
,,2021 - 2022,1.35
,,2022 - 2023,1.57
,Begusarai,2000 - 2001,2.0
,,2001 - 2002,1.42
,,2002 - 2003,1.39
,,2003 - 2004,0.82
,,2004 - 2005,1.62
,,2005 - 2006,1.5
,,2006 - 2007,1.15
,,2007 - 2008,1.77
,,2008 - 2009,1.74
,,2009 - 2010,1.25
,,2010 - 2011,1.64
,,2011 - 2012,2.46
,,2012 - 2013,2.75
,,2013 - 2014,1.01
,,2014 - 2015,1.97
,,2015 - 2016,1.52
,,2016 - 2017,1.67
,,2017 - 2018,1.13
,,2018 - 2019,1.69
,,2019 - 2020,1.45
,,2020 - 2021,1.95
,,2021 - 2022,1.39
,,2022 - 2023,1.7
,Bhagalpur,2000 - 2001,1.63
,,2001 - 2002,1.45
,,2002 - 2003,1.04
,,2003 - 2004,1.35
,,2004 - 2005,1.53
,,2005 - 2006,1.79
,,2006 - 2007,1.15
,,2007 - 2008,0.88
,,2008 - 2009,1.8
,,2009 - 2010,2.84
,,2010 - 2011,1.25
,,2011 - 2012,1.37
,,2012 - 2013,1.02
,,2013 - 2014,1.32
,,2014 - 2015,0.58
,,2015 - 2016,1.37
,,2016 - 2017,1.92
,,2017 - 2018,1.24
,,2018 - 2019,0.83
,,2019 - 2020,1.65
,,2020 - 2021,1.71
,,2021 - 2022,1.77
,,2022 - 2023,2.95
,Bhojpur,2000 - 2001,1.2
,,2001 - 2002,1.22
,,2002 - 2003,1.3
,,2003 - 2004,0.87
,,2004 - 2005,1.6
,,2005 - 2006,1.76
,,2006 - 2007,1.5
,,2007 - 2008,1.67
,,2008 - 2009,1.3
,,2009 - 2010,2.67
,,2010 - 2011,1.42
,,2011 - 2012,2.04
,,2012 - 2013,5.78
,,2013 - 2014,2.22
,,2014 - 2015,1.83
,,2015 - 2016,1.3
,,2016 - 2017,0.95
,,2017 - 2018,1.31
,,2018 - 2019,3.07
,,2019 - 2020,1.06
,,2020 - 2021,2.27
,,2021 - 2022,1.6
,,2022 - 2023,2.37
,Buxar,2000 - 2001,1.42
,,2001 - 2002,0.94
,,2002 - 2003,1.88
,,2003 - 2004,2.34
,,2004 - 2005,1.67
,,2005 - 2006,1.22
,,2006 - 2007,0.5
,,2007 - 2008,1.39
,,2008 - 2009,0.89
,,2009 - 2010,1.04
,,2010 - 2011,1.45
,,2011 - 2012,2.51
,,2012 - 2013,1.32
,,2013 - 2014,2.39
,,2014 - 2015,2.0
,,2015 - 2016,1.59
,,2016 - 2017,1.74
,,2017 - 2018,9.06
,,2018 - 2019,1.79
,,2019 - 2020,1.39
,,2020 - 2021,2.02
,,2021 - 2022,1.61
,,2022 - 2023,1.85
,Darbhanga,2000 - 2001,1.38
,,2001 - 2002,0.61
,,2002 - 2003,1.26
,,2003 - 2004,0.46
,,2004 - 2005,1.18
,,2005 - 2006,0.83
,,2006 - 2007,0.74
,,2007 - 2008,0.98
,,2008 - 2009,0.97
,,2009 - 2010,0.62
,,2010 - 2011,1.33
,,2011 - 2012,1.61
,,2012 - 2013,2.13
,,2013 - 2014,1.5
,,2014 - 2015,1.14
,,2015 - 2016,1.1
,,2016 - 2017,5.14
,,2017 - 2018,0.56
,,2018 - 2019,1.83
,,2019 - 2020,1.44
,,2020 - 2021,1.37
,,2021 - 2022,1.24
,,2022 - 2023,1.94
,Gaya,2000 - 2001,0.98
,,2001 - 2002,1.63
,,2002 - 2003,1.18
,,2003 - 2004,1.04
,,2004 - 2005,1.05
,,2005 - 2006,1.07
,,2006 - 2007,1.4
,,2007 - 2008,1.35
,,2008 - 2009,0.98
,,2009 - 2010,1.37
,,2010 - 2011,0.97
,,2011 - 2012,1.47
,,2012 - 2013,1.48
,,2013 - 2014,1.04
,,2014 - 2015,1.6
,,2015 - 2016,1.25
,,2016 - 2017,1.61
,,2017 - 2018,1.07
,,2018 - 2019,2.01
,,2019 - 2020,1.41
,,2020 - 2021,1.35
,,2021 - 2022,1.91
,,2022 - 2023,1.94
,Gopalganj,2000 - 2001,0.95
,,2001 - 2002,1.28
,,2002 - 2003,0.53
,,2003 - 2004,0.64
,,2004 - 2005,1.27
,,2005 - 2006,1.67
,,2006 - 2007,0.91
,,2007 - 2008,1.17
,,2008 - 2009,1.13
,,2009 - 2010,1.28
,,2010 - 2011,1.36
,,2011 - 2012,1.3
,,2012 - 2013,1.43
,,2013 - 2014,1.37
,,2014 - 2015,1.24
,,2015 - 2016,1.25
,,2016 - 2017,1.64
,,2017 - 2018,0.24
,,2018 - 2019,2.0
,,2019 - 2020,1.9
,,2020 - 2021,1.57
,,2021 - 2022,1.33
,,2022 - 2023,1.58
,Jamui,2000 - 2001,1.25
,,2001 - 2002,1.17
,,2002 - 2003,0.69
,,2003 - 2004,1.43
,,2004 - 2005,1.53
,,2005 - 2006,1.67
,,2006 - 2007,0.41
,,2007 - 2008,0.4
,,2008 - 2009,1.74
,,2009 - 2010,2.66
,,2010 - 2011,1.95
,,2011 - 2012,1.97
,,2012 - 2013,1.91
,,2013 - 2014,1.94
,,2014 - 2015,1.89
,,2015 - 2016,1.53
,,2016 - 2017,1.73
,,2017 - 2018,1.02
,,2018 - 2019,2.01
,,2019 - 2020,1.7
,,2020 - 2021,1.28
,,2021 - 2022,1.58
,,2022 - 2023,2.14
,Jehanabad,2000 - 2001,0.76
,,2001 - 2002,1.15
,,2002 - 2003,1.2
,,2003 - 2004,1.36
,,2004 - 2005,1.02
,,2005 - 2006,1.49
,,2006 - 2007,1.03
,,2007 - 2008,1.37
,,2008 - 2009,0.98
,,2009 - 2010,1.43
,,2010 - 2011,1.14
,,2011 - 2012,1.48
,,2012 - 2013,1.51
,,2013 - 2014,1.29
,,2014 - 2015,1.56
,,2015 - 2016,1.39
,,2016 - 2017,1.26
,,2017 - 2018,0.91
,,2018 - 2019,1.74
,,2019 - 2020,1.3
,,2020 - 2021,1.39
,,2021 - 2022,2.23
,,2022 - 2023,1.73
,Kaimur (bhabua),2000 - 2001,0.98
,,2001 - 2002,0.9
,,2002 - 2003,0.97
,,2003 - 2004,0.81
,,2004 - 2005,0.95
,,2005 - 2006,1.14
,,2006 - 2007,1.04
,,2007 - 2008,1.39
,,2008 - 2009,1.52
,,2009 - 2010,1.53
,,2010 - 2011,1.5
,,2011 - 2012,1.54
,,2012 - 2013,1.93
,,2013 - 2014,1.63
,,2014 - 2015,1.32
,,2015 - 2016,1.4
,,2016 - 2017,0.66
,,2017 - 2018,0.91
,,2018 - 2019,1.48
,,2019 - 2020,1.21
,,2020 - 2021,1.26
,,2021 - 2022,1.62
,,2022 - 2023,1.78
,Katihar,2000 - 2001,0.85
,,2001 - 2002,0.69
,,2002 - 2003,0.73
,,2003 - 2004,1.22
,,2004 - 2005,1.24
,,2005 - 2006,1.07
,,2006 - 2007,1.23
,,2007 - 2008,1.08
,,2008 - 2009,1.14
,,2009 - 2010,1.34
,,2010 - 2011,0.57
,,2011 - 2012,1.9
,,2012 - 2013,0.99
,,2013 - 2014,1.67
,,2014 - 2015,1.43
,,2015 - 2016,1.58
,,2018 - 2019,2.0
,,2019 - 2020,1.67
,Khagaria,2000 - 2001,1.45
,,2001 - 2002,1.66
,,2002 - 2003,0.65
,,2003 - 2004,1.15
,,2004 - 2005,1.06
,,2005 - 2006,1.6
,,2006 - 2007,0.92
,,2007 - 2008,1.43
,,2008 - 2009,1.74
,,2009 - 2010,1.76
,,2010 - 2011,1.67
,,2011 - 2012,1.96
,,2012 - 2013,2.86
,,2013 - 2014,1.94
,,2014 - 2015,1.89
,,2015 - 2016,1.53
,,2016 - 2017,1.65
,,2017 - 2018,1.05
,,2018 - 2019,1.91
,,2019 - 2020,1.62
,,2020 - 2021,1.51
,,2021 - 2022,1.54
,,2022 - 2023,1.92
,Kishanganj,2000 - 2001,1.04
,,2001 - 2002,1.2
,,2002 - 2003,1.33
,,2003 - 2004,1.21
,,2004 - 2005,1.23
,,2005 - 2006,1.08
,,2006 - 2007,1.24
,,2007 - 2008,1.06
,,2008 - 2009,1.16
,,2009 - 2010,1.36
,,2010 - 2011,0.58
,,2011 - 2012,1.91
,,2012 - 2013,1.0
,,2013 - 2014,1.67
,,2014 - 2015,1.43
,,2015 - 2016,1.58
,,2016 - 2017,1.57
,,2017 - 2018,1.56
,,2018 - 2019,1.84
,,2019 - 2020,1.69
,,2020 - 2021,1.6
,,2021 - 2022,1.59
,,2022 - 2023,1.88
,Lakhisarai,2000 - 2001,1.77
,,2001 - 2002,1.42
,,2002 - 2003,1.13
,,2003 - 2004,1.07
,,2004 - 2005,1.53
,,2005 - 2006,1.55
,,2006 - 2007,0.93
,,2007 - 2008,1.43
,,2008 - 2009,1.9
,,2009 - 2010,1.76
,,2010 - 2011,1.67
,,2011 - 2012,1.26
,,2012 - 2013,3.3
,,2013 - 2014,3.39
,,2014 - 2015,1.56
,,2015 - 2016,1.66
,,2021 - 2022,1.55
,Madhepura,2000 - 2001,1.38
,,2001 - 2002,1.29
,,2002 - 2003,1.0
,,2003 - 2004,1.24
,,2004 - 2005,1.23
,,2005 - 2006,1.3
,,2006 - 2007,1.25
,,2007 - 2008,1.38
,,2008 - 2009,1.14
,,2009 - 2010,1.3
,,2010 - 2011,1.55
,,2011 - 2012,1.91
,,2012 - 2013,2.09
,,2013 - 2014,1.66
,,2014 - 2015,1.42
,,2015 - 2016,1.57
,,2016 - 2017,1.58
,,2017 - 2018,1.55
,,2018 - 2019,2.0
,,2019 - 2020,1.6
,,2020 - 2021,1.62
,,2021 - 2022,1.6
,,2022 - 2023,1.86
,Madhubani,2000 - 2001,1.32
,,2001 - 2002,0.62
,,2002 - 2003,1.06
,,2003 - 2004,0.61
,,2004 - 2005,0.92
,,2005 - 2006,0.92
,,2006 - 2007,1.07
,,2007 - 2008,1.28
,,2008 - 2009,1.2
,,2009 - 2010,0.5
,,2010 - 2011,1.4
,,2011 - 2012,1.7
,,2012 - 2013,2.12
,,2013 - 2014,1.5
,,2014 - 2015,1.14
,,2015 - 2016,1.15
,,2016 - 2017,2.04
,,2017 - 2018,0.97
,,2018 - 2019,1.47
,,2019 - 2020,1.54
,,2020 - 2021,1.06
,,2021 - 2022,1.33
,,2022 - 2023,2.1
,Munger,2000 - 2001,1.78
,,2001 - 2002,1.41
,,2002 - 2003,1.13
,,2003 - 2004,1.07
,,2004 - 2005,1.53
,,2005 - 2006,1.55
,,2006 - 2007,0.92
,,2007 - 2008,1.43
,,2008 - 2009,1.74
,,2009 - 2010,1.75
,,2010 - 2011,1.67
,,2011 - 2012,1.96
,,2012 - 2013,2.85
,,2013 - 2014,1.94
,,2014 - 2015,1.53
,,2015 - 2016,1.53
,,2016 - 2017,1.67
,,2017 - 2018,1.04
,,2018 - 2019,1.91
,,2019 - 2020,1.62
,,2020 - 2021,1.51
,,2021 - 2022,1.53
,,2022 - 2023,1.93
,Muzaffarpur,2000 - 2001,1.45
,,2001 - 2002,2.59
,,2002 - 2003,1.8
,,2003 - 2004,2.31
,,2004 - 2005,1.73
,,2005 - 2006,1.59
,,2006 - 2007,1.77
,,2007 - 2008,1.16
,,2008 - 2009,1.54
,,2009 - 2010,1.14
,,2010 - 2011,1.77
,,2011 - 2012,1.1
,,2012 - 2013,1.69
,,2013 - 2014,1.01
,,2014 - 2015,0.89
,,2015 - 2016,1.79
,,2016 - 2017,2.41
,,2017 - 2018,1.74
,,2018 - 2019,1.84
,,2019 - 2020,1.24
,,2020 - 2021,1.99
,,2021 - 2022,1.19
,,2022 - 2023,1.64
,Nalanda,2000 - 2001,2.6
,,2001 - 2002,1.0
,,2002 - 2003,0.8
,,2003 - 2004,0.97
,,2004 - 2005,0.8
,,2005 - 2006,1.88
,,2006 - 2007,1.52
,,2007 - 2008,2.09
,,2008 - 2009,1.61
,,2009 - 2010,1.47
,,2010 - 2011,2.33
,,2011 - 2012,1.73
,,2012 - 2013,1.32
,,2013 - 2014,1.89
,,2014 - 2015,1.75
,,2015 - 2016,2.1
,,2016 - 2017,0.96
,,2017 - 2018,1.77
,,2018 - 2019,2.12
,,2019 - 2020,1.26
,,2020 - 2021,1.92
,,2021 - 2022,1.61
,,2022 - 2023,1.84
,Nawada,2000 - 2001,0.91
,,2001 - 2002,1.02
,,2002 - 2003,1.12
,,2003 - 2004,1.03
,,2004 - 2005,0.81
,,2005 - 2006,0.74
,,2006 - 2007,0.7
,,2007 - 2008,0.69
,,2008 - 2009,0.74
,,2009 - 2010,1.39
,,2010 - 2011,1.05
,,2011 - 2012,1.19
,,2012 - 2013,1.2
,,2013 - 2014,1.0
,,2014 - 2015,0.78
,,2015 - 2016,1.84
,,2016 - 2017,0.58
,,2017 - 2018,0.74
,,2018 - 2019,1.38
,,2019 - 2020,1.22
,,2020 - 2021,1.54
,,2021 - 2022,1.72
,,2022 - 2023,1.99
,Pashchim champaran,2000 - 2001,1.67
,,2001 - 2002,1.47
,,2002 - 2003,0.88
,,2003 - 2004,1.23
,,2004 - 2005,1.27
,,2005 - 2006,1.54
,,2006 - 2007,1.8
,,2007 - 2008,1.76
,,2008 - 2009,1.09
,,2009 - 2010,0.78
,,2010 - 2011,1.23
,,2011 - 2012,2.66
,,2012 - 2013,1.24
,,2013 - 2014,1.35
,,2014 - 2015,1.52
,,2015 - 2016,1.35
,,2016 - 2017,1.17
,,2017 - 2018,1.15
,,2018 - 2019,1.13
,,2019 - 2020,1.74
,,2020 - 2021,1.72
,,2021 - 2022,1.55
,,2022 - 2023,1.63
,Patna,2000 - 2001,1.8
,,2001 - 2002,0.72
,,2002 - 2003,1.81
,,2003 - 2004,1.04
,,2004 - 2005,0.86
,,2005 - 2006,0.67
,,2006 - 2007,0.6
,,2007 - 2008,1.47
,,2008 - 2009,1.37
,,2009 - 2010,1.37
,,2010 - 2011,2.25
,,2011 - 2012,3.03
,,2012 - 2013,3.31
,,2013 - 2014,2.31
,,2014 - 2015,2.11
,,2015 - 2016,1.71
,,2016 - 2017,1.26
,,2017 - 2018,2.26
,,2018 - 2019,2.18
,,2019 - 2020,1.72
,,2020 - 2021,1.61
,,2021 - 2022,1.11
,,2022 - 2023,1.4
,Purbi champaran,2000 - 2001,1.78
,,2001 - 2002,1.09
,,2002 - 2003,1.1
,,2003 - 2004,1.4
,,2004 - 2005,1.27
,,2005 - 2006,1.59
,,2006 - 2007,1.21
,,2007 - 2008,1.31
,,2008 - 2009,0.93
,,2009 - 2010,2.35
,,2010 - 2011,2.91
,,2011 - 2012,4.03
,,2012 - 2013,1.71
,,2013 - 2014,2.03
,,2014 - 2015,1.69
,,2015 - 2016,3.01
,,2016 - 2017,2.62
,,2017 - 2018,1.94
,,2018 - 2019,2.61
,,2019 - 2020,2.91
,,2020 - 2021,1.74
,,2021 - 2022,1.55
,,2022 - 2023,1.6
,Purnia,2000 - 2001,1.75
,,2001 - 2002,1.2
,,2002 - 2003,2.05
,,2003 - 2004,1.14
,,2004 - 2005,1.22
,,2005 - 2006,1.08
,,2006 - 2007,1.23
,,2007 - 2008,1.06
,,2008 - 2009,1.15
,,2009 - 2010,1.35
,,2010 - 2011,0.57
,,2011 - 2012,1.9
,,2012 - 2013,0.99
,,2013 - 2014,1.67
,,2014 - 2015,1.44
,,2015 - 2016,1.57
,,2016 - 2017,1.58
,,2017 - 2018,1.55
,Rohtas,2000 - 2001,1.24
,,2001 - 2002,0.97
,,2002 - 2003,1.31
,,2003 - 2004,1.14
,,2004 - 2005,0.9
,,2005 - 2006,0.82
,,2006 - 2007,1.48
,,2007 - 2008,1.35
,,2008 - 2009,0.98
,,2009 - 2010,2.22
,,2010 - 2011,1.46
,,2011 - 2012,2.42
,,2012 - 2013,2.65
,,2013 - 2014,1.53
,,2014 - 2015,1.26
,,2015 - 2016,2.44
,,2016 - 2017,1.35
,,2017 - 2018,1.87
,,2018 - 2019,2.01
,,2019 - 2020,1.83
,,2020 - 2021,1.71
,,2021 - 2022,2.5
,,2022 - 2023,1.4
,Saharsa,2000 - 2001,1.33
,,2001 - 2002,1.25
,,2002 - 2003,1.16
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2007 - 2008,1.5
,,2009 - 2010,1.38
,,2010 - 2011,1.54
,,2011 - 2012,1.9
,Samastipur,2000 - 2001,1.54
,,2001 - 2002,1.29
,,2002 - 2003,1.11
,,2003 - 2004,0.6
,,2004 - 2005,1.38
,,2005 - 2006,1.12
,,2006 - 2007,0.89
,,2007 - 2008,1.05
,,2008 - 2009,1.21
,,2009 - 2010,0.62
,,2010 - 2011,1.45
,,2011 - 2012,1.75
,,2012 - 2013,2.13
,,2013 - 2014,1.5
,,2014 - 2015,1.14
,,2015 - 2016,1.16
,,2016 - 2017,1.12
,,2017 - 2018,1.1
,,2018 - 2019,1.37
,,2019 - 2020,1.57
,,2020 - 2021,0.95
,,2021 - 2022,2.24
,,2022 - 2023,2.14
,Saran,2000 - 2001,1.38
,,2001 - 2002,1.37
,,2002 - 2003,1.41
,,2003 - 2004,1.32
,,2004 - 2005,1.25
,,2005 - 2006,0.89
,,2006 - 2007,1.2
,,2007 - 2008,0.81
,,2008 - 2009,1.16
,,2009 - 2010,0.89
,,2010 - 2011,1.37
,,2011 - 2012,1.18
,,2012 - 2013,1.16
,,2013 - 2014,2.2
,,2014 - 2015,1.22
,,2015 - 2016,1.33
,,2016 - 2017,1.44
,,2017 - 2018,7.11
,,2018 - 2019,1.97
,,2019 - 2020,2.03
,,2020 - 2021,2.62
,,2021 - 2022,1.36
,,2022 - 2023,2.04
,Sheikhpura,2000 - 2001,1.78
,,2001 - 2002,1.42
,,2002 - 2003,1.13
,,2003 - 2004,1.08
,,2004 - 2005,1.52
,,2005 - 2006,1.55
,,2006 - 2007,0.93
,,2007 - 2008,1.43
,,2008 - 2009,1.74
,,2009 - 2010,1.76
,,2010 - 2011,1.67
,,2011 - 2012,1.97
,,2012 - 2013,2.86
,,2013 - 2014,1.94
,,2014 - 2015,1.89
,,2015 - 2016,1.53
,,2016 - 2017,1.66
,,2017 - 2018,1.05
,,2018 - 2019,1.91
,,2019 - 2020,1.62
,,2020 - 2021,1.51
,,2021 - 2022,1.63
,,2022 - 2023,1.24
,Sheohar,2000 - 2001,0.75
,,2001 - 2002,1.45
,,2002 - 2003,0.61
,,2003 - 2004,1.47
,,2004 - 2005,0.97
,,2005 - 2006,1.54
,,2006 - 2007,1.56
,,2007 - 2008,1.54
,,2008 - 2009,1.08
,,2009 - 2010,1.12
,,2010 - 2011,1.75
,,2011 - 2012,2.46
,,2012 - 2013,1.69
,,2013 - 2014,1.71
,,2014 - 2015,1.46
,,2015 - 2016,2.26
,,2016 - 2017,2.41
,,2017 - 2018,2.08
,,2018 - 2019,2.48
,,2019 - 2020,2.26
,,2020 - 2021,1.82
,,2021 - 2022,1.56
,,2022 - 2023,1.63
,Sitamarhi,2000 - 2001,1.17
,,2001 - 2002,1.45
,,2002 - 2003,0.8
,,2003 - 2004,1.65
,,2004 - 2005,0.76
,,2005 - 2006,0.99
,,2006 - 2007,1.55
,,2007 - 2008,1.34
,,2008 - 2009,1.1
,,2009 - 2010,1.12
,,2010 - 2011,1.81
,,2011 - 2012,1.38
,,2012 - 2013,1.32
,,2013 - 2014,1.3
,,2014 - 2015,1.46
,,2015 - 2016,2.26
,,2016 - 2017,2.42
,,2017 - 2018,2.08
,,2018 - 2019,2.47
,,2019 - 2020,2.27
,,2020 - 2021,1.83
,,2021 - 2022,1.55
,,2022 - 2023,1.64
,Siwan,2000 - 2001,1.39
,,2001 - 2002,1.22
,,2002 - 2003,1.51
,,2003 - 2004,2.4
,,2004 - 2005,1.26
,,2005 - 2006,1.25
,,2006 - 2007,0.73
,,2007 - 2008,0.94
,,2008 - 2009,0.53
,,2009 - 2010,0.71
,,2010 - 2011,1.72
,,2011 - 2012,1.85
,,2012 - 2013,2.61
,,2013 - 2014,1.2
,,2014 - 2015,1.39
,,2015 - 2016,1.27
,,2016 - 2017,1.58
,,2017 - 2018,1.79
,,2018 - 2019,1.13
,,2019 - 2020,1.54
,,2020 - 2021,1.97
,,2021 - 2022,1.36
,,2022 - 2023,2.18
,Supaul,2000 - 2001,1.35
,,2001 - 2002,1.27
,,2002 - 2003,1.14
,,2003 - 2004,1.24
,,2004 - 2005,1.23
,,2005 - 2006,1.5
,,2006 - 2007,1.17
,,2010 - 2011,1.56
,,2011 - 2012,1.9
,,2012 - 2013,2.1
,,2013 - 2014,1.67
,,2014 - 2015,1.44
,,2015 - 2016,1.57
,,2016 - 2017,1.58
,,2017 - 2018,1.53
,,2018 - 2019,1.85
,,2019 - 2020,1.68
,Vaishali,2000 - 2001,0.98
,,2001 - 2002,0.98
,,2002 - 2003,0.85
,,2003 - 2004,0.83
,,2004 - 2005,0.91
,,2005 - 2006,1.76
,,2006 - 2007,0.34
,,2007 - 2008,0.86
,,2008 - 2009,1.1
,,2009 - 2010,1.63
,,2010 - 2011,2.48
,,2011 - 2012,2.44
,,2012 - 2013,2.05
,,2013 - 2014,1.87
,,2014 - 2015,2.03
,,2015 - 2016,1.56
,,2016 - 2017,2.42
,,2017 - 2018,3.09
,,2018 - 2019,3.14
,,2019 - 2020,1.75
,,2020 - 2021,1.97
,,2021 - 2022,1.92
,,2022 - 2023,1.75
Chandigarh,Chandigarh,2000 - 2001,0.0
Chhattisgarh,Balod,2011 - 2012,0.48
,,2012 - 2013,0.53
,,2013 - 2014,0.48
,,2014 - 2015,0.58
,,2015 - 2016,0.39
,,2016 - 2017,0.58
,,2017 - 2018,0.36
,,2018 - 2019,0.41
,,2019 - 2020,0.62
,,2020 - 2021,0.52
,,2021 - 2022,0.53
,,2022 - 2023,0.72
,Baloda bazar,2011 - 2012,0.32
,,2012 - 2013,0.42
,,2013 - 2014,0.38
,,2014 - 2015,0.47
,,2015 - 2016,0.3
,,2016 - 2017,0.33
,,2017 - 2018,0.23
,,2018 - 2019,0.26
,,2019 - 2020,0.37
,,2020 - 2021,0.31
,,2021 - 2022,0.34
,,2022 - 2023,0.46
,Balrampur,2011 - 2012,0.44
,,2012 - 2013,0.67
,,2013 - 2014,0.54
,,2014 - 2015,0.71
,,2015 - 2016,0.53
,,2016 - 2017,0.7
,,2017 - 2018,0.41
,,2018 - 2019,0.51
,,2019 - 2020,0.66
,,2020 - 2021,0.59
,,2021 - 2022,0.55
,,2022 - 2023,0.7
,Bastar,2000 - 2001,0.58
,,2001 - 2002,0.45
,,2002 - 2003,0.37
,,2003 - 2004,0.67
,,2004 - 2005,0.62
,,2005 - 2006,0.52
,,2006 - 2007,0.5
,,2007 - 2008,0.91
,,2008 - 2009,0.67
,,2009 - 2010,0.59
,,2010 - 2011,0.56
,,2011 - 2012,0.56
,,2012 - 2013,0.68
,,2013 - 2014,0.67
,,2014 - 2015,0.73
,,2015 - 2016,0.57
,,2016 - 2017,0.58
,,2017 - 2018,0.51
,,2018 - 2019,0.57
,,2019 - 2020,0.66
,,2020 - 2021,0.5
