state,district,year,rapeseed_and_mustard_rabi_yield_tonne_per_hectare
,,2017 - 2018,0.87
,,2018 - 2019,1.28
,,2019 - 2020,0.82
,,2020 - 2021,0.67
,,2021 - 2022,0.78
,,2022 - 2023,0.88
,Udhampur,2000 - 2001,0.14
,,2001 - 2002,0.38
,,2002 - 2003,0.23
,,2003 - 2004,0.51
,,2006 - 2007,0.73
,,2007 - 2008,0.73
,,2008 - 2009,0.85
,,2009 - 2010,0.82
,,2010 - 2011,0.83
,,2011 - 2012,0.72
,,2012 - 2013,0.75
,,2013 - 2014,0.75
,,2014 - 2015,
,,2015 - 2016,0.43
,,2016 - 2017,0.29
,,2017 - 2018,0.2
,,2018 - 2019,0.23
,,2019 - 2020,1.47
,,2020 - 2021,1.13
,,2021 - 2022,0.78
,,2022 - 2023,0.95
Jharkhand,Bokaro,2004 - 2005,0.9
,,2005 - 2006,0.25
,,2006 - 2007,0.5
,,2007 - 2008,0.63
,,2008 - 2009,0.82
,,2009 - 2010,1.0
,,2010 - 2011,0.38
,,2011 - 2012,1.22
,,2012 - 2013,1.81
,,2013 - 2014,0.84
,,2014 - 2015,1.5
,,2015 - 2016,0.67
,,2016 - 2017,0.93
,,2017 - 2018,0.58
,,2018 - 2019,0.55
,,2019 - 2020,0.61
,,2020 - 2021,0.61
,,2021 - 2022,0.68
,,2022 - 2023,0.61
,Chatra,2002 - 2003,0.84
,,2003 - 2004,0.75
,,2004 - 2005,0.88
,,2005 - 2006,0.62
,,2006 - 2007,0.63
,,2007 - 2008,0.52
,,2008 - 2009,0.47
,,2009 - 2010,0.37
,,2010 - 2011,0.48
,,2011 - 2012,0.85
,,2012 - 2013,1.33
,,2013 - 2014,1.01
,,2014 - 2015,1.11
,,2015 - 2016,1.09
,,2016 - 2017,0.84
,,2017 - 2018,0.58
,,2018 - 2019,0.65
,,2019 - 2020,0.67
,,2020 - 2021,0.72
,,2021 - 2022,0.68
,,2022 - 2023,0.68
,Deoghar,2004 - 2005,0.42
,,2005 - 2006,0.84
,,2006 - 2007,0.18
,,2007 - 2008,0.98
,,2008 - 2009,1.15
,,2009 - 2010,1.99
,,2010 - 2011,1.39
,,2011 - 2012,1.39
,,2012 - 2013,0.65
,,2013 - 2014,0.44
,,2014 - 2015,0.86
,,2015 - 2016,0.79
,,2016 - 2017,1.39
,,2017 - 2018,0.8
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Dhanbad,2007 - 2008,0.53
,,2008 - 2009,0.98
,,2009 - 2010,1.0
,,2010 - 2011,0.5
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2014 - 2015,2.0
,,2017 - 2018,0.95
,,2018 - 2019,0.8
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Dumka,2002 - 2003,1.19
,,2003 - 2004,1.0
,,2004 - 2005,1.4
,,2005 - 2006,1.06
,,2006 - 2007,0.43
,,2007 - 2008,0.78
,,2008 - 2009,0.45
,,2009 - 2010,0.55
,,2010 - 2011,0.67
,,2011 - 2012,0.46
,,2012 - 2013,1.31
,,2013 - 2014,0.99
,,2014 - 2015,0.51
,,2015 - 2016,1.69
,,2016 - 2017,0.78
,,2017 - 2018,0.65
,,2018 - 2019,0.76
,,2019 - 2020,0.77
,,2020 - 2021,0.77
,,2021 - 2022,0.78
,,2022 - 2023,0.7
,East singhbum,2004 - 2005,0.9
,,2005 - 2006,0.93
,,2006 - 2007,0.66
,,2007 - 2008,1.1
,,2008 - 2009,1.27
,,2009 - 2010,0.79
,,2010 - 2011,0.67
,,2011 - 2012,0.9
,,2012 - 2013,0.57
,,2013 - 2014,2.5
,,2014 - 2015,0.77
,,2015 - 2016,0.57
,,2016 - 2017,0.88
,,2017 - 2018,0.75
,,2018 - 2019,0.58
,,2019 - 2020,0.58
,,2020 - 2021,0.9
,,2021 - 2022,0.91
,,2022 - 2023,0.92
,Garhwa,2002 - 2003,0.65
,,2003 - 2004,0.62
,,2004 - 2005,0.82
,,2005 - 2006,0.64
,,2006 - 2007,0.69
,,2007 - 2008,1.13
,,2008 - 2009,0.88
,,2009 - 2010,0.81
,,2010 - 2011,0.62
,,2011 - 2012,0.68
,,2012 - 2013,0.73
,,2013 - 2014,0.64
,,2014 - 2015,0.78
,,2015 - 2016,0.93
,,2016 - 2017,1.3
,,2017 - 2018,0.56
,,2018 - 2019,0.37
,,2019 - 2020,0.38
,,2020 - 2021,0.44
,,2021 - 2022,0.89
,,2022 - 2023,0.89
,Giridih,2004 - 2005,0.9
,,2006 - 2007,0.57
,,2008 - 2009,0.43
,,2009 - 2010,0.94
,,2010 - 2011,0.77
,,2011 - 2012,0.48
,,2012 - 2013,1.75
,,2013 - 2014,0.8
,,2014 - 2015,0.63
,,2015 - 2016,0.6
,,2016 - 2017,0.66
,,2017 - 2018,0.67
,,2018 - 2019,0.67
,,2019 - 2020,0.51
,,2020 - 2021,0.43
,,2021 - 2022,0.43
,,2022 - 2023,0.43
,Godda,2002 - 2003,0.8
,,2003 - 2004,0.8
,,2004 - 2005,1.09
,,2005 - 2006,0.61
,,2006 - 2007,0.6
,,2007 - 2008,0.78
,,2008 - 2009,0.73
,,2009 - 2010,0.81
,,2010 - 2011,0.92
,,2011 - 2012,0.83
,,2012 - 2013,0.91
,,2013 - 2014,0.86
,,2014 - 2015,0.55
,,2015 - 2016,0.75
,,2016 - 2017,0.73
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,,2019 - 2020,0.88
,,2020 - 2021,0.9
,,2021 - 2022,0.82
,,2022 - 2023,0.8
,Gumla,2002 - 2003,0.64
,,2003 - 2004,1.17
,,2004 - 2005,0.7
,,2005 - 2006,1.05
,,2006 - 2007,1.27
,,2007 - 2008,0.72
,,2008 - 2009,0.8
,,2009 - 2010,1.16
,,2010 - 2011,0.88
,,2011 - 2012,0.64
,,2012 - 2013,1.11
,,2013 - 2014,0.65
,,2014 - 2015,0.98
,,2015 - 2016,0.9
,,2016 - 2017,1.25
,,2017 - 2018,0.93
,,2018 - 2019,0.9
,,2019 - 2020,0.97
,,2020 - 2021,0.97
,,2021 - 2022,0.42
,,2022 - 2023,0.42
,Hazaribagh,2004 - 2005,0.6
,,2005 - 2006,0.4
,,2006 - 2007,0.62
,,2007 - 2008,0.5
,,2008 - 2009,0.32
,,2009 - 2010,0.46
,,2010 - 2011,0.52
,,2011 - 2012,0.37
,,2012 - 2013,0.71
,,2013 - 2014,0.63
,,2014 - 2015,0.58
,,2015 - 2016,0.8
,,2016 - 2017,0.6
,,2017 - 2018,0.9
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,0.83
,,2021 - 2022,0.81
,,2022 - 2023,0.81
,Jamtara,2004 - 2005,1.57
,,2005 - 2006,0.75
,,2006 - 2007,0.57
,,2007 - 2008,0.68
,,2008 - 2009,0.41
,,2009 - 2010,0.42
,,2010 - 2011,0.43
,,2011 - 2012,0.38
,,2012 - 2013,0.42
,,2013 - 2014,0.6
,,2014 - 2015,0.55
,,2015 - 2016,0.63
,,2016 - 2017,0.85
,,2017 - 2018,0.9
,,2018 - 2019,0.6
,,2019 - 2020,0.87
,,2020 - 2021,1.05
,,2021 - 2022,1.05
,,2022 - 2023,1.5
,Khunti,2008 - 2009,0.89
,,2009 - 2010,1.13
,,2010 - 2011,0.84
,,2011 - 2012,0.73
,,2012 - 2013,1.18
,,2013 - 2014,1.15
,,2014 - 2015,1.19
,,2015 - 2016,1.02
,,2016 - 2017,0.91
,,2017 - 2018,0.6
,,2018 - 2019,0.48
,,2019 - 2020,0.9
,,2020 - 2021,0.75
,,2021 - 2022,0.75
,,2022 - 2023,1.05
,Koderma,2004 - 2005,0.75
,,2005 - 2006,0.49
,,2006 - 2007,0.43
,,2007 - 2008,0.5
,,2008 - 2009,0.46
,,2009 - 2010,0.5
,,2010 - 2011,0.41
,,2011 - 2012,0.88
,,2012 - 2013,0.41
,,2013 - 2014,0.35
,,2014 - 2015,0.44
,,2015 - 2016,0.73
,,2016 - 2017,0.94
,,2017 - 2018,0.9
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Latehar,2003 - 2004,0.7
,,2004 - 2005,0.65
,,2005 - 2006,0.63
,,2006 - 2007,0.71
,,2007 - 2008,0.79
,,2008 - 2009,0.62
,,2009 - 2010,1.21
,,2010 - 2011,1.1
,,2011 - 2012,1.37
,,2012 - 2013,1.37
,,2013 - 2014,0.98
,,2014 - 2015,1.06
,,2015 - 2016,0.56
,,2016 - 2017,0.87
,,2017 - 2018,0.88
,,2018 - 2019,0.88
,,2019 - 2020,0.87
,,2020 - 2021,0.87
,,2021 - 2022,0.88
,,2022 - 2023,0.87
,Lohardaga,2004 - 2005,1.44
,,2005 - 2006,0.84
,,2006 - 2007,0.83
,,2007 - 2008,0.93
,,2008 - 2009,1.19
,,2009 - 2010,1.17
,,2010 - 2011,0.91
,,2011 - 2012,0.6
,,2012 - 2013,1.16
,,2013 - 2014,1.02
,,2014 - 2015,0.89
,,2015 - 2016,1.17
,,2016 - 2017,1.24
,,2017 - 2018,0.87
,,2018 - 2019,0.87
,,2019 - 2020,0.88
,,2020 - 2021,0.45
,,2021 - 2022,0.7
,,2022 - 2023,0.88
,Pakur,2002 - 2003,0.75
,,2003 - 2004,0.9
,,2004 - 2005,0.5
,,2005 - 2006,0.47
,,2006 - 2007,0.72
,,2007 - 2008,1.27
,,2008 - 2009,0.79
,,2009 - 2010,1.15
,,2010 - 2011,1.11
,,2011 - 2012,1.31
,,2012 - 2013,1.29
,,2013 - 2014,1.14
,,2014 - 2015,1.84
,,2015 - 2016,1.6
,,2016 - 2017,1.42
,,2017 - 2018,0.95
,,2018 - 2019,0.95
,,2019 - 2020,0.95
,,2020 - 2021,0.95
,,2021 - 2022,1.0
,,2022 - 2023,0.95
,Palamu,2002 - 2003,0.79
,,2003 - 2004,0.71
,,2004 - 2005,0.89
,,2005 - 2006,0.52
,,2006 - 2007,0.71
,,2007 - 2008,0.58
,,2008 - 2009,0.6
,,2009 - 2010,0.59
,,2010 - 2011,0.69
,,2011 - 2012,0.82
,,2012 - 2013,1.21
,,2013 - 2014,1.14
,,2014 - 2015,1.19
,,2015 - 2016,0.88
,,2016 - 2017,0.8
,,2017 - 2018,0.51
,,2018 - 2019,0.82
,,2019 - 2020,0.54
,,2020 - 2021,0.75
,,2021 - 2022,0.75
,,2022 - 2023,0.75
,Ramgarh,2008 - 2009,0.54
,,2009 - 2010,1.17
,,2010 - 2011,0.72
,,2011 - 2012,1.08
,,2012 - 2013,1.03
,,2013 - 2014,1.46
,,2014 - 2015,1.36
,,2016 - 2017,1.36
,,2017 - 2018,0.9
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,0.82
,,2021 - 2022,0.81
,,2022 - 2023,0.81
,Ranchi,2002 - 2003,0.72
,,2003 - 2004,1.11
,,2004 - 2005,0.93
,,2005 - 2006,0.67
,,2006 - 2007,0.66
,,2007 - 2008,1.09
,,2008 - 2009,0.71
,,2009 - 2010,0.89
,,2010 - 2011,0.86
,,2011 - 2012,0.35
,,2012 - 2013,0.56
,,2013 - 2014,0.99
,,2014 - 2015,0.77
,,2015 - 2016,0.8
,,2016 - 2017,0.79
,,2017 - 2018,0.7
,,2018 - 2019,0.95
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2021 - 2022,0.95
,,2022 - 2023,0.95
,Sahebganj,2002 - 2003,0.65
,,2003 - 2004,0.66
,,2004 - 2005,1.55
,,2005 - 2006,0.72
,,2006 - 2007,0.83
,,2007 - 2008,1.2
,,2008 - 2009,0.66
,,2009 - 2010,0.67
,,2010 - 2011,0.38
,,2011 - 2012,0.93
,,2012 - 2013,0.61
,,2013 - 2014,1.18
,,2014 - 2015,1.05
,,2015 - 2016,0.79
,,2016 - 2017,0.91
,,2017 - 2018,0.53
,,2018 - 2019,0.64
,,2019 - 2020,1.06
,,2020 - 2021,0.99
,,2021 - 2022,0.87
,,2022 - 2023,1.05
,Saraikela kharsawan,2004 - 2005,0.9
,,2006 - 2007,0.67
,,2007 - 2008,1.12
,,2008 - 2009,1.25
,,2009 - 2010,0.75
,,2010 - 2011,0.56
,,2011 - 2012,0.62
,,2012 - 2013,0.64
,,2013 - 2014,0.87
,,2014 - 2015,0.5
,,2015 - 2016,0.89
,,2016 - 2017,0.96
,,2017 - 2018,1.3
,,2018 - 2019,0.85
,,2019 - 2020,1.3
,,2020 - 2021,1.3
,,2021 - 2022,1.3
,,2022 - 2023,1.3
,Simdega,2003 - 2004,0.42
,,2004 - 2005,0.31
,,2005 - 2006,0.49
,,2006 - 2007,0.84
,,2008 - 2009,0.69
,,2009 - 2010,1.09
,,2010 - 2011,0.68
,,2011 - 2012,1.61
,,2012 - 2013,0.81
,,2013 - 2014,1.3
,,2014 - 2015,1.28
,,2015 - 2016,1.78
,,2016 - 2017,0.91
,,2017 - 2018,0.63
,,2018 - 2019,0.62
,,2019 - 2020,0.63
,,2020 - 2021,0.63
,,2021 - 2022,0.65
,,2022 - 2023,0.7
,West singhbhum,2004 - 2005,0.9
,,2006 - 2007,0.65
,,2007 - 2008,1.03
,,2008 - 2009,1.28
,,2009 - 2010,0.79
,,2010 - 2011,1.3
,,2011 - 2012,0.94
,,2012 - 2013,0.68
,,2013 - 2014,1.15
,,2014 - 2015,0.71
,,2015 - 2016,0.61
,,2016 - 2017,0.94
,,2017 - 2018,0.59
,,2018 - 2019,0.52
,,2019 - 2020,0.55
,,2020 - 2021,0.59
,,2021 - 2022,0.55
,,2022 - 2023,0.55
Karnataka,Bagalkot,2000 - 2001,0.15
,,2001 - 2002,0.15
,,2002 - 2003,0.15
,,2003 - 2004,0.15
,,2004 - 2005,0.14
,,2005 - 2006,0.15
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.0
,,2010 - 2011,0.33
,,2019 - 2020,
,,2020 - 2021,
,Bangalore rural,2000 - 2001,0.32
,,2001 - 2002,0.32
,,2002 - 2003,0.32
,,2003 - 2004,0.32
,,2004 - 2005,0.32
,,2005 - 2006,0.33
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.47
,,2009 - 2010,0.29
,,2010 - 2011,0.36
,,2011 - 2012,0.39
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Belgaum,2000 - 2001,0.14
,,2001 - 2002,0.14
,,2002 - 2003,0.14
,,2003 - 2004,0.14
,,2004 - 2005,0.14
,,2005 - 2006,0.14
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.65
,,2009 - 2010,0.29
,,2010 - 2011,0.33
,,2011 - 2012,0.29
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bellary,2000 - 2001,0.08
,,2001 - 2002,0.08
,,2002 - 2003,0.07
,,2003 - 2004,0.1
,,2004 - 2005,0.06
,,2005 - 2006,0.08
,,2006 - 2007,
,,2011 - 2012,0.29
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Bengaluru urban,2000 - 2001,0.32
,,2001 - 2002,0.33
,,2002 - 2003,0.33
,,2003 - 2004,0.33
,,2004 - 2005,0.32
,,2005 - 2006,0.32
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.4
,,2009 - 2010,0.29
,,2010 - 2011,0.35
,,2011 - 2012,0.4
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Bidar,2000 - 2001,0.06
,,2001 - 2002,0.06
,,2002 - 2003,0.09
,,2003 - 2004,0.07
,,2004 - 2005,0.1
,,2005 - 2006,0.07
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.39
,,2009 - 2010,0.3
,,2010 - 2011,0.33
,,2011 - 2012,0.29
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Bijapur,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Chamarajanagar,2011 - 2012,0.33
,,2022 - 2023,
,Chikballapur,2007 - 2008,
,,2009 - 2010,0.29
,,2010 - 2011,0.18
,,2011 - 2012,0.24
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chikmagalur,2000 - 2001,0.28
,,2001 - 2002,0.28
,,2002 - 2003,0.28
,,2003 - 2004,0.28
,,2004 - 2005,0.27
,,2005 - 2006,0.28
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.4
,,2009 - 2010,0.29
,,2010 - 2011,0.34
,,2011 - 2012,0.28
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Chitradurga,2000 - 2001,0.21
,,2001 - 2002,0.21
,,2002 - 2003,0.21
,,2003 - 2004,0.21
,,2004 - 2005,0.21
,,2005 - 2006,0.21
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.27
,,2009 - 2010,0.29
,,2010 - 2011,0.33
,,2011 - 2012,0.29
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Davangere,2000 - 2001,0.22
,,2001 - 2002,0.22
,,2002 - 2003,0.21
,,2003 - 2004,0.21
,,2004 - 2005,0.22
,,2005 - 2006,0.22
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.42
,,2009 - 2010,0.3
,,2010 - 2011,0.31
,,2011 - 2012,0.29
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2021 - 2022,
,Dharwad,2000 - 2001,0.13
,,2001 - 2002,0.16
,,2002 - 2003,0.18
,,2003 - 2004,0.16
,,2004 - 2005,0.0
,,2005 - 2006,0.17
,,2008 - 2009,0.5
,,2009 - 2010,0.29
,,2010 - 2011,0.33
,,2011 - 2012,0.27
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Gadag,2000 - 2001,0.26
,,2001 - 2002,0.27
,,2002 - 2003,0.28
,,2004 - 2005,0.25
,,2005 - 2006,0.26
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.4
,,2009 - 2010,0.42
,,2010 - 2011,0.33
,,2011 - 2012,0.28
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Gulbarga,2002 - 2003,0.26
,,2003 - 2004,0.26
,,2004 - 2005,0.27
,,2005 - 2006,0.27
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.4
,,2009 - 2010,0.28
,,2010 - 2011,0.33
,,2011 - 2012,0.33
,,2013 - 2014,
,,2014 - 2015,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Hassan,2000 - 2001,0.27
,,2001 - 2002,0.27
,,2002 - 2003,0.27
,,2003 - 2004,0.27
,,2004 - 2005,0.27
,,2005 - 2006,0.27
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.4
,,2009 - 2010,0.29
,,2010 - 2011,0.34
,,2011 - 2012,0.29
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,Haveri,2000 - 2001,0.16
,,2001 - 2002,0.16
,,2002 - 2003,0.15
,,2003 - 2004,0.17
,,2004 - 2005,0.15
,,2005 - 2006,0.15
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.4
,,2009 - 2010,0.2
,,2010 - 2011,0.32
,,2011 - 2012,0.29
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Kolar,2000 - 2001,0.29
,,2001 - 2002,0.29
,,2002 - 2003,0.29
,,2003 - 2004,0.29
,,2004 - 2005,0.29
,,2005 - 2006,0.29
,,2008 - 2009,0.4
,,2009 - 2010,0.27
,,2010 - 2011,0.33
,,2011 - 2012,0.29
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Koppal,2004 - 2005,0.28
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,Mandya,2005 - 2006,0.5
,,2013 - 2014,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Mysore,2000 - 2001,0.2
,,2005 - 2006,0.28
,,2021 - 2022,
,Raichur,2001 - 2002,0.27
,,2002 - 2003,0.27
,,2003 - 2004,0.28
,,2004 - 2005,0.27
,,2006 - 2007,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ramanagara,2007 - 2008,
,,2008 - 2009,0.42
,,2009 - 2010,0.28
,,2010 - 2011,0.45
,,2011 - 2012,0.25
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Shimoga,2000 - 2001,0.28
,,2001 - 2002,0.3
,,2002 - 2003,0.29
,,2003 - 2004,0.3
,,2004 - 2005,0.29
,,2005 - 2006,0.27
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,0.25
,,2010 - 2011,0.33
,,2011 - 2012,0.33
,,2020 - 2021,
,Tumkur,2000 - 2001,0.26
,,2001 - 2002,0.26
,,2002 - 2003,0.26
,,2003 - 2004,0.26
,,2004 - 2005,0.26
,,2005 - 2006,0.26
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.28
,,2009 - 2010,0.31
,,2010 - 2011,0.21
,,2011 - 2012,0.2
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Udupi,2005 - 2006,0.25
,,2006 - 2007,
,Uttar kannad,2000 - 2001,0.13
,,2002 - 2003,0.05
,,2005 - 2006,0.0
,Vijayanagar,2022 - 2023,
,Yadgir,2011 - 2012,0.28
,,2018 - 2019,
,,2020 - 2021,
,,2022 - 2023,
Kerala,Idukki,2022 - 2023,
,Palakkad,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Ladakh,Kargil,2022 - 2023,0.96
,Leh ladakh,2020 - 2021,1.49
,,2021 - 2022,0.42
,,2022 - 2023,1.6
Madhya Pradesh,Agar malwa,2013 - 2014,0.93
,,2014 - 2015,0.75
,,2015 - 2016,0.71
,,2016 - 2017,1.43
,,2017 - 2018,1.1
,,2018 - 2019,0.35
,,2019 - 2020,0.7
,,2020 - 2021,1.74
,,2021 - 2022,0.86
,,2022 - 2023,1.04
,Alirajpur,2018 - 2019,1.0
,,2019 - 2020,0.71
,,2022 - 2023,0.78
,Anuppur,2003 - 2004,0.3
,,2004 - 2005,0.31
,,2005 - 2006,0.36
,,2006 - 2007,0.35
,,2007 - 2008,0.37
,,2008 - 2009,0.34
,,2009 - 2010,
,,2010 - 2011,0.27
,,2011 - 2012,0.4
,,2012 - 2013,0.41
,,2013 - 2014,0.29
,,2014 - 2015,0.75
,,2015 - 2016,0.25
,,2016 - 2017,0.56
,,2017 - 2018,0.43
,,2018 - 2019,0.23
,,2019 - 2020,0.41
,,2020 - 2021,0.66
,,2021 - 2022,0.46
,,2022 - 2023,0.68
,Ashoknagar,2003 - 2004,0.73
,,2004 - 2005,0.79
,,2005 - 2006,0.78
,,2006 - 2007,0.88
,,2007 - 2008,0.76
,,2008 - 2009,0.91
,,2009 - 2010,
,,2010 - 2011,0.89
,,2011 - 2012,1.14
,,2012 - 2013,1.21
,,2013 - 2014,1.1
,,2014 - 2015,1.33
,,2015 - 2016,1.0
,,2016 - 2017,1.2
,,2017 - 2018,1.07
,,2018 - 2019,0.86
,,2019 - 2020,1.51
,,2020 - 2021,1.28
,,2021 - 2022,1.32
,,2022 - 2023,1.3
,Balaghat,2000 - 2001,0.55
,,2001 - 2002,0.67
,,2002 - 2003,0.81
,,2003 - 2004,0.91
,,2004 - 2005,0.77
,,2005 - 2006,0.77
,,2006 - 2007,0.77
,,2007 - 2008,0.75
,,2008 - 2009,0.8
,,2009 - 2010,
,,2010 - 2011,0.97
,,2011 - 2012,1.14
,,2012 - 2013,1.05
,,2013 - 2014,0.92
,,2014 - 2015,1.0
,,2015 - 2016,0.88
,,2016 - 2017,0.93
,,2017 - 2018,0.3
,,2018 - 2019,0.49
,,2019 - 2020,1.31
,,2020 - 2021,0.65
,,2021 - 2022,0.61
,,2022 - 2023,0.7
,Barwani,2000 - 2001,0.05
,,2001 - 2002,0.33
,,2002 - 2003,0.01
,,2003 - 2004,0.25
,,2004 - 2005,0.5
,,2009 - 2010,
,,2011 - 2012,0.0
,,2019 - 2020,0.0
,,2020 - 2021,0.67
,,2022 - 2023,1.0
,Betul,2000 - 2001,0.58
,,2001 - 2002,0.62
,,2002 - 2003,0.61
,,2003 - 2004,0.72
,,2004 - 2005,0.78
,,2005 - 2006,0.9
,,2006 - 2007,0.84
,,2007 - 2008,0.88
,,2008 - 2009,0.96
,,2009 - 2010,
,,2010 - 2011,0.84
,,2011 - 2012,1.21
,,2012 - 2013,1.3
,,2013 - 2014,1.04
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.06
,,2018 - 2019,0.79
,,2019 - 2020,1.04
,,2020 - 2021,1.67
,,2021 - 2022,0.97
,,2022 - 2023,1.32
,Bhind,2000 - 2001,0.91
,,2001 - 2002,1.09
,,2002 - 2003,0.8
,,2003 - 2004,1.18
,,2004 - 2005,0.93
,,2005 - 2006,1.24
,,2006 - 2007,0.86
,,2007 - 2008,0.93
,,2008 - 2009,1.28
,,2009 - 2010,
,,2010 - 2011,1.51
,,2011 - 2012,1.16
,,2012 - 2013,1.71
,,2013 - 2014,0.85
,,2014 - 2015,1.01
,,2015 - 2016,1.31
,,2016 - 2017,1.55
,,2017 - 2018,2.11
,,2018 - 2019,2.12
,,2019 - 2020,1.48
,,2020 - 2021,2.19
,,2021 - 2022,1.89
,,2022 - 2023,1.92
,Bhopal,2000 - 2001,0.56
,,2001 - 2002,0.7
,,2002 - 2003,0.65
,,2003 - 2004,0.79
,,2004 - 2005,0.83
