state,district,year,sesamum_kharif_yield_tonne_per_hectare
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.43
,,2018 - 2019,0.5
,,2019 - 2020,0.55
,,2020 - 2021,0.6
,,2021 - 2022,0.67
,,2022 - 2023,0.46
,Thoothukudi,2000 - 2001,0.3
,,2001 - 2002,0.37
,,2002 - 2003,0.21
,,2003 - 2004,0.19
,,2004 - 2005,0.53
,,2005 - 2006,0.3
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.58
,,2014 - 2015,0.67
,,2015 - 2016,0.5
,,2016 - 2017,0.43
,,2017 - 2018,0.5
,,2018 - 2019,0.6
,,2019 - 2020,0.62
,,2020 - 2021,0.6
,,2021 - 2022,0.68
,,2022 - 2023,0.46
,Tiruchirappalli,2000 - 2001,0.71
,,2001 - 2002,0.75
,,2002 - 2003,0.63
,,2003 - 2004,0.38
,,2004 - 2005,0.57
,,2005 - 2006,0.62
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.56
,,2014 - 2015,0.63
,,2015 - 2016,0.67
,,2016 - 2017,0.39
,,2017 - 2018,0.42
,,2018 - 2019,0.47
,,2019 - 2020,0.57
,,2020 - 2021,0.59
,,2021 - 2022,0.65
,,2022 - 2023,0.45
,Tirunelveli,2000 - 2001,0.4
,,2001 - 2002,0.42
,,2002 - 2003,0.32
,,2003 - 2004,0.32
,,2004 - 2005,0.44
,,2005 - 2006,0.31
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.46
,,2014 - 2015,0.45
,,2015 - 2016,0.39
,,2016 - 2017,0.4
,,2017 - 2018,0.43
,,2018 - 2019,0.48
,,2019 - 2020,0.55
,,2020 - 2021,0.6
,,2021 - 2022,0.69
,,2022 - 2023,0.5
,Tirupathur,2020 - 2021,0.61
,,2021 - 2022,0.68
,,2022 - 2023,0.44
,Tiruppur,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.42
,,2014 - 2015,0.63
,,2015 - 2016,0.68
,,2016 - 2017,
,,2017 - 2018,0.44
,,2018 - 2019,0.48
,,2019 - 2020,0.5
,,2020 - 2021,0.58
,,2021 - 2022,0.6
,,2022 - 2023,0.5
,Tiruvannamalai,2000 - 2001,0.51
,,2001 - 2002,0.68
,,2002 - 2003,0.21
,,2003 - 2004,0.17
,,2004 - 2005,0.3
,,2005 - 2006,0.48
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.56
,,2014 - 2015,0.63
,,2015 - 2016,0.55
,,2016 - 2017,
,,2017 - 2018,0.43
,,2018 - 2019,0.47
,,2019 - 2020,0.55
,,2020 - 2021,0.82
,,2021 - 2022,0.74
,,2022 - 2023,0.64
,Vellore,2000 - 2001,0.64
,,2001 - 2002,0.85
,,2002 - 2003,0.5
,,2003 - 2004,0.42
,,2004 - 2005,0.63
,,2005 - 2006,0.35
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.55
,,2014 - 2015,0.51
,,2015 - 2016,0.66
,,2016 - 2017,0.39
,,2017 - 2018,0.44
,,2018 - 2019,0.48
,,2019 - 2020,0.55
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.4
,Villupuram,2000 - 2001,0.49
,,2001 - 2002,0.47
,,2002 - 2003,0.43
,,2003 - 2004,0.36
,,2004 - 2005,0.4
,,2005 - 2006,0.47
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.8
,,2014 - 2015,0.86
,,2015 - 2016,0.71
,,2016 - 2017,0.57
,,2017 - 2018,0.43
,,2018 - 2019,0.66
,,2019 - 2020,0.55
,,2020 - 2021,0.6
,,2021 - 2022,0.68
,,2022 - 2023,0.47
,Virudhunagar,2000 - 2001,0.5
,,2001 - 2002,0.52
,,2002 - 2003,0.35
,,2003 - 2004,0.27
,,2004 - 2005,0.32
,,2005 - 2006,0.31
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.18
,,2014 - 2015,0.39
,,2015 - 2016,0.33
,,2016 - 2017,0.39
,,2017 - 2018,0.43
,,2018 - 2019,0.47
,,2019 - 2020,0.55
,,2020 - 2021,0.6
,,2021 - 2022,0.68
,,2022 - 2023,0.46
Telangana,Adilabad,2000 - 2001,0.09
,,2001 - 2002,0.13
,,2002 - 2003,0.23
,,2003 - 2004,0.17
,,2004 - 2005,0.26
,,2005 - 2006,0.3
,,2006 - 2007,0.19
,,2007 - 2008,0.0
,,2008 - 2009,0.25
,,2009 - 2010,0.1
,,2010 - 2011,0.18
,,2011 - 2012,0.3
,,2012 - 2013,
,,2013 - 2014,0.23
,,2014 - 2015,0.2
,,2015 - 2016,0.04
,,2016 - 2017,0.14
,,2017 - 2018,0.24
,,2018 - 2019,0.17
,,2019 - 2020,0.0
,,2020 - 2021,0.11
,,2021 - 2022,0.22
,,2022 - 2023,
,Bhadradri,2016 - 2017,0.3
,,2017 - 2018,0.24
,,2018 - 2019,0.19
,,2019 - 2020,0.15
,,2020 - 2021,0.1
,,2021 - 2022,0.22
,,2022 - 2023,0.5
,Jagitial,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jangoan,2016 - 2017,0.11
,,2017 - 2018,0.18
,,2018 - 2019,0.23
,,2019 - 2020,0.0
,,2020 - 2021,0.09
,,2021 - 2022,0.23
,,2022 - 2023,0.4
,Jayashankar,2016 - 2017,0.11
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,0.1
,,2021 - 2022,0.25
,,2022 - 2023,
,Jogulamba,2017 - 2018,
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,,2021 - 2022,
,,2022 - 2023,0.25
,Kamareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.0
,,2020 - 2021,0.13
,,2021 - 2022,0.21
,,2022 - 2023,0.0
,Karimnagar,2000 - 2001,0.15
,,2001 - 2002,0.19
,,2002 - 2003,0.19
,,2003 - 2004,0.29
,,2004 - 2005,0.27
,,2005 - 2006,0.24
,,2006 - 2007,0.19
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.1
,,2010 - 2011,0.19
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.2
,,2015 - 2016,
,,2016 - 2017,0.33
,,2017 - 2018,
,,2019 - 2020,0.0
,,2020 - 2021,0.1
,,2021 - 2022,0.0
,,2022 - 2023,
,Khammam,2000 - 2001,0.16
,,2001 - 2002,0.15
,,2002 - 2003,0.14
,,2003 - 2004,0.14
,,2004 - 2005,0.17
,,2005 - 2006,0.18
,,2006 - 2007,0.13
,,2007 - 2008,0.5
,,2008 - 2009,0.4
,,2009 - 2010,0.16
,,2010 - 2011,0.21
,,2011 - 2012,0.2
,,2012 - 2013,
,,2013 - 2014,0.36
,,2014 - 2015,0.31
,,2015 - 2016,0.24
,,2016 - 2017,0.3
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.2
,,2020 - 2021,0.09
,,2021 - 2022,0.24
,,2022 - 2023,0.33
,Komaram bheem asifabad,2016 - 2017,0.14
,,2017 - 2018,0.24
,,2018 - 2019,0.16
,,2019 - 2020,0.11
,,2020 - 2021,0.09
,,2021 - 2022,0.25
,,2022 - 2023,0.33
,Mahabubabad,2016 - 2017,0.11
,,2017 - 2018,0.23
,,2018 - 2019,0.19
,,2019 - 2020,0.15
,,2020 - 2021,0.09
,,2021 - 2022,0.21
,,2022 - 2023,0.33
,Mahbubnagar,2000 - 2001,0.15
,,2001 - 2002,0.19
,,2002 - 2003,0.19
,,2003 - 2004,0.29
,,2004 - 2005,0.27
,,2005 - 2006,0.24
,,2006 - 2007,0.19
,,2007 - 2008,0.0
,,2008 - 2009,0.24
,,2009 - 2010,0.1
,,2010 - 2011,0.18
,,2011 - 2012,0.3
,,2012 - 2013,0.0
,,2013 - 2014,0.23
,,2014 - 2015,0.2
,,2015 - 2016,0.04
,,2016 - 2017,0.14
,,2017 - 2018,0.29
,,2018 - 2019,0.15
,,2019 - 2020,0.12
,,2020 - 2021,0.1
,,2021 - 2022,0.06
,,2022 - 2023,0.02
,Mancherial,2016 - 2017,0.14
,,2017 - 2018,0.23
,,2018 - 2019,0.2
,,2019 - 2020,0.0
,,2020 - 2021,0.09
,,2021 - 2022,0.24
,,2022 - 2023,0.33
,Medak,2000 - 2001,0.15
,,2001 - 2002,0.2
,,2002 - 2003,0.19
,,2003 - 2004,0.29
,,2004 - 2005,0.27
,,2005 - 2006,0.24
,,2006 - 2007,0.19
,,2007 - 2008,0.0
,,2008 - 2009,0.24
,,2009 - 2010,0.1
,,2010 - 2011,0.18
,,2011 - 2012,0.3
,,2013 - 2014,0.23
,,2014 - 2015,0.2
,,2015 - 2016,0.03
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2020 - 2021,0.13
,,2021 - 2022,0.25
,,2022 - 2023,
,Medchal,2018 - 2019,
,,2019 - 2020,0.0
,,2020 - 2021,0.17
,,2021 - 2022,0.2
,Mulugu,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.0
,,2021 - 2022,0.0
,,2022 - 2023,
,Nagarkurnool,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.16
,,2020 - 2021,0.1
,,2021 - 2022,0.22
,,2022 - 2023,0.14
,Nalgonda,2000 - 2001,0.13
,,2001 - 2002,0.06
,,2002 - 2003,0.06
,,2003 - 2004,0.24
,,2004 - 2005,0.14
,,2005 - 2006,0.27
,,2006 - 2007,0.18
,,2007 - 2008,0.14
,,2008 - 2009,0.16
,,2009 - 2010,0.17
,,2010 - 2011,0.15
,,2011 - 2012,0.15
,,2012 - 2013,0.0
,,2013 - 2014,0.21
,,2014 - 2015,0.09
,,2015 - 2016,0.08
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.0
,,2021 - 2022,0.25
,,2022 - 2023,
,Narayanapet,2018 - 2019,0.16
,,2019 - 2020,0.19
,,2020 - 2021,0.1
,,2021 - 2022,0.29
,,2022 - 2023,0.55
,Nirmal,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.0
,,2022 - 2023,
,Nizamabad,2000 - 2001,0.15
,,2001 - 2002,0.19
,,2002 - 2003,0.17
,,2003 - 2004,0.26
,,2004 - 2005,0.28
,,2005 - 2006,0.24
,,2006 - 2007,0.19
,,2007 - 2008,
,,2008 - 2009,0.33
,,2009 - 2010,0.1
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Peddapalli,2016 - 2017,0.15
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.0
,,2020 - 2021,0.1
,,2021 - 2022,0.2
,,2022 - 2023,0.0
,Rajanna,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.0
,,2022 - 2023,
,Rangareddi,2000 - 2001,0.17
,,2001 - 2002,0.19
,,2002 - 2003,0.19
,,2003 - 2004,0.29
,,2004 - 2005,0.27
,,2005 - 2006,0.24
,,2006 - 2007,0.19
,,2007 - 2008,0.0
,,2008 - 2009,0.24
,,2009 - 2010,0.1
,,2010 - 2011,0.18
,,2011 - 2012,0.3
,,2013 - 2014,0.23
,,2014 - 2015,0.2
,,2015 - 2016,0.03
,,2016 - 2017,0.13
,,2017 - 2018,0.0
,,2019 - 2020,0.13
,,2020 - 2021,0.09
,,2021 - 2022,0.23
,,2022 - 2023,0.25
,Sangareddy,2016 - 2017,0.14
,,2017 - 2018,0.24
,,2018 - 2019,0.17
,,2019 - 2020,0.15
,,2020 - 2021,0.09
,,2021 - 2022,0.22
,,2022 - 2023,0.31
,Siddipet,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.12
,,2021 - 2022,0.2
,,2022 - 2023,0.5
,Suryapet,2016 - 2017,0.05
,,2017 - 2018,0.25
,,2018 - 2019,0.14
,,2020 - 2021,0.1
,,2021 - 2022,0.25
,,2022 - 2023,
,Vikarabad,2016 - 2017,0.15
,,2017 - 2018,0.23
,,2018 - 2019,0.17
,,2019 - 2020,0.14
,,2020 - 2021,0.09
,,2021 - 2022,0.36
,,2022 - 2023,0.27
,Wanaparthy,2019 - 2020,0.17
,,2020 - 2021,0.0
,,2021 - 2022,0.0
,,2022 - 2023,
,Warangal,2000 - 2001,0.17
,,2001 - 2002,0.26
,,2002 - 2003,0.25
,,2003 - 2004,0.38
,,2004 - 2005,0.38
,,2005 - 2006,0.24
,,2006 - 2007,0.2
,,2007 - 2008,0.21
,,2008 - 2009,0.24
,,2009 - 2010,0.08
,,2010 - 2011,0.19
,,2011 - 2012,0.4
,,2012 - 2013,0.5
,,2013 - 2014,0.21
,,2014 - 2015,0.21
,,2015 - 2016,0.02
,,2016 - 2017,0.11
,,2017 - 2018,0.29
,,2018 - 2019,0.22
,,2019 - 2020,0.25
,,2020 - 2021,0.09
,,2021 - 2022,0.21
,,2022 - 2023,
,Warangal urban,2016 - 2017,0.1
,,2017 - 2018,0.25
,,2019 - 2020,
,,2020 - 2021,0.11
,,2021 - 2022,0.29
,,2022 - 2023,0.5
,Yadadri,2016 - 2017,0.06
,,2017 - 2018,0.14
,,2018 - 2019,0.2
,,2019 - 2020,0.17
,,2020 - 2021,0.09
,,2021 - 2022,0.22
,,2022 - 2023,0.29
Tripura,Dhalai,2004 - 2005,0.44
,,2005 - 2006,0.44
,,2006 - 2007,0.42
,,2007 - 2008,0.41
,,2008 - 2009,0.46
,,2009 - 2010,0.52
,,2010 - 2011,0.54
,,2011 - 2012,0.45
,,2012 - 2013,0.56
,,2013 - 2014,0.59
,,2014 - 2015,0.63
,,2015 - 2016,0.55
,,2016 - 2017,0.56
,,2017 - 2018,0.58
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.64
,,2021 - 2022,0.61
,,2022 - 2023,0.62
,Gomati,2012 - 2013,0.5
,,2013 - 2014,0.58
,,2014 - 2015,0.63
,,2015 - 2016,0.58
,,2016 - 2017,0.59
,,2017 - 2018,0.54
,,2018 - 2019,0.55
,,2019 - 2020,0.55
,,2020 - 2021,0.56
,,2021 - 2022,0.56
,,2022 - 2023,0.65
,Khowai,2012 - 2013,0.4
,,2013 - 2014,0.54
,,2014 - 2015,0.53
,,2015 - 2016,0.55
,,2016 - 2017,0.52
,,2017 - 2018,0.51
,,2018 - 2019,0.57
,,2019 - 2020,0.56
,,2020 - 2021,0.61
,,2021 - 2022,0.59
,,2022 - 2023,0.67
,North tripura,2004 - 2005,0.48
,,2005 - 2006,0.52
,,2006 - 2007,0.58
,,2007 - 2008,0.52
,,2008 - 2009,0.61
,,2009 - 2010,0.55
,,2010 - 2011,0.56
,,2011 - 2012,0.51
,,2012 - 2013,0.5
,,2013 - 2014,0.54
,,2014 - 2015,0.55
,,2015 - 2016,0.57
,,2016 - 2017,0.53
,,2017 - 2018,0.54
,,2018 - 2019,0.55
,,2019 - 2020,0.55
,,2020 - 2021,0.59
,,2021 - 2022,0.56
,,2022 - 2023,0.65
,Sepahijala,2012 - 2013,0.54
,,2013 - 2014,0.6
,,2014 - 2015,0.7
,,2015 - 2016,0.59
,,2016 - 2017,0.65
,,2017 - 2018,0.64
,,2018 - 2019,0.66
,,2019 - 2020,0.68
,,2020 - 2021,0.73
,,2021 - 2022,0.68
,,2022 - 2023,0.69
,South tripura,2004 - 2005,0.45
,,2005 - 2006,0.46
,,2006 - 2007,0.58
,,2007 - 2008,0.59
,,2008 - 2009,0.63
,,2009 - 2010,0.63
,,2010 - 2011,0.61
,,2011 - 2012,0.6
,,2012 - 2013,0.73
,,2013 - 2014,0.7
,,2014 - 2015,0.71
,,2015 - 2016,0.63
,,2016 - 2017,0.69
,,2017 - 2018,0.72
,,2018 - 2019,0.74
,,2019 - 2020,0.79
,,2020 - 2021,0.84
,,2021 - 2022,0.8
,,2022 - 2023,0.81
,Unakoti,2012 - 2013,0.63
,,2013 - 2014,0.65
,,2014 - 2015,0.68
,,2015 - 2016,0.61
,,2016 - 2017,0.62
,,2017 - 2018,0.63
,,2018 - 2019,0.63
,,2019 - 2020,0.66
,,2020 - 2021,0.71
,,2021 - 2022,0.67
,,2022 - 2023,0.68
,West tripura,2004 - 2005,0.45
,,2005 - 2006,0.44
,,2006 - 2007,0.47
,,2007 - 2008,0.48
,,2008 - 2009,0.53
,,2009 - 2010,0.56
,,2010 - 2011,0.57
,,2011 - 2012,0.67
,,2012 - 2013,0.57
,,2013 - 2014,0.56
,,2014 - 2015,0.61
,,2015 - 2016,0.59
,,2016 - 2017,0.57
,,2017 - 2018,0.61
,,2018 - 2019,0.77
,,2019 - 2020,0.86
,,2020 - 2021,0.92
,,2021 - 2022,0.84
,,2022 - 2023,0.88
Uttar Pradesh,Agra,2000 - 2001,0.23
,,2001 - 2002,0.29
,,2002 - 2003,0.16
,,2003 - 2004,0.13
,,2004 - 2005,0.16
,,2005 - 2006,0.18
,,2006 - 2007,0.17
,,2007 - 2008,0.15
,,2008 - 2009,0.16
,,2009 - 2010,0.1
,,2010 - 2011,0.2
,,2011 - 2012,0.22
,,2012 - 2013,0.19
,,2013 - 2014,0.11
,,2014 - 2015,0.1
,,2015 - 2016,0.3
,,2016 - 2017,0.13
,,2017 - 2018,0.11
,,2018 - 2019,0.11
,,2019 - 2020,0.12
,,2020 - 2021,0.26
,,2021 - 2022,0.04
,,2022 - 2023,0.13
,Aligarh,2000 - 2001,0.23
,,2001 - 2002,0.29
,,2002 - 2003,0.15
,,2003 - 2004,0.11
,,2004 - 2005,0.15
,,2005 - 2006,0.18
,,2006 - 2007,0.13
,,2007 - 2008,0.14
,,2008 - 2009,0.17
,,2009 - 2010,0.1
,,2010 - 2011,0.2
,,2011 - 2012,0.22
,,2012 - 2013,0.19
,,2013 - 2014,0.15
,,2014 - 2015,0.2
,,2015 - 2016,0.3
,,2016 - 2017,0.23
,,2017 - 2018,0.28
,,2018 - 2019,0.23
,,2019 - 2020,0.17
,,2020 - 2021,0.31
,,2021 - 2022,0.22
,,2022 - 2023,0.25
,Allahabad,2000 - 2001,0.28
,,2001 - 2002,0.26
,,2002 - 2003,0.33
,,2003 - 2004,0.26
,,2004 - 2005,0.25
,,2005 - 2006,0.25
,,2006 - 2007,0.16
,,2007 - 2008,0.23
,,2008 - 2009,0.11
,,2009 - 2010,0.15
,,2010 - 2011,0.2
,,2011 - 2012,0.25
,,2012 - 2013,0.2
,,2013 - 2014,0.17
,,2014 - 2015,0.15
,,2015 - 2016,0.1
,,2016 - 2017,0.12
,,2017 - 2018,0.29
,,2018 - 2019,0.21
,,2019 - 2020,0.17
,,2020 - 2021,0.31
,,2021 - 2022,0.15
,,2022 - 2023,0.22
,Ambedkar nagar,2000 - 2001,0.19
,,2001 - 2002,0.21
,,2002 - 2003,0.19
,,2003 - 2004,0.15
,,2004 - 2005,0.22
,,2005 - 2006,0.17
,,2006 - 2007,0.13
,,2007 - 2008,0.14
,,2008 - 2009,0.0
,,2010 - 2011,0.17
,,2011 - 2012,0.17
,,2012 - 2013,0.2
,,2013 - 2014,0.14
,,2014 - 2015,0.27
,,2015 - 2016,0.19
,,2016 - 2017,0.22
,,2017 - 2018,0.3
,,2018 - 2019,0.22
,,2019 - 2020,0.16
,,2020 - 2021,0.3
,,2021 - 2022,0.24
,Amethi,2010 - 2011,0.17
,,2011 - 2012,0.22
,,2012 - 2013,0.19
,,2013 - 2014,0.15
,,2014 - 2015,0.27
,,2015 - 2016,0.2
,,2016 - 2017,0.21
,,2017 - 2018,0.29
,,2018 - 2019,0.23
,,2019 - 2020,0.18
,,2020 - 2021,0.31
,,2021 - 2022,0.23
,,2022 - 2023,0.23
,Amroha,2000 - 2001,0.18
,,2001 - 2002,0.5
,,2003 - 2004,0.14
,,2004 - 2005,0.17
,,2005 - 2006,0.25
,,2008 - 2009,0.13
,,2010 - 2011,0.18
,,2011 - 2012,0.29
,,2012 - 2013,0.17
,,2014 - 2015,0.18
,,2015 - 2016,0.3
,,2018 - 2019,0.22
,,2019 - 2020,0.17
,Auraiya,2000 - 2001,0.22
,,2001 - 2002,0.18
,,2002 - 2003,0.19
,,2003 - 2004,0.12
,,2004 - 2005,0.16
,,2005 - 2006,0.18
,,2006 - 2007,0.17
,,2007 - 2008,0.15
,,2008 - 2009,0.16
,,2009 - 2010,0.1
,,2010 - 2011,0.2
,,2011 - 2012,0.26
,,2012 - 2013,0.2
,,2013 - 2014,0.03
,,2014 - 2015,0.04
,,2015 - 2016,0.06
,,2016 - 2017,0.19
,,2017 - 2018,0.21
,,2018 - 2019,0.19
,,2019 - 2020,0.16
,,2020 - 2021,0.19
,,2021 - 2022,0.16
,,2022 - 2023,0.17
,Azamgarh,2000 - 2001,0.16
,,2001 - 2002,0.26
,,2002 - 2003,0.16
,,2003 - 2004,0.13
,,2004 - 2005,0.15
,,2005 - 2006,0.17
,,2006 - 2007,0.16
,,2007 - 2008,0.15
,,2008 - 2009,0.16
,,2009 - 2010,0.11
,,2010 - 2011,0.2
,,2011 - 2012,0.22
,,2012 - 2013,0.19
,,2013 - 2014,0.15
,,2014 - 2015,0.2
,,2015 - 2016,0.3
,,2016 - 2017,0.21
,,2017 - 2018,0.3
,,2018 - 2019,0.23
,,2019 - 2020,0.18
,,2020 - 2021,0.31
,,2021 - 2022,0.21
,,2022 - 2023,0.23
,Baghpat,2001 - 2002,0.1
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2014 - 2015,0.5
,,2018 - 2019,0.23
,Bahraich,2000 - 2001,0.16
,,2001 - 2002,0.25
,,2002 - 2003,0.16
,,2003 - 2004,0.13
,,2004 - 2005,0.16
,,2005 - 2006,0.18
,,2006 - 2007,0.17
,,2007 - 2008,0.15
,,2008 - 2009,0.17
,,2009 - 2010,0.1
,,2010 - 2011,0.2
,,2011 - 2012,0.22
,,2012 - 2013,0.19
,,2013 - 2014,0.15
,,2014 - 2015,0.2
,,2015 - 2016,0.3
,,2016 - 2017,0.21
,,2017 - 2018,0.3
,,2018 - 2019,0.23
,,2019 - 2020,0.18
,,2020 - 2021,0.31
,,2021 - 2022,0.23
,,2022 - 2023,0.23
,Ballia,2000 - 2001,0.03
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.25
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,Balrampur,2000 - 2001,0.14
,,2001 - 2002,0.29
,,2002 - 2003,0.33
,,2003 - 2004,0.12
,,2004 - 2005,0.15
,,2005 - 2006,0.2
,,2006 - 2007,0.17
,,2007 - 2008,0.14
,,2008 - 2009,0.15
,,2009 - 2010,0.11
,,2010 - 2011,0.18
,,2011 - 2012,0.21
,,2012 - 2013,0.21
,,2013 - 2014,0.15
,,2014 - 2015,0.18
,,2015 - 2016,0.28
,,2016 - 2017,0.24
,,2017 - 2018,0.27
,,2018 - 2019,0.24
,,2019 - 2020,0.18
,,2020 - 2021,0.29
,,2021 - 2022,0.21
,,2022 - 2023,0.23
,Banda,2000 - 2001,0.12
,,2001 - 2002,0.09
,,2002 - 2003,0.14
,,2003 - 2004,0.08
,,2004 - 2005,0.1
,,2005 - 2006,0.12
,,2006 - 2007,0.16
,,2007 - 2008,0.23
,,2008 - 2009,0.18
,,2009 - 2010,0.05
,,2010 - 2011,0.18
,,2011 - 2012,0.1
,,2012 - 2013,0.19
,,2013 - 2014,0.15
,,2014 - 2015,0.17
,,2015 - 2016,0.28
,,2016 - 2017,0.09
,,2017 - 2018,0.41
,,2018 - 2019,0.26
,,2019 - 2020,0.43
,,2020 - 2021,0.47
,,2021 - 2022,0.15
,,2022 - 2023,0.41
,Barabanki,2000 - 2001,0.16
,,2001 - 2002,0.25
,,2002 - 2003,0.16
,,2003 - 2004,0.13
,,2004 - 2005,0.16
,,2005 - 2006,0.18
,,2006 - 2007,0.17
,,2007 - 2008,0.16
,,2008 - 2009,0.17
,,2009 - 2010,0.1
,,2010 - 2011,0.2
,,2011 - 2012,0.22
,,2012 - 2013,0.19
,,2013 - 2014,0.15
,,2014 - 2015,0.27
,,2015 - 2016,0.2
,,2016 - 2017,0.22
,,2017 - 2018,0.3
,,2018 - 2019,0.23
,,2019 - 2020,0.19
,,2020 - 2021,0.31
,,2021 - 2022,0.23
,,2022 - 2023,0.23
,Bareilly,2000 - 2001,0.1
,,2001 - 2002,0.25
,,2002 - 2003,0.07
,,2003 - 2004,0.44
,,2004 - 2005,0.1
,,2005 - 2006,0.24
,,2006 - 2007,0.11
,,2007 - 2008,0.19
,,2008 - 2009,0.17
,,2009 - 2010,0.1
,,2010 - 2011,0.09
,,2011 - 2012,0.16
,,2012 - 2013,0.11
,,2013 - 2014,0.15
,,2014 - 2015,0.13
,,2015 - 2016,0.11
,,2016 - 2017,0.12
,,2017 - 2018,0.1
,,2018 - 2019,0.07
,,2019 - 2020,0.07
,,2020 - 2021,0.21
,,2021 - 2022,0.21
,,2022 - 2023,0.18
,Basti,2000 - 2001,0.16
,,2001 - 2002,0.25
,,2002 - 2003,0.16
,,2003 - 2004,0.13
,,2004 - 2005,0.16
,,2005 - 2006,0.18
,,2006 - 2007,0.17
,,2007 - 2008,0.15
,,2008 - 2009,0.16
,,2009 - 2010,0.1
,,2010 - 2011,0.2
,,2011 - 2012,0.22
,,2012 - 2013,0.19
,,2013 - 2014,0.15
,,2014 - 2015,0.19
,,2015 - 2016,0.31
,,2016 - 2017,0.22
,,2017 - 2018,0.29
,,2018 - 2019,0.23
,,2019 - 2020,0.18
,,2020 - 2021,0.31
,,2021 - 2022,0.21
,,2022 - 2023,0.23
,Bijnor,2000 - 2001,0.16
,,2001 - 2002,0.25
,,2002 - 2003,0.16
,,2003 - 2004,0.13
,,2004 - 2005,0.16
,,2005 - 2006,0.17
,,2006 - 2007,0.17
,,2007 - 2008,0.15
,,2008 - 2009,0.2
,,2009 - 2010,0.11
,,2010 - 2011,0.2
,,2011 - 2012,0.22
,,2012 - 2013,0.2
,,2013 - 2014,0.13
,,2014 - 2015,0.21
,,2015 - 2016,0.3
,,2016 - 2017,0.18
,,2017 - 2018,0.31
,,2018 - 2019,0.23
,,2019 - 2020,0.19
,,2020 - 2021,0.29
,,2021 - 2022,0.27
,,2022 - 2023,0.17
,Budaun,2000 - 2001,0.1
,,2001 - 2002,0.25
,,2002 - 2003,0.07
,,2003 - 2004,0.12
,,2004 - 2005,0.15
,,2005 - 2006,0.1
,,2006 - 2007,0.12
,,2007 - 2008,0.11
