state,district,year,guar_seed_whole_year_yield_tonne_per_hectare
,,2001 - 2002,0.1
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.01
,,2005 - 2006,0.09
,,2006 - 2007,0.04
,,2007 - 2008,0.06
,,2008 - 2009,0.04
,,2009 - 2010,0.01
,,2010 - 2011,0.3
,,2011 - 2012,0.32
,,2012 - 2013,0.09
,,2013 - 2014,0.09
,,2014 - 2015,0.04
,,2015 - 2016,0.33
,,2016 - 2017,0.1
,,2017 - 2018,0.14
,,2018 - 2019,0.06
,,2019 - 2020,0.2
,,2020 - 2021,0.21
,,2021 - 2022,0.2
,,2022 - 2023,0.21
,Jalore,2000 - 2001,0.01
,,2001 - 2002,0.47
