State,District,Year,Peas & beans (Pulses),,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2013 - 2014,,,,"3,591.00","3,350.00",0.93,,,,,,
,,2014 - 2015,,,,"3,611.00","4,257.00",1.18,,,,,,
,,2015 - 2016,,,,"2,264.00","3,165.00",1.4,,,,,,
,,2016 - 2017,,,,"3,574.00","4,139.00",1.16,,,,,,
,,2017 - 2018,,,,"3,932.00","5,705.00",1.45,,,,,,
,,2018 - 2019,,,,"2,927.00","4,376.00",1.5,,,,,,
,,2019 - 2020,,,,"3,594.00","5,290.00",1.47,,,,,,
,,2020 - 2021,,,,"3,644.00","5,233.00",1.44,,,,,,
,,2021 - 2022,,,,"3,992.00","6,379.00",1.6,,,,,,
,,2022 - 2023,,,,"4,410.00","5,777.00",1.31,,,,,,
,32. Gonda,2000 - 2001,,,,"6,292.00","6,210.00",0.99,,,,,,
,,2001 - 2002,,,,"3,723.00","3,987.00",1.07,,,,,,
,,2002 - 2003,,,,"3,763.00","2,785.00",0.74,,,,,,
,,2003 - 2004,,,,"3,868.00","5,307.00",1.37,,,,,,
,,2008 - 2009,,,,"3,672.00","4,432.00",1.21,,,,,,
,,2009 - 2010,,,,"3,834.00","4,920.00",1.28,,,,,,
,,2010 - 2011,,,,"2,916.00","3,397.00",1.16,,,,,,
,,2011 - 2012,,,,"3,159.00","4,523.00",1.43,,,,,,
,,2012 - 2013,,,,"3,155.00","4,714.00",1.49,,,,,,
,,2013 - 2014,,,,"2,637.00","2,616.00",0.99,,,,,,
,,2014 - 2015,,,,"3,278.00","2,475.00",0.76,,,,,,
,,2015 - 2016,,,,"2,568.00","2,555.00",0.99,,,,,,
,,2016 - 2017,,,,"3,349.00","4,612.00",1.38,,,,,,
,,2017 - 2018,,,,"3,290.00","4,833.00",1.47,,,,,,
,,2018 - 2019,,,,"3,261.00","5,276.00",1.62,,,,,,
,,2019 - 2020,,,,893,"1,469.00",1.65,,,,,,
,,2020 - 2021,,,,"3,261.00","5,074.00",1.56,,,,,,
,,2021 - 2022,,,,"3,653.00","5,943.00",1.63,,,,,,
,,2022 - 2023,,,,"4,005.00","6,204.00",1.55,,,,,,
,33. Gorakhpur,2000 - 2001,,,,"3,283.00","4,550.00",1.39,,,,,,
,,2001 - 2002,,,,"3,358.00","4,060.00",1.21,,,,,,
,,2002 - 2003,,,,"2,996.00","3,682.00",1.23,,,,,,
,,2003 - 2004,,,,"3,095.00","4,246.00",1.37,,,,,,
,,2008 - 2009,,,,"2,494.00","3,010.00",1.21,,,,,,
,,2009 - 2010,,,,"2,416.00","3,100.00",1.28,,,,,,
,,2010 - 2011,,,,"2,152.00","2,507.00",1.16,,,,,,
,,2011 - 2012,,,,"2,142.00","2,318.00",1.08,,,,,,
,,2012 - 2013,,,,"2,339.00","2,431.00",1.04,,,,,,
,,2013 - 2014,,,,"1,480.00",861,0.58,,,,,,
,,2014 - 2015,,,,"2,123.00","1,030.00",0.49,,,,,,
,,2015 - 2016,,,,"1,845.00","1,836.00",1,,,,,,
,,2016 - 2017,,,,"2,233.00","3,075.00",1.38,,,,,,
,,2017 - 2018,,,,"2,118.00","3,111.00",1.47,,,,,,
,,2018 - 2019,,,,"2,388.00","3,864.00",1.62,,,,,,
,,2019 - 2020,,,,"2,084.00","3,428.00",1.64,,,,,,
,,2020 - 2021,,,,"2,182.00","3,395.00",1.56,,,,,,
,,2021 - 2022,,,,"2,405.00","3,913.00",1.63,,,,,,
,,2022 - 2023,,,,"2,640.00","4,089.00",1.55,,,,,,
,34. Hamirpur,2000 - 2001,,,,"19,558.00","11,441.00",0.58,,,,,,
,,2001 - 2002,,,,"19,136.00","21,145.00",1.1,,,,,,
,,2002 - 2003,,,,"21,092.00","22,147.00",1.05,,,,,,
,,2003 - 2004,,,,"25,063.00","31,429.00",1.25,,,,,,
,,2008 - 2009,,,,"17,407.00","18,643.00",1.07,,,,,,
,,2009 - 2010,,,,"14,539.00","14,655.00",1.01,,,,,,
,,2010 - 2011,,,,"12,418.00","11,511.00",0.93,,,,,,
,,2011 - 2012,,,,"9,234.00","9,788.00",1.06,,,,,,
,,2012 - 2013,,,,"10,985.00","13,237.00",1.21,,,,,,
,,2013 - 2014,,,,"11,525.00","11,525.00",1,,,,,,
,,2014 - 2015,,,,"20,721.00","10,153.00",0.49,,,,,,
,,2015 - 2016,,,,"18,307.00","12,925.00",0.71,,,,,,
,,2016 - 2017,,,,"12,110.00","15,464.00",1.28,,,,,,
,,2017 - 2018,,,,"8,472.00","11,090.00",1.31,,,,,,
,,2018 - 2019,,,,"8,796.00","13,018.00",1.48,,,,,,
,,2019 - 2020,,,,"11,197.00","14,634.00",1.31,,,,,,
,,2020 - 2021,,,,"9,159.00","12,639.00",1.38,,,,,,
,,2021 - 2022,,,,"14,762.00","20,313.00",1.38,,,,,,
,,2022 - 2023,,,,"16,166.00","21,210.00",1.31,,,,,,
,35. Hapur,2013 - 2014,,,,101,100,0.99,,,,,,
,,2014 - 2015,,,,16,12,0.75,,,,,,
,,2015 - 2016,,,,36,36,1,,,,,,
,,2016 - 2017,,,,60,82,1.37,,,,,,
,,2017 - 2018,,,,31,46,1.48,,,,,,
,,2018 - 2019,,,,95,154,1.62,,,,,,
,,2019 - 2020,,,,289,475,1.64,,,,,,
,,2020 - 2021,,,,48,75,1.56,,,,,,
,,2021 - 2022,,,,48,78,1.63,,,,,,
,,2022 - 2023,,,,56,87,1.55,,,,,,
,36. Hardoi,2000 - 2001,,,,"1,316.00","1,615.00",1.23,,,,,,
,,2001 - 2002,,,,"1,484.00","1,742.00",1.17,,,,,,
,,2002 - 2003,,,,"1,376.00","1,448.00",1.05,,,,,,
,,2003 - 2004,,,,"1,061.00","1,039.00",0.98,,,,,,
,,2008 - 2009,,,,737,890,1.21,,,,,,
,,2009 - 2010,,,,676,868,1.28,,,,,,
,,2010 - 2011,,,,"1,200.00","1,430.00",1.19,,,,,,
,,2011 - 2012,,,,"1,222.00","1,322.00",1.08,,,,,,
,,2012 - 2013,,,,"1,159.00",911,0.79,,,,,,
,,2013 - 2014,,,,"1,057.00","1,000.00",0.95,,,,,,
,,2014 - 2015,,,,"1,338.00","1,555.00",1.16,,,,,,
,,2015 - 2016,,,,"1,120.00","1,380.00",1.23,,,,,,
,,2016 - 2017,,,,"1,120.00","1,340.00",1.2,,,,,,
,,2017 - 2018,,,,"1,666.00","2,034.00",1.22,,,,,,
,,2018 - 2019,,,,"1,264.00","1,657.00",1.31,,,,,,
,,2019 - 2020,,,,912,740,0.81,,,,,,
,,2020 - 2021,,,,"1,164.00","1,351.00",1.16,,,,,,
,,2021 - 2022,,,,"1,071.00","1,807.00",1.69,,,,,,
,,2022 - 2023,,,,"1,220.00","1,614.00",1.32,,,,,,
,37. Hathras,2000 - 2001,,,,932,"1,777.00",1.91,,,,,,
,,2001 - 2002,,,,"1,097.00","1,949.00",1.78,,,,,,
,,2002 - 2003,,,,171,285,1.67,,,,,,
,,2003 - 2004,,,,368,747,2.03,,,,,,
,,2008 - 2009,,,,207,250,1.21,,,,,,
,,2009 - 2010,,,,50,64,1.28,,,,,,
,,2010 - 2011,,,,12,14,1.17,,,,,,
,,2011 - 2012,,,,72,103,1.43,,,,,,
,,2012 - 2013,,,,157,234,1.49,,,,,,
,,2013 - 2014,,,,39,39,1,,,,,,
,,2014 - 2015,,,,66,85,1.29,,,,,,
,,2015 - 2016,,,,189,188,0.99,,,,,,
,,2016 - 2017,,,,46,63,1.37,,,,,,
,,2017 - 2018,,,,165,242,1.47,,,,,,
,,2018 - 2019,,,,127,206,1.62,,,,,,
,,2019 - 2020,,,,16,26,1.63,,,,,,
,,2020 - 2021,,,,68,106,1.56,,,,,,
,,2021 - 2022,,,,29,47,1.62,,,,,,
,,2022 - 2023,,,,32,50,1.56,,,,,,
,38. Jalaun,2000 - 2001,,,,"29,277.00","28,867.00",0.99,,,,,,
,,2001 - 2002,,,,"33,537.00","60,702.00",1.81,,,,,,
,,2002 - 2003,,,,"49,803.00","94,128.00",1.89,,,,,,
,,2003 - 2004,,,,"60,315.00","1,21,535.00",2.02,,,,,,
,,2008 - 2009,,,,"57,936.00","72,768.00",1.26,,,,,,
,,2009 - 2010,,,,"48,905.00","73,504.00",1.5,,,,,,
,,2010 - 2011,,,,"54,379.00","67,919.00",1.25,,,,,,
,,2011 - 2012,,,,"69,134.00","1,27,690.00",1.85,,,,,,
,,2012 - 2013,,,,"62,909.00","1,15,375.00",1.83,,,,,,
,,2013 - 2014,,,,"79,474.00","1,23,503.00",1.55,,,,,,
,,2014 - 2015,,,,"76,325.00","70,295.00",0.92,,,,,,
,,2015 - 2016,,,,"76,330.00","95,870.00",1.26,,,,,,
,,2016 - 2017,,,,"79,357.00","1,39,589.00",1.76,,,,,,
,,2017 - 2018,,,,"69,595.00","1,23,670.00",1.78,,,,,,
,,2018 - 2019,,,,"73,368.00","1,48,937.00",2.03,,,,,,
,,2019 - 2020,,,,"65,267.00","1,27,858.00",1.96,,,,,,
,,2020 - 2021,,,,"74,009.00","1,48,980.00",2.01,,,,,,
,,2021 - 2022,,,,"93,571.00","1,70,393.00",1.82,,,,,,
,,2022 - 2023,,,,"88,169.00","1,54,119.00",1.75,,,,,,
,39. Jaunpur,2000 - 2001,,,,"6,952.00","8,245.00",1.19,,,,,,
,,2001 - 2002,,,,"6,933.00","5,623.00",0.81,,,,,,
,,2002 - 2003,,,,"6,757.00","8,257.00",1.22,,,,,,
,,2003 - 2004,,,,"6,530.00","7,810.00",1.2,,,,,,
,,2008 - 2009,,,,"5,737.00","6,569.00",1.15,,,,,,
,,2009 - 2010,,,,"5,065.00","5,450.00",1.08,,,,,,
,,2010 - 2011,,,,"5,970.00","9,863.00",1.65,,,,,,
,,2011 - 2012,,,,"5,331.00","7,572.00",1.42,,,,,,
,,2012 - 2013,,,,"5,207.00","6,086.00",1.17,,,,,,
,,2013 - 2014,,,,"5,274.00","4,473.00",0.85,,,,,,
,,2014 - 2015,,,,"5,839.00","5,612.00",0.96,,,,,,
,,2015 - 2016,,,,"5,568.00","4,983.00",0.89,,,,,,
,,2016 - 2017,,,,"5,631.00","10,023.00",1.78,,,,,,
,,2017 - 2018,,,,"5,446.00","9,127.00",1.68,,,,,,
,,2018 - 2019,,,,"5,751.00","7,770.00",1.35,,,,,,
,,2019 - 2020,,,,"5,548.00","8,294.00",1.49,,,,,,
,,2020 - 2021,,,,"5,515.00","10,738.00",1.95,,,,,,
,,2021 - 2022,,,,"6,054.00","14,239.00",2.35,,,,,,
,,2022 - 2023,,,,"6,625.00","12,170.00",1.84,,,,,,
,40. Jhansi,2000 - 2001,,,,"43,272.00","40,632.00",0.94,,,,,,
,,2001 - 2002,,,,"42,348.00","66,656.00",1.57,,,,,,
,,2002 - 2003,,,,"55,967.00","95,032.00",1.7,,,,,,
,,2003 - 2004,,,,"81,950.00","1,24,482.00",1.52,,,,,,
,,2008 - 2009,,,,"59,329.00","89,527.00",1.51,,,,,,
,,2009 - 2010,,,,"42,125.00","59,818.00",1.42,,,,,,
,,2010 - 2011,,,,"37,066.00","40,476.00",1.09,,,,,,
,,2011 - 2012,,,,"40,963.00","63,083.00",1.54,,,,,,
,,2012 - 2013,,,,"44,782.00","78,503.00",1.75,,,,,,
,,2013 - 2014,,,,"56,429.00","37,243.00",0.66,,,,,,
,,2014 - 2015,,,,"94,681.00","62,395.00",0.66,,,,,,
,,2015 - 2016,,,,"39,255.00","43,338.00",1.1,,,,,,
,,2016 - 2017,,,,"65,943.00","92,320.00",1.4,,,,,,
,,2017 - 2018,,,,"30,394.00","37,962.00",1.25,,,,,,
,,2018 - 2019,,,,"52,184.00","90,122.00",1.73,,,,,,
,,2019 - 2020,,,,"56,429.00","1,07,554.00",1.91,,,,,,
,,2020 - 2021,,,,"66,818.00","92,944.00",1.39,,,,,,
,,2021 - 2022,,,,"95,814.00","1,36,248.00",1.42,,,,,,
,,2022 - 2023,,,,"98,550.00","1,59,060.00",1.61,,,,,,
,41. Kannauj,2000 - 2001,,,,"2,196.00","3,887.00",1.77,,,,,,
,,2001 - 2002,,,,"2,489.00","4,138.00",1.66,,,,,,
,,2002 - 2003,,,,"1,852.00","3,098.00",1.67,,,,,,
,,2003 - 2004,,,,"1,709.00","3,220.00",1.88,,,,,,
,,2008 - 2009,,,,"1,045.00","1,769.00",1.69,,,,,,
,,2009 - 2010,,,,832,"1,156.00",1.39,,,,,,
,,2010 - 2011,,,,994,"1,453.00",1.46,,,,,,
,,2011 - 2012,,,,948,"1,455.00",1.53,,,,,,
,,2012 - 2013,,,,913,"1,469.00",1.61,,,,,,
,,2013 - 2014,,,,793,"1,387.00",1.75,,,,,,
,,2014 - 2015,,,,641,352,0.55,,,,,,
,,2015 - 2016,,,,344,455,1.32,,,,,,
,,2016 - 2017,,,,634,994,1.57,,,,,,
,,2017 - 2018,,,,789,"1,301.00",1.65,,,,,,
,,2018 - 2019,,,,599,900,1.5,,,,,,
,,2019 - 2020,,,,620,598,0.96,,,,,,
,,2020 - 2021,,,,613,789,1.29,,,,,,
,,2021 - 2022,,,,675,"1,098.00",1.63,,,,,,
,,2022 - 2023,,,,740,"1,146.00",1.55,,,,,,
,42. Kanpur dehat,2003 - 2004,,,,"3,165.00","6,406.00",2.02,,,,,,
,,2008 - 2009,,,,"2,738.00","4,737.00",1.73,,,,,,
,,2009 - 2010,,,,"2,369.00","2,608.00",1.1,,,,,,
,,2010 - 2011,,,,"2,733.00","3,709.00",1.36,,,,,,
,,2011 - 2012,,,,"2,514.00","5,292.00",2.11,,,,,,
,,2012 - 2013,,,,"2,282.00","4,062.00",1.78,,,,,,
,,2013 - 2014,,,,"2,427.00","3,684.00",1.52,,,,,,
,,2014 - 2015,,,,"2,338.00","1,286.00",0.55,,,,,,
,,2015 - 2016,,,,"1,016.00","1,343.00",1.32,,,,,,
,,2016 - 2017,,,,"2,284.00","3,581.00",1.57,,,,,,
,,2017 - 2018,,,,"2,176.00","3,588.00",1.65,,,,,,
,,2018 - 2019,,,,"2,270.00","3,411.00",1.5,,,,,,
,,2019 - 2020,,,,"3,348.00","3,231.00",0.97,,,,,,
,,2020 - 2021,,,,"2,278.00","2,932.00",1.29,,,,,,
,,2021 - 2022,,,,"3,316.00","5,395.00",1.63,,,,,,
,,2022 - 2023,,,,"3,629.00","5,621.00",1.55,,,,,,
,43. Kanpur nagar,2000 - 2001,,,,"11,018.00","19,502.00",1.77,,,,,,
,,2001 - 2002,,,,"6,831.00","10,685.00",1.56,,,,,,
,,2002 - 2003,,,,"6,050.00","9,882.00",1.63,,,,,,
,,2003 - 2004,,,,"2,195.00","3,519.00",1.6,,,,,,
,,2008 - 2009,,,,"1,854.00","3,037.00",1.64,,,,,,
,,2009 - 2010,,,,"2,424.00","4,048.00",1.67,,,,,,
,,2010 - 2011,,,,"2,361.00","3,745.00",1.59,,,,,,
,,2011 - 2012,,,,"1,607.00","2,466.00",1.53,,,,,,
,,2012 - 2013,,,,"1,638.00","2,635.00",1.61,,,,,,
,,2013 - 2014,,,,"2,569.00","5,053.00",1.97,,,,,,
,,2014 - 2015,,,,"2,269.00","1,248.00",0.55,,,,,,
,,2015 - 2016,,,,"2,572.00","3,400.00",1.32,,,,,,
,,2016 - 2017,,,,"2,446.00","3,835.00",1.57,,,,,,
,,2017 - 2018,,,,"2,505.00","4,131.00",1.65,,,,,,
,,2018 - 2019,,,,"2,952.00","4,437.00",1.5,,,,,,
,,2019 - 2020,,,,"2,732.00","2,636.00",0.96,,,,,,
,,2020 - 2021,,,,"2,599.00","3,345.00",1.29,,,,,,
,,2021 - 2022,,,,"2,655.00","4,320.00",1.63,,,,,,
,,2022 - 2023,,,,"2,908.00","4,504.00",1.55,,,,,,
,44. Kasganj,2009 - 2010,,,,2,3,1.5,,,,,,
,,2010 - 2011,,,,110,128,1.16,,,,,,
,,2011 - 2012,,,,26,37,1.42,,,,,,
,,2013 - 2014,,,,"1,726.00","1,712.00",0.99,,,,,,
,,2015 - 2016,,,,"2,627.00","2,614.00",1,,,,,,
,,2018 - 2019,,,,"6,939.00","11,227.00",1.62,,,,,,
,,2020 - 2021,,,,"6,926.00","10,777.00",1.56,,,,,,
,45. Kaushambi,2000 - 2001,,,,"1,922.00","2,110.00",1.1,,,,,,
,,2001 - 2002,,,,"1,606.00","1,672.00",1.04,,,,,,
,,2002 - 2003,,,,"1,604.00","1,562.00",0.97,,,,,,
,,2003 - 2004,,,,"1,506.00","1,629.00",1.08,,,,,,
,,2008 - 2009,,,,"1,903.00","1,566.00",0.82,,,,,,
,,2009 - 2010,,,,"1,383.00","1,132.00",0.82,,,,,,
,,2010 - 2011,,,,"1,479.00","1,336.00",0.9,,,,,,
,,2011 - 2012,,,,"1,373.00","1,617.00",1.18,,,,,,
,,2012 - 2013,,,,"1,335.00","1,429.00",1.07,,,,,,
,,2013 - 2014,,,,"1,020.00","1,081.00",1.06,,,,,,
,,2014 - 2015,,,,"1,793.00","1,311.00",0.73,,,,,,
,,2015 - 2016,,,,"1,156.00","1,103.00",0.95,,,,,,
,,2016 - 2017,,,,"1,347.00","1,596.00",1.18,,,,,,
,,2017 - 2018,,,,"1,306.00","1,958.00",1.5,,,,,,
,,2018 - 2019,,,,"1,127.00","1,410.00",1.25,,,,,,
,,2019 - 2020,,,,"1,103.00",988,0.9,,,,,,
,,2020 - 2021,,,,"1,726.00","2,183.00",1.26,,,,,,
,,2021 - 2022,,,,"1,640.00","2,968.00",1.81,,,,,,
,,2022 - 2023,,,,"1,795.00","2,897.00",1.61,,,,,,
,46. Kheri,2000 - 2001,,,,815,814,1,,,,,,
,,2001 - 2002,,,,"1,064.00","1,249.00",1.17,,,,,,
,,2002 - 2003,,,,816,858,1.05,,,,,,
,,2003 - 2004,,,,742,726,0.98,,,,,,
,,2008 - 2009,,,,503,607,1.21,,,,,,
,,2009 - 2010,,,,665,853,1.28,,,,,,
,,2010 - 2011,,,,591,705,1.19,,,,,,
,,2011 - 2012,,,,595,644,1.08,,,,,,
,,2012 - 2013,,,,505,397,0.79,,,,,,
,,2013 - 2014,,,,586,554,0.95,,,,,,
,,2014 - 2015,,,,429,499,1.16,,,,,,
,,2015 - 2016,,,,625,770,1.23,,,,,,
,,2016 - 2017,,,,418,500,1.2,,,,,,
,,2017 - 2018,,,,432,527,1.22,,,,,,
,,2018 - 2019,,,,"1,023.00","1,341.00",1.31,,,,,,
,,2019 - 2020,,,,361,293,0.81,,,,,,
,,2020 - 2021,,,,498,578,1.16,,,,,,
,,2021 - 2022,,,,374,631,1.69,,,,,,
,,2022 - 2023,,,,416,550,1.32,,,,,,
,47. Kushi nagar,2000 - 2001,,,,792,"1,098.00",1.39,,,,,,
,,2001 - 2002,,,,683,826,1.21,,,,,,
,,2002 - 2003,,,,603,741,1.23,,,,,,
,,2003 - 2004,,,,675,926,1.37,,,,,,
,,2008 - 2009,,,,922,"1,113.00",1.21,,,,,,
,,2009 - 2010,,,,345,443,1.28,,,,,,
,,2010 - 2011,,,,401,467,1.16,,,,,,
,,2011 - 2012,,,,619,670,1.08,,,,,,
,,2012 - 2013,,,,534,555,1.04,,,,,,
,,2013 - 2014,,,,552,321,0.58,,,,,,
,,2014 - 2015,,,,485,235,0.48,,,,,,
,,2015 - 2016,,,,526,523,0.99,,,,,,
,,2016 - 2017,,,,511,704,1.38,,,,,,
,,2017 - 2018,,,,556,817,1.47,,,,,,
,,2018 - 2019,,,,241,390,1.62,,,,,,
,,2019 - 2020,,,,551,906,1.64,,,,,,
,,2020 - 2021,,,,449,699,1.56,,,,,,
,,2021 - 2022,,,,588,957,1.63,,,,,,
,,2022 - 2023,,,,648,"1,004.00",1.55,,,,,,
,48. Lalitpur,2000 - 2001,,,,"29,299.00","26,486.00",0.9,,,,,,
,,2001 - 2002,,,,"33,387.00","28,145.00",0.84,,,,,,
,,2002 - 2003,,,,"35,460.00","27,730.00",0.78,,,,,,
,,2003 - 2004,,,,"45,721.00","56,374.00",1.23,,,,,,
,,2008 - 2009,,,,"70,733.00","75,260.00",1.06,,,,,,
,,2009 - 2010,,,,"65,849.00","92,254.00",1.4,,,,,,
,,2010 - 2011,,,,"60,377.00","72,151.00",1.2,,,,,,
,,2011 - 2012,,,,"64,074.00","86,372.00",1.35,,,,,,
,,2012 - 2013,,,,"54,718.00","94,662.00",1.73,,,,,,
,,2013 - 2014,,,,"63,268.00","61,750.00",0.98,,,,,,
,,2014 - 2015,,,,"68,573.00","57,190.00",0.83,,,,,,
,,2015 - 2016,,,,"36,396.00","29,736.00",0.82,,,,,,
,,2016 - 2017,,,,"69,626.00","1,07,572.00",1.54,,,,,,
,,2017 - 2018,,,,"48,627.00","87,577.00",1.8,,,,,,
,,2018 - 2019,,,,"51,082.00","82,038.00",1.61,,,,,,
,,2019 - 2020,,,,"60,370.00","1,01,784.00",1.69,,,,,,
,,2020 - 2021,,,,"58,695.00","85,812.00",1.46,,,,,,
,,2021 - 2022,,,,"64,564.00","1,23,769.00",1.92,,,,,,
,,2022 - 2023,,,,"73,314.00","1,11,657.00",1.52,,,,,,
,49. Lucknow,2000 - 2001,,,,"3,144.00","3,141.00",1,,,,,,
,,2001 - 2002,,,,"2,855.00","3,352.00",1.17,,,,,,
,,2002 - 2003,,,,"2,786.00","2,931.00",1.05,,,,,,
,,2003 - 2004,,,,"2,491.00","2,573.00",1.03,,,,,,
,,2008 - 2009,,,,"1,105.00","1,334.00",1.21,,,,,,
,,2009 - 2010,,,,947,"1,215.00",1.28,,,,,,
,,2010 - 2011,,,,709,845,1.19,,,,,,
,,2011 - 2012,,,,820,887,1.08,,,,,,
,,2012 - 2013,,,,821,645,0.79,,,,,,
,,2013 - 2014,,,,783,741,0.95,,,,,,
,,2014 - 2015,,,,815,947,1.16,,,,,,
,,2015 - 2016,,,,566,697,1.23,,,,,,
,,2016 - 2017,,,,740,885,1.2,,,,,,
,,2017 - 2018,,,,659,805,1.22,,,,,,
,,2018 - 2019,,,,744,975,1.31,,,,,,
,,2019 - 2020,,,,629,510,0.81,,,,,,
,,2020 - 2021,,,,767,890,1.16,,,,,,
,,2021 - 2022,,,,844,"1,424.00",1.69,,,,,,
,,2022 - 2023,,,,949,"1,256.00",1.32,,,,,,
,50. Maharajganj,2000 - 2001,,,,"1,620.00","2,245.00",1.39,,,,,,
,,2001 - 2002,,,,"1,519.00","1,836.00",1.21,,,,,,
,,2002 - 2003,,,,"1,442.00","1,772.00",1.23,,,,,,
,,2003 - 2004,,,,"1,347.00","1,848.00",1.37,,,,,,
,,2008 - 2009,,,,"1,003.00","1,211.00",1.21,,,,,,
,,2009 - 2010,,,,"1,295.00","1,662.00",1.28,,,,,,
,,2010 - 2011,,,,"1,039.00","1,211.00",1.17,,,,,,
,,2011 - 2012,,,,"1,218.00","1,318.00",1.08,,,,,,
,,2012 - 2013,,,,"1,192.00","1,238.00",1.04,,,,,,
,,2013 - 2014,,,,"1,180.00",687,0.58,,,,,,
,,2014 - 2015,,,,"1,042.00",505,0.48,,,,,,
,,2015 - 2016,,,,782,778,0.99,,,,,,
,,2016 - 2017,,,,"1,174.00","1,616.00",1.38,,,,,,
,,2017 - 2018,,,,"1,233.00","1,811.00",1.47,,,,,,
,,2018 - 2019,,,,"1,063.00","1,720.00",1.62,,,,,,
,,2019 - 2020,,,,"1,184.00","1,948.00",1.65,,,,,,
,,2020 - 2021,,,,"1,124.00","1,749.00",1.56,,,,,,
,,2021 - 2022,,,,"1,317.00","2,143.00",1.63,,,,,,
,,2022 - 2023,,,,"1,441.00","2,232.00",1.55,,,,,,
,51. Mahoba,2000 - 2001,,,,"44,322.00","25,840.00",0.58,,,,,,
,,2001 - 2002,,,,"39,445.00","40,707.00",1.03,,,,,,
,,2002 - 2003,,,,"33,286.00","25,797.00",0.78,,,,,,
,,2003 - 2004,,,,"43,602.00","40,811.00",0.94,,,,,,
,,2008 - 2009,,,,"26,623.00","25,718.00",0.97,,,,,,
,,2009 - 2010,,,,"24,086.00","20,545.00",0.85,,,,,,
,,2010 - 2011,,,,"25,007.00","15,279.00",0.61,,,,,,
,,2011 - 2012,,,,"25,646.00","27,031.00",1.05,,,,,,
,,2012 - 2013,,,,"24,629.00","23,668.00",0.96,,,,,,
,,2013 - 2014,,,,"29,727.00","18,431.00",0.62,,,,,,
,,2014 - 2015,,,,"37,842.00","16,688.00",0.44,,,,,,
,,2015 - 2016,,,,"13,914.00","4,355.00",0.31,,,,,,
,,2016 - 2017,,,,"42,188.00","33,582.00",0.8,,,,,,
,,2017 - 2018,,,,"24,408.00","16,329.00",0.67,,,,,,
,,2018 - 2019,,,,"24,218.00","27,076.00",1.12,,,,,,
,,2019 - 2020,,,,"37,004.00","62,574.00",1.69,,,,,,
,,2020 - 2021,,,,"29,223.00","41,760.00",1.43,,,,,,
,,2021 - 2022,,,,"27,530.00","31,412.00",1.14,,,,,,
,,2022 - 2023,,,,"36,332.00","59,003.00",1.62,,,,,,
,52. Mainpuri,2000 - 2001,,,,"1,614.00","3,078.00",1.91,,,,,,
,,2001 - 2002,,,,"1,615.00","2,834.00",1.75,,,,,,
,,2002 - 2003,,,,"1,568.00","2,612.00",1.67,,,,,,
,,2003 - 2004,,,,"1,807.00","3,669.00",2.03,,,,,,
,,2008 - 2009,,,,"1,475.00","1,780.00",1.21,,,,,,
,,2009 - 2010,,,,"1,095.00","1,405.00",1.28,,,,,,
,,2010 - 2011,,,,"1,441.00","3,440.00",2.39,,,,,,
,,2011 - 2012,,,,"1,445.00","2,390.00",1.65,,,,,,
,,2012 - 2013,,,,910,"1,880.00",2.07,,,,,,
,,2013 - 2014,,,,"1,218.00","2,666.00",2.19,,,,,,
,,2014 - 2015,,,,"1,120.00",500,0.45,,,,,,
,,2015 - 2016,,,,"1,141.00","1,135.00",0.99,,,,,,
,,2016 - 2017,,,,"1,346.00","3,789.00",2.82,,,,,,
,,2017 - 2018,,,,"1,065.00","2,475.00",2.32,,,,,,
,,2018 - 2019,,,,962,"1,556.00",1.62,,,,,,
,,2019 - 2020,,,,"1,099.00","3,032.00",2.76,,,,,,
,,2020 - 2021,,,,"1,067.00","3,449.00",3.23,,,,,,
,,2021 - 2022,,,,"1,443.00","4,662.00",3.23,,,,,,
,,2022 - 2023,,,,"1,579.00","2,446.00",1.55,,,,,,
,53. Mathura,2000 - 2001,,,,71,135,1.9,,,,,,
,,2001 - 2002,,,,174,309,1.78,,,,,,
,,2002 - 2003,,,,16,27,1.69,,,,,,
,,2003 - 2004,,,,34,69,2.03,,,,,,
,,2008 - 2009,,,,10,12,1.2,,,,,,
,,2009 - 2010,,,,2,3,1.5,,,,,,
,,2011 - 2012,,,,5,8,1.6,,,,,,
,,2012 - 2013,,,,1,2,2,,,,,,
,,2013 - 2014,,,,1,2,2,,,,,,
,,2014 - 2015,,,,6,2,0.33,,,,,,
,,2015 - 2016,,,,2,2,1,,,,,,
,,2016 - 2017,,,,11,31,2.82,,,,,,
,,2017 - 2018,,,,1,2,2,,,,,,
,,2018 - 2019,,,,23,37,1.61,,,,,,
,,2019 - 2020,,,,1,3,3,,,,,,
,,2020 - 2021,,,,1,3,3,,,,,,
,54. Mau,2000 - 2001,,,,"2,505.00","3,472.00",1.39,,,,,,
,,2001 - 2002,,,,"2,245.00","2,204.00",0.98,,,,,,
,,2002 - 2003,,,,"1,973.00","1,950.00",0.99,,,,,,
,,2003 - 2004,,,,"2,037.00","2,436.00",1.2,,,,,,
,,2008 - 2009,,,,"1,709.00","2,146.00",1.26,,,,,,
