State,District,Year,Cardamom,,,,,
,,,Whole Year,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2007 - 2008,"1,484.00",142,0.1,,,
,,2008 - 2009,"1,491.00",143,0.1,,,
,,2009 - 2010,"1,509.00",145,0.1,,,
,,2011 - 2012,"1,501.00",144,0.1,,,
,,2013 - 2014,"1,391.00",134,0.1,,,
,,2014 - 2015,"1,410.00",135,0.1,,,
,,2015 - 2016,"1,404.00",23,0.02,,,
,,2016 - 2017,"1,330.00",127,0.1,,,
,,2017 - 2018,"1,321.00",127,0.1,,,
,,2018 - 2019,"1,333.00",128,0.1,,,
,,2019 - 2020,"1,317.00",126,0.1,,,
,,2020 - 2021,"1,351.00",122,0.09,,,
,,2021 - 2022,"1,440.00",136,0.09,,,
,,2022 - 2023,"1,501.00",143,0.1,,,
,14. Thenkasi,2020 - 2021,33,3,0.09,,,
,,2021 - 2022,34,3,0.09,,,
,,2022 - 2023,62,6,0.1,,,
,15. Thiruvarur,2017 - 2018,1,,0,,,
,16. Tiruchirappalli,2003 - 2004,2,,0,,,
,,2004 - 2005,1,,0,,,
,17. Tirunelveli,2000 - 2001,842,81,0.1,,,
,,2003 - 2004,"1,241.00",119,0.1,,,
,,2004 - 2005,831,80,0.1,,,
,,2005 - 2006,759,73,0.1,,,
,,2006 - 2007,760,73,0.1,,,
,,2007 - 2008,752,72,0.1,,,
,,2008 - 2009,379,36,0.09,,,
,,2009 - 2010,425,41,0.1,,,
,,2011 - 2012,224,22,0.1,,,
,,2013 - 2014,193,19,0.1,,,
,,2014 - 2015,191,18,0.09,,,
