State,District,Year,Barley,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2021 - 2022,"6,314.00","18,380.00",2.91,,,,,,,,,
,,2022 - 2023,"6,314.00","20,300.00",3.22,,,,,,,,,
,44. Kasganj,2009 - 2010,"3,136.00","8,358.00",2.67,,,,,,,,,
,,2010 - 2011,"2,672.00","8,219.00",3.08,,,,,,,,,
,,2011 - 2012,"3,130.00","10,545.00",3.37,,,,,,,,,
,,2012 - 2013,"2,451.00","7,917.00",3.23,,,,,,,,,
,,2013 - 2014,"2,489.00","8,381.00",3.37,,,,,,,,,
,,2014 - 2015,"3,527.00","8,815.00",2.5,,,,,,,,,
,,2015 - 2016,"2,122.00","5,881.00",2.77,,,,,,,,,
,,2016 - 2017,"2,425.00","6,649.00",2.74,,,,,,,,,
,,2017 - 2018,"2,717.00","9,232.00",3.4,,,,,,,,,
,,2018 - 2019,"2,708.00","8,907.00",3.29,,,,,,,,,
,,2019 - 2020,"2,884.00","12,058.00",4.18,,,,,,,,,
,,2020 - 2021,"2,916.00","10,110.00",3.47,,,,,,,,,
,,2021 - 2022,"4,793.00","17,885.00",3.73,,,,,,,,,
,,2022 - 2023,"4,793.00","16,508.00",3.44,,,,,,,,,
,45. Kaushambi,2000 - 2001,"5,876.00","7,813.00",1.33,,,,,,,,,
,,2001 - 2002,"4,070.00","6,617.00",1.63,,,,,,,,,
,,2002 - 2003,"4,291.00","4,880.00",1.14,,,,,,,,,
,,2003 - 2004,"3,627.00","6,208.00",1.71,,,,,,,,,
,,2004 - 2005,"3,251.00","3,973.00",1.22,,,,,,,,,
,,2005 - 2006,"3,970.00","4,461.00",1.12,,,,,,,,,
,,2006 - 2007,"2,611.00","3,879.00",1.49,,,,,,,,,
,,2007 - 2008,"1,063.00","1,040.00",0.98,,,,,,,,,
,,2008 - 2009,"1,677.00","1,396.00",0.83,,,,,,,,,
,,2009 - 2010,"2,577.00","3,458.00",1.34,,,,,,,,,
,,2010 - 2011,"2,169.00","3,988.00",1.84,,,,,,,,,
,,2011 - 2012,"1,470.00","2,821.00",1.92,,,,,,,,,
,,2012 - 2013,"2,809.00","7,741.00",2.76,,,,,,,,,
,,2013 - 2014,"1,835.00","6,148.00",3.35,,,,,,,,,
,,2014 - 2015,"3,803.00","3,854.00",1.01,,,,,,,,,
,,2015 - 2016,754,"1,560.00",2.07,,,,,,,,,
,,2016 - 2017,"1,576.00","3,986.00",2.53,,,,,,,,,
,,2017 - 2018,"1,327.00","3,913.00",2.95,,,,,,,,,
,,2018 - 2019,508,"1,543.00",3.04,,,,,,,,,
,,2019 - 2020,"1,954.00","5,561.00",2.85,,,,,,,,,
,,2020 - 2021,"1,629.00","4,898.00",3.01,,,,,,,,,
,,2021 - 2022,"2,154.00","6,120.00",2.84,,,,,,,,,
,,2022 - 2023,"2,154.00","4,429.00",2.06,,,,,,,,,
,46. Kheri,2000 - 2001,629,"1,069.00",1.7,,,,,,,,,
,,2001 - 2002,624,"1,022.00",1.64,,,,,,,,,
,,2002 - 2003,648,"1,126.00",1.74,,,,,,,,,
,,2003 - 2004,557,"1,038.00",1.86,,,,,,,,,
,,2004 - 2005,409,652,1.59,,,,,,,,,
,,2005 - 2006,628,987,1.57,,,,,,,,,
,,2006 - 2007,383,636,1.66,,,,,,,,,
,,2007 - 2008,394,736,1.87,,,,,,,,,
,,2008 - 2009,360,681,1.89,,,,,,,,,
,,2009 - 2010,286,397,1.39,,,,,,,,,
,,2010 - 2011,103,202,1.96,,,,,,,,,
,,2011 - 2012,604,"1,397.00",2.31,,,,,,,,,
,,2012 - 2013,918,"1,853.00",2.02,,,,,,,,,
,,2013 - 2014,846,"2,126.00",2.51,,,,,,,,,
,,2014 - 2015,223,303,1.36,,,,,,,,,
,,2015 - 2016,291,256,0.88,,,,,,,,,
,,2016 - 2017,685,"1,876.00",2.74,,,,,,,,,
,,2017 - 2018,519,"1,361.00",2.62,,,,,,,,,
,,2018 - 2019,554,"1,550.00",2.8,,,,,,,,,
,,2019 - 2020,620,"1,950.00",3.15,,,,,,,,,
,,2020 - 2021,113,322,2.85,,,,,,,,,
,,2021 - 2022,"2,347.00","6,372.00",2.71,,,,,,,,,
,,2022 - 2023,"2,347.00","7,158.00",3.05,,,,,,,,,
,47. Kushi nagar,2000 - 2001,146,187,1.28,,,,,,,,,
,,2001 - 2002,198,435,2.2,,,,,,,,,
,,2002 - 2003,104,160,1.54,,,,,,,,,
,,2003 - 2004,127,237,1.87,,,,,,,,,
,,2004 - 2005,122,235,1.93,,,,,,,,,
,,2005 - 2006,157,162,1.03,,,,,,,,,
,,2006 - 2007,120,233,1.94,,,,,,,,,
,,2007 - 2008,118,279,2.36,,,,,,,,,
,,2008 - 2009,13,31,2.38,,,,,,,,,
,,2009 - 2010,103,237,2.3,,,,,,,,,
,,2010 - 2011,95,251,2.64,,,,,,,,,
,,2011 - 2012,79,217,2.75,,,,,,,,,
,,2012 - 2013,86,237,2.76,,,,,,,,,
,,2013 - 2014,123,374,3.04,,,,,,,,,
,,2014 - 2015,85,155,1.82,,,,,,,,,
,,2015 - 2016,96,211,2.2,,,,,,,,,
,,2016 - 2017,104,359,3.45,,,,,,,,,
,,2018 - 2019,98,312,3.18,,,,,,,,,
,,2019 - 2020,104,338,3.25,,,,,,,,,
,,2020 - 2021,97,304,3.13,,,,,,,,,
,,2021 - 2022,107,325,3.04,,,,,,,,,
,,2022 - 2023,107,328,3.07,,,,,,,,,
,48. Lalitpur,2000 - 2001,"5,545.00","6,508.00",1.17,,,,,,,,,
,,2001 - 2002,"5,791.00","9,391.00",1.62,,,,,,,,,
,,2002 - 2003,"4,546.00","6,752.00",1.49,,,,,,,,,
,,2003 - 2004,"5,842.00","9,393.00",1.61,,,,,,,,,
,,2004 - 2005,"5,257.00","6,909.00",1.31,,,,,,,,,
,,2005 - 2006,"6,636.00","13,361.00",2.01,,,,,,,,,
,,2006 - 2007,"5,625.00","10,812.00",1.92,,,,,,,,,
,,2007 - 2008,"4,530.00","6,552.00",1.45,,,,,,,,,
,,2008 - 2009,"8,091.00","17,187.00",2.12,,,,,,,,,
,,2009 - 2010,"9,695.00","19,724.00",2.03,,,,,,,,,
,,2010 - 2011,"8,469.00","19,818.00",2.34,,,,,,,,,
,,2011 - 2012,"8,724.00","20,405.00",2.34,,,,,,,,,
,,2012 - 2013,"8,725.00","19,675.00",2.26,,,,,,,,,
,,2013 - 2014,"7,914.00","19,943.00",2.52,,,,,,,,,
,,2014 - 2015,"9,401.00","15,079.00",1.6,,,,,,,,,
,,2015 - 2016,"7,276.00","15,592.00",2.14,,,,,,,,,
,,2016 - 2017,"9,615.00","23,461.00",2.44,,,,,,,,,
,,2017 - 2018,"7,357.00","14,302.00",1.94,,,,,,,,,
,,2018 - 2019,"9,798.00","32,529.00",3.32,,,,,,,,,
,,2019 - 2020,"8,931.00","25,007.00",2.8,,,,,,,,,
,,2020 - 2021,"9,615.00","20,557.00",2.14,,,,,,,,,
,,2021 - 2022,"7,904.00","24,439.00",3.09,,,,,,,,,
,,2022 - 2023,"7,904.00","19,958.00",2.53,,,,,,,,,
,49. Lucknow,2000 - 2001,"1,072.00","1,822.00",1.7,,,,,,,,,
,,2001 - 2002,943,"1,545.00",1.64,,,,,,,,,
,,2002 - 2003,777,"1,350.00",1.74,,,,,,,,,
,,2003 - 2004,675,"1,257.00",1.86,,,,,,,,,
,,2004 - 2005,604,963,1.59,,,,,,,,,
,,2005 - 2006,340,534,1.57,,,,,,,,,
,,2006 - 2007,414,688,1.66,,,,,,,,,
,,2007 - 2008,223,416,1.87,,,,,,,,,
,,2008 - 2009,250,473,1.89,,,,,,,,,
,,2009 - 2010,256,355,1.39,,,,,,,,,
,,2010 - 2011,139,272,1.96,,,,,,,,,
,,2011 - 2012,169,391,2.31,,,,,,,,,
,,2012 - 2013,136,274,2.01,,,,,,,,,
,,2013 - 2014,150,376,2.51,,,,,,,,,
,,2014 - 2015,121,164,1.36,,,,,,,,,
,,2015 - 2016,88,77,0.88,,,,,,,,,
,,2016 - 2017,125,342,2.74,,,,,,,,,
,,2017 - 2018,221,580,2.62,,,,,,,,,
,,2018 - 2019,32,90,2.81,,,,,,,,,
,,2019 - 2020,166,431,2.6,,,,,,,,,
,,2020 - 2021,82,234,2.85,,,,,,,,,
,,2021 - 2022,215,584,2.72,,,,,,,,,
,,2022 - 2023,215,656,3.05,,,,,,,,,
,50. Maharajganj,2000 - 2001,157,201,1.28,,,,,,,,,
,,2001 - 2002,165,363,2.2,,,,,,,,,
,,2002 - 2003,146,224,1.53,,,,,,,,,
,,2003 - 2004,108,201,1.86,,,,,,,,,
,,2004 - 2005,104,201,1.93,,,,,,,,,
,,2005 - 2006,100,104,1.04,,,,,,,,,
,,2006 - 2007,98,191,1.95,,,,,,,,,
,,2007 - 2008,56,133,2.38,,,,,,,,,
,,2008 - 2009,98,229,2.34,,,,,,,,,
,,2009 - 2010,65,150,2.31,,,,,,,,,
,,2010 - 2011,52,138,2.65,,,,,,,,,
,,2011 - 2012,71,195,2.75,,,,,,,,,
,,2012 - 2013,58,159,2.74,,,,,,,,,
,,2013 - 2014,113,344,3.04,,,,,,,,,
,,2014 - 2015,66,120,1.82,,,,,,,,,
,,2015 - 2016,25,55,2.2,,,,,,,,,
,,2016 - 2017,87,300,3.45,,,,,,,,,
,,2017 - 2018,21,69,3.29,,,,,,,,,
,,2018 - 2019,64,204,3.19,,,,,,,,,
,,2020 - 2021,67,210,3.13,,,,,,,,,
,,2021 - 2022,95,288,3.03,,,,,,,,,
,,2022 - 2023,95,291,3.06,,,,,,,,,
,51. Mahoba,2000 - 2001,"2,875.00","1,989.00",0.69,,,,,,,,,
,,2001 - 2002,"3,405.00","3,144.00",0.92,,,,,,,,,
,,2002 - 2003,"2,818.00","2,435.00",0.86,,,,,,,,,
,,2003 - 2004,"2,664.00","2,927.00",1.1,,,,,,,,,
,,2004 - 2005,"2,494.00","3,987.00",1.6,,,,,,,,,
,,2005 - 2006,"3,709.00","3,701.00",1,,,,,,,,,
,,2006 - 2007,"3,020.00","2,632.00",0.87,,,,,,,,,
,,2007 - 2008,"1,374.00",653,0.48,,,,,,,,,
,,2008 - 2009,"2,055.00","1,932.00",0.94,,,,,,,,,
,,2009 - 2010,"4,840.00","4,957.00",1.02,,,,,,,,,
,,2010 - 2011,"2,281.00","5,268.00",2.31,,,,,,,,,
,,2011 - 2012,"4,090.00","8,910.00",2.18,,,,,,,,,
,,2012 - 2013,"4,429.00","11,967.00",2.7,,,,,,,,,
,,2013 - 2014,"5,072.00","15,089.00",2.97,,,,,,,,,
,,2014 - 2015,"10,701.00","18,398.00",1.72,,,,,,,,,
,,2015 - 2016,"2,738.00","2,117.00",0.77,,,,,,,,,
,,2016 - 2017,"7,972.00","20,979.00",2.63,,,,,,,,,
,,2017 - 2018,"3,838.00","9,434.00",2.46,,,,,,,,,
,,2018 - 2019,"8,302.00","24,141.00",2.91,,,,,,,,,
,,2019 - 2020,"6,022.00","15,555.00",2.58,,,,,,,,,
,,2020 - 2021,"4,980.00","9,178.00",1.84,,,,,,,,,
,,2021 - 2022,"5,870.00","13,061.00",2.23,,,,,,,,,
,,2022 - 2023,"5,870.00","17,845.00",3.04,,,,,,,,,
,52. Mainpuri,2000 - 2001,"3,982.00","10,957.00",2.75,,,,,,,,,
,,2001 - 2002,"4,146.00","11,478.00",2.77,,,,,,,,,
,,2002 - 2003,"4,476.00","13,825.00",3.09,,,,,,,,,
,,2003 - 2004,"4,306.00","11,847.00",2.75,,,,,,,,,
,,2004 - 2005,"3,514.00","9,441.00",2.69,,,,,,,,,
,,2005 - 2006,"2,836.00","8,524.00",3.01,,,,,,,,,
,,2006 - 2007,"3,541.00","8,539.00",2.41,,,,,,,,,
,,2007 - 2008,"3,149.00","8,356.00",2.65,,,,,,,,,
,,2008 - 2009,"2,551.00","7,532.00",2.95,,,,,,,,,
,,2009 - 2010,"2,024.00","6,067.00",3,,,,,,,,,
,,2010 - 2011,"1,376.00","4,588.00",3.33,,,,,,,,,
,,2011 - 2012,"1,854.00","6,135.00",3.31,,,,,,,,,
,,2012 - 2013,"2,526.00","8,221.00",3.25,,,,,,,,,
,,2013 - 2014,"2,894.00","9,795.00",3.38,,,,,,,,,
,,2014 - 2015,"2,081.00","3,837.00",1.84,,,,,,,,,
,,2015 - 2016,"2,685.00","7,296.00",2.72,,,,,,,,,
,,2016 - 2017,"2,124.00","7,267.00",3.42,,,,,,,,,
,,2017 - 2018,"2,781.00","12,453.00",4.48,,,,,,,,,
,,2018 - 2019,"2,669.00","9,283.00",3.48,,,,,,,,,
,,2019 - 2020,"3,100.00","10,704.00",3.45,,,,,,,,,
,,2020 - 2021,"2,889.00","10,708.00",3.71,,,,,,,,,
,,2021 - 2022,"3,394.00","11,105.00",3.27,,,,,,,,,
,,2022 - 2023,"3,394.00","11,825.00",3.48,,,,,,,,,
,53. Mathura,2000 - 2001,"14,635.00","47,484.00",3.24,,,,,,,,,
,,2001 - 2002,"11,979.00","35,960.00",3,,,,,,,,,
,,2002 - 2003,"10,610.00","31,374.00",2.96,,,,,,,,,
,,2003 - 2004,"10,061.00","25,253.00",2.51,,,,,,,,,
,,2004 - 2005,"8,989.00","24,151.00",2.69,,,,,,,,,
,,2005 - 2006,"10,061.00","31,096.00",3.09,,,,,,,,,
,,2006 - 2007,"8,989.00","22,464.00",2.5,,,,,,,,,
,,2007 - 2008,"10,998.00","29,185.00",2.65,,,,,,,,,
,,2008 - 2009,"5,613.00","16,573.00",2.95,,,,,,,,,
,,2009 - 2010,"8,202.00","24,584.00",3,,,,,,,,,
,,2010 - 2011,"6,772.00","22,577.00",3.33,,,,,,,,,
,,2011 - 2012,"5,040.00","16,678.00",3.31,,,,,,,,,
,,2012 - 2013,"4,416.00","14,372.00",3.25,,,,,,,,,
,,2013 - 2014,"3,872.00","13,106.00",3.38,,,,,,,,,
,,2014 - 2015,"4,706.00","8,677.00",1.84,,,,,,,,,
,,2015 - 2016,"3,864.00","10,500.00",2.72,,,,,,,,,
,,2016 - 2017,"4,105.00","14,044.00",3.42,,,,,,,,,
,,2017 - 2018,"3,865.00","12,499.00",3.23,,,,,,,,,
,,2018 - 2019,"4,687.00","16,301.00",3.48,,,,,,,,,
,,2019 - 2020,"8,007.00","26,183.00",3.27,,,,,,,,,
,,2020 - 2021,"4,456.00","16,269.00",3.65,,,,,,,,,
,,2021 - 2022,"5,119.00","18,510.00",3.62,,,,,,,,,
,,2022 - 2023,"5,119.00","17,891.00",3.5,,,,,,,,,
,54. Mau,2000 - 2001,"2,753.00","4,939.00",1.79,,,,,,,,,
,,2001 - 2002,"2,428.00","3,818.00",1.57,,,,,,,,,
,,2002 - 2003,"2,414.00","3,249.00",1.35,,,,,,,,,
,,2003 - 2004,"2,539.00","4,211.00",1.66,,,,,,,,,
,,2004 - 2005,"2,424.00","3,637.00",1.5,,,,,,,,,
,,2005 - 2006,"2,489.00","4,165.00",1.67,,,,,,,,,
,,2006 - 2007,652,"1,145.00",1.76,,,,,,,,,
,,2007 - 2008,641,"1,363.00",2.13,,,,,,,,,
,,2008 - 2009,"2,315.00","5,440.00",2.35,,,,,,,,,
,,2009 - 2010,"2,413.00","5,423.00",2.25,,,,,,,,,
,,2010 - 2011,"2,201.00","5,752.00",2.61,,,,,,,,,
,,2011 - 2012,"2,396.00","5,694.00",2.38,,,,,,,,,
,,2012 - 2013,"2,242.00","5,854.00",2.61,,,,,,,,,
,,2013 - 2014,"2,124.00","5,326.00",2.51,,,,,,,,,
,,2014 - 2015,"2,425.00","3,253.00",1.34,,,,,,,,,
,,2015 - 2016,"2,438.00","5,995.00",2.46,,,,,,,,,
,,2016 - 2017,"2,070.00","4,222.00",2.04,,,,,,,,,
,,2017 - 2018,"2,195.00","5,569.00",2.54,,,,,,,,,
,,2018 - 2019,"1,528.00","4,322.00",2.83,,,,,,,,,
,,2019 - 2020,"2,338.00","7,477.00",3.2,,,,,,,,,
,,2020 - 2021,"2,165.00","7,497.00",3.46,,,,,,,,,
,,2021 - 2022,"2,726.00","6,638.00",2.44,,,,,,,,,
,,2022 - 2023,"2,726.00","7,720.00",2.83,,,,,,,,,
,55. Meerut,2000 - 2001,309,"1,000.00",3.24,,,,,,,,,
,,2001 - 2002,354,"1,133.00",3.2,,,,,,,,,
,,2002 - 2003,296,863,2.92,,,,,,,,,
,,2003 - 2004,338,854,2.53,,,,,,,,,
,,2004 - 2005,223,621,2.78,,,,,,,,,
,,2005 - 2006,278,785,2.82,,,,,,,,,
,,2006 - 2007,222,816,3.68,,,,,,,,,
,,2007 - 2008,144,434,3.01,,,,,,,,,
,,2008 - 2009,103,370,3.59,,,,,,,,,
,,2009 - 2010,202,703,3.48,,,,,,,,,
,,2010 - 2011,150,508,3.39,,,,,,,,,
,,2011 - 2012,105,404,3.85,,,,,,,,,
,,2012 - 2013,235,626,2.66,,,,,,,,,
,,2013 - 2014,77,277,3.6,,,,,,,,,
,,2014 - 2015,91,273,3,,,,,,,,,
,,2015 - 2016,61,213,3.49,,,,,,,,,
,,2016 - 2017,62,216,3.48,,,,,,,,,
,,2017 - 2018,99,392,3.96,,,,,,,,,
,,2018 - 2019,133,560,4.21,,,,,,,,,
,,2019 - 2020,85,340,4,,,,,,,,,
,,2020 - 2021,104,409,3.93,,,,,,,,,
,,2021 - 2022,134,538,4.01,,,,,,,,,
,,2022 - 2023,134,436,3.25,,,,,,,,,
,56. Mirzapur,2000 - 2001,"6,085.00","7,577.00",1.25,,,,,,,,,
,,2001 - 2002,"5,313.00","7,171.00",1.35,,,,,,,,,
,,2002 - 2003,"5,206.00","5,315.00",1.02,,,,,,,,,
,,2003 - 2004,"5,867.00","6,821.00",1.16,,,,,,,,,
,,2004 - 2005,"5,324.00","3,741.00",0.7,,,,,,,,,
,,2005 - 2006,"13,319.00","9,100.00",0.68,,,,,,,,,
,,2006 - 2007,"3,317.00","3,484.00",1.05,,,,,,,,,
,,2007 - 2008,815,575,0.71,,,,,,,,,
,,2008 - 2009,"5,157.00","5,499.00",1.07,,,,,,,,,
,,2009 - 2010,"5,020.00","4,256.00",0.85,,,,,,,,,
,,2010 - 2011,"4,701.00","6,440.00",1.37,,,,,,,,,
,,2011 - 2012,"3,980.00","8,274.00",2.08,,,,,,,,,
,,2012 - 2013,"3,590.00","5,381.00",1.5,,,,,,,,,
,,2013 - 2014,"4,737.00","10,065.00",2.12,,,,,,,,,
,,2014 - 2015,"3,697.00","5,754.00",1.56,,,,,,,,,
,,2015 - 2016,"3,769.00","3,562.00",0.95,,,,,,,,,
,,2016 - 2017,"4,489.00","7,204.00",1.6,,,,,,,,,
,,2017 - 2018,"4,004.00","4,546.00",1.14,,,,,,,,,
,,2018 - 2019,"4,213.00","8,542.00",2.03,,,,,,,,,
,,2019 - 2020,"4,278.00","11,748.00",2.75,,,,,,,,,
,,2020 - 2021,"4,905.00","13,232.00",2.7,,,,,,,,,
,,2021 - 2022,"5,568.00","14,321.00",2.57,,,,,,,,,
,,2022 - 2023,"5,568.00","17,083.00",3.07,,,,,,,,,
,57. Moradabad,2000 - 2001,334,761,2.28,,,,,,,,,
,,2001 - 2002,318,786,2.47,,,,,,,,,
,,2002 - 2003,304,745,2.45,,,,,,,,,
,,2003 - 2004,314,743,2.37,,,,,,,,,
,,2004 - 2005,243,513,2.11,,,,,,,,,
,,2005 - 2006,152,309,2.03,,,,,,,,,
,,2006 - 2007,214,462,2.16,,,,,,,,,
,,2007 - 2008,161,356,2.21,,,,,,,,,
,,2008 - 2009,157,365,2.32,,,,,,,,,
,,2009 - 2010,94,216,2.3,,,,,,,,,
,,2010 - 2011,110,289,2.63,,,,,,,,,
,,2011 - 2012,142,386,2.72,,,,,,,,,
,,2012 - 2013,18,48,2.67,,,,,,,,,
,,2013 - 2014,25,72,2.88,,,,,,,,,
,,2014 - 2015,7,12,1.71,,,,,,,,,
,,2015 - 2016,11,24,2.18,,,,,,,,,
,,2016 - 2017,7,19,2.71,,,,,,,,,
,,2017 - 2018,5,14,2.8,,,,,,,,,
,,2018 - 2019,7,21,3,,,,,,,,,
,,2019 - 2020,1,3,3,,,,,,,,,
,,2020 - 2021,6,19,3.17,,,,,,,,,
,,2021 - 2022,7,21,3,,,,,,,,,
,,2022 - 2023,7,21,3,,,,,,,,,
,58. Muzaffarnagar,2000 - 2001,"1,332.00","3,036.00",2.28,,,,,,,,,
,,2001 - 2002,708,"1,749.00",2.47,,,,,,,,,
,,2002 - 2003,739,"1,810.00",2.45,,,,,,,,,
,,2003 - 2004,640,"1,517.00",2.37,,,,,,,,,
,,2004 - 2005,508,"1,074.00",2.11,,,,,,,,,
,,2005 - 2006,664,"1,352.00",2.04,,,,,,,,,
,,2006 - 2007,451,974,2.16,,,,,,,,,
,,2007 - 2008,415,918,2.21,,,,,,,,,
,,2008 - 2009,375,872,2.33,,,,,,,,,
,,2009 - 2010,385,883,2.29,,,,,,,,,
,,2010 - 2011,314,824,2.62,,,,,,,,,
,,2011 - 2012,357,970,2.72,,,,,,,,,
,,2012 - 2013,141,376,2.67,,,,,,,,,
,,2013 - 2014,172,494,2.87,,,,,,,,,
,,2014 - 2015,144,247,1.72,,,,,,,,,
,,2015 - 2016,258,562,2.18,,,,,,,,,
,,2016 - 2017,161,450,2.8,,,,,,,,,
,,2017 - 2018,128,364,2.84,,,,,,,,,
,,2018 - 2019,86,264,3.07,,,,,,,,,
,,2019 - 2020,159,521,3.28,,,,,,,,,
,,2020 - 2021,177,555,3.14,,,,,,,,,
,,2021 - 2022,205,622,3.03,,,,,,,,,
,,2022 - 2023,205,629,3.07,,,,,,,,,
,59. Pilibhit,2000 - 2001,41,93,2.27,,,,,,,,,
,,2001 - 2002,31,77,2.48,,,,,,,,,
,,2002 - 2003,34,61,1.79,,,,,,,,,
,,2003 - 2004,26,67,2.58,,,,,,,,,
,,2004 - 2005,14,30,2.14,,,,,,,,,
,,2005 - 2006,30,61,2.03,,,,,,,,,
,,2006 - 2007,13,28,2.15,,,,,,,,,
,,2007 - 2008,21,46,2.19,,,,,,,,,
,,2008 - 2009,17,46,2.71,,,,,,,,,
,,2009 - 2010,5,11,2.2,,,,,,,,,
,,2010 - 2011,5,13,2.6,,,,,,,,,
,,2011 - 2012,5,15,3,,,,,,,,,
,,2012 - 2013,5,14,2.8,,,,,,,,,
,,2013 - 2014,2,6,3,,,,,,,,,
,,2014 - 2015,398,683,1.72,,,,,,,,,
,,2015 - 2016,3,7,2.33,,,,,,,,,
,,2016 - 2017,4,10,2.5,,,,,,,,,
,,2017 - 2018,2,6,3,,,,,,,,,
,,2018 - 2019,5,15,3,,,,,,,,,
,,2020 - 2021,2,6,3,,,,,,,,,
,,2021 - 2022,2,6,3,,,,,,,,,
,,2022 - 2023,2,6,3,,,,,,,,,
,60. Pratapgarh,2000 - 2001,"2,955.00","3,929.00",1.33,,,,,,,,,
,,2001 - 2002,"2,190.00","3,560.00",1.63,,,,,,,,,
,,2002 - 2003,"2,102.00","3,696.00",1.76,,,,,,,,,
,,2003 - 2004,"1,671.00","2,860.00",1.71,,,,,,,,,
,,2004 - 2005,"1,862.00","2,275.00",1.22,,,,,,,,,
,,2005 - 2006,"1,467.00","1,649.00",1.12,,,,,,,,,
,,2006 - 2007,"1,881.00","2,795.00",1.49,,,,,,,,,
,,2007 - 2008,827,809,0.98,,,,,,,,,
,,2008 - 2009,"1,196.00",995,0.83,,,,,,,,,
,,2009 - 2010,"1,397.00","1,874.00",1.34,,,,,,,,,
,,2010 - 2011,549,"1,009.00",1.84,,,,,,,,,
,,2011 - 2012,"1,252.00","2,402.00",1.92,,,,,,,,,
,,2012 - 2013,"1,212.00","3,340.00",2.76,,,,,,,,,
,,2013 - 2014,895,"2,999.00",3.35,,,,,,,,,
,,2014 - 2015,777,"1,131.00",1.46,,,,,,,,,
,,2015 - 2016,720,"1,489.00",2.07,,,,,,,,,
,,2016 - 2017,983,"2,487.00",2.53,,,,,,,,,
,,2017 - 2018,980,"2,713.00",2.77,,,,,,,,,
,,2018 - 2019,948,"2,880.00",3.04,,,,,,,,,
,,2019 - 2020,957,"2,312.00",2.42,,,,,,,,,
,,2020 - 2021,"1,074.00","3,261.00",3.04,,,,,,,,,
,,2021 - 2022,"1,095.00","3,086.00",2.82,,,,,,,,,
,,2022 - 2023,"1,095.00","2,251.00",2.06,,,,,,,,,
,61. Rae bareli,2000 - 2001,"4,869.00","7,115.00",1.46,,,,,,,,,
,,2001 - 2002,"4,580.00","6,862.00",1.5,,,,,,,,,
,,2002 - 2003,"3,883.00","6,744.00",1.74,,,,,,,,,
,,2003 - 2004,"3,676.00","6,848.00",1.86,,,,,,,,,
,,2004 - 2005,"3,407.00","5,431.00",1.59,,,,,,,,,
,,2005 - 2006,"3,735.00","5,867.00",1.57,,,,,,,,,
,,2006 - 2007,"3,322.00","5,518.00",1.66,,,,,,,,,
,,2007 - 2008,"1,244.00","2,324.00",1.87,,,,,,,,,
,,2008 - 2009,"3,343.00","6,325.00",1.89,,,,,,,,,
,,2009 - 2010,"3,458.00","4,794.00",1.39,,,,,,,,,
,,2010 - 2011,"1,204.00","2,355.00",1.96,,,,,,,,,
,,2011 - 2012,"2,125.00","4,916.00",2.31,,,,,,,,,
,,2012 - 2013,"1,754.00","3,541.00",2.02,,,,,,,,,
,,2013 - 2014,"1,112.00","2,794.00",2.51,,,,,,,,,
,,2014 - 2015,"2,653.00","3,602.00",1.36,,,,,,,,,
,,2015 - 2016,"1,472.00","1,291.00",0.88,,,,,,,,,
,,2016 - 2017,"3,754.00","10,279.00",2.74,,,,,,,,,
,,2017 - 2018,"1,909.00","4,351.00",2.28,,,,,,,,,
,,2018 - 2019,"2,030.00","5,679.00",2.8,,,,,,,,,
,,2019 - 2020,"2,168.00","5,791.00",2.67,,,,,,,,,
,,2020 - 2021,"1,944.00","5,217.00",2.68,,,,,,,,,
,,2021 - 2022,"2,699.00","7,328.00",2.72,,,,,,,,,
,,2022 - 2023,"2,699.00","8,232.00",3.05,,,,,,,,,
,62. Rampur,2000 - 2001,53,121,2.28,,,,,,,,,
,,2001 - 2002,54,133,2.46,,,,,,,,,
,,2002 - 2003,24,59,2.46,,,,,,,,,
,,2003 - 2004,37,87,2.35,,,,,,,,,
,,2004 - 2005,28,59,2.11,,,,,,,,,
,,2005 - 2006,73,149,2.04,,,,,,,,,
,,2006 - 2007,41,88,2.15,,,,,,,,,
,,2007 - 2008,"3,251.00","7,192.00",2.21,,,,,,,,,
,,2008 - 2009,7,16,2.29,,,,,,,,,
,,2009 - 2010,29,66,2.28,,,,,,,,,
,,2010 - 2011,1,3,3,,,,,,,,,
,,2011 - 2012,255,693,2.72,,,,,,,,,
,,2016 - 2017,1,3,3,,,,,,,,,
,,2017 - 2018,9,26,2.89,,,,,,,,,
,63. Saharanpur,2000 - 2001,127,289,2.28,,,,,,,,,
,,2001 - 2002,121,299,2.47,,,,,,,,,
,,2002 - 2003,88,216,2.45,,,,,,,,,
,,2003 - 2004,86,204,2.37,,,,,,,,,
,,2004 - 2005,82,173,2.11,,,,,,,,,
,,2005 - 2006,75,153,2.04,,,,,,,,,
,,2006 - 2007,44,95,2.16,,,,,,,,,
,,2007 - 2008,123,272,2.21,,,,,,,,,
,,2008 - 2009,267,621,2.33,,,,,,,,,
,,2009 - 2010,100,229,2.29,,,,,,,,,
,,2010 - 2011,45,118,2.62,,,,,,,,,
,,2011 - 2012,46,125,2.72,,,,,,,,,
