State,District,Year,Arhar/Tur,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2013 - 2014,,,,"1,673.00","3,389.00",2.03,,,,,,
,,2014 - 2015,,,,"1,415.00","2,389.00",1.69,,,,,,
,,2015 - 2016,,,,"1,512.00","4,548.00",3.01,,,,,,
,,2016 - 2017,,,,"1,436.00","3,765.00",2.62,,,,,,
,,2017 - 2018,,,,"1,370.00","2,651.00",1.94,,,,,,
,,2018 - 2019,,,,"1,357.00","3,542.00",2.61,,,,,,
,,2019 - 2020,,,,"1,365.00","3,978.00",2.91,,,,,,
,,2020 - 2021,,,,"1,356.00","2,362.00",1.74,,,,,,
,,2021 - 2022,,,,"1,356.00","2,096.00",1.55,,,,,,
,,2022 - 2023,,,,"1,380.00","2,211.00",1.6,,,,,,
,28. Purnia,2000 - 2001,,,,182,318,1.75,,,,,,
,,2001 - 2002,,,,156,187,1.2,,,,,,
,,2002 - 2003,,,,157,322,2.05,,,,,,
,,2003 - 2004,,,,7,8,1.14,,,,,,
,,2004 - 2005,,,,9,11,1.22,,,,,,
,,2005 - 2006,,,,80,86,1.08,,,,,,
,,2006 - 2007,,,,64,79,1.23,,,,,,
,,2007 - 2008,,,,118,125,1.06,,,,,,
,,2008 - 2009,,,,149,171,1.15,,,,,,
,,2009 - 2010,,,,104,140,1.35,,,,,,
,,2010 - 2011,,,,146,83,0.57,,,,,,
,,2011 - 2012,,,,140,266,1.9,,,,,,
,,2012 - 2013,,,,118,117,0.99,,,,,,
,,2013 - 2014,,,,108,180,1.67,,,,,,
,,2014 - 2015,,,,118,170,1.44,,,,,,
,,2015 - 2016,,,,110,173,1.57,,,,,,
,,2016 - 2017,,,,112,177,1.58,,,,,,
,,2017 - 2018,,,,105,163,1.55,,,,,,
,29. Rohtas,2000 - 2001,,,,"1,306.00","1,618.00",1.24,,,,,,
,,2001 - 2002,,,,"1,580.00","1,537.00",0.97,,,,,,
,,2002 - 2003,,,,"1,320.00","1,725.00",1.31,,,,,,
,,2003 - 2004,,,,"1,211.00","1,376.00",1.14,,,,,,
,,2004 - 2005,,,,"1,022.00",923,0.9,,,,,,
,,2005 - 2006,,,,"1,508.00","1,244.00",0.82,,,,,,
,,2006 - 2007,,,,"1,521.00","2,247.00",1.48,,,,,,
,,2007 - 2008,,,,848,"1,141.00",1.35,,,,,,
,,2008 - 2009,,,,778,762,0.98,,,,,,
,,2009 - 2010,,,,480,"1,066.00",2.22,,,,,,
,,2010 - 2011,,,,496,725,1.46,,,,,,
,,2011 - 2012,,,,"1,078.00","2,608.00",2.42,,,,,,
,,2012 - 2013,,,,"1,078.00","2,856.00",2.65,,,,,,
,,2013 - 2014,,,,"1,116.00","1,710.00",1.53,,,,,,
,,2014 - 2015,,,,838,"1,053.00",1.26,,,,,,
,,2015 - 2016,,,,842,"2,058.00",2.44,,,,,,
,,2016 - 2017,,,,932,"1,257.00",1.35,,,,,,
,,2017 - 2018,,,,938,"1,758.00",1.87,,,,,,
,,2018 - 2019,,,,940,"1,888.00",2.01,,,,,,
,,2019 - 2020,,,,941,"1,722.00",1.83,,,,,,
,,2020 - 2021,,,,501,856,1.71,,,,,,
,,2021 - 2022,,,,454,"1,135.00",2.5,,,,,,
,,2022 - 2023,,,,10,14,1.4,,,,,,
,30. Saharsa,2000 - 2001,,,,12,16,1.33,,,,,,
,,2001 - 2002,,,,12,15,1.25,,,,,,
,,2002 - 2003,,,,19,22,1.16,,,,,,
,,2003 - 2004,,,,2,2,1,,,,,,
,,2004 - 2005,,,,1,1,1,,,,,,
,,2007 - 2008,,,,2,3,1.5,,,,,,
,,2009 - 2010,,,,8,11,1.38,,,,,,
,,2010 - 2011,,,,63,97,1.54,,,,,,
,,2011 - 2012,,,,68,129,1.9,,,,,,
,31. Samastipur,2000 - 2001,,,,"2,396.00","3,695.00",1.54,,,,,,
,,2001 - 2002,,,,"2,484.00","3,199.00",1.29,,,,,,
,,2002 - 2003,,,,"2,111.00","2,333.00",1.11,,,,,,
,,2003 - 2004,,,,"2,034.00","1,229.00",0.6,,,,,,
,,2004 - 2005,,,,"1,985.00","2,749.00",1.38,,,,,,
,,2005 - 2006,,,,"1,909.00","2,138.00",1.12,,,,,,
,,2006 - 2007,,,,"1,821.00","1,615.00",0.89,,,,,,
,,2007 - 2008,,,,"1,807.00","1,903.00",1.05,,,,,,
,,2008 - 2009,,,,873,"1,055.00",1.21,,,,,,
,,2009 - 2010,,,,870,538,0.62,,,,,,
,,2010 - 2011,,,,592,860,1.45,,,,,,
,,2011 - 2012,,,,956,"1,672.00",1.75,,,,,,
,,2012 - 2013,,,,956,"2,037.00",2.13,,,,,,
,,2013 - 2014,,,,"1,836.00","2,756.00",1.5,,,,,,
,,2014 - 2015,,,,958,"1,092.00",1.14,,,,,,
,,2015 - 2016,,,,"1,418.00","1,638.00",1.16,,,,,,
,,2016 - 2017,,,,813,908,1.12,,,,,,
,,2017 - 2018,,,,805,882,1.1,,,,,,
,,2018 - 2019,,,,840,"1,154.00",1.37,,,,,,
,,2019 - 2020,,,,704,"1,102.00",1.57,,,,,,
,,2020 - 2021,,,,703,671,0.95,,,,,,
,,2021 - 2022,,,,746,"1,669.00",2.24,,,,,,
,,2022 - 2023,,,,751,"1,604.00",2.14,,,,,,
,32. Saran,2000 - 2001,,,,"2,664.00","3,674.00",1.38,,,,,,
,,2001 - 2002,,,,"1,881.00","2,583.00",1.37,,,,,,
,,2002 - 2003,,,,"1,841.00","2,592.00",1.41,,,,,,
,,2003 - 2004,,,,"1,832.00","2,420.00",1.32,,,,,,
,,2004 - 2005,,,,"1,596.00","1,995.00",1.25,,,,,,
,,2005 - 2006,,,,"1,473.00","1,309.00",0.89,,,,,,
,,2006 - 2007,,,,"1,479.00","1,781.00",1.2,,,,,,
,,2007 - 2008,,,,"1,176.00",954,0.81,,,,,,
,,2008 - 2009,,,,955,"1,112.00",1.16,,,,,,
,,2009 - 2010,,,,970,866,0.89,,,,,,
,,2010 - 2011,,,,731,998,1.37,,,,,,
,,2011 - 2012,,,,876,"1,031.00",1.18,,,,,,
,,2012 - 2013,,,,863,999,1.16,,,,,,
,,2013 - 2014,,,,756,"1,662.00",2.2,,,,,,
,,2014 - 2015,,,,789,963,1.22,,,,,,
,,2015 - 2016,,,,759,"1,006.00",1.33,,,,,,
,,2016 - 2017,,,,566,814,1.44,,,,,,
,,2017 - 2018,,,,429,"3,049.00",7.11,,,,,,
,,2018 - 2019,,,,464,912,1.97,,,,,,
,,2019 - 2020,,,,336,681,2.03,,,,,,
,,2020 - 2021,,,,220,576,2.62,,,,,,
,,2021 - 2022,,,,238,323,1.36,,,,,,
,,2022 - 2023,,,,240,490,2.04,,,,,,
,33. Sheikhpura,2000 - 2001,,,,94,167,1.78,,,,,,
,,2001 - 2002,,,,289,410,1.42,,,,,,
,,2002 - 2003,,,,89,101,1.13,,,,,,
,,2003 - 2004,,,,74,80,1.08,,,,,,
,,2004 - 2005,,,,122,186,1.52,,,,,,
,,2005 - 2006,,,,156,242,1.55,,,,,,
,,2006 - 2007,,,,137,127,0.93,,,,,,
,,2007 - 2008,,,,81,116,1.43,,,,,,
,,2008 - 2009,,,,115,200,1.74,,,,,,
,,2009 - 2010,,,,192,337,1.76,,,,,,
,,2010 - 2011,,,,232,388,1.67,,,,,,
,,2011 - 2012,,,,147,289,1.97,,,,,,
,,2012 - 2013,,,,181,517,2.86,,,,,,
,,2013 - 2014,,,,220,426,1.94,,,,,,
,,2014 - 2015,,,,115,217,1.89,,,,,,
,,2015 - 2016,,,,202,309,1.53,,,,,,
,,2016 - 2017,,,,179,297,1.66,,,,,,
,,2017 - 2018,,,,265,278,1.05,,,,,,
,,2018 - 2019,,,,279,534,1.91,,,,,,
,,2019 - 2020,,,,301,488,1.62,,,,,,
,,2020 - 2021,,,,257,389,1.51,,,,,,
,,2021 - 2022,,,,240,391,1.63,,,,,,
,,2022 - 2023,,,,241,299,1.24,,,,,,
,34. Sheohar,2000 - 2001,,,,296,222,0.75,,,,,,
,,2001 - 2002,,,,257,373,1.45,,,,,,
,,2002 - 2003,,,,255,156,0.61,,,,,,
,,2003 - 2004,,,,159,233,1.47,,,,,,
,,2004 - 2005,,,,156,151,0.97,,,,,,
,,2005 - 2006,,,,59,91,1.54,,,,,,
,,2006 - 2007,,,,27,42,1.56,,,,,,
,,2007 - 2008,,,,26,40,1.54,,,,,,
,,2008 - 2009,,,,26,28,1.08,,,,,,
,,2009 - 2010,,,,116,130,1.12,,,,,,
,,2010 - 2011,,,,130,228,1.75,,,,,,
,,2011 - 2012,,,,35,86,2.46,,,,,,
,,2012 - 2013,,,,204,344,1.69,,,,,,
,,2013 - 2014,,,,183,313,1.71,,,,,,
,,2014 - 2015,,,,158,230,1.46,,,,,,
,,2015 - 2016,,,,96,217,2.26,,,,,,
,,2016 - 2017,,,,49,118,2.41,,,,,,
,,2017 - 2018,,,,51,106,2.08,,,,,,
,,2018 - 2019,,,,46,114,2.48,,,,,,
,,2019 - 2020,,,,23,52,2.26,,,,,,
,,2020 - 2021,,,,22,40,1.82,,,,,,
,,2021 - 2022,,,,25,39,1.56,,,,,,
,,2022 - 2023,,,,24,39,1.63,,,,,,
,35. Sitamarhi,2000 - 2001,,,,474,553,1.17,,,,,,
,,2001 - 2002,,,,688,998,1.45,,,,,,
,,2002 - 2003,,,,682,549,0.8,,,,,,
,,2003 - 2004,,,,372,615,1.65,,,,,,
,,2004 - 2005,,,,499,378,0.76,,,,,,
,,2005 - 2006,,,,502,496,0.99,,,,,,
,,2006 - 2007,,,,555,862,1.55,,,,,,
,,2007 - 2008,,,,262,351,1.34,,,,,,
,,2008 - 2009,,,,242,265,1.1,,,,,,
,,2009 - 2010,,,,371,417,1.12,,,,,,
,,2010 - 2011,,,,379,686,1.81,,,,,,
,,2011 - 2012,,,,150,207,1.38,,,,,,
,,2012 - 2013,,,,62,82,1.32,,,,,,
,,2013 - 2014,,,,60,78,1.3,,,,,,
,,2014 - 2015,,,,57,83,1.46,,,,,,
,,2015 - 2016,,,,57,129,2.26,,,,,,
,,2016 - 2017,,,,60,145,2.42,,,,,,
,,2017 - 2018,,,,60,125,2.08,,,,,,
,,2018 - 2019,,,,60,148,2.47,,,,,,
,,2019 - 2020,,,,59,134,2.27,,,,,,
,,2020 - 2021,,,,58,106,1.83,,,,,,
,,2021 - 2022,,,,56,87,1.55,,,,,,
,,2022 - 2023,,,,55,90,1.64,,,,,,
,36. Siwan,2000 - 2001,,,,"2,753.00","3,816.00",1.39,,,,,,
,,2001 - 2002,,,,"3,136.00","3,835.00",1.22,,,,,,
,,2002 - 2003,,,,"3,422.00","5,177.00",1.51,,,,,,
,,2003 - 2004,,,,"2,970.00","7,131.00",2.4,,,,,,
,,2004 - 2005,,,,"2,261.00","2,853.00",1.26,,,,,,
,,2005 - 2006,,,,"1,997.00","2,506.00",1.25,,,,,,
,,2006 - 2007,,,,"2,256.00","1,638.00",0.73,,,,,,
,,2007 - 2008,,,,"1,661.00","1,561.00",0.94,,,,,,
,,2008 - 2009,,,,"1,660.00",873,0.53,,,,,,
,,2009 - 2010,,,,"1,640.00","1,166.00",0.71,,,,,,
,,2010 - 2011,,,,"1,183.00","2,031.00",1.72,,,,,,
,,2011 - 2012,,,,"1,343.00","2,482.00",1.85,,,,,,
,,2012 - 2013,,,,"1,191.00","3,112.00",2.61,,,,,,
,,2013 - 2014,,,,"1,152.00","1,385.00",1.2,,,,,,
,,2014 - 2015,,,,"1,114.00","1,547.00",1.39,,,,,,
,,2015 - 2016,,,,"1,110.00","1,415.00",1.27,,,,,,
,,2016 - 2017,,,,"1,096.00","1,737.00",1.58,,,,,,
,,2017 - 2018,,,,"1,103.00","1,977.00",1.79,,,,,,
,,2018 - 2019,,,,"1,103.00","1,244.00",1.13,,,,,,
,,2019 - 2020,,,,"1,103.00","1,699.00",1.54,,,,,,
,,2020 - 2021,,,,"1,103.00","2,176.00",1.97,,,,,,
,,2021 - 2022,,,,"1,103.00","1,503.00",1.36,,,,,,
,,2022 - 2023,,,,"1,103.00","2,408.00",2.18,,,,,,
,37. Supaul,2000 - 2001,,,,158,213,1.35,,,,,,
,,2001 - 2002,,,,33,42,1.27,,,,,,
,,2002 - 2003,,,,172,196,1.14,,,,,,
,,2003 - 2004,,,,62,77,1.24,,,,,,
,,2004 - 2005,,,,40,49,1.23,,,,,,
,,2005 - 2006,,,,2,3,1.5,,,,,,
,,2006 - 2007,,,,6,7,1.17,,,,,,
,,2010 - 2011,,,,27,42,1.56,,,,,,
,,2011 - 2012,,,,10,19,1.9,,,,,,
,,2012 - 2013,,,,10,21,2.1,,,,,,
,,2013 - 2014,,,,60,100,1.67,,,,,,
,,2014 - 2015,,,,61,88,1.44,,,,,,
,,2015 - 2016,,,,61,96,1.57,,,,,,
,,2016 - 2017,,,,31,49,1.58,,,,,,
,,2017 - 2018,,,,30,46,1.53,,,,,,
,,2018 - 2019,,,,40,74,1.85,,,,,,
,,2019 - 2020,,,,41,69,1.68,,,,,,
,38. Vaishali,2000 - 2001,,,,"1,543.00","1,509.00",0.98,,,,,,
,,2001 - 2002,,,,"1,366.00","1,336.00",0.98,,,,,,
,,2002 - 2003,,,,"1,522.00","1,289.00",0.85,,,,,,
,,2003 - 2004,,,,"1,809.00","1,500.00",0.83,,,,,,
,,2004 - 2005,,,,"1,145.00","1,044.00",0.91,,,,,,
,,2005 - 2006,,,,"1,144.00","2,017.00",1.76,,,,,,
,,2006 - 2007,,,,"1,174.00",404,0.34,,,,,,
,,2007 - 2008,,,,"1,108.00",957,0.86,,,,,,
,,2008 - 2009,,,,996,"1,100.00",1.1,,,,,,
,,2009 - 2010,,,,745,"1,216.00",1.63,,,,,,
,,2010 - 2011,,,,713,"1,768.00",2.48,,,,,,
,,2011 - 2012,,,,738,"1,799.00",2.44,,,,,,
,,2012 - 2013,,,,728,"1,489.00",2.05,,,,,,
,,2013 - 2014,,,,646,"1,205.00",1.87,,,,,,
,,2014 - 2015,,,,591,"1,200.00",2.03,,,,,,
,,2015 - 2016,,,,596,930,1.56,,,,,,
,,2016 - 2017,,,,611,"1,477.00",2.42,,,,,,
,,2017 - 2018,,,,579,"1,789.00",3.09,,,,,,
,,2018 - 2019,,,,568,"1,781.00",3.14,,,,,,
,,2019 - 2020,,,,541,948,1.75,,,,,,
,,2020 - 2021,,,,507,"1,000.00",1.97,,,,,,
,,2021 - 2022,,,,519,995,1.92,,,,,,
,,2022 - 2023,,,,330,578,1.75,,,,,,
6. Chandigarh,1. Chandigarh,2000 - 2001,,,,20,,0,,,,,,
7. Chhattisgarh,1. Balod,2011 - 2012,,,,607,290,0.48,,,,,,
,,2012 - 2013,,,,571,304,0.53,,,,,,
,,2013 - 2014,,,,547,264,0.48,,,,,,
,,2014 - 2015,,,,519,300,0.58,,,,,,
,,2015 - 2016,,,,489,192,0.39,,,,,,
,,2016 - 2017,,,,462,269,0.58,,,,,,
,,2017 - 2018,,,,460,166,0.36,,,,,,
,,2018 - 2019,,,,356,145,0.41,,,,,,
,,2019 - 2020,,,,116,72,0.62,,,,,,
,,2020 - 2021,,,,221,114,0.52,,,,,,
,,2021 - 2022,,,,358,190,0.53,,,,,,
,,2022 - 2023,,,,203,147,0.72,,,,,,
,2. Baloda bazar,2011 - 2012,,,,"1,492.00",474,0.32,,,,,,
,,2012 - 2013,,,,"1,430.00",600,0.42,,,,,,
,,2013 - 2014,,,,"1,486.00",560,0.38,,,,,,
,,2014 - 2015,,,,"1,292.00",613,0.47,,,,,,
,,2015 - 2016,,,,"1,167.00",347,0.3,,,,,,
,,2016 - 2017,,,,954,315,0.33,,,,,,
,,2017 - 2018,,,,780,180,0.23,,,,,,
,,2018 - 2019,,,,592,152,0.26,,,,,,
,,2019 - 2020,,,,354,130,0.37,,,,,,
,,2020 - 2021,,,,318,99,0.31,,,,,,
,,2021 - 2022,,,,274,92,0.34,,,,,,
,,2022 - 2023,,,,220,101,0.46,,,,,,
,3. Balrampur,2011 - 2012,,,,"8,362.00","3,652.00",0.44,,,,,,
,,2012 - 2013,,,,"8,566.00","5,724.00",0.67,,,,,,
,,2013 - 2014,,,,"8,106.00","4,407.00",0.54,,,,,,
,,2014 - 2015,,,,"8,214.00","5,852.00",0.71,,,,,,
,,2015 - 2016,,,,"8,526.00","4,481.00",0.53,,,,,,
,,2016 - 2017,,,,"8,483.00","5,954.00",0.7,,,,,,
,,2017 - 2018,,,,"7,921.00","3,255.00",0.41,,,,,,
,,2018 - 2019,,,,"8,828.00","4,540.00",0.51,,,,,,
,,2019 - 2020,,,,"6,117.00","4,050.00",0.66,,,,,,
,,2020 - 2021,,,,"4,645.00","2,727.00",0.59,,,,,,
,,2021 - 2022,,,,"4,515.00","2,495.00",0.55,,,,,,
,,2022 - 2023,,,,"3,975.00","2,786.00",0.7,,,,,,
,4. Bastar,2000 - 2001,,,,975,565,0.58,,,,,,
,,2001 - 2002,,,,961,435,0.45,,,,,,
,,2002 - 2003,,,,"1,044.00",388,0.37,,,,,,
,,2003 - 2004,,,,"1,079.00",728,0.67,,,,,,
,,2004 - 2005,,,,"1,128.00",699,0.62,,,,,,
,,2005 - 2006,,,,"1,161.00",606,0.52,,,,,,
,,2006 - 2007,,,,889,446,0.5,,,,,,
,,2007 - 2008,,,,902,824,0.91,,,,,,
,,2008 - 2009,,,,885,594,0.67,,,,,,
,,2009 - 2010,,,,902,528,0.59,,,,,,
,,2010 - 2011,,,,906,508,0.56,,,,,,
,,2011 - 2012,,,,526,295,0.56,,,,,,
,,2012 - 2013,,,,502,343,0.68,,,,,,
,,2013 - 2014,,,,496,330,0.67,,,,,,
,,2014 - 2015,,,,433,314,0.73,,,,,,
,,2015 - 2016,,,,402,230,0.57,,,,,,
,,2016 - 2017,,,,395,231,0.58,,,,,,
,,2017 - 2018,,,,383,194,0.51,,,,,,
,,2018 - 2019,,,,327,188,0.57,,,,,,
,,2019 - 2020,,,,178,118,0.66,,,,,,
,,2020 - 2021,,,,150,75,0.5,,,,,,
,,2021 - 2022,,,,179,97,0.54,,,,,,
,,2022 - 2023,,,,157,108,0.69,,,,,,
,5. Bemetara,2011 - 2012,,,,"4,495.00","2,144.00",0.48,,,,,,
,,2012 - 2013,,,,"3,141.00","1,558.00",0.5,,,,,,
,,2013 - 2014,,,,"3,630.00","1,987.00",0.55,,,,,,
,,2014 - 2015,,,,"2,525.00","1,489.00",0.59,,,,,,
,,2015 - 2016,,,,"4,699.00","1,917.00",0.41,,,,,,
,,2016 - 2017,,,,"3,819.00","2,404.00",0.63,,,,,,
,,2017 - 2018,,,,"4,175.00","1,750.00",0.42,,,,,,
,,2018 - 2019,,,,"3,398.00","1,641.00",0.48,,,,,,
,,2019 - 2020,,,,"2,351.00","1,299.00",0.55,,,,,,
,,2020 - 2021,,,,"3,727.00","1,473.00",0.4,,,,,,
,,2021 - 2022,,,,"5,079.00","2,699.00",0.53,,,,,,
,,2022 - 2023,,,,"2,842.00","1,906.00",0.67,,,,,,
,6. Bijapur,2006 - 2007,,,,11,,0,,,,,,
,,2007 - 2008,,,,11,7,0.64,,,,,,
,,2008 - 2009,,,,7,4,0.57,,,,,,
,,2009 - 2010,,,,7,3,0.43,,,,,,
,,2010 - 2011,,,,7,3,0.43,,,,,,
,,2011 - 2012,,,,7,4,0.57,,,,,,
,,2012 - 2013,,,,12,7,0.58,,,,,,
,,2013 - 2014,,,,10,10,1,,,,,,
,,2014 - 2015,,,,7,4,0.57,,,,,,
,,2015 - 2016,,,,4,2,0.5,,,,,,
,,2016 - 2017,,,,5,3,0.6,,,,,,
,,2017 - 2018,,,,3,1,0.33,,,,,,
,,2018 - 2019,,,,4,6,1.5,,,,,,
,,2019 - 2020,,,,6,4,0.67,,,,,,
,,2020 - 2021,,,,2,2,1,,,,,,
,,2021 - 2022,,,,3,4,1.33,,,,,,
,,2022 - 2023,,,,4,5,1.25,,,,,,
,7. Bilaspur,2000 - 2001,,,,"3,295.00","1,480.00",0.45,,,,,,
,,2001 - 2002,,,,"4,180.00","1,665.00",0.4,,,,,,
,,2002 - 2003,,,,"4,351.00","2,007.00",0.46,,,,,,
,,2003 - 2004,,,,"4,263.00","2,687.00",0.63,,,,,,
,,2004 - 2005,,,,"3,867.00","2,088.00",0.54,,,,,,
,,2005 - 2006,,,,"4,262.00","2,045.00",0.48,,,,,,
,,2006 - 2007,,,,"3,856.00","1,724.00",0.45,,,,,,
,,2007 - 2008,,,,"3,918.00","2,312.00",0.59,,,,,,
,,2008 - 2009,,,,"3,751.00","2,203.00",0.59,,,,,,
,,2009 - 2010,,,,"6,152.00","3,928.00",0.64,,,,,,
,,2010 - 2011,,,,"4,547.00","2,112.00",0.46,,,,,,
,,2011 - 2012,,,,"2,444.00","1,264.00",0.52,,,,,,
,,2012 - 2013,,,,"2,308.00","1,474.00",0.64,,,,,,
,,2013 - 2014,,,,"2,188.00","1,406.00",0.64,,,,,,
,,2014 - 2015,,,,"2,236.00","1,428.00",0.64,,,,,,
,,2015 - 2016,,,,"1,831.00","1,012.00",0.55,,,,,,
,,2016 - 2017,,,,"1,997.00","1,047.00",0.52,,,,,,
,,2017 - 2018,,,,"1,527.00",640,0.42,,,,,,
,,2018 - 2019,,,,"1,383.00",667,0.48,,,,,,
,,2019 - 2020,,,,159,87,0.55,,,,,,
,,2020 - 2021,,,,136,73,0.54,,,,,,
,,2021 - 2022,,,,160,91,0.57,,,,,,
,,2022 - 2023,,,,143,95,0.66,,,,,,
,8. Dantewada,2000 - 2001,,,,968,492,0.51,,,,,,
,,2001 - 2002,,,,994,422,0.42,,,,,,
,,2002 - 2003,,,,"1,016.00",395,0.39,,,,,,
,,2003 - 2004,,,,"1,078.00",705,0.65,,,,,,
,,2004 - 2005,,,,"1,073.00",437,0.41,,,,,,
,,2005 - 2006,,,,"1,034.00",434,0.42,,,,,,
,,2006 - 2007,,,,732,315,0.43,,,,,,
,,2007 - 2008,,,,808,501,0.62,,,,,,
,,2008 - 2009,,,,779,432,0.55,,,,,,
,,2009 - 2010,,,,794,372,0.47,,,,,,
,,2010 - 2011,,,,777,280,0.36,,,,,,
,,2011 - 2012,,,,400,142,0.36,,,,,,
,,2012 - 2013,,,,374,235,0.63,,,,,,
,,2013 - 2014,,,,401,246,0.61,,,,,,
,,2014 - 2015,,,,392,272,0.69,,,,,,
,,2015 - 2016,,,,364,431,1.18,,,,,,
,,2016 - 2017,,,,317,349,1.1,,,,,,
,,2017 - 2018,,,,280,66,0.24,,,,,,
,,2018 - 2019,,,,300,163,0.54,,,,,,
,,2019 - 2020,,,,117,86,0.74,,,,,,
,,2020 - 2021,,,,112,70,0.63,,,,,,
,,2021 - 2022,,,,111,64,0.58,,,,,,
,,2022 - 2023,,,,99,74,0.75,,,,,,
,9. Dhamtari,2000 - 2001,,,,176,51,0.29,,,,,,
,,2001 - 2002,,,,422,115,0.27,,,,,,
,,2002 - 2003,,,,603,164,0.27,,,,,,
,,2003 - 2004,,,,476,192,0.4,,,,,,
,,2004 - 2005,,,,391,146,0.37,,,,,,
,,2005 - 2006,,,,246,78,0.32,,,,,,
,,2006 - 2007,,,,140,40,0.29,,,,,,
,,2007 - 2008,,,,81,28,0.35,,,,,,
,,2008 - 2009,,,,56,22,0.39,,,,,,
,,2009 - 2010,,,,108,46,0.43,,,,,,
,,2010 - 2011,,,,63,20,0.32,,,,,,
,,2011 - 2012,,,,357,128,0.36,,,,,,
,,2012 - 2013,,,,167,69,0.41,,,,,,
,,2013 - 2014,,,,119,48,0.4,,,,,,
,,2014 - 2015,,,,115,50,0.43,,,,,,
,,2015 - 2016,,,,147,51,0.35,,,,,,
,,2016 - 2017,,,,176,75,0.43,,,,,,
,,2017 - 2018,,,,217,62,0.29,,,,,,
,,2018 - 2019,,,,242,80,0.33,,,,,,
,,2019 - 2020,,,,58,27,0.47,,,,,,
,,2020 - 2021,,,,30,15,0.5,,,,,,
,,2021 - 2022,,,,35,20,0.57,,,,,,
,,2022 - 2023,,,,35,22,0.63,,,,,,
,10. Durg,2000 - 2001,,,,"6,191.00","1,937.00",0.31,,,,,,
,,2001 - 2002,,,,"4,974.00","1,959.00",0.39,,,,,,
,,2002 - 2003,,,,"6,516.00","2,518.00",0.39,,,,,,
,,2003 - 2004,,,,"4,173.00","2,510.00",0.6,,,,,,
,,2004 - 2005,,,,"4,973.00","2,299.00",0.46,,,,,,
,,2005 - 2006,,,,"4,670.00","2,104.00",0.45,,,,,,
,,2006 - 2007,,,,"6,917.00","2,855.00",0.41,,,,,,
,,2007 - 2008,,,,"4,429.00","2,224.00",0.5,,,,,,
,,2008 - 2009,,,,"4,842.00","2,755.00",0.57,,,,,,
,,2009 - 2010,,,,"5,656.00","2,796.00",0.49,,,,,,
,,2010 - 2011,,,,"6,407.00","2,792.00",0.44,,,,,,
,,2011 - 2012,,,,"1,400.00",668,0.48,,,,,,
,,2012 - 2013,,,,"1,147.00",655,0.57,,,,,,
,,2013 - 2014,,,,"1,081.00",649,0.6,,,,,,
,,2014 - 2015,,,,"1,321.00",845,0.64,,,,,,
,,2015 - 2016,,,,"1,162.00",637,0.55,,,,,,
,,2016 - 2017,,,,"1,150.00",779,0.68,,,,,,
,,2017 - 2018,,,,"1,344.00",433,0.32,,,,,,
,,2018 - 2019,,,,"1,144.00",467,0.41,,,,,,
,,2019 - 2020,,,,640,386,0.6,,,,,,
,,2020 - 2021,,,,"1,335.00",664,0.5,,,,,,
,,2021 - 2022,,,,"1,870.00","1,092.00",0.58,,,,,,
,,2022 - 2023,,,,"1,199.00",843,0.7,,,,,,
,11. Gariyaband,2011 - 2012,,,,610,195,0.32,,,,,,
,,2012 - 2013,,,,664,235,0.35,,,,,,
,,2013 - 2014,,,,477,156,0.33,,,,,,
,,2014 - 2015,,,,333,113,0.34,,,,,,
,,2015 - 2016,,,,526,171,0.33,,,,,,
,,2016 - 2017,,,,937,470,0.5,,,,,,
,,2017 - 2018,,,,407,92,0.23,,,,,,
,,2018 - 2019,,,,313,104,0.33,,,,,,
,,2019 - 2020,,,,265,128,0.48,,,,,,
,,2020 - 2021,,,,423,156,0.37,,,,,,
,,2021 - 2022,,,,"1,093.00",400,0.37,,,,,,
,,2022 - 2023,,,,814,348,0.43,,,,,,
,12. Gaurella-pendra-marwahi,2019 - 2020,,,,330,179,0.54,,,,,,
,,2020 - 2021,,,,286,159,0.56,,,,,,
,,2021 - 2022,,,,540,322,0.6,,,,,,
,,2022 - 2023,,,,383,266,0.69,,,,,,
,13. Janjgir-champa,2000 - 2001,,,,855,435,0.51,,,,,,
,,2001 - 2002,,,,947,391,0.41,,,,,,
,,2002 - 2003,,,,"1,389.00",642,0.46,,,,,,
,,2003 - 2004,,,,"1,331.00",909,0.68,,,,,,
,,2004 - 2005,,,,"1,323.00",779,0.59,,,,,,
,,2005 - 2006,,,,"1,289.00",640,0.5,,,,,,
,,2006 - 2007,,,,"1,256.00",580,0.46,,,,,,
,,2007 - 2008,,,,"1,179.00",695,0.59,,,,,,
,,2008 - 2009,,,,"1,231.00",761,0.62,,,,,,
,,2009 - 2010,,,,"1,060.00",677,0.64,,,,,,
,,2010 - 2011,,,,"1,188.00",551,0.46,,,,,,
,,2011 - 2012,,,,"1,144.00",592,0.52,,,,,,
,,2012 - 2013,,,,"1,083.00",681,0.63,,,,,,
,,2013 - 2014,,,,"1,090.00",668,0.61,,,,,,
,,2014 - 2015,,,,"1,035.00",683,0.66,,,,,,
,,2015 - 2016,,,,957,504,0.53,,,,,,
