State,District,Year,Arhar/Tur,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2009 - 2010,120,79,0.66,"1,894.00","1,254.00",0.66,,,,,,
,,2010 - 2011,,,,"2,460.00","1,245.00",0.51,,,,,,
,,2011 - 2012,,,,"1,401.00",743,0.53,,,,,,
,,2012 - 2013,,,,"2,000.00","1,000.00",0.5,,,,,,
,,2013 - 2014,,,,"1,880.00","1,807.00",0.96,,,,,,
,,2014 - 2015,28,23,0.82,"1,065.00",889,0.83,,,,,,
,,2015 - 2016,8,6,0.75,983,701,0.71,,,,,,
,,2016 - 2017,,,,"1,346.00","1,050.00",0.78,,,,,,
,,2017 - 2018,,,,"1,003.00",716,0.71,,,,,,
,,2018 - 2019,2,1,0.5,692,197,0.28,,,,,,
,,2019 - 2020,,,,484,212,0.44,,,,,,
,,2020 - 2021,,,,408,187,0.46,,,,,,
,,2021 - 2022,,,,555,275,0.5,,,,,,
,,2022 - 2023,,,,12,4,0.33,,,,,,
,26. West godavari,2000 - 2001,256,142,0.55,436,242,0.56,,,,,,
,,2001 - 2002,10,6,0.6,182,106,0.58,,,,,,
,,2002 - 2003,82,29,0.35,245,86,0.35,,,,,,
,,2003 - 2004,119,50,0.42,577,244,0.42,,,,,,
,,2004 - 2005,7,5,0.71,326,216,0.66,,,,,,
,,2005 - 2006,,,,409,247,0.6,,,,,,
,,2006 - 2007,,,,269,129,0.48,,,,,,
,,2008 - 2009,,,,259,124,0.48,,,,,,
,,2009 - 2010,231,153,0.66,894,592,0.66,,,,,,
,,2010 - 2011,255,129,0.51,334,169,0.51,,,,,,
,,2011 - 2012,82,43,0.52,141,75,0.53,,,,,,
,,2013 - 2014,80,77,0.96,127,122,0.96,,,,,,
,,2014 - 2015,639,534,0.84,90,75,0.83,,,,,,
,,2015 - 2016,581,525,0.9,611,552,0.9,,,,,,
,,2016 - 2017,120,70,0.58,456,266,0.58,,,,,,
,,2017 - 2018,49,28,0.57,140,80,0.57,,,,,,
,,2018 - 2019,16,4,0.25,100,24,0.24,,,,,,
,,2019 - 2020,25,13,0.52,75,40,0.53,,,,,,
,,2020 - 2021,20,9,0.45,14,6,0.43,,,,,,
,,2021 - 2022,22,9,0.41,86,35,0.41,,,,,,
3. Arunachal Pradesh,1. Dibang valley,2016 - 2017,,,,52,30,0.58,,,,,,
,,2017 - 2018,,,,48,30,0.63,,,,,,
,,2018 - 2019,,,,48,30,0.63,,,,,,
,,2019 - 2020,,,,48,30,0.63,,,,,,
,,2020 - 2021,,,,48,30,0.63,,,,,,
,,2021 - 2022,,,,48,32,0.67,,,,,,
,,2022 - 2023,,,,49,33,0.67,,,,,,
,2. East kameng,2016 - 2017,,,,74,68,0.92,,,,,,
,,2017 - 2018,,,,80,76,0.95,,,,,,
,,2018 - 2019,,,,80,76,0.95,,,,,,
,,2019 - 2020,,,,56,53,0.95,,,,,,
,,2020 - 2021,,,,56,53,0.95,,,,,,
,,2021 - 2022,,,,58,55,0.95,,,,,,
,,2022 - 2023,,,,60,57,0.95,,,,,,
,3. East siang,2016 - 2017,,,,63,59,0.94,,,,,,
,,2017 - 2018,,,,68,60,0.88,,,,,,
,,2018 - 2019,,,,68,60,0.88,,,,,,
,,2019 - 2020,,,,68,60,0.88,,,,,,
,,2020 - 2021,,,,68,60,0.88,,,,,,
,,2021 - 2022,,,,70,63,0.9,,,,,,
,,2022 - 2023,,,,72,65,0.9,,,,,,
,4. Kamle,2018 - 2019,,,,40,32,0.8,,,,,,
,,2019 - 2020,,,,40,36,0.9,,,,,,
,,2020 - 2021,,,,40,36,0.9,,,,,,
,,2021 - 2022,,,,41,38,0.93,,,,,,
,,2022 - 2023,,,,42,39,0.93,,,,,,
,5. Leparada,2019 - 2020,,,,10,11,1.1,,,,,,
,,2020 - 2021,,,,10,11,1.1,,,,,,
,,2021 - 2022,,,,12,14,1.17,,,,,,
,,2022 - 2023,,,,13,15,1.15,,,,,,
,6. Lohit,2016 - 2017,,,,26,14,0.54,,,,,,
,,2017 - 2018,,,,15,14,0.93,,,,,,
,,2018 - 2019,,,,15,14,0.93,,,,,,
,,2019 - 2020,,,,16,14,0.88,,,,,,
,,2020 - 2021,,,,16,14,0.88,,,,,,
