State,District,Year,Jute,,,,,,,,
,,,Kharif,,,Rabi,,,Autumn,,
,,,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,,2013 - 2014,"4,205.00","56,853.00",13.52,,,,,,
,,2014 - 2015,"4,079.00","48,411.00",11.87,,,,,,
,,2015 - 2016,"4,259.00","48,222.00",11.32,,,,,,
,,2016 - 2017,"4,254.00","49,551.00",11.65,,,,,,
,,2017 - 2018,"3,615.00","39,271.00",10.86,,,,,,
,,2018 - 2019,"3,250.00","29,902.00",9.2,,,,,,
,,2019 - 2020,"2,918.00","23,364.00",8.01,,,,,,
,,2020 - 2021,"2,672.00","22,141.00",8.29,,,,,,
,,2021 - 2022,"2,196.00","17,816.00",8.11,,,,,,
,,2022 - 2023,"1,443.00","16,833.00",11.67,,,,,,
,23. Lakhimpur,2000 - 2001,543,"5,565.00",10.25,,,,,,
,,2001 - 2002,555,"3,810.00",6.86,,,,,,
,,2002 - 2003,557,"3,183.00",5.71,,,,,,
,,2003 - 2004,464,"2,683.00",5.78,,,,,,
,,2004 - 2005,403,"2,833.00",7.03,,,,,,
,,2005 - 2006,404,"3,304.00",8.18,,,,,,
,,2006 - 2007,395,"2,213.00",5.6,,,,,,
,,2007 - 2008,372,"2,023.00",5.44,,,,,,
,,2008 - 2009,412,"2,459.00",5.97,,,,,,
,,2009 - 2010,378,"2,476.00",6.55,,,,,,
,,2010 - 2011,360,"2,365.00",6.57,,,,,,
,,2011 - 2012,143,"1,062.00",7.43,,,,,,
,,2012 - 2013,98,839,8.56,,,,,,
,,2013 - 2014,110,"1,130.00",10.27,,,,,,
,,2014 - 2015,37,406,10.97,,,,,,
,,2015 - 2016,50,600,12,,,,,,
,,2016 - 2017,49,523,10.67,,,,,,
,,2017 - 2018,35,421,12.03,,,,,,
,,2018 - 2019,39,451,11.56,,,,,,
