State,District,Year,Gram,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2007 - 2008,"69,688.00","62,580.00",0.9,,,,,,,,,
,,2008 - 2009,"66,246.00","64,126.00",0.97,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"66,531.00","72,585.00",1.09
,,2010 - 2011,"62,168.00","47,558.00",0.76,,,,,,,,,
,,2011 - 2012,"62,474.00","81,166.00",1.3,,,,,,,,,
,,2012 - 2013,"60,777.00","83,635.00",1.38,,,,,,,,,
,,2013 - 2014,"59,922.00","43,461.00",0.73,,,,,,,,,
,,2014 - 2015,"47,000.00","23,000.00",0.49,,,,,,,,,
,,2015 - 2016,"62,000.00","77,000.00",1.24,,,,,,,,,
,,2016 - 2017,"62,000.00","1,15,000.00",1.85,,,,,,,,,
,,2017 - 2018,"72,900.00","1,52,000.00",2.09,,,,,,,,,
,,2018 - 2019,"32,568.00","60,967.00",1.87,,,,,,,,,
,,2019 - 2020,"21,712.00","44,987.00",2.07,,,,,,,,,
,,2020 - 2021,"25,509.00","48,238.00",1.89,,,,,,,,,
,,2021 - 2022,"25,886.00","50,219.00",1.94,,,,,,,,,
,,2022 - 2023,"23,500.00","41,713.00",1.78,,,,,,,,,
,24. Jhabua,2000 - 2001,"1,052.00",293,0.28,,,,,,,,,
,,2001 - 2002,"9,277.00","4,600.00",0.5,,,,,,,,,
,,2002 - 2003,"9,176.00","5,904.00",0.64,,,,,,,,,
,,2003 - 2004,"19,051.00","14,070.00",0.74,,,,,,,,,
,,2004 - 2005,"23,277.00","15,444.00",0.66,,,,,,,,,
,,2005 - 2006,"21,453.00","13,348.00",0.62,,,,,,,,,
,,2006 - 2007,"22,524.00","14,557.00",0.65,,,,,,,,,
,,2007 - 2008,"24,146.00","13,456.00",0.56,,,,,,,,,
,,2008 - 2009,"10,764.00","6,004.00",0.56,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"12,452.00","7,201.00",0.58
,,2010 - 2011,"13,730.00","7,751.00",0.56,,,,,,,,,
,,2011 - 2012,"14,554.00","8,619.00",0.59,,,,,,,,,
,,2012 - 2013,"16,722.00","11,043.00",0.66,,,,,,,,,
,,2013 - 2014,"16,628.00","14,215.00",0.85,,,,,,,,,
,,2014 - 2015,"26,000.00","39,000.00",1.5,,,,,,,,,
,,2015 - 2016,"22,000.00","20,000.00",0.91,,,,,,,,,
,,2016 - 2017,"26,000.00","40,000.00",1.54,,,,,,,,,
,,2017 - 2018,"23,500.00","32,030.00",1.36,,,,,,,,,
,,2018 - 2019,"17,355.00","13,572.00",0.78,,,,,,,,,
,,2019 - 2020,"15,177.00","18,106.00",1.19,,,,,,,,,
,,2020 - 2021,"17,093.00","29,057.00",1.7,,,,,,,,,
,,2021 - 2022,"18,586.00","21,876.00",1.18,,,,,,,,,
,,2022 - 2023,"17,500.00","22,348.00",1.28,,,,,,,,,
,25. Katni,2000 - 2001,"12,952.00","8,855.00",0.68,,,,,,,,,
,,2001 - 2002,"14,905.00","12,199.00",0.82,,,,,,,,,
,,2002 - 2003,"17,819.00","9,629.00",0.54,,,,,,,,,
,,2003 - 2004,"18,837.00","15,940.00",0.85,,,,,,,,,
,,2004 - 2005,"19,920.00","14,283.00",0.72,,,,,,,,,
,,2005 - 2006,"20,510.00","16,237.00",0.79,,,,,,,,,
,,2006 - 2007,"19,179.00","10,921.00",0.57,,,,,,,,,
,,2007 - 2008,"18,433.00","8,630.00",0.47,,,,,,,,,
,,2008 - 2009,"28,553.00","21,329.00",0.75,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"27,822.00","18,725.00",0.67
,,2010 - 2011,"31,186.00","15,997.00",0.51,,,,,,,,,
,,2011 - 2012,"28,053.00","17,628.00",0.63,,,,,,,,,
,,2012 - 2013,"33,041.00","31,333.00",0.95,,,,,,,,,
,,2013 - 2014,"41,832.00","46,533.00",1.11,,,,,,,,,
,,2014 - 2015,"37,000.00","28,000.00",0.76,,,,,,,,,
,,2015 - 2016,"54,000.00","68,000.00",1.26,,,,,,,,,
,,2016 - 2017,"52,000.00","84,000.00",1.62,,,,,,,,,
,,2017 - 2018,"48,400.00","74,390.00",1.54,,,,,,,,,
,,2018 - 2019,"23,533.00","47,042.00",2,,,,,,,,,
,,2019 - 2020,"17,877.00","39,615.00",2.22,,,,,,,,,
,,2020 - 2021,"20,273.00","32,822.00",1.62,,,,,,,,,
,,2021 - 2022,"20,620.00","39,384.00",1.91,,,,,,,,,
,,2022 - 2023,"32,600.00","55,811.00",1.71,,,,,,,,,
,26. Khandwa,2000 - 2001,"7,628.00","4,970.00",0.65,,,,,,,,,
,,2001 - 2002,"16,795.00","14,950.00",0.89,,,,,,,,,
,,2002 - 2003,"19,184.00","17,980.00",0.94,,,,,,,,,
,,2003 - 2004,"15,550.00","12,919.00",0.83,,,,,,,,,
,,2004 - 2005,"14,721.00","11,522.00",0.78,,,,,,,,,
,,2005 - 2006,"14,129.00","12,068.00",0.85,,,,,,,,,
,,2006 - 2007,"14,268.00","14,525.00",1.02,,,,,,,,,
,,2007 - 2008,"14,013.00","11,481.00",0.82,,,,,,,,,
,,2008 - 2009,"14,682.00","13,114.00",0.89,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"16,636.00","14,878.00",0.89
,,2010 - 2011,"19,144.00","15,688.00",0.82,,,,,,,,,
,,2011 - 2012,"16,135.00","13,724.00",0.85,,,,,,,,,
,,2012 - 2013,"15,559.00","26,487.00",1.7,,,,,,,,,
,,2013 - 2014,"19,431.00","22,717.00",1.17,,,,,,,,,
,,2014 - 2015,"15,000.00","15,000.00",1,,,,,,,,,
,,2015 - 2016,"31,000.00","38,000.00",1.23,,,,,,,,,
,,2016 - 2017,"35,000.00","44,000.00",1.26,,,,,,,,,
,,2017 - 2018,"54,700.00","44,850.00",0.82,,,,,,,,,
,,2018 - 2019,"51,544.00","78,708.00",1.53,,,,,,,,,
,,2019 - 2020,"36,626.00","57,539.00",1.57,,,,,,,,,
,,2020 - 2021,"58,405.00","85,271.00",1.46,,,,,,,,,
,,2021 - 2022,"90,950.00","1,35,606.00",1.49,,,,,,,,,
,,2022 - 2023,"61,430.00","1,06,888.00",1.74,,,,,,,,,
,27. Khargone,2000 - 2001,"1,968.00",769,0.39,,,,,,,,,
,,2001 - 2002,"4,349.00","2,617.00",0.6,,,,,,,,,
,,2002 - 2003,"5,148.00","3,631.00",0.71,,,,,,,,,
,,2003 - 2004,"6,187.00","4,284.00",0.69,,,,,,,,,
,,2004 - 2005,"6,553.00","3,554.00",0.54,,,,,,,,,
,,2005 - 2006,"5,800.00","3,108.00",0.54,,,,,,,,,
,,2006 - 2007,"7,497.00","4,769.00",0.64,,,,,,,,,
,,2007 - 2008,"7,330.00","4,152.00",0.57,,,,,,,,,
,,2008 - 2009,"6,108.00","2,935.00",0.48,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"9,227.00","5,615.00",0.61
,,2010 - 2011,"8,964.00","4,808.00",0.54,,,,,,,,,
,,2011 - 2012,"7,820.00","5,273.00",0.67,,,,,,,,,
,,2012 - 2013,"12,632.00","12,630.00",1,,,,,,,,,
,,2013 - 2014,"12,483.00","10,454.00",0.84,,,,,,,,,
,,2014 - 2015,"25,000.00","28,000.00",1.12,,,,,,,,,
,,2015 - 2016,"29,000.00","35,000.00",1.21,,,,,,,,,
,,2016 - 2017,"36,000.00","1,00,000.00",2.78,,,,,,,,,
,,2017 - 2018,"1,12,080.00","1,90,540.00",1.7,,,,,,,,,
,,2018 - 2019,"83,183.00","94,662.00",1.14,,,,,,,,,
,,2019 - 2020,"58,727.00","75,347.00",1.28,,,,,,,,,
,,2020 - 2021,"94,672.00","1,50,055.00",1.58,,,,,,,,,
,,2021 - 2022,"1,14,532.00","1,44,654.00",1.26,,,,,,,,,
,,2022 - 2023,"90,540.00","1,77,458.00",1.96,,,,,,,,,
,28. Mandla,2000 - 2001,"3,157.00","1,051.00",0.33,,,,,,,,,
,,2001 - 2002,"3,969.00","2,792.00",0.7,,,,,,,,,
,,2002 - 2003,"4,488.00","3,142.00",0.7,,,,,,,,,
,,2003 - 2004,"4,777.00","3,418.00",0.72,,,,,,,,,
,,2004 - 2005,"4,806.00","3,357.00",0.7,,,,,,,,,
,,2005 - 2006,"5,348.00","3,692.00",0.69,,,,,,,,,
,,2006 - 2007,"5,099.00","3,356.00",0.66,,,,,,,,,
,,2007 - 2008,"5,521.00","3,134.00",0.57,,,,,,,,,
,,2008 - 2009,"5,217.00","3,229.00",0.62,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"5,408.00","2,991.00",0.55
,,2010 - 2011,"16,368.00","8,623.00",0.53,,,,,,,,,
,,2011 - 2012,"9,319.00","5,668.00",0.61,,,,,,,,,
,,2012 - 2013,"9,764.00","4,697.00",0.48,,,,,,,,,
,,2013 - 2014,"9,652.00","7,557.00",0.78,,,,,,,,,
,,2014 - 2015,"12,000.00","7,000.00",0.58,,,,,,,,,
,,2015 - 2016,"31,000.00","34,000.00",1.1,,,,,,,,,
,,2016 - 2017,"30,000.00","38,000.00",1.27,,,,,,,,,
,,2017 - 2018,"12,500.00","15,860.00",1.27,,,,,,,,,
,,2018 - 2019,"7,790.00","8,600.00",1.1,,,,,,,,,
,,2019 - 2020,"13,909.00","16,454.00",1.18,,,,,,,,,
,,2020 - 2021,"9,690.00","13,566.00",1.4,,,,,,,,,
,,2021 - 2022,"7,933.00","10,464.00",1.32,,,,,,,,,
,,2022 - 2023,"24,000.00","32,472.00",1.35,,,,,,,,,
,29. Mandsaur,2000 - 2001,"13,473.00","6,912.00",0.51,,,,,,,,,
,,2001 - 2002,"37,506.00","25,879.00",0.69,,,,,,,,,
,,2002 - 2003,"11,772.00","4,944.00",0.42,,,,,,,,,
,,2003 - 2004,"50,317.00","27,171.00",0.54,,,,,,,,,
,,2004 - 2005,"39,306.00","24,959.00",0.63,,,,,,,,,
,,2005 - 2006,"26,682.00","16,356.00",0.61,,,,,,,,,
,,2006 - 2007,"26,720.00","23,888.00",0.89,,,,,,,,,
,,2007 - 2008,"31,206.00","16,539.00",0.53,,,,,,,,,
,,2008 - 2009,"45,871.00","28,119.00",0.61,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"47,378.00","34,491.00",0.73
,,2010 - 2011,"42,786.00","24,901.00",0.58,,,,,,,,,
,,2011 - 2012,"37,499.00","31,020.00",0.83,,,,,,,,,
,,2012 - 2013,"25,809.00","27,578.00",1.07,,,,,,,,,
,,2013 - 2014,"24,566.00","27,157.00",1.11,,,,,,,,,
,,2014 - 2015,"62,000.00","71,000.00",1.15,,,,,,,,,
,,2015 - 2016,"54,000.00","45,000.00",0.83,,,,,,,,,
,,2016 - 2017,"55,000.00","76,000.00",1.38,,,,,,,,,
,,2017 - 2018,"65,100.00","87,750.00",1.35,,,,,,,,,
,,2018 - 2019,"45,681.00","61,213.00",1.34,,,,,,,,,
,,2019 - 2020,"30,187.00","47,605.00",1.58,,,,,,,,,
,,2020 - 2021,"1,04,995.00","1,33,973.00",1.28,,,,,,,,,
,,2021 - 2022,"32,765.00","31,192.00",0.95,,,,,,,,,
,,2022 - 2023,"32,840.00","41,904.00",1.28,,,,,,,,,
,30. Morena,2000 - 2001,"15,104.00","18,524.00",1.23,,,,,,,,,
,,2001 - 2002,"24,378.00","33,220.00",1.36,,,,,,,,,
,,2002 - 2003,"20,098.00","22,325.00",1.11,,,,,,,,,
,,2003 - 2004,"15,458.00","19,689.00",1.27,,,,,,,,,
,,2004 - 2005,"9,947.00","12,581.00",1.26,,,,,,,,,
,,2005 - 2006,"8,770.00","11,139.00",1.27,,,,,,,,,
,,2006 - 2007,"8,644.00","9,707.00",1.12,,,,,,,,,
,,2007 - 2008,"6,805.00","6,717.00",0.99,,,,,,,,,
,,2008 - 2009,"5,732.00","6,406.00",1.12,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"5,967.00","7,419.00",1.24
,,2010 - 2011,"5,697.00","5,468.00",0.96,,,,,,,,,
,,2011 - 2012,"5,271.00","5,193.00",0.99,,,,,,,,,
,,2012 - 2013,"5,074.00","7,803.00",1.54,,,,,,,,,
,,2013 - 2014,"4,359.00","5,879.00",1.35,,,,,,,,,
,,2014 - 2015,"29,000.00","30,000.00",1.03,,,,,,,,,
,,2015 - 2016,"11,000.00","13,000.00",1.18,,,,,,,,,
,,2016 - 2017,"12,000.00","23,000.00",1.92,,,,,,,,,
,,2017 - 2018,"13,400.00","28,940.00",2.16,,,,,,,,,
,,2018 - 2019,"2,987.00","4,842.00",1.62,,,,,,,,,
,,2019 - 2020,"1,476.00","3,061.00",2.07,,,,,,,,,
,,2020 - 2021,"2,197.00","4,003.00",1.82,,,,,,,,,
,,2021 - 2022,493,976,1.98,,,,,,,,,
,,2022 - 2023,"4,100.00","7,101.00",1.73,,,,,,,,,
,31. Narsinghpur,2000 - 2001,"1,25,591.00","1,44,304.00",1.15,,,,,,,,,
,,2001 - 2002,"1,38,525.00","1,70,386.00",1.23,,,,,,,,,
,,2002 - 2003,"1,46,810.00","1,09,520.00",0.75,,,,,,,,,
,,2003 - 2004,"1,48,291.00","1,52,740.00",1.03,,,,,,,,,
,,2004 - 2005,"1,40,195.00","1,40,055.00",1,,,,,,,,,
,,2005 - 2006,"1,39,117.00","1,43,847.00",1.03,,,,,,,,,
,,2006 - 2007,"1,36,802.00","1,67,446.00",1.22,,,,,,,,,
,,2007 - 2008,"1,35,293.00","1,38,675.00",1.02,,,,,,,,,
,,2008 - 2009,"1,32,598.00","1,62,565.00",1.23,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"1,28,950.00","1,62,090.00",1.26
,,2010 - 2011,"1,08,057.00","1,17,026.00",1.08,,,,,,,,,
,,2011 - 2012,"1,04,927.00","1,26,486.00",1.21,,,,,,,,,
,,2012 - 2013,"1,11,540.00","1,35,211.00",1.21,,,,,,,,,
,,2013 - 2014,"1,04,286.00","81,214.00",0.78,,,,,,,,,
,,2014 - 2015,"44,000.00","31,000.00",0.7,,,,,,,,,
,,2015 - 2016,"90,000.00","1,13,000.00",1.26,,,,,,,,,
,,2016 - 2017,"98,000.00","1,71,000.00",1.74,,,,,,,,,
,,2017 - 2018,"1,01,500.00","1,52,860.00",1.51,,,,,,,,,
,,2018 - 2019,"82,424.00","1,31,219.00",1.59,,,,,,,,,
,,2019 - 2020,"75,165.00","1,26,578.00",1.68,,,,,,,,,
,,2020 - 2021,"82,435.00","1,42,777.00",1.73,,,,,,,,,
,,2021 - 2022,"81,812.00","1,31,717.00",1.61,,,,,,,,,
,,2022 - 2023,"78,800.00","1,29,153.00",1.64,,,,,,,,,
,32. Neemuch,2000 - 2001,"13,751.00","12,828.00",0.93,,,,,,,,,
,,2001 - 2002,"14,720.00","14,996.00",1.02,,,,,,,,,
,,2002 - 2003,"6,863.00","6,455.00",0.94,,,,,,,,,
,,2003 - 2004,"35,021.00","35,717.00",1.02,,,,,,,,,
,,2004 - 2005,"25,489.00","27,275.00",1.07,,,,,,,,,
,,2005 - 2006,"27,154.00","31,561.00",1.16,,,,,,,,,
,,2006 - 2007,"21,674.00","22,172.00",1.02,,,,,,,,,
,,2007 - 2008,"17,376.00","14,816.00",0.85,,,,,,,,,
,,2008 - 2009,"20,687.00","18,899.00",0.91,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"14,451.00","12,987.00",0.9
,,2010 - 2011,"15,630.00","15,646.00",1,,,,,,,,,
,,2011 - 2012,"13,659.00","14,561.00",1.07,,,,,,,,,
,,2012 - 2013,"11,802.00","18,501.00",1.57,,,,,,,,,
,,2013 - 2014,"10,252.00","6,348.00",0.62,,,,,,,,,
,,2014 - 2015,"34,000.00","35,000.00",1.03,,,,,,,,,
,,2015 - 2016,"39,000.00","39,000.00",1,,,,,,,,,
,,2016 - 2017,"35,000.00","47,000.00",1.34,,,,,,,,,
,,2017 - 2018,"38,100.00","47,740.00",1.25,,,,,,,,,
,,2018 - 2019,"20,972.00","21,811.00",1.04,,,,,,,,,
,,2019 - 2020,"16,582.00","30,610.00",1.85,,,,,,,,,
,,2020 - 2021,"58,262.00","71,663.00",1.23,,,,,,,,,
,,2021 - 2022,"15,070.00","22,575.00",1.5,,,,,,,,,
,,2022 - 2023,"20,720.00","29,982.00",1.45,,,,,,,,,
,33. Niwari,2019 - 2020,"1,382.00","1,788.00",1.29,,,,,,,,,
,,2020 - 2021,"2,326.00","3,350.00",1.44,,,,,,,,,
,,2021 - 2022,"1,689.00","2,993.00",1.77,,,,,,,,,
,,2022 - 2023,"1,700.00","2,162.00",1.27,,,,,,,,,
,34. Panna,2000 - 2001,"69,261.00","32,653.00",0.47,,,,,,,,,
,,2001 - 2002,"81,920.00","55,374.00",0.68,,,,,,,,,
,,2002 - 2003,"91,097.00","53,258.00",0.58,,,,,,,,,
,,2003 - 2004,"88,647.00","62,010.00",0.7,,,,,,,,,
,,2004 - 2005,"91,021.00","55,719.00",0.61,,,,,,,,,
,,2005 - 2006,"97,824.00","75,813.00",0.77,,,,,,,,,
,,2006 - 2007,"89,449.00","66,098.00",0.74,,,,,,,,,
,,2007 - 2008,"92,872.00","69,038.00",0.74,,,,,,,,,
,,2008 - 2009,"94,014.00","97,965.00",1.04,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"99,368.00","1,06,544.00",1.07
,,2010 - 2011,"77,539.00","72,484.00",0.93,,,,,,,,,
,,2011 - 2012,"84,957.00","84,173.00",0.99,,,,,,,,,
,,2012 - 2013,"90,086.00","96,355.00",1.07,,,,,,,,,
,,2013 - 2014,"83,262.00","37,561.00",0.45,,,,,,,,,
,,2014 - 2015,"67,000.00","36,000.00",0.54,,,,,,,,,
,,2015 - 2016,"72,000.00","84,000.00",1.17,,,,,,,,,
,,2016 - 2017,"94,000.00","1,40,000.00",1.49,,,,,,,,,
,,2017 - 2018,"93,670.00","1,67,110.00",1.78,,,,,,,,,
,,2018 - 2019,"86,655.00","1,35,788.00",1.57,,,,,,,,,
,,2019 - 2020,"72,156.00","1,23,098.00",1.71,,,,,,,,,
,,2020 - 2021,"71,865.00","1,29,644.00",1.8,,,,,,,,,
,,2021 - 2022,"65,150.00","1,15,055.00",1.77,,,,,,,,,
,,2022 - 2023,"68,600.00","1,18,404.00",1.73,,,,,,,,,
,35. Raisen,2000 - 2001,"1,11,207.00","1,00,197.00",0.9,,,,,,,,,
,,2001 - 2002,"1,18,248.00","1,38,114.00",1.17,,,,,,,,,
,,2002 - 2003,"1,33,134.00","1,36,995.00",1.03,,,,,,,,,
,,2003 - 2004,"1,31,939.00","1,27,849.00",0.97,,,,,,,,,
,,2004 - 2005,"1,31,525.00","1,36,260.00",1.04,,,,,,,,,
,,2005 - 2006,"1,33,074.00","1,47,712.00",1.11,,,,,,,,,
,,2006 - 2007,"1,35,866.00","1,67,387.00",1.23,,,,,,,,,
,,2007 - 2008,"1,45,275.00","1,15,929.00",0.8,,,,,,,,,
,,2008 - 2009,"1,48,941.00","1,67,708.00",1.13,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"1,44,768.00","2,00,069.00",1.38
,,2010 - 2011,"1,32,529.00","1,08,939.00",0.82,,,,,,,,,
,,2011 - 2012,"1,11,263.00","1,36,334.00",1.23,,,,,,,,,
,,2012 - 2013,"1,17,209.00","1,90,912.00",1.63,,,,,,,,,
,,2013 - 2014,"1,55,702.00","98,882.00",0.64,,,,,,,,,
,,2014 - 2015,"1,15,000.00","1,30,000.00",1.13,,,,,,,,,
,,2015 - 2016,"1,20,000.00","1,52,000.00",1.27,,,,,,,,,
,,2016 - 2017,"1,20,000.00","1,79,000.00",1.49,,,,,,,,,
,,2017 - 2018,"1,67,200.00","2,79,890.00",1.67,,,,,,,,,
,,2018 - 2019,"1,44,261.00","2,50,870.00",1.74,,,,,,,,,
,,2019 - 2020,"1,10,435.00","1,79,126.00",1.62,,,,,,,,,
,,2020 - 2021,"1,14,529.00","2,18,750.00",1.91,,,,,,,,,
,,2021 - 2022,"1,02,068.00","1,60,247.00",1.57,,,,,,,,,
,,2022 - 2023,"1,13,420.00","2,31,377.00",2.04,,,,,,,,,
,36. Rajgarh,2000 - 2001,"38,968.00","29,458.00",0.76,,,,,,,,,
,,2001 - 2002,"53,252.00","46,051.00",0.86,,,,,,,,,
,,2002 - 2003,"29,475.00","26,301.00",0.89,,,,,,,,,
,,2003 - 2004,"77,851.00","88,980.00",1.14,,,,,,,,,
,,2004 - 2005,"80,300.00","88,040.00",1.1,,,,,,,,,
,,2005 - 2006,"55,397.00","51,933.00",0.94,,,,,,,,,
,,2006 - 2007,"78,785.00","91,291.00",1.16,,,,,,,,,
,,2007 - 2008,"90,014.00","64,241.00",0.71,,,,,,,,,
,,2008 - 2009,"78,627.00","73,415.00",0.93,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"1,29,782.00","1,53,673.00",1.18
,,2010 - 2011,"1,33,042.00","99,939.00",0.75,,,,,,,,,
,,2011 - 2012,"1,06,631.00","1,19,882.00",1.12,,,,,,,,,
,,2012 - 2013,"1,08,324.00","1,35,506.00",1.25,,,,,,,,,
,,2013 - 2014,"86,798.00","97,065.00",1.12,,,,,,,,,
,,2014 - 2015,"1,17,000.00","1,48,000.00",1.26,,,,,,,,,
,,2015 - 2016,"1,15,000.00","1,31,000.00",1.14,,,,,,,,,
,,2016 - 2017,"1,00,000.00","1,31,000.00",1.31,,,,,,,,,
,,2017 - 2018,"1,12,600.00","1,31,970.00",1.17,,,,,,,,,
,,2018 - 2019,"1,10,839.00","1,40,876.00",1.27,,,,,,,,,
,,2019 - 2020,"44,028.00","70,841.00",1.61,,,,,,,,,
,,2020 - 2021,"35,171.00","59,440.00",1.69,,,,,,,,,
,,2021 - 2022,"10,758.00","18,160.00",1.69,,,,,,,,,
,,2022 - 2023,"54,660.00","87,456.00",1.6,,,,,,,,,
,37. Ratlam,2000 - 2001,"8,682.00","4,749.00",0.55,,,,,,,,,
,,2001 - 2002,"36,669.00","15,328.00",0.42,,,,,,,,,
,,2002 - 2003,"8,651.00","2,838.00",0.33,,,,,,,,,
,,2003 - 2004,"53,958.00","38,256.00",0.71,,,,,,,,,
,,2004 - 2005,"54,783.00","36,212.00",0.66,,,,,,,,,
,,2005 - 2006,"38,708.00","20,747.00",0.54,,,,,,,,,
,,2006 - 2007,"50,784.00","42,049.00",0.83,,,,,,,,,
,,2007 - 2008,"55,450.00","30,830.00",0.56,,,,,,,,,
,,2008 - 2009,"63,718.00","54,479.00",0.86,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"79,014.00","61,157.00",0.77
,,2010 - 2011,"76,085.00","34,314.00",0.45,,,,,,,,,
,,2011 - 2012,"74,034.00","47,290.00",0.64,,,,,,,,,
,,2012 - 2013,"73,824.00","63,810.00",0.86,,,,,,,,,
,,2013 - 2014,"71,233.00","52,058.00",0.73,,,,,,,,,
,,2014 - 2015,"69,000.00","76,000.00",1.1,,,,,,,,,
,,2015 - 2016,"74,000.00","52,000.00",0.7,,,,,,,,,
,,2016 - 2017,"95,000.00","95,000.00",1,,,,,,,,,
,,2017 - 2018,"91,400.00","1,30,340.00",1.43,,,,,,,,,
,,2018 - 2019,"84,116.00","84,284.00",1,,,,,,,,,
,,2019 - 2020,"33,127.00","50,386.00",1.52,,,,,,,,,
,,2020 - 2021,"37,231.00","68,654.00",1.84,,,,,,,,,
,,2021 - 2022,"17,370.00","18,239.00",1.05,,,,,,,,,
,,2022 - 2023,"45,100.00","77,572.00",1.72,,,,,,,,,
,38. Rewa,2000 - 2001,"62,007.00","52,954.00",0.85,,,,,,,,,
,,2001 - 2002,"63,492.00","64,571.00",1.02,,,,,,,,,
,,2002 - 2003,"65,345.00","66,456.00",1.02,,,,,,,,,
,,2003 - 2004,"64,873.00","68,765.00",1.06,,,,,,,,,
,,2004 - 2005,"65,761.00","64,117.00",0.98,,,,,,,,,
,,2005 - 2006,"63,010.00","53,432.00",0.85,,,,,,,,,
,,2006 - 2007,"58,901.00","44,706.00",0.76,,,,,,,,,
,,2007 - 2008,"57,130.00","47,646.00",0.83,,,,,,,,,
,,2008 - 2009,"58,917.00","56,914.00",0.97,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"58,462.00","53,317.00",0.91
,,2010 - 2011,"51,543.00","40,719.00",0.79,,,,,,,,,
,,2011 - 2012,"50,136.00","65,146.00",1.3,,,,,,,,,
,,2012 - 2013,"49,110.00","70,614.00",1.44,,,,,,,,,
,,2013 - 2014,"59,876.00","30,879.00",0.52,,,,,,,,,
,,2014 - 2015,"51,000.00","39,000.00",0.76,,,,,,,,,
,,2015 - 2016,"64,000.00","64,000.00",1,,,,,,,,,
,,2016 - 2017,"65,000.00","98,000.00",1.51,,,,,,,,,
,,2017 - 2018,"54,300.00","74,660.00",1.37,,,,,,,,,
,,2018 - 2019,"27,882.00","38,143.00",1.37,,,,,,,,,
,,2019 - 2020,"21,526.00","26,326.00",1.22,,,,,,,,,
,,2020 - 2021,"13,258.00","19,807.00",1.49,,,,,,,,,
,,2021 - 2022,"9,700.00","12,726.00",1.31,,,,,,,,,
,,2022 - 2023,"45,720.00","73,381.00",1.61,,,,,,,,,
,39. Sagar,2000 - 2001,"1,35,670.00","72,583.00",0.53,,,,,,,,,
,,2001 - 2002,"1,53,246.00","1,23,516.00",0.81,,,,,,,,,
,,2002 - 2003,"2,29,035.00","63,214.00",0.28,,,,,,,,,
,,2003 - 2004,"2,15,438.00","1,76,444.00",0.82,,,,,,,,,
,,2004 - 2005,"2,07,571.00","1,74,152.00",0.84,,,,,,,,,
,,2005 - 2006,"2,01,587.00","1,66,914.00",0.83,,,,,,,,,
,,2006 - 2007,"1,98,651.00","1,66,072.00",0.84,,,,,,,,,
,,2007 - 2008,"1,90,757.00","1,16,553.00",0.61,,,,,,,,,
,,2008 - 2009,"1,94,890.00","1,68,775.00",0.87,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"1,86,252.00","1,69,117.00",0.91
,,2010 - 2011,"1,87,490.00","96,182.00",0.51,,,,,,,,,
,,2011 - 2012,"1,60,284.00","1,66,844.00",1.04,,,,,,,,,
,,2012 - 2013,"1,70,013.00","2,18,125.00",1.28,,,,,,,,,
,,2013 - 2014,"1,81,030.00","1,04,153.00",0.58,,,,,,,,,
,,2014 - 2015,"83,000.00","45,000.00",0.54,,,,,,,,,
,,2015 - 2016,"1,72,000.00","1,79,000.00",1.04,,,,,,,,,
,,2016 - 2017,"1,78,000.00","2,47,000.00",1.39,,,,,,,,,
,,2017 - 2018,"1,83,000.00","2,41,560.00",1.32,,,,,,,,,
,,2018 - 2019,"1,68,477.00","1,96,444.00",1.17,,,,,,,,,
,,2019 - 2020,"1,27,931.00","2,06,992.00",1.62,,,,,,,,,
,,2020 - 2021,"1,18,693.00","1,54,301.00",1.3,,,,,,,,,
,,2021 - 2022,"1,05,240.00","1,36,391.00",1.3,,,,,,,,,
,,2022 - 2023,"1,04,800.00","1,35,821.00",1.3,,,,,,,,,
,40. Satna,2000 - 2001,"76,265.00","35,073.00",0.46,,,,,,,,,
,,2001 - 2002,"88,772.00","52,681.00",0.59,,,,,,,,,
,,2002 - 2003,"95,350.00","61,785.00",0.65,,,,,,,,,
,,2003 - 2004,"96,920.00","67,140.00",0.69,,,,,,,,,
,,2004 - 2005,"97,597.00","65,901.00",0.68,,,,,,,,,
,,2005 - 2006,"97,550.00","61,984.00",0.64,,,,,,,,,
,,2006 - 2007,"90,187.00","43,712.00",0.48,,,,,,,,,
