State,District,Year,Coconut,,,,,
,,,Whole Year,,,Kharif,,
,,,Area (Hectare),Production (Nuts),Yield (Nuts/Hectare),Area (Hectare),Production (Nuts),Yield (Nuts/Hectare)
,,2010 - 2011,"16,023.00","21,49,56,000.00","13,415.47",,,
,,2011 - 2012,"16,077.00","21,56,49,000.00","13,413.51",,,
,,2012 - 2013,"16,163.00","21,68,03,000.00","13,413.54",,,
,,2013 - 2014,"16,296.00","21,98,77,000.00","13,492.70",,,
,,2014 - 2015,"18,407.00","28,21,27,000.00","15,327.16",,,
,,2015 - 2016,"18,467.00","26,71,78,000.00","14,467.86",,,
,,2016 - 2017,"20,392.00","26,62,81,000.00","13,058.11",,,
,,2017 - 2018,"21,772.00","31,85,94,000.00","14,633.20",,,
,,2018 - 2019,"26,691.00","29,52,63,000.00","11,062.27",,,
,,2019 - 2020,"31,986.00","35,34,26,000.00","11,049.40",,,
,,2020 - 2021,"36,862.00","2,53,795.00",6.89,,,
,,2021 - 2022,"35,841.00","25,40,38,000.00","7,087.92",,,
,,2022 - 2023,"34,893.00","41,88,65,537.00","12,004.29",,,
,13. Davangere,2000 - 2001,"12,343.00","7,22,42,000.00","5,852.87",,,
,,2001 - 2002,"13,116.00","5,75,75,000.00","4,389.68",,,
,,2002 - 2003,"13,257.00","5,81,94,000.00","4,389.68",,,
,,2003 - 2004,"13,051.00","5,72,89,000.00","4,389.63",,,
,,2004 - 2005,"11,978.00","5,25,79,000.00","4,389.63",,,
,,2005 - 2006,"12,138.00","5,32,82,000.00","4,389.69",,,
,,2006 - 2007,"11,469.00","5,03,45,000.00","4,389.66",,,
,,2007 - 2008,"12,176.00","6,19,95,000.00","5,091.57",,,
,,2008 - 2009,"12,030.00","8,24,15,000.00","6,850.79",,,
,,2009 - 2010,"12,101.00","9,94,10,000.00","8,215.02",,,
,,2010 - 2011,"11,377.00","9,24,49,000.00","8,125.96",,,
,,2011 - 2012,"11,710.00","11,64,16,000.00","9,941.59",,,
,,2012 - 2013,"11,829.00","11,64,63,000.00","9,845.55",,,
,,2013 - 2014,"11,022.00","6,18,15,000.00","5,608.33",,,
,,2014 - 2015,"11,863.00","16,41,39,000.00","13,836.21",,,
,,2015 - 2016,"10,011.00","11,91,59,000.00","11,902.81",,,
,,2016 - 2017,"10,106.00","8,00,40,000.00","7,920.05",,,
,,2017 - 2018,"10,035.00","7,94,77,000.00","7,919.98",,,
,,2018 - 2019,"7,979.00","5,35,17,000.00","6,707.23",,,
,,2019 - 2020,"7,925.00","5,19,78,000.00","6,558.74",,,
,,2020 - 2021,"10,896.00","86,765.00",7.96,,,
,,2021 - 2022,"7,735.00","6,68,93,000.00","8,648.09",,,
,,2022 - 2023,"7,750.00","11,86,89,730.00","15,314.80",,,
,14. Dharwad,2000 - 2001,394,"18,81,000.00","4,774.11",,,
,,2001 - 2002,415,"19,82,000.00","4,775.90",,,
,,2002 - 2003,418,"19,96,000.00","4,775.12",,,
,,2003 - 2004,437,"20,87,000.00","4,775.74",,,
,,2004 - 2005,431,"20,58,000.00","4,774.94",,,
,,2005 - 2006,402,"19,19,000.00","4,773.63",,,
,,2006 - 2007,445,"21,25,000.00","4,775.28",,,
,,2007 - 2008,450,"22,91,000.00","5,091.11",,,
,,2008 - 2009,442,"30,28,000.00","6,850.68",,,
,,2009 - 2010,472,"33,56,000.00","7,110.17",,,
,,2010 - 2011,509,"48,66,000.00","9,559.92",,,
,,2011 - 2012,511,"50,80,000.00","9,941.29",,,
,,2012 - 2013,451,"44,40,000.00","9,844.79",,,
,,2013 - 2014,435,"34,51,000.00","7,933.33",,,
,,2014 - 2015,318,"28,38,000.00","8,924.53",,,
,,2015 - 2016,298,"24,92,000.00","8,362.42",,,
,,2016 - 2017,280,"21,89,000.00","7,817.86",,,
,,2017 - 2018,275,"21,74,000.00","7,905.45",,,
,,2018 - 2019,417,"29,53,000.00","7,081.53",,,
,,2019 - 2020,395,"32,56,000.00","8,243.04",,,
,,2020 - 2021,346,"2,755.00",7.96,,,
,,2021 - 2022,284,"24,58,000.00","8,654.93",,,
,,2022 - 2023,239,"22,26,915.00","9,317.64",,,
,15. Gadag,2000 - 2001,373,"17,81,000.00","4,774.80",,,
,,2001 - 2002,391,"18,67,000.00","4,774.94",,,
,,2002 - 2003,419,"20,01,000.00","4,775.66",,,
,,2003 - 2004,522,"24,92,000.00","4,773.95",,,
,,2004 - 2005,622,"29,70,000.00","4,774.92",,,
,,2005 - 2006,579,"27,65,000.00","4,775.47",,,
,,2006 - 2007,592,"28,27,000.00","4,775.34",,,
,,2007 - 2008,612,"31,16,000.00","5,091.50",,,
,,2008 - 2009,638,"31,87,000.00","4,995.30",,,
,,2009 - 2010,664,"47,21,000.00","7,109.94",,,
,,2010 - 2011,696,"66,53,000.00","9,558.91",,,
,,2011 - 2012,461,"45,83,000.00","9,941.43",,,
,,2012 - 2013,192,"18,90,000.00","9,843.75",,,
,,2013 - 2014,286,"22,69,000.00","7,933.57",,,
,,2014 - 2015,184,"16,42,000.00","8,923.91",,,
,,2015 - 2016,91,"7,61,000.00","8,362.64",,,
,,2016 - 2017,92,"7,19,000.00","7,815.22",,,
,,2017 - 2018,157,"12,41,000.00","7,904.46",,,
,,2018 - 2019,276,"19,55,000.00","7,083.33",,,
,,2019 - 2020,253,"20,85,000.00","8,241.11",,,
,,2020 - 2021,248,"1,975.00",7.96,,,
,,2021 - 2022,259,"22,37,000.00","8,637.07",,,
,,2022 - 2023,345,"35,36,806.00","10,251.61",,,
,16. Gulbarga,2000 - 2001,794,"39,95,000.00","5,031.49",,,
,,2001 - 2002,866,"43,57,000.00","5,031.18",,,
,,2002 - 2003,872,"43,87,000.00","5,030.96",,,
,,2003 - 2004,757,"38,09,000.00","5,031.70",,,
,,2004 - 2005,734,"36,93,000.00","5,031.34",,,
,,2005 - 2006,645,"32,45,000.00","5,031.01",,,
,,2006 - 2007,598,"30,09,000.00","5,031.77",,,
,,2007 - 2008,567,"28,87,000.00","5,091.71",,,
,,2008 - 2009,513,"35,14,000.00","6,849.90",,,
,,2009 - 2010,479,"34,06,000.00","7,110.65",,,
,,2010 - 2011,238,"22,75,000.00","9,558.82",,,
,,2011 - 2012,242,"24,06,000.00","9,942.15",,,
,,2012 - 2013,181,"17,82,000.00","9,845.30",,,
,,2013 - 2014,119,"9,44,000.00","7,932.77",,,
,,2014 - 2015,192,"17,13,000.00","8,921.88",,,
,,2016 - 2017,262,"20,48,000.00","7,816.79",,,
,,2017 - 2018,262,"20,72,000.00","7,908.40",,,
,,2018 - 2019,23,"1,63,000.00","7,086.96",,,
,,2019 - 2020,32,"2,64,000.00","8,250.00",,,
,,2020 - 2021,27,215,7.96,,,
,,2021 - 2022,20,"1,70,000.00","8,500.00",,,
,,2022 - 2023,22,"2,15,000.00","9,772.73",,,
,17. Hassan,2000 - 2001,"49,079.00","27,17,05,000.00","5,536.07",,,
,,2001 - 2002,"55,056.00","22,85,96,000.00","4,152.06",,,
,,2002 - 2003,"57,885.00","24,03,42,000.00","4,152.06",,,
,,2003 - 2004,"60,075.00","24,94,35,000.00","4,152.06",,,
,,2004 - 2005,"61,098.00","25,36,83,000.00","4,152.07",,,
,,2005 - 2006,"61,775.00","25,64,94,000.00","4,152.07",,,
,,2006 - 2007,"61,788.00","25,65,47,000.00","4,152.05",,,
,,2007 - 2008,"61,805.00","29,68,79,000.00","4,803.48",,,
,,2008 - 2009,"61,880.00","34,71,67,000.00","5,610.33",,,
,,2009 - 2010,"62,256.00","44,26,51,000.00","7,110.17",,,
,,2010 - 2011,"62,390.00","40,40,12,000.00","6,475.59",,,
,,2011 - 2012,"62,575.00","62,20,94,000.00","9,941.57",,,
,,2012 - 2013,"63,056.00","62,08,21,000.00","9,845.55",,,
,,2013 - 2014,"61,138.00","31,98,23,000.00","5,231.17",,,
,,2014 - 2015,"61,019.00","38,26,29,000.00","6,270.65",,,
,,2015 - 2016,"60,472.00","31,09,51,000.00","5,142.07",,,
,,2016 - 2017,"52,325.00","20,58,60,000.00","3,934.26",,,
,,2017 - 2018,"59,339.00","26,97,60,000.00","4,546.08",,,
,,2018 - 2019,"1,06,749.00","33,33,19,000.00","3,122.46",,,
,,2019 - 2020,"1,05,407.00","60,78,56,000.00","5,766.75",,,
,,2020 - 2021,"97,999.00","4,75,981.00",4.86,,,
,,2021 - 2022,"96,002.00","66,72,12,000.00","6,949.98",,,
,,2022 - 2023,"1,16,416.00","90,76,27,000.00","7,796.41",,,
,18. Haveri,2000 - 2001,660,"31,51,000.00","4,774.24",,,
,,2001 - 2002,"1,297.00","61,93,000.00","4,774.87",,,
,,2002 - 2003,"1,852.00","88,43,000.00","4,774.84",,,
,,2003 - 2004,"1,229.00","58,68,000.00","4,774.61",,,
,,2004 - 2005,"1,147.00","54,77,000.00","4,775.07",,,
,,2005 - 2006,974,"46,51,000.00","4,775.15",,,
,,2006 - 2007,"1,058.00","50,52,000.00","4,775.05",,,
,,2007 - 2008,"1,123.00","57,18,000.00","5,091.72",,,
,,2008 - 2009,"1,148.00","59,57,000.00","5,189.02",,,
,,2009 - 2010,"1,243.00","55,98,000.00","4,503.62",,,
,,2010 - 2011,"1,287.00","1,23,03,000.00","9,559.44",,,
,,2011 - 2012,"1,290.00","1,28,25,000.00","9,941.86",,,
,,2012 - 2013,"1,394.00","1,37,25,000.00","9,845.77",,,
,,2013 - 2014,"1,395.00","1,10,68,000.00","7,934.05",,,
,,2014 - 2015,"1,360.00","1,21,36,000.00","8,923.53",,,
,,2015 - 2016,"1,281.00","1,07,12,000.00","8,362.22",,,
,,2016 - 2017,"1,140.00","89,13,000.00","7,818.42",,,
,,2017 - 2018,"1,439.00","1,13,78,000.00","7,906.88",,,
,,2018 - 2019,"1,455.00","1,03,05,000.00","7,082.47",,,
,,2019 - 2020,"1,428.00","1,17,71,000.00","8,243.00",,,
,,2020 - 2021,"1,237.00","9,850.00",7.96,,,
,,2021 - 2022,"1,079.00","93,31,000.00","8,647.82",,,
,,2022 - 2023,"1,020.00","1,65,39,000.00","16,214.71",,,
,19. Kodagu,2000 - 2001,"1,055.00","50,41,000.00","4,778.20",,,
,,2001 - 2002,"1,338.00","63,93,000.00","4,778.03",,,
,,2002 - 2003,"1,285.00","61,39,000.00","4,777.43",,,
,,2003 - 2004,"1,292.00","61,73,000.00","4,777.86",,,
,,2004 - 2005,"1,331.00","63,59,000.00","4,777.61",,,
,,2005 - 2006,"1,386.00","66,22,000.00","4,777.78",,,
,,2006 - 2007,"2,076.00","99,19,000.00","4,777.94",,,
,,2007 - 2008,"1,872.00","95,31,000.00","5,091.35",,,
,,2008 - 2009,"1,879.00","1,28,73,000.00","6,850.98",,,
,,2009 - 2010,"1,750.00","1,24,43,000.00","7,110.29",,,
,,2010 - 2011,"1,544.00","1,47,60,000.00","9,559.59",,,
,,2011 - 2012,"1,617.00","1,60,76,000.00","9,941.87",,,
,,2012 - 2013,"1,602.00","1,57,73,000.00","9,845.82",,,
,,2013 - 2014,"1,605.00","1,27,34,000.00","7,933.96",,,
,,2014 - 2015,"1,586.00","1,41,53,000.00","8,923.71",,,
,,2015 - 2016,"1,605.00","1,34,22,000.00","8,362.62",,,
,,2016 - 2017,"1,583.00","1,23,76,000.00","7,818.07",,,
,,2017 - 2018,"1,583.00","1,25,17,000.00","7,907.14",,,
,,2018 - 2019,"1,082.00","76,63,000.00","7,082.26",,,
,,2019 - 2020,"2,060.00","1,69,80,000.00","8,242.72",,,
,,2020 - 2021,"3,402.00","27,090.00",7.96,,,
,,2021 - 2022,"2,458.00","2,12,55,000.00","8,647.27",,,
,,2022 - 2023,"3,044.00","1,88,55,010.00","6,194.16",,,
,20. Kolar,2000 - 2001,"2,101.00","1,00,30,000.00","4,773.92",,,
,,2001 - 2002,"2,101.00","75,23,000.00","3,580.68",,,
,,2002 - 2003,"2,101.00","75,23,000.00","3,580.68",,,
,,2003 - 2004,"2,101.00","75,23,000.00","3,580.68",,,
,,2004 - 2005,"2,101.00","75,23,000.00","3,580.68",,,
,,2005 - 2006,"2,101.00","75,23,000.00","3,580.68",,,
,,2006 - 2007,"2,101.00","75,23,000.00","3,580.68",,,
,,2007 - 2008,"1,471.00","74,90,000.00","5,091.77",,,
,,2008 - 2009,"1,471.00","1,00,78,000.00","6,851.12",,,
,,2009 - 2010,"1,471.00","1,04,59,000.00","7,110.13",,,
,,2010 - 2011,"2,805.00","2,68,14,000.00","9,559.36",,,
,,2011 - 2012,"2,805.00","2,78,86,000.00","9,941.53",,,
,,2012 - 2013,"2,805.00","2,76,17,000.00","9,845.63",,,
,,2013 - 2014,"2,805.00","2,22,54,000.00","7,933.69",,,
,,2014 - 2015,"2,566.00","2,28,99,000.00","8,924.01",,,
,,2015 - 2016,"2,341.00","1,95,77,000.00","8,362.67",,,
,,2016 - 2017,"2,109.00","1,64,88,000.00","7,817.92",,,
,,2017 - 2018,"1,976.00","1,56,24,000.00","7,906.88",,,
,,2018 - 2019,"1,229.00","87,04,000.00","7,082.18",,,
,,2019 - 2020,"1,194.00","98,42,000.00","8,242.88",,,
,,2020 - 2021,"1,195.00","9,516.00",7.96,,,
,,2021 - 2022,"1,009.00","87,29,000.00","8,651.14",,,
,,2022 - 2023,"1,003.00","1,11,13,998.00","11,080.76",,,
,21. Koppal,2000 - 2001,672,"32,05,000.00","4,769.35",,,
,,2001 - 2002,"1,098.00","52,36,000.00","4,768.67",,,
,,2002 - 2003,492,"23,46,000.00","4,768.29",,,
,,2003 - 2004,204,"9,73,000.00","4,769.61",,,
,,2004 - 2005,344,"16,40,000.00","4,767.44",,,
,,2005 - 2006,980,"46,73,000.00","4,768.37",,,
,,2006 - 2007,628,"29,95,000.00","4,769.11",,,
,,2007 - 2008,585,"29,79,000.00","5,092.31",,,
,,2008 - 2009,595,"40,76,000.00","6,850.42",,,
,,2009 - 2010,618,"43,94,000.00","7,110.03",,,
,,2010 - 2011,629,"60,13,000.00","9,559.62",,,
,,2011 - 2012,652,"64,82,000.00","9,941.72",,,
,,2012 - 2013,652,"64,19,000.00","9,845.09",,,
,,2013 - 2014,696,"55,22,000.00","7,933.91",,,
,,2014 - 2015,812,"72,46,000.00","8,923.65",,,
,,2015 - 2016,813,"67,99,000.00","8,362.85",,,
,,2016 - 2017,"1,023.00","79,98,000.00","7,818.18",,,
,,2017 - 2018,"1,111.00","87,85,000.00","7,907.29",,,
,,2018 - 2019,142,"10,06,000.00","7,084.51",,,
,,2019 - 2020,223,"18,38,000.00","8,242.15",,,
,,2020 - 2021,130,"1,035.00",7.96,,,
,,2021 - 2022,141,"12,20,000.00","8,652.48",,,
,,2022 - 2023,155,"18,26,000.00","11,780.65",,,
,22. Mandya,2000 - 2001,"17,047.00","8,14,29,000.00","4,776.73",,,
,,2001 - 2002,"17,047.00","6,10,76,000.00","3,582.80",,,
,,2002 - 2003,"17,882.00","6,40,68,000.00","3,582.82",,,
,,2003 - 2004,"17,985.00","6,44,37,000.00","3,582.82",,,
,,2004 - 2005,"18,165.00","6,50,82,000.00","3,582.82",,,
,,2005 - 2006,"19,112.00","6,84,75,000.00","3,582.83",,,
,,2006 - 2007,"18,297.00","6,55,55,000.00","3,582.83",,,
,,2007 - 2008,"17,905.00","11,34,46,000.00","6,336.00",,,
,,2008 - 2009,"22,940.00","14,53,48,000.00","6,336.01",,,
,,2009 - 2010,"25,410.00","25,50,56,000.00","10,037.62",,,
,,2010 - 2011,"26,335.00","32,81,12,000.00","12,459.16",,,
,,2011 - 2012,"26,727.00","34,54,58,000.00","12,925.43",,,
,,2012 - 2013,"21,418.00","27,68,37,000.00","12,925.44",,,
,,2013 - 2014,"20,872.00","14,93,54,000.00","7,155.71",,,
,,2014 - 2015,"27,573.00","27,36,82,000.00","9,925.72",,,
,,2015 - 2016,"24,629.00","24,47,29,000.00","9,936.62",,,
,,2016 - 2017,"22,645.00","25,32,62,000.00","11,184.01",,,
,,2017 - 2018,"25,072.00","21,60,20,000.00","8,615.99",,,
,,2018 - 2019,"61,192.00","42,92,70,000.00","7,015.13",,,
,,2019 - 2020,"62,802.00","68,85,77,000.00","10,964.25",,,
,,2020 - 2021,"67,106.00","6,00,934.00",8.95,,,
,,2021 - 2022,"60,917.00","55,06,27,000.00","9,038.97",,,
,,2022 - 2023,"62,002.00","46,08,75,699.00","7,433.24",,,
,23. Mysore,2000 - 2001,"12,512.00","4,45,56,000.00","3,561.06",,,
,,2001 - 2002,"18,765.00","5,01,22,000.00","2,671.04",,,
,,2002 - 2003,"19,801.00","5,28,89,000.00","2,671.03",,,
,,2003 - 2004,"18,005.00","4,80,92,000.00","2,671.04",,,
,,2004 - 2005,"19,404.00","5,18,28,000.00","2,671.00",,,
,,2005 - 2006,"13,158.00","3,51,45,000.00","2,671.00",,,
,,2006 - 2007,"18,462.00","4,93,12,000.00","2,671.00",,,
,,2007 - 2008,"22,122.00","11,26,36,000.00","5,091.58",,,
,,2008 - 2009,"21,977.00","19,38,57,000.00","8,820.90",,,
,,2009 - 2010,"22,070.00","13,08,99,000.00","5,931.08",,,
,,2010 - 2011,"26,195.00","32,46,30,000.00","12,392.82",,,
,,2011 - 2012,"26,280.00","23,87,60,000.00","9,085.24",,,
,,2012 - 2013,"21,605.00","19,62,86,000.00","9,085.21",,,
,,2013 - 2014,"22,417.00","17,78,53,000.00","7,933.84",,,
,,2014 - 2015,"22,352.00","19,76,74,000.00","8,843.68",,,
,,2015 - 2016,"16,712.00","16,48,37,000.00","9,863.39",,,
,,2016 - 2017,"19,554.00","8,04,34,000.00","4,113.43",,,
,,2017 - 2018,"21,194.00","20,99,88,000.00","9,907.90",,,
,,2018 - 2019,"23,277.00","24,61,58,000.00","10,575.16",,,
,,2019 - 2020,"23,332.00","23,29,50,000.00","9,984.14",,,
,,2020 - 2021,"22,593.00","2,62,734.00",11.63,,,
,,2021 - 2022,"20,033.00","20,86,05,000.00","10,413.07",,,
,,2022 - 2023,"29,492.00","22,36,33,000.00","7,582.84",,,
,24. Raichur,2000 - 2001,111,"5,29,000.00","4,765.77",,,
,,2001 - 2002,208,"9,92,000.00","4,769.23",,,
,,2002 - 2003,523,"24,94,000.00","4,768.64",,,
,,2003 - 2004,496,"23,65,000.00","4,768.15",,,
,,2004 - 2005,441,"21,03,000.00","4,768.71",,,
,,2005 - 2006,138,"6,58,000.00","4,768.12",,,
,,2006 - 2007,158,"7,53,000.00","4,765.82",,,
,,2007 - 2008,429,"21,84,000.00","5,090.91",,,
,,2008 - 2009,229,"15,69,000.00","6,851.53",,,
,,2009 - 2010,175,"12,44,000.00","7,108.57",,,
,,2010 - 2011,30,"2,87,000.00","9,566.67",,,
,,2011 - 2012,27,"2,68,000.00","9,925.93",,,
,,2012 - 2013,36,"3,54,000.00","9,833.33",,,
,,2013 - 2014,63,"5,00,000.00","7,936.51",,,
,,2014 - 2015,80,"7,14,000.00","8,925.00",,,
,,2015 - 2016,"3,166.00","2,64,76,000.00","8,362.60",,,
,,2017 - 2018,80,"6,33,000.00","7,912.50",,,
,,2018 - 2019,29,"2,05,000.00","7,068.97",,,
,,2019 - 2020,15,"1,24,000.00","8,266.67",,,
,,2020 - 2021,54,430,7.96,,,
,,2021 - 2022,41,"3,56,000.00","8,682.93",,,
,,2022 - 2023,95,"13,44,000.00","14,147.37",,,
,25. Ramanagara,2007 - 2008,"13,825.00","7,03,91,000.00","5,091.57",,,
,,2008 - 2009,"13,861.00","9,22,42,000.00","6,654.79",,,
,,2009 - 2010,"14,328.00","10,18,75,000.00","7,110.20",,,
,,2010 - 2011,"14,982.00","14,32,20,000.00","9,559.47",,,
,,2011 - 2012,"14,532.00","16,85,54,000.00","11,598.82",,,
,,2012 - 2013,"14,014.00","16,25,46,000.00","11,598.83",,,
,,2013 - 2014,"13,637.00","10,81,94,000.00","7,933.86",,,
,,2014 - 2015,"15,056.00","16,78,50,000.00","11,148.38",,,
,,2015 - 2016,"18,242.00","14,27,79,000.00","7,826.94",,,
,,2016 - 2017,"20,052.00","12,83,60,000.00","6,401.36",,,
,,2017 - 2018,"21,901.00","13,88,73,000.00","6,340.94",,,
,,2018 - 2019,"30,244.00","15,57,86,000.00","5,150.97",,,
,,2019 - 2020,"29,578.00","21,26,77,000.00","7,190.38",,,
,,2020 - 2021,"30,017.00","2,30,621.00",7.68,,,
,,2021 - 2022,"27,088.00","21,12,88,000.00","7,800.06",,,
,,2022 - 2023,"27,400.00","34,70,59,272.00","12,666.40",,,
,26. Shimoga,2000 - 2001,"6,938.00","2,44,93,000.00","3,530.27",,,
,,2001 - 2002,"6,925.00","1,83,39,000.00","2,648.23",,,
,,2002 - 2003,"6,820.00","1,80,61,000.00","2,648.24",,,
,,2003 - 2004,"6,700.00","1,77,43,000.00","2,648.21",,,
,,2004 - 2005,"6,613.00","1,75,13,000.00","2,648.27",,,
,,2005 - 2006,"6,843.00","1,81,22,000.00","2,648.25",,,
,,2006 - 2007,"6,864.00","1,81,78,000.00","2,648.31",,,
,,2007 - 2008,"6,875.00","3,31,67,000.00","4,824.29",,,
,,2008 - 2009,"6,655.00","5,55,67,000.00","8,349.66",,,
,,2009 - 2010,"6,339.00","4,50,71,000.00","7,110.11",,,
,,2010 - 2011,"6,351.00","6,07,12,000.00","9,559.44",,,
,,2011 - 2012,"5,954.00","5,92,86,000.00","9,957.34",,,
,,2012 - 2013,"5,736.00","5,71,16,000.00","9,957.46",,,
,,2013 - 2014,"5,419.00","4,29,94,000.00","7,933.94",,,
,,2014 - 2015,"5,403.00","4,82,16,000.00","8,923.93",,,
,,2015 - 2016,"5,774.00","4,82,85,000.00","8,362.49",,,
,,2016 - 2017,"5,550.00","4,33,90,000.00","7,818.02",,,
,,2017 - 2018,"5,157.00","4,07,77,000.00","7,907.12",,,
,,2018 - 2019,"6,036.00","4,27,50,000.00","7,082.50",,,
,,2019 - 2020,"7,079.00","5,83,50,000.00","8,242.69",,,
,,2020 - 2021,"11,966.00","95,285.00",7.96,,,
,,2021 - 2022,"7,935.00","6,86,22,000.00","8,648.02",,,
,,2022 - 2023,"7,718.00","11,48,98,000.00","14,887.02",,,
,27. Tumkur,2000 - 2001,"1,00,810.00","66,32,83,000.00","6,579.54",,,
,,2001 - 2002,"1,10,993.00","54,77,67,000.00","4,935.15",,,
,,2002 - 2003,"1,11,248.00","54,90,26,000.00","4,935.15",,,
,,2003 - 2004,"1,09,443.00","54,01,18,000.00","4,935.15",,,
,,2004 - 2005,"1,10,937.00","54,74,91,000.00","4,935.15",,,
,,2005 - 2006,"1,22,690.00","60,54,94,000.00","4,935.15",,,
,,2006 - 2007,"1,25,511.00","61,94,16,000.00","4,935.15",,,
,,2007 - 2008,"1,24,110.00","68,37,65,000.00","5,509.35",,,
,,2008 - 2009,"1,32,587.00","99,45,66,000.00","7,501.23",,,
,,2009 - 2010,"1,38,660.00","98,58,98,000.00","7,110.18",,,
,,2010 - 2011,"1,42,248.00","1,34,77,00,000.00","9,474.30",,,
,,2011 - 2012,"1,43,110.00","1,35,17,58,000.00","9,445.59",,,
,,2012 - 2013,"1,47,539.00","1,39,35,93,000.00","9,445.59",,,
,,2013 - 2014,"1,45,910.00","1,13,97,18,000.00","7,811.10",,,
,,2014 - 2015,"1,49,419.00","1,28,36,92,000.00","8,591.22",,,
,,2015 - 2016,"1,52,341.00","1,26,41,53,000.00","8,298.18",,,
,,2016 - 2017,"1,57,317.00","1,20,34,33,000.00","7,649.73",,,
,,2017 - 2018,"1,53,684.00","1,13,92,78,000.00","7,413.12",,,
,,2018 - 2019,"1,83,232.00","1,30,51,71,000.00","7,123.05",,,
,,2019 - 2020,"1,76,243.00","1,45,27,25,000.00","8,242.74",,,
,,2020 - 2021,"1,78,748.00","13,12,368.00",7.34,,,
,,2021 - 2022,"1,70,889.00","1,49,87,01,000.00","8,770.03",,,
,,2022 - 2023,"2,20,017.00","1,58,37,51,764.00","7,198.32",,,
,28. Udupi,2000 - 2001,"13,736.00","5,86,37,000.00","4,268.86",,,
,,2001 - 2002,"14,003.00","5,97,77,000.00","4,268.87",,,
,,2002 - 2003,"14,179.00","6,05,28,000.00","4,268.85",,,
,,2003 - 2004,"14,319.00","6,11,26,000.00","4,268.87",,,
,,2004 - 2005,"14,464.00","6,17,45,000.00","4,268.87",,,
,,2005 - 2006,"14,876.00","6,35,04,000.00","4,268.89",,,
,,2006 - 2007,"14,976.00","6,39,31,000.00","4,268.90",,,
,,2007 - 2008,"15,009.00","7,37,30,000.00","4,912.39",,,
,,2008 - 2009,"15,114.00","11,84,16,000.00","7,834.86",,,
,,2009 - 2010,"16,224.00","13,01,32,000.00","8,020.96",,,
,,2010 - 2011,"17,095.00","15,48,89,000.00","9,060.49",,,
,,2011 - 2012,"17,512.00","17,17,39,000.00","9,806.93",,,
,,2012 - 2013,"17,587.00","17,24,75,000.00","9,806.96",,,
,,2013 - 2014,"17,771.00","17,79,39,000.00","10,012.89",,,
,,2014 - 2015,"17,825.00","31,35,47,000.00","17,590.29",,,
,,2015 - 2016,"17,922.00","18,12,60,000.00","10,113.83",,,
,,2016 - 2017,"17,953.00","20,10,00,000.00","11,195.90",,,
,,2017 - 2018,"17,960.00","19,62,60,000.00","10,927.62",,,
,,2018 - 2019,"22,567.00","39,39,89,000.00","17,458.63",,,
,,2019 - 2020,"24,434.00","24,67,35,000.00","10,098.02",,,
,,2020 - 2021,"26,707.00","3,47,618.00",13.02,,,
,,2021 - 2022,"22,226.00","30,26,57,000.00","13,617.25",,,
,,2022 - 2023,"20,186.00","24,23,19,684.00","12,004.34",,,
,29. Uttar kannad,2000 - 2001,"5,907.00","2,80,93,000.00","4,755.88",,,
,,2001 - 2002,"6,069.00","2,88,64,000.00","4,755.97",,,
,,2002 - 2003,"6,162.00","2,93,06,000.00","4,755.92",,,
,,2003 - 2004,"6,224.00","2,96,01,000.00","4,755.94",,,
,,2004 - 2005,"6,276.00","2,98,48,000.00","4,755.90",,,
,,2005 - 2006,"7,197.00","3,42,29,000.00","4,756.01",,,
,,2006 - 2007,"7,479.00","3,55,70,000.00","4,755.98",,,
,,2007 - 2008,"7,415.00","3,87,38,000.00","5,224.28",,,
,,2008 - 2009,"7,514.00","5,47,95,000.00","7,292.39",,,
,,2009 - 2010,"7,581.00","5,39,02,000.00","7,110.14",,,
,,2010 - 2011,"7,690.00","6,51,07,000.00","8,466.45",,,
,,2011 - 2012,"7,713.00","5,93,92,000.00","7,700.25",,,
,,2012 - 2013,"7,752.00","5,96,92,000.00","7,700.21",,,
,,2013 - 2014,"7,768.00","6,16,30,000.00","7,933.83",,,
,,2014 - 2015,"7,784.00","6,94,63,000.00","8,923.82",,,
,,2015 - 2016,"7,787.00","6,51,19,000.00","8,362.53",,,
,,2016 - 2017,"7,796.00","6,09,49,000.00","7,817.98",,,
,,2017 - 2018,"7,786.00","6,15,65,000.00","7,907.14",,,
,,2018 - 2019,"11,302.00","8,00,46,000.00","7,082.46",,,
,,2019 - 2020,"10,089.00","8,31,61,000.00","8,242.74",,,
,,2020 - 2021,"10,492.00","83,548.00",7.96,,,
,,2021 - 2022,"9,310.00","8,05,13,000.00","8,648.01",,,
,,2022 - 2023,"8,646.00","9,95,37,000.00","11,512.49",,,
,30. Vijayanagar,2022 - 2023,715,"96,27,000.00","13,464.34",,,
,31. Yadgir,2010 - 2011,218,"20,84,000.00","9,559.63",,,
,,2011 - 2012,218,"21,67,000.00","9,940.37",,,
,,2012 - 2013,214,"21,07,000.00","9,845.79",,,
,,2013 - 2014,197,"15,63,000.00","7,934.01",,,
,,2014 - 2015,168,"14,99,000.00","8,922.62",,,
,,2015 - 2016,168,"14,05,000.00","8,363.10",,,
,,2016 - 2017,125,"9,77,000.00","7,816.00",,,
,,2017 - 2018,123,"9,73,000.00","7,910.57",,,
,,2018 - 2019,26,"1,84,000.00","7,076.92",,,
