State,District,Year,Guar seed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,8. Jind,2012 - 2013,,,,,,,711,462,0.65
,,2017 - 2018,,,,300,200,0.67,,,
,,2018 - 2019,,,,140,98,0.7,,,
,,2019 - 2020,,,,212,148,0.7,,,
,,2020 - 2021,,,,,,,212,148,0.7
,,2021 - 2022,,,,,,,31,22,0.71
,9. Kaithal,2012 - 2013,,,,,,,44,26,0.59
,10. Karnal,2012 - 2013,,,,,,,130,78,0.6
,,2018 - 2019,,,,16,15,0.94,,,
,,2019 - 2020,,,,10,9,0.9,,,
,,2020 - 2021,,,,,,,10,9,0.9
,11. Mahendragarh,2012 - 2013,,,,,,,"40,598.00","28,419.00",0.7
,,2017 - 2018,,,,"23,100.00","19,200.00",0.83,,,
,,2018 - 2019,,,,"14,900.00","12,900.00",0.87,,,
,,2019 - 2020,,,,"5,694.00","4,931.00",0.87,,,
,,2020 - 2021,,,,,,,"5,694.00","4,931.00",0.87
,,2021 - 2022,,,,,,,"5,000.00","4,330.00",0.87
,12. Mewat,2012 - 2013,,,,,,,611,367,0.6
,,2017 - 2018,,,,100,100,1,,,
,,2018 - 2019,,,,65,54,0.83,,,
,,2019 - 2020,,,,9,7,0.78,,,
,,2020 - 2021,,,,,,,9,8,0.89
,,2021 - 2022,,,,,,,7,6,0.86
,13. Palwal,2017 - 2018,,,,100,,0,,,
,,2021 - 2022,,,,,,,5,0,0
,14. Panchkula,2012 - 2013,,,,,,,9,5,0.56
,,2019 - 2020,,,,2,2,1,,,
,,2020 - 2021,,,,,,,4,4,1
,,2021 - 2022,,,,,,,3,0,0
,15. Panipat,2012 - 2013,,,,,,,155,101,0.65
,,2019 - 2020,,,,1,1,1,,,
,,2020 - 2021,,,,,,,1,1,1
,,2021 - 2022,,,,,,,4,3,0.75
