State,District,Year,Dry chillies,,,,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2001 - 2002,583,294,0.5,,,,,,,,,,,,
,,2002 - 2003,409,43,0.11,,,,,,,,,,,,
,,2003 - 2004,620,"1,039.00",1.68,,,,,,,,,,,,
,,2004 - 2005,679,901,1.33,,,,,,,,,,,,
,,2005 - 2006,543,750,1.38,,,,,,,,,,,,
,,2006 - 2007,403,"1,168.00",2.9,,,,,,,,,,,,
,,2007 - 2008,424,749,1.77,,,,,,,,,,,,
,,2008 - 2009,273,460,1.68,,,,,,,,,,,,
,,2009 - 2010,325,389,1.2,,,,,,,,,,,,
,,2010 - 2011,338,456,1.35,,,,,,,,,,,,
,,2011 - 2012,151,223,1.48,,,,,,,,,,,,
,,2012 - 2013,131,147,1.12,,,,,,,,,,,,
,,2013 - 2014,124,140,1.13,,,,,,,,,,,,
,,2014 - 2015,155,174,1.12,,,,,,,,,,,,
,,2015 - 2016,167,144,0.86,,,,,,,,,,,,
,,2016 - 2017,169,145,0.86,,,,,,,,,,,,
,,2017 - 2018,45,44,0.98,,,,,,,,,,,,
,,2018 - 2019,83,78,0.94,,,,,,,,,,,,
,,2019 - 2020,149,142,0.95,,,,,,,,,,,,
,,2020 - 2021,68,62,0.91,,,,,,,,,,,,
,,2021 - 2022,20,21,1.05,,,,,,,,,,,,
,3. Banswara,2000 - 2001,466,42,0.09,,,,,,,,,,,,
,,2001 - 2002,469,174,0.37,,,,,,,,,,,,
,,2002 - 2003,518,130,0.25,,,,,,,,,,,,
,,2003 - 2004,511,288,0.56,,,,,,,,,,,,
,,2004 - 2005,370,97,0.26,,,,,,,,,,,,
,,2005 - 2006,394,125,0.32,,,,,,,,,,,,
,,2006 - 2007,333,18,0.05,,,,,,,,,,,,
,,2007 - 2008,358,201,0.56,,,,,,,,,,,,
,,2008 - 2009,370,112,0.3,,,,,,,,,,,,
,,2009 - 2010,372,35,0.09,,,,,,,,,,,,
,,2010 - 2011,393,142,0.36,,,,,,,,,,,,
,,2011 - 2012,389,170,0.44,,,,,,,,,,,,
,,2012 - 2013,377,168,0.45,,,,,,,,,,,,
,,2013 - 2014,362,72,0.2,,,,,,,,,,,,
,,2014 - 2015,365,92,0.25,,,,,,,,,,,,
,,2015 - 2016,310,54,0.17,,,,,,,,,,,,
,,2016 - 2017,300,225,0.75,,,,,,,,,,,,
,,2017 - 2018,266,241,0.91,,,,,,,,,,,,
,,2018 - 2019,260,181,0.7,,,,,,,,,,,,
,,2019 - 2020,168,41,0.24,,,,,,,,,,,,
,,2020 - 2021,98,107,1.09,,,,,,,,,,,,
,,2021 - 2022,61,67,1.1,,,,,,,,,,,,
,4. Baran,2000 - 2001,292,248,0.85,,,,,,,,,,,,
,,2001 - 2002,298,212,0.71,,,,,,,,,,,,
,,2002 - 2003,237,130,0.55,,,,,,,,,,,,
,,2003 - 2004,245,311,1.27,,,,,,,,,,,,
,,2004 - 2005,172,358,2.08,,,,,,,,,,,,
,,2005 - 2006,113,100,0.88,,,,,,,,,,,,
,,2006 - 2007,144,126,0.88,,,,,,,,,,,,
,,2007 - 2008,201,132,0.66,,,,,,,,,,,,
,,2008 - 2009,105,114,1.09,,,,,,,,,,,,
,,2009 - 2010,133,157,1.18,,,,,,,,,,,,
,,2010 - 2011,128,122,0.95,,,,,,,,,,,,
,,2011 - 2012,72,65,0.9,,,,,,,,,,,,
,,2012 - 2013,51,56,1.1,,,,,,,,,,,,
,,2013 - 2014,34,123,3.62,,,,,,,,,,,,
,,2014 - 2015,45,30,0.67,,,,,,,,,,,,
,,2015 - 2016,47,22,0.47,,,,,,,,,,,,
,,2016 - 2017,27,65,2.41,,,,,,,,,,,,
,,2018 - 2019,17,27,1.59,,,,,,,,,,,,
,,2019 - 2020,43,10,0.23,,,,,,,,,,,,
,,2020 - 2021,20,22,1.1,,,,,,,,,,,,
,,2021 - 2022,7,6,0.86,,,,,,,,,,,,
,5. Barmer,2000 - 2001,67,10,0.15,,,,,,,,,,,,
,,2001 - 2002,70,65,0.93,,,,,,,,,,,,
,,2002 - 2003,21,20,0.95,,,,,,,,,,,,
,,2003 - 2004,53,26,0.49,,,,,,,,,,,,
,,2004 - 2005,53,44,0.83,,,,,,,,,,,,
,,2006 - 2007,25,13,0.52,,,,,,,,,,,,
,,2007 - 2008,32,14,0.44,,,,,,,,,,,,
,,2008 - 2009,28,15,0.54,,,,,,,,,,,,
,,2009 - 2010,31,21,0.68,,,,,,,,,,,,
,,2010 - 2011,115,47,0.41,,,,,,,,,,,,
,,2011 - 2012,29,9,0.31,,,,,,,,,,,,
,,2012 - 2013,24,,0,,,,,,,,,,,,
,,2013 - 2014,6,,0,,,,,,,,,,,,
,,2014 - 2015,36,1,0.03,,,,,,,,,,,,
,,2015 - 2016,17,4,0.24,,,,,,,,,,,,
,,2016 - 2017,8,5,0.63,,,,,,,,,,,,
,,2017 - 2018,4,15,3.75,,,,,,,,,,,,
,,2018 - 2019,5,,0,,,,,,,,,,,,
,,2019 - 2020,10,,0,,,,,,,,,,,,
,,2020 - 2021,4,2,0.5,,,,,,,,,,,,
,,2021 - 2022,20,10,0.5,,,,,,,,,,,,
,6. Bharatpur,2000 - 2001,"1,285.00","2,325.00",1.81,,,,,,,,,,,,
,,2001 - 2002,776,"2,580.00",3.32,,,,,,,,,,,,
,,2002 - 2003,484,518,1.07,,,,,,,,,,,,
,,2003 - 2004,670,"1,667.00",2.49,,,,,,,,,,,,
,,2004 - 2005,923,"4,388.00",4.75,,,,,,,,,,,,
,,2005 - 2006,379,"1,780.00",4.7,,,,,,,,,,,,
,,2006 - 2007,393,"1,377.00",3.5,,,,,,,,,,,,
,,2007 - 2008,602,"1,843.00",3.06,,,,,,,,,,,,
,,2008 - 2009,352,"1,931.00",5.49,,,,,,,,,,,,
,,2009 - 2010,319,"1,420.00",4.45,,,,,,,,,,,,
,,2010 - 2011,310,706,2.28,,,,,,,,,,,,
,,2011 - 2012,296,823,2.78,,,,,,,,,,,,
,,2012 - 2013,185,739,3.99,,,,,,,,,,,,
,,2013 - 2014,88,193,2.19,,,,,,,,,,,,
,,2014 - 2015,75,246,3.28,,,,,,,,,,,,
,,2015 - 2016,92,333,3.62,,,,,,,,,,,,
,,2016 - 2017,128,681,5.32,,,,,,,,,,,,
,,2017 - 2018,92,476,5.17,,,,,,,,,,,,
,,2018 - 2019,83,393,4.73,,,,,,,,,,,,
,,2019 - 2020,97,232,2.39,,,,,,,,,,,,
,,2020 - 2021,76,221,2.91,,,,,,,,,,,,
,,2021 - 2022,153,253,1.65,,,,,,,,,,,,
,7. Bhilwara,2000 - 2001,"1,297.00",660,0.51,,,,,,,,,,,,
,,2001 - 2002,"1,934.00","1,880.00",0.97,,,,,,,,,,,,
,,2002 - 2003,"1,140.00",249,0.22,,,,,,,,,,,,
,,2003 - 2004,"1,014.00",692,0.68,,,,,,,,,,,,
,,2004 - 2005,"1,680.00","1,020.00",0.61,,,,,,,,,,,,
,,2005 - 2006,"1,131.00",318,0.28,,,,,,,,,,,,
,,2006 - 2007,"1,053.00",682,0.65,,,,,,,,,,,,
,,2007 - 2008,"1,384.00","1,799.00",1.3,,,,,,,,,,,,
,,2008 - 2009,"1,179.00",793,0.67,,,,,,,,,,,,
,,2009 - 2010,615,370,0.6,,,,,,,,,,,,
,,2010 - 2011,771,"1,044.00",1.35,,,,,,,,,,,,
,,2011 - 2012,811,"1,617.00",1.99,,,,,,,,,,,,
,,2012 - 2013,886,"1,911.00",2.16,,,,,,,,,,,,
,,2013 - 2014,848,"1,799.00",2.12,,,,,,,,,,,,
,,2014 - 2015,948,"1,873.00",1.98,,,,,,,,,,,,
,,2015 - 2016,"1,192.00","1,827.00",1.53,,,,,,,,,,,,
,,2016 - 2017,"1,163.00","2,441.00",2.1,,,,,,,,,,,,
,,2017 - 2018,938,"2,074.00",2.21,,,,,,,,,,,,
,,2018 - 2019,834,"1,162.00",1.39,,,,,,,,,,,,
,,2019 - 2020,701,963,1.37,,,,,,,,,,,,
,,2020 - 2021,493,594,1.2,,,,,,,,,,,,
,,2021 - 2022,673,"1,322.00",1.96,,,,,,,,,,,,
,8. Bikaner,2000 - 2001,11,5,0.45,,,,,,,,,,,,
,,2001 - 2002,7,4,0.57,,,,,,,,,,,,
,,2002 - 2003,1,,0,,,,,,,,,,,,
,,2003 - 2004,12,6,0.5,,,,,,,,,,,,
,,2004 - 2005,13,7,0.54,,,,,,,,,,,,
,,2005 - 2006,4,4,1,,,,,,,,,,,,
,,2007 - 2008,2,2,1,,,,,,,,,,,,
,,2008 - 2009,2,2,1,,,,,,,,,,,,
,,2009 - 2010,1,1,1,,,,,,,,,,,,
,,2010 - 2011,2,2,1,,,,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,,,,
,9. Bundi,2000 - 2001,227,341,1.5,,,,,,,,,,,,
,,2001 - 2002,226,182,0.81,,,,,,,,,,,,
,,2002 - 2003,141,122,0.87,,,,,,,,,,,,
,,2003 - 2004,175,173,0.99,,,,,,,,,,,,
,,2004 - 2005,158,172,1.09,,,,,,,,,,,,
,,2005 - 2006,147,177,1.2,,,,,,,,,,,,
,,2006 - 2007,144,145,1.01,,,,,,,,,,,,
,,2007 - 2008,163,191,1.17,,,,,,,,,,,,
,,2008 - 2009,133,229,1.72,,,,,,,,,,,,
,,2009 - 2010,109,75,0.69,,,,,,,,,,,,
,,2010 - 2011,88,112,1.27,,,,,,,,,,,,
,,2011 - 2012,72,84,1.17,,,,,,,,,,,,
,,2012 - 2013,63,54,0.86,,,,,,,,,,,,
,,2013 - 2014,36,13,0.36,,,,,,,,,,,,
,,2014 - 2015,36,24,0.67,,,,,,,,,,,,
,,2015 - 2016,35,31,0.89,,,,,,,,,,,,
,,2016 - 2017,45,55,1.22,,,,,,,,,,,,
,,2017 - 2018,26,,0,,,,,,,,,,,,
,,2018 - 2019,22,17,0.77,,,,,,,,,,,,
,,2019 - 2020,53,10,0.19,,,,,,,,,,,,
,,2020 - 2021,28,23,0.82,,,,,,,,,,,,
,,2021 - 2022,3,9,3,,,,,,,,,,,,
,10. Chittorgarh,2000 - 2001,671,837,1.25,,,,,,,,,,,,
,,2001 - 2002,733,"1,010.00",1.38,,,,,,,,,,,,
,,2002 - 2003,572,251,0.44,,,,,,,,,,,,
,,2003 - 2004,627,460,0.73,,,,,,,,,,,,
,,2004 - 2005,575,340,0.59,,,,,,,,,,,,
,,2005 - 2006,413,229,0.55,,,,,,,,,,,,
,,2006 - 2007,386,158,0.41,,,,,,,,,,,,
,,2007 - 2008,401,181,0.45,,,,,,,,,,,,
,,2008 - 2009,172,129,0.75,,,,,,,,,,,,
,,2009 - 2010,212,136,0.64,,,,,,,,,,,,
,,2010 - 2011,205,155,0.76,,,,,,,,,,,,
,,2011 - 2012,205,135,0.66,,,,,,,,,,,,
,,2012 - 2013,191,181,0.95,,,,,,,,,,,,
,,2013 - 2014,183,163,0.89,,,,,,,,,,,,
,,2014 - 2015,171,233,1.36,,,,,,,,,,,,
,,2015 - 2016,163,185,1.13,,,,,,,,,,,,
,,2016 - 2017,103,102,0.99,,,,,,,,,,,,
,,2017 - 2018,84,81,0.96,,,,,,,,,,,,
,,2018 - 2019,71,77,1.08,,,,,,,,,,,,
,,2019 - 2020,51,34,0.67,,,,,,,,,,,,
,,2020 - 2021,33,41,1.24,,,,,,,,,,,,
,,2021 - 2022,35,34,0.97,,,,,,,,,,,,
,11. Churu,2000 - 2001,6,2,0.33,,,,,,,,,,,,
,,2001 - 2002,6,1,0.17,,,,,,,,,,,,
,,2002 - 2003,1,1,1,,,,,,,,,,,,
,,2003 - 2004,1,0,0,,,,,,,,,,,,
,,2004 - 2005,1,1,1,,,,,,,,,,,,
,,2015 - 2016,1,,0,,,,,,,,,,,,
,,2019 - 2020,3,2,0.67,,,,,,,,,,,,
,12. Dausa,2000 - 2001,26,67,2.58,,,,,,,,,,,,
,,2001 - 2002,25,18,0.72,,,,,,,,,,,,
,,2002 - 2003,22,19,0.86,,,,,,,,,,,,
,,2003 - 2004,51,48,0.94,,,,,,,,,,,,
,,2004 - 2005,25,15,0.6,,,,,,,,,,,,
,,2005 - 2006,16,12,0.75,,,,,,,,,,,,
,,2006 - 2007,15,15,1,,,,,,,,,,,,
,,2007 - 2008,24,24,1,,,,,,,,,,,,
,,2008 - 2009,26,29,1.12,,,,,,,,,,,,
,,2009 - 2010,45,,0,,,,,,,,,,,,
,,2010 - 2011,39,78,2,,,,,,,,,,,,
,,2011 - 2012,41,48,1.17,,,,,,,,,,,,
,,2012 - 2013,52,106,2.04,,,,,,,,,,,,
,,2013 - 2014,27,27,1,,,,,,,,,,,,
,,2014 - 2015,4,4,1,,,,,,,,,,,,
,,2015 - 2016,4,3,0.75,,,,,,,,,,,,
,,2016 - 2017,25,25,1,,,,,,,,,,,,
,13. Dholpur,2000 - 2001,959,"4,974.00",5.19,,,,,,,,,,,,
,,2001 - 2002,789,"3,891.00",4.93,,,,,,,,,,,,
,,2002 - 2003,507,827,1.63,,,,,,,,,,,,
,,2003 - 2004,715,518,0.72,,,,,,,,,,,,
,,2004 - 2005,993,"1,394.00",1.4,,,,,,,,,,,,
,,2005 - 2006,454,728,1.6,,,,,,,,,,,,
,,2006 - 2007,482,794,1.65,,,,,,,,,,,,
,,2007 - 2008,610,"1,223.00",2,,,,,,,,,,,,
,,2008 - 2009,294,588,2,,,,,,,,,,,,
,,2009 - 2010,316,454,1.44,,,,,,,,,,,,
,,2010 - 2011,304,316,1.04,,,,,,,,,,,,
,,2011 - 2012,247,198,0.8,,,,,,,,,,,,
,,2012 - 2013,164,256,1.56,,,,,,,,,,,,
,,2013 - 2014,109,87,0.8,,,,,,,,,,,,
,,2014 - 2015,142,114,0.8,,,,,,,,,,,,
,,2015 - 2016,96,72,0.75,,,,,,,,,,,,
,,2016 - 2017,90,357,3.97,,,,,,,,,,,,
,,2017 - 2018,72,280,3.89,,,,,,,,,,,,
,,2018 - 2019,138,445,3.22,,,,,,,,,,,,
,,2019 - 2020,120,394,3.28,,,,,,,,,,,,
,,2020 - 2021,105,368,3.5,,,,,,,,,,,,
,,2021 - 2022,143,414,2.9,,,,,,,,,,,,
,14. Dungarpur,2000 - 2001,193,17,0.09,,,,,,,,,,,,
,,2001 - 2002,222,20,0.09,,,,,,,,,,,,
,,2002 - 2003,122,17,0.14,,,,,,,,,,,,
,,2003 - 2004,201,161,0.8,,,,,,,,,,,,
,,2004 - 2005,177,26,0.15,,,,,,,,,,,,
,,2005 - 2006,149,17,0.11,,,,,,,,,,,,
,,2006 - 2007,161,7,0.04,,,,,,,,,,,,
,,2007 - 2008,120,96,0.8,,,,,,,,,,,,
,,2008 - 2009,157,4,0.03,,,,,,,,,,,,
,,2009 - 2010,203,6,0.03,,,,,,,,,,,,
,,2010 - 2011,170,80,0.47,,,,,,,,,,,,
,,2011 - 2012,152,30,0.2,,,,,,,,,,,,
,,2012 - 2013,146,113,0.77,,,,,,,,,,,,
,,2013 - 2014,145,34,0.23,,,,,,,,,,,,
,,2014 - 2015,129,27,0.21,,,,,,,,,,,,
,,2015 - 2016,124,13,0.1,,,,,,,,,,,,
,,2016 - 2017,98,78,0.8,,,,,,,,,,,,
,,2017 - 2018,101,80,0.79,,,,,,,,,,,,
,,2018 - 2019,102,82,0.8,,,,,,,,,,,,
,,2019 - 2020,86,6,0.07,,,,,,,,,,,,
,,2020 - 2021,67,53,0.79,,,,,,,,,,,,
,,2021 - 2022,43,32,0.74,,,,,,,,,,,,
,15. Ganganagar,2000 - 2001,106,318,3,,,,,,,,,,,,
,,2001 - 2002,58,174,3,,,,,,,,,,,,
,,2002 - 2003,89,89,1,,,,,,,,,,,,
,,2003 - 2004,78,78,1,,,,,,,,,,,,
,,2004 - 2005,60,1,0.02,,,,,,,,,,,,
,,2005 - 2006,35,35,1,,,,,,,,,,,,
,,2006 - 2007,35,35,1,,,,,,,,,,,,
,,2007 - 2008,58,58,1,,,,,,,,,,,,
,,2008 - 2009,49,48,0.98,,,,,,,,,,,,
,,2009 - 2010,85,70,0.82,,,,,,,,,,,,
,,2010 - 2011,57,50,0.88,,,,,,,,,,,,
,,2011 - 2012,43,38,0.88,,,,,,,,,,,,
,,2012 - 2013,39,,0,,,,,,,,,,,,
,,2013 - 2014,37,21,0.57,,,,,,,,,,,,
,,2014 - 2015,29,,0,,,,,,,,,,,,
,,2015 - 2016,9,360,40,,,,,,,,,,,,
,,2016 - 2017,17,27,1.59,,,,,,,,,,,,
,,2017 - 2018,10,25,2.5,,,,,,,,,,,,
,,2018 - 2019,8,94,11.75,,,,,,,,,,,,
,,2019 - 2020,5,35,7,,,,,,,,,,,,
,,2020 - 2021,14,153,10.93,,,,,,,,,,,,
,,2021 - 2022,38,477,12.55,,,,,,,,,,,,
,16. Hanumangarh,2000 - 2001,12,12,1,,,,,,,,,,,,
,,2001 - 2002,5,5,1,,,,,,,,,,,,
,,2002 - 2003,6,2,0.33,,,,,,,,,,,,
,,2003 - 2004,11,5,0.45,,,,,,,,,,,,
,,2004 - 2005,15,10,0.67,,,,,,,,,,,,
,,2005 - 2006,75,36,0.48,,,,,,,,,,,,
,,2006 - 2007,10,10,1,,,,,,,,,,,,
,,2007 - 2008,51,60,1.18,,,,,,,,,,,,
,,2008 - 2009,35,30,0.86,,,,,,,,,,,,
,,2009 - 2010,50,31,0.62,,,,,,,,,,,,
,,2010 - 2011,123,104,0.85,,,,,,,,,,,,
,,2011 - 2012,60,43,0.72,,,,,,,,,,,,
,,2012 - 2013,12,12,1,,,,,,,,,,,,
,,2013 - 2014,15,19,1.27,,,,,,,,,,,,
,,2014 - 2015,10,9,0.9,,,,,,,,,,,,
,,2015 - 2016,19,10,0.53,,,,,,,,,,,,
,,2016 - 2017,21,16,0.76,,,,,,,,,,,,
,,2017 - 2018,9,8,0.89,,,,,,,,,,,,
,,2018 - 2019,39,27,0.69,,,,,,,,,,,,
,,2019 - 2020,3,,0,,,,,,,,,,,,
,,2020 - 2021,64,23,0.36,,,,,,,,,,,,
,,2021 - 2022,20,9,0.45,,,,,,,,,,,,
,17. Jaipur,2000 - 2001,608,327,0.54,,,,,,,,,,,,
,,2001 - 2002,647,464,0.72,,,,,,,,,,,,
,,2002 - 2003,673,276,0.41,,,,,,,,,,,,
,,2003 - 2004,"1,836.00","1,343.00",0.73,,,,,,,,,,,,
,,2004 - 2005,"1,519.00","1,100.00",0.72,,,,,,,,,,,,
,,2005 - 2006,"1,458.00","3,376.00",2.32,,,,,,,,,,,,
,,2006 - 2007,"1,495.00","1,214.00",0.81,,,,,,,,,,,,
,,2007 - 2008,"1,516.00","2,839.00",1.87,,,,,,,,,,,,
,,2008 - 2009,"1,874.00","2,897.00",1.55,,,,,,,,,,,,
,,2009 - 2010,854,336,0.39,,,,,,,,,,,,
,,2010 - 2011,787,552,0.7,,,,,,,,,,,,
,,2011 - 2012,676,375,0.55,,,,,,,,,,,,
,,2012 - 2013,877,915,1.04,,,,,,,,,,,,
,,2013 - 2014,881,220,0.25,,,,,,,,,,,,
,,2014 - 2015,"1,236.00",309,0.25,,,,,,,,,,,,
,,2015 - 2016,"1,296.00",584,0.45,,,,,,,,,,,,
,,2016 - 2017,"1,309.00","1,417.00",1.08,,,,,,,,,,,,
,,2017 - 2018,312,271,0.87,,,,,,,,,,,,
,,2018 - 2019,461,398,0.86,,,,,,,,,,,,
,,2019 - 2020,721,"1,183.00",1.64,,,,,,,,,,,,
,,2020 - 2021,698,738,1.06,,,,,,,,,,,,
,,2021 - 2022,"1,083.00","1,210.00",1.12,,,,,,,,,,,,
,18. Jaisalmer,2000 - 2001,223,89,0.4,,,,,,,,,,,,
,,2001 - 2002,162,157,0.97,,,,,,,,,,,,
,,2002 - 2003,163,,0,,,,,,,,,,,,
,,2003 - 2004,206,155,0.75,,,,,,,,,,,,
,,2004 - 2005,130,13,0.1,,,,,,,,,,,,
,,2005 - 2006,43,34,0.79,,,,,,,,,,,,
,,2006 - 2007,22,22,1,,,,,,,,,,,,
,,2007 - 2008,31,25,0.81,,,,,,,,,,,,
,,2008 - 2009,21,11,0.52,,,,,,,,,,,,
,,2009 - 2010,15,8,0.53,,,,,,,,,,,,
,,2010 - 2011,18,9,0.5,,,,,,,,,,,,
,,2011 - 2012,4,2,0.5,,,,,,,,,,,,
,,2012 - 2013,15,8,0.53,,,,,,,,,,,,
,,2013 - 2014,8,4,0.5,,,,,,,,,,,,
,,2014 - 2015,4,2,0.5,,,,,,,,,,,,
,,2015 - 2016,6,3,0.5,,,,,,,,,,,,
,,2016 - 2017,14,7,0.5,,,,,,,,,,,,
,,2017 - 2018,9,5,0.56,,,,,,,,,,,,
,,2018 - 2019,14,7,0.5,,,,,,,,,,,,
,,2019 - 2020,7,3,0.43,,,,,,,,,,,,
,,2020 - 2021,4,4,1,,,,,,,,,,,,
,,2021 - 2022,5,4,0.8,,,,,,,,,,,,
,19. Jalore,2000 - 2001,641,641,1,,,,,,,,,,,,
,,2001 - 2002,827,"1,819.00",2.2,,,,,,,,,,,,
,,2002 - 2003,393,"3,346.00",8.51,,,,,,,,,,,,
,,2003 - 2004,561,"1,290.00",2.3,,,,,,,,,,,,
,,2004 - 2005,740,"1,184.00",1.6,,,,,,,,,,,,
,,2005 - 2006,486,"1,361.00",2.8,,,,,,,,,,,,
,,2006 - 2007,452,"1,853.00",4.1,,,,,,,,,,,,
,,2007 - 2008,743,"2,155.00",2.9,,,,,,,,,,,,
,,2008 - 2009,541,"1,623.00",3,,,,,,,,,,,,
,,2009 - 2010,319,957,3,,,,,,,,,,,,
,,2010 - 2011,372,893,2.4,,,,,,,,,,,,
,,2011 - 2012,388,"1,164.00",3,,,,,,,,,,,,
,,2012 - 2013,464,"1,067.00",2.3,,,,,,,,,,,,
,,2013 - 2014,376,752,2,,,,,,,,,,,,
,,2014 - 2015,659,"1,318.00",2,,,,,,,,,,,,
,,2015 - 2016,"1,008.00","1,714.00",1.7,,,,,,,,,,,,
,,2016 - 2017,878,"1,317.00",1.5,,,,,,,,,,,,
,,2017 - 2018,861,"1,429.00",1.66,,,,,,,,,,,,
,,2018 - 2019,"1,367.00","2,734.00",2,,,,,,,,,,,,
,,2019 - 2020,"1,089.00","2,178.00",2,,,,,,,,,,,,
,,2020 - 2021,"1,023.00","1,943.00",1.9,,,,,,,,,,,,
,,2021 - 2022,"1,237.00","1,979.00",1.6,,,,,,,,,,,,
,20. Jhalawar,2000 - 2001,647,721,1.11,,,,,,,,,,,,
,,2001 - 2002,782,"1,062.00",1.36,,,,,,,,,,,,
,,2002 - 2003,674,165,0.24,,,,,,,,,,,,
,,2003 - 2004,648,271,0.42,,,,,,,,,,,,
,,2004 - 2005,594,243,0.41,,,,,,,,,,,,
,,2005 - 2006,409,157,0.38,,,,,,,,,,,,
,,2006 - 2007,448,159,0.35,,,,,,,,,,,,
,,2007 - 2008,491,399,0.81,,,,,,,,,,,,
,,2008 - 2009,356,143,0.4,,,,,,,,,,,,
,,2009 - 2010,437,422,0.97,,,,,,,,,,,,
,,2010 - 2011,455,455,1,,,,,,,,,,,,
,,2011 - 2012,457,375,0.82,,,,,,,,,,,,
,,2012 - 2013,397,314,0.79,,,,,,,,,,,,
,,2013 - 2014,287,201,0.7,,,,,,,,,,,,
,,2014 - 2015,312,249,0.8,,,,,,,,,,,,
,,2015 - 2016,318,231,0.73,,,,,,,,,,,,
,,2016 - 2017,236,165,0.7,,,,,,,,,,,,
,,2017 - 2018,177,89,0.5,,,,,,,,,,,,
,,2018 - 2019,152,164,1.08,,,,,,,,,,,,
,,2019 - 2020,124,31,0.25,,,,,,,,,,,,
,,2020 - 2021,71,102,1.44,,,,,,,,,,,,
,,2021 - 2022,70,119,1.7,,,,,,,,,,,,
,21. Jhunjhunu,2000 - 2001,595,548,0.92,,,,,,,,,,,,
,,2001 - 2002,548,548,1,,,,,,,,,,,,
,,2002 - 2003,439,207,0.47,,,,,,,,,,,,
,,2003 - 2004,354,352,0.99,,,,,,,,,,,,
,,2004 - 2005,345,345,1,,,,,,,,,,,,
,,2005 - 2006,346,"1,384.00",4,,,,,,,,,,,,
,,2006 - 2007,333,68,0.2,,,,,,,,,,,,
,,2007 - 2008,372,372,1,,,,,,,,,,,,
,,2008 - 2009,599,599,1,,,,,,,,,,,,
,,2009 - 2010,419,46,0.11,,,,,,,,,,,,
,,2010 - 2011,363,228,0.63,,,,,,,,,,,,
,,2011 - 2012,293,293,1,,,,,,,,,,,,
,,2012 - 2013,238,238,1,,,,,,,,,,,,
,,2013 - 2014,206,206,1,,,,,,,,,,,,
,,2014 - 2015,151,76,0.5,,,,,,,,,,,,
,,2015 - 2016,140,70,0.5,,,,,,,,,,,,
,,2016 - 2017,114,57,0.5,,,,,,,,,,,,
,,2017 - 2018,100,50,0.5,,,,,,,,,,,,
,,2018 - 2019,83,42,0.51,,,,,,,,,,,,
,,2019 - 2020,82,41,0.5,,,,,,,,,,,,
,,2020 - 2021,107,54,0.5,,,,,,,,,,,,
,,2021 - 2022,103,50,0.49,,,,,,,,,,,,
,22. Jodhpur,2000 - 2001,"9,705.00","8,735.00",0.9,,,,,,,,,,,,
,,2001 - 2002,"10,166.00","10,166.00",1,,,,,,,,,,,,
,,2002 - 2003,"7,316.00","5,329.00",0.73,,,,,,,,,,,,
,,2003 - 2004,"9,639.00","7,711.00",0.8,,,,,,,,,,,,
,,2004 - 2005,"8,393.00","6,712.00",0.8,,,,,,,,,,,,
,,2005 - 2006,"5,902.00","3,451.00",0.58,,,,,,,,,,,,
,,2006 - 2007,"5,429.00",323,0.06,,,,,,,,,,,,
,,2007 - 2008,"5,917.00","3,550.00",0.6,,,,,,,,,,,,
,,2008 - 2009,"3,900.00","2,340.00",0.6,,,,,,,,,,,,
,,2009 - 2010,"2,245.00",727,0.32,,,,,,,,,,,,
,,2010 - 2011,"2,191.00",876,0.4,,,,,,,,,,,,
,,2011 - 2012,"1,937.00",969,0.5,,,,,,,,,,,,
,,2012 - 2013,"1,261.00",631,0.5,,,,,,,,,,,,
,,2013 - 2014,"1,107.00",538,0.49,,,,,,,,,,,,
,,2014 - 2015,"1,147.00",574,0.5,,,,,,,,,,,,
,,2015 - 2016,"1,369.00",666,0.49,,,,,,,,,,,,
,,2016 - 2017,"1,241.00",621,0.5,,,,,,,,,,,,
,,2017 - 2018,"1,013.00",507,0.5,,,,,,,,,,,,
,,2018 - 2019,856,426,0.5,,,,,,,,,,,,
,,2019 - 2020,692,346,0.5,,,,,,,,,,,,
,,2020 - 2021,740,444,0.6,,,,,,,,,,,,
,,2021 - 2022,821,491,0.6,,,,,,,,,,,,
,23. Karauli,2000 - 2001,"1,457.00","1,225.00",0.84,,,,,,,,,,,,
,,2001 - 2002,"1,208.00",613,0.51,,,,,,,,,,,,
,,2002 - 2003,594,12,0.02,,,,,,,,,,,,
,,2003 - 2004,664,"2,148.00",3.23,,,,,,,,,,,,
,,2004 - 2005,920,318,0.35,,,,,,,,,,,,
,,2005 - 2006,364,139,0.38,,,,,,,,,,,,
,,2006 - 2007,314,138,0.44,,,,,,,,,,,,
,,2007 - 2008,341,106,0.31,,,,,,,,,,,,
,,2008 - 2009,206,619,3,,,,,,,,,,,,
,,2009 - 2010,176,176,1,,,,,,,,,,,,
,,2010 - 2011,134,300,2.24,,,,,,,,,,,,
