State,District,Year,Dry chillies,,,,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2002 - 2003,,,,"4,474.00","6,899.00",1.54,"11,789.00","13,805.00",1.17,,,,,,
,,2003 - 2004,,,,"4,391.00","10,574.00",2.41,"14,050.00","35,027.00",2.49,,,,,,
,,2004 - 2005,,,,"3,410.00","10,339.00",3.03,"16,203.00","24,742.00",1.53,,,,,,
,,2005 - 2006,,,,"1,995.00","6,843.00",3.43,"8,329.00","17,349.00",2.08,,,,,,
,,2006 - 2007,,,,"5,635.00","23,177.00",4.11,"13,584.00","40,643.00",2.99,,,,,,
,,2007 - 2008,,,,"5,000.00","14,000.00",2.8,"16,000.00","44,000.00",2.75,,,,,,
,,2008 - 2009,,,,"4,369.00","26,581.00",6.08,"13,404.00","33,577.00",2.5,,,,,,
,,2009 - 2010,,,,"5,680.00","30,564.00",5.38,"12,285.00","31,830.00",2.59,,,,,,
,,2010 - 2011,,,,"4,207.00","24,194.00",5.75,"12,605.00","40,210.00",3.19,,,,,,
,,2011 - 2012,,,,"10,727.00","51,533.00",4.8,"21,257.00","55,056.00",2.59,,,,,,
,,2012 - 2013,,,,"5,000.00","21,000.00",4.2,"17,000.00","66,000.00",3.88,,,,,,
,,2013 - 2014,,,,"7,842.00","44,731.00",5.7,"20,316.00","79,090.00",3.89,,,,,,
,,2014 - 2015,,,,"10,867.00","73,244.00",6.74,"21,371.00","75,824.00",3.55,,,,,,
,,2015 - 2016,,,,"9,491.00","39,634.00",4.18,"34,364.00","1,26,219.00",3.67,,,,,,
,,2016 - 2017,,,,"17,805.00","43,017.00",2.42,"39,648.00","1,30,244.00",3.29,,,,,,
,,2017 - 2018,,,,"5,335.00","29,524.00",5.53,"16,663.00","73,434.00",4.41,,,,,,
,,2018 - 2019,,,,"5,127.00","14,786.00",2.88,"25,264.00","61,973.00",2.45,,,,,,
,,2019 - 2020,,,,"8,471.00","45,413.00",5.36,"27,050.00","86,966.00",3.22,,,,,,
,,2020 - 2021,,,,"23,922.00","79,947.00",3.34,"27,133.00","1,01,830.00",3.75,,,,,,
,,2021 - 2022,,,,"10,675.00","22,866.00",2.14,"40,804.00","61,900.00",1.52,,,,,,
,,2022 - 2023,,,,"6,459.00","30,125.00",4.66,"27,918.00","98,188.00",3.52,,,,,,
,19. Spsr nellore,2000 - 2001,,,,"2,318.00","7,353.00",3.17,202,558,2.76,,,,,,
,,2001 - 2002,,,,"1,941.00","5,868.00",3.02,55,199,3.62,,,,,,
,,2002 - 2003,,,,"2,779.00","7,514.00",2.7,55,109,1.98,,,,,,
,,2003 - 2004,,,,"3,576.00","9,537.00",2.67,229,"1,009.00",4.41,,,,,,
,,2004 - 2005,,,,"2,746.00","5,184.00",1.89,82,339,4.13,,,,,,
,,2005 - 2006,,,,"1,775.00","4,448.00",2.51,282,"1,182.00",4.19,,,,,,
,,2006 - 2007,,,,"2,742.00","8,755.00",3.19,83,374,4.51,,,,,,
,,2007 - 2008,,,,"2,000.00","3,000.00",1.5,"1,000.00","2,000.00",2,,,,,,
,,2008 - 2009,,,,"1,511.00","2,768.00",1.83,49,219,4.47,,,,,,
,,2009 - 2010,,,,"1,286.00","7,488.00",5.82,23,110,4.78,,,,,,
,,2010 - 2011,,,,"1,037.00","3,863.00",3.73,7,23,3.29,,,,,,
,,2011 - 2012,,,,"2,097.00","9,650.00",4.6,24,91,3.79,,,,,,
,,2012 - 2013,,,,"1,000.00","8,000.00",8,,,,,,,,,
,,2013 - 2014,,,,"1,153.00","4,871.00",4.22,65,315,4.85,,,,,,
,,2014 - 2015,,,,"1,423.00","9,067.00",6.37,,,,,,,,,
,,2015 - 2016,,,,"2,145.00","14,198.00",6.62,,,,,,,,,
,,2016 - 2017,,,,"2,441.00","20,287.00",8.31,,,,,,,,,
