State,District,Year,Garlic,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2009 - 2010,,,,7,38,5.43,,,
,,2011 - 2012,,,,5,26,5.2,,,
,,2012 - 2013,,,,6,31,5.17,,,
,,2013 - 2014,,,,6,35,5.83,,,
,,2014 - 2015,,,,10,58,5.8,,,
,,2016 - 2017,,,,5,32,6.4,,,
,,2017 - 2018,,,,5,27,5.4,,,
,,2018 - 2019,,,,2,13,6.5,,,
,,2019 - 2020,,,,4,24,6,,,
,,2020 - 2021,,,,3,18,6,,,
,,2021 - 2022,,,,4,25,6.25,,,
,,2022 - 2023,,,,4,24,6,,,
,34. Hapur,2013 - 2014,,,,203,"1,189.00",5.86,,,
,,2016 - 2017,,,,1,6,6,,,
,35. Hardoi,2004 - 2005,121,524,4.33,,,,,,
,,2005 - 2006,127,553,4.35,,,,,,
,,2006 - 2007,,,,329,"1,447.00",4.4,,,
,,2008 - 2009,,,,301,"1,773.00",5.89,,,
,,2009 - 2010,,,,189,"1,004.00",5.31,,,
,,2011 - 2012,,,,218,"1,127.00",5.17,,,
,,2012 - 2013,,,,236,"1,226.00",5.19,,,
,,2013 - 2014,,,,173,"1,014.00",5.86,,,
,,2014 - 2015,,,,148,857,5.79,,,
,,2015 - 2016,,,,157,905,5.76,,,
,,2016 - 2017,,,,187,"1,189.00",6.36,,,
,,2017 - 2018,,,,176,943,5.36,,,
,,2018 - 2019,,,,118,782,6.63,,,
,,2019 - 2020,,,,157,942,6,,,
,,2020 - 2021,,,,159,944,5.94,,,
,,2021 - 2022,,,,159,978,6.15,,,
,,2022 - 2023,,,,154,934,6.06,,,
,36. Hathras,2004 - 2005,77,334,4.34,,,,,,
,,2005 - 2006,120,523,4.36,,,,,,
,,2006 - 2007,,,,144,633,4.4,,,
,,2008 - 2009,,,,160,942,5.89,,,
,,2009 - 2010,,,,206,"1,094.00",5.31,,,
,,2011 - 2012,,,,249,"1,287.00",5.17,,,
,,2012 - 2013,,,,112,582,5.2,,,
,,2013 - 2014,,,,119,697,5.86,,,
,,2014 - 2015,,,,84,487,5.8,,,
,,2015 - 2016,,,,58,334,5.76,,,
,,2016 - 2017,,,,160,"1,018.00",6.36,,,
,,2017 - 2018,,,,142,761,5.36,,,
,,2018 - 2019,,,,113,749,6.63,,,
,,2019 - 2020,,,,131,786,6,,,
,,2020 - 2021,,,,121,718,5.93,,,
,,2021 - 2022,,,,122,751,6.16,,,
,,2022 - 2023,,,,126,764,6.06,,,
,37. Jalaun,2008 - 2009,,,,1,6,6,,,
,,2009 - 2010,,,,2,10,5,,,
,,2011 - 2012,,,,1,5,5,,,
,,2014 - 2015,,,,2,12,6,,,
,,2015 - 2016,,,,1,6,6,,,
,,2017 - 2018,,,,1,5,5,,,
,,2018 - 2019,,,,1,7,7,,,
,,2019 - 2020,,,,1,6,6,,,
,,2020 - 2021,,,,1,6,6,,,
,,2021 - 2022,,,,1,6,6,,,
,38. Jaunpur,2005 - 2006,9,39,4.33,,,,,,
,,2006 - 2007,,,,36,158,4.39,,,
,,2008 - 2009,,,,22,130,5.91,,,
,,2009 - 2010,,,,53,282,5.32,,,
,,2011 - 2012,,,,16,83,5.19,,,
,,2012 - 2013,,,,20,104,5.2,,,
,,2013 - 2014,,,,20,117,5.85,,,
,,2014 - 2015,,,,22,127,5.77,,,
,,2015 - 2016,,,,16,92,5.75,,,
,,2016 - 2017,,,,19,121,6.37,,,
,,2017 - 2018,,,,19,102,5.37,,,
,,2018 - 2019,,,,19,126,6.63,,,
,,2019 - 2020,,,,19,114,6,,,
,,2020 - 2021,,,,23,137,5.96,,,
,,2021 - 2022,,,,20,123,6.15,,,
,,2022 - 2023,,,,20,121,6.05,,,
,39. Jhansi,2004 - 2005,13,56,4.31,,,,,,
,,2006 - 2007,,,,4,18,4.5,,,
,,2008 - 2009,,,,5,29,5.8,,,
,,2009 - 2010,,,,2,11,5.5,,,
,,2011 - 2012,,,,9,46,5.11,,,
,,2012 - 2013,,,,3,16,5.33,,,
,,2013 - 2014,,,,9,53,5.89,,,
,,2016 - 2017,,,,2,13,6.5,,,
,,2017 - 2018,,,,3,16,5.33,,,
,,2018 - 2019,,,,3,20,6.67,,,
,,2019 - 2020,,,,2,12,6,,,
,,2020 - 2021,,,,2,12,6,,,
,,2021 - 2022,,,,2,12,6,,,
,,2022 - 2023,,,,2,12,6,,,
,40. Kannauj,2004 - 2005,133,576,4.33,,,,,,
,,2005 - 2006,"1,851.00","8,065.00",4.36,,,,,,
,,2006 - 2007,,,,"1,248.00","5,487.00",4.4,,,
,,2008 - 2009,,,,"1,916.00","11,285.00",5.89,,,
,,2009 - 2010,,,,"1,617.00","8,592.00",5.31,,,
,,2011 - 2012,,,,"2,019.00","10,434.00",5.17,,,
,,2012 - 2013,,,,"2,101.00","10,913.00",5.19,,,
,,2013 - 2014,,,,"1,537.00","9,005.00",5.86,,,
,,2014 - 2015,,,,"1,544.00","8,943.00",5.79,,,
,,2015 - 2016,,,,870,"5,014.00",5.76,,,
,,2016 - 2017,,,,"1,473.00","9,368.00",6.36,,,
,,2017 - 2018,,,,"1,505.00","8,060.00",5.36,,,
,,2018 - 2019,,,,"1,386.00","9,183.00",6.63,,,
,,2019 - 2020,,,,"1,473.00","8,841.00",6,,,
,,2020 - 2021,,,,"1,341.00","7,960.00",5.94,,,
,,2021 - 2022,,,,"1,436.00","8,834.00",6.15,,,
,,2022 - 2023,,,,"1,506.00","9,130.00",6.06,,,
,41. Kanpur dehat,2004 - 2005,1,4,4,,,,,,
,,2005 - 2006,145,632,4.36,,,,,,
,,2006 - 2007,,,,93,409,4.4,,,
,,2008 - 2009,,,,193,"1,137.00",5.89,,,
,,2009 - 2010,,,,119,632,5.31,,,
,,2011 - 2012,,,,224,"1,157.00",5.17,,,
,,2012 - 2013,,,,217,"1,127.00",5.19,,,
,,2013 - 2014,,,,161,944,5.86,,,
,,2014 - 2015,,,,202,"1,170.00",5.79,,,
,,2015 - 2016,,,,183,"1,055.00",5.77,,,
,,2016 - 2017,,,,206,"1,310.00",6.36,,,
,,2017 - 2018,,,,192,"1,028.00",5.35,,,
,,2018 - 2019,,,,189,"1,252.00",6.62,,,
,,2019 - 2020,,,,210,"1,261.00",6,,,
,,2020 - 2021,,,,179,"1,062.00",5.93,,,
,,2021 - 2022,,,,214,"1,316.00",6.15,,,
,,2022 - 2023,,,,197,"1,194.00",6.06,,,
,42. Kanpur nagar,2005 - 2006,29,126,4.34,,,,,,
,,2006 - 2007,,,,142,624,4.39,,,
,,2008 - 2009,,,,52,306,5.88,,,
,,2009 - 2010,,,,50,266,5.32,,,
,,2011 - 2012,,,,135,698,5.17,,,
,,2012 - 2013,,,,147,764,5.2,,,
,,2013 - 2014,,,,96,562,5.85,,,
,,2014 - 2015,,,,66,382,5.79,,,
,,2015 - 2016,,,,53,305,5.75,,,
,,2016 - 2017,,,,88,560,6.36,,,
,,2017 - 2018,,,,90,482,5.36,,,
,,2018 - 2019,,,,79,523,6.62,,,
,,2019 - 2020,,,,71,426,6,,,
,,2020 - 2021,,,,76,451,5.93,,,
,,2021 - 2022,,,,55,338,6.15,,,
,,2022 - 2023,,,,74,449,6.07,,,
,43. Kasganj,2009 - 2010,,,,"4,629.00","24,594.00",5.31,,,
,,2011 - 2012,,,,"4,463.00","23,065.00",5.17,,,
,,2012 - 2013,,,,"2,744.00","14,252.00",5.19,,,
,,2013 - 2014,,,,"4,370.00","25,604.00",5.86,,,
,,2014 - 2015,,,,"3,908.00","22,636.00",5.79,,,
,,2015 - 2016,,,,"3,468.00","19,985.00",5.76,,,
,,2016 - 2017,,,,"3,640.00","23,149.00",6.36,,,
,,2017 - 2018,,,,"3,626.00","19,418.00",5.36,,,
,,2018 - 2019,,,,"3,802.00","25,190.00",6.63,,,
,,2019 - 2020,,,,"3,689.00","22,140.00",6,,,
,,2020 - 2021,,,,"3,645.00","21,637.00",5.94,,,
,,2021 - 2022,,,,"3,680.00","22,637.00",6.15,,,
,,2022 - 2023,,,,"3,738.00","22,662.00",6.06,,,
,44. Kaushambi,2004 - 2005,63,273,4.33,,,,,,
,,2005 - 2006,54,235,4.35,,,,,,
,,2006 - 2007,,,,57,250,4.39,,,
,,2008 - 2009,,,,94,554,5.89,,,
,,2009 - 2010,,,,36,192,5.33,,,
,,2011 - 2012,,,,90,465,5.17,,,
,,2012 - 2013,,,,65,337,5.18,,,
,,2013 - 2014,,,,95,557,5.86,,,
,,2014 - 2015,,,,104,602,5.79,,,
,,2015 - 2016,,,,149,859,5.77,,,
,,2016 - 2017,,,,107,680,6.36,,,
,,2017 - 2018,,,,104,557,5.36,,,
,,2018 - 2019,,,,112,742,6.63,,,
,,2019 - 2020,,,,115,690,6,,,
,,2020 - 2021,,,,117,695,5.94,,,
,,2021 - 2022,,,,94,578,6.15,,,
,,2022 - 2023,,,,108,655,6.06,,,
,45. Kheri,2004 - 2005,9,39,4.33,,,,,,
,,2005 - 2006,133,579,4.35,,,,,,
,,2006 - 2007,,,,53,233,4.4,,,
,,2008 - 2009,,,,67,395,5.9,,,
,,2009 - 2010,,,,61,324,5.31,,,
,,2011 - 2012,,,,140,723,5.16,,,
,,2012 - 2013,,,,126,654,5.19,,,
,,2013 - 2014,,,,64,375,5.86,,,
,,2014 - 2015,,,,67,388,5.79,,,
,,2015 - 2016,,,,81,467,5.77,,,
,,2016 - 2017,,,,40,254,6.35,,,
,,2017 - 2018,,,,50,268,5.36,,,
,,2018 - 2019,,,,60,398,6.63,,,
,,2019 - 2020,,,,35,210,6,,,
,,2020 - 2021,,,,53,315,5.94,,,
,,2021 - 2022,,,,48,295,6.15,,,
,,2022 - 2023,,,,49,297,6.06,,,
,46. Kushi nagar,2004 - 2005,8,35,4.38,,,,,,
,,2005 - 2006,2,9,4.5,,,,,,
,,2006 - 2007,,,,22,97,4.41,,,
,,2008 - 2009,,,,7,41,5.86,,,
,,2009 - 2010,,,,8,43,5.38,,,
,,2011 - 2012,,,,9,47,5.22,,,
,,2012 - 2013,,,,5,26,5.2,,,
,,2013 - 2014,,,,3,17,5.67,,,
,,2014 - 2015,,,,5,29,5.8,,,
,,2015 - 2016,,,,8,46,5.75,,,
,,2016 - 2017,,,,5,32,6.4,,,
,,2017 - 2018,,,,5,27,5.4,,,
,,2018 - 2019,,,,5,33,6.6,,,
,,2019 - 2020,,,,4,24,6,,,
,,2020 - 2021,,,,5,30,6,,,
,,2021 - 2022,,,,4,25,6.25,,,
,,2022 - 2023,,,,16,97,6.06,,,
,47. Lalitpur,2005 - 2006,5,22,4.4,,,,,,
,,2008 - 2009,,,,1,6,6,,,
,,2009 - 2010,,,,3,16,5.33,,,
,,2011 - 2012,,,,3,16,5.33,,,
,,2012 - 2013,,,,6,31,5.17,,,
,,2014 - 2015,,,,3,17,5.67,,,
,,2015 - 2016,,,,3,17,5.67,,,
,,2016 - 2017,,,,8,51,6.38,,,
,,2017 - 2018,,,,4,22,5.5,,,
,,2018 - 2019,,,,4,26,6.5,,,
,,2019 - 2020,,,,4,24,6,,,
,,2020 - 2021,,,,5,30,6,,,
,,2021 - 2022,,,,5,31,6.2,,,
,,2022 - 2023,,,,4,24,6,,,
,48. Lucknow,2004 - 2005,5,22,4.4,,,,,,
,,2005 - 2006,91,397,4.36,,,,,,
,,2006 - 2007,,,,190,835,4.39,,,
,,2008 - 2009,,,,81,477,5.89,,,
,,2009 - 2010,,,,81,430,5.31,,,
,,2011 - 2012,,,,86,444,5.16,,,
,,2012 - 2013,,,,83,431,5.19,,,
,,2013 - 2014,,,,189,"1,107.00",5.86,,,
,,2014 - 2015,,,,103,597,5.8,,,
,,2015 - 2016,,,,70,403,5.76,,,
,,2016 - 2017,,,,80,509,6.36,,,
,,2017 - 2018,,,,105,562,5.35,,,
,,2018 - 2019,,,,60,398,6.63,,,
,,2019 - 2020,,,,104,624,6,,,
,,2020 - 2021,,,,123,730,5.93,,,
,,2021 - 2022,,,,130,800,6.15,,,
,,2022 - 2023,,,,104,631,6.07,,,
,49. Maharajganj,2004 - 2005,1,4,4,,,,,,
,,2006 - 2007,,,,13,57,4.38,,,
,,2008 - 2009,,,,1,6,6,,,
,,2009 - 2010,,,,3,16,5.33,,,
,,2012 - 2013,,,,1,5,5,,,
,,2014 - 2015,,,,1,6,6,,,
,,2018 - 2019,,,,5,33,6.6,,,
,,2021 - 2022,,,,1,6,6,,,
,,2022 - 2023,,,,11,67,6.09,,,
,50. Mahoba,2004 - 2005,1,4,4,,,,,,
,,2008 - 2009,,,,1,6,6,,,
,,2009 - 2010,,,,1,5,5,,,
,,2014 - 2015,,,,1,6,6,,,
,,2015 - 2016,,,,2,11,5.5,,,
,,2016 - 2017,,,,5,32,6.4,,,
,,2017 - 2018,,,,2,11,5.5,,,
,,2018 - 2019,,,,4,26,6.5,,,
,,2019 - 2020,,,,3,18,6,,,
,,2020 - 2021,,,,3,18,6,,,
,,2021 - 2022,,,,3,18,6,,,
,,2022 - 2023,,,,3,18,6,,,
,51. Mainpuri,2004 - 2005,"15,317.00","66,336.00",4.33,,,,,,
,,2005 - 2006,"8,353.00","36,395.00",4.36,,,,,,
,,2006 - 2007,,,,"6,876.00","30,234.00",4.4,,,
,,2008 - 2009,,,,"7,974.00","46,967.00",5.89,,,
,,2009 - 2010,,,,"8,784.00","46,669.00",5.31,,,
,,2011 - 2012,,,,"8,112.00","41,923.00",5.17,,,
,,2012 - 2013,,,,"8,536.00","44,336.00",5.19,,,
,,2013 - 2014,,,,"7,865.00","46,081.00",5.86,,,
,,2014 - 2015,,,,"6,937.00","40,181.00",5.79,,,
,,2015 - 2016,,,,"8,398.00","48,395.00",5.76,,,
,,2016 - 2017,,,,"7,970.00","50,686.00",6.36,,,
,,2017 - 2018,,,,"7,941.00","42,527.00",5.36,,,
,,2018 - 2019,,,,"7,822.00","51,824.00",6.63,,,
,,2019 - 2020,,,,"7,814.00","46,897.00",6,,,
,,2020 - 2021,,,,"8,014.00","47,573.00",5.94,,,
,,2021 - 2022,,,,"7,912.00","48,670.00",6.15,,,
,,2022 - 2023,,,,"8,201.00","49,720.00",6.06,,,
,52. Mathura,2004 - 2005,1,4,4,,,,,,
,,2005 - 2006,3,13,4.33,,,,,,
,,2006 - 2007,,,,10,44,4.4,,,
,,2008 - 2009,,,,6,35,5.83,,,
,,2009 - 2010,,,,4,21,5.25,,,
,,2011 - 2012,,,,4,21,5.25,,,
,,2015 - 2016,,,,8,46,5.75,,,
,,2017 - 2018,,,,2,11,5.5,,,
,,2018 - 2019,,,,2,13,6.5,,,
,,2019 - 2020,,,,7,42,6,,,
,,2020 - 2021,,,,7,41,5.86,,,
,,2021 - 2022,,,,4,25,6.25,,,
,,2022 - 2023,,,,4,24,6,,,
,53. Mau,2004 - 2005,7,31,4.43,,,,,,
,,2005 - 2006,3,13,4.33,,,,,,
,,2006 - 2007,,,,20,88,4.4,,,
,,2008 - 2009,,,,1,6,6,,,
,,2009 - 2010,,,,11,58,5.27,,,
,,2011 - 2012,,,,1,5,5,,,
,,2012 - 2013,,,,5,26,5.2,,,
,,2013 - 2014,,,,1,6,6,,,
,,2014 - 2015,,,,1,6,6,,,
,,2015 - 2016,,,,1,6,6,,,
,,2016 - 2017,,,,1,6,6,,,
,,2017 - 2018,,,,1,5,5,,,
,,2018 - 2019,,,,1,7,7,,,
,,2019 - 2020,,,,1,6,6,,,
,,2020 - 2021,,,,1,6,6,,,
,,2021 - 2022,,,,2,12,6,,,
,,2022 - 2023,,,,1,6,6,,,
,54. Meerut,2004 - 2005,3,13,4.33,,,,,,
,,2005 - 2006,2,8,4,,,,,,
,,2008 - 2009,,,,2,12,6,,,
,,2009 - 2010,,,,1,5,5,,,
,,2011 - 2012,,,,15,78,5.2,,,
,,2013 - 2014,,,,1,6,6,,,
,55. Mirzapur,2004 - 2005,2,9,4.5,,,,,,
,,2005 - 2006,2,9,4.5,,,,,,
,,2006 - 2007,,,,16,71,4.44,,,
,,2008 - 2009,,,,1,6,6,,,
,,2009 - 2010,,,,1,5,5,,,
,,2011 - 2012,,,,4,21,5.25,,,
,56. Moradabad,2004 - 2005,37,160,4.32,,,,,,
,,2005 - 2006,3,13,4.33,,,,,,
,,2006 - 2007,,,,44,193,4.39,,,
,,2008 - 2009,,,,62,365,5.89,,,
,,2009 - 2010,,,,34,181,5.32,,,
,,2011 - 2012,,,,25,129,5.16,,,
,,2012 - 2013,,,,7,36,5.14,,,
,,2013 - 2014,,,,17,100,5.88,,,
,,2014 - 2015,,,,7,40,5.71,,,
,,2016 - 2017,,,,11,70,6.36,,,
,,2017 - 2018,,,,8,43,5.38,,,
,,2018 - 2019,,,,9,60,6.67,,,
,,2019 - 2020,,,,8,48,6,,,
,,2020 - 2021,,,,7,41,5.86,,,
,,2021 - 2022,,,,8,49,6.13,,,
,,2022 - 2023,,,,8,49,6.13,,,
,57. Muzaffarnagar,2004 - 2005,86,372,4.33,,,,,,
,,2005 - 2006,61,266,4.36,,,,,,
,,2006 - 2007,,,,100,440,4.4,,,
,,2008 - 2009,,,,55,324,5.89,,,
,,2009 - 2010,,,,65,345,5.31,,,
,,2011 - 2012,,,,34,176,5.18,,,
,,2012 - 2013,,,,2,10,5,,,
,,2013 - 2014,,,,43,252,5.86,,,
,,2014 - 2015,,,,40,232,5.8,,,
,,2015 - 2016,,,,35,202,5.77,,,
,,2016 - 2017,,,,27,172,6.37,,,
,,2017 - 2018,,,,29,155,5.34,,,
,,2018 - 2019,,,,35,232,6.63,,,
,,2019 - 2020,,,,33,198,6,,,
,,2020 - 2021,,,,32,190,5.94,,,
,,2021 - 2022,,,,31,191,6.16,,,
,,2022 - 2023,,,,32,194,6.06,,,
,58. Pilibhit,2004 - 2005,45,195,4.33,,,,,,
,,2006 - 2007,,,,1,4,4,,,
,,2008 - 2009,,,,7,41,5.86,,,
,,2009 - 2010,,,,11,58,5.27,,,
,,2011 - 2012,,,,21,108,5.14,,,
,,2012 - 2013,,,,21,109,5.19,,,
,,2013 - 2014,,,,41,240,5.85,,,
,,2014 - 2015,,,,23,133,5.78,,,
,,2017 - 2018,,,,17,91,5.35,,,
,,2018 - 2019,,,,1,7,7,,,
,,2020 - 2021,,,,4,24,6,,,
,,2021 - 2022,,,,1,6,6,,,
,,2022 - 2023,,,,5,30,6,,,
,59. Pratapgarh,2004 - 2005,4,4,1,,,,,,
,,2005 - 2006,7,30,4.29,,,,,,
,,2006 - 2007,,,,80,352,4.4,,,
,,2008 - 2009,,,,7,41,5.86,,,
,,2009 - 2010,,,,112,595,5.31,,,
,,2011 - 2012,,,,10,52,5.2,,,
,,2012 - 2013,,,,11,57,5.18,,,
,,2013 - 2014,,,,13,76,5.85,,,
,,2014 - 2015,,,,53,307,5.79,,,
,,2015 - 2016,,,,40,230,5.75,,,
,,2016 - 2017,,,,15,95,6.33,,,
,,2017 - 2018,,,,26,139,5.35,,,
,,2018 - 2019,,,,29,192,6.62,,,
,,2019 - 2020,,,,15,90,6,,,
,,2020 - 2021,,,,16,95,5.94,,,
,,2021 - 2022,,,,15,92,6.13,,,
,,2022 - 2023,,,,20,121,6.05,,,
,60. Rae bareli,2004 - 2005,81,351,4.33,,,,,,
,,2005 - 2006,206,897,4.35,,,,,,
,,2006 - 2007,,,,199,875,4.4,,,
,,2008 - 2009,,,,154,907,5.89,,,
,,2009 - 2010,,,,133,707,5.32,,,
,,2011 - 2012,,,,197,"1,018.00",5.17,,,
,,2012 - 2013,,,,164,852,5.2,,,
,,2013 - 2014,,,,161,943,5.86,,,
,,2014 - 2015,,,,187,"1,083.00",5.79,,,
,,2015 - 2016,,,,201,"1,158.00",5.76,,,
,,2016 - 2017,,,,180,"1,145.00",6.36,,,
,,2017 - 2018,,,,179,959,5.36,,,
,,2018 - 2019,,,,182,"1,206.00",6.63,,,
,,2019 - 2020,,,,186,"1,116.00",6,,,
,,2020 - 2021,,,,174,"1,033.00",5.94,,,
,,2021 - 2022,,,,168,"1,033.00",6.15,,,
,,2022 - 2023,,,,174,"1,055.00",6.06,,,
,61. Rampur,2004 - 2005,176,762,4.33,,,,,,
,,2005 - 2006,529,"2,305.00",4.36,,,,,,
,,2006 - 2007,,,,485,"2,133.00",4.4,,,
,,2008 - 2009,,,,226,"1,331.00",5.89,,,
,,2009 - 2010,,,,77,409,5.31,,,
,,2011 - 2012,,,,207,"1,070.00",5.17,,,
,,2012 - 2013,,,,216,"1,122.00",5.19,,,
,,2013 - 2014,,,,182,"1,066.00",5.86,,,
,,2014 - 2015,,,,145,840,5.79,,,
,,2016 - 2017,,,,150,954,6.36,,,
,,2017 - 2018,,,,139,744,5.35,,,
,,2018 - 2019,,,,123,815,6.63,,,
,,2019 - 2020,,,,111,666,6,,,
,,2020 - 2021,,,,155,920,5.94,,,
,,2021 - 2022,,,,181,"1,114.00",6.15,,,
,,2022 - 2023,,,,142,861,6.06,,,
,62. Saharanpur,2004 - 2005,3,13,4.33,,,,,,
,,2005 - 2006,8,35,4.38,,,,,,
,,2006 - 2007,,,,7,31,4.43,,,
,,2008 - 2009,,,,9,53,5.89,,,
,,2009 - 2010,,,,9,48,5.33,,,
,,2011 - 2012,,,,15,77,5.13,,,
,,2012 - 2013,,,,4,21,5.25,,,
,,2014 - 2015,,,,2,11,5.5,,,
,,2015 - 2016,,,,1,6,6,,,
,,2016 - 2017,,,,21,134,6.38,,,
,,2017 - 2018,,,,16,86,5.38,,,
,,2018 - 2019,,,,8,53,6.63,,,
,,2019 - 2020,,,,10,60,6,,,
,,2020 - 2021,,,,11,65,5.91,,,
,,2021 - 2022,,,,13,80,6.15,,,
,,2022 - 2023,,,,12,73,6.08,,,
,63. Sambhal,2012 - 2013,,,,132,686,5.2,,,
,,2013 - 2014,,,,244,"1,429.00",5.86,,,
,,2014 - 2015,,,,184,"1,066.00",5.79,,,
,,2015 - 2016,,,,333,"1,919.00",5.76,,,
,,2016 - 2017,,,,243,"1,545.00",6.36,,,
,,2017 - 2018,,,,227,"1,216.00",5.36,,,
,,2018 - 2019,,,,246,"1,630.00",6.63,,,
,,2019 - 2020,,,,247,"1,483.00",6,,,
,,2020 - 2021,,,,259,"1,537.00",5.93,,,
,,2021 - 2022,,,,244,"1,501.00",6.15,,,
,,2022 - 2023,,,,245,"1,485.00",6.06,,,
,64. Sant kabeer nagar,2004 - 2005,1,4,4,,,,,,
,,2005 - 2006,2,9,4.5,,,,,,
,,2006 - 2007,,,,21,92,4.38,,,
,,2008 - 2009,,,,3,18,6,,,
,,2009 - 2010,,,,5,26,5.2,,,
,,2012 - 2013,,,,5,26,5.2,,,
,,2013 - 2014,,,,1,6,6,,,
,,2014 - 2015,,,,6,35,5.83,,,
,,2015 - 2016,,,,5,29,5.8,,,
,,2016 - 2017,,,,1,6,6,,,
,,2017 - 2018,,,,4,21,5.25,,,
,,2018 - 2019,,,,3,20,6.67,,,
,,2019 - 2020,,,,1,6,6,,,
,,2020 - 2021,,,,1,6,6,,,
,,2021 - 2022,,,,1,6,6,,,
,,2022 - 2023,,,,2,12,6,,,
,65. Sant ravidas nagar,2006 - 2007,,,,8,35,4.38,,,
,,2009 - 2010,,,,5,27,5.4,,,
,66. Shahjahanpur,2004 - 2005,83,359,4.33,,,,,,
,,2005 - 2006,16,70,4.38,,,,,,
,,2008 - 2009,,,,52,306,5.88,,,
,,2009 - 2010,,,,113,600,5.31,,,
,,2011 - 2012,,,,63,326,5.17,,,
,,2012 - 2013,,,,181,940,5.19,,,
,,2013 - 2014,,,,97,569,5.87,,,
,,2014 - 2015,,,,85,493,5.8,,,
,,2015 - 2016,,,,64,369,5.77,,,
,,2016 - 2017,,,,118,750,6.36,,,
,,2017 - 2018,,,,109,584,5.36,,,
,,2018 - 2019,,,,95,629,6.62,,,
,,2019 - 2020,,,,94,564,6,,,
,,2020 - 2021,,,,96,570,5.94,,,
,,2021 - 2022,,,,61,375,6.15,,,
,,2022 - 2023,,,,91,552,6.07,,,
,67. Shamli,2012 - 2013,,,,339,"1,761.00",5.19,,,
,,2013 - 2014,,,,65,381,5.86,,,
,,2014 - 2015,,,,202,"1,170.00",5.79,,,
,,2015 - 2016,,,,36,207,5.75,,,
,,2016 - 2017,,,,49,312,6.37,,,
,,2017 - 2018,,,,138,739,5.36,,,
,,2018 - 2019,,,,98,649,6.62,,,
,,2019 - 2020,,,,79,474,6,,,
,,2020 - 2021,,,,80,475,5.94,,,
,,2021 - 2022,,,,52,320,6.15,,,
,,2022 - 2023,,,,89,539,6.06,,,
,68. Shravasti,2004 - 2005,19,82,4.32,,,,,,
,,2005 - 2006,2,9,4.5,,,,,,
,,2006 - 2007,,,,15,66,4.4,,,
,,2008 - 2009,,,,3,18,6,,,
,,2009 - 2010,,,,1,5,5,,,
,,2012 - 2013,,,,53,275,5.19,,,
,,2013 - 2014,,,,8,47,5.88,,,
,,2014 - 2015,,,,3,18,6,,,
,,2015 - 2016,,,,23,132,5.74,,,
,,2016 - 2017,,,,17,108,6.35,,,
,,2017 - 2018,,,,21,112,5.33,,,
,,2018 - 2019,,,,14,93,6.64,,,
,,2019 - 2020,,,,16,96,6,,,
,,2020 - 2021,,,,18,107,5.94,,,
,,2021 - 2022,,,,17,105,6.18,,,
,,2022 - 2023,,,,17,103,6.06,,,
,69. Siddharth nagar,2005 - 2006,43,187,4.35,,,,,,
,,2006 - 2007,,,,30,132,4.4,,,
,,2008 - 2009,,,,45,265,5.89,,,
,,2009 - 2010,,,,128,680,5.31,,,
,,2011 - 2012,,,,56,289,5.16,,,
,,2012 - 2013,,,,64,332,5.19,,,
,,2013 - 2014,,,,61,357,5.85,,,
,,2014 - 2015,,,,62,359,5.79,,,
,,2015 - 2016,,,,54,311,5.76,,,
,,2016 - 2017,,,,70,445,6.36,,,
,,2017 - 2018,,,,62,332,5.35,,,
,,2018 - 2019,,,,62,411,6.63,,,
,,2019 - 2020,,,,54,324,6,,,
,,2020 - 2021,,,,60,356,5.93,,,
,,2021 - 2022,,,,48,295,6.15,,,
,,2022 - 2023,,,,97,588,6.06,,,
,70. Sitapur,2004 - 2005,184,797,4.33,,,,,,
,,2005 - 2006,268,"1,168.00",4.36,,,,,,
,,2006 - 2007,,,,257,"1,130.00",4.4,,,
,,2008 - 2009,,,,233,"1,372.00",5.89,,,
,,2009 - 2010,,,,237,"1,259.00",5.31,,,
,,2011 - 2012,,,,180,930,5.17,,,
,,2012 - 2013,,,,182,945,5.19,,,
,,2013 - 2014,,,,107,627,5.86,,,
,,2014 - 2015,,,,162,938,5.79,,,
,,2015 - 2016,,,,178,"1,026.00",5.76,,,
,,2016 - 2017,,,,162,"1,030.00",6.36,,,
,,2017 - 2018,,,,188,"1,007.00",5.36,,,
,,2018 - 2019,,,,149,987,6.62,,,
,,2019 - 2020,,,,183,"1,098.00",6,,,
,,2020 - 2021,,,,172,"1,021.00",5.94,,,
,,2021 - 2022,,,,236,"1,452.00",6.15,,,
,,2022 - 2023,,,,186,"1,128.00",6.06,,,
,71. Sonbhadra,2005 - 2006,3,13,4.33,,,,,,
,,2006 - 2007,,,,11,48,4.36,,,
,,2008 - 2009,,,,11,65,5.91,,,
,,2009 - 2010,,,,14,74,5.29,,,
,,2011 - 2012,,,,13,67,5.15,,,
,,2012 - 2013,,,,17,88,5.18,,,
,,2013 - 2014,,,,24,141,5.88,,,
,,2014 - 2015,,,,4,23,5.75,,,
,,2015 - 2016,,,,12,69,5.75,,,
,,2016 - 2017,,,,19,121,6.37,,,
,,2017 - 2018,,,,15,80,5.33,,,
,,2018 - 2019,,,,17,113,6.65,,,
,,2019 - 2020,,,,13,78,6,,,
