State,District,Year,Banana,,,,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2004 - 2005,10,130,13,,,,,,,,,
,,2005 - 2006,10,130,13,,,,,,,,,
,,2006 - 2007,30,390,13,,,,,,,,,
,,2007 - 2008,130,"1,670.00",12.85,,,,,,,,,
,,2008 - 2009,555,"7,154.00",12.89,,,,,,,,,
,,2009 - 2010,650,"6,450.00",9.92,,,,,,,,,
,,2010 - 2011,655,"8,490.00",12.96,,,,,,,,,
,,2011 - 2012,660,"8,553.60",12.96,,,,,,,,,
,,2012 - 2013,693,"9,286.20",13.4,,,,,,,,,
,,2013 - 2014,710,"9,585.00",13.5,,,,,,,,,
,,2014 - 2015,761,"10,425.70",13.7,,,,,,,,,
,,2015 - 2016,799,"10,877.61",13.61,,,,,,,,,
,,2016 - 2017,820,"11,152.00",13.6,,,,,,,,,
,,2017 - 2018,827,"11,275.00",13.63,,,,,,,,,
,,2018 - 2019,858,"11,657.00",13.59,,,,,,,,,
,,2019 - 2020,876,"1,17,034.00",133.6,,,,,,,,,
,2. Chandel,2000 - 2001,750,"9,650.00",12.87,,,,,,,,,
,,2001 - 2002,830,"10,670.00",12.86,,,,,,,,,
,,2002 - 2003,286,"2,100.00",7.34,,,,,,,,,
,,2003 - 2004,296,"2,324.00",7.85,,,,,,,,,
,,2004 - 2005,"1,120.00","14,400.00",12.86,,,,,,,,,
,,2005 - 2006,"1,340.00","17,240.00",12.87,,,,,,,,,
,,2006 - 2007,130,"1,670.00",12.85,,,,,,,390,"5,020.00",12.87
,,2007 - 2008,110,"1,410.00",12.82,,,,,,,,,
,,2008 - 2009,570,"7,347.00",12.89,,,,,,,,,
,,2009 - 2010,665,"8,645.00",13,,,,,,,,,
,,2010 - 2011,672,"8,690.00",12.93,,,,,,,,,
,,2011 - 2012,684,"9,370.80",13.7,,,,,,,,,
,,2012 - 2013,719,"9,634.60",13.4,,,,,,,,,
,,2013 - 2014,733,"9,895.50",13.5,,,,,,,,,
,,2014 - 2015,670,"9,179.00",13.7,,,,,,,,,
,,2015 - 2016,950,"12,350.00",13,,,,,,,,,
,,2016 - 2017,"2,300.00","29,500.00",12.83,,,,,,,,,
,,2017 - 2018,960,"12,480.00",13,,,,,,,,,
,,2018 - 2019,960,"12,480.00",13,,,,,,,,,
,,2019 - 2020,235,"2,549.00",10.85,,,,,,,,,
,3. Churachandpur,2000 - 2001,470,"6,050.00",12.87,,,,,,,,,
,,2001 - 2002,340,"4,370.00",12.85,,,,,,,,,
,,2002 - 2003,"2,690.00","1,850.00",0.69,,,,,,,,,
,,2003 - 2004,280,"2,198.00",7.85,,,,,,,,,
,,2004 - 2005,290,"3,730.00",12.86,,,,,,,,,
,,2005 - 2006,60,770,12.83,,,,,,,,,
,,2006 - 2007,370,"4,760.00",12.86,,,,,,,20,260,13
,,2007 - 2008,"4,400.00","56,590.00",12.86,,,,,,,,,
,,2008 - 2009,715,"9,280.00",12.98,,,,,,,,,
,,2009 - 2010,810,"10,530.00",13,,,,,,,,,
,,2010 - 2011,817,"10,631.00",13.01,,,,,,,,,
,,2011 - 2012,863,"11,219.00",13,,,,,,,,,
,,2012 - 2013,906,"12,140.00",13.4,,,,,,,,,
,,2013 - 2014,924,"12,474.00",13.5,,,,,,,,,
,,2014 - 2015,950,"11,400.00",12,,,,,,,,,
,,2015 - 2016,"1,117.00","14,707.00",13.17,,,,,,,,,
,,2016 - 2017,800,"10,460.00",13.08,,,,,,,,,
,,2017 - 2018,810,"10,525.00",12.99,,,,,,,,,
,,2018 - 2019,814,"10,546.00",12.96,,,,,,,,,
,,2019 - 2020,962,"12,563.00",13.06,,,,,,,,,
,4. Imphal east,2000 - 2001,500,"6,430.00",12.86,,,,,,,,,
,,2001 - 2002,550,"7,070.00",12.85,,,,,,,,,
,,2002 - 2003,54,378,7,,,,,,,,,
,,2003 - 2004,83,652,7.86,,,,,,,,,
,,2004 - 2005,80,"1,030.00",12.88,,,,,,,,,
,,2005 - 2006,130,"1,670.00",12.85,,,,,,,,,
,,2006 - 2007,410,"5,270.00",12.85,,,,,,,40,520,13
,,2007 - 2008,580,"7,460.00",12.86,,,,,,,,,
,,2008 - 2009,585,"7,541.00",12.89,,,,,,,,,
,,2009 - 2010,680,"5,840.00",8.59,,,,,,,,,
,,2010 - 2011,682,"8,854.00",12.98,,,,,,,,,
,,2011 - 2012,690,"8,970.00",13,,,,,,,,,
,,2012 - 2013,724,"9,701.60",13.4,,,,,,,,,
,,2013 - 2014,734,"9,909.00",13.5,,,,,,,,,
,,2014 - 2015,779,"10,895.00",13.99,,,,,,,,,
,,2015 - 2016,396,"5,544.00",14,,,,,,,,,
,,2016 - 2017,401,"5,620.00",14.01,,,,,,,,,
,,2017 - 2018,401,"5,401.00",13.47,,,,,,,,,
,,2018 - 2019,412,"5,644.00",13.7,,,,,,,,,
,,2019 - 2020,470,"62,735.00",133.48,,,,,,,,,
,5. Imphal west,2000 - 2001,30,380,12.67,,,,,,,,,
,,2001 - 2002,30,390,13,,,,,,,,,
,,2002 - 2003,190,"1,330.00",7,,,,,,,,,
,,2003 - 2004,202,"1,586.00",7.85,,,,,,,,,
,,2004 - 2005,40,510,12.75,,,,,,,,,
,,2005 - 2006,160,"2,060.00",12.88,,,,,,,,,
,,2006 - 2007,60,770,12.83,,,,,,,20,260,13
,,2007 - 2008,10,130,13,,,,,,,,,
,,2008 - 2009,580,"7,476.00",12.89,,,,,,,,,
,,2009 - 2010,675,"5,775.00",8.56,,,,,,,,,
,,2010 - 2011,684,"8,822.00",12.9,,,,,,,,,
,,2011 - 2012,720,"9,352.80",12.99,,,,,,,,,
,,2012 - 2013,756,"10,130.40",13.4,,,,,,,,,
,,2013 - 2014,775,"10,462.50",13.5,,,,,,,,,
,,2014 - 2015,825,"11,220.00",13.6,,,,,,,,,
,,2015 - 2016,832,"11,229.51",13.5,,,,,,,,,
,,2016 - 2017,834,"11,256.50",13.5,,,,,,,,,
,,2017 - 2018,836,"11,279.00",13.49,,,,,,,,,
,,2018 - 2019,871,"12,390.00",14.23,,,,,,,,,
,,2019 - 2020,746,"10,593.00",14.2,,,,,,,,,
,6. Senapati,2000 - 2001,770,"9,900.00",12.86,,,,,,,,,
,,2001 - 2002,740,"9,520.00",12.86,,,,,,,,,
,,2002 - 2003,221,"1,820.00",8.24,,,,,,,,,
,,2003 - 2004,229,"1,798.00",7.85,,,,,,,,,
,,2004 - 2005,200,"2,570.00",12.85,,,,,,,,,
,,2005 - 2006,520,"6,690.00",12.87,,,,,,,,,
,,2006 - 2007,760,"9,780.00",12.87,,,,,,,130,"1,670.00",12.85
,,2007 - 2008,540,"6,940.00",12.85,,,,,,,,,
,,2008 - 2009,415,"5,349.00",12.89,,,,,,,,,
,,2009 - 2010,510,"6,630.00",13,,,,,,,,,
,,2010 - 2011,521,"6,710.00",12.88,,,,,,,,,
,,2011 - 2012,624,"8,087.04",12.96,,,,,,,,,
,,2012 - 2013,654,"8,763.60",13.4,,,,,,,,,
,,2013 - 2014,660,"8,910.00",13.5,,,,,,,,,
,,2014 - 2015,717,"9,751.20",13.6,,,,,,,,,
,,2015 - 2016,580,"7,879.00",13.58,,,,,,,,,
,,2016 - 2017,595,"8,116.00",13.64,,,,,,,,,
,,2017 - 2018,607,"8,278.00",13.64,,,,,,,,,
,,2018 - 2019,607,"8,278.00",13.64,,,,,,,,,
,,2019 - 2020,820,"10,742.00",13.1,,,,,,,,,
,7. Tamenglong,2000 - 2001,370,"4,750.00",12.84,,,,,,,,,
,,2001 - 2002,480,"6,170.00",12.85,,,,,,,,,
,,2002 - 2003,467,"4,100.00",8.78,,,,,,,,,
,,2003 - 2004,477,"3,744.00",7.85,,,,,,,,,
,,2004 - 2005,"1,430.00","18,390.00",12.86,,,,,,,,,
,,2005 - 2006,990,"12,730.00",12.86,,,,,,,,,
,,2006 - 2007,"1,460.00","18,780.00",12.86,,,,,,,260,"3,340.00",12.85
,,2007 - 2008,"1,830.00","23,540.00",12.86,,,,,,,,,
,,2008 - 2009,801,"10,324.00",12.89,,,,,,,,,
,,2009 - 2010,896,"6,648.00",7.42,,,,,,,,,
,,2010 - 2011,900,"11,700.00",13,,,,,,,,,
,,2011 - 2012,950,"12,255.00",12.9,,,,,,,,,
,,2012 - 2013,997,"13,359.80",13.4,,,,,,,,,
,,2013 - 2014,"1,017.00","13,729.50",13.5,,,,,,,,,
,,2014 - 2015,"1,045.00","14,212.00",13.6,,,,,,,,,
,,2015 - 2016,872,"11,732.91",13.46,,,,,,,,,
,,2016 - 2017,871,"11,720.00",13.46,,,,,,,,,
,,2017 - 2018,876,"11,766.00",13.43,,,,,,,,,
,,2018 - 2019,900,"14,320.00",15.91,,,,,,,,,
,,2019 - 2020,810,"15,471.00",19.1,,,,,,,,,
,8. Thoubal,2002 - 2003,131,"1,090.00",8.32,,,,,,,,,
,,2003 - 2004,138,"1,083.00",7.85,,,,,,,,,
,,2004 - 2005,20,260,13,,,,,,,,,
,,2007 - 2008,10,130,13,,,,,,,,,
,,2008 - 2009,450,"5,800.00",12.89,,,,,,,,,
,,2009 - 2010,545,"5,085.00",9.33,,,,,,,,,
,,2010 - 2011,550,"7,120.00",12.95,,,,,,,,,
,,2011 - 2012,598,"7,768.02",12.99,,,,,,,,,
,,2012 - 2013,618,"8,281.20",13.4,,,,,,,,,
,,2013 - 2014,627,"8,464.50",13.5,,,,,,,,,
,,2014 - 2015,685,"9,453.00",13.8,,,,,,,,,
,,2015 - 2016,724,"10,344.87",14.29,,,,,,,,,
,,2016 - 2017,923,"13,187.00",14.29,,,,,,,,,
,,2017 - 2018,927,"13,212.00",14.25,,,,,,,,,
,,2018 - 2019,927,"13,211.00",14.25,,,,,,,,,
,,2019 - 2020,927,"13,211.00",14.25,,,,,,,,,
,9. Ukhrul,2000 - 2001,320,"4,110.00",12.84,,,,,,,,,
,,2001 - 2002,940,"12,090.00",12.86,,,,,,,,,
,,2002 - 2003,50,393,7.86,,,,,,,,,
,,2003 - 2004,54,424,7.85,,,,,,,,,
,,2004 - 2005,680,"8,750.00",12.87,,,,,,,,,
,,2005 - 2006,"1,210.00","15,560.00",12.86,,,,,,,,,
,,2006 - 2007,980,"12,600.00",12.86,,,,,,,370,"4,750.00",12.84
,,2007 - 2008,"1,750.00","22,510.00",12.86,,,,,,,,,
,,2008 - 2009,320,"4,153.00",12.98,,,,,,,,,
,,2009 - 2010,410,"5,330.00",13,,,,,,,,,
,,2010 - 2011,418,"5,405.00",12.93,,,,,,,,,
,,2011 - 2012,490,"6,365.10",12.99,,,,,,,,,
,,2012 - 2013,514,"6,887.60",13.4,,,,,,,,,
,,2013 - 2014,520,"7,020.00",13.5,,,,,,,,,
,,2014 - 2015,561,"7,685.70",13.7,,,,,,,,,
,,2015 - 2016,682,"9,280.00",13.61,,,,,,,,,
,,2016 - 2017,650,"8,810.00",13.55,,,,,,,,,
,,2017 - 2018,688,"9,261.00",13.46,,,,,,,,,
,,2018 - 2019,235,"2,849.00",12.12,,,,,,,,,
,,2019 - 2020,613,"8,398.00",13.7,,,,,,,,,
15. Meghalaya,1. East garo hills,2000 - 2001,"1,097.00","13,765.00",12.55,,,,,,,,,
,,2002 - 2003,"1,102.00","14,960.00",13.58,,,,,,,,,
,,2003 - 2004,"1,158.00","15,285.00",13.2,,,,,,,,,
,,2004 - 2005,"1,538.00","15,733.00",10.23,,,,,,,,,
,,2005 - 2006,"1,568.00","18,286.00",11.66,,,,,,,,,
,,2006 - 2007,,,,"1,570.00","18,314.00",11.66,,,,,,
,,2008 - 2009,"1,575.00","18,412.00",11.69,,,,,,,,,
,,2009 - 2010,,,,"1,739.00","23,607.00",13.58,,,,,,
,,2010 - 2011,,,,"1,755.00","25,128.00",14.32,,,,,,
,,2011 - 2012,,,,"1,852.00","26,563.00",14.34,,,,,,
,,2012 - 2013,,,,"1,863.00","27,159.00",14.58,,,,,,
,,2013 - 2014,,,,869,"15,283.00",17.59,,,,,,
,,2014 - 2015,,,,872,"15,372.00",17.63,,,,,,
,,2015 - 2016,,,,876,"15,586.00",17.79,,,,,,
,,2016 - 2017,,,,892,"16,311.00",18.29,,,,,,
,,2017 - 2018,,,,895,"16,367.00",18.29,,,,,,
,,2018 - 2019,,,,896,"16,386.00",18.29,,,,,,
,,2019 - 2020,,,,897,"16,410.00",18.29,,,,,,
,,2020 - 2021,,,,898,"16,431.00",18.3,,,,,,
,,2021 - 2022,,,,899,"16,451.00",18.3,,,,,,
,,2022 - 2023,,,,905,"16,561.00",18.3,,,,,,
,2. East jaintia hills,2000 - 2001,315,"1,470.00",4.67,,,,,,,,,
,,2002 - 2003,325,"1,414.00",4.35,,,,,,,,,
,,2003 - 2004,347,"1,413.00",4.07,,,,,,,,,
,,2004 - 2005,376,"1,442.00",3.84,,,,,,,,,
,,2005 - 2006,381,"1,448.00",3.8,,,,,,,,,
,,2006 - 2007,,,,382,"1,457.00",3.81,,,,,,
,,2008 - 2009,384,"1,667.00",4.34,,,,,,,,,
,,2009 - 2010,,,,403,"1,797.00",4.46,,,,,,
,,2010 - 2011,,,,349,"1,116.00",3.2,,,,,,
,,2011 - 2012,,,,350,"1,127.00",3.22,,,,,,
,,2012 - 2013,,,,352,"1,146.00",3.26,,,,,,
,,2013 - 2014,,,,102,335,3.28,,,,,,
,,2014 - 2015,,,,103,339,3.29,,,,,,
,,2015 - 2016,,,,104,346,3.33,,,,,,
,,2016 - 2017,,,,106,361,3.41,,,,,,
,,2017 - 2018,,,,108,368,3.41,,,,,,
,,2018 - 2019,,,,108,368,3.41,,,,,,
,,2019 - 2020,,,,109,372,3.41,,,,,,
,,2020 - 2021,,,,110,376,3.42,,,,,,
,,2021 - 2022,,,,111,380,3.42,,,,,,
,,2022 - 2023,,,,111,380,3.42,,,,,,
,3. East khasi hills,2000 - 2001,672,"9,122.00",13.57,,,,,,,,,
,,2002 - 2003,645,"8,478.00",13.14,,,,,,,,,
,,2003 - 2004,703,"8,724.00",12.41,,,,,,,,,
,,2004 - 2005,740,"8,716.00",11.78,,,,,,,,,
,,2005 - 2006,766,"8,710.00",11.37,,,,,,,,,
,,2006 - 2007,,,,765,"8,558.00",11.19,,,,,,
,,2008 - 2009,754,"8,024.00",10.64,,,,,,,,,
,,2009 - 2010,,,,760,"7,990.00",10.51,,,,,,
,,2010 - 2011,,,,752,"7,619.00",10.13,,,,,,
,,2011 - 2012,,,,760,"7,870.00",10.36,,,,,,
,,2012 - 2013,,,,764,"8,056.00",10.54,,,,,,
,,2013 - 2014,,,,769,"8,238.00",10.71,,,,,,
,,2014 - 2015,,,,773,"8,345.00",10.8,,,,,,
,,2015 - 2016,,,,776,"8,526.00",10.99,,,,,,
,,2016 - 2017,,,,791,"9,027.00",11.41,,,,,,
,,2017 - 2018,,,,795,"9,074.00",11.41,,,,,,
,,2018 - 2019,,,,796,"9,086.00",11.41,,,,,,
,,2019 - 2020,,,,797,"9,098.00",11.42,,,,,,
,,2020 - 2021,,,,798,"9,114.00",11.42,,,,,,
,,2021 - 2022,,,,799,"9,127.00",11.42,,,,,,
,,2022 - 2023,,,,810,"9,253.00",11.42,,,,,,
,4. North garo hills,2013 - 2014,,,,"1,007.00","12,459.00",12.37,,,,,,
,,2014 - 2015,,,,"1,010.00","12,533.00",12.41,,,,,,
,,2015 - 2016,,,,"1,017.00","12,816.00",12.6,,,,,,
,,2016 - 2017,,,,"1,039.00","13,954.00",13.43,,,,,,
,,2017 - 2018,,,,"1,041.00","13,983.00",13.43,,,,,,
,,2018 - 2019,,,,"1,042.00","13,997.00",13.43,,,,,,
,,2019 - 2020,,,,"1,043.00","14,018.00",13.44,,,,,,
,,2020 - 2021,,,,"1,044.00","14,034.00",13.44,,,,,,
,,2021 - 2022,,,,"1,046.00","14,061.00",13.44,,,,,,
,,2022 - 2023,,,,"1,297.00","17,435.00",13.44,,,,,,
,5. Ri bhoi,2000 - 2001,797,"13,907.00",17.45,,,,,,,,,
,,2002 - 2003,805,"14,057.00",17.46,,,,,,,,,
,,2003 - 2004,865,"14,632.00",16.92,,,,,,,,,
,,2004 - 2005,893,"14,719.00",16.48,,,,,,,,,
,,2005 - 2006,908,"14,851.00",16.36,,,,,,,,,
,,2006 - 2007,,,,905,"14,802.00",16.36,,,,,,
,,2008 - 2009,910,"14,923.00",16.4,,,,,,,,,
,,2009 - 2010,,,,872,"14,770.00",16.94,,,,,,
,,2010 - 2011,,,,897,"15,153.00",16.89,,,,,,
,,2011 - 2012,,,,898,"15,215.00",16.94,,,,,,
,,2012 - 2013,,,,913,"15,741.00",17.24,,,,,,
,,2013 - 2014,,,,919,"16,087.00",17.5,,,,,,
,,2014 - 2015,,,,924,"16,296.00",17.64,,,,,,
,,2015 - 2016,,,,928,"16,495.00",17.77,,,,,,
,,2016 - 2017,,,,945,"17,537.00",18.56,,,,,,
,,2017 - 2018,,,,949,"17,614.00",18.56,,,,,,
,,2018 - 2019,,,,950,"17,634.00",18.56,,,,,,
,,2019 - 2020,,,,951,"17,655.00",18.56,,,,,,
,,2020 - 2021,,,,952,"17,679.00",18.57,,,,,,
,,2021 - 2022,,,,953,"17,699.00",18.57,,,,,,
,,2022 - 2023,,,,960,"17,829.00",18.57,,,,,,
,6. South garo hills,2000 - 2001,272,"3,376.00",12.41,,,,,,,,,
,,2002 - 2003,296,"3,675.00",12.42,,,,,,,,,
,,2003 - 2004,324,"3,699.00",11.42,,,,,,,,,
,,2004 - 2005,348,"3,699.00",10.63,,,,,,,,,
,,2005 - 2006,376,"3,996.00",10.63,,,,,,,,,
,,2006 - 2007,,,,380,"4,038.00",10.63,,,,,,
,,2008 - 2009,380,"4,020.00",10.58,,,,,,,,,
,,2009 - 2010,,,,375,"3,677.00",9.81,,,,,,
,,2010 - 2011,,,,376,"3,713.00",9.88,,,,,,
,,2011 - 2012,,,,378,"3,776.00",9.99,,,,,,
,,2012 - 2013,,,,381,"3,869.00",10.15,,,,,,
,,2013 - 2014,,,,383,"3,950.00",10.31,,,,,,
,,2014 - 2015,,,,386,"4,005.00",10.38,,,,,,
,,2015 - 2016,,,,388,"4,094.00",10.55,,,,,,
,,2016 - 2017,,,,393,"4,316.00",10.98,,,,,,
,,2017 - 2018,,,,394,"4,329.00",10.99,,,,,,
,,2018 - 2019,,,,395,"4,341.00",10.99,,,,,,
,,2019 - 2020,,,,396,"4,353.00",10.99,,,,,,
,,2020 - 2021,,,,397,"4,364.00",10.99,,,,,,
,,2021 - 2022,,,,399,"4,386.00",10.99,,,,,,
,,2022 - 2023,,,,478,"5,255.00",10.99,,,,,,
,7. South west garo hills,2013 - 2014,,,,423,"5,223.00",12.35,,,,,,
,,2014 - 2015,,,,427,"5,284.00",12.37,,,,,,
,,2015 - 2016,,,,429,"5,361.00",12.5,,,,,,
,,2016 - 2017,,,,437,"5,760.00",13.18,,,,,,
,,2017 - 2018,,,,439,"5,788.00",13.18,,,,,,
,,2018 - 2019,,,,440,"5,801.00",13.18,,,,,,
,,2019 - 2020,,,,441,"5,815.00",13.19,,,,,,
,,2020 - 2021,,,,442,"5,830.00",13.19,,,,,,
,,2021 - 2022,,,,444,"5,857.00",13.19,,,,,,
,,2022 - 2023,,,,445,"5,870.00",13.19,,,,,,
,8. South west khasi hills,2013 - 2014,,,,277,"1,467.00",5.3,,,,,,
,,2014 - 2015,,,,278,"1,475.00",5.31,,,,,,
,,2015 - 2016,,,,279,"1,493.00",5.35,,,,,,
,,2016 - 2017,,,,285,"1,600.00",5.61,,,,,,
,,2017 - 2018,,,,286,"1,606.00",5.62,,,,,,
,,2018 - 2019,,,,287,"1,612.00",5.62,,,,,,
,,2019 - 2020,,,,288,"1,618.00",5.62,,,,,,
,,2020 - 2021,,,,289,"1,624.00",5.62,,,,,,
,,2021 - 2022,,,,292,"1,641.00",5.62,,,,,,
,,2022 - 2023,,,,292,"1,641.00",5.62,,,,,,
,9. West garo hills,2000 - 2001,"1,562.00","17,285.00",11.07,,,,,,,,,
,,2002 - 2003,"1,541.00","18,740.00",12.16,,,,,,,,,
,,2003 - 2004,"1,579.00","18,872.00",11.95,,,,,,,,,
,,2004 - 2005,"1,646.00","19,266.00",11.7,,,,,,,,,
,,2005 - 2006,"1,681.00","20,068.00",11.94,,,,,,,,,
,,2006 - 2007,,,,"1,675.00","20,467.00",12.22,,,,,,
,,2008 - 2009,"1,769.00","22,632.00",12.79,,,,,,,,,
,,2009 - 2010,,,,"1,871.00","22,845.00",12.21,,,,,,
,,2010 - 2011,,,,"1,881.00","22,981.00",12.22,,,,,,
,,2011 - 2012,,,,"1,895.00","23,293.00",12.29,,,,,,
,,2012 - 2013,,,,"1,929.00","24,268.00",12.58,,,,,,
,,2013 - 2014,,,,"1,519.00","19,563.00",12.88,,,,,,
,,2014 - 2015,,,,"1,523.00","19,668.00",12.91,,,,,,
,,2015 - 2016,,,,"1,535.00","20,048.00",13.06,,,,,,
,,2016 - 2017,,,,"1,563.00","21,312.00",13.64,,,,,,
,,2017 - 2018,,,,"1,565.00","21,342.00",13.64,,,,,,
,,2018 - 2019,,,,"1,566.00","21,357.00",13.64,,,,,,
,,2019 - 2020,,,,"1,567.00","21,380.00",13.64,,,,,,
,,2020 - 2021,,,,"1,568.00","21,396.00",13.65,,,,,,
,,2021 - 2022,,,,"1,570.00","21,425.00",13.65,,,,,,
,,2022 - 2023,,,,"1,570.00","21,425.00",13.65,,,,,,
,10. West jaintia hills,2013 - 2014,,,,253,829,3.28,,,,,,
,,2014 - 2015,,,,255,837,3.28,,,,,,
,,2015 - 2016,,,,257,858,3.34,,,,,,
,,2016 - 2017,,,,257,858,3.34,,,,,,
,,2017 - 2018,,,,259,866,3.34,,,,,,
,,2018 - 2019,,,,259,866,3.34,,,,,,
,,2019 - 2020,,,,260,870,3.35,,,,,,
,,2020 - 2021,,,,261,874,3.35,,,,,,
,,2021 - 2022,,,,262,878,3.35,,,,,,
,,2022 - 2023,,,,263,882,3.35,,,,,,
,11. West khasi hills,2000 - 2001,662,"5,175.00",7.82,,,,,,,,,
,,2002 - 2003,630,"4,335.00",6.88,,,,,,,,,
,,2003 - 2004,652,"4,250.00",6.52,,,,,,,,,
,,2004 - 2005,735,"4,263.00",5.8,,,,,,,,,
,,2005 - 2006,746,"4,336.00",5.81,,,,,,,,,
,,2006 - 2007,,,,745,"4,731.00",6.35,,,,,,
,,2008 - 2009,750,"4,636.00",6.18,,,,,,,,,
,,2009 - 2010,,,,782,"4,136.00",5.29,,,,,,
,,2010 - 2011,,,,785,"4,244.00",5.41,,,,,,
,,2011 - 2012,,,,786,"4,281.00",5.45,,,,,,
,,2012 - 2013,,,,790,"4,374.00",5.54,,,,,,
,,2013 - 2014,,,,518,"2,998.00",5.79,,,,,,
,,2014 - 2015,,,,521,"3,032.00",5.82,,,,,,
,,2015 - 2016,,,,523,"3,086.00",5.9,,,,,,
,,2016 - 2017,,,,532,"3,259.00",6.13,,,,,,
,,2017 - 2018,,,,533,"3,266.00",6.13,,,,,,
,,2018 - 2019,,,,534,"3,273.00",6.13,,,,,,
,,2019 - 2020,,,,535,"3,281.00",6.13,,,,,,
,,2020 - 2021,,,,536,"3,289.00",6.14,,,,,,
,,2021 - 2022,,,,643,"3,947.00",6.14,,,,,,
,,2022 - 2023,,,,643,"3,947.00",6.14,,,,,,
16. Puducherry,1. Karaikal,2000 - 2001,11,308,28,,,,,,,,,
,,2001 - 2002,10,300,30,,,,,,,,,
,,2002 - 2003,14,350,25,,,,,,,,,
,,2003 - 2004,13,332,25.54,,,,,,,,,
,,2004 - 2005,13,520,40,,,,,,,,,
,,2005 - 2006,13,260,20,,,,,,,,,
,,2006 - 2007,,,,15,296,19.73,,,,,,
,,2007 - 2008,,,,15,300,20,,,,,,
,,2008 - 2009,,,,15,398,26.53,,,,,,
,,2009 - 2010,,,,16,418,26.13,,,,,,
,,2010 - 2011,,,,14,225,16.07,,,,,,
,,2011 - 2012,,,,15,112,7.47,,,,,,
,,2012 - 2013,,,,16,284,17.75,,,,,,
,,2013 - 2014,,,,15,113,7.53,,,,,,
,,2014 - 2015,,,,13,242,18.62,,,,,,
,,2015 - 2016,,,,13,135,10.38,,,,,,
,,2016 - 2017,,,,12,193,16.08,,,,,,
,,2017 - 2018,,,,11,132,12,,,,,,
,,2018 - 2019,,,,10,246,24.6,,,,,,
,,2019 - 2020,,,,10,203,20.3,,,,,,
,,2022 - 2023,,,,9,184,20.44,,,,,,
,2. Mahe,2000 - 2001,21,420,20,,,,,,,,,
,,2001 - 2002,19,418,22,,,,,,,,,
,,2002 - 2003,19,342,18,,,,,,,,,
,,2003 - 2004,19,304,16,,,,,,,,,
,,2004 - 2005,19,238,12.53,,,,,,,,,
,,2005 - 2006,21,252,12,,,,,,,,,
,,2006 - 2007,,,,22,268,12.18,,,,,,
,,2007 - 2008,,,,18,225,12.5,,,,,,
,,2008 - 2009,,,,23,308,13.39,,,,,,
,,2009 - 2010,,,,23,297,12.91,,,,,,
,,2010 - 2011,,,,24,300,12.5,,,,,,
,,2011 - 2012,,,,23,292,12.7,,,,,,
,,2015 - 2016,,,,22,213,9.68,,,,,,
,,2016 - 2017,,,,21,231,11,,,,,,
,,2017 - 2018,,,,21,210,10,,,,,,
,,2018 - 2019,,,,25,275,11,,,,,,
,,2019 - 2020,,,,25,250,10,,,,,,
,,2022 - 2023,,,,21,231,11,,,,,,
,3. Pondicherry,2000 - 2001,204,"6,732.00",33,,,,,,,,,
,,2001 - 2002,195,"6,728.00",34.5,,,,,,,,,
,,2002 - 2003,240,"7,260.00",30.25,,,,,,,,,
,,2003 - 2004,248,"9,459.00",38.14,,,,,,,,,
,,2004 - 2005,270,"9,450.00",35,,,,,,,,,
,,2005 - 2006,282,"9,870.00",35,,,,,,,,,
,,2006 - 2007,,,,268,"9,326.00",34.8,,,,,,
,,2007 - 2008,,,,285,"9,932.00",34.85,,,,,,
,,2008 - 2009,,,,247,"9,818.00",39.75,,,,,,
,,2009 - 2010,,,,246,"9,656.00",39.25,,,,,,
,,2010 - 2011,,,,228,"5,843.00",25.63,,,,,,
,,2011 - 2012,,,,228,"2,859.00",12.54,,,,,,
,,2012 - 2013,,,,249,"10,617.00",42.64,,,,,,
,,2013 - 2014,,,,209,"7,059.00",33.78,,,,,,
,,2014 - 2015,,,,237,"7,079.00",29.87,,,,,,
,,2015 - 2016,,,,211,"5,887.00",27.9,,,,,,
,,2016 - 2017,,,,219,"2,628.00",12,,,,,,
,,2017 - 2018,,,,217,"2,604.00",12,,,,,,
,,2018 - 2019,,,,227,"8,603.00",37.9,,,,,,
,,2019 - 2020,,,,238,"16,184.00",68,,,,,,
,,2022 - 2023,,,,250,"9,495.00",37.98,,,,,,
,4. Yanam,2000 - 2001,3,72,24,,,,,,,,,
,,2001 - 2002,1,15,15,,,,,,,,,
,,2002 - 2003,1,13,13,,,,,,,,,
17. Rajasthan,1. Alwar,2000 - 2001,1,,0,,,,,,,,,
,,2001 - 2002,1,,0,,,,,,,,,
,,2002 - 2003,1,0,0,,,,,,,,,
,,2003 - 2004,2,0,0,,,,,,,,,
,,2004 - 2005,1,,0,,,,,,,,,
,,2005 - 2006,2,,0,,,,,,,,,
,,2006 - 2007,2,,0,,,,,,,,,
,,2007 - 2008,4,,0,,,,,,,,,
,,2008 - 2009,2,,0,,,,,,,,,
,,2009 - 2010,4,,0,,,,,,,,,
,,2010 - 2011,2,,0,,,,,,,,,
,,2011 - 2012,1,,0,,,,,,,,,
,2. Banswara,2003 - 2004,2,0,0,,,,,,,,,
