State,District,Year,Sannhamp,,,,,,,,,,,
,,2011 - 2012,,,,29,44,1.52,,,,,,
,,2012 - 2013,,,,30,72,2.4,,,,,,
,,2013 - 2014,,,,19,67,3.53,,,,,,
,38. Satna,2000 - 2001,57,106,1.86,,,,,,,,,
,,2001 - 2002,59,128,2.17,,,,,,,,,
,,2002 - 2003,72,111,1.54,,,,,,,,,
,,2003 - 2004,74,133,1.8,,,,,,,,,
,,2007 - 2008,,,,90,24,0.27,,,,,,
,,2008 - 2009,,,,82,24,0.29,,,,,,
,,2009 - 2010,84,24,0.29,,,,,,,,,
,,2010 - 2011,51,95,1.86,,,,,,,,,
,,2011 - 2012,,,,38,44,1.16,,,,,,
,,2012 - 2013,,,,15,28,1.87,,,,,,
,,2013 - 2014,,,,11,11,1,,,,,,
,39. Sehore,2000 - 2001,71,128,1.8,,,,,,,,,
,,2001 - 2002,74,150,2.03,,,,,,,,,
,,2002 - 2003,58,161,2.78,,,,,,,,,
,,2003 - 2004,66,183,2.77,,,,,,,,,
,,2007 - 2008,,,,28,6,0.21,,,,,,
,,2008 - 2009,,,,32,16,0.5,,,,,,
,,2009 - 2010,31,18,0.58,,,,,,,,,
,,2010 - 2011,31,122,3.94,,,,,,,,,
,,2011 - 2012,,,,37,117,3.16,,,,,,
,,2012 - 2013,,,,27,83,3.07,,,,,,
,,2013 - 2014,,,,26,56,2.15,,,,,,
,40. Seoni,2000 - 2001,473,283,0.6,,,,,,,,,
,,2001 - 2002,576,"1,211.00",2.1,,,,,,,,,
,,2002 - 2003,524,872,1.66,,,,,,,,,
,,2003 - 2004,371,783,2.11,,,,,,,,,
,,2007 - 2008,,,,277,97,0.35,,,,,,
,,2008 - 2009,,,,272,88,0.32,,,,,,
,,2009 - 2010,191,62,0.32,,,,,,,,,
,,2010 - 2011,143,255,1.78,,,,,,,,,
,,2011 - 2012,,,,103,144,1.4,,,,,,
,,2012 - 2013,,,,123,222,1.8,,,,,,
,,2013 - 2014,,,,97,172,1.77,,,,,,
,41. Shahdol,2000 - 2001,160,183,1.14,,,,,,,,,
,,2001 - 2002,113,189,1.67,,,,,,,,,
,,2002 - 2003,90,128,1.42,,,,,,,,,
,,2003 - 2004,25,45,1.8,,,,,,,,,
,,2007 - 2008,,,,23,7,0.3,,,,,,
,,2008 - 2009,,,,27,8,0.3,,,,,,
,,2009 - 2010,18,5,0.28,,,,,,,,,
,,2010 - 2011,27,50,1.85,,,,,,,,,
,,2011 - 2012,,,,29,33,1.14,,,,,,
,,2012 - 2013,,,,9,22,2.44,,,,,,
,,2013 - 2014,,,,87,284,3.26,,,,,,
,42. Shajapur,2000 - 2001,79,122,1.54,,,,,,,,,
,,2001 - 2002,58,72,1.24,,,,,,,,,
,,2002 - 2003,81,100,1.23,,,,,,,,,
,,2003 - 2004,68,122,1.79,,,,,,,,,
,,2007 - 2008,,,,14,4,0.29,,,,,,
,,2008 - 2009,,,,23,6,0.26,,,,,,
,,2009 - 2010,26,7,0.27,,,,,,,,,
,,2010 - 2011,13,22,1.69,,,,,,,,,
,,2011 - 2012,,,,21,28,1.33,,,,,,
,,2012 - 2013,,,,27,39,1.44,,,,,,
,43. Sheopur,2000 - 2001,1,,0,,,,,,,,,
,,2002 - 2003,1,,0,,,,,,,,,
,,2003 - 2004,6,17,2.83,,,,,,,,,
,,2007 - 2008,,,,1,,0,,,,,,
,,2008 - 2009,,,,3,1,0.33,,,,,,
,,2009 - 2010,5,2,0.4,,,,,,,,,
,44. Shivpuri,2000 - 2001,129,250,1.94,,,,,,,,,
,,2001 - 2002,147,294,2,,,,,,,,,
,,2002 - 2003,98,50,0.51,,,,,,,,,
,,2003 - 2004,136,305,2.24,,,,,,,,,
,,2007 - 2008,,,,71,15,0.21,,,,,,
,,2008 - 2009,,,,94,30,0.32,,,,,,
,,2009 - 2010,62,22,0.35,,,,,,,,,
,,2010 - 2011,84,150,1.79,,,,,,,,,
,,2011 - 2012,,,,40,50,1.25,,,,,,
,,2012 - 2013,,,,12,16,1.33,,,,,,
,,2013 - 2014,,,,14,17,1.21,,,,,,
,45. Sidhi,2000 - 2001,631,"1,244.00",1.97,,,,,,,,,
,,2001 - 2002,647,"1,428.00",2.21,,,,,,,,,
,,2002 - 2003,600,"1,233.00",2.06,,,,,,,,,
,,2003 - 2004,577,"1,406.00",2.44,,,,,,,,,
,,2007 - 2008,,,,522,203,0.39,,,,,,
,,2008 - 2009,,,,31,14,0.45,,,,,,
,,2009 - 2010,25,10,0.4,,,,,,,,,
,,2010 - 2011,17,39,2.29,,,,,,,,,
,,2011 - 2012,,,,15,22,1.47,,,,,,
,,2012 - 2013,,,,17,50,2.94,,,,,,
,,2013 - 2014,,,,20,78,3.9,,,,,,
,46. Singrauli,2008 - 2009,,,,507,235,0.46,,,,,,
,,2009 - 2010,478,242,0.51,,,,,,,,,
,,2010 - 2011,494,"1,506.00",3.05,,,,,,,,,
,,2011 - 2012,,,,499,983,1.97,,,,,,
,,2012 - 2013,,,,520,"1,183.00",2.28,,,,,,
,,2013 - 2014,,,,586,"1,628.00",2.78,,,,,,
,47. Tikamgarh,2000 - 2001,91,256,2.81,,,,,,,,,
,,2001 - 2002,60,184,3.07,,,,,,,,,
,,2002 - 2003,65,89,1.37,,,,,,,,,
,,2003 - 2004,74,195,2.64,,,,,,,,,
,,2007 - 2008,,,,34,10,0.29,,,,,,
,,2008 - 2009,,,,18,7,0.39,,,,,,
,,2009 - 2010,9,3,0.33,,,,,,,,,
,,2010 - 2011,5,6,1.2,,,,,,,,,
,,2011 - 2012,,,,6,6,1,,,,,,
,,2012 - 2013,,,,5,6,1.2,,,,,,
,,2013 - 2014,,,,7,5,0.71,,,,,,
,48. Ujjain,2000 - 2001,2,,0,,,,,,,,,
,,2001 - 2002,7,11,1.57,,,,,,,,,
,,2003 - 2004,4,11,2.75,,,,,,,,,
,,2007 - 2008,,,,2,1,0.5,,,,,,
,,2008 - 2009,,,,6,3,0.5,,,,,,
,,2010 - 2011,1,,0,,,,,,,,,
,49. Umaria,2000 - 2001,36,45,1.25,,,,,,,,,
,,2001 - 2002,33,50,1.52,,,,,,,,,
,,2002 - 2003,37,56,1.51,,,,,,,,,
,,2003 - 2004,20,33,1.65,,,,,,,,,
,,2007 - 2008,,,,17,6,0.35,,,,,,
,,2008 - 2009,,,,13,4,0.31,,,,,,
,,2009 - 2010,10,3,0.3,,,,,,,,,
,,2010 - 2011,7,11,1.57,,,,,,,,,
,,2011 - 2012,,,,12,11,0.92,,,,,,
,,2012 - 2013,,,,6,11,1.83,,,,,,
,,2013 - 2014,,,,6,11,1.83,,,,,,
,50. Vidisha,2000 - 2001,65,117,1.8,,,,,,,,,
,,2001 - 2002,47,89,1.89,,,,,,,,,
,,2002 - 2003,42,61,1.45,,,,,,,,,
,,2003 - 2004,51,95,1.86,,,,,,,,,
,,2007 - 2008,,,,25,8,0.32,,,,,,
,,2008 - 2009,,,,24,9,0.38,,,,,,
,,2009 - 2010,10,4,0.4,,,,,,,,,
,,2010 - 2011,16,33,2.06,,,,,,,,,
,,2011 - 2012,,,,7,11,1.57,,,,,,
,,2012 - 2013,,,,8,11,1.38,,,,,,
,,2013 - 2014,,,,2,28,14,,,,,,
10. Odisha,1. Anugul,2000 - 2001,20,70,3.5,,,,,,,,,
,2. Balangir,2000 - 2001,"2,940.00","10,620.00",3.61,,,,,,,,,
,,2019 - 2020,,,,440,"2,400.00",5.45,,,,,,
,3. Baleshwar,2000 - 2001,"1,320.00","5,720.00",4.33,,,,,,,,,
,4. Bargarh,2000 - 2001,120,420,3.5,,,,,,,,,
,,2019 - 2020,,,,10,50,5,,,,,,
,5. Bhadrak,2000 - 2001,10,80,8,,,,,,,,,
,6. Deogarh,2000 - 2001,100,300,3,,,,,,,,,
,,2019 - 2020,,,,50,210,4.2,,,,,,
,7. Dhenkanal,2000 - 2001,70,370,5.29,,,,,,,,,
,8. Gajapati,2000 - 2001,60,190,3.17,,,,,,,,,
,,2019 - 2020,,,,130,520,4,,,,,,
,9. Ganjam,2000 - 2001,"2,670.00","9,350.00",3.5,,,,,,,,,
,,2019 - 2020,,,,440,"2,310.00",5.25,,,,,,
,10. Kalahandi,2000 - 2001,490,"2,230.00",4.55,,,,,,,,,
,,2019 - 2020,,,,440,"2,340.00",5.32,,,,,,
,11. Kandhamal,2000 - 2001,150,310,2.07,,,,,,,,,
,,2019 - 2020,,,,10,50,5,,,,,,
,12. Kendujhar,2019 - 2020,,,,10,40,4,,,,,,
,13. Koraput,2000 - 2001,190,"1,610.00",8.47,,,,,,,,,
,,2019 - 2020,,,,290,"1,480.00",5.1,,,,,,
,14. Mayurbhanj,2000 - 2001,"1,050.00","3,750.00",3.57,,,,,,,,,
,,2019 - 2020,,,,220,"1,090.00",4.95,,,,,,
,15. Nabarangpur,2000 - 2001,300,"1,410.00",4.7,,,,,,,,,
,,2019 - 2020,,,,80,400,5,,,,,,
,16. Nayagarh,2000 - 2001,80,370,4.63,,,,,,,,,
,,2019 - 2020,,,,200,"1,010.00",5.05,,,,,,
,17. Nuapada,2000 - 2001,510,990,1.94,,,,,,,,,
,,2019 - 2020,,,,200,"1,040.00",5.2,,,,,,
,18. Rayagada,2000 - 2001,330,980,2.97,,,,,,,,,
,,2019 - 2020,,,,"1,970.00","10,530.00",5.35,,,,,,
,19. Sambalpur,2000 - 2001,10,30,3,,,,,,,,,
,20. Sonepur,2000 - 2001,120,300,2.5,,,,,,,,,
,21. Sundargarh,2000 - 2001,620,"3,190.00",5.15,,,,,,,,,
,,2019 - 2020,,,,390,"2,120.00",5.44,,,,,,
11. Rajasthan,1. Ajmer,2002 - 2003,3,,0,,,,,,,,,
,,2003 - 2004,1,0,0,,,,,,,,,
,,2011 - 2012,26,26,1,,,,,,,,,
,,2016 - 2017,,,,3,3,1,,,,,,
,,2020 - 2021,,,,1,2,2,,,,,,
,,2021 - 2022,,,,1,0,0,,,,,,
,2. Alwar,2000 - 2001,63,27,0.43,,,,,,,,,
,,2001 - 2002,51,17,0.33,,,,,,,,,
,,2002 - 2003,30,,0,,,,,,,,,
,,2003 - 2004,65,86,1.32,,,,,,,,,
,,2004 - 2005,47,24,0.51,,,,,,,,,
,,2005 - 2006,32,14,0.44,,,,,,,,,
,,2006 - 2007,18,6,0.33,,,,,,,,,
,,2007 - 2008,21,29,1.38,,,,,,,,,
,,2008 - 2009,59,61,1.03,,,,,,,,,
,,2009 - 2010,36,8,0.22,,,,,,,,,
,,2010 - 2011,15,2,0.13,,,,,,,,,
,,2011 - 2012,15,18,1.2,,,,,,,,,
,,2012 - 2013,14,11,0.79,,,,,,,,,
,,2013 - 2014,26,20,0.77,,,,,,,,,
,,2015 - 2016,,,,8,6,0.75,,,,,,
,,2016 - 2017,,,,33,17,0.52,,,,,,
,,2018 - 2019,,,,1,1,1,,,,,,
,,2019 - 2020,,,,24,24,1,,,,,,
,3. Banswara,2000 - 2001,509,23,0.05,,,,,,,,,
,,2001 - 2002,455,85,0.19,,,,,,,,,
,,2002 - 2003,388,50,0.13,,,,,,,,,
,,2003 - 2004,487,136,0.28,,,,,,,,,
,,2004 - 2005,468,75,0.16,,,,,,,,,
,,2005 - 2006,410,87,0.21,,,,,,,,,
,,2006 - 2007,424,26,0.06,,,,,,,,,
,,2007 - 2008,434,122,0.28,,,,,,,,,
,,2008 - 2009,342,80,0.23,,,,,,,,,
,,2009 - 2010,374,31,0.08,,,,,,,,,
,,2010 - 2011,320,40,0.13,,,,,,,,,
,,2011 - 2012,337,48,0.14,,,,,,,,,
,,2012 - 2013,298,41,0.14,,,,,,,,,
,,2013 - 2014,294,38,0.13,,,,,,,,,
,,2015 - 2016,,,,221,26,0.12,,,,,,
,,2016 - 2017,,,,185,80,0.43,,,,,,
,,2017 - 2018,,,,164,45,0.27,,,,,,
,,2018 - 2019,,,,152,46,0.3,,,,,,
,,2019 - 2020,,,,67,14,0.21,,,,,,
,,2020 - 2021,,,,31,15,0.48,,,,,,
,,2021 - 2022,,,,4,2,0.5,,,,,,
,,2022 - 2023,,,,30,30,1,,,,,,
,4. Baran,2000 - 2001,71,40,0.56,,,,,,,,,
,,2001 - 2002,40,23,0.58,,,,,,,,,
,,2002 - 2003,58,5,0.09,,,,,,,,,
,,2003 - 2004,11,5,0.45,,,,,,,,,
,,2004 - 2005,16,9,0.56,,,,,,,,,
,,2005 - 2006,9,5,0.56,,,,,,,,,
,,2006 - 2007,9,8,0.89,,,,,,,,,
,,2007 - 2008,3,2,0.67,,,,,,,,,
,,2008 - 2009,2,2,1,,,,,,,,,
,,2009 - 2010,9,6,0.67,,,,,,,,,
,,2010 - 2011,1,,0,,,,,,,,,
,,2012 - 2013,1,2,2,,,,,,,,,
,,2013 - 2014,1,,0,,,,,,,,,
,5. Bharatpur,2000 - 2001,40,21,0.53,,,,,,,,,
,,2001 - 2002,15,7,0.47,,,,,,,,,
,,2002 - 2003,7,1,0.14,,,,,,,,,
,,2003 - 2004,109,22,0.2,,,,,,,,,
,,2004 - 2005,33,29,0.88,,,,,,,,,
,,2005 - 2006,30,14,0.47,,,,,,,,,
,,2006 - 2007,16,15,0.94,,,,,,,,,
,,2007 - 2008,15,6,0.4,,,,,,,,,
,,2008 - 2009,19,190,10,,,,,,,,,
,,2009 - 2010,11,110,10,,,,,,,,,
,,2010 - 2011,2,60,30,,,,,,,,,
,,2012 - 2013,111,58,0.52,,,,,,,,,
,,2013 - 2014,150,92,0.61,,,,,,,,,
,,2015 - 2016,,,,48,48,1,,,,,,
,,2017 - 2018,,,,3,3,1,,,,,,
,,2018 - 2019,,,,48,48,1,,,,,,
,,2019 - 2020,,,,95,95,1,,,,,,
,,2021 - 2022,,,,7,4,0.57,,,,,,
,,2022 - 2023,,,,80,29,0.36,,,,,,
,6. Bhilwara,2000 - 2001,232,8,0.03,,,,,,,,,
,,2001 - 2002,210,81,0.39,,,,,,,,,
,,2002 - 2003,322,9,0.03,,,,,,,,,
,,2003 - 2004,142,97,0.68,,,,,,,,,
,,2004 - 2005,163,70,0.43,,,,,,,,,
,,2005 - 2006,251,38,0.15,,,,,,,,,
,,2006 - 2007,121,121,1,,,,,,,,,
,,2007 - 2008,75,65,0.87,,,,,,,,,
,,2008 - 2009,58,95,1.64,,,,,,,,,
,,2009 - 2010,200,62,0.31,,,,,,,,,
,,2010 - 2011,47,40,0.85,,,,,,,,,
,,2011 - 2012,120,343,2.86,,,,,,,,,
,,2012 - 2013,94,101,1.07,,,,,,,,,
,,2013 - 2014,52,110,2.12,,,,,,,,,
,,2015 - 2016,,,,92,13,0.14,,,,,,
,,2016 - 2017,,,,108,97,0.9,,,,,,
,,2017 - 2018,,,,104,67,0.64,,,,,,
,,2018 - 2019,,,,36,39,1.08,,,,,,
,,2019 - 2020,,,,73,179,2.45,,,,,,
,,2020 - 2021,,,,90,39,0.43,,,,,,
,,2021 - 2022,,,,92,56,0.61,,,,,,
,,2022 - 2023,,,,129,28,0.22,,,,,,
,7. Bikaner,2011 - 2012,11,11,1,,,,,,,,,
,8. Bundi,2000 - 2001,17,8,0.47,,,,,,,,,
,,2001 - 2002,9,1,0.11,,,,,,,,,
,,2002 - 2003,20,43,2.15,,,,,,,,,
,,2003 - 2004,13,0,0,,,,,,,,,
,,2004 - 2005,13,,0,,,,,,,,,
,,2005 - 2006,8,16,2,,,,,,,,,
,,2006 - 2007,8,8,1,,,,,,,,,
,,2007 - 2008,6,6,1,,,,,,,,,
,,2008 - 2009,4,4,1,,,,,,,,,
,,2009 - 2010,13,14,1.08,,,,,,,,,
,,2012 - 2013,2,1,0.5,,,,,,,,,
,,2013 - 2014,1,,0,,,,,,,,,
,,2018 - 2019,,,,2,4,2,,,,,,
,9. Chittorgarh,2000 - 2001,179,21,0.12,,,,,,,,,
,,2001 - 2002,133,133,1,,,,,,,,,
,,2002 - 2003,195,,0,,,,,,,,,
,,2003 - 2004,98,39,0.4,,,,,,,,,
,,2004 - 2005,95,16,0.17,,,,,,,,,
,,2005 - 2006,83,24,0.29,,,,,,,,,
,,2006 - 2007,42,21,0.5,,,,,,,,,
,,2007 - 2008,55,55,1,,,,,,,,,
,,2008 - 2009,100,100,1,,,,,,,,,
,,2009 - 2010,179,87,0.49,,,,,,,,,
,,2010 - 2011,87,26,0.3,,,,,,,,,
,,2011 - 2012,30,12,0.4,,,,,,,,,
,,2012 - 2013,54,72,1.33,,,,,,,,,
,,2013 - 2014,11,11,1,,,,,,,,,
,,2015 - 2016,,,,26,32,1.23,,,,,,
,,2016 - 2017,,,,34,32,0.94,,,,,,
,,2017 - 2018,,,,1,"1,022.00","1,022.00",,,,,,
,,2018 - 2019,,,,10,9,0.9,,,,,,
,,2019 - 2020,,,,38,76,2,,,,,,
,,2020 - 2021,,,,7,16,2.29,,,,,,
,,2021 - 2022,,,,30,56,1.87,,,,,,
,,2022 - 2023,,,,18,18,1,,,,,,
,10. Churu,2000 - 2001,1,,0,,,,,,,,,
,,2011 - 2012,1,,0,,,,,,,,,
,11. Dausa,2000 - 2001,48,29,0.6,,,,,,,,,
,,2001 - 2002,31,21,0.68,,,,,,,,,
,,2002 - 2003,6,,0,,,,,,,,,
,,2003 - 2004,42,19,0.45,,,,,,,,,
,,2004 - 2005,37,2,0.05,,,,,,,,,
,,2005 - 2006,19,28,1.47,,,,,,,,,
,,2006 - 2007,18,29,1.61,,,,,,,,,
,,2007 - 2008,13,13,1,,,,,,,,,
,,2008 - 2009,22,19,0.86,,,,,,,,,
,,2009 - 2010,23,12,0.52,,,,,,,,,
,,2010 - 2011,22,32,1.45,,,,,,,,,
,,2011 - 2012,9,6,0.67,,,,,,,,,
,,2012 - 2013,10,21,2.1,,,,,,,,,
,,2013 - 2014,2,2,1,,,,,,,,,
,12. Dholpur,2000 - 2001,3,2,0.67,,,,,,,,,
,,2001 - 2002,3,,0,,,,,,,,,
,,2003 - 2004,9,2,0.22,,,,,,,,,
,,2004 - 2005,4,,0,,,,,,,,,
,,2005 - 2006,5,3,0.6,,,,,,,,,
,,2006 - 2007,10,16,1.6,,,,,,,,,
,,2007 - 2008,15,15,1,,,,,,,,,
,,2008 - 2009,9,9,1,,,,,,,,,
,,2009 - 2010,791,8,0.01,,,,,,,,,
,,2010 - 2011,3,3,1,,,,,,,,,
,,2011 - 2012,45,21,0.47,,,,,,,,,
,,2012 - 2013,25,12,0.48,,,,,,,,,
,,2013 - 2014,4,2,0.5,,,,,,,,,
,,2015 - 2016,,,,1,1,1,,,,,,
,,2016 - 2017,,,,1,1,1,,,,,,
,,2017 - 2018,,,,11,11,1,,,,,,
,,2018 - 2019,,,,13,,0,,,,,,
,,2019 - 2020,,,,11,,0,,,,,,
,,2020 - 2021,,,,7,9,1.29,,,,,,
,,2021 - 2022,,,,1,2,2,,,,,,
,,2022 - 2023,,,,1,2,2,,,,,,
,13. Dungarpur,2000 - 2001,172,21,0.12,,,,,,,,,
,,2001 - 2002,210,58,0.28,,,,,,,,,
,,2002 - 2003,110,13,0.12,,,,,,,,,
,,2003 - 2004,119,143,1.2,,,,,,,,,
,,2004 - 2005,97,26,0.27,,,,,,,,,
,,2005 - 2006,103,31,0.3,,,,,,,,,
,,2006 - 2007,62,7,0.11,,,,,,,,,
,,2007 - 2008,69,83,1.2,,,,,,,,,
,,2008 - 2009,74,5,0.07,,,,,,,,,
,,2009 - 2010,48,6,0.13,,,,,,,,,
,,2010 - 2011,67,26,0.39,,,,,,,,,
,,2011 - 2012,73,20,0.27,,,,,,,,,
,,2012 - 2013,50,46,0.92,,,,,,,,,
,,2013 - 2014,56,24,0.43,,,,,,,,,
,,2015 - 2016,,,,18,11,0.61,,,,,,
,,2016 - 2017,,,,16,19,1.19,,,,,,
,,2017 - 2018,,,,10,4,0.4,,,,,,
,,2018 - 2019,,,,3,4,1.33,,,,,,
,14. Ganganagar,2000 - 2001,7,4,0.57,,,,,,,,,
,,2001 - 2002,4,1,0.25,,,,,,,,,
,,2002 - 2003,1,,0,,,,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,,,,
,,2004 - 2005,2,1,0.5,,,,,,,,,
,,2005 - 2006,2,,0,,,,,,,,,
,,2006 - 2007,6,,0,,,,,,,,,
,,2008 - 2009,2,,0,,,,,,,,,
,,2009 - 2010,6,,0,,,,,,,,,
,,2010 - 2011,1,1,1,,,,,,,,,
,,2011 - 2012,17,6,0.35,,,,,,,,,
,,2012 - 2013,8,,0,,,,,,,,,
,,2017 - 2018,,,,4,,0,,,,,,
,15. Hanumangarh,2000 - 2001,45,22,0.49,,,,,,,,,
,,2001 - 2002,4,2,0.5,,,,,,,,,
,,2002 - 2003,3,,0,,,,,,,,,
,,2003 - 2004,4,6,1.5,,,,,,,,,
,,2004 - 2005,2,,0,,,,,,,,,
,,2005 - 2006,7,,0,,,,,,,,,
,,2006 - 2007,2,,0,,,,,,,,,
,,2008 - 2009,3,,0,,,,,,,,,
,,2009 - 2010,1,,0,,,,,,,,,
,,2016 - 2017,,,,8,4,0.5,,,,,,
,,2020 - 2021,,,,2,0,0,,,,,,
,16. Jaipur,2000 - 2001,8,,0,,,,,,,,,
,,2001 - 2002,6,2,0.33,,,,,,,,,
,,2002 - 2003,25,,0,,,,,,,,,
,,2003 - 2004,6,1,0.17,,,,,,,,,
,,2004 - 2005,7,5,0.71,,,,,,,,,
,,2005 - 2006,2,2,1,,,,,,,,,
,,2007 - 2008,3,3,1,,,,,,,,,
,,2008 - 2009,4,3,0.75,,,,,,,,,
,,2009 - 2010,2,,0,,,,,,,,,
,,2010 - 2011,2,1,0.5,,,,,,,,,
,,2012 - 2013,5,,0,,,,,,,,,
,,2013 - 2014,1,,0,,,,,,,,,
,,2015 - 2016,,,,4,,0,,,,,,
,17. Jalore,2000 - 2001,3,,0,,,,,,,,,
,,2001 - 2002,4,2,0.5,,,,,,,,,
,,2002 - 2003,3,,0,,,,,,,,,
,,2004 - 2005,7,2,0.29,,,,,,,,,
,,2005 - 2006,8,2,0.25,,,,,,,,,
,,2006 - 2007,4,,0,,,,,,,,,
,,2007 - 2008,6,3,0.5,,,,,,,,,
,,2008 - 2009,8,2,0.25,,,,,,,,,
,,2009 - 2010,7,2,0.29,,,,,,,,,
,,2010 - 2011,2,1,0.5,,,,,,,,,
,,2012 - 2013,1,,0,,,,,,,,,
,,2015 - 2016,,,,1,,0,,,,,,
,,2021 - 2022,,,,18,14,0.78,,,,,,
,18. Jhalawar,2000 - 2001,72,26,0.36,,,,,,,,,
,,2001 - 2002,64,322,5.03,,,,,,,,,
,,2002 - 2003,63,26,0.41,,,,,,,,,
,,2003 - 2004,29,13,0.45,,,,,,,,,
,,2004 - 2005,36,31,0.86,,,,,,,,,
,,2005 - 2006,43,44,1.02,,,,,,,,,
,,2006 - 2007,16,13,0.81,,,,,,,,,
,,2009 - 2010,6,,0,,,,,,,,,
,,2010 - 2011,6,,0,,,,,,,,,
,,2011 - 2012,2,1,0.5,,,,,,,,,
,,2012 - 2013,1,,0,,,,,,,,,
,,2017 - 2018,,,,1,,0,,,,,,
,,2019 - 2020,,,,2,1,0.5,,,,,,
,,2021 - 2022,,,,2,1,0.5,,,,,,
,19. Jhunjhunu,2000 - 2001,5,1,0.2,,,,,,,,,
,,2001 - 2002,61,61,1,,,,,,,,,
,,2002 - 2003,1,,0,,,,,,,,,
,,2003 - 2004,14,14,1,,,,,,,,,
,,2004 - 2005,2,,0,,,,,,,,,
,,2005 - 2006,22,,0,,,,,,,,,
,,2006 - 2007,1,1,1,,,,,,,,,
,,2007 - 2008,3,3,1,,,,,,,,,
,,2008 - 2009,3,1,0.33,,,,,,,,,
,,2009 - 2010,2,,0,,,,,,,,,
,,2011 - 2012,1,1,1,,,,,,,,,
,,2013 - 2014,3,3,1,,,,,,,,,
,20. Karauli,2000 - 2001,26,5,0.19,,,,,,,,,
,,2001 - 2002,23,3,0.13,,,,,,,,,
,,2002 - 2003,5,,0,,,,,,,,,
,,2003 - 2004,56,26,0.46,,,,,,,,,
,,2004 - 2005,7,,0,,,,,,,,,
,,2006 - 2007,7,7,1,,,,,,,,,
,,2007 - 2008,4,4,1,,,,,,,,,
,,2008 - 2009,25,15,0.6,,,,,,,,,
,,2009 - 2010,47,,0,,,,,,,,,
,,2010 - 2011,7,3,0.43,,,,,,,,,
,,2011 - 2012,2,1,0.5,,,,,,,,,
,,2012 - 2013,3,3,1,,,,,,,,,
,,2013 - 2014,20,11,0.55,,,,,,,,,
,,2015 - 2016,,,,1,1,1,,,,,,
,,2019 - 2020,,,,2,1,0.5,,,,,,
,,2020 - 2021,,,,1,1,1,,,,,,
,21. Kota,2000 - 2001,49,49,1,,,,,,,,,
,,2001 - 2002,50,50,1,,,,,,,,,
,,2002 - 2003,19,5,0.26,,,,,,,,,
,,2003 - 2004,2,0,0,,,,,,,,,
,,2004 - 2005,6,,0,,,,,,,,,
,,2005 - 2006,15,,0,,,,,,,,,
,,2006 - 2007,4,,0,,,,,,,,,
,,2007 - 2008,3,3,1,,,,,,,,,
,,2009 - 2010,5,,0,,,,,,,,,
,,2010 - 2011,2,,0,,,,,,,,,
,,2011 - 2012,2,,0,,,,,,,,,
,,2012 - 2013,9,5,0.56,,,,,,,,,
,,2013 - 2014,3,,0,,,,,,,,,
,,2016 - 2017,,,,25,,0,,,,,,
,,2017 - 2018,,,,2,,0,,,,,,
,,2022 - 2023,,,,4,1,0.25,,,,,,
,22. Pali,2000 - 2001,28,,0,,,,,,,,,
,,2001 - 2002,51,29,0.57,,,,,,,,,
,,2002 - 2003,58,,0,,,,,,,,,
,,2003 - 2004,55,28,0.51,,,,,,,,,
,,2004 - 2005,101,50,0.5,,,,,,,,,
,,2005 - 2006,38,8,0.21,,,,,,,,,
,,2006 - 2007,55,24,0.44,,,,,,,,,
,,2007 - 2008,54,32,0.59,,,,,,,,,
,,2008 - 2009,28,5,0.18,,,,,,,,,
,,2009 - 2010,10,,0,,,,,,,,,
,,2010 - 2011,31,12,0.39,,,,,,,,,
,,2011 - 2012,23,23,1,,,,,,,,,
,,2012 - 2013,29,24,0.83,,,,,,,,,
,,2013 - 2014,22,3,0.14,,,,,,,,,
,,2015 - 2016,,,,8,7,0.88,,,,,,
,,2016 - 2017,,,,8,8,1,,,,,,
,,2017 - 2018,,,,20,10,0.5,,,,,,
,,2018 - 2019,,,,8,8,1,,,,,,
,,2019 - 2020,,,,13,13,1,,,,,,
,,2020 - 2021,,,,14,5,0.36,,,,,,
,,2021 - 2022,,,,8,6,0.75,,,,,,
,,2022 - 2023,,,,3,3,1,,,,,,
,23. Pratapgarh,2008 - 2009,48,43,0.9,,,,,,,,,
,,2009 - 2010,39,19,0.49,,,,,,,,,
,,2010 - 2011,23,12,0.52,,,,,,,,,
,,2011 - 2012,22,5,0.23,,,,,,,,,
,,2012 - 2013,15,8,0.53,,,,,,,,,
,,2013 - 2014,15,25,1.67,,,,,,,,,
,,2015 - 2016,,,,5,,0,,,,,,
,,2018 - 2019,,,,21,17,0.81,,,,,,
,24. Rajsamand,2000 - 2001,88,1,0.01,,,,,,,,,
,,2001 - 2002,67,28,0.42,,,,,,,,,
,,2002 - 2003,214,,0,,,,,,,,,
,,2003 - 2004,64,25,0.39,,,,,,,,,
,,2004 - 2005,52,12,0.23,,,,,,,,,
,,2005 - 2006,31,15,0.48,,,,,,,,,
,,2006 - 2007,24,9,0.38,,,,,,,,,
,,2007 - 2008,25,10,0.4,,,,,,,,,
,,2008 - 2009,31,14,0.45,,,,,,,,,
,,2009 - 2010,14,3,0.21,,,,,,,,,
,,2010 - 2011,17,8,0.47,,,,,,,,,
,,2011 - 2012,5,2,0.4,,,,,,,,,
,,2012 - 2013,13,13,1,,,,,,,,,
,,2013 - 2014,11,22,2,,,,,,,,,
,,2015 - 2016,,,,8,2,0.25,,,,,,
