State,District,Year,Urad,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2014 - 2015,"1,24,853.00","1,45,703.00",1.17,841,775,0.92,,,,,,,,,,,,
,,2015 - 2016,"1,40,297.00","1,77,055.00",1.26,"1,444.00","1,707.00",1.18,,,,,,,,,,,,
,,2016 - 2017,"1,53,722.00","1,18,366.00",0.77,"5,249.00","4,829.00",0.92,,,,,,,,,,,,
,,2017 - 2018,"1,45,733.00","1,71,382.00",1.18,"3,036.00","3,628.00",1.19,,,,,,,,,,,,
,,2018 - 2019,"1,42,742.00","1,84,708.00",1.29,"1,972.00","2,067.00",1.05,,,,,,,,,,,,
,,2019 - 2020,"1,25,703.00","1,75,733.00",1.4,"2,089.00","2,640.00",1.26,,,,,,,,,,,,
,,2020 - 2021,"1,20,306.00","1,61,451.00",1.34,"3,363.00","3,881.00",1.15,,,,,,,,,,,,
,,2021 - 2022,"1,42,252.00","1,89,622.00",1.33,"5,751.00","4,066.00",0.71,,,,,,,,,,,,
,,2022 - 2023,"1,30,981.00","2,15,333.00",1.64,"1,197.00","1,645.00",1.37,,,,,,,,,,,,
,14. Kurnool,2000 - 2001,"2,465.00","1,982.00",0.8,"2,971.00",175,0.06,,,,,,,,,,,,
,,2001 - 2002,"7,536.00","5,124.00",0.68,"6,601.00","2,383.00",0.36,,,,,,,,,,,,
,,2002 - 2003,"7,074.00","4,096.00",0.58,"3,049.00",158,0.05,,,,,,,,,,,,
,,2003 - 2004,951,368,0.39,"1,586.00",977,0.62,,,,,,,,,,,,
,,2004 - 2005,"2,158.00","1,368.00",0.63,"1,017.00",490,0.48,,,,,,,,,,,,
,,2005 - 2006,670,421,0.63,"1,304.00",449,0.34,,,,,,,,,,,,
,,2006 - 2007,"3,323.00","2,599.00",0.78,"2,849.00","1,091.00",0.38,,,,,,,,,,,,
,,2007 - 2008,"2,000.00","1,000.00",0.5,"8,000.00","5,000.00",0.63,,,,,,,,,,,,
,,2008 - 2009,988,662,0.67,"1,133.00",411,0.36,,,,,,,,,,,,
,,2009 - 2010,"3,468.00","2,566.00",0.74,"3,102.00",915,0.29,,,,,,,,,,,,
,,2010 - 2011,"13,373.00","7,141.00",0.53,"8,143.00","3,436.00",0.42,,,,,,,,,,,,
,,2011 - 2012,"8,925.00","6,256.00",0.7,"3,657.00","1,949.00",0.53,,,,,,,,,,,,
,,2012 - 2013,"5,000.00","4,000.00",0.8,"3,000.00","3,000.00",1,,,,,,,,,,,,
,,2013 - 2014,"2,551.00","2,005.00",0.79,"2,248.00","2,091.00",0.93,,,,,,,,,,,,
,,2014 - 2015,"8,785.00","17,131.00",1.95,"2,383.00","3,160.00",1.33,,,,,,,,,,,,
,,2015 - 2016,"21,027.00","25,106.00",1.19,"6,061.00","5,473.00",0.9,,,,,,,,,,,,
,,2016 - 2017,"20,521.00","31,356.00",1.53,"13,542.00","17,875.00",1.32,,,,,,,,,,,,
,,2017 - 2018,"10,112.00","13,500.00",1.34,"14,265.00","11,669.00",0.82,,,,,,,,,,,,
,,2018 - 2019,"11,023.00","13,470.00",1.22,"4,955.00","4,578.00",0.92,,,,,,,,,,,,
,,2019 - 2020,"15,473.00","21,740.00",1.41,"3,834.00","2,803.00",0.73,,,,,,,,,,,,
,,2020 - 2021,"39,390.00","61,133.00",1.55,"7,700.00","6,938.00",0.9,,,,,,,,,,,,
,,2021 - 2022,"38,388.00","66,066.00",1.72,"10,075.00","11,254.00",1.12,,,,,,,,,,,,
,,2022 - 2023,737,"1,021.00",1.39,91,67,0.74,,,,,,,,,,,,
,15. Nandyal,2022 - 2023,"26,008.00","39,636.00",1.52,"8,059.00","7,301.00",0.91,,,,,,,,,,,,
,16. Ntr,2022 - 2023,165,171,1.04,"1,989.00","1,553.00",0.78,,,,,,,,,,,,
,17. Palnadu,2022 - 2023,"1,162.00",931,0.8,"1,475.00",832,0.56,,,,,,,,,,,,
,18. Parvathipuram manyam,2022 - 2023,"7,676.00","4,483.00",0.58,93,101,1.09,,,,,,,,,,,,
,19. Prakasam,2000 - 2001,"35,024.00","29,350.00",0.84,"3,130.00",185,0.06,,,,,,,,,,,,
,,2001 - 2002,"35,628.00","20,237.00",0.57,"2,258.00",815,0.36,,,,,,,,,,,,
,,2002 - 2003,"53,538.00","17,293.00",0.32,"1,144.00",59,0.05,,,,,,,,,,,,
,,2003 - 2004,"15,531.00","13,357.00",0.86,932,574,0.62,,,,,,,,,,,,
,,2004 - 2005,"10,834.00","5,569.00",0.51,997,481,0.48,,,,,,,,,,,,
,,2005 - 2006,"11,919.00","5,316.00",0.45,"2,478.00",852,0.34,,,,,,,,,,,,
,,2006 - 2007,"16,436.00","11,637.00",0.71,"1,698.00",650,0.38,,,,,,,,,,,,
,,2007 - 2008,"13,000.00","11,000.00",0.85,"3,000.00","2,000.00",0.67,,,,,,,,,,,,
,,2008 - 2009,"8,815.00","5,747.00",0.65,"3,336.00","1,211.00",0.36,,,,,,,,,,,,
,,2009 - 2010,"8,835.00","5,186.00",0.59,"2,919.00",861,0.29,,,,,,,,,,,,
,,2010 - 2011,"16,883.00","6,365.00",0.38,"2,352.00",993,0.42,,,,,,,,,,,,
,,2011 - 2012,"26,175.00","11,517.00",0.44,"2,306.00","1,155.00",0.5,,,,,,,,,,,,
,,2012 - 2013,"23,000.00","16,000.00",0.7,"4,000.00","2,000.00",0.5,,,,,,,,,,,,
,,2013 - 2014,"11,518.00","9,491.00",0.82,"1,600.00","1,000.00",0.63,,,,,,,,,,,,
,,2014 - 2015,"16,354.00","14,293.00",0.87,"3,498.00","3,585.00",1.02,,,,,,,,,,,,
,,2015 - 2016,"32,635.00","20,299.00",0.62,"12,634.00","6,304.00",0.5,,,,,,,,,,,,
,,2016 - 2017,"22,759.00","7,556.00",0.33,"6,832.00","1,421.00",0.21,,,,,,,,,,,,
,,2017 - 2018,"14,908.00","4,994.00",0.33,"5,210.00","2,298.00",0.44,,,,,,,,,,,,
,,2018 - 2019,"14,890.00","5,941.00",0.4,"1,628.00",648,0.4,,,,,,,,,,,,
,,2019 - 2020,"10,786.00","10,646.00",0.99,"1,535.00","1,610.00",1.05,,,,,,,,,,,,
,,2020 - 2021,"54,473.00","22,988.00",0.42,"8,233.00","4,141.00",0.5,,,,,,,,,,,,
,,2021 - 2022,"40,567.00","28,275.00",0.7,"5,724.00","3,389.00",0.59,,,,,,,,,,,,
,,2022 - 2023,"25,851.00","11,271.00",0.44,"1,258.00","1,189.00",0.95,,,,,,,,,,,,
,20. Spsr nellore,2000 - 2001,"28,763.00","23,125.00",0.8,456,27,0.06,,,,,,,,,,,,
,,2001 - 2002,"49,337.00","33,549.00",0.68,274,99,0.36,,,,,,,,,,,,
,,2002 - 2003,"47,391.00","12,843.00",0.27,114,6,0.05,,,,,,,,,,,,
,,2003 - 2004,"16,198.00","5,054.00",0.31,40,25,0.63,,,,,,,,,,,,
,,2004 - 2005,"11,005.00","6,042.00",0.55,9,4,0.44,,,,,,,,,,,,
,,2005 - 2006,"18,843.00","11,570.00",0.61,118,41,0.35,,,,,,,,,,,,
,,2006 - 2007,"31,202.00","19,969.00",0.64,94,36,0.38,,,,,,,,,,,,
,,2007 - 2008,"25,000.00","11,000.00",0.44,"5,000.00","3,000.00",0.6,,,,,,,,,,,,
,,2008 - 2009,"20,487.00","10,080.00",0.49,319,116,0.36,,,,,,,,,,,,
,,2009 - 2010,"25,589.00","16,710.00",0.65,"1,422.00",419,0.29,,,,,,,,,,,,
,,2010 - 2011,"34,902.00","15,322.00",0.44,"2,086.00",880,0.42,,,,,,,,,,,,
,,2011 - 2012,"40,668.00","23,221.00",0.57,992,497,0.5,,,,,,,,,,,,
,,2012 - 2013,"26,000.00","19,000.00",0.73,"4,000.00","2,000.00",0.5,,,,,,,,,,,,
,,2013 - 2014,"9,126.00","7,967.00",0.87,"2,274.00","1,421.00",0.62,,,,,,,,,,,,
,,2014 - 2015,"17,792.00","14,429.00",0.81,"2,936.00","3,009.00",1.02,,,,,,,,,,,,
,,2015 - 2016,"35,783.00","15,065.00",0.42,"10,685.00","5,204.00",0.49,,,,,,,,,,,,
,,2016 - 2017,"8,540.00","1,298.00",0.15,"1,334.00",420,0.31,,,,,,,,,,,,
,,2017 - 2018,"11,718.00","7,968.00",0.68,"2,390.00","1,852.00",0.77,,,,,,,,,,,,
,,2018 - 2019,"7,034.00","2,912.00",0.41,"2,175.00","1,157.00",0.53,,,,,,,,,,,,
,,2019 - 2020,"16,912.00","13,428.00",0.79,29,23,0.79,,,,,,,,,,,,
,,2020 - 2021,"24,979.00","2,398.00",0.1,447,16,0.04,,,,,,,,,,,,
,,2021 - 2022,"19,712.00","13,049.00",0.66,334,349,1.04,,,,,,,,,,,,
,,2022 - 2023,"10,142.00","10,051.00",0.99,230,249,1.08,,,,,,,,,,,,
,21. Sri sathya sai,2022 - 2023,6,8,1.33,12,9,0.75,,,,,,,,,,,,
,22. Srikakulam,2000 - 2001,"32,115.00","11,240.00",0.35,160,9,0.06,,,,,,,,,,,,
,,2001 - 2002,"36,607.00","18,743.00",0.51,131,47,0.36,,,,,,,,,,,,
,,2002 - 2003,"28,518.00","8,584.00",0.3,140,7,0.05,,,,,,,,,,,,
,,2003 - 2004,"40,422.00","19,645.00",0.49,670,413,0.62,,,,,,,,,,,,
,,2004 - 2005,"37,789.00","13,453.00",0.36,463,223,0.48,,,,,,,,,,,,
,,2005 - 2006,"39,648.00","14,709.00",0.37,616,212,0.34,,,,,,,,,,,,
,,2006 - 2007,"42,668.00","18,518.00",0.43,619,237,0.38,,,,,,,,,,,,
,,2007 - 2008,"47,000.00","23,000.00",0.49,"1,000.00",,0,,,,,,,,,,,,
,,2008 - 2009,"42,108.00","23,959.00",0.57,589,214,0.36,,,,,,,,,,,,
,,2009 - 2010,"46,081.00","24,054.00",0.52,593,175,0.3,,,,,,,,,,,,
,,2010 - 2011,"41,090.00","25,311.00",0.62,"1,339.00",565,0.42,,,,,,,,,,,,
