State,District,Year,Urad,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2010 - 2011,,,,486,328,0.67,122,76,0.62,,,,,,,,,
,,2011 - 2012,,,,408,273,0.67,137,91,0.66,,,,,,,,,
,,2012 - 2013,,,,521,345,0.66,180,124,0.69,,,,,,,,,
,,2013 - 2014,,,,430,192,0.45,137,79,0.58,,,,,,,,,
,,2014 - 2015,,,,290,156,0.54,111,60,0.54,,,,,,,,,
,,2015 - 2016,,,,"1,915.00",558,0.29,185,107,0.58,,,,,,,,,
,,2016 - 2017,,,,739,434,0.59,137,89,0.65,,,,,,,,,
,,2017 - 2018,,,,368,327,0.89,110,69,0.63,,,,,,,,,
,,2018 - 2019,,,,400,359,0.9,208,164,0.79,,,,,,,,,
,,2019 - 2020,,,,313,343,1.1,123,88,0.72,,,,,,,,,
,,2020 - 2021,,,,346,423,1.22,185,140,0.76,,,,,,,,,
,,2021 - 2022,,,,562,631,1.12,138,101,0.73,,,,,,,,,
,,2022 - 2023,,,,741,973,1.31,180,161,0.89,,,,,,,,,
,10. Bahraich,2000 - 2001,225,103,0.46,"1,226.00",288,0.23,,,,,,,,,,,,
,,2001 - 2002,263,129,0.49,"1,479.00",532,0.36,,,,,,,,,,,,
,,2002 - 2003,,,,781,168,0.22,218,116,0.53,,,,,,,,,
,,2003 - 2004,,,,903,264,0.29,279,137,0.49,,,,,,,,,
,,2007 - 2008,,,,"1,475.00",646,0.44,554,311,0.56,,,,,,,,,
,,2008 - 2009,,,,"1,155.00",621,0.54,327,204,0.62,,,,,,,,,
,,2009 - 2010,,,,"1,326.00",507,0.38,385,239,0.62,,,,,,,,,
,,2010 - 2011,,,,"1,410.00",952,0.68,721,449,0.62,,,,,,,,,
,,2011 - 2012,,,,"1,375.00",920,0.67,352,234,0.66,,,,,,,,,
,,2012 - 2013,,,,"1,416.00",939,0.66,394,273,0.69,,,,,,,,,
,,2013 - 2014,,,,"1,242.00",554,0.45,284,164,0.58,,,,,,,,,
,,2014 - 2015,,,,"1,410.00",756,0.54,296,160,0.54,,,,,,,,,
,,2015 - 2016,,,,"1,072.00",312,0.29,773,446,0.58,,,,,,,,,
,,2016 - 2017,,,,"1,309.00",707,0.54,385,251,0.65,,,,,,,,,
,,2017 - 2018,,,,"1,319.00",661,0.5,263,166,0.63,,,,,,,,,
,,2018 - 2019,,,,"1,236.00",686,0.56,251,197,0.78,,,,,,,,,
,,2019 - 2020,,,,"1,214.00",498,0.41,325,233,0.72,,,,,,,,,
,,2020 - 2021,,,,"1,405.00",781,0.56,297,225,0.76,,,,,,,,,
,,2021 - 2022,,,,"1,352.00",673,0.5,268,197,0.74,,,,,,,,,
,,2022 - 2023,,,,"1,762.00",885,0.5,723,647,0.89,,,,,,,,,
,11. Ballia,2000 - 2001,11,5,0.45,7,3,0.43,,,,,,,,,,,,
,,2001 - 2002,10,5,0.5,20,8,0.4,,,,,,,,,,,,
,,2002 - 2003,,,,5,2,0.4,6,3,0.5,,,,,,,,,
,,2003 - 2004,,,,10,2,0.2,11,5,0.45,,,,,,,,,
,,2007 - 2008,,,,4,2,0.5,2,1,0.5,,,,,,,,,
,,2008 - 2009,,,,1,1,1,17,11,0.65,,,,,,,,,
,,2009 - 2010,,,,1,1,1,9,6,0.67,,,,,,,,,
,,2010 - 2011,,,,1,1,1,36,22,0.61,,,,,,,,,
,,2011 - 2012,,,,61,41,0.67,33,22,0.67,,,,,,,,,
,,2012 - 2013,,,,,,,31,21,0.68,,,,,,,,,
,,2013 - 2014,,,,5,2,0.4,22,13,0.59,,,,,,,,,
,,2014 - 2015,,,,4,2,0.5,9,5,0.56,,,,,,,,,
,,2015 - 2016,,,,4,1,0.25,10,6,0.6,,,,,,,,,
,,2016 - 2017,,,,,,,22,15,0.68,,,,,,,,,
,,2017 - 2018,,,,,,,337,213,0.63,,,,,,,,,
,,2018 - 2019,,,,,,,28,22,0.79,,,,,,,,,
,,2020 - 2021,,,,,,,14,11,0.79,,,,,,,,,
,,2021 - 2022,,,,,,,22,16,0.73,,,,,,,,,
,,2022 - 2023,,,,212,106,0.5,9,8,0.89,,,,,,,,,
,12. Balrampur,2000 - 2001,8,4,0.5,"1,870.00",439,0.23,,,,,,,,,,,,
,,2001 - 2002,10,5,0.5,"1,933.00",696,0.36,,,,,,,,,,,,
,,2002 - 2003,,,,"2,096.00",451,0.22,10,5,0.5,,,,,,,,,
,,2003 - 2004,,,,"2,106.00",615,0.29,13,6,0.46,,,,,,,,,
,,2007 - 2008,,,,"1,798.00",788,0.44,27,15,0.56,,,,,,,,,
,,2008 - 2009,,,,"1,481.00",797,0.54,23,14,0.61,,,,,,,,,
,,2009 - 2010,,,,"1,830.00",699,0.38,31,19,0.61,,,,,,,,,
,,2010 - 2011,,,,"1,401.00",946,0.68,32,20,0.63,,,,,,,,,
,,2011 - 2012,,,,"1,538.00","1,029.00",0.67,7,4,0.57,,,,,,,,,
,,2012 - 2013,,,,"1,494.00",990,0.66,33,23,0.7,,,,,,,,,
,,2013 - 2014,,,,"1,510.00",674,0.45,,,,,,,,,,,,
,,2014 - 2015,,,,"1,440.00",772,0.54,23,13,0.57,,,,,,,,,
,,2015 - 2016,,,,"1,347.00",392,0.29,42,24,0.57,,,,,,,,,
,,2016 - 2017,,,,"1,407.00",760,0.54,26,17,0.65,,,,,,,,,
,,2017 - 2018,,,,"1,576.00",789,0.5,28,18,0.64,,,,,,,,,
,,2018 - 2019,,,,"1,316.00",730,0.55,30,24,0.8,,,,,,,,,
,,2019 - 2020,,,,"1,266.00",519,0.41,28,20,0.71,,,,,,,,,
,,2020 - 2021,,,,"1,296.00",721,0.56,29,22,0.76,,,,,,,,,
,,2021 - 2022,,,,"1,377.00",686,0.5,21,15,0.71,,,,,,,,,
,,2022 - 2023,,,,"1,275.00",640,0.5,13,12,0.92,,,,,,,,,
,13. Banda,2000 - 2001,,,,"4,725.00","1,592.00",0.34,,,,,,,,,,,,
,,2001 - 2002,,,,"3,934.00","1,247.00",0.32,,,,,,,,,,,,
,,2002 - 2003,,,,"3,443.00","1,064.00",0.31,1,1,1,,,,,,,,,
,,2003 - 2004,,,,"5,644.00","2,297.00",0.41,,,,,,,,,,,,
,,2007 - 2008,,,,"3,472.00",729,0.21,,,,,,,,,,,,
,,2008 - 2009,,,,"3,969.00",774,0.2,,,,,,,,,,,,
,,2009 - 2010,,,,"6,323.00","1,372.00",0.22,,,,,,,,,,,,
,,2010 - 2011,,,,"6,278.00","2,116.00",0.34,3,2,0.67,,,,,,,,,
,,2011 - 2012,,,,"4,435.00","1,224.00",0.28,2,1,0.5,,,,,,,,,
,,2012 - 2013,,,,"4,081.00","1,836.00",0.45,,,,,,,,,,,,
,,2013 - 2014,,,,"3,640.00","1,551.00",0.43,,,,,,,,,,,,
,,2014 - 2015,,,,"4,733.00","1,500.00",0.32,11,6,0.55,,,,,,,,,
,,2015 - 2016,,,,"3,710.00",605,0.16,9,5,0.56,,,,,,,,,
,,2016 - 2017,,,,"3,558.00","1,156.00",0.32,1,1,1,,,,,,,,,
,,2017 - 2018,,,,"3,374.00","2,001.00",0.59,,,,,,,,,,,,
,,2018 - 2019,,,,"4,870.00","2,615.00",0.54,1,1,1,,,,,,,,,
,,2019 - 2020,,,,"4,941.00","3,315.00",0.67,1,1,1,,,,,,,,,
,,2020 - 2021,,,,"4,386.00","2,325.00",0.53,1,1,1,,,,,,,,,
,,2021 - 2022,,,,"3,832.00","2,288.00",0.6,,,,,,,,,,,,
,,2022 - 2023,,,,"3,975.00","2,190.00",0.55,2,2,1,,,,,,,,,
,14. Barabanki,2000 - 2001,"5,071.00","2,170.00",0.43,"3,446.00","1,520.00",0.44,,,,,,,,,,,,
,,2001 - 2002,"3,466.00","1,477.00",0.43,"4,714.00","1,923.00",0.41,,,,,,,,,,,,
,,2002 - 2003,,,,"5,480.00","3,233.00",0.59,"2,746.00","1,365.00",0.5,,,,,,,,,
,,2003 - 2004,,,,"6,510.00","4,407.00",0.68,"3,288.00",769,0.23,,,,,,,,,
,,2007 - 2008,,,,"5,313.00","3,586.00",0.67,"6,566.00","3,178.00",0.48,,,,,,,,,
,,2008 - 2009,,,,"5,737.00","3,104.00",0.54,"1,858.00",808,0.43,,,,,,,,,
,,2009 - 2010,,,,"7,929.00","4,488.00",0.57,"1,533.00",570,0.37,,,,,,,,,
,,2010 - 2011,,,,"9,055.00","5,632.00",0.62,"1,402.00",652,0.47,,,,,,,,,
,,2011 - 2012,,,,"9,329.00","4,627.00",0.5,708,411,0.58,,,,,,,,,
,,2012 - 2013,,,,"9,180.00","5,389.00",0.59,891,431,0.48,,,,,,,,,
,,2013 - 2014,,,,"9,279.00","4,575.00",0.49,618,278,0.45,,,,,,,,,
,,2014 - 2015,,,,"9,381.00","4,906.00",0.52,456,172,0.38,,,,,,,,,
,,2015 - 2016,,,,"9,335.00","1,531.00",0.16,563,274,0.49,,,,,,,,,
,,2016 - 2017,,,,"9,070.00","4,027.00",0.44,"1,098.00",464,0.42,,,,,,,,,
,,2017 - 2018,,,,"9,059.00","3,696.00",0.41,827,367,0.44,,,,,,,,,
,,2018 - 2019,,,,"8,344.00","3,229.00",0.39,932,734,0.79,,,,,,,,,
,,2019 - 2020,,,,"8,928.00","3,902.00",0.44,946,861,0.91,,,,,,,,,
,,2020 - 2021,,,,"4,718.00","2,232.00",0.47,"1,025.00",980,0.96,,,,,,,,,
,,2021 - 2022,,,,"9,943.00","4,604.00",0.46,849,390,0.46,,,,,,,,,
,,2022 - 2023,,,,"9,207.00","2,974.00",0.32,722,305,0.42,,,,,,,,,
,15. Bareilly,2000 - 2001,15,7,0.47,986,693,0.7,,,,,,,,,,,,
,,2001 - 2002,15,7,0.47,"4,040.00","2,040.00",0.5,,,,,,,,,,,,
,,2002 - 2003,,,,"7,083.00","4,096.00",0.58,17,9,0.53,,,,,,,,,
,,2003 - 2004,,,,"7,237.00","3,300.00",0.46,12,6,0.5,,,,,,,,,
,,2007 - 2008,,,,"1,725.00","1,620.00",0.94,12,7,0.58,,,,,,,,,
,,2008 - 2009,,,,"4,099.00","3,291.00",0.8,7,4,0.57,,,,,,,,,
,,2009 - 2010,,,,"4,929.00","4,081.00",0.83,7,4,0.57,,,,,,,,,
,,2010 - 2011,,,,"4,134.00","2,104.00",0.51,6,4,0.67,,,,,,,,,
,,2011 - 2012,,,,"12,737.00","11,145.00",0.88,1,1,1,,,,,,,,,
,,2012 - 2013,,,,"11,834.00","8,331.00",0.7,,,,,,,,,,,,
,,2013 - 2014,,,,"4,122.00","2,032.00",0.49,77,45,0.58,,,,,,,,,
,,2014 - 2015,,,,"4,562.00","2,984.00",0.65,26,14,0.54,,,,,,,,,
,,2015 - 2016,,,,"9,054.00","2,943.00",0.33,59,34,0.58,,,,,,,,,
,,2016 - 2017,,,,"4,555.00","2,924.00",0.64,127,83,0.65,,,,,,,,,
,,2017 - 2018,,,,"5,454.00","2,918.00",0.54,77,49,0.64,,,,,,,,,
,,2018 - 2019,,,,"4,653.00","6,254.00",1.34,79,62,0.78,,,,,,,,,
,,2019 - 2020,,,,"5,166.00","6,948.00",1.34,,,,,,,,,,,,
,,2020 - 2021,,,,"5,847.00","8,788.00",1.5,164,124,0.76,,,,,,,,,
,,2021 - 2022,,,,"5,422.00","7,672.00",1.41,15,11,0.73,,,,,,,,,
,,2022 - 2023,,,,"21,384.00","19,096.00",0.89,122,109,0.89,,,,,,,,,
,16. Basti,2000 - 2001,111,51,0.46,119,50,0.42,,,,,,,,,,,,
,,2001 - 2002,89,44,0.49,129,53,0.41,,,,,,,,,,,,
,,2002 - 2003,,,,110,44,0.4,89,47,0.53,,,,,,,,,
,,2003 - 2004,,,,119,28,0.24,103,50,0.49,,,,,,,,,
,,2007 - 2008,,,,188,82,0.44,94,53,0.56,,,,,,,,,
,,2008 - 2009,,,,168,91,0.54,95,59,0.62,,,,,,,,,
,,2009 - 2010,,,,195,75,0.38,99,61,0.62,,,,,,,,,
,,2010 - 2011,,,,772,521,0.67,89,55,0.62,,,,,,,,,
,,2011 - 2012,,,,192,128,0.67,142,94,0.66,,,,,,,,,
,,2012 - 2013,,,,201,133,0.66,92,64,0.7,,,,,,,,,
,,2013 - 2014,,,,226,100,0.44,84,49,0.58,,,,,,,,,
,,2014 - 2015,,,,165,88,0.53,91,49,0.54,,,,,,,,,
,,2015 - 2016,,,,206,60,0.29,96,55,0.57,,,,,,,,,
,,2016 - 2017,,,,186,101,0.54,109,71,0.65,,,,,,,,,
,,2017 - 2018,,,,233,117,0.5,114,72,0.63,,,,,,,,,
,,2018 - 2019,,,,442,245,0.55,101,79,0.78,,,,,,,,,
,,2019 - 2020,,,,280,115,0.41,101,72,0.71,,,,,,,,,
,,2020 - 2021,,,,192,106,0.55,106,80,0.75,,,,,,,,,
,,2021 - 2022,,,,212,106,0.5,124,91,0.73,,,,,,,,,
,,2022 - 2023,,,,282,142,0.5,35,31,0.89,,,,,,,,,
,17. Bijnor,2000 - 2001,60,27,0.45,"2,559.00","2,106.00",0.82,,,,,,,,,,,,
,,2001 - 2002,25,12,0.48,"3,125.00","1,275.00",0.41,,,,,,,,,,,,
,,2002 - 2003,,,,"3,212.00","2,155.00",0.67,30,16,0.53,,,,,,,,,
,,2003 - 2004,,,,"3,025.00","1,945.00",0.64,90,44,0.49,,,,,,,,,
,,2007 - 2008,,,,"2,479.00","2,075.00",0.84,59,33,0.56,,,,,,,,,
,,2008 - 2009,,,,"1,365.00","1,273.00",0.93,24,15,0.63,,,,,,,,,
,,2009 - 2010,,,,"2,545.00","2,399.00",0.94,44,27,0.61,,,,,,,,,
,,2010 - 2011,,,,"2,118.00","1,947.00",0.92,85,53,0.62,,,,,,,,,
,,2011 - 2012,,,,"1,464.00","1,449.00",0.99,52,34,0.65,,,,,,,,,
,,2012 - 2013,,,,"1,395.00","1,190.00",0.85,107,74,0.69,,,,,,,,,
,,2013 - 2014,,,,"2,206.00","1,751.00",0.79,83,48,0.58,,,,,,,,,
,,2014 - 2015,,,,"1,938.00","1,944.00",1,127,69,0.54,,,,,,,,,
,,2015 - 2016,,,,"1,603.00","1,105.00",0.69,101,58,0.57,,,,,,,,,
,,2016 - 2017,,,,"2,150.00","1,786.00",0.83,23,15,0.65,,,,,,,,,
,,2017 - 2018,,,,"1,502.00","1,143.00",0.76,100,63,0.63,,,,,,,,,
,,2018 - 2019,,,,"1,430.00","1,118.00",0.78,87,68,0.78,,,,,,,,,
,,2019 - 2020,,,,"1,646.00","1,472.00",0.89,72,52,0.72,,,,,,,,,
,,2020 - 2021,,,,"1,694.00","1,657.00",0.98,74,56,0.76,,,,,,,,,
,,2021 - 2022,,,,"1,765.00","1,821.00",1.03,,,,,,,,,,,,
,,2022 - 2023,,,,"1,634.00","1,546.00",0.95,32,29,0.91,,,,,,,,,
,18. Budaun,2000 - 2001,58,27,0.47,"7,679.00","5,396.00",0.7,,,,,,,,,,,,
,,2001 - 2002,51,25,0.49,"21,537.00","11,307.00",0.53,,,,,,,,,,,,
,,2002 - 2003,,,,"30,076.00","19,188.00",0.64,32,17,0.53,,,,,,,,,
,,2003 - 2004,,,,"24,137.00","13,131.00",0.54,36,18,0.5,,,,,,,,,
,,2007 - 2008,,,,"16,136.00","12,651.00",0.78,53,30,0.57,,,,,,,,,
,,2008 - 2009,,,,"14,156.00","11,197.00",0.79,9,6,0.67,,,,,,,,,
,,2009 - 2010,,,,"17,690.00","13,391.00",0.76,7,4,0.57,,,,,,,,,
,,2010 - 2011,,,,"20,631.00","22,777.00",1.1,26,16,0.62,,,,,,,,,
,,2011 - 2012,,,,"23,367.00","23,531.00",1.01,7,4,0.57,,,,,,,,,
,,2012 - 2013,,,,"35,701.00","30,988.00",0.87,19,13,0.68,,,,,,,,,
,,2013 - 2014,,,,"36,181.00","28,330.00",0.78,11,6,0.55,,,,,,,,,
,,2014 - 2015,,,,"26,551.00","17,311.00",0.65,13,7,0.54,,,,,,,,,
,,2015 - 2016,,,,"34,529.00","22,375.00",0.65,59,34,0.58,,,,,,,,,
,,2016 - 2017,,,,"55,240.00","32,647.00",0.59,11,7,0.64,,,,,,,,,
,,2017 - 2018,,,,"39,756.00","24,529.00",0.62,11,7,0.64,,,,,,,,,
,,2018 - 2019,,,,"41,763.00","56,589.00",1.36,11,9,0.82,,,,,,,,,
,,2019 - 2020,,,,"38,229.00","50,309.00",1.32,,,,,,,,,,,,
,,2020 - 2021,,,,"39,031.00","46,291.00",1.19,11,8,0.73,,,,,,,,,
,,2021 - 2022,,,,"40,809.00","48,359.00",1.19,32,23,0.72,,,,,,,,,
,,2022 - 2023,,,,"37,786.00","31,476.00",0.83,117,105,0.9,,,,,,,,,
,19. Bulandshahr,2000 - 2001,178,97,0.54,659,274,0.42,,,,,,,,,,,,
,,2001 - 2002,221,107,0.48,"1,092.00",446,0.41,,,,,,,,,,,,
,,2002 - 2003,,,,"1,429.00",570,0.4,270,109,0.4,,,,,,,,,
,,2003 - 2004,,,,"1,378.00",327,0.24,225,110,0.49,,,,,,,,,
,,2007 - 2008,,,,"1,022.00",448,0.44,444,249,0.56,,,,,,,,,
,,2008 - 2009,,,,"1,158.00",623,0.54,393,244,0.62,,,,,,,,,
,,2009 - 2010,,,,"1,229.00",469,0.38,302,187,0.62,,,,,,,,,
,,2010 - 2011,,,,"1,909.00","1,288.00",0.67,324,202,0.62,,,,,,,,,
,,2011 - 2012,,,,"1,054.00",705,0.67,170,113,0.66,,,,,,,,,
,,2012 - 2013,,,,"1,603.00","1,063.00",0.66,267,185,0.69,,,,,,,,,
,,2013 - 2014,,,,"1,874.00",836,0.45,127,74,0.58,,,,,,,,,
,,2014 - 2015,,,,"1,571.00",842,0.54,133,72,0.54,,,,,,,,,
,,2015 - 2016,,,,185,54,0.29,258,149,0.58,,,,,,,,,
,,2016 - 2017,,,,"1,377.00",808,0.59,88,57,0.65,,,,,,,,,
,,2017 - 2018,,,,"2,604.00","2,318.00",0.89,167,106,0.63,,,,,,,,,
,,2018 - 2019,,,,"1,451.00","1,300.00",0.9,804,632,0.79,,,,,,,,,
,,2019 - 2020,,,,"1,648.00","1,549.00",0.94,245,176,0.72,,,,,,,,,
,,2020 - 2021,,,,"1,571.00","1,569.00",1,195,148,0.76,,,,,,,,,
,,2021 - 2022,,,,"1,761.00","1,842.00",1.05,140,103,0.74,,,,,,,,,
,,2022 - 2023,,,,"1,631.00","1,885.00",1.16,238,213,0.89,,,,,,,,,
,20. Chandauli,2000 - 2001,7,3,0.43,166,116,0.7,,,,,,,,,,,,
,,2001 - 2002,2,1,0.5,190,125,0.66,,,,,,,,,,,,
,,2002 - 2003,,,,93,56,0.6,,,,,,,,,,,,
,,2003 - 2004,,,,79,33,0.42,4,3,0.75,,,,,,,,,
,,2007 - 2008,,,,83,71,0.86,6,3,0.5,,,,,,,,,
,,2008 - 2009,,,,234,108,0.46,8,5,0.63,,,,,,,,,
,,2009 - 2010,,,,486,186,0.38,12,10,0.83,,,,,,,,,
,,2010 - 2011,,,,84,57,0.68,29,21,0.72,,,,,,,,,
,,2011 - 2012,,,,100,67,0.67,29,25,0.86,,,,,,,,,
,,2012 - 2013,,,,97,35,0.36,28,21,0.75,,,,,,,,,
,,2013 - 2014,,,,106,48,0.45,15,12,0.8,,,,,,,,,
,,2014 - 2015,,,,106,70,0.66,22,12,0.55,,,,,,,,,
,,2015 - 2016,,,,91,70,0.77,21,14,0.67,,,,,,,,,
,,2016 - 2017,,,,99,76,0.77,16,11,0.69,,,,,,,,,
,,2017 - 2018,,,,96,53,0.55,16,12,0.75,,,,,,,,,
,,2018 - 2019,,,,97,73,0.75,16,14,0.88,,,,,,,,,
,,2019 - 2020,,,,96,77,0.8,14,13,0.93,,,,,,,,,
,,2020 - 2021,,,,86,115,1.34,16,21,1.31,,,,,,,,,
,,2021 - 2022,,,,98,95,0.97,,,,,,,,,,,,
,,2022 - 2023,,,,143,98,0.69,,,,,,,,,,,,
,21. Chitrakoot,2000 - 2001,,,,"1,260.00",326,0.26,,,,,,,,,,,,
,,2001 - 2002,,,,"1,263.00",411,0.33,,,,,,,,,,,,
,,2002 - 2003,,,,667,214,0.32,,,,,,,,,,,,
,,2003 - 2004,,,,"1,237.00",155,0.13,,,,,,,,,,,,
,,2007 - 2008,,,,480,74,0.15,,,,,,,,,,,,
,,2008 - 2009,,,,"1,515.00",652,0.43,,,,,,,,,,,,
,,2009 - 2010,,,,"1,710.00",224,0.13,,,,,,,,,,,,
,,2010 - 2011,,,,"1,583.00",638,0.4,,,,,,,,,,,,
,,2011 - 2012,,,,"2,740.00","1,085.00",0.4,,,,,,,,,,,,
,,2012 - 2013,,,,"1,438.00",774,0.54,,,,,,,,,,,,
,,2013 - 2014,,,,"1,242.00",457,0.37,,,,,,,,,,,,
,,2014 - 2015,,,,494,141,0.29,,,,,,,,,,,,
,,2015 - 2016,,,,"1,343.00",366,0.27,3,2,0.67,,,,,,,,,
,,2016 - 2017,,,,"1,802.00",881,0.49,,,,,,,,,,,,
,,2017 - 2018,,,,"1,716.00",664,0.39,,,,,,,,,,,,
,,2018 - 2019,,,,"1,557.00",635,0.41,,,,,,,,,,,,
,,2019 - 2020,,,,"1,651.00",193,0.12,,,,,,,,,,,,
,,2020 - 2021,,,,"1,406.00",415,0.3,,,,,,,,,,,,
,,2021 - 2022,,,,"1,436.00",375,0.26,,,,,,,,,,,,
,,2022 - 2023,,,,"1,876.00",544,0.29,,,,,,,,,,,,
,22. Deoria,2000 - 2001,10,5,0.5,8,3,0.38,,,,,,,,,,,,
,,2001 - 2002,9,4,0.44,6,2,0.33,,,,,,,,,,,,
,,2002 - 2003,,,,2,1,0.5,6,3,0.5,,,,,,,,,
,,2003 - 2004,,,,5,1,0.2,7,3,0.43,,,,,,,,,
,,2008 - 2009,,,,,,,7,4,0.57,,,,,,,,,
,,2009 - 2010,,,,31,12,0.39,1,1,1,,,,,,,,,
,,2010 - 2011,,,,4,3,0.75,3,2,0.67,,,,,,,,,
,,2011 - 2012,,,,10,7,0.7,3,2,0.67,,,,,,,,,
,,2012 - 2013,,,,9,6,0.67,4,3,0.75,,,,,,,,,
,,2013 - 2014,,,,9,4,0.44,2,1,0.5,,,,,,,,,
,,2014 - 2015,,,,11,6,0.55,7,4,0.57,,,,,,,,,
,,2015 - 2016,,,,,,,4,2,0.5,,,,,,,,,
,,2016 - 2017,,,,4,2,0.5,2,1,0.5,,,,,,,,,
,,2017 - 2018,,,,4,2,0.5,1,1,1,,,,,,,,,
,,2018 - 2019,,,,10,5,0.5,,,,,,,,,,,,
,,2019 - 2020,,,,6,2,0.33,4,3,0.75,,,,,,,,,
,,2020 - 2021,,,,4,2,0.5,2,2,1,,,,,,,,,
,,2021 - 2022,,,,5,2,0.4,3,2,0.67,,,,,,,,,
,,2022 - 2023,,,,6,3,0.5,2,2,1,,,,,,,,,
,23. Etah,2000 - 2001,707,315,0.45,838,349,0.42,,,,,,,,,,,,
,,2001 - 2002,816,254,0.31,"1,220.00",498,0.41,,,,,,,,,,,,
,,2002 - 2003,,,,"1,126.00",449,0.4,725,302,0.42,,,,,,,,,
,,2003 - 2004,,,,"1,373.00",326,0.24,598,329,0.55,,,,,,,,,
,,2007 - 2008,,,,"1,752.00",767,0.44,661,448,0.68,,,,,,,,,
,,2008 - 2009,,,,"2,578.00","1,387.00",0.54,608,573,0.94,,,,,,,,,
,,2009 - 2010,,,,616,235,0.38,390,278,0.71,,,,,,,,,
,,2010 - 2011,,,,739,499,0.68,479,377,0.79,,,,,,,,,
,,2011 - 2012,,,,906,606,0.67,345,306,0.89,,,,,,,,,
,,2012 - 2013,,,,"1,018.00",676,0.66,392,401,1.02,,,,,,,,,
,,2013 - 2014,,,,"1,002.00",447,0.45,382,355,0.93,,,,,,,,,
,,2014 - 2015,,,,755,405,0.54,317,263,0.83,,,,,,,,,
,,2015 - 2016,,,,885,258,0.29,263,86,0.33,,,,,,,,,
,,2016 - 2017,,,,730,394,0.54,421,275,0.65,,,,,,,,,
,,2017 - 2018,,,,659,330,0.5,313,192,0.61,,,,,,,,,
,,2018 - 2019,,,,836,464,0.56,270,273,1.01,,,,,,,,,
,,2019 - 2020,,,,891,365,0.41,350,404,1.15,,,,,,,,,
,,2020 - 2021,,,,738,410,0.56,355,411,1.16,,,,,,,,,
,,2021 - 2022,,,,761,379,0.5,369,390,1.06,,,,,,,,,
,,2022 - 2023,,,,995,499,0.5,234,209,0.89,,,,,,,,,
,24. Etawah,2000 - 2001,224,112,0.5,"1,616.00",892,0.55,,,,,,,,,,,,
,,2001 - 2002,223,140,0.63,"2,646.00","1,318.00",0.5,,,,,,,,,,,,
,,2002 - 2003,,,,"3,116.00","2,019.00",0.65,294,247,0.84,,,,,,,,,
,,2003 - 2004,,,,"3,115.00","2,442.00",0.78,242,212,0.88,,,,,,,,,
,,2007 - 2008,,,,"2,161.00","1,385.00",0.64,403,263,0.65,,,,,,,,,
,,2008 - 2009,,,,"1,079.00",900,0.83,353,345,0.98,,,,,,,,,
,,2009 - 2010,,,,"1,504.00",695,0.46,378,302,0.8,,,,,,,,,
,,2010 - 2011,,,,"1,454.00","1,046.00",0.72,359,370,1.03,,,,,,,,,
,,2011 - 2012,,,,"1,362.00","1,287.00",0.94,318,270,0.85,,,,,,,,,
,,2012 - 2013,,,,"1,145.00","1,184.00",1.03,351,284,0.81,,,,,,,,,
,,2013 - 2014,,,,968,554,0.57,353,250,0.71,,,,,,,,,
,,2014 - 2015,,,,"1,168.00",613,0.52,311,217,0.7,,,,,,,,,
,,2015 - 2016,,,,"1,005.00",350,0.35,326,239,0.73,,,,,,,,,
,,2016 - 2017,,,,"1,093.00",687,0.63,476,445,0.93,,,,,,,,,
,,2017 - 2018,,,,893,724,0.81,437,350,0.8,,,,,,,,,
,,2018 - 2019,,,,617,683,1.11,415,387,0.93,,,,,,,,,
,,2019 - 2020,,,,980,679,0.69,450,422,0.94,,,,,,,,,
,,2020 - 2021,,,,"1,065.00",706,0.66,459,476,1.04,,,,,,,,,
,,2021 - 2022,,,,"1,159.00",823,0.71,433,488,1.13,,,,,,,,,
,,2022 - 2023,,,,"1,074.00",314,0.29,397,493,1.24,,,,,,,,,
,25. Faizabad,2000 - 2001,"3,529.00","1,193.00",0.34,647,285,0.44,,,,,,,,,,,,
,,2001 - 2002,"3,282.00","1,182.00",0.36,839,342,0.41,,,,,,,,,,,,
,,2002 - 2003,,,,"1,421.00",838,0.59,"2,835.00",731,0.26,,,,,,,,,
,,2003 - 2004,,,,728,493,0.68,"2,054.00",980,0.48,,,,,,,,,
,,2007 - 2008,,,,583,394,0.68,303,124,0.41,,,,,,,,,
,,2008 - 2009,,,,"1,279.00",692,0.54,"1,979.00",534,0.27,,,,,,,,,
,,2009 - 2010,,,,"1,277.00",723,0.57,"1,641.00",747,0.46,,,,,,,,,
,,2010 - 2011,,,,"1,563.00",847,0.54,"1,954.00","1,120.00",0.57,,,,,,,,,
,,2011 - 2012,,,,"1,712.00",912,0.53,"1,823.00","1,072.00",0.59,,,,,,,,,
,,2012 - 2013,,,,"3,127.00","2,317.00",0.74,"1,764.00","1,251.00",0.71,,,,,,,,,
,,2013 - 2014,,,,"2,794.00","1,028.00",0.37,"1,842.00",672,0.36,,,,,,,,,
