State,District,Year,Sesamum,,,,,,,,,,,,,,,,,
,,,Summer,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. North and middle andaman,2011 - 2012,43.5,21.6,0.5,,,,,,,,,,,,,,,
,,2012 - 2013,,,,"2,000.00","1,000.00",0.5,"4,000.00","1,000.00",0.25,,,,,,,,,
,,2013 - 2014,,,,"3,624.00",776,0.21,"2,967.00",751,0.25,,,,,,,,,
,,2014 - 2015,,,,"3,227.00",597,0.19,"4,039.00","1,034.00",0.26,,,,,,,,,
,,2015 - 2016,,,,"3,286.00",900,0.27,"3,217.00",502,0.16,,,,,,,,,
,,2016 - 2017,,,,"2,895.00",834,0.29,"2,410.00",439,0.18,,,,,,,,,
,,2017 - 2018,,,,"2,974.00",839,0.28,"1,830.00",337,0.18,,,,,,,,,
,,2018 - 2019,,,,"3,424.00",948,0.28,"2,108.00",388,0.18,,,,,,,,,
,,2019 - 2020,,,,"2,373.00",629,0.27,996,113,0.11,,,,,,,,,
,,2020 - 2021,,,,"2,075.00",519,0.25,"2,036.00",458,0.22,,,,,,,,,
,,2021 - 2022,,,,"2,637.00",675,0.26,"1,623.00",156,0.1,,,,,,,,,
,,2022 - 2023,,,,101,30,0.3,413,80,0.19,,,,,,,,,
,25. Vizianagaram,2000 - 2001,,,,"3,589.00",725,0.2,"24,814.00","6,675.00",0.27,,,,,,,,,
,,2001 - 2002,,,,"5,277.00","1,409.00",0.27,"24,350.00","4,261.00",0.17,,,,,,,,,
,,2002 - 2003,,,,"3,864.00",811,0.21,"13,975.00","1,593.00",0.11,,,,,,,,,
,,2003 - 2004,,,,"6,108.00","1,185.00",0.19,"6,785.00","1,079.00",0.16,,,,,,,,,
,,2004 - 2005,,,,"4,325.00","1,133.00",0.26,"18,766.00","2,252.00",0.12,,,,,,,,,
,,2005 - 2006,,,,"4,274.00","1,385.00",0.32,"16,139.00","2,050.00",0.13,,,,,,,,,
,,2006 - 2007,,,,"1,523.00",442,0.29,"14,603.00","2,570.00",0.18,,,,,,,,,
,,2007 - 2008,,,,"5,000.00","1,000.00",0.2,"25,000.00","2,000.00",0.08,,,,,,,,,
,,2008 - 2009,,,,"1,737.00",207,0.12,"17,262.00","1,778.00",0.1,,,,,,,,,
,,2009 - 2010,,,,"8,709.00","2,081.00",0.24,"10,552.00","2,712.00",0.26,,,,,,,,,
,,2010 - 2011,,,,"6,144.00","1,831.00",0.3,"9,056.00","1,069.00",0.12,,,,,,,,,
,,2011 - 2012,,,,"6,885.00","1,838.00",0.27,"12,856.00","1,543.00",0.12,,,,,,,,,
,,2012 - 2013,,,,"5,000.00","1,000.00",0.2,"9,000.00","2,000.00",0.22,,,,,,,,,
