State,District,Year,Sesamum,,,,,,,,,,,,,,,,,
,,,Summer,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. North and middle andaman,2011 - 2012,43.5,21.6,0.5,,,,,,,,,,,,,,,
,,2013 - 2014,,,,"5,406.00","1,449.00",0.27,"8,309.00","1,338.00",0.16,,,,,,,,,
,,2014 - 2015,,,,"11,006.00","2,630.00",0.24,"12,055.00","3,532.00",0.29,,,,,,,,,
,,2015 - 2016,,,,"4,242.00","1,642.00",0.39,"11,175.00","2,224.00",0.2,,,,,,,,,
,,2016 - 2017,,,,"6,311.00","2,152.00",0.34,"10,017.00","1,673.00",0.17,,,,,,,,,
,,2017 - 2018,,,,"5,237.00","2,126.00",0.41,"4,558.00",761,0.17,,,,,,,,,
,,2018 - 2019,,,,"5,284.00","1,453.00",0.27,"9,585.00","2,559.00",0.27,,,,,,,,,
,,2019 - 2020,,,,"4,367.00","1,406.00",0.32,"3,525.00",501,0.14,,,,,,,,,
,,2020 - 2021,,,,"3,933.00","1,223.00",0.31,"5,672.00","1,117.00",0.2,,,,,,,,,
,,2021 - 2022,,,,"4,648.00","1,204.00",0.26,"7,587.00","1,229.00",0.16,,,,,,,,,
,,2022 - 2023,,,,698,228,0.33,"7,319.00","1,325.00",0.18,,,,,,,,,
,26. West godavari,2000 - 2001,,,,612,168,0.27,18,4,0.22,,,,,,,,,
,,2001 - 2002,,,,527,134,0.25,7,1,0.14,,,,,,,,,
,,2002 - 2003,,,,"1,019.00",184,0.18,12,1,0.08,,,,,,,,,
,,2003 - 2004,,,,"2,193.00",452,0.21,20,6,0.3,,,,,,,,,
,,2004 - 2005,,,,772,182,0.24,,,,,,,,,,,,
,,2005 - 2006,,,,766,175,0.23,6,1,0.17,,,,,,,,,
,,2006 - 2007,,,,742,147,0.2,27,7,0.26,,,,,,,,,
,,2007 - 2008,,,,"1,000.00",,0,,,,,,,,,,,,
,,2008 - 2009,,,,528,95,0.18,29,6,0.21,,,,,,,,,
,,2009 - 2010,,,,"2,048.00",406,0.2,4,1,0.25,,,,,,,,,
,,2010 - 2011,,,,916,209,0.23,43,7,0.16,,,,,,,,,
,,2011 - 2012,,,,"1,124.00",243,0.22,4,1,0.25,,,,,,,,,
,,2012 - 2013,,,,"1,000.00",,0,,,,,,,,,,,,
,,2013 - 2014,,,,489,103,0.21,12,5,0.42,,,,,,,,,
,,2014 - 2015,,,,727,137,0.19,61,17,0.28,,,,,,,,,
,,2015 - 2016,,,,572,227,0.4,65,11,0.17,,,,,,,,,
,,2016 - 2017,,,,528,151,0.29,16,4,0.25,,,,,,,,,
,,2017 - 2018,,,,381,116,0.3,31,7,0.23,,,,,,,,,
,,2018 - 2019,,,,364,112,0.31,10,3,0.3,,,,,,,,,
,,2019 - 2020,,,,188,65,0.35,,,,,,,,,,,,
,,2020 - 2021,,,,172,51,0.3,1,0,0,,,,,,,,,
,,2021 - 2022,,,,226,53,0.23,9,2,0.22,,,,,,,,,
3. Arunachal Pradesh,1. Anjaw,2016 - 2017,,,,,,,62,11,0.18,,,,,,,,,
,,2017 - 2018,,,,,,,47,13,0.28,,,,,,,,,
,,2018 - 2019,,,,,,,47,13,0.28,,,,,,,,,
,,2019 - 2020,,,,,,,47,13,0.28,,,,,,,,,
,,2020 - 2021,,,,,,,47,15,0.32,,,,,,,,,
,,2021 - 2022,,,,,,,49,17,0.35,,,,,,,,,
,,2022 - 2023,,,,,,,59,22,0.37,,,,,,,,,
,2. Changlang,2016 - 2017,,,,,,,82,35,0.43,,,,,,,,,
,,2017 - 2018,,,,,,,227,197,0.87,,,,,,,,,
,,2018 - 2019,,,,,,,177,97,0.55,,,,,,,,,
,,2019 - 2020,,,,,,,177,97,0.55,,,,,,,,,
,,2020 - 2021,,,,,,,177,100,0.56,,,,,,,,,
,,2021 - 2022,,,,,,,184,137,0.74,,,,,,,,,
,,2022 - 2023,,,,,,,199,152,0.76,,,,,,,,,
,3. Dibang valley,2016 - 2017,,,,,,,68,29,0.43,,,,,,,,,
,,2017 - 2018,,,,,,,39,31,0.79,,,,,,,,,
,,2018 - 2019,,,,,,,39,31,0.79,,,,,,,,,
,,2019 - 2020,,,,,,,39,31,0.79,,,,,,,,,
,,2020 - 2021,,,,,,,39,33,0.85,,,,,,,,,
,,2021 - 2022,,,,,,,41,36,0.88,,,,,,,,,
,,2022 - 2023,,,,,,,41,38,0.93,,,,,,,,,
,4. East kameng,2016 - 2017,,,,,,,358,247,0.69,,,,,,,,,
,,2017 - 2018,,,,,,,309,250,0.81,,,,,,,,,
,,2018 - 2019,,,,,,,309,250,0.81,,,,,,,,,
,,2019 - 2020,,,,,,,216,175,0.81,,,,,,,,,
,,2020 - 2021,,,,,,,216,175,0.81,,,,,,,,,
,,2021 - 2022,,,,,,,224,184,0.82,,,,,,,,,
,,2022 - 2023,,,,,,,244,199,0.82,,,,,,,,,
,5. East siang,2016 - 2017,,,,,,,138,178,1.29,,,,,,,,,
,,2017 - 2018,,,,,,,140,129,0.92,,,,,,,,,
,,2018 - 2019,,,,,,,120,109,0.91,,,,,,,,,
,,2019 - 2020,,,,,,,120,109,0.91,,,,,,,,,
,,2020 - 2021,,,,,,,120,109,0.91,,,,,,,,,
,,2021 - 2022,,,,,,,132,124,0.94,,,,,,,,,
,,2022 - 2023,,,,,,,152,134,0.88,,,,,,,,,
,6. Kamle,2018 - 2019,,,,,,,36,36,1,,,,,,,,,
,,2019 - 2020,,,,,,,37,36,0.97,,,,,,,,,
,,2020 - 2021,,,,,,,37,36,0.97,,,,,,,,,
,,2021 - 2022,,,,,,,43,38,0.88,,,,,,,,,
,,2022 - 2023,,,,,,,53,48,0.91,,,,,,,,,
,7. Kra daadi,2016 - 2017,,,,,,,108,107,0.99,,,,,,,,,
,,2017 - 2018,,,,,,,30,40,1.33,,,,,,,,,
,,2018 - 2019,,,,,,,30,40,1.33,,,,,,,,,
,,2019 - 2020,,,,,,,31,40,1.29,,,,,,,,,
,,2020 - 2021,,,,,,,31,40,1.29,,,,,,,,,
,,2021 - 2022,,,,,,,34,39,1.15,,,,,,,,,
,,2022 - 2023,,,,,,,44,40,0.91,,,,,,,,,
,8. Kurung kumey,2016 - 2017,,,,,,,107,105,0.98,,,,,,,,,
,,2017 - 2018,,,,,,,29,7,0.24,,,,,,,,,
,,2018 - 2019,,,,,,,29,7,0.24,,,,,,,,,
,,2019 - 2020,,,,,,,30,8,0.27,,,,,,,,,
,,2020 - 2021,,,,,,,30,10,0.33,,,,,,,,,
,,2021 - 2022,,,,,,,32,19,0.59,,,,,,,,,
,,2022 - 2023,,,,,,,42,29,0.69,,,,,,,,,
,9. Leparada,2019 - 2020,,,,,,,18,16,0.89,,,,,,,,,
,,2020 - 2021,,,,,,,18,16,0.89,,,,,,,,,
,,2021 - 2022,,,,,,,24,19,0.79,,,,,,,,,
,,2022 - 2023,,,,,,,34,27,0.79,,,,,,,,,
,10. Lohit,2016 - 2017,,,,,,,97,30,0.31,,,,,,,,,
,,2017 - 2018,,,,,,,99,32,0.32,,,,,,,,,
,,2018 - 2019,,,,,,,99,32,0.32,,,,,,,,,
,,2019 - 2020,,,,,,,99,32,0.32,,,,,,,,,
,,2020 - 2021,,,,,,,99,35,0.35,,,,,,,,,
,,2021 - 2022,,,,,,,107,72,0.67,,,,,,,,,
,,2022 - 2023,,,,,,,117,82,0.7,,,,,,,,,
,11. Lower dibang valley,2016 - 2017,,,,,,,202,195,0.97,,,,,,,,,
,,2017 - 2018,,,,,,,340,373,1.1,,,,,,,,,
,,2018 - 2019,,,,,,,340,373,1.1,,,,,,,,,
,,2019 - 2020,,,,,,,340,373,1.1,,,,,,,,,
,,2020 - 2021,,,,,,,341,373,1.09,,,,,,,,,
,,2021 - 2022,,,,,,,349,391,1.12,,,,,,,,,
,,2022 - 2023,,,,,,,374,411,1.1,,,,,,,,,
,12. Lower siang,2018 - 2019,,,,,,,73,123,1.68,,,,,,,,,
,,2019 - 2020,,,,,,,66,111,1.68,,,,,,,,,
,,2020 - 2021,,,,,,,66,111,1.68,,,,,,,,,
,,2021 - 2022,,,,,,,71,93,1.31,,,,,,,,,
,,2022 - 2023,,,,,,,81,98,1.21,,,,,,,,,
,13. Lower subansiri,2016 - 2017,,,,,,,56,113,2.02,,,,,,,,,
,,2017 - 2018,,,,,,,52,15,0.29,,,,,,,,,
,,2018 - 2019,,,,,,,40,15,0.38,,,,,,,,,
,,2019 - 2020,,,,,,,41,17,0.41,,,,,,,,,
,,2020 - 2021,,,,,,,41,17,0.41,,,,,,,,,
,,2021 - 2022,,,,,,,47,24,0.51,,,,,,,,,
,,2022 - 2023,,,,,,,57,34,0.6,,,,,,,,,
,14. Namsai,2016 - 2017,,,,,,,181,189,1.04,,,,,,,,,
,,2017 - 2018,,,,,,,283,301,1.06,,,,,,,,,
,,2018 - 2019,,,,,,,283,301,1.06,,,,,,,,,
,,2019 - 2020,,,,,,,283,301,1.06,,,,,,,,,
,,2020 - 2021,,,,,,,284,305,1.07,,,,,,,,,
,,2021 - 2022,,,,,,,289,315,1.09,,,,,,,,,
,,2022 - 2023,,,,,,,321,335,1.04,,,,,,,,,
,15. Pakke kessang,2019 - 2020,,,,,,,93,75,0.81,,,,,,,,,
,,2020 - 2021,,,,,,,93,75,0.81,,,,,,,,,
,,2021 - 2022,,,,,,,98,82,0.84,,,,,,,,,
,,2022 - 2023,,,,,,,108,95,0.88,,,,,,,,,
,16. Papum pare,2016 - 2017,,,,,,,180,157,0.87,,,,,,,,,
,,2017 - 2018,,,,,,,141,90,0.64,,,,,,,,,
,,2018 - 2019,,,,,,,141,90,0.64,,,,,,,,,
,,2019 - 2020,,,,,,,141,91,0.65,,,,,,,,,
,,2020 - 2021,,,,,,,141,91,0.65,,,,,,,,,
,,2021 - 2022,,,,,,,152,105,0.69,,,,,,,,,
,,2022 - 2023,,,,,,,172,129,0.75,,,,,,,,,
,17. Shi yomi,2019 - 2020,,,,,,,14,5,0.36,,,,,,,,,
,,2020 - 2021,,,,,,,14,5,0.36,,,,,,,,,
,,2021 - 2022,,,,,,,15,6,0.4,,,,,,,,,
,,2022 - 2023,,,,,,,15,11,0.73,,,,,,,,,
,18. Siang,2016 - 2017,,,,,,,74,16,0.22,,,,,,,,,
,,2017 - 2018,,,,,,,39,99,2.54,,,,,,,,,
,,2018 - 2019,,,,,,,39,99,2.54,,,,,,,,,
,,2019 - 2020,,,,,,,39,99,2.54,,,,,,,,,
,,2020 - 2021,,,,,,,39,99,2.54,,,,,,,,,
,,2021 - 2022,,,,,,,44,52,1.18,,,,,,,,,
,,2022 - 2023,,,,,,,54,57,1.06,,,,,,,,,
,19. Upper siang,2016 - 2017,,,,,,,113,158,1.4,,,,,,,,,
,,2017 - 2018,,,,,,,86,22,0.26,,,,,,,,,
,,2018 - 2019,,,,,,,86,22,0.26,,,,,,,,,
,,2019 - 2020,,,,,,,86,22,0.26,,,,,,,,,
,,2020 - 2021,,,,,,,86,25,0.29,,,,,,,,,
,,2021 - 2022,,,,,,,97,35,0.36,,,,,,,,,
,,2022 - 2023,,,,,,,107,45,0.42,,,,,,,,,
,20. Upper subansiri,2016 - 2017,,,,,,,150,210,1.4,,,,,,,,,
,,2017 - 2018,,,,,,,144,212,1.47,,,,,,,,,
,,2018 - 2019,,,,,,,120,176,1.47,,,,,,,,,
,,2019 - 2020,,,,,,,121,176,1.45,,,,,,,,,
,,2020 - 2021,,,,,,,121,176,1.45,,,,,,,,,
,,2021 - 2022,,,,,,,130,178,1.37,,,,,,,,,
,,2022 - 2023,,,,,,,140,188,1.34,,,,,,,,,
,21. West siang,2016 - 2017,,,,,,,43,15,0.35,,,,,,,,,
,,2017 - 2018,,,,,,,45,17,0.38,,,,,,,,,
,,2018 - 2019,,,,,,,45,17,0.38,,,,,,,,,
,,2019 - 2020,,,,,,,20,8,0.4,,,,,,,,,
,,2020 - 2021,,,,,,,20,9,0.45,,,,,,,,,
,,2021 - 2022,,,,,,,28,14,0.5,,,,,,,,,
,,2022 - 2023,,,,,,,38,22,0.58,,,,,,,,,
4. Assam,1. Baksa,2005 - 2006,,,,,,,509,266,0.52,,,,,,,,,
,,2006 - 2007,,,,,,,471,246,0.52,,,,,,,,,
,,2007 - 2008,,,,,,,459,240,0.52,,,,,,,,,
,,2008 - 2009,,,,,,,426,221,0.52,,,,,,,,,
,,2009 - 2010,,,,,,,452,236,0.52,,,,,,,,,
,,2010 - 2011,,,,,,,450,235,0.52,,,,,,,,,
,,2011 - 2012,,,,,,,443,277,0.63,,,,,,,,,
,,2012 - 2013,,,,,,,275,185,0.67,,,,,,,,,
,,2013 - 2014,,,,,,,310,192,0.62,,,,,,,,,
,,2014 - 2015,,,,,,,315,227,0.72,,,,,,,,,
,,2015 - 2016,,,,,,,295,191,0.65,,,,,,,,,
,,2016 - 2017,,,,,,,290,211,0.73,,,,,,,,,
,,2017 - 2018,,,,,,,282,209,0.74,,,,,,,,,
,,2018 - 2019,,,,,,,285,208,0.73,,,,,,,,,
,,2019 - 2020,,,,,,,285,186,0.65,,,,,,,,,
,,2020 - 2021,,,,,,,271,178,0.66,,,,,,,,,
,,2021 - 2022,,,,,,,285,188,0.66,,,,,,,,,
,,2022 - 2023,,,,,,,267,175,0.66,,,,,,,,,
,2. Barpeta,2000 - 2001,,,,,,,860,516,0.6,,,,,,,,,
,,2001 - 2002,,,,,,,930,558,0.6,,,,,,,,,
,,2002 - 2003,,,,,,,880,528,0.6,,,,,,,,,
,,2003 - 2004,,,,,,,"1,028.00",617,0.6,,,,,,,,,
,,2004 - 2005,,,,,,,"1,005.00",603,0.6,,,,,,,,,
,,2005 - 2006,,,,,,,801,481,0.6,,,,,,,,,
,,2006 - 2007,,,,,,,797,478,0.6,,,,,,,,,
,,2007 - 2008,,,,,,,805,483,0.6,,,,,,,,,
,,2008 - 2009,,,,,,,939,562,0.6,,,,,,,,,
,,2009 - 2010,,,,,,,781,469,0.6,,,,,,,,,
,,2010 - 2011,,,,,,,831,499,0.6,,,,,,,,,
,,2011 - 2012,,,,,,,799,586,0.73,,,,,,,,,
,,2012 - 2013,,,,,,,796,621,0.78,,,,,,,,,
,,2013 - 2014,,,,,,,771,554,0.72,,,,,,,,,
,,2014 - 2015,,,,,,,766,642,0.84,,,,,,,,,
,,2015 - 2016,,,,,,,703,517,0.74,,,,,,,,,
,,2016 - 2017,,,,,,,704,504,0.72,,,,,,,,,
,,2017 - 2018,,,,,,,698,503,0.72,,,,,,,,,
,,2018 - 2019,,,,,,,694,504,0.73,,,,,,,,,
,,2019 - 2020,,,,,,,668,486,0.73,,,,,,,,,
,,2020 - 2021,,,,,,,659,484,0.73,,,,,,,,,
,,2021 - 2022,,,,,,,637,480,0.75,,,,,,,,,
,,2022 - 2023,,,,,,,639,476,0.74,,,,,,,,,
,3. Biswanath,2020 - 2021,,,,,,,53,45,0.85,,,,,,,,,
,,2021 - 2022,,,,,,,114,99,0.87,,,,,,,,,
,,2022 - 2023,,,,,,,587,508,0.87,,,,,,,,,
,4. Bongaigaon,2000 - 2001,,,,,,,678,355,0.52,,,,,,,,,
,,2001 - 2002,,,,,,,681,358,0.53,,,,,,,,,
,,2002 - 2003,,,,,,,613,317,0.52,,,,,,,,,
,,2003 - 2004,,,,,,,611,317,0.52,,,,,,,,,
,,2004 - 2005,,,,,,,583,301,0.52,,,,,,,,,
,,2005 - 2006,,,,,,,918,415,0.45,,,,,,,,,
,,2006 - 2007,,,,,,,427,215,0.5,,,,,,,,,
,,2007 - 2008,,,,,,,396,198,0.5,,,,,,,,,
,,2008 - 2009,,,,,,,273,128,0.47,,,,,,,,,
,,2009 - 2010,,,,,,,267,126,0.47,,,,,,,,,
,,2010 - 2011,,,,,,,256,119,0.46,,,,,,,,,
,,2011 - 2012,,,,,,,248,149,0.6,,,,,,,,,
,,2012 - 2013,,,,,,,229,126,0.55,,,,,,,,,
,,2013 - 2014,,,,,,,264,166,0.63,,,,,,,,,
,,2014 - 2015,,,,,,,260,153,0.59,,,,,,,,,
,,2015 - 2016,,,,,,,254,140,0.55,,,,,,,,,
,,2016 - 2017,,,,,,,346,206,0.6,,,,,,,,,
,,2017 - 2018,,,,,,,286,134,0.47,,,,,,,,,
,,2018 - 2019,,,,,,,295,188,0.64,,,,,,,,,
,,2019 - 2020,,,,,,,286,183,0.64,,,,,,,,,
,,2020 - 2021,,,,,,,277,140,0.51,,,,,,,,,
,,2021 - 2022,,,,,,,384,196,0.51,,,,,,,,,
,,2022 - 2023,,,,,,,380,177,0.47,,,,,,,,,
,5. Cachar,2000 - 2001,,,,,,,165,58,0.35,,,,,,,,,
,,2001 - 2002,,,,,,,160,56,0.35,,,,,,,,,
,,2002 - 2003,,,,,,,160,56,0.35,,,,,,,,,
,,2003 - 2004,,,,,,,176,62,0.35,,,,,,,,,
,,2004 - 2005,,,,,,,184,94,0.51,,,,,,,,,
,,2005 - 2006,,,,,,,198,101,0.51,,,,,,,,,
,,2006 - 2007,,,,,,,200,92,0.46,,,,,,,,,
,,2007 - 2008,,,,,,,196,94,0.48,,,,,,,,,
,,2008 - 2009,,,,,,,195,97,0.5,,,,,,,,,
,,2009 - 2010,,,,,,,189,95,0.5,,,,,,,,,
,,2010 - 2011,,,,,,,182,93,0.51,,,,,,,,,
,,2011 - 2012,,,,,,,189,104,0.55,,,,,,,,,
,,2012 - 2013,,,,,,,189,114,0.6,,,,,,,,,
,,2013 - 2014,,,,,,,198,130,0.66,,,,,,,,,
,,2014 - 2015,,,,,,,199,127,0.64,,,,,,,,,
,,2015 - 2016,,,,,,,180,93,0.52,,,,,,,,,
,,2016 - 2017,,,,,,,163,83,0.51,,,,,,,,,
,,2017 - 2018,,,,,,,148,76,0.51,,,,,,,,,
,,2018 - 2019,,,,,,,152,84,0.55,,,,,,,,,
,,2019 - 2020,,,,,,,152,80,0.53,,,,,,,,,
,,2020 - 2021,,,,,,,163,85,0.52,,,,,,,,,
,,2021 - 2022,,,,,,,171,90,0.53,,,,,,,,,
,,2022 - 2023,,,,,,,659,386,0.59,,,,,,,,,
,6. Charaideo,2020 - 2021,,,,,,,13,5,0.38,,,,,,,,,
,,2021 - 2022,,,,,,,14,6,0.43,,,,,,,,,
,,2022 - 2023,,,,,,,23,9,0.39,,,,,,,,,
,7. Chirang,2005 - 2006,,,,,,,342,155,0.45,,,,,,,,,
,,2006 - 2007,,,,,,,389,176,0.45,,,,,,,,,
,,2007 - 2008,,,,,,,428,213,0.5,,,,,,,,,
,,2008 - 2009,,,,,,,522,207,0.4,,,,,,,,,
,,2009 - 2010,,,,,,,446,200,0.45,,,,,,,,,
,,2010 - 2011,,,,,,,383,171,0.45,,,,,,,,,
,,2011 - 2012,,,,,,,450,249,0.55,,,,,,,,,
,,2012 - 2013,,,,,,,331,213,0.64,,,,,,,,,
,,2013 - 2014,,,,,,,383,218,0.57,,,,,,,,,
,,2014 - 2015,,,,,,,394,272,0.69,,,,,,,,,
,,2015 - 2016,,,,,,,430,241,0.56,,,,,,,,,
,,2016 - 2017,,,,,,,513,364,0.71,,,,,,,,,
,,2017 - 2018,,,,,,,612,354,0.58,,,,,,,,,
,,2018 - 2019,,,,,,,518,311,0.6,,,,,,,,,
,,2019 - 2020,,,,,,,575,415,0.72,,,,,,,,,
,,2020 - 2021,,,,,,,495,357,0.72,,,,,,,,,
,,2021 - 2022,,,,,,,507,284,0.56,,,,,,,,,
,,2022 - 2023,,,,,,,513,255,0.5,,,,,,,,,
,8. Darrang,2000 - 2001,,,,,,,"1,080.00",667,0.62,,,,,,,,,
,,2001 - 2002,,,,,,,"1,097.00",677,0.62,,,,,,,,,
,,2002 - 2003,,,,,,,"1,035.00",638,0.62,,,,,,,,,
,,2003 - 2004,,,,,,,"1,070.00",660,0.62,,,,,,,,,
,,2004 - 2005,,,,,,,996,615,0.62,,,,,,,,,
,,2005 - 2006,,,,,,,336,207,0.62,,,,,,,,,
,,2006 - 2007,,,,,,,351,217,0.62,,,,,,,,,
,,2007 - 2008,,,,,,,394,243,0.62,,,,,,,,,
,,2008 - 2009,,,,,,,640,394,0.62,,,,,,,,,
,,2009 - 2010,,,,,,,656,405,0.62,,,,,,,,,
,,2010 - 2011,,,,,,,701,433,0.62,,,,,,,,,
,,2011 - 2012,,,,,,,750,563,0.75,,,,,,,,,
,,2012 - 2013,,,,,,,785,629,0.8,,,,,,,,,
,,2013 - 2014,,,,,,,778,739,0.95,,,,,,,,,
,,2014 - 2015,,,,,,,780,672,0.86,,,,,,,,,
,,2015 - 2016,,,,,,,740,535,0.72,,,,,,,,,
,,2016 - 2017,,,,,,,736,476,0.65,,,,,,,,,
,,2017 - 2018,,,,,,,752,480,0.64,,,,,,,,,
,,2018 - 2019,,,,,,,650,417,0.64,,,,,,,,,
,,2019 - 2020,,,,,,,675,433,0.64,,,,,,,,,
,,2020 - 2021,,,,,,,677,462,0.68,,,,,,,,,
,,2021 - 2022,,,,,,,678,446,0.66,,,,,,,,,
,,2022 - 2023,,,,,,,685,401,0.59,,,,,,,,,
,9. Dhemaji,2000 - 2001,,,,,,,146,74,0.51,,,,,,,,,
,,2001 - 2002,,,,,,,126,63,0.5,,,,,,,,,
,,2002 - 2003,,,,,,,128,69,0.54,,,,,,,,,
,,2003 - 2004,,,,,,,113,58,0.51,,,,,,,,,
,,2004 - 2005,,,,,,,118,61,0.52,,,,,,,,,
,,2005 - 2006,,,,,,,159,82,0.52,,,,,,,,,
,,2006 - 2007,,,,,,,116,60,0.52,,,,,,,,,
,,2007 - 2008,,,,,,,114,59,0.52,,,,,,,,,
,,2008 - 2009,,,,,,,115,58,0.5,,,,,,,,,
,,2009 - 2010,,,,,,,110,57,0.52,,,,,,,,,
,,2010 - 2011,,,,,,,115,60,0.52,,,,,,,,,
,,2011 - 2012,,,,,,,113,67,0.59,,,,,,,,,
,,2012 - 2013,,,,,,,115,70,0.61,,,,,,,,,
,,2013 - 2014,,,,,,,110,69,0.63,,,,,,,,,
,,2014 - 2015,,,,,,,111,86,0.77,,,,,,,,,
,,2015 - 2016,,,,,,,65,41,0.63,,,,,,,,,
,,2016 - 2017,,,,,,,66,41,0.62,,,,,,,,,
,,2017 - 2018,,,,,,,64,40,0.63,,,,,,,,,
,,2018 - 2019,,,,,,,66,17,0.26,,,,,,,,,
,,2019 - 2020,,,,,,,64,16,0.25,,,,,,,,,
,,2020 - 2021,,,,,,,64,39,0.61,,,,,,,,,
,,2021 - 2022,,,,,,,78,66,0.85,,,,,,,,,
,,2022 - 2023,,,,,,,93,78,0.84,,,,,,,,,
,10. Dhubri,2000 - 2001,,,,,,,"1,920.00",961,0.5,,,,,,,,,
,,2001 - 2002,,,,,,,"1,725.00",863,0.5,,,,,,,,,
,,2002 - 2003,,,,,,,"1,700.00",850,0.5,,,,,,,,,
,,2003 - 2004,,,,,,,"1,593.00",797,0.5,,,,,,,,,
,,2004 - 2005,,,,,,,"1,545.00",773,0.5,,,,,,,,,
,,2005 - 2006,,,,,,,"1,131.00",566,0.5,,,,,,,,,
,,2006 - 2007,,,,,,,"1,119.00",560,0.5,,,,,,,,,
,,2007 - 2008,,,,,,,966,483,0.5,,,,,,,,,
,,2008 - 2009,,,,,,,965,482,0.5,,,,,,,,,
,,2009 - 2010,,,,,,,932,467,0.5,,,,,,,,,
,,2010 - 2011,,,,,,,750,375,0.5,,,,,,,,,
,,2011 - 2012,,,,,,,730,444,0.61,,,,,,,,,
,,2012 - 2013,,,,,,,715,509,0.71,,,,,,,,,
,,2013 - 2014,,,,,,,705,516,0.73,,,,,,,,,
,,2014 - 2015,,,,,,,717,549,0.77,,,,,,,,,
,,2015 - 2016,,,,,,,599,450,0.75,,,,,,,,,
,,2016 - 2017,,,,,,,578,429,0.74,,,,,,,,,
,,2017 - 2018,,,,,,,631,469,0.74,,,,,,,,,
,,2018 - 2019,,,,,,,616,455,0.74,,,,,,,,,
,,2019 - 2020,,,,,,,618,459,0.74,,,,,,,,,
,,2020 - 2021,,,,,,,466,345,0.74,,,,,,,,,
,,2021 - 2022,,,,,,,466,345,0.74,,,,,,,,,
,,2022 - 2023,,,,,,,370,273,0.74,,,,,,,,,
,11. Dibrugarh,2000 - 2001,,,,,,,305,163,0.53,,,,,,,,,
,,2001 - 2002,,,,,,,424,227,0.54,,,,,,,,,
,,2002 - 2003,,,,,,,421,225,0.53,,,,,,,,,
,,2003 - 2004,,,,,,,425,227,0.53,,,,,,,,,
,,2004 - 2005,,,,,,,183,98,0.54,,,,,,,,,
,,2005 - 2006,,,,,,,47,16,0.34,,,,,,,,,
,,2006 - 2007,,,,,,,40,19,0.48,,,,,,,,,
,,2007 - 2008,,,,,,,46,21,0.46,,,,,,,,,
,,2008 - 2009,,,,,,,32,13,0.41,,,,,,,,,
,,2009 - 2010,,,,,,,53,23,0.43,,,,,,,,,
,,2010 - 2011,,,,,,,51,22,0.43,,,,,,,,,
,,2011 - 2012,,,,,,,50,25,0.5,,,,,,,,,
,,2012 - 2013,,,,,,,56,31,0.55,,,,,,,,,
,,2013 - 2014,,,,,,,53,31,0.58,,,,,,,,,
,,2014 - 2015,,,,,,,41,24,0.59,,,,,,,,,
,,2015 - 2016,,,,,,,39,21,0.54,,,,,,,,,
,,2016 - 2017,,,,,,,41,22,0.54,,,,,,,,,
,,2017 - 2018,,,,,,,41,22,0.54,,,,,,,,,
,,2018 - 2019,,,,,,,41,29,0.71,,,,,,,,,
,,2019 - 2020,,,,,,,42,30,0.71,,,,,,,,,
,,2020 - 2021,,,,,,,43,32,0.74,,,,,,,,,
,,2021 - 2022,,,,,,,45,16,0.36,,,,,,,,,
,,2022 - 2023,,,,,,,48,18,0.38,,,,,,,,,
,12. Dima hasao,2000 - 2001,,,,,,,543,304,0.56,,,,,,,,,
,,2001 - 2002,,,,,,,545,316,0.58,,,,,,,,,
,,2002 - 2003,,,,,,,547,307,0.56,,,,,,,,,
,,2003 - 2004,,,,,,,528,299,0.57,,,,,,,,,
,,2004 - 2005,,,,,,,528,385,0.73,,,,,,,,,
,,2005 - 2006,,,,,,,533,330,0.62,,,,,,,,,
,,2006 - 2007,,,,,,,533,340,0.64,,,,,,,,,
,,2007 - 2008,,,,,,,546,343,0.63,,,,,,,,,
,,2008 - 2009,,,,,,,546,312,0.57,,,,,,,,,
,,2009 - 2010,,,,,,,568,349,0.61,,,,,,,,,
,,2010 - 2011,,,,,,,581,321,0.55,,,,,,,,,
,,2011 - 2012,,,,,,,678,523,0.77,,,,,,,,,
,,2012 - 2013,,,,,,,761,591,0.78,,,,,,,,,
,,2013 - 2014,,,,,,,837,593,0.71,,,,,,,,,
,,2014 - 2015,,,,,,,"1,037.00",865,0.83,,,,,,,,,
,,2015 - 2016,,,,,,,"1,046.00",667,0.64,,,,,,,,,
,,2016 - 2017,,,,,,,973,673,0.69,,,,,,,,,
,,2017 - 2018,,,,,,,"1,018.00",625,0.61,,,,,,,,,
,,2018 - 2019,,,,,,,"1,012.00",638,0.63,,,,,,,,,
,,2019 - 2020,,,,,,,"1,001.00",631,0.63,,,,,,,,,
,,2020 - 2021,,,,,,,"1,010.00",636,0.63,,,,,,,,,
,,2021 - 2022,,,,,,,"1,010.00",636,0.63,,,,,,,,,
,,2022 - 2023,,,,,,,"1,010.00",636,0.63,,,,,,,,,
,13. Goalpara,2000 - 2001,,,,,,,591,222,0.38,,,,,,,,,
