State,District,Year,Ragi,,,,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Autumn,,,Summer,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2010 - 2011,38,37,0.97,,,,,,,,,,,,,,,
,,2011 - 2012,39,47,1.21,,,,,,,,,,,,,,,
,,2012 - 2013,26,31,1.19,,,,,,,,,,,,,,,
,,2013 - 2014,38,39,1.03,,,,,,,,,,,,,,,
,,2014 - 2015,36,53,1.47,,,,,,,,,,,,,,,
,,2015 - 2016,47,67,1.43,,,,,,,,,,,,,,,
,,2016 - 2017,45,33,0.73,,,,,,,,,,,,,,,
,,2017 - 2018,12,12,1,,,,,,,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,,,,,,,
,6. Bhojpur,2000 - 2001,3,3,1,,,,,,,,,,,,,,,
,,2005 - 2006,17,15,0.88,,,,,,,,,,,,,,,
,,2006 - 2007,17,15,0.88,,,,,,,,,,,,,,,
,,2007 - 2008,29,18,0.62,,,,,,,,,,,,,,,
,,2008 - 2009,31,25,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,31,25,0.81,,,,,,,,,,,,,,,
,,2010 - 2011,31,30,0.97,,,,,,,,,,,,,,,
,,2011 - 2012,30,36,1.2,,,,,,,,,,,,,,,
,,2012 - 2013,8,9,1.13,,,,,,,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,,,,,,,
,,2014 - 2015,1,1,1,,,,,,,,,,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,,,,,,,
,,2017 - 2018,1,1,1,,,,,,,,,,,,,,,
,7. Buxar,2006 - 2007,12,10,0.83,,,,,,,,,,,,,,,
,8. Darbhanga,2000 - 2001,"1,736.00","1,389.00",0.8,,,,,,,,,,,,,,,
,,2001 - 2002,"1,738.00","1,783.00",1.03,,,,,,,,,,,,,,,
,,2002 - 2003,"2,358.00","1,127.00",0.48,,,,,,,,,,,,,,,
,,2003 - 2004,846,648,0.77,,,,,,,,,,,,,,,
,,2004 - 2005,"1,866.00",481,0.26,,,,,,,,,,,,,,,
,,2005 - 2006,"1,537.00","1,660.00",1.08,,,,,,,,,,,,,,,
,,2006 - 2007,"1,416.00","1,082.00",0.76,,,,,,,,,,,,,,,
,,2007 - 2008,988,191,0.19,,,,,,,,,,,,,,,
,,2008 - 2009,961,"1,212.00",1.26,,,,,,,,,,,,,,,
,,2009 - 2010,756,624,0.83,,,,,,,,,,,,,,,
,,2010 - 2011,719,812,1.13,,,,,,,,,,,,,,,
,,2011 - 2012,630,745,1.18,,,,,,,,,,,,,,,
,,2012 - 2013,616,756,1.23,,,,,,,,,,,,,,,
,,2013 - 2014,604,714,1.18,,,,,,,,,,,,,,,
,,2014 - 2015,646,968,1.5,,,,,,,,,,,,,,,
,,2015 - 2016,669,606,0.91,,,,,,,,,,,,,,,
,,2016 - 2017,589,398,0.68,,,,,,,,,,,,,,,
,,2017 - 2018,585,"1,085.00",1.85,,,,,,,,,,,,,,,
,,2018 - 2019,581,849,1.46,,,,,,,,,,,,,,,
,,2019 - 2020,424,378,0.89,,,,,,,,,,,,,,,
,,2020 - 2021,394,428,1.09,,,,,,,,,,,,,,,
,,2021 - 2022,275,324,1.18,,,,,,,,,,,,,,,
,,2022 - 2023,260,288,1.11,,,,,,,,,,,,,,,
,9. Gaya,2000 - 2001,361,397,1.1,,,,,,,,,,,,,,,
,,2001 - 2002,277,243,0.88,,,,,,,,,,,,,,,
,,2002 - 2003,222,153,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,340,229,0.67,,,,,,,,,,,,,,,
,,2004 - 2005,324,219,0.68,,,,,,,,,,,,,,,
,,2005 - 2006,230,207,0.9,,,,,,,,,,,,,,,
,,2006 - 2007,298,260,0.87,,,,,,,,,,,,,,,
,,2007 - 2008,295,176,0.6,,,,,,,,,,,,,,,
,,2008 - 2009,313,254,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,207,166,0.8,,,,,,,,,,,,,,,
,,2010 - 2011,106,104,0.98,,,,,,,,,,,,,,,
,,2011 - 2012,176,214,1.22,,,,,,,,,,,,,,,
,,2012 - 2013,224,265,1.18,,,,,,,,,,,,,,,
,,2013 - 2014,71,72,1.01,,,,,,,,,,,,,,,
,,2014 - 2015,166,245,1.48,,,,,,,,,,,,,,,
,,2015 - 2016,85,121,1.42,,,,,,,,,,,,,,,
,,2016 - 2017,123,89,0.72,,,,,,,,,,,,,,,
,,2017 - 2018,91,90,0.99,,,,,,,,,,,,,,,
,,2018 - 2019,106,114,1.08,,,,,,,,,,,,,,,
,,2019 - 2020,64,51,0.8,,,,,,,,,,,,,,,
,,2020 - 2021,96,90,0.94,,,,,,,,,,,,,,,
,,2021 - 2022,93,91,0.98,,,,,,,,,,,,,,,
,,2022 - 2023,87,87,1,,,,,,,,,,,,,,,
,10. Gopalganj,2000 - 2001,696,930,1.34,,,,,,,,,,,,,,,
,,2001 - 2002,324,438,1.35,,,,,,,,,,,,,,,
,,2002 - 2003,433,334,0.77,,,,,,,,,,,,,,,
,,2003 - 2004,389,351,0.9,,,,,,,,,,,,,,,
,,2004 - 2005,323,311,0.96,,,,,,,,,,,,,,,
,,2005 - 2006,497,421,0.85,,,,,,,,,,,,,,,
,,2006 - 2007,96,73,0.76,,,,,,,,,,,,,,,
,,2007 - 2008,151,114,0.75,,,,,,,,,,,,,,,
,,2008 - 2009,138,54,0.39,,,,,,,,,,,,,,,
,,2009 - 2010,134,42,0.31,,,,,,,,,,,,,,,
,,2010 - 2011,138,119,0.86,,,,,,,,,,,,,,,
,,2011 - 2012,54,99,1.83,,,,,,,,,,,,,,,
,,2012 - 2013,61,74,1.21,,,,,,,,,,,,,,,
,,2013 - 2014,36,31,0.86,,,,,,,,,,,,,,,
,,2014 - 2015,39,57,1.46,,,,,,,,,,,,,,,
,,2015 - 2016,25,21,0.84,,,,,,,,,,,,,,,
,,2016 - 2017,40,39,0.98,,,,,,,,,,,,,,,
,,2017 - 2018,15,15,1,,,,,,,,,,,,,,,
,,2018 - 2019,5,4,0.8,,,,,,,,,,,,,,,
,,2019 - 2020,3,3,1,,,,,,,,,,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,,,,,,,,,,
,,2021 - 2022,4,3,0.75,,,,,,,,,,,,,,,
,,2022 - 2023,4,3,0.75,,,,,,,,,,,,,,,
,11. Jamui,2000 - 2001,217,238,1.1,,,,,,,,,,,,,,,
,,2001 - 2002,6,5,0.83,,,,,,,,,,,,,,,
,,2002 - 2003,54,37,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,9,6,0.67,,,,,,,,,,,,,,,
,,2004 - 2005,40,27,0.68,,,,,,,,,,,,,,,
,,2005 - 2006,8,7,0.88,,,,,,,,,,,,,,,
,,2006 - 2007,17,15,0.88,,,,,,,,,,,,,,,
,,2007 - 2008,4,2,0.5,,,,,,,,,,,,,,,
,12. Jehanabad,2000 - 2001,23,85,3.7,,,,,,,,,,,,,,,
,,2001 - 2002,53,47,0.89,,,,,,,,,,,,,,,
,,2002 - 2003,169,116,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,36,24,0.67,,,,,,,,,,,,,,,
,,2004 - 2005,69,47,0.68,,,,,,,,,,,,,,,
,,2005 - 2006,52,47,0.9,,,,,,,,,,,,,,,
,,2006 - 2007,90,79,0.88,,,,,,,,,,,,,,,
,,2007 - 2008,156,94,0.6,,,,,,,,,,,,,,,
,,2008 - 2009,64,52,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,64,51,0.8,,,,,,,,,,,,,,,
,,2010 - 2011,51,50,0.98,,,,,,,,,,,,,,,
,,2011 - 2012,197,239,1.21,,,,,,,,,,,,,,,
,,2012 - 2013,202,239,1.18,,,,,,,,,,,,,,,
,,2013 - 2014,209,212,1.01,,,,,,,,,,,,,,,
,,2014 - 2015,9,13,1.44,,,,,,,,,,,,,,,
,,2015 - 2016,8,11,1.38,,,,,,,,,,,,,,,
,,2016 - 2017,7,5,0.71,,,,,,,,,,,,,,,
,,2017 - 2018,17,17,1,,,,,,,,,,,,,,,
,,2018 - 2019,16,17,1.06,,,,,,,,,,,,,,,
,,2019 - 2020,35,28,0.8,,,,,,,,,,,,,,,
,,2020 - 2021,16,15,0.94,,,,,,,,,,,,,,,
,,2021 - 2022,14,14,1,,,,,,,,,,,,,,,
,,2022 - 2023,9,9,1,,,,,,,,,,,,,,,
,13. Kaimur (bhabua),2000 - 2001,106,116,1.09,,,,,,,,,,,,,,,
,,2001 - 2002,83,73,0.88,,,,,,,,,,,,,,,
,,2002 - 2003,45,31,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,79,53,0.67,,,,,,,,,,,,,,,
,,2004 - 2005,57,38,0.67,,,,,,,,,,,,,,,
,,2005 - 2006,43,39,0.91,,,,,,,,,,,,,,,
,,2006 - 2007,42,37,0.88,,,,,,,,,,,,,,,
,,2007 - 2008,3,2,0.67,,,,,,,,,,,,,,,
,,2019 - 2020,2,2,1,,,,,,,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,,,,,,,
,14. Katihar,2000 - 2001,143,371,2.59,,,,,,,,,,,,,,,
,,2001 - 2002,98,73,0.74,,,,,,,,,,,,,,,
,,2002 - 2003,99,84,0.85,,,,,,,,,,,,,,,
,,2003 - 2004,41,10,0.24,,,,,,,,,,,,,,,
,,2006 - 2007,"1,084.00",606,0.56,,,,,,,,,,,,,,,
,,2007 - 2008,"1,085.00",729,0.67,,,,,,,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,,,,,,,
,15. Khagaria,2000 - 2001,40,44,1.1,,,,,,,,,,,,,,,
,,2001 - 2002,38,33,0.87,,,,,,,,,,,,,,,
,,2002 - 2003,42,29,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,43,29,0.67,,,,,,,,,,,,,,,
,,2004 - 2005,41,28,0.68,,,,,,,,,,,,,,,
,,2005 - 2006,40,36,0.9,,,,,,,,,,,,,,,
,,2006 - 2007,68,59,0.87,,,,,,,,,,,,,,,
,,2007 - 2008,38,23,0.61,,,,,,,,,,,,,,,
,,2008 - 2009,45,37,0.82,,,,,,,,,,,,,,,
,,2009 - 2010,45,36,0.8,,,,,,,,,,,,,,,
,,2010 - 2011,43,42,0.98,,,,,,,,,,,,,,,
,,2011 - 2012,44,53,1.2,,,,,,,,,,,,,,,
,,2012 - 2013,9,11,1.22,,,,,,,,,,,,,,,
,,2013 - 2014,32,32,1,,,,,,,,,,,,,,,
,,2014 - 2015,27,40,1.48,,,,,,,,,,,,,,,
,,2017 - 2018,91,90,0.99,,,,,,,,,,,,,,,
,,2018 - 2019,89,95,1.07,,,,,,,,,,,,,,,
,,2019 - 2020,85,68,0.8,,,,,,,,,,,,,,,
,,2020 - 2021,82,77,0.94,,,,,,,,,,,,,,,
,16. Kishanganj,2000 - 2001,902,"2,342.00",2.6,,,,,,,,,,,,,,,
,,2001 - 2002,838,626,0.75,,,,,,,,,,,,,,,
,,2002 - 2003,779,661,0.85,,,,,,,,,,,,,,,
,,2003 - 2004,588,139,0.24,,,,,,,,,,,,,,,
,,2004 - 2005,548,469,0.86,,,,,,,,,,,,,,,
,,2005 - 2006,519,401,0.77,,,,,,,,,,,,,,,
,,2006 - 2007,179,107,0.6,,,,,,,,,,,,,,,
,,2007 - 2008,174,142,0.82,,,,,,,,,,,,,,,
,,2008 - 2009,177,144,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,184,109,0.59,,,,,,,,,,,,,,,
,,2010 - 2011,137,129,0.94,,,,,,,,,,,,,,,
,,2011 - 2012,124,190,1.53,,,,,,,,,,,,,,,
,,2012 - 2013,110,130,1.18,,,,,,,,,,,,,,,
,,2013 - 2014,98,99,1.01,,,,,,,,,,,,,,,
,,2014 - 2015,91,134,1.47,,,,,,,,,,,,,,,
,,2015 - 2016,102,146,1.43,,,,,,,,,,,,,,,
,,2016 - 2017,109,79,0.72,,,,,,,,,,,,,,,
,,2017 - 2018,113,112,0.99,,,,,,,,,,,,,,,
,,2018 - 2019,124,133,1.07,,,,,,,,,,,,,,,
,,2019 - 2020,133,106,0.8,,,,,,,,,,,,,,,
,,2020 - 2021,103,96,0.93,,,,,,,,,,,,,,,
,,2021 - 2022,95,93,0.98,,,,,,,,,,,,,,,
,,2022 - 2023,85,85,1,,,,,,,,,,,,,,,
,17. Lakhisarai,2003 - 2004,26,18,0.69,,,,,,,,,,,,,,,
,18. Madhepura,2000 - 2001,"1,541.00","1,673.00",1.09,,,,,,,,,,,,,,,
,,2001 - 2002,"1,404.00",859,0.61,,,,,,,,,,,,,,,
,,2002 - 2003,"1,354.00",733,0.54,,,,,,,,,,,,,,,
,,2003 - 2004,816,652,0.8,,,,,,,,,,,,,,,
,,2004 - 2005,843,"1,055.00",1.25,,,,,,,,,,,,,,,
,,2005 - 2006,800,448,0.56,,,,,,,,,,,,,,,
,,2006 - 2007,652,529,0.81,,,,,,,,,,,,,,,
,,2007 - 2008,590,645,1.09,,,,,,,,,,,,,,,
,,2008 - 2009,681,652,0.96,,,,,,,,,,,,,,,
,,2009 - 2010,403,334,0.83,,,,,,,,,,,,,,,
,,2010 - 2011,352,198,0.56,,,,,,,,,,,,,,,
,,2011 - 2012,261,230,0.88,,,,,,,,,,,,,,,
,,2012 - 2013,292,269,0.92,,,,,,,,,,,,,,,
,,2013 - 2014,206,191,0.93,,,,,,,,,,,,,,,
,,2014 - 2015,201,291,1.45,,,,,,,,,,,,,,,
,,2015 - 2016,205,206,1,,,,,,,,,,,,,,,
,,2016 - 2017,220,113,0.51,,,,,,,,,,,,,,,
,,2017 - 2018,67,49,0.73,,,,,,,,,,,,,,,
,,2018 - 2019,20,50,2.5,,,,,,,,,,,,,,,
,,2019 - 2020,19,12,0.63,,,,,,,,,,,,,,,
,,2020 - 2021,21,20,0.95,,,,,,,,,,,,,,,
,,2022 - 2023,36,41,1.14,,,,,,,,,,,,,,,
,19. Madhubani,2000 - 2001,"4,784.00","4,286.00",0.9,,,,,,,,,,,,,,,
,,2001 - 2002,"3,677.00","3,773.00",1.03,,,,,,,,,,,,,,,
,,2002 - 2003,"3,980.00","3,204.00",0.81,,,,,,,,,,,,,,,
,,2003 - 2004,"2,891.00","1,576.00",0.55,,,,,,,,,,,,,,,
,,2004 - 2005,"3,340.00","3,009.00",0.9,,,,,,,,,,,,,,,
,,2005 - 2006,"3,078.00","3,250.00",1.06,,,,,,,,,,,,,,,
,,2006 - 2007,"2,808.00","3,662.00",1.3,,,,,,,,,,,,,,,
,,2007 - 2008,"2,710.00","1,209.00",0.45,,,,,,,,,,,,,,,
,,2008 - 2009,"2,722.00","1,669.00",0.61,,,,,,,,,,,,,,,
,,2009 - 2010,"2,622.00","2,368.00",0.9,,,,,,,,,,,,,,,
,,2010 - 2011,"2,287.00","1,791.00",0.78,,,,,,,,,,,,,,,
,,2011 - 2012,"1,755.00","1,845.00",1.05,,,,,,,,,,,,,,,
,,2012 - 2013,"1,736.00","2,130.00",1.23,,,,,,,,,,,,,,,
,,2013 - 2014,"1,755.00","2,074.00",1.18,,,,,,,,,,,,,,,
,,2014 - 2015,"1,635.00","1,305.00",0.8,,,,,,,,,,,,,,,
,,2015 - 2016,"1,686.00","4,586.00",2.72,,,,,,,,,,,,,,,
,,2016 - 2017,63,43,0.68,,,,,,,,,,,,,,,
,,2017 - 2018,69,128,1.86,,,,,,,,,,,,,,,
,,2018 - 2019,41,63,1.54,,,,,,,,,,,,,,,
,,2019 - 2020,54,62,1.15,,,,,,,,,,,,,,,
,,2020 - 2021,135,147,1.09,,,,,,,,,,,,,,,
,,2021 - 2022,235,277,1.18,,,,,,,,,,,,,,,
,,2022 - 2023,232,257,1.11,,,,,,,,,,,,,,,
,20. Munger,2000 - 2001,5,5,1,,,,,,,,,,,,,,,
,,2011 - 2012,28,34,1.21,,,,,,,,,,,,,,,
,,2012 - 2013,25,30,1.2,,,,,,,,,,,,,,,
,21. Muzaffarpur,2000 - 2001,932,"1,104.00",1.18,,,,,,,,,,,,,,,
,,2001 - 2002,811,630,0.78,,,,,,,,,,,,,,,
,,2002 - 2003,767,657,0.86,,,,,,,,,,,,,,,
,,2003 - 2004,693,368,0.53,,,,,,,,,,,,,,,
,,2004 - 2005,619,217,0.35,,,,,,,,,,,,,,,
,,2005 - 2006,473,187,0.4,,,,,,,,,,,,,,,
,,2006 - 2007,200,175,0.88,,,,,,,,,,,,,,,
,,2007 - 2008,356,215,0.6,,,,,,,,,,,,,,,
,,2008 - 2009,309,251,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,325,225,0.69,,,,,,,,,,,,,,,
,,2010 - 2011,313,488,1.56,,,,,,,,,,,,,,,
,,2011 - 2012,310,539,1.74,,,,,,,,,,,,,,,
,,2012 - 2013,323,613,1.9,,,,,,,,,,,,,,,
,,2013 - 2014,141,132,0.94,,,,,,,,,,,,,,,
,,2014 - 2015,36,17,0.47,,,,,,,,,,,,,,,
,,2015 - 2016,133,137,1.03,,,,,,,,,,,,,,,
,,2016 - 2017,22,16,0.73,,,,,,,,,,,,,,,
,,2017 - 2018,1,1,1,,,,,,,,,,,,,,,
,22. Nalanda,2000 - 2001,90,99,1.1,,,,,,,,,,,,,,,
,,2001 - 2002,49,43,0.88,,,,,,,,,,,,,,,
,,2002 - 2003,54,37,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,55,37,0.67,,,,,,,,,,,,,,,
,,2004 - 2005,51,34,0.67,,,,,,,,,,,,,,,
,,2005 - 2006,56,50,0.89,,,,,,,,,,,,,,,
,,2006 - 2007,54,47,0.87,,,,,,,,,,,,,,,
,,2007 - 2008,58,35,0.6,,,,,,,,,,,,,,,
,,2008 - 2009,63,51,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,28,23,0.82,,,,,,,,,,,,,,,
,,2010 - 2011,16,16,1,,,,,,,,,,,,,,,
,,2011 - 2012,14,17,1.21,,,,,,,,,,,,,,,
,,2012 - 2013,28,33,1.18,,,,,,,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,,,,,,,
,,2014 - 2015,2,3,1.5,,,,,,,,,,,,,,,
,,2015 - 2016,7,10,1.43,,,,,,,,,,,,,,,
,,2016 - 2017,5,4,0.8,,,,,,,,,,,,,,,
,,2017 - 2018,1,1,1,,,,,,,,,,,,,,,
,,2019 - 2020,6,5,0.83,,,,,,,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,,,,,,,
,23. Nawada,2000 - 2001,407,447,1.1,,,,,,,,,,,,,,,
,,2001 - 2002,308,270,0.88,,,,,,,,,,,,,,,
,,2002 - 2003,367,252,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,259,175,0.68,,,,,,,,,,,,,,,
,,2004 - 2005,255,172,0.67,,,,,,,,,,,,,,,
,,2005 - 2006,352,317,0.9,,,,,,,,,,,,,,,
,,2006 - 2007,376,329,0.88,,,,,,,,,,,,,,,
,,2007 - 2008,298,180,0.6,,,,,,,,,,,,,,,
,,2008 - 2009,254,207,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,202,162,0.8,,,,,,,,,,,,,,,
,,2010 - 2011,227,223,0.98,,,,,,,,,,,,,,,
,,2011 - 2012,262,318,1.21,,,,,,,,,,,,,,,
,,2012 - 2013,295,348,1.18,,,,,,,,,,,,,,,
,,2013 - 2014,184,187,1.02,,,,,,,,,,,,,,,
,,2014 - 2015,200,295,1.48,,,,,,,,,,,,,,,
,,2015 - 2016,153,219,1.43,,,,,,,,,,,,,,,
,,2016 - 2017,131,95,0.73,,,,,,,,,,,,,,,
,,2017 - 2018,90,89,0.99,,,,,,,,,,,,,,,
,,2018 - 2019,108,116,1.07,,,,,,,,,,,,,,,
,,2019 - 2020,122,97,0.8,,,,,,,,,,,,,,,
,,2020 - 2021,140,131,0.94,,,,,,,,,,,,,,,
,,2021 - 2022,140,137,0.98,,,,,,,,,,,,,,,
,,2022 - 2023,119,119,1,,,,,,,,,,,,,,,
,24. Pashchim champaran,2000 - 2001,30,27,0.9,,,,,,,,,,,,,,,
,,2001 - 2002,12,11,0.92,,,,,,,,,,,,,,,
,,2002 - 2003,32,26,0.81,,,,,,,,,,,,,,,
,,2003 - 2004,33,24,0.73,,,,,,,,,,,,,,,
,,2004 - 2005,35,10,0.29,,,,,,,,,,,,,,,
,,2005 - 2006,40,16,0.4,,,,,,,,,,,,,,,
,,2006 - 2007,39,34,0.87,,,,,,,,,,,,,,,
,,2007 - 2008,39,24,0.62,,,,,,,,,,,,,,,
,,2008 - 2009,32,26,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,17,12,0.71,,,,,,,,,,,,,,,
,,2010 - 2011,9,14,1.56,,,,,,,,,,,,,,,
,,2011 - 2012,9,16,1.78,,,,,,,,,,,,,,,
,,2012 - 2013,8,15,1.88,,,,,,,,,,,,,,,
,,2013 - 2014,7,7,1,,,,,,,,,,,,,,,
,,2014 - 2015,7,9,1.29,,,,,,,,,,,,,,,
,,2015 - 2016,2,2,1,,,,,,,,,,,,,,,
,,2016 - 2017,2,1,0.5,,,,,,,,,,,,,,,
,,2017 - 2018,2,2,1,,,,,,,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,,,,,,,
,25. Patna,2000 - 2001,103,113,1.1,,,,,,,,,,,,,,,
,,2001 - 2002,22,19,0.86,,,,,,,,,,,,,,,
,,2002 - 2003,29,20,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,17,11,0.65,,,,,,,,,,,,,,,
,,2004 - 2005,5,3,0.6,,,,,,,,,,,,,,,
,,2012 - 2013,72,85,1.18,,,,,,,,,,,,,,,
,,2013 - 2014,3,3,1,,,,,,,,,,,,,,,
,,2014 - 2015,25,37,1.48,,,,,,,,,,,,,,,
,,2015 - 2016,25,36,1.44,,,,,,,,,,,,,,,
,,2016 - 2017,18,13,0.72,,,,,,,,,,,,,,,
,,2018 - 2019,4,4,1,,,,,,,,,,,,,,,
,,2019 - 2020,15,12,0.8,,,,,,,,,,,,,,,
,26. Purbi champaran,2000 - 2001,144,129,0.9,,,,,,,,,,,,,,,
,,2001 - 2002,248,232,0.94,,,,,,,,,,,,,,,
,,2002 - 2003,296,236,0.8,,,,,,,,,,,,,,,
,,2003 - 2004,23,17,0.74,,,,,,,,,,,,,,,
,,2004 - 2005,15,4,0.27,,,,,,,,,,,,,,,
,,2005 - 2006,16,6,0.38,,,,,,,,,,,,,,,
,,2006 - 2007,18,16,0.89,,,,,,,,,,,,,,,
,,2007 - 2008,31,19,0.61,,,,,,,,,,,,,,,
,,2008 - 2009,29,24,0.83,,,,,,,,,,,,,,,
,,2009 - 2010,36,25,0.69,,,,,,,,,,,,,,,
,,2010 - 2011,31,48,1.55,,,,,,,,,,,,,,,
,,2011 - 2012,18,31,1.72,,,,,,,,,,,,,,,
,,2012 - 2013,13,25,1.92,,,,,,,,,,,,,,,
,27. Purnia,2000 - 2001,175,454,2.59,,,,,,,,,,,,,,,
,,2001 - 2002,99,74,0.75,,,,,,,,,,,,,,,
,,2002 - 2003,31,26,0.84,,,,,,,,,,,,,,,
,,2003 - 2004,22,5,0.23,,,,,,,,,,,,,,,
,,2004 - 2005,100,86,0.86,,,,,,,,,,,,,,,
,,2005 - 2006,36,28,0.78,,,,,,,,,,,,,,,
,,2006 - 2007,53,32,0.6,,,,,,,,,,,,,,,
,28. Rohtas,2000 - 2001,65,71,1.09,,,,,,,,,,,,,,,
,,2001 - 2002,4,4,1,,,,,,,,,,,,,,,
,,2002 - 2003,67,46,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,75,51,0.68,,,,,,,,,,,,,,,
,,2004 - 2005,49,33,0.67,,,,,,,,,,,,,,,
,,2005 - 2006,74,67,0.91,,,,,,,,,,,,,,,
,,2006 - 2007,66,58,0.88,,,,,,,,,,,,,,,
,,2010 - 2011,2,2,1,,,,,,,,,,,,,,,
,,2012 - 2013,1,1,1,,,,,,,,,,,,,,,
,29. Saharsa,2000 - 2001,"2,201.00","1,798.00",0.82,,,,,,,,,,,,,,,
,,2001 - 2002,"2,096.00","1,958.00",0.93,,,,,,,,,,,,,,,
,,2002 - 2003,"1,296.00",889,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,"1,001.00",973,0.97,,,,,,,,,,,,,,,
,,2004 - 2005,"1,120.00",833,0.74,,,,,,,,,,,,,,,
,,2005 - 2006,"1,655.00","2,322.00",1.4,,,,,,,,,,,,,,,
,,2006 - 2007,"1,194.00",993,0.83,,,,,,,,,,,,,,,
,,2007 - 2008,990,760,0.77,,,,,,,,,,,,,,,
,,2008 - 2009,729,499,0.68,,,,,,,,,,,,,,,
,,2009 - 2010,882,"1,021.00",1.16,,,,,,,,,,,,,,,
,,2010 - 2011,874,852,0.97,,,,,,,,,,,,,,,
,,2011 - 2012,546,443,0.81,,,,,,,,,,,,,,,
,,2012 - 2013,735,526,0.72,,,,,,,,,,,,,,,
,,2013 - 2014,560,455,0.81,,,,,,,,,,,,,,,
,,2014 - 2015,253,501,1.98,,,,,,,,,,,,,,,
,,2015 - 2016,466,595,1.28,,,,,,,,,,,,,,,
,,2016 - 2017,468,672,1.44,,,,,,,,,,,,,,,
,,2017 - 2018,447,420,0.94,,,,,,,,,,,,,,,
,,2018 - 2019,430,436,1.01,,,,,,,,,,,,,,,
,,2019 - 2020,423,338,0.8,,,,,,,,,,,,,,,
,,2020 - 2021,365,281,0.77,,,,,,,,,,,,,,,
,,2021 - 2022,353,225,0.64,,,,,,,,,,,,,,,
,,2022 - 2023,279,235,0.84,,,,,,,,,,,,,,,
,30. Samastipur,2000 - 2001,129,144,1.12,,,,,,,,,,,,,,,
,,2008 - 2009,20,15,0.75,,,,,,,,,,,,,,,
,,2009 - 2010,158,140,0.89,,,,,,,,,,,,,,,
,,2010 - 2011,17,15,0.88,,,,,,,,,,,,,,,
,,2013 - 2014,9,11,1.22,,,,,,,,,,,,,,,
,,2014 - 2015,115,115,1,,,,,,,,,,,,,,,
,,2015 - 2016,111,245,2.21,,,,,,,,,,,,,,,
,,2016 - 2017,87,59,0.68,,,,,,,,,,,,,,,
,,2017 - 2018,1,2,2,,,,,,,,,,,,,,,
,,2018 - 2019,2,3,1.5,,,,,,,,,,,,,,,
,,2019 - 2020,136,125,0.92,,,,,,,,,,,,,,,
,,2020 - 2021,124,135,1.09,,,,,,,,,,,,,,,
,31. Saran,2000 - 2001,674,"1,456.00",2.16,,,,,,,,,,,,,,,
,,2001 - 2002,610,824,1.35,,,,,,,,,,,,,,,
,,2002 - 2003,831,642,0.77,,,,,,,,,,,,,,,
,,2003 - 2004,762,687,0.9,,,,,,,,,,,,,,,
,,2004 - 2005,575,554,0.96,,,,,,,,,,,,,,,
,,2005 - 2006,566,445,0.79,,,,,,,,,,,,,,,
,,2006 - 2007,634,470,0.74,,,,,,,,,,,,,,,
,,2007 - 2008,367,293,0.8,,,,,,,,,,,,,,,
,,2008 - 2009,262,87,0.33,,,,,,,,,,,,,,,
,,2009 - 2010,327,102,0.31,,,,,,,,,,,,,,,
,,2010 - 2011,244,210,0.86,,,,,,,,,,,,,,,
,,2011 - 2012,273,499,1.83,,,,,,,,,,,,,,,
,,2012 - 2013,201,245,1.22,,,,,,,,,,,,,,,
,,2013 - 2014,388,332,0.86,,,,,,,,,,,,,,,
,,2014 - 2015,314,460,1.46,,,,,,,,,,,,,,,
