State,District,Year,Castor seed,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2002 - 2003,23,8,0.35,,,,,,
,,2003 - 2004,19,6,0.32,,,,,,
,,2004 - 2005,8,3,0.38,,,,,,
,,2005 - 2006,13,4,0.31,,,,,,
,,2006 - 2007,3,1,0.33,,,,,,
,,2007 - 2008,3,1,0.33,,,,,,
,,2009 - 2010,3,1,0.33,,,,,,
,,2010 - 2011,7,2,0.29,,,,,,
,,2011 - 2012,4,2,0.5,,,,,,
,,2012 - 2013,3,1,0.33,,,,,,
,,2014 - 2015,3,1,0.33,,,,,,
,,2015 - 2016,3,1,0.33,,,,,,
,,2016 - 2017,4,2,0.5,,,,,,
,,2017 - 2018,3,1,0.33,,,,,,
,11. Dima hasao,2000 - 2001,91,41,0.45,,,,,,
,,2001 - 2002,91,41,0.45,,,,,,
,,2002 - 2003,88,40,0.45,,,,,,
,,2003 - 2004,90,41,0.46,,,,,,
,,2004 - 2005,85,38,0.45,,,,,,
,,2005 - 2006,86,39,0.45,,,,,,
,,2006 - 2007,86,39,0.45,,,,,,
,,2007 - 2008,88,40,0.45,,,,,,
,,2008 - 2009,85,36,0.42,,,,,,
,,2009 - 2010,88,39,0.44,,,,,,
,,2010 - 2011,90,40,0.44,,,,,,
,,2011 - 2012,97,54,0.56,,,,,,
,,2012 - 2013,43,25,0.58,,,,,,
,,2013 - 2014,47,29,0.62,,,,,,
,,2014 - 2015,46,29,0.63,,,,,,
,,2015 - 2016,48,22,0.46,,,,,,
,,2016 - 2017,47,21,0.45,,,,,,
,,2017 - 2018,48,22,0.46,,,,,,
,,2018 - 2019,48,19,0.4,,,,,,
,,2019 - 2020,48,19,0.4,,,,,,
,,2020 - 2021,42,17,0.4,,,,,,
,,2021 - 2022,42,17,0.4,,,,,,
,,2022 - 2023,42,19,0.45,,,,,,
,12. Goalpara,2000 - 2001,50,18,0.36,,,,,,
,,2001 - 2002,44,16,0.36,,,,,,
,,2002 - 2003,32,12,0.38,,,,,,
,,2003 - 2004,41,15,0.37,,,,,,
,,2004 - 2005,23,8,0.35,,,,,,
,,2005 - 2006,25,9,0.36,,,,,,
,,2006 - 2007,25,9,0.36,,,,,,
,,2007 - 2008,22,8,0.36,,,,,,
,,2008 - 2009,25,9,0.36,,,,,,
,,2009 - 2010,20,7,0.35,,,,,,
,,2010 - 2011,20,7,0.35,,,,,,
,,2011 - 2012,21,10,0.48,,,,,,
,,2012 - 2013,26,12,0.46,,,,,,
,,2013 - 2014,28,39,1.39,,,,,,
,,2014 - 2015,28,14,0.5,,,,,,
,,2015 - 2016,14,6,0.43,,,,,,
,,2016 - 2017,12,5,0.42,,,,,,
,,2017 - 2018,21,10,0.48,,,,,,
,,2018 - 2019,22,10,0.45,,,,,,
,,2019 - 2020,21,10,0.48,,,,,,
,,2020 - 2021,21,10,0.48,,,,,,
,,2021 - 2022,21,7,0.33,,,,,,
,,2022 - 2023,18,8,0.44,,,,,,
,13. Golaghat,2000 - 2001,9,4,0.44,,,,,,
,,2001 - 2002,9,5,0.56,,,,,,
,,2002 - 2003,8,5,0.63,,,,,,
,,2003 - 2004,9,5,0.56,,,,,,
,,2004 - 2005,8,5,0.63,,,,,,
,,2005 - 2006,10,6,0.6,,,,,,
,,2006 - 2007,10,6,0.6,,,,,,
,,2007 - 2008,10,5,0.5,,,,,,
,,2008 - 2009,12,5,0.42,,,,,,
,,2009 - 2010,26,14,0.54,,,,,,
,,2010 - 2011,28,15,0.54,,,,,,
,,2011 - 2012,43,26,0.6,,,,,,
,,2012 - 2013,36,23,0.64,,,,,,
,,2013 - 2014,34,23,0.68,,,,,,
,,2014 - 2015,40,28,0.7,,,,,,
,,2015 - 2016,30,20,0.67,,,,,,
,,2016 - 2017,31,19,0.61,,,,,,
,,2017 - 2018,29,19,0.66,,,,,,
,,2018 - 2019,28,19,0.68,,,,,,
,,2019 - 2020,28,19,0.68,,,,,,
,,2020 - 2021,23,15,0.65,,,,,,
,,2021 - 2022,24,16,0.67,,,,,,
,,2022 - 2023,27,18,0.67,,,,,,
,14. Hailakandi,2000 - 2001,5,2,0.4,,,,,,
,,2001 - 2002,5,2,0.4,,,,,,
,,2002 - 2003,5,2,0.4,,,,,,
,,2003 - 2004,6,2,0.33,,,,,,
,,2004 - 2005,5,2,0.4,,,,,,
,,2005 - 2006,5,2,0.4,,,,,,
,,2006 - 2007,5,2,0.4,,,,,,
,,2007 - 2008,5,2,0.4,,,,,,
,,2008 - 2009,5,2,0.4,,,,,,
,,2009 - 2010,5,2,0.4,,,,,,
,,2010 - 2011,4,1,0.25,,,,,,
,,2017 - 2018,5,1,0.2,,,,,,
,,2018 - 2019,5,3,0.6,,,,,,
,,2019 - 2020,3,2,0.67,,,,,,
,,2020 - 2021,4,2,0.5,,,,,,
,,2021 - 2022,3,2,0.67,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,
,15. Jorhat,2000 - 2001,13,5,0.38,,,,,,
