State,District,Year,Khesari,,,,,,,,
,,2011 - 2012,111,38,0.34,,,,,,
,,2012 - 2013,47,36,0.77,,,,,,
,,2013 - 2014,"2,448.00","1,532.00",0.63,,,,,,
,31. Shivpuri,2008 - 2009,5,3,0.6,,,,,,
,,2013 - 2014,45,19,0.42,,,,,,
,32. Sidhi,2006 - 2007,929,374,0.4,,,,,,
,,2007 - 2008,963,275,0.29,,,,,,
,,2008 - 2009,920,386,0.42,,,,,,
,,2009 - 2010,,,,856,355,0.41,,,
,,2010 - 2011,926,239,0.26,,,,,,
,,2011 - 2012,893,433,0.48,,,,,,
,,2012 - 2013,929,539,0.58,,,,,,
,,2013 - 2014,851,350,0.41,,,,,,
,33. Singrauli,2008 - 2009,54,23,0.43,,,,,,
,,2009 - 2010,,,,114,62,0.54,,,
,,2010 - 2011,101,41,0.41,,,,,,
,,2011 - 2012,105,61,0.58,,,,,,
,,2012 - 2013,104,94,0.9,,,,,,
,,2013 - 2014,92,52,0.57,,,,,,
,34. Tikamgarh,2006 - 2007,67,33,0.49,,,,,,
,,2007 - 2008,6,2,0.33,,,,,,
,,2008 - 2009,37,26,0.7,,,,,,
,,2009 - 2010,,,,26,16,0.62,,,
,,2010 - 2011,269,85,0.32,,,,,,
,,2011 - 2012,179,102,0.57,,,,,,
,,2012 - 2013,121,50,0.41,,,,,,
,35. Ujjain,2008 - 2009,2,1,0.5,,,,,,
,36. Umaria,2009 - 2010,,,,18,7,0.39,,,
,,2010 - 2011,14,3,0.21,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,
,37. Vidisha,2006 - 2007,"5,025.00","4,495.00",0.89,,,,,,
,,2007 - 2008,"7,230.00","3,452.00",0.48,,,,,,
,,2008 - 2009,"7,797.00","6,415.00",0.82,,,,,,
,,2009 - 2010,,,,"8,876.00","7,601.00",0.86,,,
,,2010 - 2011,"9,078.00","4,583.00",0.5,,,,,,
,,2011 - 2012,"7,988.00","6,294.00",0.79,,,,,,
,,2012 - 2013,"6,998.00","6,361.00",0.91,,,,,,
,,2013 - 2014,"8,918.00","4,683.00",0.53,,,,,,
4. Tripura,1. Dhalai,2019 - 2020,4,3,0.75,,,,,,
,,2020 - 2021,2,2,1,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,
,,2022 - 2023,2,2,1,,,,,,
,2. Gomati,2018 - 2019,7,4.96,0.71,,,,,,
,,2019 - 2020,6,4,0.67,,,,,,
,,2020 - 2021,6,4,0.67,,,,,,
,,2021 - 2022,4,3,0.75,,,,,,
,,2022 - 2023,4,4,1,,,,,,
,3. Khowai,2019 - 2020,4,3,0.75,,,,,,
,,2020 - 2021,5,3,0.6,,,,,,
,,2022 - 2023,2,2,1,,,,,,
,4. North tripura,2018 - 2019,3,1.89,0.63,,,,,,
,,2019 - 2020,5,3,0.6,,,,,,
,,2020 - 2021,1,1,1,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,5. Sepahijala,2018 - 2019,2,1.26,0.63,,,,,,
,,2022 - 2023,2,2,1,,,,,,
,6. South tripura,2018 - 2019,5,3.19,0.64,,,,,,
,,2019 - 2020,9,6,0.67,,,,,,
,,2020 - 2021,4,3,0.75,,,,,,
,,2021 - 2022,4,3,0.75,,,,,,
,,2022 - 2023,5,5,1,,,,,,
,7. Unakoti,2018 - 2019,11,7.11,0.65,,,,,,
,,2019 - 2020,14,10,0.71,,,,,,
,,2021 - 2022,4,4,1,,,,,,
,,2022 - 2023,4,4,1,,,,,,
,8. West tripura,2019 - 2020,10,6.5,0.65,,,,,,
5. West Bengal,1. 24 paraganas north,2000 - 2001,284,290,1.02,,,,,,
,,2001 - 2002,487,391,0.8,,,,,,
,,2002 - 2003,404,555,1.37,,,,,,
,,2003 - 2004,81,124,1.53,,,,,,
,,2004 - 2005,831,828,1,,,,,,
,,2005 - 2006,685,573,0.84,,,,,,
,,2006 - 2007,822,730,0.89,,,,,,
,,2007 - 2008,556,537,0.97,,,,,,
,,2008 - 2009,446,571,1.28,,,,,,
,,2009 - 2010,190,258,1.36,,,,,,
,,2010 - 2011,255,207,0.81,,,,,,
,,2011 - 2012,454,310,0.68,,,,,,
,,2012 - 2013,372,452,1.22,,,,,,
,,2013 - 2014,402,520,1.29,,,,,,
,,2014 - 2015,619,615,0.99,,,,,,
,,2015 - 2016,471,343,0.73,,,,,,
,,2016 - 2017,665,674,1.01,,,,,,
,,2017 - 2018,"2,312.00","2,162.00",0.94,,,,,,
,,2018 - 2019,"1,955.00","1,254.00",0.64,,,,,,
,,2019 - 2020,"2,433.00","1,107.00",0.45,,,,,,
,,2020 - 2021,"2,273.00","3,191.00",1.4,,,,,,
,,2021 - 2022,"2,555.00","3,119.00",1.22,,,,,,
,,2022 - 2023,"2,393.00","3,494.00",1.46,,,,,,
,2. 24 paraganas south,2000 - 2001,"5,624.00","5,100.00",0.91,,,,,,
,,2001 - 2002,"4,709.00","4,422.00",0.94,,,,,,
,,2002 - 2003,"5,175.00","5,945.00",1.15,,,,,,
,,2003 - 2004,"4,078.00","4,172.00",1.02,,,,,,
,,2004 - 2005,"2,586.00","3,247.00",1.26,,,,,,
,,2005 - 2006,"2,409.00","2,922.00",1.21,,,,,,
,,2006 - 2007,"3,968.00","4,059.00",1.02,,,,,,
,,2007 - 2008,"4,579.00","3,567.00",0.78,,,,,,
,,2008 - 2009,"3,516.00","4,008.00",1.14,,,,,,
,,2009 - 2010,"3,774.00","4,163.00",1.1,,,,,,
,,2010 - 2011,"3,374.00","4,736.00",1.4,,,,,,
,,2011 - 2012,"4,048.00","3,206.00",0.79,,,,,,
,,2012 - 2013,"6,050.00","6,653.00",1.1,,,,,,
,,2013 - 2014,"6,061.00","7,008.00",1.16,,,,,,
,,2014 - 2015,"6,702.00","7,762.00",1.16,,,,,,
,,2015 - 2016,"7,052.00","5,643.00",0.8,,,,,,
,,2016 - 2017,"9,449.00","9,619.00",1.02,,,,,,
,,2017 - 2018,"20,742.00","18,148.00",0.87,,,,,,
,,2018 - 2019,"22,598.00","14,498.00",0.64,,,,,,
,,2019 - 2020,"24,703.00","11,245.00",0.46,,,,,,
,,2020 - 2021,"25,014.00","37,593.00",1.5,,,,,,
,,2021 - 2022,"25,576.00","33,849.00",1.32,,,,,,
,,2022 - 2023,"26,141.00","38,603.00",1.48,,,,,,
,3. Alipurduar,2016 - 2017,658,798,1.21,,,,,,
,,2017 - 2018,"4,465.00","4,338.00",0.97,,,,,,
,,2018 - 2019,"2,468.00","2,097.00",0.85,,,,,,
,,2019 - 2020,"2,366.00","2,660.00",1.12,,,,,,
,,2020 - 2021,"2,339.00","3,016.00",1.29,,,,,,
,,2021 - 2022,"2,351.00","2,575.00",1.1,,,,,,
,,2022 - 2023,"2,382.00","3,014.00",1.27,,,,,,
,4. Bankura,2000 - 2001,95,70,0.74,,,,,,
,,2001 - 2002,3,3,1,,,,,,
,,2002 - 2003,65,,0,,,,,,
,,2003 - 2004,101,129,1.28,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,
,,2006 - 2007,4,5,1.25,,,,,,
,,2007 - 2008,1,1,1,,,,,,
,,2016 - 2017,10,13,1.3,,,,,,
,,2017 - 2018,"1,430.00","1,713.00",1.2,,,,,,
,,2018 - 2019,"2,178.00","3,112.00",1.43,,,,,,
,,2019 - 2020,"3,000.00","3,015.00",1.01,,,,,,
,,2020 - 2021,"3,268.00","4,043.00",1.24,,,,,,
,,2021 - 2022,"3,035.00","3,790.00",1.25,,,,,,
,,2022 - 2023,"2,338.00","4,646.00",1.99,,,,,,
,5. Birbhum,2000 - 2001,"3,082.00","3,730.00",1.21,,,,,,
,,2001 - 2002,"2,810.00","2,947.00",1.05,,,,,,
,,2002 - 2003,"2,159.00","2,070.00",0.96,,,,,,
,,2003 - 2004,"2,632.00","2,339.00",0.89,,,,,,
,,2004 - 2005,"2,226.00","2,774.00",1.25,,,,,,
,,2005 - 2006,"1,399.00","1,538.00",1.1,,,,,,
,,2006 - 2007,"1,064.00","1,261.00",1.19,,,,,,
,,2007 - 2008,"1,181.00",867,0.73,,,,,,
,,2008 - 2009,595,638,1.07,,,,,,
,,2009 - 2010,798,66,0.08,,,,,,
,,2010 - 2011,"1,535.00","1,999.00",1.3,,,,,,
,,2011 - 2012,"1,460.00","1,869.00",1.28,,,,,,
,,2012 - 2013,"1,722.00","2,620.00",1.52,,,,,,
,,2013 - 2014,"1,777.00","2,516.00",1.42,,,,,,
,,2014 - 2015,"1,801.00","3,555.00",1.97,,,,,,
,,2015 - 2016,"3,023.00","3,520.00",1.16,,,,,,
,,2016 - 2017,"2,223.00","2,181.00",0.98,,,,,,
,,2017 - 2018,"2,369.00","2,298.00",0.97,,,,,,
,,2018 - 2019,"4,430.00","3,902.00",0.88,,,,,,
,,2019 - 2020,"5,344.00","6,008.00",1.12,,,,,,
,,2020 - 2021,"5,564.00","6,876.00",1.24,,,,,,
,,2021 - 2022,"5,583.00","5,618.00",1.01,,,,,,
,,2022 - 2023,"5,136.00","5,186.00",1.01,,,,,,
,6. Coochbehar,2000 - 2001,"2,314.00","2,480.00",1.07,,,,,,
,,2001 - 2002,"2,138.00",839,0.39,,,,,,
,,2002 - 2003,"1,846.00","1,320.00",0.72,,,,,,
,,2003 - 2004,"1,024.00",825,0.81,,,,,,
,,2004 - 2005,"1,091.00",601,0.55,,,,,,
,,2005 - 2006,"1,695.00",615,0.36,,,,,,
,,2006 - 2007,958,692,0.72,,,,,,
,,2007 - 2008,569,250,0.44,,,,,,
,,2008 - 2009,404,360,0.89,,,,,,
,,2009 - 2010,236,267,1.13,,,,,,
,,2010 - 2011,549,586,1.07,,,,,,
,,2011 - 2012,261,278,1.07,,,,,,
,,2012 - 2013,265,166,0.63,,,,,,
,,2013 - 2014,316,333,1.05,,,,,,
,,2014 - 2015,307,296,0.96,,,,,,
,,2015 - 2016,852,634,0.74,,,,,,
,,2016 - 2017,520,630,1.21,,,,,,
,,2017 - 2018,"2,432.00","2,363.00",0.97,,,,,,
,,2018 - 2019,"2,128.00","1,808.00",0.85,,,,,,
,,2019 - 2020,"2,634.00","2,961.00",1.12,,,,,,
,,2020 - 2021,"2,638.00","3,401.00",1.29,,,,,,
,,2021 - 2022,"2,646.00","2,898.00",1.1,,,,,,
,,2022 - 2023,"2,718.00","3,439.00",1.27,,,,,,
,7. Darjeeling,2003 - 2004,46,41,0.89,,,,,,
,,2004 - 2005,14,7,0.5,,,,,,
,,2005 - 2006,17,11,0.65,,,,,,
,,2006 - 2007,18,14,0.78,,,,,,
,,2007 - 2008,16,13,0.81,,,,,,
,,2008 - 2009,3,2,0.67,,,,,,
,,2009 - 2010,4,4,1,,,,,,
,,2010 - 2011,10,10,1,,,,,,
,,2011 - 2012,8,8,1,,,,,,
,,2012 - 2013,30,35,1.17,,,,,,
,,2013 - 2014,38,35,0.92,,,,,,
,,2014 - 2015,10,10,1,,,,,,
,,2015 - 2016,168,135,0.8,,,,,,
,,2016 - 2017,80,97,1.21,,,,,,
,,2017 - 2018,55,53,0.96,,,,,,
,,2018 - 2019,158,134,0.85,,,,,,
,,2019 - 2020,96,108,1.13,,,,,,
,,2020 - 2021,92,119,1.29,,,,,,
,,2021 - 2022,93,102,1.1,,,,,,
,,2022 - 2023,101,128,1.27,,,,,,
,8. Dinajpur dakshin,2000 - 2001,109,120,1.1,,,,,,
,,2001 - 2002,17,10,0.59,,,,,,
,,2002 - 2003,59,62,1.05,,,,,,
,,2003 - 2004,146,130,0.89,,,,,,
,,2004 - 2005,54,22,0.41,,,,,,
,,2005 - 2006,20,12,0.6,,,,,,
,,2006 - 2007,7,1,0.14,,,,,,
,,2007 - 2008,5,4,0.8,,,,,,
,,2008 - 2009,135,29,0.21,,,,,,
,,2009 - 2010,17,17,1,,,,,,
,,2010 - 2011,3,3,1,,,,,,
,,2013 - 2014,98,60,0.61,,,,,,
,,2015 - 2016,66,53,0.8,,,,,,
,,2016 - 2017,48,57,1.19,,,,,,
,,2017 - 2018,"7,753.00","6,960.00",0.9,,,,,,
,,2018 - 2019,"3,600.00","3,304.00",0.92,,,,,,
,,2019 - 2020,"2,650.00","2,817.00",1.06,,,,,,
,,2020 - 2021,"1,167.00","1,325.00",1.14,,,,,,
,,2021 - 2022,"2,048.00","1,837.00",0.9,,,,,,
,,2022 - 2023,"2,116.00","2,170.00",1.03,,,,,,
,9. Dinajpur uttar,2000 - 2001,100,100,1,,,,,,
,,2001 - 2002,210,166,0.79,,,,,,
,,2002 - 2003,185,172,0.93,,,,,,
,,2003 - 2004,290,116,0.4,,,,,,
,,2004 - 2005,214,109,0.51,,,,,,
,,2005 - 2006,191,119,0.62,,,,,,
,,2006 - 2007,174,134,0.77,,,,,,
,,2007 - 2008,93,51,0.55,,,,,,
,,2008 - 2009,287,14,0.05,,,,,,
,,2009 - 2010,261,186,0.71,,,,,,
,,2010 - 2011,187,151,0.81,,,,,,
,,2011 - 2012,4,4,1,,,,,,
,,2012 - 2013,11,13,1.18,,,,,,
,,2015 - 2016,91,73,0.8,,,,,,
,,2016 - 2017,56,67,1.2,,,,,,
,,2017 - 2018,"1,148.00","1,031.00",0.9,,,,,,
,,2018 - 2019,971,891,0.92,,,,,,
,,2019 - 2020,"1,171.00","1,245.00",1.06,,,,,,
,,2020 - 2021,953,"1,096.00",1.15,,,,,,
,,2021 - 2022,845,758,0.9,,,,,,
,,2022 - 2023,851,873,1.03,,,,,,
,10. Hooghly,2000 - 2001,42,20,0.48,,,,,,
,,2004 - 2005,4,5,1.25,,,,,,
,,2006 - 2007,170,210,1.24,,,,,,
,,2016 - 2017,14,14,1,,,,,,
,,2017 - 2018,403,391,0.97,,,,,,
,,2018 - 2019,241,196,0.81,,,,,,
,,2019 - 2020,441,496,1.12,,,,,,
,,2020 - 2021,352,178,0.51,,,,,,
,,2021 - 2022,421,436,1.04,,,,,,
,,2022 - 2023,378,404,1.07,,,,,,
,11. Howrah,2000 - 2001,299,340,1.14,,,,,,
,,2001 - 2002,64,71,1.11,,,,,,
,,2002 - 2003,202,216,1.07,,,,,,
,,2003 - 2004,97,103,1.06,,,,,,
,,2004 - 2005,25,21,0.84,,,,,,
,,2005 - 2006,298,241,0.81,,,,,,
,,2006 - 2007,471,362,0.77,,,,,,
,,2007 - 2008,398,342,0.86,,,,,,
,,2008 - 2009,621,587,0.95,,,,,,
,,2009 - 2010,194,203,1.05,,,,,,
,,2010 - 2011,150,166,1.11,,,,,,
,,2011 - 2012,463,178,0.38,,,,,,
,,2012 - 2013,611,936,1.53,,,,,,
,,2013 - 2014,727,"1,130.00",1.55,,,,,,
,,2014 - 2015,920,788,0.86,,,,,,
,,2015 - 2016,995,973,0.98,,,,,,
,,2016 - 2017,"1,040.00","1,054.00",1.01,,,,,,
,,2017 - 2018,"1,708.00","2,039.00",1.19,,,,,,
,,2018 - 2019,"2,061.00","1,276.00",0.62,,,,,,
,,2019 - 2020,"2,001.00",869,0.43,,,,,,
,,2020 - 2021,"2,166.00","1,719.00",0.79,,,,,,
,,2021 - 2022,"1,737.00","1,431.00",0.82,,,,,,
,,2022 - 2023,"1,807.00","2,231.00",1.23,,,,,,
,12. Jalpaiguri,2000 - 2001,"1,346.00","1,540.00",1.14,,,,,,
,,2001 - 2002,447,424,0.95,,,,,,
,,2002 - 2003,584,507,0.87,,,,584,507,0.87
,,2003 - 2004,662,465,0.7,,,,,,
,,2004 - 2005,628,412,0.66,,,,,,
,,2005 - 2006,493,412,0.84,,,,,,
,,2006 - 2007,452,332,0.73,,,,,,
,,2007 - 2008,486,370,0.76,,,,,,
,,2008 - 2009,470,330,0.7,,,,,,
,,2009 - 2010,482,198,0.41,,,,,,
,,2010 - 2011,407,380,0.93,,,,,,
,,2011 - 2012,518,369,0.71,,,,,,
,,2012 - 2013,403,371,0.92,,,,,,
,,2013 - 2014,442,379,0.86,,,,,,
,,2014 - 2015,612,537,0.88,,,,,,
,,2015 - 2016,932,836,0.9,,,,,,
,,2016 - 2017,145,157,1.08,,,,,,
,,2017 - 2018,"2,045.00","1,987.00",0.97,,,,,,
,,2018 - 2019,935,794,0.85,,,,,,
,,2019 - 2020,"1,280.00","1,439.00",1.12,,,,,,
,,2020 - 2021,"1,290.00","1,663.00",1.29,,,,,,
,,2021 - 2022,"1,315.00","1,440.00",1.1,,,,,,
,,2022 - 2023,"1,297.00","1,641.00",1.27,,,,,,
,13. Jhargram,2016 - 2017,154,220,1.43,,,,,,
,,2017 - 2018,372,426,1.15,,,,,,
,,2018 - 2019,"4,682.00","3,798.00",0.81,,,,,,
,,2019 - 2020,"4,000.00","4,383.00",1.1,,,,,,
,,2020 - 2021,"3,643.00","4,564.00",1.25,,,,,,
,,2021 - 2022,"2,110.00","2,312.00",1.1,,,,,,
,,2022 - 2023,"1,855.00","2,340.00",1.26,,,,,,
,14. Maldah,2000 - 2001,"3,879.00","4,170.00",1.08,,,,,,
,,2001 - 2002,"3,496.00","1,371.00",0.39,,,,,,
,,2002 - 2003,"4,473.00","3,425.00",0.77,,,,,,
,,2003 - 2004,"3,470.00","3,127.00",0.9,,,,,,
,,2004 - 2005,"3,583.00","1,912.00",0.53,,,,,,
,,2005 - 2006,"3,532.00","3,299.00",0.93,,,,,,
,,2006 - 2007,"2,649.00","2,680.00",1.01,,,,,,
,,2007 - 2008,"2,629.00","2,988.00",1.14,,,,,,
,,2008 - 2009,"2,155.00","2,147.00",1,,,,,,
,,2009 - 2010,"2,167.00","2,822.00",1.3,,,,,,
,,2010 - 2011,"1,983.00","2,219.00",1.12,,,,,,
,,2011 - 2012,"1,936.00","2,166.00",1.12,,,,,,
,,2012 - 2013,"1,990.00","2,879.00",1.45,,,,,,
,,2013 - 2014,"2,483.00","2,896.00",1.17,,,,,,
,,2014 - 2015,"2,350.00","2,748.00",1.17,,,,,,
,,2015 - 2016,"4,552.00","4,511.00",0.99,,,,,,
,,2016 - 2017,"2,992.00","3,689.00",1.23,,,,,,
,,2017 - 2018,"3,687.00","3,891.00",1.06,,,,,,
,,2018 - 2019,"3,160.00","3,769.00",1.19,,,,,,
,,2019 - 2020,"2,817.00","4,083.00",1.45,,,,,,
,,2020 - 2021,"2,272.00","2,817.00",1.24,,,,,,
,,2021 - 2022,"3,063.00","4,659.00",1.52,,,,,,
,,2022 - 2023,"3,592.00","4,742.00",1.32,,,,,,
,15. Medinipur east,2001 - 2002,"6,489.00","8,395.00",1.29,,,,,,
,,2002 - 2003,"2,636.00","4,070.00",1.54,,,,,,
,,2003 - 2004,"5,275.00","8,285.00",1.57,,,,,,
,,2004 - 2005,"8,740.00","11,135.00",1.27,,,,,,
,,2005 - 2006,"9,942.00","11,037.00",1.11,,,,,,
,,2006 - 2007,"10,456.00","12,887.00",1.23,,,,,,
,,2007 - 2008,"10,641.00","8,313.00",0.78,,,,,,
,,2008 - 2009,"8,791.00",599,0.07,,,,,,
,,2009 - 2010,"8,754.00",723,0.08,,,,,,
,,2010 - 2011,"6,635.00","9,088.00",1.37,,,,,,
,,2011 - 2012,"6,737.00","9,229.00",1.37,,,,,,
,,2012 - 2013,"6,768.00","11,407.00",1.69,,,,,,
,,2013 - 2014,"7,774.00","11,638.00",1.5,,,,,,
,,2014 - 2015,"8,520.00","14,578.00",1.71,,,,,,
,,2015 - 2016,"19,677.00","23,003.00",1.17,,,,,,
,,2016 - 2017,"14,571.00","20,932.00",1.44,,,,,,
,,2017 - 2018,"12,647.00","15,303.00",1.21,,,,,,
,,2018 - 2019,"14,782.00","10,209.00",0.69,,,,,,
,,2019 - 2020,"14,965.00","14,845.00",0.99,,,,,,
,,2020 - 2021,"15,309.00","18,374.00",1.2,,,,,,
,,2021 - 2022,"13,924.00","13,740.00",0.99,,,,,,
,,2022 - 2023,"13,795.00","15,565.00",1.13,,,,,,
,16. Medinipur west,2000 - 2001,"7,748.00","10,280.00",1.33,,,,,,
,,2001 - 2002,270,372,1.38,,,,,,
,,2002 - 2003,952,767,0.81,,,,,,
,,2003 - 2004,648,724,1.12,,,,,,
,,2004 - 2005,"1,014.00",918,0.91,,,,,,
,,2005 - 2006,250,218,0.87,,,,,,
,,2006 - 2007,87,50,0.57,,,,,,
,,2007 - 2008,108,71,0.66,,,,,,
,,2008 - 2009,27,2,0.07,,,,,,
,,2009 - 2010,12,1,0.08,,,,,,
,,2010 - 2011,54,70,1.3,,,,,,
,,2011 - 2012,98,124,1.27,,,,,,
,,2012 - 2013,113,172,1.52,,,,,,
,,2013 - 2014,130,200,1.54,,,,,,
,,2014 - 2015,58,114,1.97,,,,,,
,,2015 - 2016,793,923,1.16,,,,,,
,,2016 - 2017,"1,002.00","1,429.00",1.43,,,,,,
,,2017 - 2018,905,"1,036.00",1.14,,,,,,
,,2018 - 2019,"1,408.00","1,142.00",0.81,,,,,,
,,2019 - 2020,"4,078.00","4,468.00",1.1,,,,,,
,,2020 - 2021,"3,326.00","4,167.00",1.25,,,,,,
,,2021 - 2022,"1,153.00","1,264.00",1.1,,,,,,
,,2022 - 2023,"1,778.00","1,451.00",0.82,,,,,,
,17. Murshidabad,2000 - 2001,"8,966.00","9,160.00",1.02,,,,,,
,,2001 - 2002,"8,332.00","6,888.00",0.83,,,,,,
,,2002 - 2003,"9,041.00","4,003.00",0.44,,,,,,
,,2003 - 2004,"13,268.00","17,223.00",1.3,,,,,,
,,2004 - 2005,"12,014.00","9,751.00",0.81,,,,,,
,,2005 - 2006,"10,331.00","7,884.00",0.76,,,,,,
,,2006 - 2007,"8,736.00","5,743.00",0.66,,,,,,
,,2007 - 2008,"10,929.00","8,701.00",0.8,,,,,,
,,2008 - 2009,"8,601.00","7,136.00",0.83,,,,,,
,,2009 - 2010,"9,589.00","9,338.00",0.97,,,,,,
,,2010 - 2011,"8,467.00","8,156.00",0.96,,,,,,
,,2011 - 2012,"8,316.00","7,591.00",0.91,,,,,,
,,2012 - 2013,"8,950.00","8,402.00",0.94,,,,,,
,,2013 - 2014,"9,157.00","10,335.00",1.13,,,,,,
,,2014 - 2015,"9,239.00","8,225.00",0.89,,,,,,
,,2015 - 2016,"24,004.00","15,801.00",0.66,,,,,,
,,2016 - 2017,"8,682.00","10,454.00",1.2,,,,,,
,,2017 - 2018,"15,404.00","13,878.00",0.9,,,,,,
,,2018 - 2019,"16,376.00","13,841.00",0.85,,,,,,
,,2019 - 2020,"13,341.00","13,091.00",0.98,,,,,,
,,2020 - 2021,"11,297.00","12,536.00",1.11,,,,,,
,,2021 - 2022,"10,815.00","8,622.00",0.8,,,,,,
,,2022 - 2023,"11,684.00","11,544.00",0.99,,,,,,
,18. Nadia,2000 - 2001,"4,858.00","3,270.00",0.67,,,,,,
,,2001 - 2002,"4,412.00","1,959.00",0.44,,,,,,
,,2002 - 2003,"4,562.00","3,598.00",0.79,,,,,,
,,2003 - 2004,"3,122.00","2,566.00",0.82,,,,,,
,,2004 - 2005,"1,743.00","1,306.00",0.75,,,,,,
,,2005 - 2006,"1,609.00","1,234.00",0.77,,,,,,
,,2006 - 2007,"1,486.00","1,074.00",0.72,,,,,,
,,2007 - 2008,887,732,0.83,,,,,,
,,2008 - 2009,"1,188.00",859,0.72,,,,,,
,,2009 - 2010,"1,443.00","1,286.00",0.89,,,,,,
,,2010 - 2011,"1,634.00","1,754.00",1.07,,,,,,
,,2011 - 2012,"1,351.00","1,122.00",0.83,,,,,,
,,2012 - 2013,"1,145.00","1,151.00",1.01,,,,,,
,,2013 - 2014,"1,053.00",845,0.8,,,,,,
,,2014 - 2015,"1,394.00","1,385.00",0.99,,,,,,
,,2015 - 2016,"2,152.00","1,565.00",0.73,,,,,,
,,2016 - 2017,"2,413.00","2,362.00",0.98,,,,,,
,,2017 - 2018,"1,905.00","1,781.00",0.93,,,,,,
,,2018 - 2019,"3,286.00","2,108.00",0.64,,,,,,
,,2019 - 2020,"2,412.00","1,098.00",0.46,,,,,,
,,2020 - 2021,"2,196.00","3,083.00",1.4,,,,,,
,,2021 - 2022,"1,685.00","1,042.00",0.62,,,,,,
,,2022 - 2023,"1,693.00","1,638.00",0.97,,,,,,
,19. Paschim bardhaman,2016 - 2017,12,12,1,,,,,,
,,2017 - 2018,230,223,0.97,,,,,,
,,2018 - 2019,368,337,0.92,,,,,,
,,2019 - 2020,"1,000.00","1,124.00",1.12,,,,,,
,,2020 - 2021,"1,018.00","1,259.00",1.24,,,,,,
,,2021 - 2022,865,895,1.03,,,,,,
,,2022 - 2023,722,772,1.07,,,,,,
,20. Purba bardhaman,2000 - 2001,876,"1,060.00",1.21,,,,,,
,,2001 - 2002,650,346,0.53,,,,,,
,,2002 - 2003,388,344,0.89,,,,,,
,,2003 - 2004,521,454,0.87,,,,,,
,,2004 - 2005,116,145,1.25,,,,,,
,,2005 - 2006,213,196,0.92,,,,,,
,,2006 - 2007,568,241,0.42,,,,,,
,,2007 - 2008,284,60,0.21,,,,,,
,,2008 - 2009,502,130,0.26,,,,,,
,,2009 - 2010,185,121,0.65,,,,,,
,,2010 - 2011,510,664,1.3,,,,,,
,,2011 - 2012,154,197,1.28,,,,,,
,,2012 - 2013,4,6,1.5,,,,,,
,,2013 - 2014,124,112,0.9,,,,,,
,,2014 - 2015,335,308,0.92,,,,,,
,,2015 - 2016,410,477,1.16,,,,,,
,,2016 - 2017,350,345,0.99,,,,,,
,,2017 - 2018,"1,107.00","1,074.00",0.97,,,,,,
,,2018 - 2019,"2,410.00","1,965.00",0.82,,,,,,
,,2019 - 2020,"2,380.00","2,676.00",1.12,,,,,,
,,2020 - 2021,"2,212.00","2,734.00",1.24,,,,,,
,,2021 - 2022,"1,571.00","1,625.00",1.03,,,,,,
,,2022 - 2023,"1,503.00","2,172.00",1.45,,,,,,
,21. Purulia,2000 - 2001,396,360,0.91,,,,,,
,,2001 - 2002,131,97,0.74,,,,,,
,,2002 - 2003,68,30,0.44,,,,,,
,,2003 - 2004,213,121,0.57,,,,,,
,,2004 - 2005,165,84,0.51,,,,,,
,,2005 - 2006,167,63,0.38,,,,,,
,,2006 - 2007,63,21,0.33,,,,,,
,,2007 - 2008,139,58,0.42,,,,,,
,,2008 - 2009,2,,0,,,,,,
,,2009 - 2010,21,8,0.38,,,,,,
,,2010 - 2011,25,33,1.32,,,,,,
,,2012 - 2013,54,62,1.15,,,,,,
,,2013 - 2014,146,125,0.86,,,,,,
,,2014 - 2015,146,126,0.86,,,,,,
,,2015 - 2016,184,135,0.73,,,,,,
,,2016 - 2017,210,237,1.13,,,,,,
,,2017 - 2018,"2,515.00","2,091.00",0.83,,,,,,
,,2018 - 2019,"2,305.00","2,369.00",1.03,,,,,,
,,2019 - 2020,"4,000.00","6,190.00",1.55,,,,,,
,,2020 - 2021,"4,601.00","4,649.00",1.01,,,,,,
,,2021 - 2022,"4,816.00","5,621.00",1.17,,,,,,
,,2022 - 2023,"4,797.00","6,899.00",1.44,,,,,,
