State,District,Year,Turmeric,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2005 - 2006,150,100,0.67,,,,,,,,,
,,2006 - 2007,170,170,1,,,,,,,30,20,0.67
,,2007 - 2008,300,210,0.7,,,,,,,,,
,,2008 - 2009,87,928,10.67,,,,,,,,,
,,2009 - 2010,137,"1,466.00",10.7,,,,,,,,,
,,2010 - 2011,154,"1,558.00",10.12,,,,,,,,,
,,2011 - 2012,174,"1,995.78",11.47,,,,,,,,,
,,2012 - 2013,185,"2,164.50",11.7,,,,,,,,,
,,2013 - 2014,217,"2,604.00",12,,,,,,,,,
,,2014 - 2015,245,"2,895.00",11.82,,,,,,,,,
,,2015 - 2016,300,"3,015.00",10.05,,,,,,,,,
,,2016 - 2017,303,"3,030.00",10,,,,,,,,,
,,2017 - 2018,313,"3,124.00",9.98,,,,,,,,,
,,2018 - 2019,324,"3,235.00",9.98,,,,,,,,,
,2. Chandel,2002 - 2003,40,30,0.75,,,,,,,,,
,,2003 - 2004,40,30,0.75,,,,,,,,,
,,2006 - 2007,10,10,1,,,,,,,,,
,,2008 - 2009,97,673,6.94,,,,,,,,,
,,2009 - 2010,152,"1,058.00",6.96,,,,,,,,,
,,2010 - 2011,169,"1,163.00",6.88,,,,,,,,,
,,2011 - 2012,176,"2,018.72",11.47,,,,,,,,,
,,2012 - 2013,184,"2,152.80",11.7,,,,,,,,,
,,2013 - 2014,218,"2,616.00",12,,,,,,,,,
,,2014 - 2015,240,"2,868.00",11.95,,,,,,,,,
,,2015 - 2016,225,"2,475.00",11,,,,,,,,,
,,2016 - 2017,230,"2,475.00",10.76,,,,,,,,,
,,2017 - 2018,250,"4,250.00",17,,,,,,,,,
,,2018 - 2019,250,"4,250.00",17,,,,,,,,,
,3. Churachandpur,2002 - 2003,60,40,0.67,,,,,,,,,
,,2008 - 2009,95,"2,247.00",23.65,,,,,,,,,
,,2009 - 2010,150,"3,552.00",23.68,,,,,,,,,
,,2010 - 2011,168,"3,668.00",21.83,,,,,,,,,
,,2011 - 2012,170,"1,949.90",11.47,,,,,,,,,
,,2012 - 2013,178,"2,082.60",11.7,,,,,,,,,
,,2013 - 2014,208,"2,496.00",12,,,,,,,,,
,,2014 - 2015,225,"2,475.00",11,,,,,,,,,
,,2015 - 2016,321,"3,852.00",12,,,,,,,,,
,,2016 - 2017,260,"3,120.00",12,,,,,,,,,
,,2017 - 2018,265,"3,175.00",11.98,,,,,,,,,
,,2018 - 2019,265,"3,175.00",11.98,,,,,,,,,
,4. Imphal east,2003 - 2004,40,30,0.75,,,,,,,,,
,,2004 - 2005,10,10,1,,,,,,,,,
,,2005 - 2006,10,10,1,,,,,,,,,
,,2008 - 2009,95,"1,050.00",11.05,,,,,,,,,
,,2009 - 2010,150,"1,659.00",11.06,,,,,,,,,
,,2010 - 2011,164,"1,775.00",10.82,,,,,,,,,
,,2011 - 2012,168,"1,926.96",11.47,,,,,,,,,
,,2012 - 2013,176,"2,059.20",11.7,,,,,,,,,
,,2013 - 2014,206,"2,472.00",12,,,,,,,,,
,,2014 - 2015,232,"2,789.00",12.02,,,,,,,,,
,,2015 - 2016,157,"1,884.00",12,,,,,,,,,
,,2016 - 2017,154,"1,850.00",12.01,,,,,,,,,
,5. Imphal west,2002 - 2003,10,10,1,,,,,,,,,
,,2005 - 2006,30,20,0.67,,,,,,,,,
,,2007 - 2008,10,10,1,,,,,,,,,
,,2008 - 2009,98,"1,090.00",11.12,,,,,,,,,
,,2009 - 2010,153,"1,715.00",11.21,,,,,,,,,
,,2010 - 2011,169,"1,885.00",11.15,,,,,,,,,
,,2011 - 2012,192,"2,202.24",11.47,,,,,,,,,
,,2012 - 2013,201,"2,351.70",11.7,,,,,,,,,
,,2013 - 2014,235,"2,820.00",12,,,,,,,,,
,,2014 - 2015,262,"3,105.00",11.85,,,,,,,,,
,,2015 - 2016,300,"3,244.00",10.81,,,,,,,,,
,,2016 - 2017,302,"3,265.45",10.81,,,,,,,,,
,,2017 - 2018,306,"3,296.00",10.77,,,,,,,,,
,,2018 - 2019,306,"3,297.00",10.77,,,,,,,,,
,6. Senapati,2005 - 2006,10,10,1,,,,,,,,,
,,2006 - 2007,120,80,0.67,,,,,,,,,
,,2007 - 2008,40,30,0.75,,,,,,,,,
,,2008 - 2009,97,"1,299.00",13.39,,,,,,,,,
,,2009 - 2010,147,"1,970.00",13.4,,,,,,,,,
,,2010 - 2011,163,"2,113.00",12.96,,,,,,,,,
,,2011 - 2012,186,"2,133.42",11.47,,,,,,,,,
,,2012 - 2013,195,"2,281.50",11.7,,,,,,,,,
,,2013 - 2014,228,"2,736.00",12,,,,,,,,,
,,2014 - 2015,254,"3,012.00",11.86,,,,,,,,,
,,2015 - 2016,267,"3,208.00",12.01,,,,,,,,,
,,2016 - 2017,272,"3,288.00",12.09,,,,,,,,,
,,2017 - 2018,275,"3,321.00",12.08,,,,,,,,,
,,2018 - 2019,276,"3,323.00",12.04,,,,,,,,,
,7. Tamenglong,2008 - 2009,60,529,8.82,,,,,,,,,
,,2009 - 2010,101,893,8.84,,,,,,,,,
,,2010 - 2011,115,939,8.17,,,,,,,,,
,,2011 - 2012,128,"1,468.16",11.47,,,,,,,,,
,,2012 - 2013,134,"1,567.80",11.7,,,,,,,,,
,,2013 - 2014,157,"1,884.00",12,,,,,,,,,
,,2014 - 2015,188,"2,479.00",13.19,,,,,,,,,
,,2015 - 2016,220,"3,344.00",15.2,,,,,,,,,
,,2016 - 2017,224,"3,460.00",15.45,,,,,,,,,
,,2017 - 2018,224,"3,345.00",14.93,,,,,,,,,
,,2018 - 2019,252,"3,854.00",15.29,,,,,,,,,
,8. Thoubal,2002 - 2003,10,10,1,,,,,,,,,
,,2003 - 2004,40,30,0.75,,,,,,,,,
,,2004 - 2005,50,30,0.6,,,,,,,,,
,,2008 - 2009,85,909,10.69,,,,,,,,,
,,2009 - 2010,135,"1,446.00",10.71,,,,,,,,,
,,2010 - 2011,153,"1,501.00",9.81,,,,,,,,,
,,2011 - 2012,172,"1,972.84",11.47,,,,,,,,,
,,2012 - 2013,178,"2,082.60",11.7,,,,,,,,,
,,2013 - 2014,208,"2,496.00",12,,,,,,,,,
,,2014 - 2015,245,"2,893.00",11.81,,,,,,,,,
,,2015 - 2016,698,"7,626.07",10.93,,,,,,,,,
,,2016 - 2017,696,"7,604.00",10.93,,,,,,,,,
,,2017 - 2018,705,"7,668.00",10.88,,,,,,,,,
,,2018 - 2019,701,"7,641.00",10.9,,,,,,,,,
,9. Ukhrul,2002 - 2003,40,30,0.75,,,,,,,,,
,,2003 - 2004,120,80,0.67,,,,,,,,,
,,2004 - 2005,190,130,0.68,,,,,,,,,
,,2006 - 2007,20,20,1,,,,,,,,,
,,2007 - 2008,50,30,0.6,,,,,,,,,
,,2008 - 2009,120,"1,159.00",9.66,,,,,,,,,
,,2009 - 2010,170,"1,651.00",9.71,,,,,,,,,
,,2010 - 2011,185,"1,721.00",9.3,,,,,,,,,
,,2011 - 2012,190,"2,179.30",11.47,,,,,,,,,
,,2012 - 2013,199,"2,328.30",11.7,,,,,,,,,
,,2013 - 2014,233,"2,796.00",12,,,,,,,,,
,,2014 - 2015,258,"3,096.00",12,,,,,,,,,
,,2015 - 2016,182,"2,314.00",12.71,,,,,,,,,
,,2016 - 2017,150,"1,800.00",12,,,,,,,,,
,,2017 - 2018,214,"2,569.00",12,,,,,,,,,
,,2018 - 2019,130,"1,550.00",11.92,,,,,,,,,
14. Meghalaya,1. East garo hills,2000 - 2001,114,634,5.56,,,,,,,,,
,,2001 - 2002,113,628,5.56,,,,,,,,,
,,2002 - 2003,115,630,5.48,,,,,,,,,
,,2003 - 2004,104,576,5.54,,,,,,,,,
,,2004 - 2005,128,578,4.52,,,,,,,,,
,,2005 - 2006,103,568,5.51,,,,,,,,,
,,2006 - 2007,,,,99,546,5.52,,,,,,
,,2008 - 2009,118,654,5.54,,,,,,,,,
,,2010 - 2011,98,543,5.54,,,,,,,,,
,,2011 - 2012,99,549,5.55,,,,,,,,,
,,2012 - 2013,109,665,6.1,,,,,,,,,
,,2013 - 2014,74,480,6.49,,,,,,,,,
,,2014 - 2015,78,512,6.56,,,,,,,,,
,,2015 - 2016,81,548,6.77,,,,,,,,,
,,2016 - 2017,75,416,5.55,,,,,,,,,
,,2017 - 2018,76,422,5.55,,,,,,,,,
,,2018 - 2019,77,428,5.56,,,,,,,,,
,,2019 - 2020,78,434,5.56,,,,,,,,,
,,2020 - 2021,79,440,5.57,,,,,,,,,
,,2022 - 2023,107,588,5.5,,,,,,,,,
,2. East jaintia hills,2000 - 2001,839,"4,922.00",5.87,,,,,,,,,
,,2001 - 2002,839,"4,922.00",5.87,,,,,,,,,
,,2002 - 2003,843,"4,924.00",5.84,,,,,,,,,
,,2003 - 2004,863,"4,945.00",5.73,,,,,,,,,
,,2004 - 2005,894,"5,323.00",5.95,,,,,,,,,
,,2005 - 2006,"1,039.00","6,362.00",6.12,,,,,,,,,
,,2006 - 2007,,,,"1,105.00","10,023.00",9.07,,,,,,
,,2008 - 2009,"1,130.00","5,980.00",5.29,,,,,,,,,
,,2010 - 2011,"1,118.00","5,909.00",5.29,,,,,,,,,
,,2011 - 2012,"1,138.00","6,037.00",5.3,,,,,,,,,
,,2012 - 2013,"1,257.00","7,381.00",5.87,,,,,,,,,
,,2013 - 2014,41,225,5.49,,,,,,,,,
,,2014 - 2015,47,266,5.66,,,,,,,,,
,,2015 - 2016,53,309,5.83,,,,,,,,,
,,2016 - 2017,56,325,5.8,,,,,,,,,
,,2017 - 2018,57,331,5.81,,,,,,,,,
,,2018 - 2019,58,337,5.81,,,,,,,,,
,,2019 - 2020,59,343,5.81,,,,,,,,,
,,2020 - 2021,60,349,5.82,,,,,,,,,
,,2022 - 2023,73,366,5.01,,,,,,,,,
,3. East khasi hills,2000 - 2001,61,389,6.38,,,,,,,,,
,,2001 - 2002,62,397,6.4,,,,,,,,,
,,2002 - 2003,72,433,6.01,,,,,,,,,
,,2003 - 2004,78,446,5.72,,,,,,,,,
,,2004 - 2005,87,476,5.47,,,,,,,,,
,,2005 - 2006,89,491,5.52,,,,,,,,,
,,2006 - 2007,,,,90,480,5.33,,,,,,
,,2008 - 2009,94,489,5.2,,,,,,,,,
,,2010 - 2011,89,441,4.96,,,,,,,,,
,,2011 - 2012,90,457,5.08,,,,,,,,,
,,2012 - 2013,100,550,5.5,,,,,,,,,
,,2013 - 2014,113,642,5.68,,,,,,,,,
,,2014 - 2015,115,667,5.8,,,,,,,,,
,,2015 - 2016,121,708,5.85,,,,,,,,,
,,2016 - 2017,133,716,5.38,,,,,,,,,
,,2017 - 2018,135,727,5.39,,,,,,,,,
,,2018 - 2019,136,733,5.39,,,,,,,,,
,,2019 - 2020,137,739,5.39,,,,,,,,,
,,2020 - 2021,138,746,5.41,,,,,,,,,
,,2022 - 2023,139,751,5.4,,,,,,,,,
,4. North garo hills,2013 - 2014,48,300,6.25,,,,,,,,,
,,2014 - 2015,49,309,6.31,,,,,,,,,
,,2015 - 2016,53,345,6.51,,,,,,,,,
,,2016 - 2017,48,265,5.52,,,,,,,,,
,,2017 - 2018,51,282,5.53,,,,,,,,,
,,2018 - 2019,52,288,5.54,,,,,,,,,
,,2019 - 2020,53,294,5.55,,,,,,,,,
,,2020 - 2021,54,300,5.56,,,,,,,,,
,,2022 - 2023,57,318,5.58,,,,,,,,,
,5. Ri bhoi,2000 - 2001,67,498,7.43,,,,,,,,,
,,2001 - 2002,66,493,7.47,,,,,,,,,
,,2002 - 2003,67,499,7.45,,,,,,,,,
,,2003 - 2004,68,500,7.35,,,,,,,,,
,,2004 - 2005,78,352,4.51,,,,,,,,,
,,2005 - 2006,78,660,8.46,,,,,,,,,
,,2006 - 2007,,,,84,748,8.9,,,,,,
,,2008 - 2009,91,390,4.29,,,,,,,,,
,,2010 - 2011,87,558,6.41,,,,,,,,,
,,2011 - 2012,121,782,6.46,,,,,,,,,
,,2012 - 2013,133,944,7.1,,,,,,,,,
,,2013 - 2014,148,"1,106.00",7.47,,,,,,,,,
,,2014 - 2015,152,"1,181.00",7.77,,,,,,,,,
,,2015 - 2016,160,"1,282.00",8.01,,,,,,,,,
,,2016 - 2017,178,"1,426.00",8.01,,,,,,,,,
,,2017 - 2018,180,"1,443.00",8.02,,,,,,,,,
,,2018 - 2019,181,"1,451.00",8.02,,,,,,,,,
,,2019 - 2020,182,"1,460.00",8.02,,,,,,,,,
,,2020 - 2021,183,"1,468.00",8.02,,,,,,,,,
,,2022 - 2023,184,"1,476.00",8.02,,,,,,,,,
,6. South garo hills,2000 - 2001,67,335,5,,,,,,,,,
,,2001 - 2002,68,340,5,,,,,,,,,
,,2002 - 2003,67,340,5.07,,,,,,,,,
,,2003 - 2004,63,315,5,,,,,,,,,
,,2004 - 2005,87,317,3.64,,,,,,,,,
,,2005 - 2006,67,335,5,,,,,,,,,
,,2006 - 2007,,,,67,337,5.03,,,,,,
,,2008 - 2009,70,355,5.07,,,,,,,,,
,,2010 - 2011,76,383,5.04,,,,,,,,,
,,2011 - 2012,79,399,5.05,,,,,,,,,
,,2012 - 2013,87,492,5.66,,,,,,,,,
,,2013 - 2014,97,584,6.02,,,,,,,,,
,,2014 - 2015,101,617,6.11,,,,,,,,,
,,2015 - 2016,107,668,6.24,,,,,,,,,
,,2016 - 2017,119,742,6.24,,,,,,,,,
,,2017 - 2018,121,755,6.24,,,,,,,,,
,,2018 - 2019,122,762,6.25,,,,,,,,,
,,2019 - 2020,123,769,6.25,,,,,,,,,
,,2020 - 2021,124,776,6.26,,,,,,,,,
,,2022 - 2023,185,"1,396.00",7.55,,,,,,,,,
,7. South west garo hills,2013 - 2014,117,693,5.92,,,,,,,,,
,,2014 - 2015,126,748,5.94,,,,,,,,,
,,2015 - 2016,131,796,6.08,,,,,,,,,
,,2016 - 2017,131,838,6.4,,,,,,,,,
,,2017 - 2018,133,851,6.4,,,,,,,,,
,,2018 - 2019,134,858,6.4,,,,,,,,,
,,2019 - 2020,135,865,6.41,,,,,,,,,
,,2020 - 2021,136,872,6.41,,,,,,,,,
,,2022 - 2023,141,905,6.42,,,,,,,,,
,8. South west khasi hills,2013 - 2014,48,211,4.4,,,,,,,,,
,,2014 - 2015,48,213,4.44,,,,,,,,,
,,2015 - 2016,51,231,4.53,,,,,,,,,
,,2016 - 2017,63,285,4.52,,,,,,,,,
,,2017 - 2018,63,285,4.52,,,,,,,,,
,,2018 - 2019,63,285,4.52,,,,,,,,,
,,2019 - 2020,64,290,4.53,,,,,,,,,
,,2020 - 2021,65,295,4.54,,,,,,,,,
,,2022 - 2023,66,300,4.55,,,,,,,,,
,9. West garo hills,2000 - 2001,337,"1,671.00",4.96,,,,,,,,,
,,2001 - 2002,337,"1,671.00",4.96,,,,,,,,,
,,2002 - 2003,341,"1,691.00",4.96,,,,,,,,,
,,2003 - 2004,347,"1,722.00",4.96,,,,,,,,,
,,2004 - 2005,353,"1,752.00",4.96,,,,,,,,,
,,2005 - 2006,358,"1,779.00",4.97,,,,,,,,,
,,2006 - 2007,,,,377,"1,973.00",5.23,,,,,,
,,2008 - 2009,381,"1,904.00",5,,,,,,,,,
,,2010 - 2011,390,"1,949.00",5,,,,,,,,,
,,2011 - 2012,392,"1,962.00",5.01,,,,,,,,,
,,2012 - 2013,433,"2,403.00",5.55,,,,,,,,,
,,2013 - 2014,366,"2,144.00",5.86,,,,,,,,,
,,2014 - 2015,373,"2,192.00",5.88,,,,,,,,,
,,2015 - 2016,381,"2,324.00",6.1,,,,,,,,,
,,2016 - 2017,401,"2,446.00",6.1,,,,,,,,,
,,2017 - 2018,403,"2,459.00",6.1,,,,,,,,,
,,2018 - 2019,404,"2,466.00",6.1,,,,,,,,,
,,2019 - 2020,405,"2,473.00",6.11,,,,,,,,,
,,2020 - 2021,406,"2,480.00",6.11,,,,,,,,,
,,2022 - 2023,407,"2,487.00",6.11,,,,,,,,,
,10. West jaintia hills,2013 - 2014,"1,362.00","8,487.00",6.23,,,,,,,,,
,,2014 - 2015,"1,375.00","8,697.00",6.33,,,,,,,,,
,,2015 - 2016,"1,384.00","8,826.00",6.38,,,,,,,,,
,,2016 - 2017,"1,378.00","8,666.00",6.29,,,,,,,,,
,,2017 - 2018,"1,380.00","8,681.00",6.29,,,,,,,,,
,,2018 - 2019,"1,381.00","8,688.00",6.29,,,,,,,,,
,,2019 - 2020,"1,694.00","10,686.00",6.31,,,,,,,,,
,,2020 - 2021,"1,711.00","10,810.00",6.32,,,,,,,,,
,,2022 - 2023,"2,190.00","14,163.00",6.47,,,,,,,,,
,11. West khasi hills,2000 - 2001,38,116,3.05,,,,,,,,,
,,2001 - 2002,38,126,3.32,,,,,,,,,
,,2002 - 2003,38,125,3.29,,,,,,,,,
,,2003 - 2004,38,152,4,,,,,,,,,
,,2004 - 2005,55,218,3.96,,,,,,,,,
,,2005 - 2006,83,313,3.77,,,,,,,,,
,,2006 - 2007,,,,90,342,3.8,,,,,,
,,2008 - 2009,75,274,3.65,,,,,,,,,
,,2010 - 2011,70,275,3.93,,,,,,,,,
,,2011 - 2012,81,326,4.02,,,,,,,,,
,,2012 - 2013,89,396,4.45,,,,,,,,,
,,2013 - 2014,51,254,4.98,,,,,,,,,
,,2014 - 2015,52,269,5.17,,,,,,,,,
,,2015 - 2016,55,287,5.22,,,,,,,,,
,,2016 - 2017,50,261,5.22,,,,,,,,,
,,2017 - 2018,50,261,5.22,,,,,,,,,
,,2018 - 2019,50,261,5.22,,,,,,,,,
,,2019 - 2020,50,261,5.22,,,,,,,,,
,,2020 - 2021,50,261,5.22,,,,,,,,,
,,2022 - 2023,60,332,5.53,,,,,,,,,
15. Nagaland,1. Dimapur,2007 - 2008,,,,,,,40,170,4.25,,,
,,2008 - 2009,,,,,,,250,"1,140.00",4.56,,,
,2. Kiphire,2008 - 2009,,,,,,,60,230,3.83,,,
,3. Kohima,2007 - 2008,,,,,,,20,100,5,,,
,,2008 - 2009,,,,,,,40,180,4.5,,,
,4. Longleng,2008 - 2009,,,,,,,50,230,4.6,,,
,5. Mokokchung,2007 - 2008,,,,,,,20,90,4.5,,,
,,2008 - 2009,,,,,,,30,120,4,,,
,6. Mon,2008 - 2009,,,,,,,200,990,4.95,,,
,7. Peren,2008 - 2009,,,,,,,20,90,4.5,,,
,8. Phek,2008 - 2009,,,,,,,30,130,4.33,,,
,9. Tuensang,2008 - 2009,,,,,,,10,40,4,,,
,10. Wokha,2007 - 2008,,,,,,,20,90,4.5,,,
,,2008 - 2009,,,,,,,60,250,4.17,,,
,11. Zunheboto,2008 - 2009,,,,,,,50,200,4,,,
16. Odisha,1. Anugul,2000 - 2001,460,"1,080.00",2.35,,,,,,,,,
,,2001 - 2002,290,680,2.34,,,,,,,,,
,,2002 - 2003,290,680,2.34,,,,,,,,,
,,2003 - 2004,240,560,2.33,,,,,,,,,
,,2004 - 2005,336,791,2.35,,,,,,,,,
,,2019 - 2020,,,,,,,550,"1,390.00",2.53,,,
,2. Balangir,2001 - 2002,70,160,2.29,,,,,,,,,
,,2002 - 2003,10,20,2,,,,,,,,,
,,2003 - 2004,20,50,2.5,,,,,,,,,
,,2004 - 2005,19,41,2.16,,,,,,,,,
,,2019 - 2020,,,,,,,10,20,2,,,
,3. Baleshwar,2000 - 2001,790,"1,880.00",2.38,,,,,,,,,
,,2001 - 2002,810,"1,930.00",2.38,,,,,,,,,
,,2002 - 2003,930,"2,210.00",2.38,,,,,,,,,
,,2003 - 2004,900,"2,150.00",2.39,,,,,,,,,
,,2004 - 2005,940,"2,237.00",2.38,,,,,,,,,
,,2019 - 2020,,,,,,,250,490,1.96,,,
,4. Bargarh,2000 - 2001,370,850,2.3,,,,,,,,,
,,2001 - 2002,450,"1,020.00",2.27,,,,,,,,,
,,2002 - 2003,150,340,2.27,,,,,,,,,
,,2003 - 2004,150,340,2.27,,,,,,,,,
,,2004 - 2005,155,351,2.26,,,,,,,,,
,,2019 - 2020,,,,,,,20,30,1.5,,,
,5. Bhadrak,2000 - 2001,160,370,2.31,,,,,,,,,
,,2001 - 2002,230,530,2.3,,,,,,,,,
,,2002 - 2003,150,330,2.2,,,,,,,,,
,,2003 - 2004,110,250,2.27,,,,,,,,,
,,2004 - 2005,98,216,2.2,,,,,,,,,
,,2019 - 2020,,,,,,,110,150,1.36,,,
,6. Boudh,2001 - 2002,70,160,2.29,,,,,,,,,
,,2002 - 2003,290,650,2.24,,,,,,,,,
,,2003 - 2004,170,390,2.29,,,,,,,,,
,,2004 - 2005,130,293,2.25,,,,,,,,,
,,2019 - 2020,,,,,,,400,"1,020.00",2.55,,,
,7. Cuttack,2000 - 2001,"1,040.00","2,440.00",2.35,,,,,,,,,
,,2001 - 2002,760,"1,710.00",2.25,,,,,,,,,
,,2002 - 2003,670,"1,510.00",2.25,,,,,,,,,
,,2003 - 2004,540,"1,220.00",2.26,,,,,,,,,
,,2004 - 2005,588,"1,322.00",2.25,,,,,,,,,
,,2019 - 2020,,,,,,,170,250,1.47,,,
,8. Deogarh,2000 - 2001,190,440,2.32,,,,,,,,,
,,2001 - 2002,360,830,2.31,,,,,,,,,
,,2002 - 2003,180,410,2.28,,,,,,,,,
,,2003 - 2004,160,370,2.31,,,,,,,,,
,,2004 - 2005,185,424,2.29,,,,,,,,,
,,2019 - 2020,,,,,,,170,560,3.29,,,
,9. Dhenkanal,2000 - 2001,350,820,2.34,,,,,,,,,
,,2001 - 2002,420,980,2.33,,,,,,,,,
,,2002 - 2003,420,980,2.33,,,,,,,,,
,,2003 - 2004,380,890,2.34,,,,,,,,,
,,2004 - 2005,407,950,2.33,,,,,,,,,
,,2019 - 2020,,,,,,,"1,140.00","3,420.00",3,,,
,10. Gajapati,2000 - 2001,"1,820.00","4,380.00",2.41,,,,,,,,,
,,2001 - 2002,"2,190.00","5,260.00",2.4,,,,,,,,,
,,2002 - 2003,580,"1,370.00",2.36,,,,,,,,,
,,2003 - 2004,570,"1,330.00",2.33,,,,,,,,,
,,2004 - 2005,597,"1,405.00",2.35,,,,,,,,,
,,2019 - 2020,,,,,,,870,"2,520.00",2.9,,,
,11. Ganjam,2000 - 2001,"1,800.00","4,320.00",2.4,,,,,,,,,
,,2001 - 2002,"1,940.00","4,660.00",2.4,,,,,,,,,
,,2002 - 2003,130,310,2.38,,,,,,,,,
,,2003 - 2004,130,310,2.38,,,,,,,,,
,,2004 - 2005,134,322,2.4,,,,,,,,,
,,2019 - 2020,,,,,,,150,300,2,,,
,12. Jagatsinghapur,2000 - 2001,270,610,2.26,,,,,,,,,
,,2001 - 2002,340,770,2.26,,,,,,,,,
,,2002 - 2003,210,470,2.24,,,,,,,,,
,,2003 - 2004,190,430,2.26,,,,,,,,,
,,2004 - 2005,202,453,2.24,,,,,,,,,
,,2019 - 2020,,,,,,,150,280,1.87,,,
,13. Jajapur,2000 - 2001,230,530,2.3,,,,,,,,,
,,2001 - 2002,280,640,2.29,,,,,,,,,
,,2002 - 2003,250,560,2.24,,,,,,,,,
,,2003 - 2004,240,550,2.29,,,,,,,,,
,,2004 - 2005,281,630,2.24,,,,,,,,,
,14. Jharsuguda,2000 - 2001,90,200,2.22,,,,,,,,,
,,2001 - 2002,360,810,2.25,,,,,,,,,
,,2002 - 2003,110,260,2.36,,,,,,,,,
,,2003 - 2004,110,260,2.36,,,,,,,,,
,,2004 - 2005,113,266,2.35,,,,,,,,,
,,2019 - 2020,,,,,,,60,190,3.17,,,
,15. Kalahandi,2000 - 2001,110,250,2.27,,,,,,,,,
,,2001 - 2002,280,650,2.32,,,,,,,,,
,,2002 - 2003,"1,580.00","3,610.00",2.28,,,,,,,,,
,,2003 - 2004,870,"1,990.00",2.29,,,,,,,,,
,,2004 - 2005,827,"1,887.00",2.28,,,,,,,,,
,,2019 - 2020,,,,,,,960,"1,860.00",1.94,,,
,16. Kandhamal,2000 - 2001,"11,550.00","27,800.00",2.41,,,,,,,,,
,,2001 - 2002,"11,650.00","29,130.00",2.5,,,,,,,,,
,,2002 - 2003,"9,900.00","2,470.00",0.25,,,,,,,,,
,,2003 - 2004,"9,850.00","24,620.00",2.5,,,,,,,,,
,,2004 - 2005,"10,070.00","25,168.00",2.5,,,,,,,,,
,,2019 - 2020,,,,,,,"17,700.00","29,560.00",1.67,,,
,17. Kendrapara,2001 - 2002,70,150,2.14,,,,,,,,,
,,2002 - 2003,150,340,2.27,,,,,,,,,
,,2003 - 2004,240,540,2.25,,,,,,,,,
,,2004 - 2005,263,591,2.25,,,,,,,,,
,,2019 - 2020,,,,,,,100,150,1.5,,,
,18. Kendujhar,2000 - 2001,720,"1,750.00",2.43,,,,,,,,,
,,2001 - 2002,80,190,2.38,,,,,,,,,
,,2002 - 2003,"1,320.00","3,180.00",2.41,,,,,,,,,
,,2003 - 2004,"1,220.00","2,930.00",2.4,,,,,,,,,
,,2004 - 2005,"1,244.00","2,998.00",2.41,,,,,,,,,
,,2019 - 2020,,,,,,,"1,110.00","2,220.00",2,,,
,19. Khordha,2000 - 2001,50,120,2.4,,,,,,,,,
,,2001 - 2002,70,150,2.14,,,,,,,,,
,,2002 - 2003,140,280,2,,,,,,,,,
,,2003 - 2004,100,200,2,,,,,,,,,
,,2004 - 2005,104,207,1.99,,,,,,,,,
,,2019 - 2020,,,,,,,110,280,2.55,,,
,20. Koraput,2000 - 2001,"1,100.00","2,680.00",2.44,,,,,,,,,
,,2001 - 2002,"1,170.00",280,0.24,,,,,,,,,
,,2002 - 2003,"1,170.00","2,810.00",2.4,,,,,,,,,
,,2003 - 2004,"3,080.00","7,380.00",2.4,,,,,,,,,
,,2004 - 2005,"2,907.00","6,976.00",2.4,,,,,,,,,
,,2019 - 2020,,,,,,,"3,040.00","7,920.00",2.61,,,
,21. Malkangiri,2000 - 2001,170,390,2.29,,,,,,,,,
,,2001 - 2002,240,560,2.33,,,,,,,,,
,,2002 - 2003,240,510,2.13,,,,,,,,,
,,2003 - 2004,240,510,2.13,,,,,,,,,
,,2004 - 2005,240,504,2.1,,,,,,,,,
,,2019 - 2020,,,,,,,240,550,2.29,,,
,22. Mayurbhanj,2000 - 2001,"1,400.00","3,450.00",2.46,,,,,,,,,
,,2001 - 2002,"1,460.00","3,580.00",2.45,,,,,,,,,
,,2002 - 2003,600,"1,320.00",2.2,,,,,,,,,
,,2003 - 2004,520,"1,150.00",2.21,,,,,,,,,
,,2004 - 2005,462,"1,083.00",2.34,,,,,,,,,
,,2019 - 2020,,,,,,,520,"1,460.00",2.81,,,
,23. Nabarangpur,2000 - 2001,110,250,2.27,,,,,,,,,
,,2001 - 2002,140,340,2.43,,,,,,,,,
,,2002 - 2003,120,250,2.08,,,,,,,,,
,,2003 - 2004,110,240,2.18,,,,,,,,,
,,2004 - 2005,94,199,2.12,,,,,,,,,
,,2019 - 2020,,,,,,,110,200,1.82,,,
,24. Nayagarh,2000 - 2001,230,570,2.48,,,,,,,,,
,,2001 - 2002,250,620,2.48,,,,,,,,,
,,2002 - 2003,"2,800.00","5,940.00",2.12,,,,,,,,,
,,2003 - 2004,"2,740.00","5,800.00",2.12,,,,,,,,,
,,2004 - 2005,"2,584.00","5,479.00",2.12,,,,,,,,,
,,2019 - 2020,,,,,,,270,590,2.19,,,
,25. Nuapada,2000 - 2001,140,310,2.21,,,,,,,,,
,,2001 - 2002,160,360,2.25,,,,,,,,,
,,2002 - 2003,10,20,2,,,,,,,,,
,,2003 - 2004,260,510,1.96,,,,,,,,,
