State,District,Year,Jowar,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2021 - 2022,1,1,1,,,,,,,,,,,,
,,2022 - 2023,2,2,1,,,,,,,,,,,,
,22. Tirupati,2022 - 2023,,,,3,7,2.33,,,,,,,,,
,23. Visakhapatanam,2000 - 2001,"1,492.00",554,0.37,198,173,0.87,,,,,,,,,
,,2001 - 2002,"1,442.00",825,0.57,94,69,0.73,,,,,,,,,
,,2002 - 2003,"1,537.00",512,0.33,363,291,0.8,,,,,,,,,
,,2003 - 2004,"1,175.00","3,476.00",2.96,199,374,1.88,,,,,,,,,
,,2004 - 2005,"1,094.00",585,0.53,69,130,1.88,,,,,,,,,
,,2005 - 2006,"1,279.00",710,0.56,23,67,2.91,,,,,,,,,
,,2006 - 2007,"1,021.00",759,0.74,9,19,2.11,,,,,,,,,
,,2007 - 2008,"1,000.00","2,000.00",2,,,,,,,,,,,,
,,2008 - 2009,"1,094.00","2,795.00",2.55,55,260,4.73,,,,,,,,,
,,2009 - 2010,833,982,1.18,83,290,3.49,,,,,,,,,
,,2010 - 2011,982,"1,421.00",1.45,3,12,4,,,,,,,,,
,,2011 - 2012,837,"1,800.00",2.15,4,19,4.75,,,,,,,,,
,,2012 - 2013,"1,000.00","2,000.00",2,,,,,,,,,,,,
,,2013 - 2014,551,963,1.75,12,55,4.58,,,,,,,,,
,,2014 - 2015,392,583,1.49,6,27,4.5,,,,,,,,,
,,2015 - 2016,236,262,1.11,1,4,4,,,,,,,,,
,,2016 - 2017,223,320,1.43,,,,,,,,,,,,
,,2017 - 2018,285,290,1.02,,,,,,,,,,,,
,,2018 - 2019,222,29,0.13,,,,,,,,,,,,
,,2019 - 2020,184,138,0.75,12,60,5,,,,,,,,,
,,2020 - 2021,49,38,0.78,,,,,,,,,,,,
,,2021 - 2022,116,122,1.05,,,,,,,,,,,,
,24. Vizianagaram,2000 - 2001,541,201,0.37,17,15,0.88,,,,,,,,,
,,2001 - 2002,376,215,0.57,56,41,0.73,,,,,,,,,
,,2002 - 2003,376,125,0.33,20,16,0.8,,,,,,,,,
,,2003 - 2004,256,757,2.96,38,71,1.87,,,,,,,,,
,,2004 - 2005,308,165,0.54,41,77,1.88,,,,,,,,,
,,2005 - 2006,339,188,0.55,37,108,2.92,,,,,,,,,
,,2006 - 2007,391,291,0.74,29,63,2.17,,,,,,,,,
,,2007 - 2008,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2008 - 2009,501,"1,280.00",2.55,42,198,4.71,,,,,,,,,
,,2009 - 2010,440,519,1.18,5,17,3.4,,,,,,,,,
,,2010 - 2011,454,657,1.45,,,,,,,,,,,,
,,2011 - 2012,334,718,2.15,13,61,4.69,,,,,,,,,
,,2012 - 2013,"1,000.00","2,000.00",2,,,,,,,,,,,,
,,2013 - 2014,280,489,1.75,,,,,,,,,,,,
,,2014 - 2015,125,186,1.49,5,23,4.6,,,,,,,,,
,,2015 - 2016,46,51,1.11,1,4,4,,,,,,,,,
,,2016 - 2017,50,72,1.44,,,,,,,,,,,,
,,2017 - 2018,54,55,1.02,7,30,4.29,,,,,,,,,
,,2018 - 2019,6,1,0.17,,,,,,,,,,,,
,,2020 - 2021,15,21,1.4,23,121,5.26,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,,,,
,,2022 - 2023,2,2,1,,,,,,,,,,,,
,25. West godavari,2000 - 2001,327,121,0.37,21,18,0.86,,,,,,,,,
,,2001 - 2002,324,185,0.57,"1,138.00",840,0.74,,,,,,,,,
,,2002 - 2003,479,160,0.33,"1,823.00","1,461.00",0.8,,,,,,,,,
,,2003 - 2004,430,"1,272.00",2.96,"1,182.00","2,220.00",1.88,,,,,,,,,
,,2004 - 2005,380,203,0.53,66,124,1.88,,,,,,,,,
,,2005 - 2006,342,190,0.56,156,455,2.92,,,,,,,,,
,,2006 - 2007,174,129,0.74,212,457,2.16,,,,,,,,,
,,2008 - 2009,,,,75,354,4.72,,,,,,,,,
,,2009 - 2010,30,35,1.17,542,"1,894.00",3.49,,,,,,,,,
,,2010 - 2011,50,72,1.44,,,,,,,,,,,,
,,2011 - 2012,66,142,2.15,78,363,4.65,,,,,,,,,
,,2013 - 2014,13,23,1.77,239,"1,102.00",4.61,,,,,,,,,
,,2014 - 2015,56,83,1.48,123,556,4.52,,,,,,,,,
,,2015 - 2016,55,61,1.11,8,13,1.63,,,,,,,,,
,,2016 - 2017,35,50,1.43,4,14,3.5,,,,,,,,,
,,2017 - 2018,16,16,1,60,255,4.25,,,,,,,,,
