State,District,Year,Rapeseed &Mustard,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2006 - 2007,"13,830.00","6,379.00",0.46,,,,,,,,,
,,2007 - 2008,"4,949.00","1,651.00",0.33,,,,,,,,,
,,2008 - 2009,"24,023.00","12,955.00",0.54,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"30,779.00","15,018.00",0.49
,,2010 - 2011,"27,940.00","9,275.00",0.33,,,,,,,,,
,,2011 - 2012,"20,143.00","11,303.00",0.56,,,,,,,,,
,,2012 - 2013,"22,736.00","10,730.00",0.47,,,,,,,,,
,,2013 - 2014,"22,263.00","8,509.00",0.38,,,,,,,,,
,,2014 - 2015,"9,000.00","4,000.00",0.44,,,,,,,,,
,,2015 - 2016,"9,000.00","6,000.00",0.67,,,,,,,,,
,,2016 - 2017,"13,000.00","13,000.00",1,,,,,,,,,
,,2017 - 2018,"11,450.00","8,890.00",0.78,,,,,,,,,
,,2018 - 2019,"12,182.00","4,739.00",0.39,,,,,,,,,
,,2019 - 2020,"6,427.00","6,588.00",1.03,,,,,,,,,
,,2020 - 2021,"8,579.00","9,214.00",1.07,,,,,,,,,
,,2021 - 2022,"18,362.00","14,065.00",0.77,,,,,,,,,
,,2022 - 2023,"18,882.00","17,239.00",0.91,,,,,,,,,
,50. Ujjain,2000 - 2001,30,9,0.3,,,,,,,,,
,,2001 - 2002,744,359,0.48,,,,,,,,,
,,2002 - 2003,624,274,0.44,,,,,,,,,
,,2003 - 2004,"1,077.00",956,0.89,,,,,,,,,
,,2004 - 2005,"14,010.00","13,005.00",0.93,,,,,,,,,
,,2005 - 2006,"9,915.00","7,769.00",0.78,,,,,,,,,
,,2006 - 2007,"4,975.00","4,468.00",0.9,,,,,,,,,
,,2007 - 2008,"2,955.00","2,211.00",0.75,,,,,,,,,
,,2008 - 2009,"2,541.00","2,136.00",0.84,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"2,303.00","2,060.00",0.89
,,2010 - 2011,"1,700.00","1,355.00",0.8,,,,,,,,,
,,2011 - 2012,"1,849.00","2,086.00",1.13,,,,,,,,,
,,2012 - 2013,"1,692.00","1,471.00",0.87,,,,,,,,,
,,2013 - 2014,"1,265.00","1,043.00",0.82,,,,,,,,,
,,2014 - 2015,"2,000.00","2,000.00",1,,,,,,,,,
,,2015 - 2016,"3,000.00","2,000.00",0.67,,,,,,,,,
,,2016 - 2017,"1,000.00","1,000.00",1,,,,,,,,,
,,2017 - 2018,"1,800.00","1,490.00",0.83,,,,,,,,,
,,2018 - 2019,875,489,0.56,,,,,,,,,
,,2019 - 2020,"1,341.00","1,775.00",1.32,,,,,,,,,
,,2020 - 2021,"1,407.00","2,376.00",1.69,,,,,,,,,
,,2021 - 2022,"1,843.00","1,666.00",0.9,,,,,,,,,
,,2022 - 2023,"2,363.00","2,954.00",1.25,,,,,,,,,
,51. Umaria,2000 - 2001,"7,240.00","1,334.00",0.18,,,,,,,,,
,,2001 - 2002,"7,786.00","2,288.00",0.29,,,,,,,,,
,,2002 - 2003,"7,619.00","1,729.00",0.23,,,,,,,,,
,,2003 - 2004,"7,831.00","2,620.00",0.33,,,,,,,,,
,,2004 - 2005,"7,773.00","3,120.00",0.4,,,,,,,,,
,,2005 - 2006,"7,534.00","2,907.00",0.39,,,,,,,,,
,,2006 - 2007,"7,341.00","2,549.00",0.35,,,,,,,,,
,,2007 - 2008,"7,370.00","2,502.00",0.34,,,,,,,,,
,,2008 - 2009,"7,597.00","3,042.00",0.4,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"7,648.00","3,513.00",0.46
,,2010 - 2011,"7,468.00","2,674.00",0.36,,,,,,,,,
,,2011 - 2012,"7,380.00","3,368.00",0.46,,,,,,,,,
,,2012 - 2013,"7,054.00","3,245.00",0.46,,,,,,,,,
,,2013 - 2014,"6,911.00","4,833.00",0.7,,,,,,,,,
,,2014 - 2015,"8,000.00","3,000.00",0.38,,,,,,,,,
,,2015 - 2016,"3,000.00","2,000.00",0.67,,,,,,,,,
,,2016 - 2017,"7,000.00","6,000.00",0.86,,,,,,,,,
,,2017 - 2018,"6,220.00","4,430.00",0.71,,,,,,,,,
,,2018 - 2019,"2,611.00","1,107.00",0.42,,,,,,,,,
,,2019 - 2020,"3,842.00","2,847.00",0.74,,,,,,,,,
,,2020 - 2021,"2,793.00","2,025.00",0.73,,,,,,,,,
,,2021 - 2022,"2,544.00","1,704.00",0.67,,,,,,,,,
,,2022 - 2023,"3,064.00","2,212.00",0.72,,,,,,,,,
,52. Vidisha,2000 - 2001,869,487,0.56,,,,,,,,,
,,2001 - 2002,792,549,0.69,,,,,,,,,
,,2002 - 2003,"1,440.00",757,0.53,,,,,,,,,
,,2003 - 2004,682,530,0.78,,,,,,,,,
,,2004 - 2005,904,781,0.86,,,,,,,,,
,,2005 - 2006,923,800,0.87,,,,,,,,,
,,2006 - 2007,916,800,0.87,,,,,,,,,
,,2007 - 2008,"1,150.00",939,0.82,,,,,,,,,
,,2008 - 2009,905,741,0.82,,,,,,,,,
,,2009 - 2010,,,,,,,,,,892,764,0.86
,,2010 - 2011,864,666,0.77,,,,,,,,,
,,2011 - 2012,815,930,1.14,,,,,,,,,
,,2012 - 2013,393,326,0.83,,,,,,,,,
,,2013 - 2014,78,50,0.64,,,,,,,,,
,,2017 - 2018,400,380,0.95,,,,,,,,,
,,2018 - 2019,"1,055.00",634,0.6,,,,,,,,,
,,2019 - 2020,"1,032.00","1,215.00",1.18,,,,,,,,,
,,2020 - 2021,"1,351.00","1,706.00",1.26,,,,,,,,,
,,2021 - 2022,"11,747.00","10,467.00",0.89,,,,,,,,,
,,2022 - 2023,"12,267.00","17,296.00",1.41,,,,,,,,,
19. Maharashtra,1. Ahilyanagar,2000 - 2001,200,100,0.5,,,,,,,,,
,,2001 - 2002,100,10,0.1,,,,,,,,,
,,2002 - 2003,100,10,0.1,,,,,,,,,
,,2003 - 2004,200,100,0.5,,,,,,,,,
,,2004 - 2005,200,0,0,,,,,,,,,
,,2005 - 2006,300,,0,,,,,,,,,
,,2006 - 2007,100,,0,,,,,,,,,
,,2007 - 2008,200,100,0.5,,,,,,,,,
,,2008 - 2009,100,,0,,,,,,,,,
,,2009 - 2010,100,50,0.5,,,,,,,,,
,,2016 - 2017,13,2,0.15,,,,,,,,,
,,2017 - 2018,214,91,0.43,,,,,,,,,
,,2019 - 2020,47,3,0.06,,,,,,,,,
,2. Akola,2000 - 2001,100,10,0.1,,,,,,,,,
,,2001 - 2002,100,10,0.1,,,,,,,,,
,,2002 - 2003,100,10,0.1,,,,,,,,,
,,2004 - 2005,100,0,0,,,,,,,,,
,,2005 - 2006,200,100,0.5,,,,,,,,,
,,2006 - 2007,400,100,0.25,,,,,,,,,
,,2007 - 2008,200,100,0.5,,,,,,,,,
,,2008 - 2009,100,100,1,,,,,,,,,
,,2009 - 2010,100,20,0.2,,,,,,,,,
,,2016 - 2017,100,40,0.4,,,,,,,,,
,,2018 - 2019,50,88,1.76,,,,,,,,,
,3. Amravati,2002 - 2003,500,100,0.2,,,,,,,,,
,,2003 - 2004,"1,300.00",500,0.38,,,,,,,,,
,,2004 - 2005,100,100,1,,,,,,,,,
,,2005 - 2006,100,,0,,,,,,,,,
,,2006 - 2007,100,,0,,,,,,,,,
,,2007 - 2008,800,400,0.5,,,,,,,,,
,,2010 - 2011,300,100,0.33,,,,,,,,,
,,2011 - 2012,"2,200.00",600,0.27,,,,,,,,,
,,2017 - 2018,900,360,0.4,,,,,,,,,
,,2019 - 2020,666,266,0.4,,,,,,,,,
,4. Beed,2000 - 2001,600,200,0.33,,,,,,,,,
,,2001 - 2002,800,200,0.25,,,,,,,,,
,,2002 - 2003,700,100,0.14,,,,,,,,,
,,2003 - 2004,700,100,0.14,,,,,,,,,
,,2004 - 2005,700,100,0.14,,,,,,,,,
,,2005 - 2006,900,200,0.22,,,,,,,,,
,,2006 - 2007,800,200,0.25,,,,,,,,,
,,2007 - 2008,700,200,0.29,,,,,,,,,
,,2008 - 2009,800,200,0.25,,,,,,,,,
,,2009 - 2010,700,200,0.29,,,,,,,,,
,,2010 - 2011,400,100,0.25,,,,,,,,,
,,2011 - 2012,300,100,0.33,,,,,,,,,
,,2012 - 2013,400,100,0.25,,,,,,,,,
,,2016 - 2017,100,40,0.4,,,,,,,,,
,,2017 - 2018,20,10,0.5,,,,,,,,,
,,2018 - 2019,110,10,0.09,,,,,,,,,
,,2019 - 2020,169,51,0.3,,,,,,,,,
,5. Bhandara,2000 - 2001,300,100,0.33,,,,,,,,,
,,2001 - 2002,100,10,0.1,,,,,,,,,
,,2002 - 2003,400,100,0.25,,,,,,,,,
,,2003 - 2004,100,0,0,,,,,,,,,
,,2004 - 2005,200,100,0.5,,,,,,,,,
,,2005 - 2006,600,200,0.33,,,,,,,,,
,,2006 - 2007,200,100,0.5,,,,,,,,,
,,2007 - 2008,300,200,0.67,,,,,,,,,
,,2008 - 2009,100,100,1,,,,,,,,,
,,2009 - 2010,200,100,0.5,,,,,,,,,
,,2010 - 2011,300,100,0.33,,,,,,,,,
,,2011 - 2012,300,100,0.33,,,,,,,,,
,,2012 - 2013,400,100,0.25,,,,,,,,,
,,2016 - 2017,200,100,0.5,,,,,,,,,
,,2017 - 2018,200,27,0.14,,,,,,,,,
,,2018 - 2019,320,100,0.31,,,,,,,,,
,,2019 - 2020,402,402,1,,,,,,,,,
,6. Buldhana,2001 - 2002,200,100,0.5,,,,,,,,,
,,2002 - 2003,300,100,0.33,,,,,,,,,
,,2005 - 2006,200,100,0.5,,,,,,,,,
,,2006 - 2007,400,200,0.5,,,,,,,,,
,,2007 - 2008,300,200,0.67,,,,,,,,,
,,2011 - 2012,"2,800.00",800,0.29,,,,,,,,,
,,2016 - 2017,100,40,0.4,,,,,,,,,
,,2017 - 2018,700,300,0.43,,,,,,,,,
,,2018 - 2019,110,46,0.42,,,,,,,,,
,,2019 - 2020,231,100,0.43,,,,,,,,,
,7. Chandrapur,2000 - 2001,200,10,0.05,,,,,,,,,
,,2001 - 2002,"2,300.00",500,0.22,,,,,,,,,
,,2002 - 2003,300,100,0.33,,,,,,,,,
,,2003 - 2004,800,200,0.25,,,,,,,,,
,,2004 - 2005,500,100,0.2,,,,,,,,,
,,2005 - 2006,"2,400.00",800,0.33,,,,,,,,,
,,2006 - 2007,"2,500.00","1,300.00",0.52,,,,,,,,,
,,2007 - 2008,700,400,0.57,,,,,,,,,
,,2008 - 2009,500,200,0.4,,,,,,,,,
,,2009 - 2010,300,200,0.67,,,,,,,,,
,,2010 - 2011,300,200,0.67,,,,,,,,,
,,2011 - 2012,200,100,0.5,,,,,,,,,
,,2012 - 2013,600,200,0.33,,,,,,,,,
,,2016 - 2017,400,200,0.5,,,,,,,,,
,,2017 - 2018,13,3,0.23,,,,,,,,,
,,2018 - 2019,4,1,0.25,,,,,,,,,
,,2019 - 2020,89,31,0.35,,,,,,,,,
,8. Chhatrapati Sambhajinagar,2000 - 2001,400,100,0.25,,,,,,,,,
,,2001 - 2002,700,200,0.29,,,,,,,,,
,,2002 - 2003,900,200,0.22,,,,,,,,,
,,2003 - 2004,600,100,0.17,,,,,,,,,
,,2004 - 2005,700,100,0.14,,,,,,,,,
,,2005 - 2006,600,200,0.33,,,,,,,,,
,,2006 - 2007,"1,100.00",200,0.18,,,,,,,,,
,,2007 - 2008,600,200,0.33,,,,,,,,,
,,2016 - 2017,900,200,0.22,,,,,,,,,
,,2017 - 2018,100,23,0.23,,,,,,,,,
,,2018 - 2019,10,,0,,,,,,,,,
,,2019 - 2020,618,185,0.3,,,,,,,,,
,9. Dharashiv,2001 - 2002,300,100,0.33,,,,,,,,,
,,2003 - 2004,500,100,0.2,,,,,,,,,
,,2004 - 2005,500,200,0.4,,,,,,,,,
,,2006 - 2007,300,100,0.33,,,,,,,,,
,,2008 - 2009,300,100,0.33,,,,,,,,,
,,2010 - 2011,600,200,0.33,,,,,,,,,
,,2011 - 2012,100,30,0.3,,,,,,,,,
,,2012 - 2013,"1,100.00",300,0.27,,,,,,,,,
,,2016 - 2017,900,400,0.44,,,,,,,,,
,,2017 - 2018,600,100,0.17,,,,,,,,,
,,2018 - 2019,"2,600.00",800,0.31,,,,,,,,,
,,2019 - 2020,"1,861.00",579,0.31,,,,,,,,,
,10. Dhule,2001 - 2002,100,10,0.1,,,,,,,,,
,,2003 - 2004,100,0,0,,,,,,,,,
,,2004 - 2005,100,100,1,,,,,,,,,
,,2005 - 2006,100,100,1,,,,,,,,,
,,2007 - 2008,100,100,1,,,,,,,,,
,,2010 - 2011,500,200,0.4,,,,,,,,,
,,2011 - 2012,"1,600.00",600,0.38,,,,,,,,,
,,2019 - 2020,999,150,0.15,,,,,,,,,
,11. Gadchiroli,2000 - 2001,300,100,0.33,,,,,,,,,
,,2001 - 2002,"1,700.00",300,0.18,,,,,,,,,
,,2002 - 2003,200,10,0.05,,,,,,,,,
,,2003 - 2004,700,100,0.14,,,,,,,,,
,,2004 - 2005,300,100,0.33,,,,,,,,,
,,2005 - 2006,700,300,0.43,,,,,,,,,
,,2006 - 2007,900,400,0.44,,,,,,,,,
,,2007 - 2008,700,400,0.57,,,,,,,,,
,,2008 - 2009,500,100,0.2,,,,,,,,,
,,2009 - 2010,900,100,0.11,,,,,,,,,
,,2010 - 2011,900,300,0.33,,,,,,,,,
,,2011 - 2012,800,200,0.25,,,,,,,,,
,,2012 - 2013,700,200,0.29,,,,,,,,,
,,2016 - 2017,800,400,0.5,,,,,,,,,
,,2017 - 2018,800,200,0.25,,,,,,,,,
,,2018 - 2019,410,100,0.24,,,,,,,,,
,,2019 - 2020,705,199,0.28,,,,,,,,,
,12. Gondia,2000 - 2001,200,10,0.05,,,,,,,,,
,,2002 - 2003,100,10,0.1,,,,,,,,,
,,2003 - 2004,400,100,0.25,,,,,,,,,
,,2004 - 2005,300,100,0.33,,,,,,,,,
,,2005 - 2006,300,100,0.33,,,,,,,,,
,,2006 - 2007,200,100,0.5,,,,,,,,,
,,2007 - 2008,200,100,0.5,,,,,,,,,
,,2008 - 2009,100,100,1,,,,,,,,,
,,2009 - 2010,100,40,0.4,,,,,,,,,
,,2010 - 2011,300,100,0.33,,,,,,,,,
,,2011 - 2012,200,100,0.5,,,,,,,,,
,,2012 - 2013,300,100,0.33,,,,,,,,,
,,2016 - 2017,100,20,0.2,,,,,,,,,
,,2017 - 2018,100,27,0.27,,,,,,,,,
,,2018 - 2019,114,43,0.38,,,,,,,,,
,,2019 - 2020,92,35,0.38,,,,,,,,,
,13. Hingoli,2000 - 2001,300,100,0.33,,,,,,,,,
,,2001 - 2002,500,100,0.2,,,,,,,,,
,,2002 - 2003,400,100,0.25,,,,,,,,,
,,2003 - 2004,300,100,0.33,,,,,,,,,
,,2005 - 2006,300,100,0.33,,,,,,,,,
,,2006 - 2007,100,,0,,,,,,,,,
,,2007 - 2008,100,,0,,,,,,,,,
,,2009 - 2010,100,40,0.4,,,,,,,,,
,,2011 - 2012,100,30,0.3,,,,,,,,,
,,2012 - 2013,200,100,0.5,,,,,,,,,
,,2016 - 2017,100,40,0.4,,,,,,,,,
,14. Jalgaon,2000 - 2001,100,10,0.1,,,,,,,,,
,,2002 - 2003,100,10,0.1,,,,,,,,,
,,2003 - 2004,100,0,0,,,,,,,,,
,,2005 - 2006,100,30,0.3,,,,,,,,,
,,2006 - 2007,200,200,1,,,,,,,,,
,,2007 - 2008,100,100,1,,,,,,,,,
,,2009 - 2010,400,200,0.5,,,,,,,,,
,,2010 - 2011,100,100,1,,,,,,,,,
,,2016 - 2017,20,10,0.5,,,,,,,,,
,,2017 - 2018,10,10,1,,,,,,,,,
,15. Jalna,2000 - 2001,600,100,0.17,,,,,,,,,
,,2001 - 2002,100,10,0.1,,,,,,,,,
,,2002 - 2003,400,100,0.25,,,,,,,,,
,,2003 - 2004,200,100,0.5,,,,,,,,,
,,2004 - 2005,400,100,0.25,,,,,,,,,
,,2006 - 2007,400,100,0.25,,,,,,,,,
,,2007 - 2008,200,100,0.5,,,,,,,,,
,,2010 - 2011,600,200,0.33,,,,,,,,,
,,2011 - 2012,100,,0,,,,,,,,,
,,2012 - 2013,200,60,0.3,,,,,,,,,
,,2016 - 2017,200,50,0.25,,,,,,,,,
,,2017 - 2018,100,20,0.2,,,,,,,,,
,,2019 - 2020,187,25,0.13,,,,,,,,,
,16. Kolhapur,2016 - 2017,100,20,0.2,,,,,,,,,
,,2019 - 2020,92,16,0.17,,,,,,,,,
,17. Latur,2000 - 2001,600,100,0.17,,,,,,,,,
,,2001 - 2002,"1,200.00",300,0.25,,,,,,,,,
,,2002 - 2003,300,100,0.33,,,,,,,,,
,,2003 - 2004,900,200,0.22,,,,,,,,,
,,2004 - 2005,700,200,0.29,,,,,,,,,
,,2005 - 2006,"1,000.00",300,0.3,,,,,,,,,
,,2006 - 2007,700,200,0.29,,,,,,,,,
,,2007 - 2008,500,100,0.2,,,,,,,,,
,,2008 - 2009,700,200,0.29,,,,,,,,,
,,2009 - 2010,200,100,0.5,,,,,,,,,
,,2010 - 2011,700,200,0.29,,,,,,,,,
,,2011 - 2012,"1,200.00",400,0.33,,,,,,,,,
,,2012 - 2013,"1,400.00",300,0.21,,,,,,,,,
,,2016 - 2017,800,200,0.25,,,,,,,,,
,,2017 - 2018,800,200,0.25,,,,,,,,,
,,2018 - 2019,60,19,0.32,,,,,,,,,
,,2019 - 2020,356,119,0.33,,,,,,,,,
,18. Nagpur,2000 - 2001,200,10,0.05,,,,,,,,,
,,2001 - 2002,200,100,0.5,,,,,,,,,
,,2002 - 2003,300,100,0.33,,,,,,,,,
,,2003 - 2004,"1,000.00",200,0.2,,,,,,,,,
,,2004 - 2005,400,200,0.5,,,,,,,,,
,,2005 - 2006,600,300,0.5,,,,,,,,,
,,2006 - 2007,800,300,0.38,,,,,,,,,
,,2007 - 2008,"1,100.00",600,0.55,,,,,,,,,
,,2008 - 2009,400,100,0.25,,,,,,,,,
,,2009 - 2010,200,100,0.5,,,,,,,,,
,,2010 - 2011,100,40,0.4,,,,,,,,,
,,2011 - 2012,500,200,0.4,,,,,,,,,
,,2012 - 2013,300,200,0.67,,,,,,,,,
,,2016 - 2017,400,200,0.5,,,,,,,,,
,,2017 - 2018,200,100,0.5,,,,,,,,,
,,2018 - 2019,110,41,0.37,,,,,,,,,
,,2019 - 2020,102,33,0.32,,,,,,,,,
,19. Nanded,2000 - 2001,"1,200.00",200,0.17,,,,,,,,,
,,2001 - 2002,"1,200.00",200,0.17,,,,,,,,,
,,2002 - 2003,900,200,0.22,,,,,,,,,
,,2003 - 2004,300,100,0.33,,,,,,,,,
,,2004 - 2005,200,100,0.5,,,,,,,,,
,,2005 - 2006,800,200,0.25,,,,,,,,,
,,2006 - 2007,"1,500.00",300,0.2,,,,,,,,,
,,2007 - 2008,200,100,0.5,,,,,,,,,
,,2008 - 2009,200,100,0.5,,,,,,,,,
,,2010 - 2011,100,30,0.3,,,,,,,,,
,,2011 - 2012,200,100,0.5,,,,,,,,,
,,2012 - 2013,300,100,0.33,,,,,,,,,
,,2016 - 2017,"1,300.00",300,0.23,,,,,,,,,
,,2017 - 2018,9,2,0.22,,,,,,,,,
,,2018 - 2019,30,6,0.2,,,,,,,,,
,,2019 - 2020,"1,560.00",344,0.22,,,,,,,,,
,20. Nandurbar,2000 - 2001,100,10,0.1,,,,,,,,,
,,2001 - 2002,100,100,1,,,,,,,,,
,,2002 - 2003,100,100,1,,,,,,,,,
,,2003 - 2004,100,0,0,,,,,,,,,
,,2004 - 2005,200,100,0.5,,,,,,,,,
,,2006 - 2007,100,100,1,,,,,,,,,
,,2008 - 2009,300,100,0.33,,,,,,,,,
,,2009 - 2010,200,200,1,,,,,,,,,
,,2010 - 2011,200,100,0.5,,,,,,,,,
,,2011 - 2012,500,200,0.4,,,,,,,,,
,,2012 - 2013,600,100,0.17,,,,,,,,,
,,2016 - 2017,"1,900.00",800,0.42,,,,,,,,,
,,2017 - 2018,"1,500.00",600,0.4,,,,,,,,,
,,2018 - 2019,710,400,0.56,,,,,,,,,
,,2019 - 2020,155,37,0.24,,,,,,,,,
,21. Nashik,2000 - 2001,200,100,0.5,,,,,,,,,
,,2001 - 2002,500,100,0.2,,,,,,,,,
,,2002 - 2003,200,100,0.5,,,,,,,,,
,,2003 - 2004,200,100,0.5,,,,,,,,,
,,2004 - 2005,300,100,0.33,,,,,,,,,
,,2005 - 2006,400,100,0.25,,,,,,,,,
,,2006 - 2007,200,100,0.5,,,,,,,,,
,,2007 - 2008,200,200,1,,,,,,,,,
,,2008 - 2009,200,100,0.5,,,,,,,,,
,,2009 - 2010,100,100,1,,,,,,,,,
,,2010 - 2011,200,100,0.5,,,,,,,,,
,,2012 - 2013,100,20,0.2,,,,,,,,,
,,2016 - 2017,100,,0,,,,,,,,,
,,2017 - 2018,100,100,1,,,,,,,,,
,,2018 - 2019,10,2,0.2,,,,,,,,,
,,2019 - 2020,16,3,0.19,,,,,,,,,
,22. Palghar,2016 - 2017,20,10,0.5,,,,,,,,,
,,2017 - 2018,10,,0,,,,,,,,,
,,2018 - 2019,10,7,0.7,,,,,,,,,
,,2019 - 2020,20,12,0.6,,,,,,,,,
,23. Parbhani,2000 - 2001,800,200,0.25,,,,,,,,,
,,2001 - 2002,500,100,0.2,,,,,,,,,
,,2002 - 2003,400,100,0.25,,,,,,,,,
,,2003 - 2004,400,100,0.25,,,,,,,,,
,,2004 - 2005,500,200,0.4,,,,,,,,,
,,2005 - 2006,700,200,0.29,,,,,,,,,
,,2006 - 2007,600,100,0.17,,,,,,,,,
,,2007 - 2008,400,100,0.25,,,,,,,,,
,,2008 - 2009,500,100,0.2,,,,,,,,,
,,2009 - 2010,500,200,0.4,,,,,,,,,
,,2010 - 2011,500,20,0.04,,,,,,,,,
,,2011 - 2012,500,300,0.6,,,,,,,,,
,,2012 - 2013,600,200,0.33,,,,,,,,,
,,2016 - 2017,20,5,0.25,,,,,,,,,
,,2018 - 2019,140,30,0.21,,,,,,,,,
,,2019 - 2020,258,40,0.16,,,,,,,,,
,24. Pune,2000 - 2001,100,10,0.1,,,,,,,,,
,,2001 - 2002,100,100,1,,,,,,,,,
,,2002 - 2003,300,100,0.33,,,,,,,,,
,,2003 - 2004,100,0,0,,,,,,,,,
,,2004 - 2005,300,100,0.33,,,,,,,,,
,,2006 - 2007,300,100,0.33,,,,,,,,,
,,2007 - 2008,100,100,1,,,,,,,,,
,,2008 - 2009,100,100,1,,,,,,,,,
,,2009 - 2010,100,50,0.5,,,,,,,,,
,,2010 - 2011,100,50,0.5,,,,,,,,,
,,2012 - 2013,200,100,0.5,,,,,,,,,
,,2017 - 2018,10,4,0.4,,,,,,,,,
,,2018 - 2019,10,1,0.1,,,,,,,,,
,,2019 - 2020,215,35,0.16,,,,,,,,,
,25. Raigad,2001 - 2002,100,10,0.1,,,,,,,,,
,,2002 - 2003,100,100,1,,,,,,,,,
,,2003 - 2004,100,0,0,,,,,,,,,
,,2004 - 2005,100,100,1,,,,,,,,,
,,2005 - 2006,100,,0,,,,,,,,,
,,2006 - 2007,200,100,0.5,,,,,,,,,
,,2007 - 2008,100,,0,,,,,,,,,
,,2008 - 2009,200,100,0.5,,,,,,,,,
,,2009 - 2010,100,40,0.4,,,,,,,,,
,,2010 - 2011,100,40,0.4,,,,,,,,,
,,2011 - 2012,100,40,0.4,,,,,,,,,
,,2017 - 2018,30,10,0.33,,,,,,,,,
,,2019 - 2020,164,106,0.65,,,,,,,,,
,26. Ratnagiri,2000 - 2001,100,10,0.1,,,,,,,,,
,,2002 - 2003,100,10,0.1,,,,,,,,,
,,2003 - 2004,100,0,0,,,,,,,,,
,,2004 - 2005,100,0,0,,,,,,,,,
,,2005 - 2006,100,100,1,,,,,,,,,
,,2006 - 2007,100,,0,,,,,,,,,
,,2007 - 2008,100,100,1,,,,,,,,,
,,2008 - 2009,100,,0,,,,,,,,,
,,2010 - 2011,100,40,0.4,,,,,,,,,
,,2011 - 2012,100,30,0.3,,,,,,,,,
,,2016 - 2017,60,40,0.67,,,,,,,,,
,,2017 - 2018,30,20,0.67,,,,,,,,,
,,2018 - 2019,70,41,0.59,,,,,,,,,
,,2019 - 2020,212,137,0.65,,,,,,,,,
,27. Sangli,2000 - 2001,800,200,0.25,,,,,,,,,
,,2001 - 2002,400,200,0.5,,,,,,,,,
,,2002 - 2003,200,100,0.5,,,,,,,,,
,,2003 - 2004,300,100,0.33,,,,,,,,,
,,2004 - 2005,600,100,0.17,,,,,,,,,
,,2005 - 2006,400,100,0.25,,,,,,,,,
,,2006 - 2007,400,200,0.5,,,,,,,,,
,,2007 - 2008,500,200,0.4,,,,,,,,,
,,2008 - 2009,500,100,0.2,,,,,,,,,
,,2009 - 2010,700,200,0.29,,,,,,,,,
,,2010 - 2011,400,200,0.5,,,,,,,,,
,,2011 - 2012,300,200,0.67,,,,,,,,,
,,2012 - 2013,100,30,0.3,,,,,,,,,
,,2017 - 2018,14,10,0.71,,,,,,,,,
,,2019 - 2020,4,,0,,,,,,,,,
,28. Satara,2000 - 2001,200,10,0.05,,,,,,,,,
,,2001 - 2002,200,100,0.5,,,,,,,,,
,,2002 - 2003,200,100,0.5,,,,,,,,,
,,2003 - 2004,200,100,0.5,,,,,,,,,
,,2004 - 2005,600,100,0.17,,,,,,,,,
,,2005 - 2006,500,100,0.2,,,,,,,,,
,,2006 - 2007,600,100,0.17,,,,,,,,,
,,2007 - 2008,200,,0,,,,,,,,,
,,2008 - 2009,200,100,0.5,,,,,,,,,
,,2009 - 2010,500,100,0.2,,,,,,,,,
,,2010 - 2011,600,300,0.5,,,,,,,,,
,,2011 - 2012,500,200,0.4,,,,,,,,,
,,2012 - 2013,100,30,0.3,,,,,,,,,
,,2016 - 2017,100,20,0.2,,,,,,,,,
,,2017 - 2018,100,40,0.4,,,,,,,,,
,,2018 - 2019,30,10,0.33,,,,,,,,,
,,2019 - 2020,64,11,0.17,,,,,,,,,
,29. Sindhudurg,2004 - 2005,100,0,0,,,,,,,,,
,,2005 - 2006,100,100,1,,,,,,,,,
,,2006 - 2007,100,,0,,,,,,,,,
,,2007 - 2008,100,,0,,,,,,,,,
,,2008 - 2009,100,,0,,,,,,,,,
,,2009 - 2010,100,100,1,,,,,,,,,
,,2010 - 2011,100,40,0.4,,,,,,,,,
,,2011 - 2012,200,100,0.5,,,,,,,,,
,,2017 - 2018,10,10,1,,,,,,,,,
,,2018 - 2019,50,32,0.64,,,,,,,,,
,,2019 - 2020,54,31,0.57,,,,,,,,,
,30. Solapur,2001 - 2002,300,100,0.33,,,,,,,,,
,,2002 - 2003,200,100,0.5,,,,,,,,,
,,2012 - 2013,"1,000.00",200,0.2,,,,,,,,,
,,2016 - 2017,300,40,0.13,,,,,,,,,
,,2017 - 2018,100,20,0.2,,,,,,,,,
,,2018 - 2019,10,2,0.2,,,,,,,,,
,,2019 - 2020,393,71,0.18,,,,,,,,,
,31. Thane,2000 - 2001,200,100,0.5,,,,,,,,,
,,2001 - 2002,200,100,0.5,,,,,,,,,
,,2002 - 2003,200,100,0.5,,,,,,,,,
,,2003 - 2004,300,100,0.33,,,,,,,,,
,,2004 - 2005,200,100,0.5,,,,,,,,,
,,2005 - 2006,200,100,0.5,,,,,,,,,
,,2006 - 2007,200,100,0.5,,,,,,,,,
,,2007 - 2008,200,100,0.5,,,,,,,,,
,,2008 - 2009,200,100,0.5,,,,,,,,,
,,2009 - 2010,200,100,0.5,,,,,,,,,
