State,District,Year,Soyabean,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2016 - 2017,118,225,1.91,,,,,,,,,
,,2017 - 2018,5,8,1.6,,,,,,,,,
,,2018 - 2019,8,13,1.63,,,,,,,,,
,,2021 - 2022,1,2,2,3,5,1.67,,,,,,
,,2022 - 2023,3,5,1.67,,,,,,,,,
,9. Khammam,2010 - 2011,12,20,1.67,,,,,,,,,
,,2011 - 2012,16,26,1.63,,,,,,,,,
,,2013 - 2014,91,147,1.62,,,,,,,,,
,,2016 - 2017,21,24,1.14,,,,,,,,,
,,2017 - 2018,11,18,1.64,,,,,,,,,
,,2020 - 2021,2,3,1.5,,,,,,,,,
,,2021 - 2022,2,3,1.5,,,,,,,,,
,,2022 - 2023,5,8,1.6,5,6,1.2,,,,,,
,10. Komaram bheem asifabad,2016 - 2017,"19,119.00","25,906.00",1.35,,,,,,,,,
,,2017 - 2018,"3,624.00","4,896.00",1.35,,,,,,,,,
,,2018 - 2019,"1,201.00","1,403.00",1.17,,,,,,,,,
,,2019 - 2020,"1,544.00","1,839.00",1.19,,,,,,,,,
,,2020 - 2021,659,822,1.25,,,,,,,,,
,,2021 - 2022,"1,407.00","1,676.00",1.19,51,61,1.2,,,,,,
,,2022 - 2023,"3,906.00","4,754.00",1.22,17,22,1.29,,,,,,
,11. Mahabubabad,2016 - 2017,6,7,1.17,,,,,,,,,
,,2017 - 2018,30,49,1.63,,,,,,,,,
,,2018 - 2019,25,40,1.6,,,,,,,,,
,,2019 - 2020,6,11,1.83,,,,,,,,,
,,2020 - 2021,3,5,1.67,,,,,,,,,
,12. Mahbubnagar,2005 - 2006,3,6,2,,,,,,,,,
,,2010 - 2011,12,20,1.67,,,,,,,,,
,,2011 - 2012,2,3,1.5,,,,,,,,,
,,2014 - 2015,4,4,1,,,,,,,,,
,,2016 - 2017,44,51,1.16,,,,,,,,,
,,2017 - 2018,24,39,1.63,,,,,,,,,
,,2019 - 2020,2,4,2,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,,2021 - 2022,5,9,1.8,,,,,,,,,
,13. Mancherial,2016 - 2017,606,821,1.35,,,,,,,,,
,,2017 - 2018,236,383,1.62,,,,,,,,,
,,2018 - 2019,63,100,1.59,,,,,,,,,
,,2019 - 2020,4,7,1.75,,,,,,,,,
,,2020 - 2021,6,9,1.5,,,,,,,,,
,,2021 - 2022,15,26,1.73,3,5,1.67,,,,,,
,,2022 - 2023,16,26,1.63,,,,,,,,,
,14. Medak,2003 - 2004,400,632,1.58,,,,,,,,,
,,2004 - 2005,"4,351.00","6,766.00",1.56,,,,,,,,,
,,2005 - 2006,"2,964.00","5,928.00",2,,,,,,,,,
,,2006 - 2007,990,788,0.8,,,,,,,,,
,,2008 - 2009,"1,270.00","1,580.00",1.24,,,,,,,,,
,,2009 - 2010,"4,366.00",947,0.22,,,,,,,,,
,,2010 - 2011,"3,810.00","3,791.00",1,,,,,,,,,
,,2011 - 2012,"6,244.00","7,237.00",1.16,,,,,,,,,
,,2013 - 2014,"15,597.00","21,758.00",1.4,,,,,,,,,
,,2014 - 2015,"21,550.00","22,261.00",1.03,,,,,,,,,
,,2015 - 2016,"26,007.00","24,811.00",0.95,,,,,,,,,
,,2016 - 2017,"2,562.00","2,721.00",1.06,,,,,,,,,
,,2017 - 2018,208,260,1.25,,,,,,,,,
,,2018 - 2019,16,23,1.44,,,,,,,,,
,,2019 - 2020,351,633,1.8,,,,,,,,,
,,2020 - 2021,355,534,1.5,,,,,,,,,
,,2021 - 2022,30,51,1.7,10,17,1.7,,,,,,
,,2022 - 2023,30,48,1.6,,,,,,,,,
,15. Medchal,2017 - 2018,2,3,1.5,,,,,,,,,
,,2019 - 2020,5,9,1.8,,,,,,,,,
,,2021 - 2022,2,3,1.5,,,,,,,,,
,16. Mulugu,2021 - 2022,,,,2,3,1.5,,,,,,
,17. Nagarkurnool,2016 - 2017,37,43,1.16,,,,,,,,,
,,2022 - 2023,5,8,1.6,,,,,,,,,
,18. Nalgonda,2004 - 2005,47,73,1.55,,,,,,,,,
,,2005 - 2006,4,8,2,,,,,,,,,
,,2013 - 2014,8,13,1.63,,,,,,,,,
,,2016 - 2017,117,136,1.16,,,,,,,,,
,,2020 - 2021,2,3,1.5,,,,,,,,,
,,2021 - 2022,21,36,1.71,,,,,,,,,
,19. Narayanapet,2021 - 2022,2,3,1.5,8,14,1.75,,,,,,
,20. Nirmal,2016 - 2017,"45,709.00","61,936.00",1.36,,,,,,,,,
,,2017 - 2018,"35,015.00","44,854.00",1.28,,,,,,,,,
,,2018 - 2019,"31,906.00","43,360.00",1.36,,,,,,,,,
,,2019 - 2020,"44,268.00","72,304.00",1.63,,,,,,,,,
,,2020 - 2021,"31,314.00","42,558.00",1.36,,,,,,,,,
,,2021 - 2022,"33,195.00","47,205.00",1.42,58,82,1.41,,,,,,
,,2022 - 2023,"46,987.00","85,939.00",1.83,44,56,1.27,,,,,,
,21. Nizamabad,2002 - 2003,287,0,0,,,,,,,,,
,,2003 - 2004,607,959,1.58,,,,,,,,,
,,2004 - 2005,"12,265.00","19,072.00",1.55,,,,,,,,,
,,2005 - 2006,"14,230.00","32,359.00",2.27,,,,,,,,,
,,2006 - 2007,"18,533.00","21,962.00",1.19,,,,,,,,,
,,2008 - 2009,"44,082.00","73,088.00",1.66,,,,,,,,,
,,2009 - 2010,"57,852.00","73,530.00",1.27,,,,,,,,,
,,2010 - 2011,"58,470.00","1,23,079.00",2.1,,,,,,,,,
,,2011 - 2012,"60,295.00","1,12,149.00",1.86,,,,,,,,,
,,2013 - 2014,"99,796.00","2,15,559.00",2.16,,,,,,,,,
,,2014 - 2015,"97,431.00","1,33,286.00",1.37,117,160,1.37,,,,,,
,,2015 - 2016,"1,09,589.00","1,16,931.00",1.07,367,392,1.07,,,,,,
,,2016 - 2017,"57,520.00","56,082.00",0.98,1,1,1,,,,,,
,,2017 - 2018,"40,516.00","74,387.00",1.84,,,,,,,,,
,,2018 - 2019,"33,306.00","60,983.00",1.83,,,,,,,,,
,,2019 - 2020,"27,186.00","57,573.00",2.12,,,,,,,,,
,,2020 - 2021,"30,373.00","59,673.00",1.96,,,,,,,,,
,,2021 - 2022,"23,624.00","53,416.00",2.26,302,683,2.26,,,,,,
,,2022 - 2023,"23,796.00","43,904.00",1.85,324,156,0.48,,,,,,
,22. Peddapalli,2016 - 2017,59,113,1.92,,,,,,,,,
,,2021 - 2022,4,7,1.75,3,5,1.67,,,,,,
,,2022 - 2023,5,8,1.6,1,1,1,,,,,,
,23. Rajanna,2016 - 2017,547,"1,043.00",1.91,,,,,,,,,
,,2017 - 2018,100,162,1.62,,,,,,,,,
,,2019 - 2020,5,9,1.8,,,,,,,,,
,,2020 - 2021,16,24,1.5,,,,,,,,,
,,2021 - 2022,,,,4,7,1.75,,,,,,
,,2022 - 2023,1,2,2,,,,,,,,,
,24. Rangareddi,2004 - 2005,58,90,1.55,,,,,,,,,
,,2005 - 2006,50,100,2,,,,,,,,,
,,2006 - 2007,46,70,1.52,,,,,,,,,
,,2008 - 2009,9,12,1.33,,,,,,,,,
,,2009 - 2010,6,5,0.83,,,,,,,,,
,,2010 - 2011,46,78,1.7,,,,,,,,,
,,2011 - 2012,30,48,1.6,,,,,,,,,
,,2013 - 2014,952,"1,533.00",1.61,6,10,1.67,,,,,,
,,2014 - 2015,647,699,1.08,,,,,,,,,
,,2015 - 2016,"1,326.00","1,375.00",1.04,,,,,,,,,
,,2016 - 2017,236,275,1.17,,,,,,,,,
,,2017 - 2018,19,31,1.63,,,,,,,,,
,,2018 - 2019,13,21,1.62,,,,,,,,,
,,2020 - 2021,20,32,1.6,,,,,,,,,
,,2021 - 2022,34,59,1.74,7,12,1.71,,,,,,
,,2022 - 2023,39,63,1.62,1,1,1,,,,,,
,25. Sangareddy,2016 - 2017,"36,776.00","39,056.00",1.06,,,,,,,,,
,,2017 - 2018,"15,913.00","23,933.00",1.5,,,,,,,,,
,,2018 - 2019,"16,178.00","22,811.00",1.41,,,,,,,,,
,,2019 - 2020,"23,493.00","34,250.00",1.46,,,,,,,,,
,,2020 - 2021,"29,475.00","39,549.00",1.34,,,,,,,,,
,,2021 - 2022,"22,853.00","33,594.00",1.47,186,273,1.47,,,,,,
,,2022 - 2023,"33,004.00","50,496.00",1.53,188,307,1.63,,,,,,
,26. Siddipet,2016 - 2017,691,734,1.06,,,,,,,,,
,,2017 - 2018,162,263,1.62,,,,,,,,,
,,2018 - 2019,46,73,1.59,,,,,,,,,
,,2019 - 2020,13,23,1.77,,,,,,,,,
,,2020 - 2021,32,50,1.56,,,,,,,,,
,,2021 - 2022,11,19,1.73,10,17,1.7,,,,,,
,,2022 - 2023,13,21,1.62,2,3,1.5,,,,,,
,27. Vikarabad,2016 - 2017,"3,224.00","3,759.00",1.17,,,,,,,,,
,,2017 - 2018,"1,162.00","1,887.00",1.62,,,,,,,,,
,,2018 - 2019,584,998,1.71,,,,,,,,,
,,2019 - 2020,835,"1,857.00",2.22,,,,,,,,,
,,2020 - 2021,835,"1,225.00",1.47,,,,,,,,,
,,2021 - 2022,560,781,1.39,9,13,1.44,,,,,,
,,2022 - 2023,"1,326.00","1,600.00",1.21,21,27,1.29,,,,,,
,28. Wanaparthy,2016 - 2017,7,8,1.14,,,,,,,,,
,,2021 - 2022,22,38,1.73,6,10,1.67,,,,,,
,,2022 - 2023,67,108,1.61,4,5,1.25,,,,,,
,29. Warangal,2004 - 2005,46,72,1.57,,,,,,,,,
,,2008 - 2009,30,41,1.37,,,,,,,,,
,,2009 - 2010,4,3,0.75,,,,,,,,,
,,2010 - 2011,8,14,1.75,,,,,,,,,
,,2013 - 2014,142,229,1.61,8,13,1.63,,,,,,
,,2014 - 2015,445,481,1.08,5,5,1,,,,,,
,,2015 - 2016,185,192,1.04,27,28,1.04,,,,,,
,,2016 - 2017,216,252,1.17,,,,,,,,,
,,2017 - 2018,22,36,1.64,,,,,,,,,
,,2018 - 2019,31,49,1.58,,,,,,,,,
,,2019 - 2020,40,72,1.8,,,,,,,,,
,,2020 - 2021,70,107,1.53,,,,,,,,,
,,2021 - 2022,51,88,1.73,2,3,1.5,,,,,,
,,2022 - 2023,30,48,1.6,1,1,1,,,,,,
,30. Warangal urban,2016 - 2017,77,90,1.17,,,,,,,,,
,,2017 - 2018,1,2,2,,,,,,,,,
,,2018 - 2019,20,32,1.6,,,,,,,,,
,,2019 - 2020,18,32,1.78,,,,,,,,,
,,2020 - 2021,15,22,1.47,,,,,,,,,
,,2021 - 2022,85,147,1.73,16,28,1.75,,,,,,
,,2022 - 2023,85,137,1.61,2,3,1.5,,,,,,
,31. Yadadri,2016 - 2017,139,162,1.17,,,,,,,,,
,,2017 - 2018,7,11,1.57,,,,,,,,,
,,2020 - 2021,3,4,1.33,,,,,,,,,
,,2021 - 2022,,,,2,3,1.5,,,,,,
,,2022 - 2023,1,2,2,,,,,,,,,
21. Tripura,1. Dhalai,2015 - 2016,75,65,0.87,,,,,,,,,
,,2016 - 2017,,,,45,40,0.89,,,,,,
,,2017 - 2018,56,40,0.71,49,39,0.8,,,,,,
,,2019 - 2020,2,1.44,0.72,30,23,0.77,,,,,,
,2. Gomati,2015 - 2016,22,19,0.86,,,,,,,,,
,,2016 - 2017,,,,58,52,0.9,,,,,,
,,2017 - 2018,20,13,0.65,49,37,0.76,,,,,,
,,2018 - 2019,3,2.25,0.75,5,4.25,0.85,,,,,,
,,2019 - 2020,,,,16,13,0.81,,,,,,
,3. Khowai,2015 - 2016,35,31,0.89,,,,,,,,,
,,2016 - 2017,,,,27,22,0.81,,,,,,
,,2017 - 2018,48,34,0.71,9,6,0.67,,,,,,
,,2018 - 2019,15,11.99,0.8,22,17,0.77,,,,,,
,,2019 - 2020,2,1.5,0.75,28,21,0.75,,,,,,
,4. North tripura,2015 - 2016,34,30,0.88,,,,,,,,,
,,2016 - 2017,,,,26,22,0.85,,,,,,
,,2017 - 2018,27,20,0.74,24,18,0.75,,,,,,
,,2018 - 2019,8,6.07,0.76,4,3.2,0.8,,,,,,
,,2019 - 2020,30,21.75,0.73,26,20,0.77,,,,,,
,5. Sepahijala,2015 - 2016,8,7,0.88,,,,,,,,,
,,2016 - 2017,,,,29,25,0.86,,,,,,
,,2017 - 2018,25,17,0.68,27,20,0.74,,,,,,
,,2018 - 2019,23,15.15,0.66,9,7.65,0.85,,,,,,
,,2019 - 2020,,,,31,25,0.81,,,,,,
,6. South tripura,2015 - 2016,35,31,0.89,,,,,,,,,
,,2016 - 2017,,,,22,18,0.82,,,,,,
,,2017 - 2018,10,5,0.5,21,15,0.71,,,,,,
,,2018 - 2019,2,1.55,0.78,,,,,,,,,
,,2019 - 2020,1,0.73,0.73,10,8,0.8,,,,,,
,7. Unakoti,2015 - 2016,40,34,0.85,,,,,,,,,
,,2016 - 2017,,,,15,12,0.8,,,,,,
,,2017 - 2018,20,14,0.7,12,9,0.75,,,,,,
,,2018 - 2019,5,3.99,0.8,5,4.1,0.82,,,,,,
,,2019 - 2020,,,,9,7,0.78,,,,,,
,8. West tripura,2015 - 2016,19,17,0.89,,,,,,,,,
,,2016 - 2017,,,,78,73,0.94,,,,,,
,,2017 - 2018,32,23,0.72,68,54,0.79,,,,,,
,,2019 - 2020,,,,29,22,0.76,,,,,,
22. Uttar Pradesh,1. Agra,2000 - 2001,1,1,1,,,,,,,,,
,2. Allahabad,2000 - 2001,26,15,0.58,,,,,,,,,
,,2001 - 2002,45,33,0.73,,,,,,,,,
,3. Auraiya,2000 - 2001,1,1,1,,,,,,,,,
,,2004 - 2005,1,1,1,,,,,,,,,
,,2009 - 2010,8,8,1,,,,,,,,,
,4. Azamgarh,2000 - 2001,1,1,1,,,,,,,,,
,,2012 - 2013,2,3,1.5,,,,,,,,,
,5. Bahraich,2000 - 2001,15,8,0.53,,,,,,,,,
,,2001 - 2002,11,8,0.73,,,,,,,,,
,,2002 - 2003,7,1,0.14,,,,,,,,,
,,2004 - 2005,56,23,0.41,,,,,,,,,
,,2006 - 2007,20,19,0.95,,,,,,,,,
,,2007 - 2008,72,48,0.67,,,,,,,,,
,,2010 - 2011,66,81,1.23,,,,,,,,,
,,2011 - 2012,53,66,1.25,,,,,,,,,
,,2012 - 2013,53,75,1.42,,,,,,,,,
,,2013 - 2014,51,29,0.57,,,,,,,,,
,,2014 - 2015,49,35,0.71,,,,,,,,,
,,2015 - 2016,4,1,0.25,,,,,,,,,
,,2016 - 2017,51,34,0.67,,,,,,,,,
,,2017 - 2018,51,40,0.78,,,,,,,,,
,,2018 - 2019,51,46,0.9,,,,,,,,,
,,2019 - 2020,51,26,0.51,,,,,,,,,
,,2020 - 2021,51,35,0.69,,,,,,,,,
,6. Banda,2000 - 2001,462,274,0.59,,,,,,,,,
,,2001 - 2002,143,103,0.72,,,,,,,,,
,,2002 - 2003,62,10,0.16,,,,,,,,,
,,2003 - 2004,45,48,1.07,,,,,,,,,
,,2004 - 2005,138,57,0.41,,,,,,,,,
,,2005 - 2006,29,23,0.79,,,,,,,,,
,,2006 - 2007,170,166,0.98,,,,,,,,,
,,2007 - 2008,199,133,0.67,,,,,,,,,
,,2008 - 2009,76,66,0.87,,,,,,,,,
,,2009 - 2010,105,111,1.06,,,,,,,,,
,,2010 - 2011,86,106,1.23,,,,,,,,,
,,2011 - 2012,146,183,1.25,,,,,,,,,
,,2012 - 2013,32,45,1.41,,,,,,,,,
,,2013 - 2014,258,148,0.57,,,,,,,,,
,,2014 - 2015,59,42,0.71,,,,,,,,,
,,2015 - 2016,31,6,0.19,,,,,,,,,
,,2016 - 2017,28,19,0.68,,,,,,,,,
,,2017 - 2018,22,17,0.77,,,,,,,,,
,,2018 - 2019,30,27,0.9,,,,,,,,,
,,2019 - 2020,28,14,0.5,,,,,,,,,
,,2020 - 2021,534,367,0.69,,,,,,,,,
,,2022 - 2023,48,26,0.54,,,,,,,,,
,7. Barabanki,2001 - 2002,7,5,0.71,,,,,,,,,
,,2014 - 2015,1,1,1,,,,,,,,,
,8. Bareilly,2003 - 2004,16,17,1.06,,,,,,,,,
,,2004 - 2005,22,9,0.41,,,,,,,,,
,,2005 - 2006,16,13,0.81,,,,,,,,,
,,2006 - 2007,18,17,0.94,,,,,,,,,
,,2007 - 2008,53,36,0.68,,,,,,,,,
,,2009 - 2010,88,93,1.06,,,,,,,,,
,,2011 - 2012,35,44,1.26,,,,,,,,,
,,2012 - 2013,25,35,1.4,,,,,,,,,
,,2015 - 2016,10,2,0.2,,,,,,,,,
,9. Bijnor,2001 - 2002,16,12,0.75,,,,,,,,,
,,2003 - 2004,3,3,1,,,,,,,,,
,,2004 - 2005,5,2,0.4,,,,,,,,,
,,2005 - 2006,5,4,0.8,,,,,,,,,
,,2006 - 2007,5,5,1,,,,,,,,,
,10. Budaun,2000 - 2001,8,5,0.63,,,,,,,,,
,,2002 - 2003,17,3,0.18,,,,,,,,,
,,2004 - 2005,16,7,0.44,,,,,,,,,
,,2006 - 2007,12,12,1,,,,,,,,,
,,2007 - 2008,7,5,0.71,,,,,,,,,
,11. Chitrakoot,2000 - 2001,25,15,0.6,,,,,,,,,
,,2001 - 2002,20,15,0.75,,,,,,,,,
,,2003 - 2004,5,6,1.2,,,,,,,,,
,,2004 - 2005,13,6,0.46,,,,,,,,,
,,2005 - 2006,3,2,0.67,,,,,,,,,
,,2006 - 2007,13,13,1,,,,,,,,,
,,2007 - 2008,7,5,0.71,,,,,,,,,
,,2009 - 2010,80,84,1.05,,,,,,,,,
,,2010 - 2011,10,12,1.2,,,,,,,,,
,,2011 - 2012,109,137,1.26,,,,,,,,,
,,2012 - 2013,67,95,1.42,,,,,,,,,
,,2013 - 2014,64,37,0.58,,,,,,,,,
,,2014 - 2015,63,45,0.71,,,,,,,,,
,,2016 - 2017,64,43,0.67,,,,,,,,,
,,2017 - 2018,64,50,0.78,,,,,,,,,
,,2018 - 2019,64,58,0.91,,,,,,,,,
,,2019 - 2020,59,30,0.51,,,,,,,,,
,,2020 - 2021,64,44,0.69,,,,,,,,,
,,2022 - 2023,4,2,0.5,,,,,,,,,
,12. Deoria,2001 - 2002,6,4,0.67,,,,,,,,,
,13. Etah,2003 - 2004,2,2,1,,,,,,,,,
,,2004 - 2005,1,1,1,,,,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,,,,
,,2006 - 2007,1,1,1,,,,,,,,,
,14. Fatehpur,2000 - 2001,2,1,0.5,,,,,,,,,
,,2004 - 2005,6,2,0.33,,,,,,,,,
,,2006 - 2007,6,6,1,,,,,,,,,
,,2010 - 2011,2,2,1,,,,,,,,,
,15. Gonda,2000 - 2001,5,3,0.6,,,,,,,,,
,16. Hamirpur,2000 - 2001,256,152,0.59,,,,,,,,,
,,2001 - 2002,154,111,0.72,,,,,,,,,
,,2002 - 2003,51,8,0.16,,,,,,,,,
,,2003 - 2004,59,63,1.07,,,,,,,,,
,,2004 - 2005,129,53,0.41,,,,,,,,,
,,2005 - 2006,13,10,0.77,,,,,,,,,
,,2006 - 2007,129,126,0.98,,,,,,,,,
,,2007 - 2008,16,11,0.69,,,,,,,,,
,,2008 - 2009,13,11,0.85,,,,,,,,,
,,2009 - 2010,9,9,1,,,,,,,,,
,,2010 - 2011,14,17,1.21,,,,,,,,,
,,2011 - 2012,13,16,1.23,,,,,,,,,
,,2012 - 2013,17,24,1.41,,,,,,,,,
,,2013 - 2014,100,58,0.58,,,,,,,,,
,,2014 - 2015,79,57,0.72,,,,,,,,,
,,2015 - 2016,18,3,0.17,,,,,,,,,
,,2016 - 2017,24,16,0.67,,,,,,,,,
,,2017 - 2018,24,19,0.79,,,,,,,,,
,,2018 - 2019,206,185,0.9,,,,,,,,,
,,2019 - 2020,21,11,0.52,,,,,,,,,
,,2020 - 2021,373,256,0.69,,,,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,,,,
,,2022 - 2023,6,3,0.5,,,,,,,,,
,17. Hardoi,2000 - 2001,16,9,0.56,,,,,,,,,
,,2001 - 2002,41,30,0.73,,,,,,,,,
,,2002 - 2003,22,4,0.18,,,,,,,,,
,,2003 - 2004,13,14,1.08,,,,,,,,,
,,2004 - 2005,13,5,0.38,,,,,,,,,
,,2006 - 2007,13,13,1,,,,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,
,,2017 - 2018,1,1,1,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,,,,
,18. Jalaun,2000 - 2001,"1,353.00",934,0.69,,,,,,,,,
,,2001 - 2002,885,642,0.73,,,,,,,,,
,,2002 - 2003,327,53,0.16,,,,,,,,,
,,2003 - 2004,537,576,1.07,,,,,,,,,
,,2004 - 2005,989,408,0.41,,,,,,,,,
,,2005 - 2006,348,273,0.78,,,,,,,,,
,,2006 - 2007,905,883,0.98,,,,,,,,,
,,2007 - 2008,716,480,0.67,,,,,,,,,
,,2008 - 2009,355,305,0.86,,,,,,,,,
,,2010 - 2011,21,26,1.24,,,,,,,,,
,,2011 - 2012,48,60,1.25,,,,,,,,,
,,2012 - 2013,35,49,1.4,,,,,,,,,
,,2013 - 2014,43,25,0.58,,,,,,,,,
,,2014 - 2015,25,18,0.72,,,,,,,,,
,,2015 - 2016,75,13,0.17,,,,,,,,,
,,2016 - 2017,43,27,0.63,,,,,,,,,
,,2017 - 2018,44,34,0.77,,,,,,,,,
,,2018 - 2019,175,153,0.87,,,,,,,,,
,,2019 - 2020,43,22,0.51,,,,,,,,,
,,2020 - 2021,77,52,0.68,,,,,,,,,
,,2021 - 2022,221,115,0.52,,,,,,,,,
,,2022 - 2023,43,23,0.53,,,,,,,,,
,19. Jaunpur,2002 - 2003,5,1,0.2,,,,,,,,,
,20. Jhansi,2000 - 2001,"4,667.00","2,329.00",0.5,,,,,,,,,
,,2001 - 2002,"1,418.00",930,0.66,,,,,,,,,
,,2002 - 2003,245,40,0.16,,,,,,,,,
,,2003 - 2004,405,434,1.07,,,,,,,,,
,,2004 - 2005,"1,499.00",619,0.41,,,,,,,,,
,,2005 - 2006,455,356,0.78,,,,,,,,,
,,2006 - 2007,602,588,0.98,,,,,,,,,
,,2007 - 2008,"1,368.00",916,0.67,,,,,,,,,
,,2008 - 2009,332,285,0.86,,,,,,,,,
,,2009 - 2010,191,202,1.06,,,,,,,,,
,,2010 - 2011,293,360,1.23,,,,,,,,,
,,2011 - 2012,"1,210.00","1,515.00",1.25,,,,,,,,,
,,2012 - 2013,"1,395.00","1,973.00",1.41,,,,,,,,,
,,2013 - 2014,"3,158.00","1,818.00",0.58,,,,,,,,,
,,2014 - 2015,"1,407.00","1,009.00",0.72,,,,,,,,,
,,2015 - 2016,"4,779.00",837,0.18,,,,,,,,,
,,2016 - 2017,581,376,0.65,,,,,,,,,
,,2017 - 2018,459,156,0.34,,,,,,,,,
,,2018 - 2019,623,545,0.87,,,,,,,,,
,,2019 - 2020,787,65,0.08,,,,,,,,,
,,2020 - 2021,"14,337.00","6,867.00",0.48,,,,,,,,,
,,2021 - 2022,"1,145.00","2,295.00",2,,,,,,,,,
,,2022 - 2023,"1,232.00","1,003.00",0.81,,,,,,,,,
,21. Kannauj,2000 - 2001,18,11,0.61,,,,,,,,,
,,2003 - 2004,1,1,1,,,,,,,,,
,22. Kanpur dehat,2003 - 2004,84,90,1.07,,,,,,,,,
,,2004 - 2005,122,50,0.41,,,,,,,,,
,,2005 - 2006,145,113,0.78,,,,,,,,,
,,2006 - 2007,113,110,0.97,,,,,,,,,
,,2007 - 2008,154,103,0.67,,,,,,,,,
,,2008 - 2009,81,70,0.86,,,,,,,,,
,,2010 - 2011,105,129,1.23,,,,,,,,,
,,2011 - 2012,157,197,1.25,,,,,,,,,
,,2012 - 2013,116,164,1.41,,,,,,,,,
,,2013 - 2014,96,55,0.57,,,,,,,,,
,,2014 - 2015,20,14,0.7,,,,,,,,,
,,2015 - 2016,10,2,0.2,,,,,,,,,
,,2016 - 2017,49,33,0.67,,,,,,,,,
,,2017 - 2018,49,38,0.78,,,,,,,,,
,,2018 - 2019,49,44,0.9,,,,,,,,,
,,2019 - 2020,49,25,0.51,,,,,,,,,
,,2020 - 2021,49,34,0.69,,,,,,,,,
,23. Kanpur nagar,2000 - 2001,261,152,0.58,,,,,,,,,
,,2001 - 2002,105,76,0.72,,,,,,,,,
,,2002 - 2003,36,6,0.17,,,,,,,,,
,,2003 - 2004,9,10,1.11,,,,,,,,,
,,2004 - 2005,7,3,0.43,,,,,,,,,
,,2005 - 2006,9,7,0.78,,,,,,,,,
,,2006 - 2007,7,7,1,,,,,,,,,
,,2007 - 2008,12,8,0.67,,,,,,,,,
,,2008 - 2009,3,2,0.67,,,,,,,,,
,,2009 - 2010,51,54,1.06,,,,,,,,,
,,2010 - 2011,3,4,1.33,,,,,,,,,
,,2015 - 2016,1,,0,,,,,,,,,
,24. Kheri,2004 - 2005,14,6,0.43,,,,,,,,,
,,2006 - 2007,15,14,0.93,,,,,,,,,
,,2007 - 2008,12,8,0.67,,,,,,,,,
,25. Lalitpur,2000 - 2001,"8,187.00","5,035.00",0.61,,,,,,,,,
,,2001 - 2002,"7,766.00","5,708.00",0.73,,,,,,,,,
,,2002 - 2003,"3,799.00",615,0.16,,,,,,,,,
,,2003 - 2004,"3,514.00","3,771.00",1.07,,,,,,,,,
,,2004 - 2005,"5,968.00","2,465.00",0.41,,,,,,,,,
,,2005 - 2006,"2,613.00","2,046.00",0.78,,,,,,,,,
,,2006 - 2007,"5,297.00","5,170.00",0.98,,,,,,,,,
,,2007 - 2008,"2,174.00","1,457.00",0.67,,,,,,,,,
,,2008 - 2009,"9,645.00","8,285.00",0.86,,,,,,,,,
,,2009 - 2010,"6,346.00","6,695.00",1.05,,,,,,,,,
,,2010 - 2011,"9,972.00","12,286.00",1.23,,,,,,,,,
,,2011 - 2012,"14,406.00","18,036.00",1.25,,,,,,,,,
,,2012 - 2013,"10,911.00","15,428.00",1.41,,,,,,,,,
,,2013 - 2014,"19,166.00","11,040.00",0.58,,,,,,,,,
,,2014 - 2015,"50,181.00","35,980.00",0.72,,,,,,,,,
,,2015 - 2016,"29,899.00","5,232.00",0.17,,,,,,,,,
,,2016 - 2017,"8,744.00","5,902.00",0.67,,,,,,,,,
,,2017 - 2018,"12,988.00","10,299.00",0.79,,,,,,,,,
,,2018 - 2019,"20,460.00","18,455.00",0.9,,,,,,,,,
,,2019 - 2020,"19,166.00","10,177.00",0.53,,,,,,,,,
,,2020 - 2021,"39,400.00","29,708.00",0.75,,,,,,,,,
,,2021 - 2022,"16,826.00","7,067.00",0.42,,,,,,,,,
,,2022 - 2023,"19,194.00","10,134.00",0.53,,,,,,,,,
,26. Lucknow,2003 - 2004,2,2,1,,,,,,,,,
,,2004 - 2005,2,1,0.5,,,,,,,,,
,27. Maharajganj,2014 - 2015,6,4,0.67,,,,,,,,,
,28. Mahoba,2000 - 2001,413,245,0.59,,,,,,,,,
,,2001 - 2002,207,150,0.72,,,,,,,,,
,,2002 - 2003,74,12,0.16,,,,,,,,,
,,2003 - 2004,68,73,1.07,,,,,,,,,
,,2004 - 2005,175,72,0.41,,,,,,,,,
,,2005 - 2006,11,9,0.82,,,,,,,,,
,,2006 - 2007,66,64,0.97,,,,,,,,,
,,2008 - 2009,28,24,0.86,,,,,,,,,
,,2009 - 2010,138,146,1.06,,,,,,,,,
,,2010 - 2011,124,153,1.23,,,,,,,,,
