State,District,Year,Coriander,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2002 - 2003,8,1,0.13,,,,,,
,,2003 - 2004,9,11,1.22,,,,,,
,,2004 - 2005,783,897,1.15,,,,,,
,,2005 - 2006,3,3,1,,,,,,
,,2006 - 2007,2,2,1,,,,,,
,,2007 - 2008,25,20,0.8,,,,,,
,,2008 - 2009,1,1,1,,,,,,
,,2009 - 2010,1,2,2,,,,,,
,,2010 - 2011,9,10,1.11,,,,,,
,,2011 - 2012,15,19,1.27,,,,,,
,,2012 - 2013,1,1,1,,,,,,
,,2013 - 2014,1,1,1,,,,,,
,,2014 - 2015,2,1,0.5,,,,,,
,,2015 - 2016,21,22,1.05,,,,,,
,,2016 - 2017,6,7,1.17,,,,,,
,,2017 - 2018,9,12,1.33,,,,,,
,,2018 - 2019,5,7,1.4,,,,,,
,,2019 - 2020,1,2,2,,,,,,
,,2021 - 2022,16,24,1.5,,,,,,
,19. Jalore,2000 - 2001,1,1,1,,,,,,
,,2001 - 2002,13,8,0.62,,,,,,
,,2003 - 2004,11,14,1.27,,,,,,
,,2004 - 2005,1,1,1,,,,,,
,,2005 - 2006,1,1,1,,,,,,
,,2006 - 2007,7,8,1.14,,,,,,
,,2007 - 2008,7,5,0.71,,,,,,
,,2009 - 2010,2,2,1,,,,,,
,,2010 - 2011,7,8,1.14,,,,,,
,,2011 - 2012,1,1,1,,,,,,
,,2012 - 2013,1,1,1,,,,,,
,,2013 - 2014,4,3,0.75,,,,,,
,,2014 - 2015,1,1,1,,,,,,
,,2015 - 2016,7,7,1,,,,,,
,,2016 - 2017,7,8,1.14,,,,,,
,,2017 - 2018,63,84,1.33,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2019 - 2020,6,9,1.5,,,,,,
,,2020 - 2021,17,25,1.47,,,,,,
,,2021 - 2022,4,6,1.5,,,,,,
,,2022 - 2023,5,7,1.4,,,,,,
,20. Jhalawar,2000 - 2001,"46,980.00","39,308.00",0.84,,,,,,
,,2001 - 2002,"69,383.00","51,550.00",0.74,,,,,,
,,2002 - 2003,"28,477.00","28,231.00",0.99,,,,,,
,,2003 - 2004,"88,563.00","95,648.00",1.08,,,,,,
,,2004 - 2005,"66,149.00","65,157.00",0.99,,,,,,
,,2005 - 2006,"44,390.00","37,377.00",0.84,,,,,,
,,2006 - 2007,"61,963.00","68,159.00",1.1,,,,,,
,,2007 - 2008,"85,762.00","38,593.00",0.45,,,,,,
,,2008 - 2009,"96,940.00","92,187.00",0.95,,,,,,
,,2009 - 2010,"97,940.00","1,07,542.00",1.1,,,,,,
,,2010 - 2011,"85,795.00","69,683.00",0.81,,,,,,
,,2011 - 2012,"1,17,368.00","1,23,037.00",1.05,,,,,,
,,2012 - 2013,"72,186.00","66,872.00",0.93,,,,,,
,,2013 - 2014,"76,130.00","50,602.00",0.66,,,,,,
,,2014 - 2015,"1,06,697.00","92,010.00",0.86,,,,,,
,,2015 - 2016,"98,356.00","89,650.00",0.91,,,,,,
,,2016 - 2017,"91,636.00","80,099.00",0.87,,,,,,
,,2017 - 2018,"53,809.00","66,250.00",1.23,,,,,,
,,2018 - 2019,"43,828.00","46,289.00",1.06,,,,,,
,,2019 - 2020,"35,757.00","46,788.00",1.31,,,,,,
,,2020 - 2021,"49,338.00","65,654.00",1.33,,,,,,
,,2021 - 2022,"27,609.00","36,655.00",1.33,,,,,,
,,2022 - 2023,"54,230.00","66,234.00",1.22,,,,,,
,21. Jhunjhunu,2000 - 2001,6,3,0.5,,,,,,
,,2001 - 2002,2,1,0.5,,,,,,
,,2002 - 2003,2,1,0.5,,,,,,
,,2004 - 2005,2,2,1,,,,,,
,,2005 - 2006,6,6,1,,,,,,
,,2006 - 2007,7,8,1.14,,,,,,
,,2007 - 2008,6,5,0.83,,,,,,
,,2008 - 2009,9,10,1.11,,,,,,
,,2009 - 2010,4,5,1.25,,,,,,
,,2010 - 2011,4,4,1,,,,,,
,,2011 - 2012,3,4,1.33,,,,,,
,,2012 - 2013,2,2,1,,,,,,
,,2013 - 2014,46,29,0.63,,,,,,
,,2014 - 2015,3,2,0.67,,,,,,
,,2016 - 2017,1,1,1,,,,,,
,,2017 - 2018,2,3,1.5,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2019 - 2020,1,2,2,,,,,,
,,2020 - 2021,7,10,1.43,,,,,,
,,2021 - 2022,13,19,1.46,,,,,,
,,2022 - 2023,18,25,1.39,,,,,,
,22. Jodhpur,2000 - 2001,49,29,0.59,,,,,,
,,2001 - 2002,117,70,0.6,,,,,,
,,2002 - 2003,920,552,0.6,,,,,,
,,2003 - 2004,263,327,1.24,,,,,,
,,2004 - 2005,143,164,1.15,,,,,,
,,2005 - 2006,145,152,1.05,,,,,,
,,2006 - 2007,182,216,1.19,,,,,,
,,2007 - 2008,274,214,0.78,,,,,,
,,2008 - 2009,260,290,1.12,,,,,,
,,2009 - 2010,343,331,0.97,,,,,,
,,2010 - 2011,214,237,1.11,,,,,,
,,2011 - 2012,174,214,1.23,,,,,,
,,2012 - 2013,229,269,1.17,,,,,,
,,2013 - 2014,204,131,0.64,,,,,,
,,2014 - 2015,431,344,0.8,,,,,,
,,2015 - 2016,949,"1,014.00",1.07,,,,,,
,,2016 - 2017,834,950,1.14,,,,,,
,,2017 - 2018,746,993,1.33,,,,,,
,,2018 - 2019,410,532,1.3,,,,,,
,,2019 - 2020,849,"1,263.00",1.49,,,,,,
,,2020 - 2021,"1,072.00","1,598.00",1.49,,,,,,
,,2021 - 2022,448,662,1.48,,,,,,
,,2022 - 2023,842,"1,153.00",1.37,,,,,,
,23. Karauli,2000 - 2001,35,8,0.23,,,,,,
,,2001 - 2002,45,1,0.02,,,,,,
,,2002 - 2003,19,10,0.53,,,,,,
,,2003 - 2004,61,76,1.25,,,,,,
,,2004 - 2005,6,7,1.17,,,,,,
,,2005 - 2006,2,2,1,,,,,,
,,2006 - 2007,5,6,1.2,,,,,,
,,2007 - 2008,1,1,1,,,,,,
,,2008 - 2009,30,34,1.13,,,,,,
,,2009 - 2010,16,19,1.19,,,,,,
,,2010 - 2011,50,55,1.1,,,,,,
,,2011 - 2012,23,28,1.22,,,,,,
,,2012 - 2013,3,4,1.33,,,,,,
,,2013 - 2014,4,3,0.75,,,,,,
,,2014 - 2015,4,3,0.75,,,,,,
,,2015 - 2016,5,5,1,,,,,,
,,2016 - 2017,10,11,1.1,,,,,,
,,2017 - 2018,1,1,1,,,,,,
,,2018 - 2019,3,4,1.33,,,,,,
,,2020 - 2021,3,4,1.33,,,,,,
,,2021 - 2022,1,2,2,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,24. Kota,2000 - 2001,"31,091.00","35,490.00",1.14,,,,,,
,,2001 - 2002,"45,012.00","52,141.00",1.16,,,,,,
,,2002 - 2003,"30,819.00","36,340.00",1.18,,,,,,
,,2003 - 2004,"55,193.00","59,056.00",1.07,,,,,,
,,2004 - 2005,"32,218.00","42,173.00",1.31,,,,,,
,,2005 - 2006,"35,787.00","39,258.00",1.1,,,,,,
,,2006 - 2007,"22,314.00","28,093.00",1.26,,,,,,
,,2007 - 2008,"39,657.00","42,314.00",1.07,,,,,,
,,2008 - 2009,"49,135.00","63,055.00",1.28,,,,,,
,,2009 - 2010,"50,589.00","67,495.00",1.33,,,,,,
,,2010 - 2011,"45,452.00","57,307.00",1.26,,,,,,
,,2011 - 2012,"57,744.00","83,371.00",1.44,,,,,,
,,2012 - 2013,"36,704.00","50,367.00",1.37,,,,,,
,,2013 - 2014,"48,524.00","32,354.00",0.67,,,,,,
,,2014 - 2015,"67,954.00","42,023.00",0.62,,,,,,
,,2015 - 2016,"54,890.00","58,231.00",1.06,,,,,,
,,2016 - 2017,"39,687.00","52,281.00",1.32,,,,,,
,,2017 - 2018,"18,202.00","22,131.00",1.22,,,,,,
,,2018 - 2019,"10,169.00","18,869.00",1.86,,,,,,
,,2019 - 2020,"10,667.00","19,604.00",1.84,,,,,,
,,2020 - 2021,"26,723.00","44,140.00",1.65,,,,,,
,,2021 - 2022,"6,536.00","12,102.00",1.85,,,,,,
,,2022 - 2023,"20,902.00","34,689.00",1.66,,,,,,
,25. Nagaur,2000 - 2001,718,73,0.1,,,,,,
,,2001 - 2002,26,8,0.31,,,,,,
,,2002 - 2003,12,11,0.92,,,,,,
,,2003 - 2004,395,491,1.24,,,,,,
,,2004 - 2005,10,11,1.1,,,,,,
,,2005 - 2006,1,1,1,,,,,,
,,2006 - 2007,7,8,1.14,,,,,,
,,2007 - 2008,24,19,0.79,,,,,,
,,2008 - 2009,20,22,1.1,,,,,,
,,2009 - 2010,13,16,1.23,,,,,,
,,2010 - 2011,6,7,1.17,,,,,,
,,2011 - 2012,32,39,1.22,,,,,,
,,2012 - 2013,6,7,1.17,,,,,,
,,2013 - 2014,32,20,0.63,,,,,,
,,2014 - 2015,36,29,0.81,,,,,,
,,2015 - 2016,92,98,1.07,,,,,,
,,2016 - 2017,124,141,1.14,,,,,,
,,2017 - 2018,125,166,1.33,,,,,,
,,2018 - 2019,21,27,1.29,,,,,,
,,2019 - 2020,48,71,1.48,,,,,,
,,2020 - 2021,100,149,1.49,,,,,,
,,2021 - 2022,53,78,1.47,,,,,,
,,2022 - 2023,29,40,1.38,,,,,,
,26. Pali,2000 - 2001,24,12,0.5,,,,,,
,,2001 - 2002,21,19,0.9,,,,,,
,,2002 - 2003,1,1,1,,,,,,
,,2003 - 2004,16,20,1.25,,,,,,
,,2004 - 2005,3,3,1,,,,,,
,,2005 - 2006,4,4,1,,,,,,
,,2006 - 2007,1,1,1,,,,,,
,,2007 - 2008,6,5,0.83,,,,,,
,,2008 - 2009,23,26,1.13,,,,,,
,,2009 - 2010,10,12,1.2,,,,,,
,,2010 - 2011,54,60,1.11,,,,,,
,,2011 - 2012,171,210,1.23,,,,,,
,,2012 - 2013,7,8,1.14,,,,,,
,,2013 - 2014,4,3,0.75,,,,,,
,,2014 - 2015,16,13,0.81,,,,,,
,,2015 - 2016,52,56,1.08,,,,,,
,,2016 - 2017,62,71,1.15,,,,,,
,,2017 - 2018,47,63,1.34,,,,,,
,,2018 - 2019,6,8,1.33,,,,,,
,,2019 - 2020,7,10,1.43,,,,,,
,,2020 - 2021,30,45,1.5,,,,,,
,,2021 - 2022,3,4,1.33,,,,,,
,,2022 - 2023,37,51,1.38,,,,,,
,27. Pratapgarh,2008 - 2009,80,89,1.11,,,,,,
,,2009 - 2010,43,52,1.21,,,,,,
,,2010 - 2011,59,65,1.1,,,,,,
,,2011 - 2012,54,66,1.22,,,,,,
,,2012 - 2013,42,50,1.19,,,,,,
,,2013 - 2014,74,47,0.64,,,,,,
,,2014 - 2015,290,231,0.8,,,,,,
,,2015 - 2016,807,862,1.07,,,,,,
,,2016 - 2017,803,915,1.14,,,,,,
,,2017 - 2018,817,"1,088.00",1.33,,,,,,
,,2018 - 2019,882,"1,145.00",1.3,,,,,,
,,2019 - 2020,424,631,1.49,,,,,,
,,2020 - 2021,621,740,1.19,,,,,,
,,2021 - 2022,630,873,1.39,,,,,,
,,2022 - 2023,"1,273.00","1,568.00",1.23,,,,,,
,28. Rajsamand,2000 - 2001,31,7,0.23,,,,,,
,,2001 - 2002,46,16,0.35,,,,,,
,,2002 - 2003,43,1,0.02,,,,,,
,,2003 - 2004,11,14,1.27,,,,,,
,,2004 - 2005,34,39,1.15,,,,,,
,,2005 - 2006,46,48,1.04,,,,,,
,,2006 - 2007,59,70,1.19,,,,,,
,,2007 - 2008,24,19,0.79,,,,,,
,,2008 - 2009,25,28,1.12,,,,,,
,,2009 - 2010,19,10,0.53,,,,,,
,,2010 - 2011,31,34,1.1,,,,,,
,,2011 - 2012,35,43,1.23,,,,,,
,,2012 - 2013,39,46,1.18,,,,,,
,,2013 - 2014,49,31,0.63,,,,,,
,,2014 - 2015,50,40,0.8,,,,,,
,,2015 - 2016,17,18,1.06,,,,,,
,,2016 - 2017,20,23,1.15,,,,,,
,,2017 - 2018,11,15,1.36,,,,,,
,,2018 - 2019,25,,0,,,,,,
,,2019 - 2020,15,2,0.13,,,,,,
,,2020 - 2021,32,48,1.5,,,,,,
,,2021 - 2022,4,3,0.75,,,,,,
,,2022 - 2023,15,20,1.33,,,,,,
,29. Sawai madhopur,2000 - 2001,44,14,0.32,,,,,,
,,2001 - 2002,203,82,0.4,,,,,,
,,2002 - 2003,32,16,0.5,,,,,,
,,2003 - 2004,281,349,1.24,,,,,,
,,2004 - 2005,58,67,1.16,,,,,,
,,2005 - 2006,65,68,1.05,,,,,,
,,2006 - 2007,24,28,1.17,,,,,,
,,2007 - 2008,121,94,0.78,,,,,,
,,2008 - 2009,115,128,1.11,,,,,,
,,2009 - 2010,109,130,1.19,,,,,,
,,2010 - 2011,268,297,1.11,,,,,,
,,2011 - 2012,362,445,1.23,,,,,,
,,2012 - 2013,234,275,1.18,,,,,,
,,2013 - 2014,288,185,0.64,,,,,,
,,2014 - 2015,"1,007.00",803,0.8,,,,,,
,,2015 - 2016,"1,855.00","1,981.00",1.07,,,,,,
,,2016 - 2017,"1,517.00","2,040.00",1.34,,,,,,
,,2017 - 2018,251,277,1.1,,,,,,
,,2018 - 2019,161,267,1.66,,,,,,
,,2019 - 2020,157,234,1.49,,,,,,
,,2020 - 2021,786,"1,172.00",1.49,,,,,,
,,2021 - 2022,5,7,1.4,,,,,,
,,2022 - 2023,31,42,1.35,,,,,,
,30. Sikar,2000 - 2001,40,20,0.5,,,,,,
,,2001 - 2002,100,50,0.5,,,,,,
,,2002 - 2003,111,55,0.5,,,,,,
,,2003 - 2004,174,216,1.24,,,,,,
,,2004 - 2005,82,94,1.15,,,,,,
,,2005 - 2006,25,26,1.04,,,,,,
,,2006 - 2007,13,15,1.15,,,,,,
,,2007 - 2008,24,19,0.79,,,,,,
,,2008 - 2009,37,41,1.11,,,,,,
,,2009 - 2010,31,37,1.19,,,,,,
,,2010 - 2011,18,20,1.11,,,,,,
,,2011 - 2012,22,27,1.23,,,,,,
,,2012 - 2013,10,12,1.2,,,,,,
,,2013 - 2014,14,9,0.64,,,,,,
,,2014 - 2015,2,1,0.5,,,,,,
,,2015 - 2016,114,122,1.07,,,,,,
,,2017 - 2018,30,40,1.33,,,,,,
,,2019 - 2020,17,25,1.47,,,,,,
,,2020 - 2021,42,63,1.5,,,,,,
,,2021 - 2022,25,37,1.48,,,,,,
,,2022 - 2023,2,3,1.5,,,,,,
,31. Sirohi,2000 - 2001,2,1,0.5,,,,,,
,,2001 - 2002,9,4,0.44,,,,,,
,,2002 - 2003,3,2,0.67,,,,,,
,,2003 - 2004,12,15,1.25,,,,,,
,,2004 - 2005,2,2,1,,,,,,
,,2005 - 2006,4,4,1,,,,,,
,,2006 - 2007,7,8,1.14,,,,,,
,,2007 - 2008,1,1,1,,,,,,
,,2008 - 2009,4,5,1.25,,,,,,
,,2009 - 2010,1,1,1,,,,,,
,,2010 - 2011,3,3,1,,,,,,
,,2011 - 2012,3,4,1.33,,,,,,
,,2012 - 2013,4,5,1.25,,,,,,
,,2013 - 2014,3,2,0.67,,,,,,
,,2014 - 2015,4,3,0.75,,,,,,
,,2015 - 2016,2,2,1,,,,,,
,,2016 - 2017,13,15,1.15,,,,,,
,,2017 - 2018,2,3,1.5,,,,,,
,,2018 - 2019,4,5,1.25,,,,,,
,,2019 - 2020,15,22,1.47,,,,,,
,,2020 - 2021,4,6,1.5,,,,,,
,,2021 - 2022,11,16,1.45,,,,,,
,,2022 - 2023,4,5,1.25,,,,,,
,32. Tonk,2000 - 2001,183,60,0.33,,,,,,
,,2001 - 2002,314,115,0.37,,,,,,
,,2002 - 2003,41,16,0.39,,,,,,
,,2003 - 2004,248,308,1.24,,,,,,
,,2004 - 2005,69,79,1.14,,,,,,
,,2005 - 2006,28,29,1.04,,,,,,
,,2006 - 2007,8,9,1.13,,,,,,
,,2007 - 2008,34,26,0.76,,,,,,
,,2008 - 2009,32,36,1.13,,,,,,
,,2009 - 2010,13,16,1.23,,,,,,
,,2010 - 2011,335,371,1.11,,,,,,
,,2011 - 2012,288,354,1.23,,,,,,
,,2012 - 2013,31,37,1.19,,,,,,
,,2013 - 2014,10,6,0.6,,,,,,
,,2014 - 2015,13,10,0.77,,,,,,
,,2015 - 2016,58,62,1.07,,,,,,
,,2016 - 2017,125,142,1.14,,,,,,
,,2017 - 2018,203,270,1.33,,,,,,
,,2018 - 2019,13,17,1.31,,,,,,
,,2019 - 2020,51,76,1.49,,,,,,
,,2020 - 2021,35,52,1.49,,,,,,
,,2021 - 2022,4,6,1.5,,,,,,
,,2022 - 2023,3,4,1.33,,,,,,
,33. Udaipur,2000 - 2001,63,22,0.35,,,,,,
,,2001 - 2002,42,20,0.48,,,,,,
,,2002 - 2003,18,7,0.39,,,,,,
,,2003 - 2004,47,59,1.26,,,,,,
,,2004 - 2005,92,105,1.14,,,,,,
,,2005 - 2006,42,44,1.05,,,,,,
,,2006 - 2007,35,41,1.17,,,,,,
,,2007 - 2008,73,57,0.78,,,,,,
,,2008 - 2009,65,73,1.12,,,,,,
,,2009 - 2010,3,4,1.33,,,,,,
,,2010 - 2011,43,48,1.12,,,,,,
,,2011 - 2012,33,41,1.24,,,,,,
,,2012 - 2013,29,34,1.17,,,,,,
,,2013 - 2014,18,11,0.61,,,,,,
,,2014 - 2015,26,21,0.81,,,,,,
,,2015 - 2016,11,12,1.09,,,,,,
,,2016 - 2017,12,14,1.17,,,,,,
,,2017 - 2018,7,9,1.29,,,,,,
,,2018 - 2019,7,9,1.29,,,,,,
,,2019 - 2020,9,9,1,,,,,,
,,2020 - 2021,5,7,1.4,,,,,,
,,2021 - 2022,16,22,1.38,,,,,,
,,2022 - 2023,27,37,1.37,,,,,,
13. Tamil Nadu,1. Ariyalur,2008 - 2009,460,,0,,,,,,
,,2009 - 2010,338,134,0.4,,,,,,
,,2011 - 2012,75,35,0.47,,,,,,
,,2013 - 2014,14,5,0.36,,,,,,
,,2014 - 2015,31,27,0.87,,,,,,
,,2015 - 2016,28,17,0.61,,,,,,
,,2016 - 2017,35,6,0.17,,,,,,
,,2017 - 2018,12,6,0.5,,,,,,
,,2018 - 2019,13,5,0.38,,,,,,
,,2019 - 2020,3,2,0.67,,,,,,
,,2020 - 2021,14,2,0.14,,,,,,
,,2021 - 2022,24,8,0.33,,,,,,
,,2022 - 2023,9,4,0.44,,,,,,
,2. Chengalpattu,2022 - 2023,3,1,0.33,,,,,,
,3. Coimbatore,2000 - 2001,294,53,0.18,,,,,,
,,2002 - 2003,680,323,0.48,,,,,,
,,2003 - 2004,"1,747.00",911,0.52,,,,,,
,,2004 - 2005,"1,827.00","1,329.00",0.73,,,,,,
,,2005 - 2006,"2,086.00",649,0.31,,,,,,
,,2006 - 2007,"1,006.00",453,0.45,,,,,,
,,2007 - 2008,"1,022.00",567,0.55,,,,,,
,,2008 - 2009,194,250,1.29,,,,,,
,,2009 - 2010,357,129,0.36,,,,,,
,,2011 - 2012,173,81,0.47,,,,,,
,,2013 - 2014,138,48,0.35,,,,,,
,,2014 - 2015,266,234,0.88,,,,,,
,,2015 - 2016,330,138,0.42,,,,,,
,,2016 - 2017,409,188,0.46,,,,,,
,,2017 - 2018,339,119,0.35,,,,,,
,,2018 - 2019,277,107,0.39,,,,,,
,,2019 - 2020,228,98,0.43,,,,,,
,,2020 - 2021,143,37,0.26,,,,,,
,,2021 - 2022,67,12,0.18,,,,,,
,,2022 - 2023,74,29,0.39,,,,,,
,4. Cuddalore,2000 - 2001,"3,272.00",321,0.1,,,,,,
,,2002 - 2003,"4,182.00",769,0.18,,,,,,
,,2003 - 2004,"5,996.00","2,421.00",0.4,,,,,,
,,2004 - 2005,"3,430.00","1,162.00",0.34,,,,,,
,,2005 - 2006,"1,783.00",419,0.23,,,,,,
,,2006 - 2007,782,317,0.41,,,,,,
,,2007 - 2008,571,231,0.4,,,,,,
,,2008 - 2009,597,206,0.35,,,,,,
,,2009 - 2010,985,389,0.39,,,,,,
,,2011 - 2012,96,34,0.35,,,,,,
,,2013 - 2014,34,12,0.35,,,,,,
,,2014 - 2015,22,19,0.86,,,,,,
,,2015 - 2016,30,18,0.6,,,,,,
,,2016 - 2017,3,,0,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2022 - 2023,6,2,0.33,,,,,,
,5. Dharmapuri,2000 - 2001,"1,466.00",493,0.34,,,,,,
,,2002 - 2003,808,150,0.19,,,,,,
,,2003 - 2004,365,106,0.29,,,,,,
,,2004 - 2005,539,234,0.43,,,,,,
,,2005 - 2006,338,103,0.3,,,,,,
,,2006 - 2007,329,107,0.33,,,,,,
,,2007 - 2008,257,99,0.39,,,,,,
,,2008 - 2009,344,117,0.34,,,,,,
,,2009 - 2010,48,19,0.4,,,,,,
,,2011 - 2012,205,96,0.47,,,,,,
,,2013 - 2014,10,3,0.3,,,,,,
,,2014 - 2015,96,85,0.89,,,,,,
,,2015 - 2016,87,52,0.6,,,,,,
,,2016 - 2017,162,26,0.16,,,,,,
,,2017 - 2018,47,24,0.51,,,,,,
,,2018 - 2019,169,66,0.39,,,,,,
,,2019 - 2020,228,113,0.5,,,,,,
,,2020 - 2021,414,238,0.57,,,,,,
,,2021 - 2022,184,100,0.54,,,,,,
,,2022 - 2023,186,92,0.49,,,,,,
,6. Dindigul,2000 - 2001,319,74,0.23,,,,,,
,,2002 - 2003,175,33,0.19,,,,,,
,,2003 - 2004,197,57,0.29,,,,,,
,,2004 - 2005,134,58,0.43,,,,,,
,,2005 - 2006,105,32,0.3,,,,,,
,,2006 - 2007,48,16,0.33,,,,,,
,,2007 - 2008,34,13,0.38,,,,,,
,,2008 - 2009,59,20,0.34,,,,,,
,,2009 - 2010,155,61,0.39,,,,,,
,,2011 - 2012,65,30,0.46,,,,,,
,,2013 - 2014,9,3,0.33,,,,,,
,,2014 - 2015,52,46,0.88,,,,,,
,,2015 - 2016,20,12,0.6,,,,,,
,,2016 - 2017,19,3,0.16,,,,,,
,,2017 - 2018,8,4,0.5,,,,,,
,,2018 - 2019,7,3,0.43,,,,,,
,,2019 - 2020,29,15,0.52,,,,,,
,,2020 - 2021,9,2,0.22,,,,,,
,,2021 - 2022,6,2,0.33,,,,,,
,,2022 - 2023,37,15,0.41,,,,,,
,7. Erode,2003 - 2004,4,1,0.25,,,,,,
,,2004 - 2005,4,2,0.5,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,
,,2006 - 2007,2,1,0.5,,,,,,
,,2007 - 2008,1,,0,,,,,,
,,2009 - 2010,1,,0,,,,,,
,,2013 - 2014,3,1,0.33,,,,,,
,,2014 - 2015,1,1,1,,,,,,
,,2017 - 2018,3,2,0.67,,,,,,
,,2019 - 2020,7,3,0.43,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,
,8. Kallakurichi,2021 - 2022,2,1,0.5,,,,,,
,9. Kanchipuram,2000 - 2001,10,2,0.2,,,,,,
,,2003 - 2004,11,3,0.27,,,,,,
,,2004 - 2005,5,2,0.4,,,,,,
,,2005 - 2006,3,1,0.33,,,,,,
,,2006 - 2007,9,3,0.33,,,,,,
,,2007 - 2008,4,2,0.5,,,,,,
,,2014 - 2015,1,1,1,,,,,,
,10. Karur,2002 - 2003,7,1,0.14,,,,,,
,,2003 - 2004,11,3,0.27,,,,,,
,,2004 - 2005,6,3,0.5,,,,,,
,,2005 - 2006,3,1,0.33,,,,,,
,,2006 - 2007,2,1,0.5,,,,,,
,,2007 - 2008,1,,0,,,,,,
,,2008 - 2009,4,1,0.25,,,,,,
,,2009 - 2010,9,4,0.44,,,,,,
,,2011 - 2012,9,4,0.44,,,,,,
,,2013 - 2014,4,1,0.25,,,,,,
,,2014 - 2015,17,15,0.88,,,,,,
,,2015 - 2016,22,13,0.59,,,,,,
,,2017 - 2018,4,2,0.5,,,,,,
,,2018 - 2019,10,4,0.4,,,,,,
,,2019 - 2020,36,18,0.5,,,,,,
,,2020 - 2021,21,4,0.19,,,,,,
,,2021 - 2022,27,9,0.33,,,,,,
,,2022 - 2023,7,3,0.43,,,,,,
,11. Krishnagiri,2003 - 2004,197,57,0.29,,,,,,
,,2004 - 2005,234,101,0.43,,,,,,
,,2005 - 2006,140,43,0.31,,,,,,
,,2006 - 2007,94,31,0.33,,,,,,
,,2007 - 2008,109,42,0.39,,,,,,
,,2008 - 2009,103,35,0.34,,,,,,
,,2009 - 2010,222,88,0.4,,,,,,
,,2011 - 2012,193,90,0.47,,,,,,
,,2013 - 2014,"1,561.00",543,0.35,,,,,,
,,2014 - 2015,956,842,0.88,,,,,,
,,2015 - 2016,587,348,0.59,,,,,,
,,2016 - 2017,7,1,0.14,,,,,,
,,2017 - 2018,16,8,0.5,,,,,,
,,2018 - 2019,5,2,0.4,,,,,,
,,2019 - 2020,12,6,0.5,,,,,,
,,2020 - 2021,13,2,0.15,,,,,,
,,2021 - 2022,18,6,0.33,,,,,,
,,2022 - 2023,74,29,0.39,,,,,,
,12. Madurai,2000 - 2001,66,15,0.23,,,,,,
,,2002 - 2003,338,63,0.19,,,,,,
,,2003 - 2004,500,145,0.29,,,,,,
,,2004 - 2005,550,239,0.43,,,,,,
,,2005 - 2006,608,185,0.3,,,,,,
,,2006 - 2007,534,174,0.33,,,,,,
,,2007 - 2008,310,119,0.38,,,,,,
,,2008 - 2009,263,90,0.34,,,,,,
,,2009 - 2010,331,131,0.4,,,,,,
,,2011 - 2012,300,140,0.47,,,,,,
,,2013 - 2014,65,23,0.35,,,,,,
,,2014 - 2015,137,121,0.88,,,,,,
,,2015 - 2016,126,75,0.6,,,,,,
,,2016 - 2017,106,17,0.16,,,,,,
,,2017 - 2018,14,7,0.5,,,,,,
,,2018 - 2019,10,4,0.4,,,,,,
,,2019 - 2020,35,17,0.49,,,,,,
,,2020 - 2021,53,9,0.17,,,,,,
,,2021 - 2022,39,13,0.33,,,,,,
,,2022 - 2023,44,18,0.41,,,,,,
,13. Namakkal,2000 - 2001,140,33,0.24,,,,,,
,,2002 - 2003,102,19,0.19,,,,,,
,,2003 - 2004,81,24,0.3,,,,,,
,,2004 - 2005,32,14,0.44,,,,,,
,,2005 - 2006,26,8,0.31,,,,,,
,,2006 - 2007,14,4,0.29,,,,,,
,,2007 - 2008,3,1,0.33,,,,,,
,,2008 - 2009,1,,0,,,,,,
,,2009 - 2010,26,10,0.38,,,,,,
,,2011 - 2012,20,9,0.45,,,,,,
,,2013 - 2014,33,11,0.33,,,,,,
,,2014 - 2015,39,34,0.87,,,,,,
,,2015 - 2016,47,28,0.6,,,,,,
,,2016 - 2017,57,9,0.16,,,,,,
,,2017 - 2018,116,59,0.51,,,,,,
,,2018 - 2019,189,74,0.39,,,,,,
,,2019 - 2020,282,140,0.5,,,,,,
,,2020 - 2021,28,9,0.32,,,,,,
,,2022 - 2023,5,2,0.4,,,,,,
,14. Perambalur,2000 - 2001,"4,258.00",460,0.11,,,,,,
,,2002 - 2003,"6,021.00","1,535.00",0.25,,,,,,
,,2003 - 2004,"4,453.00","1,279.00",0.29,,,,,,
,,2004 - 2005,"1,800.00",576,0.32,,,,,,
,,2005 - 2006,"1,765.00",486,0.28,,,,,,
,,2006 - 2007,840,272,0.32,,,,,,
,,2007 - 2008,505,163,0.32,,,,,,
,,2008 - 2009,291,270,0.93,,,,,,
,,2009 - 2010,395,156,0.39,,,,,,
,,2011 - 2012,104,50,0.48,,,,,,
,,2013 - 2014,22,8,0.36,,,,,,
,,2014 - 2015,86,76,0.88,,,,,,
,,2015 - 2016,92,54,0.59,,,,,,
,,2016 - 2017,156,25,0.16,,,,,,
