State,District,Year,Tobacco,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2008 - 2009,,,,,,,"12,182.00","8,040.00",0.66,,,
,,2009 - 2010,,,,,,,"14,173.00","18,042.00",1.27,,,
,,2010 - 2011,,,,,,,"10,863.00","18,369.00",1.69,,,
,,2011 - 2012,,,,,,,"10,882.00","17,531.00",1.61,,,
,,2012 - 2013,,,,,,,"9,000.00","14,000.00",1.56,,,
,,2013 - 2014,,,,"11,267.00","8,878.00",0.79,,,,,,
,,2014 - 2015,,,,"12,296.00","30,002.00",2.44,,,,,,
,,2015 - 2016,,,,"8,207.00","9,331.00",1.14,,,,,,
,,2016 - 2017,,,,"4,154.00","4,407.00",1.06,,,,,,
,,2017 - 2018,,,,"4,634.00","5,366.00",1.16,,,,,,
,,2018 - 2019,,,,"4,504.00","5,202.00",1.15,,,,,,
,,2019 - 2020,,,,"6,061.00","9,479.00",1.56,,,,,,
,,2020 - 2021,,,,"3,687.00","5,409.00",1.47,,,,,,
,,2021 - 2022,,,,"3,497.00","5,190.00",1.48,,,,,,
,,2022 - 2023,,,,"6,600.00","11,068.00",1.68,,,,,,
,20. Sri sathya sai,2022 - 2023,,,,13,24,1.85,,,,,,
,21. Srikakulam,2000 - 2001,,,,,,,44,103,2.34,,,
,,2001 - 2002,,,,,,,40,59,1.48,,,
,,2002 - 2003,,,,,,,29,65,2.24,,,
,,2003 - 2004,,,,,,,35,75,2.14,,,
,,2004 - 2005,,,,,,,35,75,2.14,,,
,,2005 - 2006,,,,,,,58,158,2.72,,,
,,2006 - 2007,,,,,,,70,165,2.36,,,
,,2008 - 2009,,,,,,,112,308,2.75,,,
,,2009 - 2010,,,,,,,97,238,2.45,,,
,,2010 - 2011,,,,,,,105,337,3.21,,,
,,2011 - 2012,,,,,,,50,172,3.44,,,
,,2013 - 2014,2,7,3.5,,,,,,,,,
,22. Visakhapatanam,2000 - 2001,,,,,,,"2,993.00","6,021.00",2.01,,,
,,2001 - 2002,,,,,,,"1,702.00","2,598.00",1.53,,,
,,2002 - 2003,,,,,,,"1,293.00","3,636.00",2.81,,,
,,2003 - 2004,,,,,,,"1,803.00","3,447.00",1.91,,,
,,2004 - 2005,,,,,,,"1,466.00","2,939.00",2,,,
,,2005 - 2006,,,,,,,"1,335.00","3,456.00",2.59,,,
,,2006 - 2007,,,,,,,925,"1,993.00",2.15,,,
,,2007 - 2008,,,,,,,"1,000.00","1,000.00",1,,,
,,2008 - 2009,,,,,,,"1,154.00","2,926.00",2.54,,,
,,2009 - 2010,,,,,,,999,"2,244.00",2.25,,,
,,2010 - 2011,,,,,,,495,"1,361.00",2.75,,,
,,2011 - 2012,,,,,,,580,"1,847.00",3.18,,,
,,2013 - 2014,331,"1,032.00",3.12,106,372,3.51,,,,,,
,,2014 - 2015,248,774,3.12,113,340,3.01,,,,,,
,,2015 - 2016,376,"1,366.00",3.63,87,251,2.89,,,,,,
,,2016 - 2017,563,"1,817.00",3.23,42,110,2.62,,,,,,
,,2017 - 2018,542,"1,024.00",1.89,44,114,2.59,,,,,,
,,2018 - 2019,345,"1,084.00",3.14,18,51,2.83,,,,,,
,,2019 - 2020,440,"1,466.00",3.33,31,83,2.68,,,,,,
,,2020 - 2021,225,717,3.19,9,25,2.78,,,,,,
,,2021 - 2022,95,338,3.56,7,19,2.71,,,,,,
,23. Vizianagaram,2000 - 2001,,,,,,,"1,709.00","3,987.00",2.33,,,
,,2001 - 2002,,,,,,,"1,658.00","2,694.00",1.62,,,
,,2002 - 2003,,,,,,,"1,577.00","3,553.00",2.25,,,
,,2003 - 2004,,,,,,,"1,782.00","3,796.00",2.13,,,
,,2004 - 2005,,,,,,,"1,673.00","3,565.00",2.13,,,
,,2005 - 2006,,,,,,,"1,976.00","4,462.00",2.26,,,
,,2006 - 2007,,,,,,,"1,241.00","2,688.00",2.17,,,
,,2007 - 2008,,,,,,,"1,000.00","2,000.00",2,,,
,,2008 - 2009,,,,,,,"1,806.00","4,540.00",2.51,,,
,,2009 - 2010,,,,,,,"1,920.00","4,250.00",2.21,,,
,,2010 - 2011,,,,,,,"1,000.00","2,964.00",2.96,,,
,,2011 - 2012,,,,,,,"1,344.00","2,459.00",1.83,,,
,,2012 - 2013,,,,,,,"1,000.00","3,000.00",3,,,
,,2013 - 2014,3,11,3.67,741,"1,250.00",1.69,,,,,,
,,2014 - 2015,27,81,3,515,"1,548.00",3.01,,,,,,
,,2015 - 2016,,,,268,713,2.66,,,,,,
,,2016 - 2017,,,,102,90,0.88,,,,,,
,,2017 - 2018,,,,70,97,1.39,,,,,,
,,2018 - 2019,,,,75,105,1.4,,,,,,
,,2019 - 2020,,,,51,81,1.59,,,,,,
,,2020 - 2021,,,,33,55,1.67,,,,,,
,,2021 - 2022,,,,98,123,1.26,,,,,,
,24. West godavari,2000 - 2001,,,,,,,"7,168.00","15,648.00",2.18,,,
,,2001 - 2002,,,,,,,"22,186.00","31,477.00",1.42,,,
,,2002 - 2003,,,,,,,"19,418.00","31,870.00",1.64,,,
,,2003 - 2004,,,,,,,"21,385.00","29,953.00",1.4,,,
,,2004 - 2005,,,,,,,"18,118.00","25,840.00",1.43,,,
,,2005 - 2006,,,,,,,"20,597.00","40,931.00",1.99,,,
,,2006 - 2007,,,,,,,"21,129.00","38,374.00",1.82,,,
,,2007 - 2008,,,,,,,"22,000.00","47,000.00",2.14,,,
,,2008 - 2009,,,,,,,"29,053.00","55,748.00",1.92,,,
,,2009 - 2010,,,,,,,"29,229.00","56,548.00",1.93,,,
,,2010 - 2011,,,,,,,"28,168.00","52,357.00",1.86,,,
,,2011 - 2012,,,,,,,"25,908.00","47,275.00",1.82,,,
,,2012 - 2013,,,,,,,"27,000.00","47,000.00",1.74,,,
,,2013 - 2014,,,,"26,471.00","45,260.00",1.71,,,,,,
,,2014 - 2015,,,,"28,046.00","89,107.00",3.18,,,,,,
,,2015 - 2016,,,,"21,861.00","64,768.00",2.96,,,,,,
,,2016 - 2017,,,,"20,409.00","57,560.00",2.82,,,,,,
,,2017 - 2018,,,,"23,073.00","53,598.00",2.32,,,,,,
,,2018 - 2019,,,,"19,969.00","28,354.00",1.42,,,,,,
,,2019 - 2020,,,,"17,544.00","44,128.00",2.52,,,,,,
,,2020 - 2021,,,,"13,818.00","33,802.00",2.45,,,,,,
,,2021 - 2022,,,,"12,878.00","32,680.00",2.54,,,,,,
2. Assam,1. Baksa,2005 - 2006,,,,,,,10,4,0.4,,,
,,2006 - 2007,,,,,,,9,4,0.44,,,
,,2007 - 2008,,,,,,,8,3,0.38,,,
,,2008 - 2009,,,,,,,84,40,0.48,,,
,,2009 - 2010,,,,,,,89,38,0.43,,,
,,2010 - 2011,,,,,,,84,37,0.44,,,
,,2011 - 2012,,,,,,,5,2,0.4,,,
,,2012 - 2013,,,,,,,7,3,0.43,,,
,,2013 - 2014,,,,,,,7,3,0.43,,,
,,2014 - 2015,,,,,,,6,3,0.5,,,
,,2015 - 2016,,,,,,,5,2,0.4,,,
,,2016 - 2017,,,,,,,7,3,0.43,,,
,,2017 - 2018,,,,,,,5,1,0.2,,,
,,2018 - 2019,,,,,,,7,1,0.14,,,
,,2019 - 2020,,,,,,,7,1,0.14,,,
,,2020 - 2021,,,,,,,6,1,0.17,,,
,,2021 - 2022,,,,,,,5,2,0.4,,,
,,2022 - 2023,,,,,,,3,1,0.33,,,
,2. Barpeta,2000 - 2001,,,,,,,25,18,0.72,,,
,,2001 - 2002,,,,,,,42,29,0.69,,,
,,2002 - 2003,,,,,,,28,20,0.71,,,
,,2003 - 2004,,,,,,,31,22,0.71,,,
,,2004 - 2005,,,,,,,16,11,0.69,,,
,,2005 - 2006,,,,,,,21,15,0.71,,,
,,2006 - 2007,,,,,,,19,13,0.68,,,
,,2007 - 2008,,,,,,,19,13,0.68,,,
,,2008 - 2009,,,,,,,32,22,0.69,,,
,,2009 - 2010,,,,,,,95,67,0.71,,,
,,2010 - 2011,,,,,,,37,24,0.65,,,
,,2011 - 2012,,,,,,,32,19,0.59,,,
,,2012 - 2013,,,,,,,13,9,0.69,,,
,,2013 - 2014,,,,,,,9,7,0.78,,,
,,2014 - 2015,,,,,,,5,4,0.8,,,
,,2015 - 2016,,,,,,,2,1,0.5,,,
,,2016 - 2017,,,,,,,2,2,1,,,
,,2017 - 2018,,,,,,,2,2,1,,,
