State,District,Year,Tobacco,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2005 - 2006,,,,,,,3,14,4.67,,,
,,2006 - 2007,,,,4,21,5.25,,,,3,9,3
,,2009 - 2010,,,,,,,,,,1,4,4
,,2012 - 2013,,,,1,6,6,,,,,,
,,2013 - 2014,,,,9,62,6.89,,,,,,
,,2016 - 2017,,,,10,51,5.1,,,,,,
,,2022 - 2023,,,,,,,,,,1,2,2
,2. Allahabad,2003 - 2004,,,,,,,1,8,8,,,
,,2004 - 2005,,,,,,,1,5,5,,,
,,2006 - 2007,,,,1,5,5,,,,,,
,,2019 - 2020,,,,14,39,2.79,,,,,,
,3. Ambedkar nagar,2001 - 2002,,,,,,,354,"2,248.00",6.35,,,
,,2002 - 2003,,,,,,,319,"1,897.00",5.95,,,
,,2003 - 2004,,,,,,,314,"2,290.00",7.29,,,
,,2004 - 2005,,,,,,,122,599,4.91,,,
,,2005 - 2006,,,,,,,308,"1,785.00",5.8,,,
,,2006 - 2007,,,,101,538,5.33,,,,,,
,,2007 - 2008,,,,313,"1,751.00",5.59,,,,,,
,,2008 - 2009,,,,179,934,5.22,,,,,,
,,2009 - 2010,,,,190,"1,090.00",5.74,,,,,,
,,2010 - 2011,,,,186,944,5.08,,,,,,
,,2011 - 2012,,,,192,"1,003.00",5.22,,,,,,
,,2012 - 2013,,,,193,"1,044.00",5.41,,,,,,
,,2013 - 2014,,,,282,"1,552.00",5.5,,,,,,
,,2014 - 2015,,,,218,923,4.23,,,,,,
,,2015 - 2016,,,,185,818,4.42,,,,,,
,,2016 - 2017,,,,193,862,4.47,,,,,,
,,2018 - 2019,,,,393,843,2.15,,,,,,
,,2019 - 2020,,,,196,550,2.81,,,,,,
,,2020 - 2021,,,,192,849,4.42,,,,9,26,2.89
,,2021 - 2022,,,,192,851,4.43,,,,,,
,,2022 - 2023,,,,307,"1,263.00",4.11,,,,39,88,2.26
,4. Amroha,2003 - 2004,,,,,,,12,51,4.25,,,
,,2005 - 2006,,,,,,,12,55,4.58,,,
,,2017 - 2018,,,,24,112,4.67,,,,,,
,5. Auraiya,2010 - 2011,,,,1,5,5,,,,,,
,6. Azamgarh,2001 - 2002,,,,,,,91,569,6.25,,,
,,2002 - 2003,,,,,,,56,330,5.89,,,
,,2003 - 2004,,,,,,,89,666,7.48,,,
,,2004 - 2005,,,,,,,228,998,4.38,,,
,,2005 - 2006,,,,,,,81,463,5.72,,,
,,2006 - 2007,,,,211,"1,123.00",5.32,,,,,,
,,2008 - 2009,,,,63,329,5.22,,,,,,
,,2009 - 2010,,,,97,556,5.73,,,,1,4,4
,,2010 - 2011,,,,160,812,5.08,,,,,,
,,2011 - 2012,,,,109,569,5.22,,,,,,
,,2012 - 2013,,,,204,"1,103.00",5.41,,,,,,
,,2013 - 2014,,,,123,677,5.5,,,,,,
,,2014 - 2015,,,,119,504,4.24,,,,,,
,,2015 - 2016,,,,7,31,4.43,,,,61,95,1.56
,,2016 - 2017,,,,90,402,4.47,,,,,,
,,2017 - 2018,,,,103,479,4.65,,,,,,
,,2018 - 2019,,,,92,197,2.14,,,,,,
,,2019 - 2020,,,,142,398,2.8,,,,,,
,,2020 - 2021,,,,98,433,4.42,,,,,,
,,2021 - 2022,,,,96,425,4.43,,,,,,
,,2022 - 2023,,,,34,140,4.12,,,,,,
,7. Baghpat,2002 - 2003,,,,,,,1,6,6,,,
,,2003 - 2004,,,,,,,1,4,4,,,
,,2004 - 2005,,,,,,,2,8,4,,,
,,2013 - 2014,,,,2,11,5.5,,,,,,
,,2016 - 2017,,,,2,9,4.5,,,,,,
,,2017 - 2018,,,,5,23,4.6,,,,,,
,,2019 - 2020,,,,1,3,3,,,,,,
,,2020 - 2021,,,,2,9,4.5,,,,,,
,,2021 - 2022,,,,2,9,4.5,,,,,,
,8. Bahraich,2022 - 2023,,,,40,169,4.23,,,,,,
,9. Ballia,2001 - 2002,,,,,,,5,31,6.2,,,
,,2002 - 2003,,,,,,,2,12,6,,,
,,2003 - 2004,,,,,,,2,15,7.5,,,
,,2004 - 2005,,,,,,,4,17,4.25,,,
,,2006 - 2007,,,,4,21,5.25,,,,,,
,10. Balrampur,2005 - 2006,,,,,,,"1,589.00","9,100.00",5.73,,,
,11. Banda,2001 - 2002,,,,,,,1,6,6,,,
,,2002 - 2003,,,,,,,2,12,6,,,
,,2003 - 2004,,,,,,,2,15,7.5,,,
,,2004 - 2005,,,,,,,1,4,4,,,
,,2005 - 2006,,,,,,,3,17,5.67,,,
,,2006 - 2007,,,,1,5,5,,,,,,
,12. Barabanki,2001 - 2002,,,,,,,86,563,6.55,,,
,,2002 - 2003,,,,,,,65,386,5.94,,,
,,2003 - 2004,,,,,,,61,435,7.13,,,
,,2004 - 2005,,,,,,,37,189,5.11,,,
,,2005 - 2006,,,,,,,22,134,6.09,,,
,,2006 - 2007,,,,28,149,5.32,,,,5,15,3
,,2007 - 2008,,,,26,146,5.62,,,,5,13,2.6
,,2008 - 2009,,,,21,109,5.19,,,,,,
,,2009 - 2010,,,,21,120,5.71,,,,3,13,4.33
,,2010 - 2011,,,,9,46,5.11,,,,,,
,,2011 - 2012,,,,78,407,5.22,,,,,,
,,2012 - 2013,,,,33,178,5.39,,,,,,
,,2013 - 2014,,,,35,192,5.49,,,,,,
,,2014 - 2015,,,,7,29,4.14,,,,,,
,,2015 - 2016,,,,10,44,4.4,,,,11,17,1.55
,,2016 - 2017,,,,35,156,4.46,,,,,,
,,2017 - 2018,,,,33,154,4.67,,,,,,
,,2018 - 2019,,,,35,75,2.14,,,,,,
,,2019 - 2020,,,,35,98,2.8,,,,,,
,,2020 - 2021,,,,35,155,4.43,,,,,,
,,2021 - 2022,,,,35,155,4.43,,,,3,6,2
,,2022 - 2023,,,,1,4,4,,,,,,
,13. Bareilly,2003 - 2004,,,,,,,426,"3,195.00",7.5,,,
,,2008 - 2009,,,,,,,,,,1,2,2
,14. Basti,2001 - 2002,,,,,,,289,"1,857.00",6.43,,,
,,2002 - 2003,,,,,,,292,"1,741.00",5.96,,,
,,2003 - 2004,,,,,,,292,"2,106.00",7.21,,,
,,2004 - 2005,,,,,,,289,"1,369.00",4.74,,,
,,2005 - 2006,,,,,,,281,"1,633.00",5.81,,,
,,2006 - 2007,,,,293,"1,559.00",5.32,,,,,,
,,2007 - 2008,,,,166,929,5.6,,,,,,
,,2008 - 2009,,,,285,"1,487.00",5.22,,,,,,
,,2009 - 2010,,,,313,"1,795.00",5.73,,,,,,
,,2010 - 2011,,,,299,"1,518.00",5.08,,,,,,
,,2011 - 2012,,,,223,"1,165.00",5.22,,,,,,
,,2012 - 2013,,,,246,"1,330.00",5.41,,,,,,
,,2013 - 2014,,,,217,"1,194.00",5.5,,,,,,
,,2014 - 2015,,,,212,897,4.23,,,,,,
,,2015 - 2016,,,,240,"1,061.00",4.42,,,,,,
,,2016 - 2017,,,,273,"1,219.00",4.47,,,,,,
,,2017 - 2018,,,,245,"1,140.00",4.65,,,,,,
,,2018 - 2019,,,,"1,300.00","2,790.00",2.15,,,,,,
,,2019 - 2020,,,,361,"1,013.00",2.81,,,,,,
,,2020 - 2021,,,,245,"1,083.00",4.42,,,,,,
,,2021 - 2022,,,,228,"1,010.00",4.43,,,,,,
,,2022 - 2023,,,,744,"3,060.00",4.11,,,,54,121,2.24
,15. Bijnor,2002 - 2003,,,,,,,8,26,3.25,,,
,,2003 - 2004,,,,,,,5,21,4.2,,,
,,2004 - 2005,,,,,,,4,19,4.75,,,
,,2005 - 2006,,,,,,,9,41,4.56,,,
,,2006 - 2007,,,,,,,,,,4,12,3
,,2009 - 2010,,,,,,,,,,18,77,4.28
,16. Budaun,2001 - 2002,,,,,,,270,"1,703.00",6.31,,,
,,2002 - 2003,,,,,,,455,"2,702.00",5.94,,,
,,2003 - 2004,,,,,,,109,817,7.5,,,
,,2004 - 2005,,,,,,,437,"1,905.00",4.36,,,
,,2005 - 2006,,,,,,,433,"2,458.00",5.68,,,
,,2006 - 2007,,,,381,"2,028.00",5.32,,,,2,6,3
,,2007 - 2008,,,,538,"3,010.00",5.59,,,,,,
,,2008 - 2009,,,,433,"2,259.00",5.22,,,,,,
,,2009 - 2010,,,,475,"2,724.00",5.73,,,,1,4,4
,,2010 - 2011,,,,836,"4,243.00",5.08,,,,,,
,,2011 - 2012,,,,658,"3,436.00",5.22,,,,5,15,3
,,2012 - 2013,,,,658,"3,557.00",5.41,,,,7,22,3.14
,,2013 - 2014,,,,705,"3,879.00",5.5,,,,,,
,,2014 - 2015,,,,"1,278.00","5,410.00",4.23,,,,,,
,,2015 - 2016,,,,450,"1,989.00",4.42,,,,,,
,,2016 - 2017,,,,856,"3,823.00",4.47,,,,,,
,,2017 - 2018,,,,705,"3,280.00",4.65,,,,1,3,3
,,2018 - 2019,,,,705,"1,513.00",2.15,,,,,,
,,2019 - 2020,,,,705,"1,978.00",2.81,,,,,,
,,2020 - 2021,,,,705,"3,118.00",4.42,,,,1,3,3
,,2021 - 2022,,,,705,"3,125.00",4.43,,,,1,2,2
,,2022 - 2023,,,,758,"3,118.00",4.11,,,,,,
,17. Bulandshahr,2002 - 2003,,,,,,,4,12,3,,,
,,2003 - 2004,,,,,,,1,5,5,,,
,,2004 - 2005,,,,,,,3,13,4.33,,,
,,2005 - 2006,,,,,,,1,4,4,,,
,,2006 - 2007,,,,2,11,5.5,,,,,,
,,2018 - 2019,,,,42,90,2.14,,,,,,
,,2020 - 2021,,,,108,477,4.42,,,,,,
,,2022 - 2023,,,,2,8,4,,,,,,
,18. Deoria,2020 - 2021,,,,1,5,5,,,,,,
,19. Etah,2001 - 2002,,,,,,,"10,264.00","70,419.00",6.86,,,
,,2002 - 2003,,,,,,,"11,735.00","71,646.00",6.11,,,
,,2003 - 2004,,,,,,,"13,954.00","91,708.00",6.57,,,
,,2004 - 2005,,,,,,,"13,232.00","74,991.00",5.67,,,
,,2005 - 2006,,,,,,,"9,656.00","58,808.00",6.09,,,
,,2006 - 2007,,,,"13,203.00","70,266.00",5.32,,,,29,85,2.93
,,2007 - 2008,,,,"14,524.00","92,620.00",6.38,,,,17,42,2.47
,,2008 - 2009,,,,"14,179.00","87,414.00",6.17,,,,28,64,2.29
,,2009 - 2010,,,,"8,299.00","50,885.00",6.13,,,,,,
,,2010 - 2011,,,,"8,498.00","43,136.00",5.08,,,,,,
,,2011 - 2012,,,,"7,571.00","45,479.00",6.01,,,,,,
,,2012 - 2013,,,,"7,401.00","44,443.00",6,,,,,,
,,2013 - 2014,,,,"8,862.00","56,832.00",6.41,,,,,,
,,2014 - 2015,,,,"9,535.00","45,282.00",4.75,,,,,,
,,2015 - 2016,,,,"8,874.00","39,338.00",4.43,,,,,,
,,2016 - 2017,,,,"8,934.00","45,519.00",5.1,,,,,,
,,2017 - 2018,,,,"8,206.00","42,819.00",5.22,,,,,,
,,2018 - 2019,,,,"7,138.00","18,202.00",2.55,,,,,,
,,2019 - 2020,,,,"8,443.00","26,604.00",3.15,,,,,,
,,2020 - 2021,,,,"8,548.00","47,715.00",5.58,,,,,,
,,2021 - 2022,,,,"8,619.00","54,886.00",6.37,,,,,,
,,2022 - 2023,,,,"7,584.00","35,713.00",4.71,,,,,,
,20. Etawah,2015 - 2016,,,,20,92,4.6,,,,,,
,21. Faizabad,2004 - 2005,,,,,,,4,21,5.25,,,
,,2016 - 2017,,,,4,18,4.5,,,,,,
,,2020 - 2021,,,,,,,,,,3,9,3
,22. Farrukhabad,2001 - 2002,,,,,,,"5,916.00","41,575.00",7.03,,,
,,2002 - 2003,,,,,,,"6,083.00","37,263.00",6.13,,,
,,2003 - 2004,,,,,,,"5,923.00","38,655.00",6.53,,,
,,2004 - 2005,,,,,,,"6,812.00","37,398.00",5.49,,,
,,2005 - 2006,,,,,,,"7,092.00","42,676.00",6.02,,,
,,2006 - 2007,,,,"6,428.00","34,210.00",5.32,,,,229,675,2.95
,,2007 - 2008,,,,"6,849.00","29,581.00",4.32,,,,206,512,2.49
,,2008 - 2009,,,,"6,363.00","36,301.00",5.71,,,,233,529,2.27
,,2009 - 2010,,,,"6,719.00","32,977.00",4.91,,,,270,"1,155.00",4.28
,,2010 - 2011,,,,"6,506.00","33,031.00",5.08,,,,,,
,,2011 - 2012,,,,"6,738.00","29,802.00",4.42,,,,183,565,3.09
,,2012 - 2013,,,,"6,147.00","33,230.00",5.41,,,,210,674,3.21
,,2013 - 2014,,,,"7,273.00","33,514.00",4.61,,,,271,833,3.07
,,2014 - 2015,,,,"7,033.00","22,991.00",3.27,,,,177,464,2.62
,,2015 - 2016,,,,"6,620.00","30,479.00",4.6,,,,174,272,1.56
,,2016 - 2017,,,,"7,042.00","19,760.00",2.81,,,,154,303,1.97
,,2017 - 2018,,,,"6,634.00","24,134.00",3.64,,,,202,576,2.85
,,2018 - 2019,,,,"6,832.00","5,438.00",0.8,,,,195,470,2.41
,,2019 - 2020,,,,"6,820.00","5,545.00",0.81,,,,246,453,1.84
,,2020 - 2021,,,,"6,802.00","23,807.00",3.5,,,,194,561,2.89
,,2021 - 2022,,,,"6,810.00","19,701.00",2.89,,,,209,419,2
,,2022 - 2023,,,,"5,769.00","11,503.00",1.99,,,,96,216,2.25
,23. Fatehpur,2001 - 2002,,,,,,,1,6,6,,,
,,2004 - 2005,,,,,,,2,8,4,,,
,,2006 - 2007,,,,1,5,5,,,,2,6,3
,,2008 - 2009,,,,,,,,,,13,29,2.23
,,2011 - 2012,,,,,,,,,,4,12,3
,,2013 - 2014,,,,,,,,,,3,9,3
,,2016 - 2017,,,,,,,,,,3,6,2
,,2018 - 2019,,,,,,,,,,3,7,2.33
,,2019 - 2020,,,,5,14,2.8,,,,,,
,,2021 - 2022,,,,,,,,,,3,6,2
,24. Firozabad,2001 - 2002,,,,,,,3,19,6.33,,,
,,2002 - 2003,,,,,,,8,47,5.88,,,
,,2003 - 2004,,,,,,,8,59,7.38,,,
,,2004 - 2005,,,,,,,13,57,4.38,,,
,,2005 - 2006,,,,,,,8,46,5.75,,,
,,2006 - 2007,,,,13,69,5.31,,,,,,
,,2011 - 2012,,,,,,,,,,1,3,3
,,2019 - 2020,,,,3,8,2.67,,,,,,
,25. Gautam buddha nagar,2013 - 2014,,,,4,22,5.5,,,,,,
,26. Ghaziabad,2015 - 2016,,,,,,,,,,3,5,1.67
,27. Ghazipur,2016 - 2017,,,,7,31,4.43,,,,,,
,,2018 - 2019,,,,210,451,2.15,,,,,,
,28. Gonda,2001 - 2002,,,,,,,"1,505.00","9,450.00",6.28,,,
,,2002 - 2003,,,,,,,"2,977.00","17,863.00",6,,,
,,2003 - 2004,,,,,,,"1,491.00","11,084.00",7.43,,,
,,2004 - 2005,,,,,,,"1,544.00","6,916.00",4.48,,,
,,2005 - 2006,,,,,,,330,"1,919.00",5.82,,,
,,2006 - 2007,,,,"1,554.00","8,270.00",5.32,,,,10,30,3
,,2007 - 2008,,,,"1,591.00","6,135.00",3.86,,,,,,
,,2008 - 2009,,,,582,"3,036.00",5.22,,,,,,
,,2009 - 2010,,,,"1,064.00","6,102.00",5.73,,,,,,
,,2010 - 2011,,,,"1,233.00","6,259.00",5.08,,,,,,
,,2011 - 2012,,,,"1,519.00","6,348.00",4.18,,,,,,
,,2012 - 2013,,,,"2,295.00","4,852.00",2.11,,,,,,
,,2013 - 2014,,,,"2,017.00","6,065.00",3.01,,,,,,
,,2014 - 2015,,,,"1,968.00","5,625.00",2.86,,,,,,
,,2015 - 2016,,,,"1,933.00","4,496.00",2.33,,,,5,8,1.6
,,2016 - 2017,,,,"1,987.00","11,544.00",5.81,,,,,,
,,2017 - 2018,,,,"1,902.00","9,040.00",4.75,,,,,,
,,2018 - 2019,,,,"1,838.00","8,446.00",4.6,,,,,,
,,2019 - 2020,,,,"1,842.00","10,790.00",5.86,,,,,,
,,2020 - 2021,,,,"1,819.00","7,207.00",3.96,,,,,,
,,2021 - 2022,,,,"1,819.00","7,489.00",4.12,,,,,,
,,2022 - 2023,,,,646,"2,733.00",4.23,,,,32,72,2.25
,29. Gorakhpur,2020 - 2021,,,,1,4,4,,,,,,
,30. Hamirpur,2001 - 2002,,,,,,,16,100,6.25,,,
,,2002 - 2003,,,,,,,11,65,5.91,,,
,,2003 - 2004,,,,,,,12,88,7.33,,,
,,2004 - 2005,,,,,,,10,50,5,,,
,,2005 - 2006,,,,,,,7,43,6.14,,,
,,2006 - 2007,,,,13,70,5.38,,,,,,
,,2007 - 2008,,,,10,56,5.6,,,,,,
,,2008 - 2009,,,,1,5,5,,,,,,
,,2009 - 2010,,,,1,6,6,,,,,,
,,2010 - 2011,,,,7,35,5,,,,,,
,,2011 - 2012,,,,6,31,5.17,,,,,,
,,2012 - 2013,,,,5,27,5.4,,,,,,
,,2013 - 2014,,,,7,39,5.57,,,,,,
,,2014 - 2015,,,,7,30,4.29,,,,,,
,,2016 - 2017,,,,31,139,4.48,,,,,,
,,2017 - 2018,,,,7,33,4.71,,,,,,
,,2018 - 2019,,,,11,24,2.18,,,,,,
,,2019 - 2020,,,,7,20,2.86,,,,,,
,,2020 - 2021,,,,7,31,4.43,,,,,,
,,2021 - 2022,,,,7,31,4.43,,,,,,
,31. Hapur,2021 - 2022,,,,,,,,,,6,12,2
,32. Hardoi,2001 - 2002,,,,,,,63,391,6.21,,,
,,2002 - 2003,,,,,,,56,330,5.89,,,
,,2003 - 2004,,,,,,,54,404,7.48,,,
,,2004 - 2005,,,,,,,69,300,4.35,,,
,,2005 - 2006,,,,,,,55,311,5.65,,,
,,2006 - 2007,,,,77,410,5.32,,,,2,6,3
,,2007 - 2008,,,,7,39,5.57,,,,,,
,,2008 - 2009,,,,58,302,5.21,,,,,,
,,2009 - 2010,,,,57,327,5.74,,,,,,
,,2010 - 2011,,,,57,289,5.07,,,,,,
,,2011 - 2012,,,,38,198,5.21,,,,,,
,,2012 - 2013,,,,45,243,5.4,,,,,,
,,2013 - 2014,,,,4,22,5.5,,,,5,15,3
,,2014 - 2015,,,,,,,,,,2,5,2.5
,,2015 - 2016,,,,270,"1,193.00",4.42,,,,,,
,,2016 - 2017,,,,5,23,4.6,,,,2,4,2
,,2017 - 2018,,,,3,14,4.67,,,,,,
,,2018 - 2019,,,,280,601,2.15,,,,5,12,2.4
,,2019 - 2020,,,,4,11,2.75,,,,,,
,,2020 - 2021,,,,9,40,4.44,,,,,,
,,2021 - 2022,,,,4,18,4.5,,,,5,10,2
,,2022 - 2023,,,,133,547,4.11,,,,,,
,33. Hathras,2001 - 2002,,,,,,,9,64,7.11,,,
,,2002 - 2003,,,,,,,12,74,6.17,,,
,,2003 - 2004,,,,,,,3,21,7,,,
,,2004 - 2005,,,,,,,4,24,6,,,
,,2012 - 2013,,,,2,12,6,,,,,,
,,2018 - 2019,,,,173,441,2.55,,,,,,
,34. Jalaun,2016 - 2017,,,,2,9,4.5,,,,,,
,35. Jaunpur,2001 - 2002,,,,,,,35,217,6.2,,,
,,2002 - 2003,,,,,,,22,130,5.91,,,
,,2003 - 2004,,,,,,,26,195,7.5,,,
,,2004 - 2005,,,,,,,12,46,3.83,,,
,,2005 - 2006,,,,,,,40,217,5.43,,,
,,2006 - 2007,,,,,,,,,,11,32,2.91
,,2007 - 2008,,,,,,,,,,2,5,2.5
,,2009 - 2010,,,,8,46,5.75,,,,,,
,,2010 - 2011,,,,9,46,5.11,,,,,,
,,2012 - 2013,,,,10,54,5.4,,,,,,
,,2013 - 2014,,,,9,50,5.56,,,,,,
,,2014 - 2015,,,,9,38,4.22,,,,,,
,,2015 - 2016,,,,8,35,4.38,,,,,,
,,2016 - 2017,,,,9,40,4.44,,,,,,
,,2017 - 2018,,,,9,42,4.67,,,,,,
,,2019 - 2020,,,,9,25,2.78,,,,,,
,,2020 - 2021,,,,9,40,4.44,,,,,,
,,2021 - 2022,,,,9,40,4.44,,,,,,
,36. Jhansi,2017 - 2018,,,,30,140,4.67,,,,,,
,37. Kannauj,2001 - 2002,,,,,,,8,52,6.5,,,
,,2002 - 2003,,,,,,,16,95,5.94,,,
,,2003 - 2004,,,,,,,3,21,7,,,
,,2004 - 2005,,,,,,,5,22,4.4,,,
,,2005 - 2006,,,,,,,30,139,4.63,,,
,,2006 - 2007,,,,5,27,5.4,,,,,,
,,2008 - 2009,,,,,,,,,,6,14,2.33
,,2009 - 2010,,,,19,93,4.89,,,,2,9,4.5
,,2010 - 2011,,,,20,102,5.1,,,,,,
,,2011 - 2012,,,,20,88,4.4,,,,,,
,,2012 - 2013,,,,19,103,5.42,,,,,,
,,2013 - 2014,,,,11,51,4.64,,,,,,
,,2014 - 2015,,,,2,7,3.5,,,,,,
,,2015 - 2016,,,,2,9,4.5,,,,2,3,1.5
,,2016 - 2017,,,,11,31,2.82,,,,,,
,,2017 - 2018,,,,11,40,3.64,,,,,,
,,2018 - 2019,,,,11,9,0.82,,,,,,
,,2019 - 2020,,,,11,9,0.82,,,,,,
,,2020 - 2021,,,,11,39,3.55,,,,,,
,,2021 - 2022,,,,11,32,2.91,,,,,,
,38. Kanpur dehat,2003 - 2004,,,,,,,1,4,4,,,
,39. Kanpur nagar,2001 - 2002,,,,,,,7,46,6.57,,,
,,2002 - 2003,,,,,,,19,112,5.89,,,
,,2003 - 2004,,,,,,,2,5,2.5,,,
,,2004 - 2005,,,,,,,157,824,5.25,,,
,,2005 - 2006,,,,,,,37,170,4.59,,,
,,2006 - 2007,,,,85,452,5.32,,,,79,233,2.95
,,2007 - 2008,,,,,,,,,,101,251,2.49
,,2008 - 2009,,,,,,,,,,143,325,2.27
,,2009 - 2010,,,,63,309,4.9,,,,45,192,4.27
,,2010 - 2011,,,,65,330,5.08,,,,,,
,,2011 - 2012,,,,136,602,4.43,,,,39,121,3.1
,,2012 - 2013,,,,93,503,5.41,,,,48,154,3.21
,,2013 - 2014,,,,71,327,4.61,,,,36,111,3.08
,,2014 - 2015,,,,52,169,3.25,,,,18,47,2.61
,,2015 - 2016,,,,89,410,4.61,,,,16,25,1.56
,,2016 - 2017,,,,71,199,2.8,,,,43,84,1.95
,,2017 - 2018,,,,71,259,3.65,,,,5,14,2.8
,,2018 - 2019,,,,71,57,0.8,,,,,,
,,2019 - 2020,,,,71,57,0.8,,,,,,
,,2020 - 2021,,,,71,249,3.51,,,,36,104,2.89
,,2021 - 2022,,,,71,205,2.89,,,,36,72,2
,,2022 - 2023,,,,,,,,,,5,11,2.2
,40. Kasganj,2009 - 2010,,,,"4,740.00","29,063.00",6.13,,,,14,60,4.29
,,2010 - 2011,,,,"6,486.00","32,923.00",5.08,,,,,,
,,2011 - 2012,,,,"5,247.00","28,554.00",5.44,,,,20,62,3.1
,,2012 - 2013,,,,"5,154.00","30,975.00",6.01,,,,27,87,3.22
,,2013 - 2014,,,,"4,724.00","29,516.00",6.25,,,,,,
,,2014 - 2015,,,,"9,634.00","45,395.00",4.71,,,,,,
,,2015 - 2016,,,,"11,884.00","55,225.00",4.65,,,,2,3,1.5
,,2016 - 2017,,,,"5,609.00","28,578.00",5.1,,,,93,183,1.97
,,2017 - 2018,,,,"3,530.00","18,419.00",5.22,,,,2,6,3
,,2018 - 2019,,,,"4,626.00","11,796.00",2.55,,,,3,7,2.33
,,2019 - 2020,,,,"15,159.00","47,766.00",3.15,,,,2,4,2
,,2020 - 2021,,,,"4,872.00","18,806.00",3.86,,,,2,6,3
,,2021 - 2022,,,,"8,351.00","31,517.00",3.77,,,,2,4,2
,,2022 - 2023,,,,"5,941.00","32,064.00",5.4,,,,36,81,2.25
,41. Kaushambi,2001 - 2002,,,,,,,18,112,6.22,,,
,,2002 - 2003,,,,,,,14,82,5.86,,,
,,2003 - 2004,,,,,,,22,138,6.27,,,
,,2004 - 2005,,,,,,,20,87,4.35,,,
,,2006 - 2007,,,,20,107,5.35,,,,,,
,,2008 - 2009,,,,20,104,5.2,,,,,,
,,2012 - 2013,,,,19,103,5.42,,,,,,
,,2013 - 2014,,,,18,99,5.5,,,,,,
,,2016 - 2017,,,,18,80,4.44,,,,,,
,,2017 - 2018,,,,18,84,4.67,,,,,,
,,2018 - 2019,,,,13,28,2.15,,,,,,
,,2019 - 2020,,,,18,51,2.83,,,,,,
,,2020 - 2021,,,,18,80,4.44,,,,,,
,,2021 - 2022,,,,18,80,4.44,,,,,,
,42. Kheri,2017 - 2018,,,,67,312,4.66,,,,,,
,,2018 - 2019,,,,2,5,2.5,,,,,,
,,2022 - 2023,,,,,,,,,,244,548,2.25
,43. Lucknow,2007 - 2008,,,,,,,,,,4,10,2.5
,,2009 - 2010,,,,2,12,6,,,,,,
,,2020 - 2021,,,,8,36,4.5,,,,,,
,44. Maharajganj,2011 - 2012,,,,,,,,,,5,15,3
,45. Mahoba,2001 - 2002,,,,,,,22,137,6.23,,,
,,2002 - 2003,,,,,,,26,153,5.88,,,
,,2003 - 2004,,,,,,,15,113,7.53,,,
,,2004 - 2005,,,,,,,7,32,4.57,,,
,,2005 - 2006,,,,,,,15,86,5.73,,,
,,2006 - 2007,,,,6,32,5.33,,,,,,
,,2009 - 2010,,,,13,74,5.69,,,,,,
,,2010 - 2011,,,,9,46,5.11,,,,,,
,,2011 - 2012,,,,6,31,5.17,,,,,,
,,2015 - 2016,,,,3,13,4.33,,,,,,
,,2016 - 2017,,,,3,13,4.33,,,,,,
,,2020 - 2021,,,,3,13,4.33,,,,,,
,,2021 - 2022,,,,3,13,4.33,,,,,,
,46. Mainpuri,2001 - 2002,,,,,,,6,37,6.17,,,
,,2002 - 2003,,,,,,,8,47,5.88,,,
,,2003 - 2004,,,,,,,2,13,6.5,,,
,,2004 - 2005,,,,,,,2,12,6,,,
,,2005 - 2006,,,,,,,29,166,5.72,,,
,,2006 - 2007,,,,2,11,5.5,,,,,,
,,2007 - 2008,,,,187,"1,192.00",6.37,,,,,,
,,2012 - 2013,,,,1,5,5,,,,,,
,,2013 - 2014,,,,146,803,5.5,,,,,,
,,2016 - 2017,,,,3,13,4.33,,,,,,
,,2017 - 2018,,,,3,14,4.67,,,,,,
,,2019 - 2020,,,,3,9,3,,,,,,
,,2020 - 2021,,,,2,9,4.5,,,,,,
,,2021 - 2022,,,,2,9,4.5,,,,,,
,,2022 - 2023,,,,9,37,4.11,,,,,,
,47. Mau,2022 - 2023,,,,,,,,,,23,52,2.26
,48. Mirzapur,2018 - 2019,,,,113,242,2.14,,,,,,
,,2020 - 2021,,,,34,150,4.41,,,,,,
,49. Moradabad,2001 - 2002,,,,,,,1,6,6,,,
,,2002 - 2003,,,,,,,204,605,2.97,,,
,,2003 - 2004,,,,,,,89,384,4.31,,,
,,2004 - 2005,,,,,,,88,356,4.05,,,
,,2005 - 2006,,,,,,,90,414,4.6,,,
,,2006 - 2007,,,,,,,,,,78,230,2.95
,,2007 - 2008,,,,,,,,,,109,271,2.49
,,2008 - 2009,,,,,,,,,,118,268,2.27
,,2009 - 2010,,,,,,,,,,123,526,4.28
,,2011 - 2012,,,,,,,,,,123,380,3.09
,,2020 - 2021,,,,,,,,,,8,23,2.88
,50. Muzaffarnagar,2004 - 2005,,,,,,,2,12,6,,,
,,2007 - 2008,,,,1,6,6,,,,,,
,51. Pilibhit,2004 - 2005,,,,,,,2,14,7,,,
,,2013 - 2014,,,,,,,,,,635,"1,952.00",3.07
,,2015 - 2016,,,,,,,,,,78,122,1.56
,,2016 - 2017,,,,,,,,,,635,"1,248.00",1.97
,,2017 - 2018,,,,,,,,,,635,"1,811.00",2.85
,,2018 - 2019,,,,,,,,,,635,"1,532.00",2.41
