State,District,Year,Onion,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2006 - 2007,,,,,,,"2,082.00","25,619.00",12.3,,,
,,2007 - 2008,,,,,,,"2,724.00","27,407.00",10.06,,,
,,2008 - 2009,,,,,,,"2,837.00","31,490.00",11.1,,,
,,2009 - 2010,,,,,,,"3,603.00","41,442.00",11.5,,,
,,2010 - 2011,,,,,,,"3,860.00","55,689.00",14.43,,,
,,2011 - 2012,,,,,,,"7,695.00","1,11,186.00",14.45,,,
,,2012 - 2013,,,,,,,"8,106.00","1,24,069.00",15.31,,,
,,2013 - 2014,,,,,,,"8,624.00","1,47,871.00",17.15,,,
,,2015 - 2016,,,,,,,"5,195.00","1,56,610.00",30.15,,,
,,2016 - 2017,,,,,,,"12,284.00","4,69,624.00",38.23,,,
,,2017 - 2018,,,,,,,"11,833.00","3,62,090.00",30.6,,,
,,2018 - 2019,,,,,,,"13,003.00","3,98,021.00",30.61,,,
,,2019 - 2020,,,,,,,"14,712.00","4,50,333.38",30.61,,,
,16. Dhar,2000 - 2001,,,,,,,423,"4,455.00",10.53,,,
,,2001 - 2002,,,,,,,442,"4,303.00",9.74,,,
,,2002 - 2003,,,,,,,640,"5,984.00",9.35,,,
,,2003 - 2004,,,,,,,757,"7,174.00",9.48,,,
,,2004 - 2005,,,,,,,771,"8,641.00",11.21,,,
,,2005 - 2006,,,,,,,671,"6,725.00",10.02,,,
,,2006 - 2007,,,,,,,816,"10,122.00",12.4,,,
,,2007 - 2008,,,,,,,"1,209.00","12,976.00",10.73,,,
,,2008 - 2009,,,,,,,"1,223.00","11,656.00",9.53,,,
,,2009 - 2010,,,,,,,"1,332.00","13,531.00",10.16,,,
,,2010 - 2011,,,,,,,"1,749.00","20,949.00",11.98,,,
,,2011 - 2012,,,,,,,"2,045.00","26,920.00",13.16,,,
,,2012 - 2013,,,,,,,"2,179.00","29,667.00",13.61,,,
,,2013 - 2014,,,,,,,"2,266.00","26,228.00",11.57,,,
,,2015 - 2016,,,,,,,"4,493.50","1,12,338.00",25,,,
,,2016 - 2017,,,,,,,"3,399.00","85,994.00",25.3,,,
,,2017 - 2018,,,,,,,"7,990.00","2,02,147.00",25.3,,,
,,2018 - 2019,,,,,,,"7,980.00","2,04,910.00",25.68,,,
,,2019 - 2020,,,,,,,"7,998.00","2,05,809.00",25.73,,,
,17. Dindori,2000 - 2001,,,,,,,22,384,17.45,,,
,,2001 - 2002,,,,,,,25,437,17.48,,,
,,2002 - 2003,,,,,,,31,447,14.42,,,
,,2003 - 2004,,,,,,,26,402,15.46,,,
,,2004 - 2005,,,,,,,24,383,15.96,,,
,,2005 - 2006,,,,,,,29,414,14.28,,,
,,2006 - 2007,,,,,,,35,439,12.54,,,
,,2007 - 2008,,,,,,,33,352,10.67,,,
,,2008 - 2009,,,,,,,29,302,10.41,,,
,,2009 - 2010,,,,,,,33,418,12.67,,,
,,2010 - 2011,,,,,,,42,576,13.71,,,
,,2011 - 2012,,,,,,,56,693,12.38,,,
,,2012 - 2013,,,,,,,62,804,12.97,,,
,,2013 - 2014,,,,,,,76,"1,324.00",17.42,,,
,,2015 - 2016,,,,,,,345,"6,555.00",19,,,
,,2016 - 2017,,,,,,,380,"7,220.00",19,,,
,,2017 - 2018,,,,,,,365,"7,227.00",19.8,,,
,,2018 - 2019,,,,,,,368,"7,176.00",19.5,,,
,,2019 - 2020,,,,,,,375,"7,312.00",19.5,,,
,18. Guna,2000 - 2001,,,,,,,219,"3,107.00",14.19,,,
,,2001 - 2002,,,,,,,214,"3,081.00",14.4,,,
,,2002 - 2003,,,,,,,151,"1,352.00",8.95,,,
,,2003 - 2004,,,,,,,88,"1,107.00",12.58,,,
,,2004 - 2005,,,,,,,118,"1,730.00",14.66,,,
,,2005 - 2006,,,,,,,109,"1,563.00",14.34,,,
,,2006 - 2007,,,,,,,100,"1,442.00",14.42,,,
,,2007 - 2008,,,,,,,105,"1,123.00",10.7,,,
,,2008 - 2009,,,,,,,78,"1,017.00",13.04,,,
,,2009 - 2010,,,,,,,98,"1,231.00",12.56,,,
,,2010 - 2011,,,,,,,186,"2,545.00",13.68,,,
,,2011 - 2012,,,,,,,167,"3,197.00",19.14,,,
,,2012 - 2013,,,,,,,223,"3,988.00",17.88,,,
,,2013 - 2014,,,,,,,257,"4,193.00",16.32,,,
,,2015 - 2016,,,,,,,507,"7,605.00",15,,,
,,2016 - 2017,,,,,,,522,"12,716.00",24.36,,,
,,2017 - 2018,,,,,,,540,"13,153.00",24.36,,,
,,2018 - 2019,,,,,,,953,"23,205.55",24.35,,,
,,2019 - 2020,,,,,,,"1,024.00","25,600.00",25,,,
,19. Gwalior,2000 - 2001,,,,,,,112,"1,866.00",16.66,,,
,,2001 - 2002,,,,,,,116,"2,067.00",17.82,,,
,,2002 - 2003,,,,,,,86,"1,379.00",16.03,,,
,,2003 - 2004,,,,,,,72,763,10.6,,,
,,2004 - 2005,,,,,,,47,755,16.06,,,
,,2005 - 2006,,,,,,,24,353,14.71,,,
,,2006 - 2007,,,,,,,14,161,11.5,,,
,,2007 - 2008,,,,,,,69,640,9.28,,,
,,2008 - 2009,,,,,,,52,490,9.42,,,
,,2009 - 2010,,,,,,,93,"1,218.00",13.1,,,
,,2010 - 2011,,,,,,,101,"1,100.00",10.89,,,
,,2011 - 2012,,,,,,,86,"1,070.00",12.44,,,
,,2012 - 2013,,,,,,,69,961,13.93,,,
,,2013 - 2014,,,,,,,64,706,11.03,,,
,,2015 - 2016,,,,,,,784,"16,464.00",21,,,
,,2016 - 2017,,,,,,,905,"18,100.00",20,,,
,,2017 - 2018,,,,,,,932,"19,572.00",21,,,
,,2018 - 2019,,,,,,,936,"19,656.00",21,,,
,,2019 - 2020,,,,,,,950,"19,950.00",21,,,
,20. Harda,2000 - 2001,,,,,,,138,"2,481.00",17.98,,,
,,2001 - 2002,,,,,,,119,"1,757.00",14.76,,,
,,2002 - 2003,,,,,,,132,"1,770.00",13.41,,,
,,2003 - 2004,,,,,,,190,"2,431.00",12.79,,,
,,2004 - 2005,,,,,,,160,"2,338.00",14.61,,,
,,2005 - 2006,,,,,,,225,"5,136.00",22.83,,,
,,2006 - 2007,,,,,,,221,"5,074.00",22.96,,,
,,2007 - 2008,,,,,,,229,"4,231.00",18.48,,,
,,2008 - 2009,,,,,,,226,"3,390.00",15,,,
,,2009 - 2010,,,,,,,149,"2,279.00",15.3,,,
,,2010 - 2011,,,,,,,177,"3,741.00",21.14,,,
,,2011 - 2012,,,,,,,150,"3,977.00",26.51,,,
,,2012 - 2013,,,,,,,135,"3,421.00",25.34,,,
,,2013 - 2014,,,,,,,191,"3,306.00",17.31,,,
,,2015 - 2016,,,,,,,455,"10,010.00",22,,,
,,2016 - 2017,,,,,,,470,"10,455.00",22.24,,,
,,2017 - 2018,,,,,,,489,"10,880.00",22.25,,,
,,2018 - 2019,,,,,,,450,"10,012.00",22.25,,,
,,2019 - 2020,,,,,,,380,"8,454.00",22.25,,,
,21. Hoshangabad,2000 - 2001,,,,,,,401,"6,670.00",16.63,,,
,,2001 - 2002,,,,,,,521,"8,813.00",16.92,,,
,,2002 - 2003,,,,,,,425,"5,699.00",13.41,,,
,,2003 - 2004,,,,,,,474,"6,064.00",12.79,,,
,,2004 - 2005,,,,,,,463,"8,070.00",17.43,,,
,,2005 - 2006,,,,,,,644,"9,348.00",14.52,,,
,,2006 - 2007,,,,,,,537,"10,704.00",19.93,,,
,,2007 - 2008,,,,,,,539,"6,917.00",12.83,,,
,,2008 - 2009,,,,,,,519,"6,760.00",13.03,,,
,,2009 - 2010,,,,,,,527,"7,001.00",13.28,,,
,,2010 - 2011,,,,,,,503,"8,270.00",16.44,,,
,,2011 - 2012,,,,,,,472,"8,533.00",18.08,,,
,,2012 - 2013,,,,,,,457,"9,012.00",19.72,,,
,,2013 - 2014,,,,,,,361,"5,842.00",16.18,,,
,,2015 - 2016,,,,,,,644,"16,744.00",26,,,
,,2016 - 2017,,,,,,,652,"16,626.00",25.5,,,
,,2017 - 2018,,,,,,,459.5,"11,704.50",25.47,,,
,,2018 - 2019,,,,,,,253,"6,044.32",23.89,,,
,,2019 - 2020,,,,,,,253,"6,044.32",23.89,,,
,22. Indore,2000 - 2001,,,,,,,644,"9,154.00",14.21,,,
,,2001 - 2002,,,,,,,744,"9,072.00",12.19,,,
,,2002 - 2003,,,,,,,900,"10,543.00",11.71,,,
,,2003 - 2004,,,,,,,"1,368.00","17,494.00",12.79,,,
,,2004 - 2005,,,,,,,"1,400.00","17,873.00",12.77,,,
,,2005 - 2006,,,,,,,"1,402.00","17,113.00",12.21,,,
,,2006 - 2007,,,,,,,"1,403.00","22,968.00",16.37,,,
,,2007 - 2008,,,,,,,"1,825.00","21,323.00",11.68,,,
,,2008 - 2009,,,,,,,"1,680.00","21,127.00",12.58,,,
,,2009 - 2010,,,,,,,"4,622.00","60,237.00",13.03,,,
,,2010 - 2011,,,,,,,"2,513.00","37,533.00",14.94,,,
,,2011 - 2012,,,,,,,"2,740.00","43,728.00",15.96,,,
,,2012 - 2013,,,,,,,"2,770.00","43,892.00",15.85,,,
,,2013 - 2014,,,,,,,"2,623.00","35,599.00",13.57,,,
,,2015 - 2016,,,,,,,"14,742.00","4,40,285.00",29.87,,,
,,2016 - 2017,,,,,,,"10,650.00","3,30,150.00",31,,,
,,2017 - 2018,,,,,,,"14,048.00","4,49,536.00",32,,,
,,2018 - 2019,,,,,,,"13,146.00","4,20,672.00",32,,,
,,2019 - 2020,,,,,,,"14,600.00","4,67,200.00",32,,,
,23. Jabalpur,2000 - 2001,,,,,,,240,"6,004.00",25.02,,,
,,2001 - 2002,,,,,,,266,"6,744.00",25.35,,,
,,2002 - 2003,,,,,,,218,"5,442.00",24.96,,,
,,2003 - 2004,,,,,,,220,"5,829.00",26.5,,,
,,2004 - 2005,,,,,,,258,"7,962.00",30.86,,,
,,2005 - 2006,,,,,,,292,"9,576.00",32.79,,,
,,2006 - 2007,,,,,,,197,"6,914.00",35.1,,,
,,2007 - 2008,,,,,,,519,"12,761.00",24.59,,,
,,2008 - 2009,,,,,,,246,"5,610.00",22.8,,,
,,2009 - 2010,,,,,,,270,"6,466.00",23.95,,,
,,2010 - 2011,,,,,,,307,"9,689.00",31.56,,,
,,2011 - 2012,,,,,,,330,"12,559.00",38.06,,,
,,2012 - 2013,,,,,,,294,"11,672.00",39.7,,,
,,2013 - 2014,,,,,,,164,"5,063.00",30.87,,,
,,2015 - 2016,,,,,,,"1,543.00","30,860.00",20,,,
,,2016 - 2017,,,,,,,"1,582.85","32,220.00",20.36,,,
,,2017 - 2018,,,,,,,"1,894.00","41,668.00",22,,,
,,2018 - 2019,,,,,,,"1,890.00","41,580.00",22,,,
,,2019 - 2020,,,,,,,"1,894.00","41,668.00",22,,,
,24. Jhabua,2000 - 2001,,,,,,,46,242,5.26,,,
,,2001 - 2002,,,,,,,135,"1,253.00",9.28,,,
,,2002 - 2003,,,,,,,195,"2,047.00",10.5,,,
,,2003 - 2004,,,,,,,280,"2,703.00",9.65,,,
,,2004 - 2005,,,,,,,307,"3,511.00",11.44,,,
,,2005 - 2006,,,,,,,279,"3,078.00",11.03,,,
,,2006 - 2007,,,,,,,268,"3,116.00",11.63,,,
,,2007 - 2008,,,,,,,303,"3,048.00",10.06,,,
,,2008 - 2009,,,,,,,177,"1,753.00",9.9,,,
,,2009 - 2010,,,,,,,242,"2,560.00",10.58,,,
,,2010 - 2011,,,,,,,241,"2,656.00",11.02,,,
,,2011 - 2012,,,,,,,278,"3,683.00",13.25,,,
,,2012 - 2013,,,,,,,302,"4,305.00",14.25,,,
,,2013 - 2014,,,,,,,339,"5,142.00",15.17,,,
,,2015 - 2016,,,,,,,834,"25,020.00",30,,,
,,2016 - 2017,,,,,,,690,"20,700.00",30,,,
,,2017 - 2018,,,,,,,830,"28,150.00",33.92,,,
,,2018 - 2019,,,,,,,731,"25,585.00",35,,,
,,2019 - 2020,,,,,,,750,"26,250.00",35,,,
,25. Katni,2000 - 2001,,,,,,,240,"4,028.00",16.78,,,
,,2001 - 2002,,,,,,,275,"5,056.00",18.39,,,
,,2002 - 2003,,,,,,,306,"7,641.00",24.97,,,
,,2003 - 2004,,,,,,,332,"5,108.00",15.39,,,
,,2004 - 2005,,,,,,,417,"8,164.00",19.58,,,
,,2005 - 2006,,,,,,,474,"7,485.00",15.79,,,
,,2006 - 2007,,,,,,,445,"12,188.00",27.39,,,
,,2007 - 2008,,,,,,,450,"4,585.00",10.19,,,
,,2008 - 2009,,,,,,,480,"6,118.00",12.75,,,
,,2009 - 2010,,,,,,,549,"7,662.00",13.96,,,
,,2010 - 2011,,,,,,,546,"6,796.00",12.45,,,
,,2011 - 2012,,,,,,,556,"9,551.00",17.18,,,
,,2012 - 2013,,,,,,,958,"18,450.00",19.26,,,
,,2013 - 2014,,,,,,,"1,007.00","26,564.00",26.38,,,
,,2015 - 2016,,,,,,,"1,616.00","29,400.00",18.19,,,
,,2016 - 2017,,,,,,,"1,625.00","41,925.00",25.8,,,
,,2017 - 2018,,,,,,,"1,625.70","41,943.06",25.8,,,
,,2018 - 2019,,,,,,,"1,633.70","42,149.46",25.8,,,
,,2019 - 2020,,,,,,,"1,637.00","42,247.50",25.81,,,
,26. Khandwa,2000 - 2001,,,,,,,"2,225.00","42,468.00",19.09,,,
,,2001 - 2002,,,,,,,"3,104.00","65,740.00",21.18,,,
,,2002 - 2003,,,,,,,"3,551.00","87,827.00",24.73,,,
,,2003 - 2004,,,,,,,"3,872.00","72,273.00",18.67,,,
,,2004 - 2005,,,,,,,"4,656.00","1,15,388.00",24.78,,,
,,2005 - 2006,,,,,,,"5,568.00","1,45,552.00",26.14,,,
,,2006 - 2007,,,,,,,"5,110.00","1,56,764.00",30.68,,,
,,2007 - 2008,,,,,,,"5,557.00","1,68,546.00",30.33,,,
,,2008 - 2009,,,,,,,"5,447.00","1,67,673.00",30.78,,,
,,2009 - 2010,,,,,,,"6,374.00","2,03,329.00",31.9,,,
,,2010 - 2011,,,,,,,"7,560.00","2,20,071.00",29.11,,,
,,2011 - 2012,,,,,,,"7,801.00","2,42,647.00",31.1,,,
,,2012 - 2013,,,,,,,"7,742.00","2,39,096.00",30.88,,,
,,2013 - 2014,,,,,,,"7,312.00","2,94,729.00",40.31,,,
,,2015 - 2016,,,,,,,"7,180.00","1,72,320.00",24,,,
,,2016 - 2017,,,,,,,"8,750.00","2,18,750.00",25,,,
,,2017 - 2018,,,,,,,"8,447.00","2,11,175.00",25,,,
,,2018 - 2019,,,,,,,"6,419.00","1,30,000.00",20.25,,,
,,2019 - 2020,,,,,,,"7,077.00","1,43,325.00",20.25,,,
,27. Khargone,2000 - 2001,,,,,,,359,"2,858.00",7.96,,,
,,2001 - 2002,,,,,,,412,"3,527.00",8.56,,,
,,2002 - 2003,,,,,,,651,"5,722.00",8.79,,,
,,2003 - 2004,,,,,,,759,"5,538.00",7.3,,,
,,2004 - 2005,,,,,,,791,"6,478.00",8.19,,,
,,2005 - 2006,,,,,,,733,"5,207.00",7.1,,,
,,2006 - 2007,,,,,,,900,"7,523.00",8.36,,,
,,2007 - 2008,,,,,,,"1,050.00","8,207.00",7.82,,,
,,2008 - 2009,,,,,,,510,"3,140.00",6.16,,,
,,2009 - 2010,,,,,,,"1,005.00","6,412.00",6.38,,,
,,2010 - 2011,,,,,,,"1,192.00","9,396.00",7.88,,,
,,2011 - 2012,,,,,,,887,"6,592.00",7.43,,,
,,2012 - 2013,,,,,,,"1,113.00","11,633.00",10.45,,,
,,2013 - 2014,,,,,,,"1,519.00","5,962.00",3.92,,,
,,2015 - 2016,,,,,,,"3,422.00","82,128.00",24,,,
,,2016 - 2017,,,,,,,"1,775.00","44,375.00",25,,,
,,2017 - 2018,,,,,,,"2,512.00","62,800.00",25,,,
,,2018 - 2019,,,,,,,"2,528.00","63,200.00",25,,,
,,2019 - 2020,,,,,,,"3,164.00","79,100.00",25,,,
,28. Mandla,2000 - 2001,,,,,,,176,"2,587.00",14.7,,,
,,2001 - 2002,,,,,,,175,"2,573.00",14.7,,,
,,2002 - 2003,,,,,,,193,"2,727.00",14.13,,,
,,2003 - 2004,,,,,,,221,"3,363.00",15.22,,,
,,2004 - 2005,,,,,,,230,"4,077.00",17.73,,,
,,2005 - 2006,,,,,,,243,"3,444.00",14.17,,,
,,2006 - 2007,,,,,,,250,"3,271.00",13.08,,,
,,2007 - 2008,,,,,,,278,"3,147.00",11.32,,,
,,2008 - 2009,,,,,,,264,"3,249.00",12.31,,,
,,2009 - 2010,,,,,,,243,"2,841.00",11.69,,,
,,2010 - 2011,,,,,,,222,"3,150.00",14.19,,,
,,2011 - 2012,,,,,,,277,"3,538.00",12.77,,,
,,2012 - 2013,,,,,,,397,"5,293.00",13.33,,,
,,2013 - 2014,,,,,,,368,"6,732.00",18.29,,,
,,2015 - 2016,,,,,,,65.8,"1,495.76",22.73,,,
,,2016 - 2017,,,,,,,67.68,"1,529.66",22.6,,,
,,2017 - 2018,,,,,,,184.5,"4,180.68",22.66,,,
,,2018 - 2019,,,,,,,230,"5,253.76",22.84,,,
,,2019 - 2020,,,,,,,242.65,"5,567.07",22.94,,,
,29. Mandsaur,2000 - 2001,,,,,,,237,"2,296.00",9.69,,,
,,2001 - 2002,,,,,,,292,"2,880.00",9.86,,,
,,2002 - 2003,,,,,,,369,"2,797.00",7.58,,,
,,2003 - 2004,,,,,,,294,"2,694.00",9.16,,,
,,2004 - 2005,,,,,,,572,"6,005.00",10.5,,,
,,2005 - 2006,,,,,,,333,"3,289.00",9.88,,,
,,2006 - 2007,,,,,,,419,"4,939.00",11.79,,,
,,2007 - 2008,,,,,,,594,"5,884.00",9.91,,,
,,2008 - 2009,,,,,,,414,"3,673.00",8.87,,,
,,2009 - 2010,,,,,,,577,"5,746.00",9.96,,,
,,2010 - 2011,,,,,,,708,"7,972.00",11.26,,,
,,2011 - 2012,,,,,,,965,"18,508.00",19.18,,,
,,2012 - 2013,,,,,,,958,"20,233.00",21.12,,,
,,2013 - 2014,,,,,,,"1,292.00","25,085.00",19.42,,,
,,2015 - 2016,,,,,,,"4,025.00","80,500.00",20,,,
,,2016 - 2017,,,,,,,"3,777.00","77,010.00",20.39,,,
,,2017 - 2018,,,,,,,"2,620.00","52,400.00",20,,,
,,2018 - 2019,,,,,,,"2,642.00","52,840.00",20,,,
,,2019 - 2020,,,,,,,"2,749.00","54,980.00",20,,,
,30. Morena,2000 - 2001,,,,,,,65,560,8.62,,,
,,2001 - 2002,,,,,,,65,540,8.31,,,
,,2002 - 2003,,,,,,,43,257,5.98,,,
,,2003 - 2004,,,,,,,22,155,7.05,,,
,,2004 - 2005,,,,,,,14,129,9.21,,,
,,2005 - 2006,,,,,,,45,368,8.18,,,
,,2006 - 2007,,,,,,,42,334,7.95,,,
,,2007 - 2008,,,,,,,49,253,5.16,,,
,,2008 - 2009,,,,,,,49,257,5.24,,,
,,2009 - 2010,,,,,,,91,659,7.24,,,
,,2010 - 2011,,,,,,,117,743,6.35,,,
,,2011 - 2012,,,,,,,146,707,4.84,,,
,,2012 - 2013,,,,,,,81,612,7.56,,,
,,2013 - 2014,,,,,,,111,831,7.49,,,
,,2015 - 2016,,,,,,,302,"6,116.00",20.25,,,
,,2016 - 2017,,,,,,,310,"6,355.00",20.5,,,
,,2017 - 2018,,,,,,,320,"6,594.00",20.61,,,
,,2018 - 2019,,,,,,,330,"6,810.00",20.64,,,
,,2019 - 2020,,,,,,,333,"6,890.00",20.69,,,
,31. Narsinghpur,2000 - 2001,,,,,,,586,"11,879.00",20.27,,,
,,2001 - 2002,,,,,,,602,"12,213.00",20.29,,,
,,2002 - 2003,,,,,,,595,"11,119.00",18.69,,,
,,2003 - 2004,,,,,,,592,"10,649.00",17.99,,,
,,2004 - 2005,,,,,,,703,"14,729.00",20.95,,,
,,2005 - 2006,,,,,,,711,"15,431.00",21.7,,,
,,2006 - 2007,,,,,,,664,"14,497.00",21.83,,,
,,2007 - 2008,,,,,,,700,"13,221.00",18.89,,,
,,2008 - 2009,,,,,,,664,"12,551.00",18.9,,,
,,2009 - 2010,,,,,,,738,"14,384.00",19.49,,,
,,2010 - 2011,,,,,,,862,"19,983.00",23.18,,,
,,2011 - 2012,,,,,,,875,"23,201.00",26.52,,,
,,2012 - 2013,,,,,,,"1,058.00","22,722.00",21.48,,,
,,2013 - 2014,,,,,,,"2,272.00","61,311.00",26.99,,,
,,2015 - 2016,,,,,,,"1,472.18","25,432.86",17.28,,,
,,2016 - 2017,,,,,,,"1,507.00","29,604.00",19.64,,,
,,2017 - 2018,,,,,,,"1,704.00","33,858.00",19.87,,,
,,2018 - 2019,,,,,,,"1,787.00","34,622.50",19.37,,,
,,2019 - 2020,,,,,,,"1,817.00","35,451.31",19.51,,,
,32. Neemuch,2000 - 2001,,,,,,,162,"1,969.00",12.15,,,
,,2001 - 2002,,,,,,,291,"3,588.00",12.33,,,
,,2002 - 2003,,,,,,,272,"3,049.00",11.21,,,
,,2003 - 2004,,,,,,,350,"3,724.00",10.64,,,
,,2004 - 2005,,,,,,,356,"4,717.00",13.25,,,
,,2005 - 2006,,,,,,,369,"4,102.00",11.12,,,
,,2006 - 2007,,,,,,,374,"4,960.00",13.26,,,
,,2007 - 2008,,,,,,,592,"6,597.00",11.14,,,
,,2008 - 2009,,,,,,,392,"3,912.00",9.98,,,
,,2009 - 2010,,,,,,,457,"5,121.00",11.21,,,
,,2010 - 2011,,,,,,,843,"8,519.00",10.11,,,
,,2011 - 2012,,,,,,,919,"13,170.00",14.33,,,
,,2012 - 2013,,,,,,,954,"22,688.00",23.78,,,
,,2013 - 2014,,,,,,,"1,239.00","15,050.00",12.15,,,
,,2015 - 2016,,,,,,,"3,105.00","62,151.00",20.02,,,
,,2016 - 2017,,,,,,,"3,200.00","64,400.00",20.13,,,
,,2017 - 2018,,,,,,,"3,328.00","66,560.00",20,,,
,,2018 - 2019,,,,,,,"3,350.00","67,000.00",20,,,
,,2019 - 2020,,,,,,,"3,450.00","69,000.00",20,,,
,33. Panna,2000 - 2001,,,,,,,338,"2,703.00",8,,,
,,2001 - 2002,,,,,,,343,"2,802.00",8.17,,,
,,2002 - 2003,,,,,,,371,"2,910.00",7.84,,,
,,2003 - 2004,,,,,,,342,"2,955.00",8.64,,,
,,2004 - 2005,,,,,,,355,"2,680.00",7.55,,,
,,2005 - 2006,,,,,,,459,"3,846.00",8.38,,,
,,2006 - 2007,,,,,,,359,"3,026.00",8.43,,,
,,2007 - 2008,,,,,,,283,"2,062.00",7.29,,,
,,2008 - 2009,,,,,,,490,"3,626.00",7.4,,,
,,2009 - 2010,,,,,,,604,"4,631.00",7.67,,,
,,2010 - 2011,,,,,,,627,"3,979.00",6.35,,,
,,2011 - 2012,,,,,,,838,"5,682.00",6.78,,,
,,2012 - 2013,,,,,,,839,"8,246.00",9.83,,,
,,2013 - 2014,,,,,,,817,"18,989.00",23.24,,,
,,2015 - 2016,,,,,,,"1,278.20","22,383.00",17.51,,,
,,2016 - 2017,,,,,,,"1,305.00","22,855.87",17.51,,,
,,2017 - 2018,,,,,,,"1,310.00","22,942.00",17.51,,,
,,2018 - 2019,,,,,,,"1,310.00","22,942.00",17.51,,,
,,2019 - 2020,,,,,,,"1,332.00","23,326.00",17.51,,,
,34. Raisen,2000 - 2001,,,,,,,255,"3,075.00",12.06,,,
,,2001 - 2002,,,,,,,294,"3,550.00",12.07,,,
,,2002 - 2003,,,,,,,309,"3,583.00",11.6,,,
,,2003 - 2004,,,,,,,458,"5,422.00",11.84,,,
,,2004 - 2005,,,,,,,452,"6,233.00",13.79,,,
,,2005 - 2006,,,,,,,542,"7,227.00",13.33,,,
,,2006 - 2007,,,,,,,490,"7,665.00",15.64,,,
,,2007 - 2008,,,,,,,396,"4,594.00",11.6,,,
,,2008 - 2009,,,,,,,395,"4,652.00",11.78,,,
,,2009 - 2010,,,,,,,452,"6,433.00",14.23,,,
,,2010 - 2011,,,,,,,395,"5,620.00",14.23,,,
,,2011 - 2012,,,,,,,452,"9,373.00",20.74,,,
,,2012 - 2013,,,,,,,585,"9,368.00",16.01,,,
,,2013 - 2014,,,,,,,558,"8,943.00",16.03,,,
,,2015 - 2016,,,,,,,678,"16,450.00",24.26,,,
,,2016 - 2017,,,,,,,470,"12,300.00",26.17,,,
,,2017 - 2018,,,,,,,510,"12,600.00",24.71,,,
,,2018 - 2019,,,,,,,540,"13,284.00",24.6,,,
,,2019 - 2020,,,,,,,546,"13,377.00",24.5,,,
,35. Rajgarh,2000 - 2001,,,,,,,438,"4,505.00",10.29,,,
,,2001 - 2002,,,,,,,716,"6,084.00",8.5,,,
,,2002 - 2003,,,,,,,496,"4,125.00",8.32,,,
,,2003 - 2004,,,,,,,"1,080.00","11,580.00",10.72,,,
,,2004 - 2005,,,,,,,"1,367.00","17,772.00",13,,,
,,2005 - 2006,,,,,,,"1,216.00","14,063.00",11.56,,,
,,2006 - 2007,,,,,,,"1,407.00","17,059.00",12.12,,,
,,2007 - 2008,,,,,,,"1,568.00","16,447.00",10.49,,,
,,2008 - 2009,,,,,,,"1,412.00","15,437.00",10.93,,,
,,2009 - 2010,,,,,,,"1,822.00","21,458.00",11.78,,,
,,2010 - 2011,,,,,,,"1,799.00","24,856.00",13.82,,,
,,2011 - 2012,,,,,,,"2,332.00","36,724.00",15.75,,,
,,2012 - 2013,,,,,,,"2,384.00","46,594.00",19.54,,,
,,2013 - 2014,,,,,,,"2,682.00","36,514.00",13.61,,,
,,2015 - 2016,,,,,,,"7,675.00","1,18,880.00",15.49,,,
,,2016 - 2017,,,,,,,"5,050.00","1,02,010.00",20.2,,,
,,2017 - 2018,,,,,,,"5,468.00","1,10,454.00",20.2,,,
,,2018 - 2019,,,,,,,"5,788.00","1,16,918.00",20.2,,,
,,2019 - 2020,,,,,,,"9,537.00","1,92,647.00",20.2,,,
,36. Ratlam,2000 - 2001,,,,,,,538,"14,459.00",26.88,,,
,,2001 - 2002,,,,,,,522,"14,040.00",26.9,,,
,,2002 - 2003,,,,,,,482,"14,234.00",29.53,,,
,,2003 - 2004,,,,,,,789,"22,619.00",28.67,,,
,,2004 - 2005,,,,,,,692,"22,272.00",32.18,,,
,,2005 - 2006,,,,,,,704,"17,567.00",24.95,,,
,,2006 - 2007,,,,,,,943,"28,084.00",29.78,,,
,,2007 - 2008,,,,,,,"1,189.00","30,196.00",25.4,,,
,,2008 - 2009,,,,,,,"1,154.00","34,485.00",29.88,,,
,,2009 - 2010,,,,,,,"1,417.00","43,880.00",30.97,,,
,,2010 - 2011,,,,,,,"1,340.00","42,209.00",31.5,,,
,,2011 - 2012,,,,,,,"1,697.00","82,778.00",48.78,,,
,,2012 - 2013,,,,,,,"1,651.00","79,960.00",48.43,,,
,,2013 - 2014,,,,,,,"2,156.00","54,547.00",25.3,,,
,,2015 - 2016,,,,,,,"7,643.00","1,26,493.00",16.55,,,
,,2016 - 2017,,,,,,,"7,900.00","1,55,936.00",19.74,,,
,,2017 - 2018,,,,,,,"7,290.00","1,45,500.00",19.96,,,
,,2018 - 2019,,,,,,,"5,850.00","1,46,250.00",25,,,
,,2019 - 2020,,,,,,,"7,027.00","1,75,675.00",25,,,
,37. Rewa,2000 - 2001,,,,,,,643,"5,335.00",8.3,,,
,,2001 - 2002,,,,,,,754,"6,159.00",8.17,,,
,,2002 - 2003,,,,,,,752,"5,214.00",6.93,,,
,,2003 - 2004,,,,,,,807,"5,235.00",6.49,,,
