State,District,Year,Niger seed,,,,,,,,,,,
,,2005 - 2006,,,,9,1,0.11,,,,,,
,,2006 - 2007,,,,8,1,0.13,,,,,,
,,2007 - 2008,,,,13,1,0.08,,,,,,
,,2008 - 2009,,,,11,1,0.09,,,,,,
,,2009 - 2010,,,,,,,,,,12,2,0.17
,,2010 - 2011,,,,15,2,0.13,,,,,,
,,2011 - 2012,,,,13,1,0.08,,,,,,
,,2012 - 2013,,,,11,1,0.09,,,,,,
,,2013 - 2014,,,,14,3,0.21,,,,,,
,,2018 - 2019,,,,17,3,0.18,,,,,,
,,2019 - 2020,,,,5,1,0.2,,,,,,
,34. Sagar,2000 - 2001,,,,563,109,0.19,,,,,,
,,2001 - 2002,,,,489,85,0.17,,,,,,
,,2002 - 2003,,,,355,46,0.13,,,,,,
,,2003 - 2004,,,,392,82,0.21,,,,,,
,,2004 - 2005,,,,458,88,0.19,,,,,,
,,2005 - 2006,,,,545,109,0.2,,,,,,
,,2006 - 2007,,,,332,60,0.18,,,,,,
,,2007 - 2008,,,,540,107,0.2,,,,,,
,,2008 - 2009,,,,210,36,0.17,,,,,,
,,2009 - 2010,,,,,,,,,,169,43,0.25
,,2010 - 2011,,,,116,25,0.22,,,,,,
,,2011 - 2012,,,,212,27,0.13,,,,,,
,,2012 - 2013,,,,130,55,0.42,,,,,,
,,2013 - 2014,,,,"1,104.00",242,0.22,,,,,,
,,2018 - 2019,,,,7,4,0.57,,,,,,
,,2019 - 2020,,,,15,9,0.6,,,,,,
,35. Satna,2001 - 2002,,,,1,0.01,0.01,,,,,,
,,2002 - 2003,,,,1,0.01,0.01,,,,,,
,,2004 - 2005,,,,2,,0,,,,,,
,,2005 - 2006,,,,4,1,0.25,,,,,,
,,2006 - 2007,,,,28,5,0.18,,,,,,
,,2007 - 2008,,,,28,4,0.14,,,,,,
,,2008 - 2009,,,,47,9,0.19,,,,,,
,,2009 - 2010,,,,,,,,,,17,3,0.18
,,2011 - 2012,,,,2,,0,,,,,,
,,2015 - 2016,,,,"1,000.00",0,0,,,,,,
,,2016 - 2017,,,,"1,000.00",,0,,,,,,
,,2017 - 2018,,,,"1,580.00",730,0.46,,,,,,
,,2018 - 2019,,,,9,2,0.22,,,,,,
,,2019 - 2020,,,,3,,0,,,,,,
,36. Seoni,2000 - 2001,,,,"12,455.00","1,801.00",0.14,,,,,,
,,2001 - 2002,,,,"12,587.00","2,730.00",0.22,,,,,,
,,2002 - 2003,,,,"10,954.00","1,781.00",0.16,,,,,,
,,2003 - 2004,,,,"10,153.00","2,275.00",0.22,,,,,,
,,2004 - 2005,,,,"9,203.00","1,929.00",0.21,,,,,,
,,2005 - 2006,,,,"9,197.00","1,662.00",0.18,,,,,,
,,2006 - 2007,,,,"8,408.00","1,823.00",0.22,,,,,,
,,2007 - 2008,,,,"7,753.00","1,681.00",0.22,,,,,,
,,2008 - 2009,,,,"7,239.00","1,570.00",0.22,,,,,,
,,2009 - 2010,,,,,,,,,,"6,806.00","1,476.00",0.22
,,2010 - 2011,,,,"6,158.00","1,335.00",0.22,,,,,,
,,2011 - 2012,,,,"5,506.00",836,0.15,,,,,,
,,2012 - 2013,,,,"4,940.00",524,0.11,,,,,,
,,2013 - 2014,,,,"4,481.00",972,0.22,,,,,,
,,2014 - 2015,,,,"4,000.00","1,000.00",0.25,,,,,,
,,2017 - 2018,,,,"1,460.00",510,0.35,,,,,,
,,2018 - 2019,,,,46,22,0.48,,,,,,
,,2019 - 2020,,,,9,2,0.22,,,,,,
,,2020 - 2021,,,,37,19,0.51,,,,,,
,,2022 - 2023,,,,600,200,0.33,,,,,,
,37. Shahdol,2000 - 2001,,,,"11,855.00","2,764.00",0.23,,,,,,
,,2001 - 2002,,,,"12,942.00","3,688.00",0.28,,,,,,
,,2002 - 2003,,,,"11,935.00","3,153.00",0.26,,,,,,
,,2003 - 2004,,,,524,149,0.28,,,,,,
,,2004 - 2005,,,,667,159,0.24,,,,,,
,,2005 - 2006,,,,628,195,0.31,,,,,,
,,2006 - 2007,,,,506,151,0.3,,,,,,
,,2007 - 2008,,,,558,161,0.29,,,,,,
,,2008 - 2009,,,,477,145,0.3,,,,,,
,,2009 - 2010,,,,,,,,,,463,154,0.33
,,2010 - 2011,,,,516,172,0.33,,,,,,
,,2011 - 2012,,,,386,86,0.22,,,,,,
,,2012 - 2013,,,,416,205,0.49,,,,,,
,,2013 - 2014,,,,478,347,0.73,,,,,,
,,2014 - 2015,,,,"2,000.00","1,000.00",0.5,,,,,,
,,2015 - 2016,,,,"1,000.00",591,0.59,,,,,,
,,2016 - 2017,,,,"1,000.00",591,0.59,,,,,,
,,2017 - 2018,,,,"1,400.00",850,0.61,,,,,,
,,2018 - 2019,,,,41,19,0.46,,,,,,
,,2019 - 2020,,,,10,6,0.6,,,,,,
,,2020 - 2021,,,,12,8,0.67,,,,,,
,,2022 - 2023,,,,600,222,0.37,,,,,,
,38. Shajapur,2005 - 2006,,,,2,,0,,,,,,
,,2018 - 2019,,,,8,2,0.25,,,,,,
,39. Sheopur,2002 - 2003,,,,2,0.01,0.01,,,,,,
,,2017 - 2018,,,,"1,100.00",290,0.26,,,,,,
,,2019 - 2020,,,,4,1,0.25,,,,,,
,40. Shivpuri,2000 - 2001,,,,134,28,0.21,,,,,,
,,2001 - 2002,,,,103,22,0.21,,,,,,
,,2002 - 2003,,,,30,1,0.03,,,,,,
,,2003 - 2004,,,,28,7,0.25,,,,,,
,,2004 - 2005,,,,8,2,0.25,,,,,,
,,2005 - 2006,,,,6,1,0.17,,,,,,
,,2006 - 2007,,,,13,3,0.23,,,,,,
,,2007 - 2008,,,,16,4,0.25,,,,,,
,,2008 - 2009,,,,5,1,0.2,,,,,,
,,2009 - 2010,,,,,,,,,,3,1,0.33
,,2017 - 2018,,,,"9,840.00","3,000.00",0.3,,,,,,
,,2018 - 2019,,,,57,13,0.23,,,,,,
,,2019 - 2020,,,,4,1,0.25,,,,,,
,41. Sidhi,2000 - 2001,,,,"3,231.00","1,280.00",0.4,,,,,,
,,2001 - 2002,,,,"2,976.00","1,255.00",0.42,,,,,,
,,2002 - 2003,,,,"2,457.00",953,0.39,,,,,,
,,2003 - 2004,,,,"2,685.00","1,132.00",0.42,,,,,,
,,2004 - 2005,,,,"2,380.00","1,003.00",0.42,,,,,,
,,2005 - 2006,,,,"2,503.00","1,035.00",0.41,,,,,,
,,2006 - 2007,,,,"2,696.00","1,115.00",0.41,,,,,,
,,2007 - 2008,,,,"2,422.00","1,021.00",0.42,,,,,,
,,2008 - 2009,,,,116,50,0.43,,,,,,
,,2009 - 2010,,,,,,,,,,108,47,0.44
,,2010 - 2011,,,,34,14,0.41,,,,,,
,,2011 - 2012,,,,52,14,0.27,,,,,,
,,2012 - 2013,,,,36,11,0.31,,,,,,
,,2013 - 2014,,,,44,17,0.39,,,,,,
,,2017 - 2018,,,,300,170,0.57,,,,,,
,,2020 - 2021,,,,4,2,0.5,,,,,,
,42. Singrauli,2008 - 2009,,,,"2,350.00","1,010.00",0.43,,,,,,
,,2009 - 2010,,,,,,,,,,"2,071.00","1,136.00",0.55
,,2010 - 2011,,,,"1,999.00",843,0.42,,,,,,
,,2011 - 2012,,,,"1,913.00",621,0.32,,,,,,
,,2012 - 2013,,,,"1,791.00","1,058.00",0.59,,,,,,
,,2013 - 2014,,,,"1,762.00","1,185.00",0.67,,,,,,
,,2014 - 2015,,,,"2,000.00","1,000.00",0.5,,,,,,
,,2017 - 2018,,,,"1,700.00",730,0.43,,,,,,
,,2018 - 2019,,,,68,30,0.44,,,,,,
,,2019 - 2020,,,,25,14,0.56,,,,,,
,,2020 - 2021,,,,27,13,0.48,,,,,,
,43. Tikamgarh,2018 - 2019,,,,35,12,0.34,,,,,,
,,2019 - 2020,,,,5,2,0.4,,,,,,
,44. Ujjain,2001 - 2002,,,,1,0.01,0.01,,,,,,
,,2018 - 2019,,,,5,1,0.2,,,,,,
,45. Umaria,2000 - 2001,,,,"1,952.00",455,0.23,,,,,,
,,2001 - 2002,,,,"2,100.00",544,0.26,,,,,,
,,2002 - 2003,,,,"1,964.00",488,0.25,,,,,,
,,2003 - 2004,,,,"2,144.00",566,0.26,,,,,,
,,2004 - 2005,,,,"2,004.00",519,0.26,,,,,,
,,2005 - 2006,,,,"1,949.00",555,0.28,,,,,,
,,2006 - 2007,,,,"1,894.00",491,0.26,,,,,,
,,2007 - 2008,,,,"1,931.00",430,0.22,,,,,,
,,2008 - 2009,,,,"1,680.00",443,0.26,,,,,,
,,2009 - 2010,,,,,,,,,,"1,648.00",478,0.29
,,2010 - 2011,,,,"1,410.00",409,0.29,,,,,,
,,2011 - 2012,,,,"1,451.00",283,0.2,,,,,,
,,2012 - 2013,,,,"1,391.00",468,0.34,,,,,,
,,2013 - 2014,,,,"1,199.00",422,0.35,,,,,,
,,2014 - 2015,,,,"2,000.00","1,000.00",0.5,,,,,,
,,2015 - 2016,,,,"13,000.00","3,000.00",0.23,,,,,,
,,2016 - 2017,,,,"13,000.00","5,000.00",0.38,,,,,,
,,2017 - 2018,,,,500,180,0.36,,,,,,
,,2018 - 2019,,,,608,290,0.48,,,,,,
,,2019 - 2020,,,,305,119,0.39,,,,,,
,,2020 - 2021,,,,610,268,0.44,,,,,,
,,2022 - 2023,,,,200,74,0.37,,,,,,
,46. Vidisha,2000 - 2001,,,,32,6,0.19,,,,,,
,,2002 - 2003,,,,68,10,0.15,,,,,,
,,2003 - 2004,,,,12,2,0.17,,,,,,
,,2004 - 2005,,,,65,11,0.17,,,,,,
,,2005 - 2006,,,,24,5,0.21,,,,,,
,,2006 - 2007,,,,11,2,0.18,,,,,,
,,2007 - 2008,,,,5,1,0.2,,,,,,
,,2009 - 2010,,,,,,,,,,5,1,0.2
8. Maharashtra,1. Ahilyanagar,2000 - 2001,,,,"2,300.00",600,0.26,,,,,,
,,2001 - 2002,,,,"2,200.00",400,0.18,,,,,,
,,2002 - 2003,,,,"2,600.00",700,0.27,,,,,,
,,2003 - 2004,,,,"2,100.00",600,0.29,,,,,,
,,2004 - 2005,,,,"2,500.00",800,0.32,,,,,,
,,2005 - 2006,,,,"2,300.00",700,0.3,,,,,,
,,2006 - 2007,,,,"2,700.00",700,0.26,,,,,,
,,2007 - 2008,,,,"2,900.00",800,0.28,,,,,,
,,2008 - 2009,,,,"1,400.00",400,0.29,,,,,,
,,2009 - 2010,,,,"1,900.00",500,0.26,,,,,,
,,2010 - 2011,,,,"1,900.00",700,0.37,,,,,,
,,2011 - 2012,,,,"1,900.00",700,0.37,,,,,,
,,2012 - 2013,,,,"2,000.00",700,0.35,,,,,,
,,2013 - 2014,,,,"2,000.00",700,0.35,,,,,,
,,2014 - 2015,,,,"1,500.00",400,0.27,,,,,,
,,2015 - 2016,,,,400,100,0.25,,,,,,
,,2016 - 2017,,,,386,65,0.17,,,,,,
,,2017 - 2018,,,,421,62,0.15,,,,,,
,,2018 - 2019,,,,440,79,0.18,,,,,,
,,2019 - 2020,,,,683,102,0.15,,,,,,
,,2020 - 2021,,,,766.43,325.66,0.42,,,,,,
,,2021 - 2022,,,,794.51,135.94,0.17,,,,,,
,,2022 - 2023,,,,84.22,38.41,0.46,,,,,,
,2. Akola,2019 - 2020,,,,20,3,0.15,,,,,,
,3. Beed,2000 - 2001,,,,"2,700.00",500,0.19,,,,,,
,,2001 - 2002,,,,"2,200.00",400,0.18,,,,,,
,,2002 - 2003,,,,"2,100.00",500,0.24,,,,,,
,,2003 - 2004,,,,"1,700.00",300,0.18,,,,,,
,,2004 - 2005,,,,"2,000.00",400,0.2,,,,,,
,,2005 - 2006,,,,"2,000.00",400,0.2,,,,,,
,,2006 - 2007,,,,"2,000.00",400,0.2,,,,,,
,,2007 - 2008,,,,"1,600.00",300,0.19,,,,,,
,,2008 - 2009,,,,800,100,0.13,,,,,,
,,2009 - 2010,,,,800,100,0.13,,,,,,
,,2010 - 2011,,,,800,200,0.25,,,,,,
,,2011 - 2012,,,,600,100,0.17,,,,,,
,,2012 - 2013,,,,600,100,0.17,,,,,,
,,2013 - 2014,,,,600,200,0.33,,,,,,
,,2014 - 2015,,,,800,100,0.13,,,,,,
,,2015 - 2016,,,,700,27,0.04,,,,,,
,,2016 - 2017,,,,658,108,0.16,,,,,,
,,2017 - 2018,,,,653,60,0.09,,,,,,
,,2018 - 2019,,,,214,11,0.05,,,,,,
,,2019 - 2020,,,,365,27,0.07,,,,,,
,,2020 - 2021,,,,259.41,9.55,0.04,,,,,,
,,2021 - 2022,,,,111.04,13.15,0.12,,,,,,
,,2022 - 2023,,,,110,27.78,0.25,,,,,,
,4. Buldhana,2016 - 2017,,,,"1,612.00",201,0.12,,,,,,
,,2017 - 2018,,,,"1,158.00",152,0.13,,,,,,
,,2018 - 2019,,,,254,16,0.06,,,,,,
,5. Chhatrapati Sambhajinagar,2000 - 2001,,,,700,100,0.14,,,,,,
,,2001 - 2002,,,,400,100,0.25,,,,,,
,,2002 - 2003,,,,400,100,0.25,,,,,,
,,2003 - 2004,,,,400,100,0.25,,,,,,
,,2004 - 2005,,,,400,100,0.25,,,,,,
,,2005 - 2006,,,,400,100,0.25,,,,,,
,,2006 - 2007,,,,400,100,0.25,,,,,,
,,2007 - 2008,,,,200,100,0.5,,,,,,
,,2008 - 2009,,,,100,100,1,,,,,,
,,2009 - 2010,,,,100,,0,,,,,,
,,2010 - 2011,,,,100,,0,,,,,,
,,2011 - 2012,,,,100,20,0.2,,,,,,
,,2012 - 2013,,,,100,20,0.2,,,,,,
,,2013 - 2014,,,,100,,0,,,,,,
,,2014 - 2015,,,,100,,0,,,,,,
,,2015 - 2016,,,,100,5,0.05,,,,,,
,,2016 - 2017,,,,74,12,0.16,,,,,,
,,2019 - 2020,,,,3,,0,,,,,,
,,2020 - 2021,,,,3.6,0.13,0.04,,,,,,
,,2021 - 2022,,,,3.6,0.43,0.12,,,,,,
,6. Dharashiv,2000 - 2001,,,,"6,700.00","2,200.00",0.33,,,,,,
,,2001 - 2002,,,,"4,500.00",900,0.2,,,,,,
,,2002 - 2003,,,,"5,100.00","1,600.00",0.31,,,,,,
,,2003 - 2004,,,,"5,700.00","2,100.00",0.37,,,,,,
,,2004 - 2005,,,,"6,400.00","2,100.00",0.33,,,,,,
,,2005 - 2006,,,,"6,100.00","1,400.00",0.23,,,,,,
,,2006 - 2007,,,,"6,100.00","1,300.00",0.21,,,,,,
,,2007 - 2008,,,,"4,500.00","1,400.00",0.31,,,,,,
,,2008 - 2009,,,,"2,100.00",500,0.24,,,,,,
,,2009 - 2010,,,,"2,000.00",500,0.25,,,,,,
,,2010 - 2011,,,,"4,600.00","1,200.00",0.26,,,,,,
,,2011 - 2012,,,,"4,200.00","1,100.00",0.26,,,,,,
,,2012 - 2013,,,,"3,600.00",600,0.17,,,,,,
,,2013 - 2014,,,,"3,600.00","1,100.00",0.31,,,,,,
,,2014 - 2015,,,,"3,400.00",500,0.15,,,,,,
,,2015 - 2016,,,,"2,200.00",200,0.09,,,,,,
,,2016 - 2017,,,,"3,326.00",432,0.13,,,,,,
,,2017 - 2018,,,,"3,047.00",413,0.14,,,,,,
,,2018 - 2019,,,,"3,282.00",187,0.06,,,,,,
,,2019 - 2020,,,,960,135,0.14,,,,,,
,,2020 - 2021,,,,981.32,36.11,0.04,,,,,,
,,2021 - 2022,,,,523.72,62.01,0.12,,,,,,
,,2022 - 2023,,,,88.97,22.47,0.25,,,,,,
,7. Dhule,2000 - 2001,,,,100,100,1,,,,,,
,,2001 - 2002,,,,500,200,0.4,,,,,,
,,2002 - 2003,,,,100,100,1,,,,,,
,,2005 - 2006,,,,100,100,1,,,,,,
,,2006 - 2007,,,,100,100,1,,,,,,
,,2007 - 2008,,,,100,100,1,,,,,,
,,2008 - 2009,,,,100,100,1,,,,,,
,,2015 - 2016,,,,10,2,0.2,,,,,,
,,2017 - 2018,,,,36,9,0.25,,,,,,
,,2018 - 2019,,,,182,26,0.14,,,,,,
,,2019 - 2020,,,,255,37,0.15,,,,,,
,8. Hingoli,2000 - 2001,,,,100,10,0.1,,,,,,
,,2001 - 2002,,,,100,100,1,,,,,,
,,2002 - 2003,,,,600,100,0.17,,,,,,
,,2003 - 2004,,,,600,200,0.33,,,,,,
,,2004 - 2005,,,,600,100,0.17,,,,,,
,,2005 - 2006,,,,300,100,0.33,,,,,,
,,2006 - 2007,,,,500,100,0.2,,,,,,
,,2007 - 2008,,,,500,100,0.2,,,,,,
,,2008 - 2009,,,,500,100,0.2,,,,,,
,,2009 - 2010,,,,300,100,0.33,,,,,,
,,2010 - 2011,,,,300,100,0.33,,,,,,
,,2011 - 2012,,,,400,100,0.25,,,,,,
,,2012 - 2013,,,,300,100,0.33,,,,,,
,,2013 - 2014,,,,300,100,0.33,,,,,,
,,2014 - 2015,,,,500,100,0.2,,,,,,
,,2015 - 2016,,,,400,30,0.08,,,,,,
,,2019 - 2020,,,,404,57,0.14,,,,,,
,,2020 - 2021,,,,7,0.26,0.04,,,,,,
,9. Jalna,2000 - 2001,,,,900,200,0.22,,,,,,
,,2001 - 2002,,,,"1,000.00",200,0.2,,,,,,
,,2002 - 2003,,,,"1,100.00",300,0.27,,,,,,
,,2003 - 2004,,,,"1,200.00",200,0.17,,,,,,
,,2004 - 2005,,,,"1,100.00",200,0.18,,,,,,
,,2005 - 2006,,,,"1,000.00",200,0.2,,,,,,
,,2006 - 2007,,,,"1,100.00",200,0.18,,,,,,
,,2007 - 2008,,,,"1,100.00",200,0.18,,,,,,
,,2008 - 2009,,,,200,100,0.5,,,,,,
,,2009 - 2010,,,,400,100,0.25,,,,,,
,,2010 - 2011,,,,200,100,0.5,,,,,,
,,2011 - 2012,,,,100,20,0.2,,,,,,
,,2012 - 2013,,,,100,20,0.2,,,,,,
,,2013 - 2014,,,,100,,0,,,,,,
,,2015 - 2016,,,,20,1,0.05,,,,,,
,,2016 - 2017,,,,36,6,0.17,,,,,,
,,2017 - 2018,,,,200,19,0.1,,,,,,
,,2019 - 2020,,,,99,10,0.1,,,,,,
,,2020 - 2021,,,,104,3.83,0.04,,,,,,
,,2021 - 2022,,,,70.4,8.34,0.12,,,,,,
,,2022 - 2023,,,,104.4,26.36,0.25,,,,,,
,10. Kolhapur,2000 - 2001,,,,"2,500.00",700,0.28,,,,,,
,,2001 - 2002,,,,"2,200.00",400,0.18,,,,,,
,,2002 - 2003,,,,"2,300.00",600,0.26,,,,,,
,,2003 - 2004,,,,"2,900.00",900,0.31,,,,,,
,,2004 - 2005,,,,"2,300.00",700,0.3,,,,,,
,,2005 - 2006,,,,"1,700.00",500,0.29,,,,,,
,,2006 - 2007,,,,"1,500.00",400,0.27,,,,,,
,,2007 - 2008,,,,"1,500.00",400,0.27,,,,,,
,,2008 - 2009,,,,"1,100.00",300,0.27,,,,,,
,,2009 - 2010,,,,800,200,0.25,,,,,,
,,2010 - 2011,,,,800,300,0.38,,,,,,
,,2011 - 2012,,,,"1,500.00",500,0.33,,,,,,
,,2012 - 2013,,,,500,200,0.4,,,,,,
,,2013 - 2014,,,,500,160,0.32,,,,,,
,,2014 - 2015,,,,300,100,0.33,,,,,,
,,2015 - 2016,,,,100,30,0.3,,,,,,
,,2016 - 2017,,,,185,31,0.17,,,,,,
,,2017 - 2018,,,,242,36,0.15,,,,,,
,,2019 - 2020,,,,410,164,0.4,,,,,,
,,2020 - 2021,,,,574,243.89,0.42,,,,,,
,,2021 - 2022,,,,409.09,70,0.17,,,,,,
,,2022 - 2023,,,,388.64,177.22,0.46,,,,,,
,11. Latur,2000 - 2001,,,,"11,200.00","2,000.00",0.18,,,,,,
,,2001 - 2002,,,,"9,700.00","1,500.00",0.15,,,,,,
,,2002 - 2003,,,,"9,500.00","1,800.00",0.19,,,,,,
,,2003 - 2004,,,,"8,800.00","1,800.00",0.2,,,,,,
,,2004 - 2005,,,,"8,300.00","1,200.00",0.14,,,,,,
,,2005 - 2006,,,,"9,200.00","2,000.00",0.22,,,,,,
,,2006 - 2007,,,,"8,800.00","1,300.00",0.15,,,,,,
,,2007 - 2008,,,,"5,700.00","1,200.00",0.21,,,,,,
,,2008 - 2009,,,,"4,800.00",800,0.17,,,,,,
,,2009 - 2010,,,,"1,200.00",100,0.08,,,,,,
,,2010 - 2011,,,,"1,800.00",300,0.17,,,,,,
,,2011 - 2012,,,,"1,700.00",500,0.29,,,,,,
,,2012 - 2013,,,,"1,700.00",500,0.29,,,,,,
,,2013 - 2014,,,,"1,700.00",400,0.24,,,,,,
,,2014 - 2015,,,,"1,200.00",200,0.17,,,,,,
,,2015 - 2016,,,,"1,200.00",100,0.08,,,,,,
,,2016 - 2017,,,,"1,279.00",164,0.13,,,,,,
,,2017 - 2018,,,,921,77,0.08,,,,,,
,,2018 - 2019,,,,769,75,0.1,,,,,,
,,2019 - 2020,,,,568,153,0.27,,,,,,
,,2020 - 2021,,,,687.04,25.27,0.04,,,,,,
,,2021 - 2022,,,,567.46,67.19,0.12,,,,,,
,,2022 - 2023,,,,220.85,55.77,0.25,,,,,,
,12. Nanded,2000 - 2001,,,,"2,200.00",500,0.23,,,,,,
,,2001 - 2002,,,,"1,500.00",300,0.2,,,,,,
,,2002 - 2003,,,,"2,200.00",300,0.14,,,,,,
,,2003 - 2004,,,,"2,300.00",600,0.26,,,,,,
,,2004 - 2005,,,,"1,400.00",300,0.21,,,,,,
,,2005 - 2006,,,,"1,600.00",400,0.25,,,,,,
,,2006 - 2007,,,,"1,900.00",300,0.16,,,,,,
,,2007 - 2008,,,,"2,000.00",500,0.25,,,,,,
,,2008 - 2009,,,,"1,300.00",200,0.15,,,,,,
,,2009 - 2010,,,,900,100,0.11,,,,,,
,,2010 - 2011,,,,"1,100.00",300,0.27,,,,,,
,,2011 - 2012,,,,800,200,0.25,,,,,,
,,2012 - 2013,,,,500,100,0.2,,,,,,
,,2013 - 2014,,,,500,100,0.2,,,,,,
,,2014 - 2015,,,,400,,0,,,,,,
,,2015 - 2016,,,,400,10,0.03,,,,,,
,,2016 - 2017,,,,499,43,0.09,,,,,,
,,2017 - 2018,,,,533,37,0.07,,,,,,
,,2018 - 2019,,,,160,20,0.13,,,,,,
,,2019 - 2020,,,,167,21,0.13,,,,,,
,,2020 - 2021,,,,166.64,6.13,0.04,,,,,,
,,2021 - 2022,,,,447,52.93,0.12,,,,,,
,,2022 - 2023,,,,163.32,41.24,0.25,,,,,,
,13. Nandurbar,2000 - 2001,,,,100,10,0.1,,,,,,
,,2001 - 2002,,,,200,100,0.5,,,,,,
,,2002 - 2003,,,,100,10,0.1,,,,,,
,,2003 - 2004,,,,100,100,1,,,,,,
,,2004 - 2005,,,,100,100,1,,,,,,
,,2005 - 2006,,,,100,100,1,,,,,,
,,2008 - 2009,,,,100,100,1,,,,,,
,,2015 - 2016,,,,10,2,0.2,,,,,,
,,2017 - 2018,,,,28,7,0.25,,,,,,
,,2018 - 2019,,,,5,1,0.2,,,,,,
,14. Nashik,2000 - 2001,,,,"19,800.00","3,700.00",0.19,,,,,,
,,2001 - 2002,,,,"20,200.00","7,000.00",0.35,,,,,,
,,2002 - 2003,,,,"16,600.00","4,800.00",0.29,,,,,,
,,2003 - 2004,,,,"16,900.00","6,800.00",0.4,,,,,,
,,2004 - 2005,,,,"16,900.00","6,700.00",0.4,,,,,,
,,2005 - 2006,,,,"17,100.00","4,500.00",0.26,,,,,,
,,2006 - 2007,,,,"17,000.00","4,100.00",0.24,,,,,,
,,2007 - 2008,,,,"17,600.00","4,900.00",0.28,,,,,,
,,2008 - 2009,,,,"16,300.00","4,900.00",0.3,,,,,,
,,2009 - 2010,,,,"13,800.00","3,000.00",0.22,,,,,,
,,2010 - 2011,,,,"12,300.00","1,800.00",0.15,,,,,,
,,2011 - 2012,,,,"15,800.00","5,000.00",0.32,,,,,,
,,2012 - 2013,,,,"21,700.00","7,100.00",0.33,,,,,,
,,2013 - 2014,,,,"21,700.00","7,500.00",0.35,,,,,,
,,2014 - 2015,,,,"2,400.00",300,0.13,,,,,,
,,2015 - 2016,,,,"2,400.00",400,0.17,,,,,,
,,2016 - 2017,,,,"2,054.00",489,0.24,,,,,,
,,2017 - 2018,,,,"2,146.00",511,0.24,,,,,,
,,2018 - 2019,,,,"2,129.00",307,0.14,,,,,,
,,2019 - 2020,,,,"2,055.00",299,0.15,,,,,,
,,2020 - 2021,,,,"1,766.45",198.48,0.11,,,,,,
,,2021 - 2022,,,,"1,290.43",190.85,0.15,,,,,,
,,2022 - 2023,,,,"1,724.26",546.42,0.32,,,,,,
,15. Palghar,2014 - 2015,,,,900,100,0.11,,,,,,
,,2015 - 2016,,,,"1,300.00",200,0.15,,,,,,
,,2016 - 2017,,,,"1,536.00",366,0.24,,,,,,
,,2017 - 2018,,,,"1,491.00",357,0.24,,,,,,
,,2020 - 2021,,,,461,51.82,0.11,,,,,,
,,2021 - 2022,,,,461,78.88,0.17,,,,,,
,,2022 - 2023,,,,"1,544.82",704.46,0.46,,,,,,
,16. Parbhani,2000 - 2001,,,,"1,900.00",400,0.21,,,,,,
,,2001 - 2002,,,,"2,400.00",400,0.17,,,,,,
,,2002 - 2003,,,,"2,500.00",500,0.2,,,,,,
,,2003 - 2004,,,,"2,400.00",600,0.25,,,,,,
,,2004 - 2005,,,,"2,400.00",500,0.21,,,,,,
,,2005 - 2006,,,,"2,000.00",400,0.2,,,,,,
,,2006 - 2007,,,,"2,100.00",400,0.19,,,,,,
,,2007 - 2008,,,,"1,100.00",300,0.27,,,,,,
,,2008 - 2009,,,,"1,800.00",300,0.17,,,,,,
,,2009 - 2010,,,,"1,700.00",300,0.18,,,,,,
,,2010 - 2011,,,,"1,800.00",400,0.22,,,,,,
,,2011 - 2012,,,,"1,800.00",500,0.28,,,,,,
,,2012 - 2013,,,,"1,000.00",200,0.2,,,,,,
,,2013 - 2014,,,,"1,000.00",200,0.2,,,,,,
,,2014 - 2015,,,,"1,000.00",100,0.1,,,,,,
,,2015 - 2016,,,,200,10,0.05,,,,,,
,,2016 - 2017,,,,314,43,0.14,,,,,,
,,2017 - 2018,,,,117,15,0.13,,,,,,
,,2018 - 2019,,,,132,9,0.07,,,,,,
,,2019 - 2020,,,,78,13,0.17,,,,,,
,,2020 - 2021,,,,78.3,2.88,0.04,,,,,,
,,2021 - 2022,,,,35,4.14,0.12,,,,,,
,,2022 - 2023,,,,12,3.03,0.25,,,,,,
,17. Pune,2000 - 2001,,,,"2,100.00",600,0.29,,,,,,
,,2001 - 2002,,,,"2,100.00",400,0.19,,,,,,
,,2002 - 2003,,,,"2,100.00",500,0.24,,,,,,
,,2003 - 2004,,,,"2,000.00",600,0.3,,,,,,
,,2004 - 2005,,,,"2,200.00",700,0.32,,,,,,
,,2005 - 2006,,,,"2,400.00",800,0.33,,,,,,
,,2006 - 2007,,,,"2,600.00",700,0.27,,,,,,
,,2007 - 2008,,,,"2,100.00",600,0.29,,,,,,
,,2008 - 2009,,,,"1,800.00",500,0.28,,,,,,
,,2009 - 2010,,,,"3,000.00",800,0.27,,,,,,
,,2010 - 2011,,,,"2,000.00",700,0.35,,,,,,
,,2011 - 2012,,,,"2,000.00",700,0.35,,,,,,
,,2012 - 2013,,,,"2,600.00",900,0.35,,,,,,
,,2013 - 2014,,,,"2,600.00",700,0.27,,,,,,
,,2014 - 2015,,,,"2,300.00",600,0.26,,,,,,
,,2015 - 2016,,,,800,200,0.25,,,,,,
,,2016 - 2017,,,,887,149,0.17,,,,,,
,,2017 - 2018,,,,"1,114.00",178,0.16,,,,,,
,,2018 - 2019,,,,"1,729.00",318,0.18,,,,,,
,,2019 - 2020,,,,537,77,0.14,,,,,,
,,2020 - 2021,,,,704.74,299.42,0.42,,,,,,
,,2021 - 2022,,,,457.77,78.33,0.17,,,,,,
,,2022 - 2023,,,,399.51,182.18,0.46,,,,,,
