State,District,Year,Potato,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Winter,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,,,,,,,579,"4,790.00",8.27,,,,,,
,,2020 - 2021,,,,,,,581,"4,797.00",8.26,,,,,,
,,2021 - 2022,,,,,,,596,"4,947.00",8.3,,,,,,
,,2022 - 2023,,,,,,,604,"5,016.00",8.3,,,,,,
,16. Pakke kessang,2019 - 2020,,,,,,,51,321,6.29,,,,,,
,,2020 - 2021,,,,,,,51,327,6.41,,,,,,
,,2021 - 2022,,,,,,,52,333,6.4,,,,,,
,,2022 - 2023,,,,,,,56,359,6.41,,,,,,
,17. Papum pare,2000 - 2001,,,,,,,80,570,7.13,,,,,,
,,2001 - 2002,,,,,,,88,627,7.13,,,,,,
,,2002 - 2003,,,,,,,83,630,7.59,,,,,,
,,2003 - 2004,,,,,,,74,684,9.24,,,,,,
,,2004 - 2005,,,,,,,647,"4,630.00",7.16,,,,,,
,,2005 - 2006,,,,,,,200,"1,840.00",9.2,,,,,,
,,2006 - 2007,,,,,,,210,"1,890.00",9,,,,,,
,,2007 - 2008,,,,,,,205,"1,650.00",8.05,,,,,,
,,2008 - 2009,,,,,,,200,"1,820.00",9.1,,,,,,
,,2009 - 2010,,,,,,,220,"2,112.00",9.6,,,,,,
,,2010 - 2011,,,,,,,224,"2,217.00",9.9,,,,,,
,,2011 - 2012,,,,,,,238,"2,475.00",10.4,,,,,,
,,2012 - 2013,,,,,,,271,"2,540.00",9.37,,,,,,
,,2013 - 2014,,,,,,,280,"2,968.00",10.6,,,,,,
,,2014 - 2015,,,,,,,280,"3,047.00",10.88,,,,,,
,,2015 - 2016,,,,,,,320,"3,177.00",9.93,,,,,,
,,2016 - 2017,,,,,,,326,"2,857.00",8.76,,,,,,
,,2017 - 2018,,,,,,,326,"2,857.00",8.76,,,,,,
,,2018 - 2019,,,,,,,330,"2,889.00",8.75,,,,,,
,,2019 - 2020,,,,,,,331,"2,897.00",8.75,,,,,,
,,2020 - 2021,,,,,,,331,"2,904.00",8.77,,,,,,
,,2021 - 2022,,,,,,,338,"2,964.00",8.77,,,,,,
,,2022 - 2023,,,,,,,346,"3,035.00",8.77,,,,,,
,18. Shi yomi,2019 - 2020,,,,,,,34,236,6.94,,,,,,
,,2020 - 2021,,,,,,,34,243,7.15,,,,,,
,,2021 - 2022,,,,,,,35,250,7.14,,,,,,
,,2022 - 2023,,,,,,,40,286,7.15,,,,,,
,19. Siang,2015 - 2016,,,,,,,427,"2,664.00",6.24,,,,,,
,,2016 - 2017,,,,,,,427,"2,664.00",6.24,,,,,,
,,2017 - 2018,,,,,,,432,"2,716.00",6.29,,,,,,
,,2018 - 2019,,,,,,,447,"2,148.00",4.81,,,,,,
,,2019 - 2020,,,,,,,448,"2,756.00",6.15,,,,,,
,,2020 - 2021,,,,,,,448,"2,763.00",6.17,,,,,,
,,2021 - 2022,,,,,,,458,"2,939.00",6.42,,,,,,
,,2022 - 2023,,,,,,,469,"3,012.00",6.42,,,,,,
,20. Tawang,2000 - 2001,,,,,,,"1,405.00","7,195.00",5.12,,,,,,
,,2001 - 2002,,,,,,,"1,100.00","5,500.00",5,,,,,,
,,2002 - 2003,,,,,,,"1,110.00","5,550.00",5,,,,,,
,,2003 - 2004,,,,,,,"1,010.00","5,555.00",5.5,,,,,,
,,2004 - 2005,,,,,,,808,"4,444.00",5.5,,,,,,
,,2005 - 2006,,,,,,,600,"3,600.00",6,,,,,,
,,2006 - 2007,,,,,,,500,"3,250.00",6.5,,,,,,
,,2007 - 2008,,,,,,,500,"3,250.00",6.5,,,,,,
