State,District,Year,Masoor,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,387,309,0.8,,,,,,,,,
,,2020 - 2021,112,91,0.81,,,,,,,,,
,,2021 - 2022,34,27,0.79,,,,,,,,,
,,2022 - 2023,32,26,0.81,,,,,,,,,
,18. Kamrup,2001 - 2002,"2,867.00","1,294.00",0.45,,,,,,,,,
,,2002 - 2003,"2,331.00","1,073.00",0.46,,,,,,,,,
,,2003 - 2004,"2,674.00","1,213.00",0.45,,,,,,,,,
,,2004 - 2005,"2,199.00","1,027.00",0.47,,,,,,,,,
,,2005 - 2006,"1,554.00",723,0.47,,,,,,,,,
,,2006 - 2007,"1,452.00",667,0.46,,,,,,,,,
,,2007 - 2008,"2,605.00","1,232.00",0.47,,,,,,,,,
,,2008 - 2009,"2,660.00","1,253.00",0.47,,,,,,,,,
,,2009 - 2010,"2,646.00","1,249.00",0.47,,,,,,,,,
,,2010 - 2011,"2,354.00","1,138.00",0.48,,,,,,,,,
,,2011 - 2012,"2,274.00","1,156.00",0.51,,,,,,,,,
,,2012 - 2013,"2,797.00","1,562.00",0.56,,,,,,,,,
,,2013 - 2014,"2,630.00","1,540.00",0.59,,,,,,,,,
,,2014 - 2015,"2,037.00","1,514.00",0.74,,,,,,,,,
,,2015 - 2016,"1,881.00",949,0.5,,,,,,,,,
,,2016 - 2017,"1,745.00",884,0.51,,,,,,,,,
,,2017 - 2018,"1,483.00",750,0.51,,,,,,,,,
,,2018 - 2019,"1,343.00",689,0.51,,,,,,,,,
,,2019 - 2020,"1,307.00",696,0.53,,,,,,,,,
,,2020 - 2021,"1,458.00",777,0.53,,,,,,,,,
,,2021 - 2022,"1,797.00",996,0.55,,,,,,,,,
,,2022 - 2023,"3,520.00","4,224.00",1.2,,,,,,,,,
,19. Kamrup metro,2005 - 2006,36,18,0.5,,,,,,,,,
,,2006 - 2007,185,90,0.49,,,,,,,,,
,,2007 - 2008,176,83,0.47,,,,,,,,,
,,2008 - 2009,112,49,0.44,,,,,,,,,
,,2009 - 2010,153,71,0.46,,,,,,,,,
,,2010 - 2011,155,72,0.46,,,,,,,,,
,,2011 - 2012,155,75,0.48,,,,,,,,,
,,2012 - 2013,212,109,0.51,,,,,,,,,
,,2013 - 2014,201,113,0.56,,,,,,,,,
,,2014 - 2015,187,128,0.68,,,,,,,,,
,,2015 - 2016,186,105,0.56,,,,,,,,,
,,2016 - 2017,108,55,0.51,,,,,,,,,
,,2017 - 2018,117,60,0.51,,,,,,,,,
,,2018 - 2019,129,68,0.53,,,,,,,,,
,,2019 - 2020,117,62,0.53,,,,,,,,,
,,2020 - 2021,119,63,0.53,,,,,,,,,
,,2021 - 2022,292,159,0.54,,,,,,,,,
,,2022 - 2023,212,233,1.1,,,,,,,,,
,20. Karbi anglong,2001 - 2002,219,119,0.54,,,,,,,,,
,,2002 - 2003,213,103,0.48,,,,,,,,,
,,2003 - 2004,194,100,0.52,,,,,,,,,
,,2004 - 2005,213,97,0.46,,,,,,,,,
,,2005 - 2006,214,102,0.48,,,,,,,,,
,,2006 - 2007,205,98,0.48,,,,,,,,,
,,2007 - 2008,205,96,0.47,,,,,,,,,
,,2008 - 2009,222,106,0.48,,,,,,,,,
,,2009 - 2010,230,111,0.48,,,,,,,,,
,,2010 - 2011,208,102,0.49,,,,,,,,,
,,2011 - 2012,212,107,0.5,,,,,,,,,
,,2012 - 2013,220,126,0.57,,,,,,,,,
,,2013 - 2014,227,138,0.61,,,,,,,,,
,,2014 - 2015,245,186,0.76,,,,,,,,,
,,2015 - 2016,247,149,0.6,,,,,,,,,
,,2016 - 2017,258,159,0.62,,,,,,,,,
,,2017 - 2018,759,466,0.61,,,,,,,,,
,,2018 - 2019,824,497,0.6,,,,,,,,,
,,2019 - 2020,788,480,0.61,,,,,,,,,
,,2020 - 2021,605,369,0.61,,,,,,,,,
,,2021 - 2022,555,339,0.61,,,,,,,,,
,,2022 - 2023,625,381,0.61,,,,,,,,,
,21. Karimganj,2009 - 2010,15,7,0.47,,,,,,,,,
