State,District,Year,Masoor,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2016 - 2017,130,9,0.07,,,,,,,,,
,,2017 - 2018,132,124,0.94,,,,,,,,,
,,2018 - 2019,131,121,0.92,,,,,,,,,
,,2019 - 2020,132,124,0.94,,,,,,,,,
,,2020 - 2021,8,8,1,,,,,,,,,
,,2021 - 2022,13,14,1.08,,,,,,,,,
,,2022 - 2023,13,14,1.08,,,,,,,,,
,9. Shimla,2000 - 2001,,,,75,15,0.2,,,,,,
,,2001 - 2002,,,,86,27,0.31,,,,,,
,,2002 - 2003,,,,92,120,1.3,,,,,,
,,2005 - 2006,41,16,0.39,,,,,,,,,
,,2006 - 2007,49,45,0.92,,,,,,,,,
,,2007 - 2008,,,,49,45,0.92,,,,,,
,,2008 - 2009,74,23,0.31,,,,,,,,,
,,2009 - 2010,81,31,0.38,,,,,,,,,
,,2010 - 2011,59,28,0.47,,,,,,,,,
,,2011 - 2012,68,59,0.87,,,,,,,,,
,,2012 - 2013,75,73,0.97,,,,,,,,,
,,2013 - 2014,58,23,0.4,,,,,,,,,
,,2014 - 2015,57,46,0.81,,,,,,,,,
,,2015 - 2016,56,27,0.48,,,,,,,,,
,,2016 - 2017,56,17,0.3,,,,,,,,,
,,2017 - 2018,56,51,0.91,,,,,,,,,
,,2018 - 2019,56,49,0.88,,,,,,,,,
,,2019 - 2020,55,50,0.91,,,,,,,,,
,,2020 - 2021,28,72,2.57,,,,,,,,,
,,2021 - 2022,58,149,2.57,,,,,,,,,
,,2022 - 2023,63,162,2.57,,,,,,,,,
,10. Sirmaur,2000 - 2001,,,,431,143,0.33,,,,,,
,,2001 - 2002,,,,249,125,0.5,,,,,,
,,2002 - 2003,,,,345,120,0.35,,,,,,
,,2005 - 2006,267,34,0.13,,,,,,,,,
,,2006 - 2007,277,141,0.51,,,,,,,,,
,,2007 - 2008,,,,204,81,0.4,,,,,,
,,2008 - 2009,210,76,0.36,,,,,,,,,
,,2009 - 2010,230,102,0.44,,,,,,,,,
,,2010 - 2011,168,105,0.63,,,,,,,,,
,,2011 - 2012,174,167,0.96,,,,,,,,,
,,2012 - 2013,192,111,0.58,,,,,,,,,
,,2013 - 2014,163,109,0.67,,,,,,,,,
,,2014 - 2015,142,119,0.84,,,,,,,,,
,,2015 - 2016,110,86,0.78,,,,,,,,,
,,2016 - 2017,158,56,0.35,,,,,,,,,
,,2017 - 2018,110,92,0.84,,,,,,,,,
,,2018 - 2019,152,140,0.92,,,,,,,,,
,,2019 - 2020,149,140,0.94,,,,,,,,,
,,2020 - 2021,42,50,1.19,,,,,,,,,
,,2021 - 2022,98,116,1.18,,,,,,,,,
,,2022 - 2023,64,76,1.19,,,,,,,,,
,11. Solan,2000 - 2001,,,,15,14,0.93,,,,,,
,,2001 - 2002,,,,16,18,1.13,,,,,,
,,2002 - 2003,,,,13,11,0.85,,,,,,
,,2005 - 2006,15,4,0.27,,,,,,,,,
,,2006 - 2007,13,7,0.54,,,,,,,,,
,,2007 - 2008,,,,7,3,0.43,,,,,,
,,2008 - 2009,8,11,1.38,,,,,,,,,
,,2009 - 2010,5,14,2.8,,,,,,,,,
,,2010 - 2011,8,4,0.5,,,,,,,,,
,,2011 - 2012,9,8,0.89,,,,,,,,,
,,2012 - 2013,7,8,1.14,,,,,,,,,
,,2013 - 2014,4,3,0.75,,,,,,,,,
,,2014 - 2015,4,4,1,,,,,,,,,
,,2015 - 2016,4,3,0.75,,,,,,,,,
,,2016 - 2017,4,7,1.75,,,,,,,,,
,,2017 - 2018,4,3,0.75,,,,,,,,,
,,2018 - 2019,4,3,0.75,,,,,,,,,
,,2019 - 2020,5,4,0.8,,,,,,,,,
,,2020 - 2021,4,5,1.25,,,,,,,,,
,,2021 - 2022,2,2,1,,,,,,,,,
,12. Una,2000 - 2001,,,,8,4,0.5,,,,,,
,,2001 - 2002,,,,10,7,0.7,,,,,,
,,2002 - 2003,,,,19,12,0.63,,,,,,
,,2005 - 2006,16,10,0.63,,,,,,,,,
,,2006 - 2007,24,20,0.83,,,,,,,,,
,,2007 - 2008,,,,20,17,0.85,,,,,,
,,2008 - 2009,6,3,0.5,,,,,,,,,
,,2009 - 2010,5,3,0.6,,,,,,,,,
,,2010 - 2011,6,2,0.33,,,,,,,,,
,,2011 - 2012,16,17,1.06,,,,,,,,,
,,2012 - 2013,6,7,1.17,,,,,,,,,
,,2013 - 2014,4,2,0.5,,,,,,,,,
,,2014 - 2015,4,2,0.5,,,,,,,,,
,,2015 - 2016,4,2,0.5,,,,,,,,,
,,2016 - 2017,4,2,0.5,,,,,,,,,
,,2017 - 2018,4,2,0.5,,,,,,,,,
,,2018 - 2019,4,2,0.5,,,,,,,,,
,,2019 - 2020,5,4,0.8,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
8. Jammu and Kashmir,1. Badgam,2009 - 2010,,,,171,137.1,0.8,,,,,,
,,2010 - 2011,,,,114,91.4,0.8,,,,,,
,,2011 - 2012,,,,114,91.4,0.8,,,,,,
,,2012 - 2013,,,,114,91.4,0.8,,,,,,
,2. Bandipora,2009 - 2010,,,,762,382.6,0.5,,,,,,
,,2011 - 2012,,,,572,287.7,0.5,,,,,,
,,2012 - 2013,,,,198,99.6,0.5,,,,,,
,,2017 - 2018,,,,40,82,2.05,,,,,,
,,2018 - 2019,,,,40,82,2.05,,,,,,
,,2019 - 2020,,,,40,82,2.05,,,,,,
,,2020 - 2021,,,,40,82,2.05,,,,,,
,3. Baramulla,2009 - 2010,,,,68,34.2,0.5,,,,,,
,,2010 - 2011,,,,447,224.8,0.5,,,,,,
,,2012 - 2013,,,,32,16.1,0.5,,,,,,
,,2014 - 2015,,,,16,8.1,0.51,,,,,,
,,2017 - 2018,,,,170,34,0.2,,,,,,
,,2018 - 2019,,,,170,34,0.2,,,,,,
,,2019 - 2020,,,,170,34,0.2,,,,,,
,,2020 - 2021,,,,170,34,0.2,,,,,,
,4. Doda,2001 - 2002,7,3,0.43,,,,,,,,,
,,2002 - 2003,90,40,0.44,,,,,,,,,
,,2003 - 2004,76,34,0.45,,,,,,,,,
,,2006 - 2007,12,5.3,0.44,,,,,,,,,
,,2007 - 2008,12,5.3,0.44,,,,,,,,,
,5. Jammu,2002 - 2003,15,8,0.53,,,,,,,,,
,,2006 - 2007,11,6,0.55,,,,,,,,,
,,2007 - 2008,4,2.2,0.55,,,,,,,,,
,,2011 - 2012,45,24.9,0.55,,,,,,,,,
,,2012 - 2013,63,34.8,0.55,,,,,,,,,
,,2018 - 2019,160,144,0.9,,,,,,,,,
,,2019 - 2020,160,144,0.9,,,,,,,,,
,,2020 - 2021,160,144,0.9,,,,,,,,,
,,2022 - 2023,2,1.8,0.9,,,,,,,,,
,6. Kargil,2009 - 2010,445,182.2,0.41,,,,,,,,,
,7. Kathua,2001 - 2002,7,3,0.43,,,,,,,,,
,,2002 - 2003,7,3,0.43,,,,,,,,,
,,2003 - 2004,25,10,0.4,,,,,,,,,
,,2006 - 2007,92,38.3,0.42,,,,,,,,,
,,2007 - 2008,92,38.3,0.42,,,,,,,,,
,,2009 - 2010,45,24.8,0.55,,,,,,,,,
,,2011 - 2012,123,67.8,0.55,,,,,,,,,
,,2012 - 2013,12,6.6,0.55,,,,,,,,,
,,2017 - 2018,3,2.7,0.9,,,,,,,,,
,,2018 - 2019,2,1.8,0.9,,,,,,,,,
,,2019 - 2020,2,1.8,0.9,3,6.2,2.07,,,,,,
,,2020 - 2021,2,0.1,0.05,,,,,,,,,
,,2021 - 2022,2,0.1,0.05,,,,,,,,,
,,2022 - 2023,2,0.1,0.05,,,,,,,,,
,8. Kishtwar,2008 - 2009,67,29.6,0.44,,,,,,,,,
,,2009 - 2010,25,14,0.56,,,,,,,,,
,,2010 - 2011,25,14,0.56,,,,,,,,,
,,2011 - 2012,43,24.1,0.56,,,,,,,,,
,,2012 - 2013,37,20.7,0.56,,,,,,,,,
,,2018 - 2019,28,25.2,0.9,,,,,,,,,
,,2020 - 2021,28,25.2,0.9,,,,,,,,,
,,2021 - 2022,28,25.2,0.9,,,,,,,,,
,,2022 - 2023,28,25.2,0.9,,,,,,,,,
,9. Leh ladakh,2001 - 2002,5,2,0.4,,,,,,,,,
,,2002 - 2003,5,2,0.4,,,,,,,,,
,,2003 - 2004,4,2,0.5,,,,,,,,,
,,2006 - 2007,5,2,0.4,,,,,,,,,
,,2007 - 2008,5,2,0.4,,,,,,,,,
,,2008 - 2009,7,2.8,0.4,,,,,,,,,
,,2011 - 2012,14,7.3,0.52,,,,,,,,,
,,2012 - 2013,5,2.6,0.52,,,,,,,,,
,,2015 - 2016,5,2.8,0.56,,,,,,,,,
,,2016 - 2017,6,3.4,0.57,,,,,,,,,
,,2017 - 2018,12,6.8,0.57,,,,,,,,,
,10. Pulwama,2001 - 2002,37,18,0.49,,,,,,,,,
,,2002 - 2003,67,34,0.51,,,,,,,,,
,,2003 - 2004,67,34,0.51,,,,,,,,,
,11. Rajauri,2018 - 2019,4,3.6,0.9,,,,,,,,,
,,2019 - 2020,4,3.6,0.9,,,,,,,,,
,,2021 - 2022,4,1.3,0.33,,,,,,,,,
,,2022 - 2023,4,1.3,0.33,,,,,,,,,
,12. Reasi,2007 - 2008,14,7,0.5,,,,,,,,,
,,2008 - 2009,1,0.5,0.5,,,,,,,,,
,13. Samba,2007 - 2008,7,3.8,0.54,,,,,,,,,
,,2008 - 2009,13,7.1,0.55,,,,,,,,,
,,2009 - 2010,74,40.6,0.55,,,,,,,,,
,,2010 - 2011,28,15.4,0.55,,,,,,,,,
,,2011 - 2012,23,12.7,0.55,,,,,,,,,
,,2012 - 2013,29,16,0.55,,,,,,,,,
,14. Udhampur,2002 - 2003,14,7,0.5,,,,,,,,,
,,2003 - 2004,6,3,0.5,,,,,,,,,
,,2006 - 2007,14,7,0.5,,,,,,,,,
9. Jharkhand,1. Bokaro,2017 - 2018,"1,439.00",921,0.64,,,,,,,,,
,,2018 - 2019,945,256,0.27,,,,,,,,,
,,2019 - 2020,"1,754.00","2,280.00",1.3,,,,,,,,,
,,2020 - 2021,"2,000.00","2,800.00",1.4,,,,,,,,,
,,2021 - 2022,"1,638.00","1,966.00",1.2,,,,,,,,,
,,2022 - 2023,"1,162.00","1,627.00",1.4,,,,,,,,,
,2. Chatra,2006 - 2007,316.24,139,0.44,,,,,,,,,
,,2007 - 2008,292.33,191,0.65,,,,,,,,,
,,2009 - 2010,290,296,1.02,,,,,,,,,
,,2011 - 2012,321,317,0.99,,,,,,,,,
,,2012 - 2013,356,346,0.97,,,,,,,,,
,,2013 - 2014,372,287,0.77,,,,,,,,,
,,2014 - 2015,360,260,0.72,,,,,,,,,
,,2015 - 2016,343,246,0.72,,,,,,,,,
,,2017 - 2018,"5,415.00","5,036.00",0.93,,,,,,,,,
,,2018 - 2019,"5,418.00","4,930.00",0.91,,,,,,,,,
,,2019 - 2020,"5,390.00","4,959.00",0.92,,,,,,,,,
,,2020 - 2021,"5,208.00","4,843.00",0.93,,,,,,,,,
,,2021 - 2022,"2,350.00","1,673.00",0.71,,,,,,,,,
,,2022 - 2023,"2,475.00","1,765.00",0.71,,,,,,,,,
,3. Deoghar,2006 - 2007,3.25,2,0.62,,,,,,,,,
,,2007 - 2008,1.05,0.68,0.65,,,,,,,,,
,,2009 - 2010,2,1,0.5,,,,,,,,,
,,2017 - 2018,836,794,0.95,,,,,,,,,
,,2018 - 2019,"2,067.00","2,480.00",1.2,,,,,,,,,
,,2019 - 2020,"2,868.00","2,725.00",0.95,,,,,,,,,
,,2020 - 2021,"3,949.00","3,752.00",0.95,,,,,,,,,
,,2021 - 2022,"2,169.00","2,061.00",0.95,,,,,,,,,
,,2022 - 2023,"1,112.00","1,056.00",0.95,,,,,,,,,
,4. Dhanbad,2017 - 2018,67,54,0.81,,,,,,,,,
,,2018 - 2019,163,196,1.2,,,,,,,,,
,,2019 - 2020,107,64,0.6,,,,,,,,,
,,2020 - 2021,109,65,0.6,,,,,,,,,
,,2021 - 2022,42,25,0.6,,,,,,,,,
,5. Dumka,2006 - 2007,2.2,1,0.45,,,,,,,,,
,,2007 - 2008,2.73,2,0.73,,,,,,,,,
,,2009 - 2010,921,550,0.6,,,,,,,,,
,,2011 - 2012,230,260,1.13,,,,,,,,,
,,2012 - 2013,283,268,0.95,,,,,,,,,
,,2013 - 2014,289,267,0.92,,,,,,,,,
,,2014 - 2015,255,148,0.58,,,,,,,,,
,,2015 - 2016,216,180,0.83,,,,,,,,,
,,2017 - 2018,"3,330.00","2,464.00",0.74,,,,,,,,,
,,2018 - 2019,"1,933.00","1,933.00",1,,,,,,,,,
,,2019 - 2020,"3,182.00","3,214.00",1.01,,,,,,,,,
,,2020 - 2021,"4,229.00","4,440.00",1.05,,,,,,,,,
,,2021 - 2022,324,343,1.06,,,,,,,,,
,,2022 - 2023,"1,270.00","1,016.00",0.8,,,,,,,,,
,6. East singhbum,2012 - 2013,3,3,1,,,,,,,,,
,,2013 - 2014,12,9,0.75,,,,,,,,,
,,2014 - 2015,18,13,0.72,,,,,,,,,
,,2015 - 2016,9,6,0.67,,,,,,,,,
,,2017 - 2018,"3,000.00","3,150.00",1.05,,,,,,,,,
,,2018 - 2019,"2,250.00","1,800.00",0.8,,,,,,,,,
,,2019 - 2020,"2,400.00","1,920.00",0.8,,,,,,,,,
,,2020 - 2021,"2,880.00","2,362.00",0.82,,,,,,,,,
,,2021 - 2022,"2,984.00","2,462.00",0.83,,,,,,,,,
,,2022 - 2023,"2,674.00","2,219.00",0.83,,,,,,,,,
,7. Garhwa,2003 - 2004,"1,778.23","4,836.79",2.72,,,,,,,,,
,,2004 - 2005,743.2,447.41,0.6,,,,,,,,,
,,2005 - 2006,750.35,292.64,0.39,,,,,,,,,
,,2006 - 2007,571.25,311,0.54,,,,,,,,,
,,2007 - 2008,575.46,304,0.53,,,,,,,,,
,,2009 - 2010,878,275,0.31,,,,,,,,,
,,2010 - 2011,712,372,0.52,,,,,,,,,
,,2011 - 2012,"1,184.00","1,100.00",0.93,,,,,,,,,
,,2012 - 2013,"1,066.00","1,387.00",1.3,,,,,,,,,
,,2013 - 2014,"1,274.00","1,271.00",1,,,,,,,,,
,,2014 - 2015,"1,046.00",771,0.74,,,,,,,,,
,,2015 - 2016,752,444,0.59,,,,,,,,,
,,2017 - 2018,"4,630.00","5,649.00",1.22,,,,,,,,,
,,2018 - 2019,"3,785.00","2,347.00",0.62,,,,,,,,,
,,2019 - 2020,"3,836.00","2,041.00",0.53,,,,,,,,,
,,2020 - 2021,"4,758.00","3,973.00",0.84,,,,,,,,,
,,2021 - 2022,"4,845.00","5,688.00",1.17,,,,,,,,,
,,2022 - 2023,"4,743.00","3,960.00",0.83,,,,,,,,,
,8. Giridih,2017 - 2018,"1,522.00","1,342.00",0.88,,,,,,,,,
,,2018 - 2019,601,516,0.86,,,,,,,,,
,,2019 - 2020,610,526,0.86,,,,,,,,,
,,2020 - 2021,405,344,0.85,,,,,,,,,
,,2021 - 2022,861,745,0.87,,,,,,,,,
,,2022 - 2023,366,262,0.72,,,,,,,,,
,9. Godda,2002 - 2003,"1,175.22","1,003.63",0.85,,,,,,,,,
,,2003 - 2004,"2,205.83","2,161.71",0.98,,,,,,,,,
,,2004 - 2005,984.16,630.85,0.64,,,,,,,,,
,,2005 - 2006,"1,002.55",598.52,0.6,,,,,,,,,
,,2006 - 2007,785.96,429,0.55,,,,,,,,,
,,2007 - 2008,823.89,533,0.65,,,,,,,,,
,,2009 - 2010,798,476,0.6,,,,,,,,,
,,2010 - 2011,814,833,1.02,,,,,,,,,
,,2011 - 2012,725,820,1.13,,,,,,,,,
,,2012 - 2013,"2,611.00","2,473.00",0.95,,,,,,,,,
,,2013 - 2014,"2,612.00","2,016.00",0.77,,,,,,,,,
,,2015 - 2016,"2,522.00","1,559.00",0.62,,,,,,,,,
,,2017 - 2018,"4,417.00","4,770.00",1.08,,,,,,,,,
,,2018 - 2019,"4,312.00","4,786.00",1.11,,,,,,,,,
,,2019 - 2020,"4,120.00","4,614.00",1.12,,,,,,,,,
,,2020 - 2021,"3,825.00","4,590.00",1.2,,,,,,,,,
,,2021 - 2022,"4,140.00","4,595.00",1.11,,,,,,,,,
,,2022 - 2023,"4,723.00","4,369.00",0.93,,,,,,,,,
,10. Gumla,2007 - 2008,41.78,27,0.65,,,,,,,,,
,,2009 - 2010,51,52,1.02,,,,,,,,,
,,2012 - 2013,50,49,0.98,,,,,,,,,
,,2013 - 2014,51,39,0.76,,,,,,,,,
,,2014 - 2015,52,37,0.71,,,,,,,,,
,,2015 - 2016,50,40,0.8,,,,,,,,,
,,2017 - 2018,"1,822.00","2,409.00",1.32,,,,,,,,,
,,2018 - 2019,"1,095.00","1,229.00",1.12,,,,,,,,,
,,2019 - 2020,"1,028.00",930,0.9,,,,,,,,,
,,2020 - 2021,"3,052.00","2,762.00",0.9,,,,,,,,,
,,2021 - 2022,"3,092.00","2,798.00",0.9,,,,,,,,,
,,2022 - 2023,"4,743.00","5,573.00",1.17,,,,,,,,,
,11. Hazaribagh,2006 - 2007,24.73,11,0.44,,,,,,,,,
,,2007 - 2008,14.9,8,0.54,,,,,,,,,
,,2009 - 2010,48,49,1.02,,,,,,,,,
,,2012 - 2013,138,134,0.97,,,,,,,,,
,,2013 - 2014,96,74,0.77,,,,,,,,,
,,2014 - 2015,241,174,0.72,,,,,,,,,
,,2015 - 2016,147,137,0.93,,,,,,,,,
,,2017 - 2018,"1,738.00","1,460.00",0.84,,,,,,,,,
,,2018 - 2019,180,151,0.84,,,,,,,,,
,,2019 - 2020,530,387,0.73,,,,,,,,,
,,2020 - 2021,"1,980.00","1,445.00",0.73,,,,,,,,,
,,2021 - 2022,"2,392.00","2,930.00",1.22,,,,,,,,,
,,2022 - 2023,"1,349.00",677,0.5,,,,,,,,,
,12. Jamtara,2015 - 2016,5,2,0.4,,,,,,,,,
,,2017 - 2018,177,150,0.85,,,,,,,,,
,,2018 - 2019,250,200,0.8,,,,,,,,,
,,2019 - 2020,"1,470.00","1,080.00",0.73,,,,,,,,,
,,2020 - 2021,532,426,0.8,,,,,,,,,
,,2021 - 2022,464,394,0.85,,,,,,,,,
,,2022 - 2023,"1,260.00","1,071.00",0.85,,,,,,,,,
,13. Khunti,2013 - 2014,3,2,0.67,,,,,,,,,
,,2014 - 2015,2,1,0.5,,,,,,,,,
,,2015 - 2016,56,41,0.73,,,,,,,,,
,,2017 - 2018,"2,412.00","2,653.00",1.1,,,,,,,,,
,,2018 - 2019,"1,029.00",926,0.9,,,,,,,,,
,,2019 - 2020,"1,050.00",945,0.9,,,,,,,,,
,,2020 - 2021,"2,610.00","2,349.00",0.9,,,,,,,,,
,,2021 - 2022,"2,245.00","2,021.00",0.9,,,,,,,,,
,,2022 - 2023,"2,277.00","2,049.00",0.9,,,,,,,,,
,14. Koderma,2006 - 2007,20.7,9,0.43,,,,,,,,,
,,2009 - 2010,12,12,1,,,,,,,,,
,,2012 - 2013,42,41,0.98,,,,,,,,,
,,2013 - 2014,32,20,0.63,,,,,,,,,
,,2014 - 2015,17,12,0.71,,,,,,,,,
,,2015 - 2016,42,32,0.76,,,,,,,,,
,,2017 - 2018,"3,520.00","4,224.00",1.2,,,,,,,,,
,,2018 - 2019,"2,944.00","3,533.00",1.2,,,,,,,,,
,,2019 - 2020,"3,690.00","4,428.00",1.2,,,,,,,,,
,,2020 - 2021,"3,692.00","4,430.00",1.2,,,,,,,,,
,,2021 - 2022,"4,546.00","5,455.00",1.2,,,,,,,,,
,,2022 - 2023,830,996,1.2,,,,,,,,,
,15. Latehar,2003 - 2004,396.64,166.59,0.42,,,,,,,,,
,,2004 - 2005,164.67,86.45,0.52,,,,,,,,,
,,2005 - 2006,185.09,90.88,0.49,,,,,,,,,
,,2007 - 2008,190.1,133,0.7,,,,,,,,,
,,2009 - 2010,185,159,0.86,,,,,,,,,
,,2010 - 2011,3,2,0.67,,,,,,,,,
,,2011 - 2012,178,162,0.91,,,,,,,,,
,,2012 - 2013,481,363,0.75,,,,,,,,,
,,2013 - 2014,438,268,0.61,,,,,,,,,
,,2014 - 2015,380,267,0.7,,,,,,,,,
,,2015 - 2016,311,137,0.44,,,,,,,,,
,,2017 - 2018,"2,460.00","1,380.00",0.56,,,,,,,,,
,,2018 - 2019,"2,915.00","1,647.00",0.57,,,,,,,,,
,,2019 - 2020,"2,430.00","1,349.00",0.56,,,,,,,,,
,,2020 - 2021,"3,078.00","1,718.00",0.56,,,,,,,,,
,,2021 - 2022,"3,295.00","1,835.00",0.56,,,,,,,,,
,,2022 - 2023,"2,552.00","1,416.00",0.55,,,,,,,,,
,16. Lohardaga,2006 - 2007,6.17,3,0.49,,,,,,,,,
,,2007 - 2008,8.54,6,0.7,,,,,,,,,
,,2009 - 2010,45,46,1.02,,,,,,,,,
,,2011 - 2012,66,65,0.98,,,,,,,,,
,,2012 - 2013,47,46,0.98,,,,,,,,,
,,2013 - 2014,32,20,0.63,,,,,,,,,
,,2014 - 2015,22,16,0.73,,,,,,,,,
,,2015 - 2016,94,48,0.51,,,,,,,,,
,,2017 - 2018,"1,590.00","1,431.00",0.9,,,,,,,,,
,,2018 - 2019,"1,265.00",639,0.51,,,,,,,,,
,,2019 - 2020,"1,145.00",578,0.5,,,,,,,,,
,,2020 - 2021,750,379,0.51,,,,,,,,,
,,2021 - 2022,598,302,0.51,,,,,,,,,
,,2022 - 2023,603,305,0.51,,,,,,,,,
,17. Pakur,2006 - 2007,561.48,307,0.55,,,,,,,,,
,,2007 - 2008,563.82,365,0.65,,,,,,,,,
,,2009 - 2010,564,337,0.6,,,,,,,,,
,,2011 - 2012,466,527,1.13,,,,,,,,,
,,2012 - 2013,469,444,0.95,,,,,,,,,
,,2013 - 2014,520,401,0.77,,,,,,,,,
,,2014 - 2015,465,314,0.68,,,,,,,,,
,,2015 - 2016,"1,430.00","1,353.00",0.95,,,,,,,,,
,,2017 - 2018,"4,502.00","3,602.00",0.8,,,,,,,,,
,,2018 - 2019,"3,602.00","2,882.00",0.8,,,,,,,,,
,,2019 - 2020,"4,321.00","3,457.00",0.8,,,,,,,,,
,,2020 - 2021,"4,429.00","3,543.00",0.8,,,,,,,,,
,,2021 - 2022,"3,937.00","2,894.00",0.74,,,,,,,,,
,,2022 - 2023,"2,085.00","1,043.00",0.5,,,,,,,,,
,18. Palamu,2002 - 2003,"1,093.60",580.7,0.53,,,,,,,,,
,,2003 - 2004,"2,612.91","1,515.49",0.58,,,,,,,,,
,,2004 - 2005,799.69,455.02,0.57,,,,,,,,,
,,2005 - 2006,896.22,370.14,0.41,,,,,,,,,
,,2006 - 2007,"1,182.34",922,0.78,,,,,,,,,
,,2007 - 2008,"1,208.65",900,0.74,,,,,,,,,
,,2009 - 2010,"1,256.00","3,752.00",2.99,,,,,,,,,
,,2010 - 2011,2,1,0.5,,,,,,,,,
,,2011 - 2012,"1,296.00","1,087.00",0.84,,,,,,,,,
,,2012 - 2013,"3,592.00","3,351.00",0.93,,,,,,,,,
,,2013 - 2014,"3,675.00","3,183.00",0.87,,,,,,,,,
,,2014 - 2015,"2,658.00","1,922.00",0.72,,,,,,,,,
,,2015 - 2016,"2,144.00","1,612.00",0.75,,,,,,,,,
,,2017 - 2018,"6,402.00","4,481.00",0.7,,,,,,,,,
,,2018 - 2019,"6,429.00","5,915.00",0.92,,,,,,,,,
,,2019 - 2020,"6,241.00","4,462.00",0.71,,,,,,,,,
,,2020 - 2021,"6,600.00","4,884.00",0.74,,,,,,,,,
,,2021 - 2022,"5,376.00","4,000.00",0.74,,,,,,,,,
,,2022 - 2023,"4,253.00","3,079.00",0.72,,,,,,,,,
,19. Ramgarh,2017 - 2018,"1,468.00","1,072.00",0.73,,,,,,,,,
,,2018 - 2019,172,126,0.73,,,,,,,,,
,,2019 - 2020,507,370,0.73,,,,,,,,,
,,2020 - 2021,"2,260.00","1,650.00",0.73,,,,,,,,,
,,2021 - 2022,"2,391.00","1,722.00",0.72,,,,,,,,,
,,2022 - 2023,"2,531.00","1,822.00",0.72,,,,,,,,,
,20. Ranchi,2006 - 2007,3.39,1,0.29,,,,,,,,,
,,2009 - 2010,28,29,1.04,,,,,,,,,
,,2011 - 2012,34,34,1,,,,,,,,,
,,2012 - 2013,2,2,1,,,,,,,,,
,,2013 - 2014,7,5,0.71,,,,,,,,,
,,2014 - 2015,3,2,0.67,,,,,,,,,
,,2017 - 2018,"3,982.00","1,792.00",0.45,,,,,,,,,
,,2018 - 2019,"2,137.00","1,496.00",0.7,,,,,,,,,
,,2019 - 2020,"2,755.00","2,204.00",0.8,,,,,,,,,
,,2020 - 2021,"2,985.00","2,388.00",0.8,,,,,,,,,
,,2021 - 2022,"3,067.00","2,147.00",0.7,,,,,,,,,
,,2022 - 2023,"3,123.00","2,186.00",0.7,,,,,,,,,
,21. Sahebganj,2002 - 2003,784.84,795.82,1.01,,,,,,,,,
,,2006 - 2007,661.63,361,0.55,,,,,,,,,
,,2007 - 2008,652.54,422,0.65,,,,,,,,,
,,2009 - 2010,786,469,0.6,,,,,,,,,
,,2011 - 2012,535,605,1.13,,,,,,,,,
,,2012 - 2013,542,513,0.95,,,,,,,,,
,,2013 - 2014,640,494,0.77,,,,,,,,,
,,2014 - 2015,514,553,1.08,,,,,,,,,
,,2015 - 2016,563,395,0.7,,,,,,,,,
,,2017 - 2018,"3,600.00","1,620.00",0.45,,,,,,,,,
,,2018 - 2019,"3,125.00","1,406.00",0.45,,,,,,,,,
,,2019 - 2020,"3,560.00","1,602.00",0.45,,,,,,,,,
,,2020 - 2021,"3,910.00","1,760.00",0.45,,,,,,,,,
,,2021 - 2022,"4,430.00","1,994.00",0.45,,,,,,,,,
,,2022 - 2023,"4,455.00","2,005.00",0.45,,,,,,,,,
,22. Saraikela kharsawan,2011 - 2012,3,3,1,,,,,,,,,
,,2013 - 2014,115,89,0.77,,,,,,,,,
,,2014 - 2015,109,79,0.72,,,,,,,,,
,,2015 - 2016,97,69,0.71,,,,,,,,,
,,2017 - 2018,"3,500.00","3,850.00",1.1,,,,,,,,,
,,2018 - 2019,"2,753.00","1,927.00",0.7,,,,,,,,,
,,2019 - 2020,"1,225.00",980,0.8,,,,,,,,,
,,2020 - 2021,"1,836.00","1,469.00",0.8,,,,,,,,,
,,2021 - 2022,"2,309.00","1,847.00",0.8,,,,,,,,,
,,2022 - 2023,"2,120.00","1,696.00",0.8,,,,,,,,,
,23. Simdega,2006 - 2007,2.82,1,0.35,,,,,,,,,
,,2009 - 2010,3,3,1,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,
,,2014 - 2015,3,2,0.67,,,,,,,,,
,,2015 - 2016,4,3,0.75,,,,,,,,,
,,2017 - 2018,"2,818.00","3,945.00",1.4,,,,,,,,,
,,2018 - 2019,"3,415.00","4,781.00",1.4,,,,,,,,,
,,2019 - 2020,"3,415.00","3,757.00",1.1,,,,,,,,,
,,2020 - 2021,"3,455.00","3,973.00",1.15,,,,,,,,,
,,2021 - 2022,"3,453.00","3,798.00",1.1,,,,,,,,,
,,2022 - 2023,"2,814.00","3,095.00",1.1,,,,,,,,,
,24. West singhbhum,2006 - 2007,48.35,21,0.43,,,,,,,,,
,,2007 - 2008,49.3,32,0.65,,,,,,,,,
,,2009 - 2010,37,38,1.03,,,,,,,,,
,,2010 - 2011,45,36,0.8,,,,,,,,,
,,2011 - 2012,59,58,0.98,,,,,,,,,
