State,District,Year,Sugarcane,,,,,,,,,,,,,,,,,
,,,Whole Year,,,Autumn,,,Kharif,,,Winter,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2014 - 2015,,,,,,,"1,344.00","54,341.00",40.43,,,,,,,,,
,,2015 - 2016,,,,,,,"1,435.00","49,402.00",34.43,,,,,,,,,
,,2016 - 2017,,,,,,,"1,223.00","46,525.00",38.04,,,,,,,,,
,,2017 - 2018,,,,,,,"1,041.00","41,056.00",39.44,,,,,,,,,
,,2018 - 2019,,,,,,,"1,541.00","57,226.00",37.14,,,,,,,,,
,,2019 - 2020,,,,,,,"1,890.00","69,467.00",36.76,,,,,,,,,
,39. Jaunpur,2000 - 2001,"14,775.00","7,36,741.00",49.86,,,,,,,,,,,,,,,
,,2001 - 2002,"14,409.00","7,26,156.00",50.4,,,,,,,,,,,,,,,
,,2002 - 2003,"13,119.00","6,18,692.00",47.16,,,,,,,,,,,,,,,
,,2003 - 2004,"12,763.00","4,92,141.00",38.56,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"10,237.00","4,36,547.00",42.64,,,,,,,,,
,,2005 - 2006,,,,,,,"12,667.00","6,06,901.00",47.91,,,,,,,,,
,,2006 - 2007,,,,,,,"10,545.00","6,20,679.00",58.86,,,,,,,,,
,,2007 - 2008,,,,,,,"7,699.00","4,13,991.00",53.77,,,,,,,,,
,,2008 - 2009,,,,,,,"10,010.00","5,35,935.00",53.54,,,,,,,,,
,,2009 - 2010,,,,,,,"7,451.00","4,04,410.00",54.28,,,,,,,,,
,,2010 - 2011,,,,,,,"8,640.00","4,82,838.00",55.88,,,,,,,,,
,,2011 - 2012,,,,,,,"10,082.00","5,30,716.00",52.64,,,,,,,,,
,,2012 - 2013,,,,,,,"9,578.00","5,35,027.00",55.86,,,,,,,,,
,,2013 - 2014,,,,,,,"11,306.00","6,48,557.00",57.36,,,,,,,,,
,,2014 - 2015,,,,,,,"9,870.00","5,65,156.00",57.26,,,,,,,,,
,,2015 - 2016,,,,,,,"8,315.00","4,76,882.00",57.35,,,,,,,,,
,,2016 - 2017,,,,,,,"8,734.00","5,51,290.00",63.12,,,,,,,,,
,,2017 - 2018,,,,,,,"9,516.00","6,26,838.00",65.87,,,,,,,,,
,,2018 - 2019,,,,,,,"8,201.00","5,69,477.00",69.44,,,,,,,,,
,,2019 - 2020,,,,,,,"9,680.00","6,04,613.00",62.46,,,,,,,,,
,,2020 - 2021,,,,,,,"2,273.00","1,49,000.00",65.55,,,,,,,,,
,,2021 - 2022,,,,,,,"2,253.00","1,38,000.00",61.25,,,,,,,,,
,,2022 - 2023,,,,,,,"2,189.00","1,43,000.00",65.33,,,,,,,,,
,40. Jhansi,2000 - 2001,95,"3,963.00",41.72,,,,,,,,,,,,,,,
,,2001 - 2002,80,"3,730.00",46.63,,,,,,,,,,,,,,,
,,2002 - 2003,37,"1,671.00",45.16,,,,,,,,,,,,,,,
,,2003 - 2004,67,"3,321.00",49.57,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,67,"4,040.00",60.3,,,,,,,,,
,,2005 - 2006,,,,,,,67,"1,506.00",22.48,,,,,,,,,
,,2006 - 2007,,,,,,,139,"5,356.00",38.53,,,,,,,,,
,,2007 - 2008,,,,,,,22,439,19.95,,,,,,,,,
,,2008 - 2009,,,,,,,41,946,23.07,,,,,,,,,
,,2009 - 2010,,,,,,,39,"1,250.00",32.05,,,,,,,,,
,,2010 - 2011,,,,,,,80,"3,015.00",37.69,,,,,,,,,
,,2011 - 2012,,,,,,,333,"13,512.00",40.58,,,,,,,,,
,,2012 - 2013,,,,,,,228,"8,471.00",37.15,,,,,,,,,
,,2013 - 2014,,,,,,,208,"8,353.00",40.16,,,,,,,,,
,,2014 - 2015,,,,,,,165,"6,671.00",40.43,,,,,,,,,
,,2015 - 2016,,,,,,,153,"5,267.00",34.42,,,,,,,,,
,,2016 - 2017,,,,,,,57,"2,168.00",38.04,,,,,,,,,
,,2017 - 2018,,,,,,,154,"6,074.00",39.44,,,,,,,,,
,,2018 - 2019,,,,,,,138,"5,125.00",37.14,,,,,,,,,
,,2019 - 2020,,,,,,,105,"3,859.00",36.75,,,,,,,,,
,41. Kannauj,2000 - 2001,474,"24,351.00",51.37,,,,,,,,,,,,,,,
,,2001 - 2002,539,"28,780.00",53.4,,,,,,,,,,,,,,,
,,2002 - 2003,404,"19,939.00",49.35,,,,,,,,,,,,,,,
,,2003 - 2004,348,"16,452.00",47.28,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,358,"19,139.00",53.46,,,,,,,,,
,,2005 - 2006,,,,,,,355,"16,506.00",46.5,,,,,,,,,
,,2006 - 2007,,,,,,,358,"20,322.00",56.77,,,,,,,,,
,,2007 - 2008,,,,,,,399,"20,206.00",50.64,,,,,,,,,
,,2008 - 2009,,,,,,,94,"4,203.00",44.71,,,,,,,,,
,,2009 - 2010,,,,,,,163,"8,372.00",51.36,,,,,,,,,
,,2010 - 2011,,,,,,,197,"10,530.00",53.45,,,,,,,,,
,,2011 - 2012,,,,,,,226,"13,101.00",57.97,,,,,,,,,
,,2012 - 2013,,,,,,,215,"13,051.00",60.7,,,,,,,,,
,,2013 - 2014,,,,,,,204,"12,157.00",59.59,,,,,,,,,
,,2014 - 2015,,,,,,,130,"7,490.00",57.62,,,,,,,,,
,,2015 - 2016,,,,,,,154,"8,906.00",57.83,,,,,,,,,
,,2016 - 2017,,,,,,,208,"12,557.00",60.37,,,,,,,,,
,,2017 - 2018,,,,,,,194,"12,551.00",64.7,,,,,,,,,
,,2018 - 2019,,,,,,,173,"11,334.00",65.51,,,,,,,,,
,,2019 - 2020,,,,,,,168,"10,845.00",64.55,,,,,,,,,
,42. Kanpur dehat,2003 - 2004,"2,785.00","1,16,090.00",41.68,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"2,501.00","1,13,826.00",45.51,,,,,,,,,
,,2005 - 2006,,,,,,,"2,772.00","1,17,566.00",42.41,,,,,,,,,
,,2006 - 2007,,,,,,,"2,408.00","1,08,620.00",45.11,,,,,,,,,
,,2007 - 2008,,,,,,,"2,592.00","1,31,265.00",50.64,,,,,,,,,
,,2008 - 2009,,,,,,,"2,595.00","1,16,044.00",44.72,,,,,,,,,
,,2009 - 2010,,,,,,,"1,663.00","85,415.00",51.36,,,,,,,,,
,,2010 - 2011,,,,,,,"2,695.00","1,44,048.00",53.45,,,,,,,,,
,,2011 - 2012,,,,,,,"2,461.00","1,42,659.00",57.97,,,,,,,,,
,,2012 - 2013,,,,,,,"2,575.00","1,56,314.00",60.7,,,,,,,,,
,,2013 - 2014,,,,,,,"2,313.00","1,37,838.00",59.59,,,,,,,,,
,,2014 - 2015,,,,,,,"2,304.00","1,32,740.00",57.61,,,,,,,,,
,,2015 - 2016,,,,,,,"2,077.00","1,20,127.00",57.84,,,,,,,,,
,,2016 - 2017,,,,,,,"2,203.00","1,32,990.00",60.37,,,,,,,,,
,,2017 - 2018,,,,,,,"2,243.00","1,45,115.00",64.7,,,,,,,,,
,,2018 - 2019,,,,,,,"2,119.00","1,38,820.00",65.51,,,,,,,,,
,,2019 - 2020,,,,,,,"2,211.00","1,42,735.00",64.56,,,,,,,,,
,,2020 - 2021,,,,,,,"3,224.00","2,32,000.00",71.96,,,,,,,,,
,,2021 - 2022,,,,,,,"3,727.00","2,71,000.00",72.71,,,,,,,,,
,43. Kanpur nagar,2000 - 2001,"7,609.00","3,61,383.00",47.49,,,,,,,,,,,,,,,
,,2001 - 2002,"7,085.00","3,39,860.00",47.97,,,,,,,,,,,,,,,
,,2002 - 2003,"6,595.00","2,87,101.00",43.53,,,,,,,,,,,,,,,
,,2003 - 2004,"4,099.00","1,73,413.00",42.31,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"4,090.00","2,10,973.00",51.58,,,,,,,,,
,,2005 - 2006,,,,,,,"4,652.00","1,48,063.00",31.83,,,,,,,,,
,,2006 - 2007,,,,,,,"4,492.00","2,16,974.00",48.3,,,,,,,,,
,,2007 - 2008,,,,,,,"5,413.00","2,21,218.00",40.87,,,,,,,,,
,,2008 - 2009,,,,,,,"5,891.00","2,28,712.00",38.82,,,,,,,,,
,,2009 - 2010,,,,,,,"2,391.00","98,414.00",41.16,,,,,,,,,
,,2010 - 2011,,,,,,,"2,972.00","1,29,936.00",43.72,,,,,,,,,
,,2011 - 2012,,,,,,,"2,932.00","1,38,308.00",47.17,,,,,,,,,
,,2012 - 2013,,,,,,,"3,031.00","1,67,626.00",55.3,,,,,,,,,
,,2013 - 2014,,,,,,,"3,109.00","1,67,911.00",54.01,,,,,,,,,
,,2014 - 2015,,,,,,,"2,819.00","1,40,262.00",49.76,,,,,,,,,
,,2015 - 2016,,,,,,,"2,746.00","1,38,201.00",50.33,,,,,,,,,
,,2016 - 2017,,,,,,,"3,128.00","1,73,842.00",55.58,,,,,,,,,
,,2017 - 2018,,,,,,,"1,863.00","1,15,007.00",61.73,,,,,,,,,
,,2018 - 2019,,,,,,,"3,095.00","1,95,604.00",63.2,,,,,,,,,
,,2019 - 2020,,,,,,,"3,334.00","2,13,003.00",63.89,,,,,,,,,
,,2022 - 2023,,,,,,,"4,129.00","3,07,000.00",74.35,,,,,,,,,
,44. Kasganj,2009 - 2010,,,,,,,"5,236.00","2,80,859.00",53.64,,,,,,,,,
,,2010 - 2011,,,,,,,"5,778.00","2,82,174.00",48.84,,,,,,,,,
,,2011 - 2012,,,,,,,"8,721.00","4,91,969.00",56.41,,,,,,,,,
,,2012 - 2013,,,,,,,"7,013.00","4,11,102.00",58.62,,,,,,,,,
,,2013 - 2014,,,,,,,"7,531.00","4,67,012.00",62.01,,,,,,,,,
,,2014 - 2015,,,,,,,"7,331.00","4,04,876.00",55.23,,,,,,,,,
,,2015 - 2016,,,,,,,"6,516.00","3,97,554.00",61.01,,,,,,,,,
,,2016 - 2017,,,,,,,"7,013.00","4,48,916.00",64.01,,,,,,,,,
,,2017 - 2018,,,,,,,"6,946.00","5,15,840.00",74.26,,,,,,,,,
,,2018 - 2019,,,,,,,"7,173.00","5,68,588.00",79.27,,,,,,,,,
,,2019 - 2020,,,,,,,"7,477.00","6,01,823.00",80.49,,,,,,,,,
,,2022 - 2023,,,,,,,"5,284.00","4,38,000.00",82.89,,,,,,,,,
,45. Kaushambi,2000 - 2001,"2,753.00","1,13,948.00",41.39,,,,,,,,,,,,,,,
,,2001 - 2002,"2,827.00","1,13,545.00",40.16,,,,,,,,,,,,,,,
,,2002 - 2003,"2,407.00","1,02,148.00",42.44,,,,,,,,,,,,,,,
,,2003 - 2004,"2,352.00","1,06,511.00",45.29,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"1,659.00","1,13,267.00",68.27,,,,,,,,,
,,2005 - 2006,,,,,,,"2,927.00","1,08,441.00",37.05,,,,,,,,,
,,2006 - 2007,,,,,,,"1,832.00","60,239.00",32.88,,,,,,,,,
,,2007 - 2008,,,,,,,"1,548.00","69,041.00",44.6,,,,,,,,,
,,2008 - 2009,,,,,,,"1,480.00","81,806.00",55.27,,,,,,,,,
,,2009 - 2010,,,,,,,484,"21,076.00",43.55,,,,,,,,,
,,2010 - 2011,,,,,,,"1,572.00","91,712.00",58.34,,,,,,,,,
,,2011 - 2012,,,,,,,"1,846.00","1,03,145.00",55.87,,,,,,,,,
,,2012 - 2013,,,,,,,"1,787.00","1,09,252.00",61.14,,,,,,,,,
,,2013 - 2014,,,,,,,"1,401.00","95,589.00",68.23,,,,,,,,,
,,2014 - 2015,,,,,,,"1,439.00","94,659.00",65.78,,,,,,,,,
,,2015 - 2016,,,,,,,663,"44,442.00",67.03,,,,,,,,,
,,2016 - 2017,,,,,,,"1,424.00","1,03,478.00",72.67,,,,,,,,,
,,2017 - 2018,,,,,,,"1,736.00","63,760.00",36.73,,,,,,,,,
,,2018 - 2019,,,,,,,"1,526.00","58,602.00",38.4,,,,,,,,,
,,2019 - 2020,,,,,,,"1,503.00","1,22,213.00",81.31,,,,,,,,,
,46. Kheri,2000 - 2001,"1,91,836.00","96,30,935.00",50.2,,,,,,,,,,,,,,,
,,2001 - 2002,"2,15,963.00","1,15,00,462.00",53.25,,,,,,,,,,,,,,,
,,2002 - 2003,"2,24,036.00","1,20,05,641.00",53.59,,,,,,,,,,,,,,,
,,2003 - 2004,"2,19,325.00","1,09,75,023.00",50.04,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"2,11,097.00","1,27,90,789.00",60.59,,,,,,,,,
,,2005 - 2006,,,,,,,"2,31,170.00","1,31,19,360.00",56.75,,,,,,,,,
,,2006 - 2007,,,,,,,"2,27,118.00","1,34,23,582.00",59.1,,,,,,,,,
,,2007 - 2008,,,,,,,"2,24,650.00","1,19,42,394.00",53.16,,,,,,,,,
,,2008 - 2009,,,,,,,"2,15,109.00","1,06,63,383.00",49.57,,,,,,,,,
,,2009 - 2010,,,,,,,"2,13,876.00","1,28,63,358.00",60.14,,,,,,,,,
,,2010 - 2011,,,,,,,"2,32,123.00","1,29,82,175.00",55.93,,,,,,,,,
,,2011 - 2012,,,,,,,"2,31,031.00","1,43,05,440.00",61.92,,,,,,,,,
,,2012 - 2013,,,,,,,"2,38,233.00","1,43,59,732.00",60.28,,,,,,,,,
,,2013 - 2014,,,,,,,"2,40,036.00","1,50,40,656.00",62.66,,,,,,,,,
,,2014 - 2015,,,,,,,"2,68,653.00","1,77,57,963.00",66.1,,,,,,,,,
,,2015 - 2016,,,,,,,"2,77,299.00","1,84,18,200.00",66.42,,,,,,,,,
,,2016 - 2017,,,,,,,"2,45,844.00","1,76,97,818.00",71.99,,,,,,,,,
,,2017 - 2018,,,,,,,"2,48,135.00","2,00,26,480.00",80.71,,,,,,,,,
,,2018 - 2019,,,,,,,"2,39,675.00","2,06,93,540.00",86.34,,,,,,,,,
,,2019 - 2020,,,,,,,"2,37,847.00","2,06,56,536.00",86.85,,,,,,,,,
,,2020 - 2021,,,,,,,"3,34,732.00","2,85,77,000.00",85.37,,,,,,,,,
,,2021 - 2022,,,,,,,"3,27,500.00","2,80,47,000.00",85.64,,,,,,,,,
,,2022 - 2023,,,,,,,"3,48,677.00","3,02,85,000.00",86.86,,,,,,,,,
,47. Kushi nagar,2000 - 2001,"69,640.00","33,21,828.00",47.7,,,,,,,,,,,,,,,
,,2001 - 2002,"74,161.00","39,11,251.00",52.74,,,,,,,,,,,,,,,
,,2002 - 2003,"74,974.00","39,08,545.00",52.13,,,,,,,,,,,,,,,
,,2003 - 2004,"71,161.00","35,70,574.00",50.18,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"68,437.00","36,42,491.00",53.22,,,,,,,,,
,,2005 - 2006,,,,,,,"70,771.00","37,29,349.00",52.7,,,,,,,,,
,,2006 - 2007,,,,,,,"74,959.00","40,41,190.00",53.91,,,,,,,,,
,,2007 - 2008,,,,,,,"72,109.00","37,33,804.00",51.78,,,,,,,,,
,,2008 - 2009,,,,,,,"66,418.00","32,21,273.00",48.5,,,,,,,,,
,,2009 - 2010,,,,,,,"67,018.00","35,34,261.00",52.74,,,,,,,,,
,,2010 - 2011,,,,,,,"73,143.00","37,63,646.00",51.46,,,,,,,,,
,,2011 - 2012,,,,,,,"72,231.00","37,58,612.00",52.04,,,,,,,,,
,,2012 - 2013,,,,,,,"70,220.00","39,89,900.00",56.82,,,,,,,,,
,,2013 - 2014,,,,,,,"99,104.00","59,23,248.00",59.77,,,,,,,,,
,,2014 - 2015,,,,,,,"70,102.00","42,17,897.00",60.17,,,,,,,,,
,,2015 - 2016,,,,,,,"67,839.00","42,51,063.00",62.66,,,,,,,,,
,,2016 - 2017,,,,,,,"70,100.00","46,89,970.00",66.9,,,,,,,,,
,,2017 - 2018,,,,,,,"70,227.00","51,64,494.00",73.54,,,,,,,,,
,,2018 - 2019,,,,,,,"70,215.00","54,50,088.00",77.62,,,,,,,,,
,,2019 - 2020,,,,,,,"70,015.00","54,45,767.00",77.78,,,,,,,,,
,,2020 - 2021,,,,,,,"94,185.00","67,15,000.00",71.3,,,,,,,,,
,,2021 - 2022,,,,,,,"89,700.00","64,51,000.00",71.92,,,,,,,,,
,,2022 - 2023,,,,,,,"85,537.00","66,49,000.00",77.73,,,,,,,,,
,48. Lalitpur,2000 - 2001,191,"7,968.00",41.72,,,,,,,,,,,,,,,
,,2001 - 2002,170,"7,925.00",46.62,,,,,,,,,,,,,,,
,,2002 - 2003,126,"5,689.00",45.15,,,,,,,,,,,,,,,
,,2003 - 2004,93,"4,610.00",49.57,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,104,"6,270.00",60.29,,,,,,,,,
,,2005 - 2006,,,,,,,95,"2,135.00",22.47,,,,,,,,,
,,2006 - 2007,,,,,,,398,"15,334.00",38.53,,,,,,,,,
,,2007 - 2008,,,,,,,148,"2,953.00",19.95,,,,,,,,,
,,2008 - 2009,,,,,,,73,"1,684.00",23.07,,,,,,,,,
,,2009 - 2010,,,,,,,129,"4,135.00",32.05,,,,,,,,,
,,2010 - 2011,,,,,,,284,"10,702.00",37.68,,,,,,,,,
,,2011 - 2012,,,,,,,199,"8,075.00",40.58,,,,,,,,,
,,2012 - 2013,,,,,,,37,"1,375.00",37.16,,,,,,,,,
,,2013 - 2014,,,,,,,56,"2,249.00",40.16,,,,,,,,,
,,2014 - 2015,,,,,,,52,"2,102.00",40.42,,,,,,,,,
,,2015 - 2016,,,,,,,38,"1,308.00",34.42,,,,,,,,,
,,2016 - 2017,,,,,,,41,"1,560.00",38.05,,,,,,,,,
,,2017 - 2018,,,,,,,24,946,39.42,,,,,,,,,
,,2018 - 2019,,,,,,,87,"3,231.00",37.14,,,,,,,,,
,,2019 - 2020,,,,,,,39,"1,434.00",36.77,,,,,,,,,
,49. Lucknow,2000 - 2001,488,"27,422.00",56.19,,,,,,,,,,,,,,,
,,2001 - 2002,540,"28,514.00",52.8,,,,,,,,,,,,,,,
,,2002 - 2003,427,"20,260.00",47.45,,,,,,,,,,,,,,,
,,2003 - 2004,425,"20,412.00",48.03,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,428,"23,165.00",54.12,,,,,,,,,
,,2005 - 2006,,,,,,,398,"19,679.00",49.44,,,,,,,,,
,,2006 - 2007,,,,,,,428,"24,221.00",56.59,,,,,,,,,
,,2007 - 2008,,,,,,,472,"25,520.00",54.07,,,,,,,,,
,,2008 - 2009,,,,,,,398,"20,187.00",50.72,,,,,,,,,
,,2009 - 2010,,,,,,,277,"14,752.00",53.26,,,,,,,,,
,,2010 - 2011,,,,,,,184,"10,188.00",55.37,,,,,,,,,
,,2011 - 2012,,,,,,,174,"9,728.00",55.91,,,,,,,,,
,,2012 - 2013,,,,,,,264,"16,191.00",61.33,,,,,,,,,
,,2013 - 2014,,,,,,,202,"12,667.00",62.71,,,,,,,,,
,,2014 - 2015,,,,,,,195,"12,853.00",65.91,,,,,,,,,
,,2015 - 2016,,,,,,,203,"13,393.00",65.98,,,,,,,,,
,,2016 - 2017,,,,,,,217,"15,484.00",71.35,,,,,,,,,
,,2017 - 2018,,,,,,,267,"20,849.00",78.09,,,,,,,,,
,,2018 - 2019,,,,,,,193,"15,857.00",82.16,,,,,,,,,
,,2019 - 2020,,,,,,,203,"16,733.00",82.43,,,,,,,,,
,50. Maharajganj,2000 - 2001,"17,444.00","8,29,637.00",47.56,,,,,,,,,,,,,,,
,,2001 - 2002,"18,186.00","10,57,407.00",58.14,,,,,,,,,,,,,,,
,,2002 - 2003,"22,684.00","12,67,945.00",55.9,,,,,,,,,,,,,,,
,,2003 - 2004,"20,595.00","9,99,928.00",48.55,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"17,972.00","10,22,535.00",56.9,,,,,,,,,
,,2005 - 2006,,,,,,,"22,815.00","13,69,356.00",60.02,,,,,,,,,
,,2006 - 2007,,,,,,,"22,711.00","11,43,453.00",50.35,,,,,,,,,
,,2007 - 2008,,,,,,,"19,911.00","11,17,087.00",56.1,,,,,,,,,
,,2008 - 2009,,,,,,,"19,090.00","9,96,651.00",52.21,,,,,,,,,
,,2009 - 2010,,,,,,,"13,746.00","7,03,410.00",51.17,,,,,,,,,
,,2010 - 2011,,,,,,,"18,632.00","10,59,788.00",56.88,,,,,,,,,
,,2011 - 2012,,,,,,,"18,812.00","11,21,872.00",59.64,,,,,,,,,
,,2012 - 2013,,,,,,,"18,611.00","11,30,283.00",60.73,,,,,,,,,
,,2013 - 2014,,,,,,,"18,510.00","11,29,480.00",61.02,,,,,,,,,
,,2014 - 2015,,,,,,,"15,932.00","9,52,033.00",59.76,,,,,,,,,
,,2015 - 2016,,,,,,,"15,205.00","9,14,307.00",60.13,,,,,,,,,
,,2016 - 2017,,,,,,,"17,489.00","11,22,724.00",64.2,,,,,,,,,
,,2017 - 2018,,,,,,,"17,644.00","11,61,540.00",65.83,,,,,,,,,
,,2018 - 2019,,,,,,,"21,279.00","14,42,716.00",67.8,,,,,,,,,
,,2019 - 2020,,,,,,,"18,099.00","12,27,547.00",67.82,,,,,,,,,
,,2020 - 2021,,,,,,,"9,631.00","6,33,000.00",65.73,,,,,,,,,
,,2021 - 2022,,,,,,,"13,929.00","9,26,000.00",66.48,,,,,,,,,
,,2022 - 2023,,,,,,,"15,918.00","11,07,000.00",69.54,,,,,,,,,
,51. Mahoba,2000 - 2001,"1,015.00","43,801.00",43.15,,,,,,,,,,,,,,,
,,2001 - 2002,"1,014.00","52,397.00",51.67,,,,,,,,,,,,,,,
,,2002 - 2003,"1,224.00","61,877.00",50.55,,,,,,,,,,,,,,,
,,2003 - 2004,"1,315.00","55,471.00",42.18,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"1,547.00","59,846.00",38.69,,,,,,,,,
,,2005 - 2006,,,,,,,"1,876.00","59,038.00",31.47,,,,,,,,,
,,2006 - 2007,,,,,,,"1,869.00","79,739.00",42.66,,,,,,,,,
,,2007 - 2008,,,,,,,"2,603.00","68,782.00",26.42,,,,,,,,,
,,2008 - 2009,,,,,,,"1,617.00","65,870.00",40.74,,,,,,,,,
,,2009 - 2010,,,,,,,"1,477.00","59,213.00",40.09,,,,,,,,,
,,2010 - 2011,,,,,,,"1,570.00","77,352.00",49.27,,,,,,,,,
,,2011 - 2012,,,,,,,"2,577.00","1,23,967.00",48.11,,,,,,,,,
,,2012 - 2013,,,,,,,"2,487.00","92,402.00",37.15,,,,,,,,,
,,2013 - 2014,,,,,,,"3,617.00","1,61,568.00",44.67,,,,,,,,,
,,2014 - 2015,,,,,,,"2,545.00","1,02,932.00",40.44,,,,,,,,,
,,2015 - 2016,,,,,,,"2,998.00","1,09,982.00",36.69,,,,,,,,,
,,2016 - 2017,,,,,,,"3,297.00","1,41,616.00",42.95,,,,,,,,,
,,2017 - 2018,,,,,,,"2,424.00","92,917.00",38.33,,,,,,,,,
,,2018 - 2019,,,,,,,"2,240.00","87,362.00",39,,,,,,,,,
,,2019 - 2020,,,,,,,"2,523.00","1,00,340.00",39.77,,,,,,,,,
,52. Mainpuri,2000 - 2001,436,"22,510.00",51.63,,,,,,,,,,,,,,,
,,2001 - 2002,524,"27,469.00",52.42,,,,,,,,,,,,,,,
,,2002 - 2003,420,"22,851.00",54.41,,,,,,,,,,,,,,,
,,2003 - 2004,527,"27,258.00",51.72,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,361,"17,930.00",49.67,,,,,,,,,
,,2005 - 2006,,,,,,,527,"26,550.00",50.38,,,,,,,,,
,,2006 - 2007,,,,,,,361,"19,438.00",53.84,,,,,,,,,
,,2007 - 2008,,,,,,,453,"23,795.00",52.53,,,,,,,,,
,,2008 - 2009,,,,,,,423,"21,636.00",51.15,,,,,,,,,
,,2009 - 2010,,,,,,,369,"15,942.00",43.2,,,,,,,,,
,,2010 - 2011,,,,,,,430,"21,889.00",50.9,,,,,,,,,
,,2011 - 2012,,,,,,,529,"25,114.00",47.47,,,,,,,,,
,,2012 - 2013,,,,,,,555,"25,170.00",45.35,,,,,,,,,
,,2013 - 2014,,,,,,,547,"26,252.00",47.99,,,,,,,,,
,,2014 - 2015,,,,,,,338,"14,234.00",42.11,,,,,,,,,
,,2015 - 2016,,,,,,,355,"16,580.00",46.7,,,,,,,,,
,,2016 - 2017,,,,,,,463,"24,817.00",53.6,,,,,,,,,
,,2017 - 2018,,,,,,,441,"24,998.00",56.68,,,,,,,,,
,,2018 - 2019,,,,,,,452,"24,799.00",54.87,,,,,,,,,
,,2019 - 2020,,,,,,,477,"31,388.00",65.8,,,,,,,,,
,53. Mathura,2000 - 2001,"10,454.00","4,97,318.00",47.57,,,,,,,,,,,,,,,
,,2001 - 2002,"10,576.00","4,49,776.00",42.53,,,,,,,,,,,,,,,
,,2002 - 2003,"9,275.00","5,00,665.00",53.98,,,,,,,,,,,,,,,
,,2003 - 2004,"8,048.00","3,96,638.00",49.28,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"6,292.00","3,00,154.00",47.7,,,,,,,,,
,,2005 - 2006,,,,,,,"8,048.00","3,66,828.00",45.58,,,,,,,,,
,,2006 - 2007,,,,,,,"6,292.00","2,78,660.00",44.29,,,,,,,,,
,,2007 - 2008,,,,,,,"5,910.00","2,86,399.00",48.46,,,,,,,,,
,,2008 - 2009,,,,,,,"5,602.00","2,46,062.00",43.92,,,,,,,,,
,,2009 - 2010,,,,,,,"5,487.00","2,37,060.00",43.2,,,,,,,,,
,,2010 - 2011,,,,,,,"4,983.00","2,53,655.00",50.9,,,,,,,,,
,,2011 - 2012,,,,,,,"4,375.00","2,07,708.00",47.48,,,,,,,,,
,,2012 - 2013,,,,,,,856,"38,821.00",45.35,,,,,,,,,
,,2013 - 2014,,,,,,,585,"28,075.00",47.99,,,,,,,,,
,,2014 - 2015,,,,,,,990,"41,691.00",42.11,,,,,,,,,
,,2015 - 2016,,,,,,,742,"34,654.00",46.7,,,,,,,,,
,,2016 - 2017,,,,,,,295,"15,812.00",53.6,,,,,,,,,
,,2017 - 2018,,,,,,,523,"29,646.00",56.68,,,,,,,,,
,,2018 - 2019,,,,,,,183,"10,040.00",54.86,,,,,,,,,
,,2019 - 2020,,,,,,,829,"54,552.00",65.8,,,,,,,,,
,,2020 - 2021,,,,,,,131,"8,000.00",61.07,,,,,,,,,
,,2021 - 2022,,,,,,,136,"8,000.00",58.82,,,,,,,,,
,,2022 - 2023,,,,,,,113,"7,000.00",61.95,,,,,,,,,
,54. Mau,2000 - 2001,"9,474.00","4,45,297.00",47,,,,,,,,,,,,,,,
,,2001 - 2002,"9,024.00","4,21,565.00",46.72,,,,,,,,,,,,,,,
,,2002 - 2003,"9,261.00","4,00,779.00",43.28,,,,,,,,,,,,,,,
,,2003 - 2004,"8,784.00","3,80,699.00",43.34,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"7,040.00","3,10,858.00",44.16,,,,,,,,,
,,2005 - 2006,,,,,,,"9,386.00","4,35,886.00",46.44,,,,,,,,,
,,2006 - 2007,,,,,,,"7,040.00","2,69,491.00",38.28,,,,,,,,,
,,2007 - 2008,,,,,,,"6,253.00","2,55,773.00",40.9,,,,,,,,,
,,2008 - 2009,,,,,,,"7,306.00","2,90,574.00",39.77,,,,,,,,,
,,2009 - 2010,,,,,,,"6,148.00","2,57,650.00",41.91,,,,,,,,,
,,2010 - 2011,,,,,,,"6,873.00","2,95,951.00",43.06,,,,,,,,,
