State,District,Year,Linseed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2011 - 2012,305,196,0.64,,,,,,
,,2012 - 2013,310,215,0.69,,,,,,
,,2013 - 2014,225,147,0.65,,,,,,
,,2014 - 2015,185,150,0.81,,,,,,
,,2015 - 2016,170,98,0.58,,,,,,
,,2016 - 2017,150,102,0.68,,,,,,
,,2017 - 2018,168,121,0.72,,,,,,
,,2018 - 2019,163,111,0.68,,,,,,
,,2019 - 2020,168,116,0.69,,,,,,
,,2020 - 2021,85,59,0.69,,,,,,
,,2021 - 2022,43,27,0.63,,,,,,
,,2022 - 2023,36,23,0.64,,,,,,
,27. Sivasagar,2000 - 2001,2,2,1,,,,,,
,,2001 - 2002,2,2,1,,,,,,
,,2002 - 2003,2,2,1,,,,,,
,,2003 - 2004,2,2,1,,,,,,
,,2004 - 2005,3,1,0.33,,,,,,
,,2005 - 2006,1,1,1,,,,,,
,,2007 - 2008,1,1,1,,,,,,
,,2012 - 2013,1,1,1,,,,,,
,,2013 - 2014,1,1,1,,,,,,
,,2014 - 2015,1,1,1,,,,,,
,,2015 - 2016,1,1,1,,,,,,
,28. Sonitpur,2000 - 2001,600,261,0.44,,,,,,
,,2001 - 2002,565,247,0.44,,,,,,
,,2002 - 2003,495,219,0.44,,,,,,
,,2003 - 2004,553,242,0.44,,,,,,
,,2004 - 2005,350,158,0.45,,,,,,
,,2005 - 2006,346,157,0.45,,,,,,
,,2006 - 2007,318,154,0.48,,,,,,
,,2007 - 2008,319,149,0.47,,,,,,
,,2008 - 2009,301,143,0.48,,,,,,
,,2009 - 2010,286,138,0.48,,,,,,
,,2010 - 2011,307,259,0.84,,,,,,
,,2011 - 2012,255,135,0.53,,,,,,
,,2012 - 2013,88,51,0.58,,,,,,
,,2013 - 2014,80,53,0.66,,,,,,
,,2014 - 2015,111,76,0.68,,,,,,
,,2015 - 2016,106,65,0.61,,,,,,
,,2016 - 2017,124,80,0.65,,,,,,
,,2017 - 2018,118,54,0.46,,,,,,
,,2018 - 2019,109,68,0.62,,,,,,
,,2019 - 2020,174,121,0.7,,,,,,
,,2020 - 2021,115,75,0.65,,,,,,
,,2021 - 2022,115,74,0.64,,,,,,
,,2022 - 2023,100,64,0.64,,,,,,
,29. South salmara mancachar,2020 - 2021,40,30,0.75,,,,,,
,,2021 - 2022,40,30,0.75,,,,,,
,,2022 - 2023,14,6,0.43,,,,,,
,30. Tinsukia,2002 - 2003,2,1,0.5,,,,,,
,,2003 - 2004,1,1,1,,,,,,
,,2004 - 2005,1,1,1,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,
,,2015 - 2016,5,2,0.4,,,,,,
,,2017 - 2018,2,1,0.5,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,
,,2019 - 2020,5,2,0.4,,,,,,
,31. Udalguri,2005 - 2006,558,223,0.4,,,,,,
,,2006 - 2007,712,294,0.41,,,,,,
,,2007 - 2008,398,162,0.41,,,,,,
,,2008 - 2009,556,254,0.46,,,,,,
,,2009 - 2010,234,99,0.42,,,,,,
,,2010 - 2011,303,131,0.43,,,,,,
,,2011 - 2012,364,167,0.46,,,,,,
,,2012 - 2013,339,168,0.5,,,,,,
,,2013 - 2014,267,149,0.56,,,,,,
,,2014 - 2015,267,155,0.58,,,,,,
,,2015 - 2016,270,117,0.43,,,,,,
,,2016 - 2017,450,275,0.61,,,,,,
,,2017 - 2018,329,214,0.65,,,,,,
,,2018 - 2019,350,231,0.66,,,,,,
,,2019 - 2020,403,302,0.75,,,,,,
,,2020 - 2021,402,293,0.73,,,,,,
,,2021 - 2022,376,271,0.72,,,,,,
,,2022 - 2023,420,274,0.65,,,,,,
,32. West karbi anglong,2020 - 2021,15,4,0.27,,,,,,
,,2021 - 2022,15,6,0.4,,,,,,
,,2022 - 2023,14,6,0.43,,,,,,
3. Bihar,1. Araria,2000 - 2001,"1,949.00","1,263.00",0.65,,,,,,
,,2001 - 2002,"1,552.00",858,0.55,,,,,,
,,2002 - 2003,"1,627.00","1,237.00",0.76,,,,,,
,,2003 - 2004,"1,709.00","1,340.00",0.78,,,,,,
,,2004 - 2005,"1,616.00","1,193.00",0.74,,,,,,
,,2005 - 2006,"1,414.00","1,210.00",0.86,,,,,,
,,2006 - 2007,"1,635.00","1,388.00",0.85,,,,,,
,,2007 - 2008,"1,957.00","1,693.00",0.87,,,,,,
,,2008 - 2009,"1,957.00","1,656.00",0.85,,,,,,
,,2009 - 2010,"1,659.00","1,404.00",0.85,,,,,,
,,2010 - 2011,"1,977.00","1,617.00",0.82,,,,,,
,,2011 - 2012,"1,823.00","1,577.00",0.87,,,,,,
,,2012 - 2013,"1,873.00","1,624.00",0.87,,,,,,
,,2013 - 2014,138,117,0.85,,,,,,
,,2016 - 2017,46,38,0.83,,,,,,
,2. Arwal,2003 - 2004,128,100,0.78,,,,,,
,,2004 - 2005,165,139,0.84,,,,,,
,,2005 - 2006,253,217,0.86,,,,,,
,,2007 - 2008,128,106,0.83,,,,,,
,,2008 - 2009,167,141,0.84,,,,,,
,,2009 - 2010,184,156,0.85,,,,,,
,,2010 - 2011,170,139,0.82,,,,,,
,,2011 - 2012,160,138,0.86,,,,,,
,,2012 - 2013,160,139,0.87,,,,,,
,,2013 - 2014,165,140,0.85,,,,,,
,,2014 - 2015,375,323,0.86,,,,,,
,,2015 - 2016,376,320,0.85,,,,,,
,,2016 - 2017,372,310,0.83,,,,,,
,,2017 - 2018,333,282,0.85,,,,,,
,,2018 - 2019,85,72,0.85,,,,,,
,,2019 - 2020,43,36,0.84,,,,,,
,,2020 - 2021,21,18,0.86,,,,,,
,,2021 - 2022,39,33,0.85,,,,,,
,3. Aurangabad,2000 - 2001,"7,426.00","4,701.00",0.63,,,,,,
,,2001 - 2002,"6,957.00","4,939.00",0.71,,,,,,
,,2002 - 2003,"4,176.00","3,174.00",0.76,,,,,,
,,2003 - 2004,"8,273.00","6,486.00",0.78,,,,,,
,,2004 - 2005,"5,440.00","4,586.00",0.84,,,,,,
,,2005 - 2006,"4,319.00","3,697.00",0.86,,,,,,
,,2006 - 2007,"5,312.00","4,510.00",0.85,,,,,,
,,2007 - 2008,"5,631.00","4,645.00",0.82,,,,,,
,,2008 - 2009,"4,889.00","4,136.00",0.85,,,,,,
,,2009 - 2010,"5,519.00","4,669.00",0.85,,,,,,
,,2010 - 2011,"4,000.00","3,272.00",0.82,,,,,,
,,2011 - 2012,"6,837.00","5,914.00",0.86,,,,,,
,,2012 - 2013,"5,301.00","4,596.00",0.87,,,,,,
,,2013 - 2014,"5,649.00","4,802.00",0.85,,,,,,
,,2014 - 2015,"4,036.00","3,475.00",0.86,,,,,,
,,2015 - 2016,"3,389.00","2,881.00",0.85,,,,,,
,,2016 - 2017,"2,593.00","2,160.00",0.83,,,,,,
,,2017 - 2018,"2,422.00","2,054.00",0.85,,,,,,
,,2018 - 2019,"2,011.00","1,697.00",0.84,,,,,,
,,2019 - 2020,"1,997.00","1,681.00",0.84,,,,,,
,,2020 - 2021,"1,248.00","1,055.00",0.85,,,,,,
,,2021 - 2022,"1,273.00","1,076.00",0.85,,,,,,
,,2022 - 2023,"1,333.00","1,152.00",0.86,,,,,,
,4. Banka,2000 - 2001,"1,212.00",827,0.68,,,,,,
,,2001 - 2002,"1,173.00",833,0.71,,,,,,
,,2002 - 2003,766,582,0.76,,,,,,
,,2003 - 2004,967,758,0.78,,,,,,
,,2004 - 2005,847,714,0.84,,,,,,
,,2005 - 2006,860,744,0.87,,,,,,
,,2006 - 2007,918,779,0.85,,,,,,
,,2007 - 2008,848,700,0.83,,,,,,
,,2008 - 2009,875,740,0.85,,,,,,
,,2009 - 2010,388,328,0.85,,,,,,
,,2010 - 2011,297,243,0.82,,,,,,
,,2011 - 2012,375,324,0.86,,,,,,
,,2012 - 2013,172,149,0.87,,,,,,
,,2013 - 2014,165,140,0.85,,,,,,
,,2014 - 2015,137,118,0.86,,,,,,
,,2015 - 2016,158,136,0.86,,,,,,
,,2016 - 2017,159,132,0.83,,,,,,
,,2017 - 2018,161,137,0.85,,,,,,
,,2018 - 2019,211,179,0.85,,,,,,
,,2019 - 2020,211,178,0.84,,,,,,
,,2020 - 2021,137,116,0.85,,,,,,
,,2021 - 2022,128,108,0.84,,,,,,
,,2022 - 2023,126,108,0.86,,,,,,
,5. Begusarai,2001 - 2002,4,3,0.75,,,,,,
,,2003 - 2004,9,7,0.78,,,,,,
,,2004 - 2005,9,8,0.89,,,,,,
,,2005 - 2006,14,11,0.79,,,,,,
,,2006 - 2007,10,8,0.8,,,,,,
,,2009 - 2010,46,39,0.85,,,,,,
,,2010 - 2011,1,1,1,,,,,,
,,2011 - 2012,1,1,1,,,,,,
,,2013 - 2014,2,2,1,,,,,,
,,2014 - 2015,2,2,1,,,,,,
,,2015 - 2016,2,2,1,,,,,,
,,2016 - 2017,2,2,1,,,,,,
,,2022 - 2023,4,4,1,,,,,,
,6. Bhagalpur,2000 - 2001,949,647,0.68,,,,,,
,,2001 - 2002,"1,098.00",780,0.71,,,,,,
,,2002 - 2003,"1,005.00",764,0.76,,,,,,
,,2003 - 2004,968,759,0.78,,,,,,
,,2004 - 2005,672,566,0.84,,,,,,
,,2005 - 2006,741,641,0.87,,,,,,
,,2006 - 2007,818,694,0.85,,,,,,
,,2007 - 2008,672,554,0.82,,,,,,
,,2008 - 2009,673,569,0.85,,,,,,
,,2009 - 2010,641,542,0.85,,,,,,
,,2010 - 2011,865,708,0.82,,,,,,
,,2011 - 2012,647,560,0.87,,,,,,
,,2012 - 2013,506,439,0.87,,,,,,
,,2013 - 2014,566,481,0.85,,,,,,
,,2014 - 2015,563,485,0.86,,,,,,
,,2015 - 2016,453,389,0.86,,,,,,
,,2016 - 2017,558,465,0.83,,,,,,
,,2017 - 2018,846,720,0.85,,,,,,
,,2018 - 2019,847,718,0.85,,,,,,
,,2019 - 2020,846,714,0.84,,,,,,
,,2020 - 2021,598,507,0.85,,,,,,
,,2021 - 2022,576,488,0.85,,,,,,
,,2022 - 2023,582,497,0.85,,,,,,
,7. Bhojpur,2000 - 2001,970,679,0.7,,,,,,
,,2001 - 2002,642,533,0.83,,,,,,
,,2002 - 2003,633,517,0.82,,,,,,
,,2003 - 2004,655,517,0.79,,,,,,
,,2004 - 2005,452,428,0.95,,,,,,
,,2005 - 2006,650,554,0.85,,,,,,
,,2006 - 2007,586,500,0.85,,,,,,
,,2007 - 2008,347,296,0.85,,,,,,
,,2008 - 2009,461,393,0.85,,,,,,
,,2009 - 2010,266,225,0.85,,,,,,
,,2010 - 2011,266,218,0.82,,,,,,
,,2011 - 2012,260,225,0.87,,,,,,
,,2012 - 2013,420,364,0.87,,,,,,
,,2013 - 2014,172,146,0.85,,,,,,
,,2014 - 2015,130,112,0.86,,,,,,
,,2015 - 2016,241,207,0.86,,,,,,
,,2016 - 2017,155,129,0.83,,,,,,
,,2017 - 2018,190,163,0.86,,,,,,
,,2018 - 2019,225,191,0.85,,,,,,
,,2019 - 2020,249,211,0.85,,,,,,
,,2020 - 2021,238,203,0.85,,,,,,
,,2021 - 2022,24,20,0.83,,,,,,
,,2022 - 2023,9,8,0.89,,,,,,
,8. Buxar,2000 - 2001,841,589,0.7,,,,,,
,,2001 - 2002,"1,098.00",911,0.83,,,,,,
,,2002 - 2003,770,629,0.82,,,,,,
,,2003 - 2004,716,565,0.79,,,,,,
,,2004 - 2005,592,561,0.95,,,,,,
,,2005 - 2006,899,767,0.85,,,,,,
,,2006 - 2007,787,671,0.85,,,,,,
,,2007 - 2008,"1,118.00",954,0.85,,,,,,
,,2008 - 2009,991,845,0.85,,,,,,
,,2009 - 2010,772,653,0.85,,,,,,
,,2010 - 2011,597,488,0.82,,,,,,
,,2011 - 2012,569,492,0.86,,,,,,
,,2012 - 2013,326,283,0.87,,,,,,
,,2013 - 2014,455,387,0.85,,,,,,
,,2014 - 2015,321,276,0.86,,,,,,
,,2015 - 2016,423,363,0.86,,,,,,
,,2016 - 2017,292,243,0.83,,,,,,
,,2017 - 2018,163,140,0.86,,,,,,
,,2018 - 2019,161,137,0.85,,,,,,
,,2019 - 2020,126,107,0.85,,,,,,
,,2020 - 2021,91,78,0.86,,,,,,
,,2021 - 2022,82,70,0.85,,,,,,
,,2022 - 2023,17,15,0.88,,,,,,
,9. Darbhanga,2000 - 2001,"1,412.00","1,048.00",0.74,,,,,,
,,2001 - 2002,"1,453.00",885,0.61,,,,,,
,,2002 - 2003,737,441,0.6,,,,,,
,,2003 - 2004,370,290,0.78,,,,,,
,,2004 - 2005,180,152,0.84,,,,,,
,,2005 - 2006,186,159,0.85,,,,,,
,,2006 - 2007,118,100,0.85,,,,,,
,,2007 - 2008,119,98,0.82,,,,,,
,,2008 - 2009,46,39,0.85,,,,,,
,,2009 - 2010,27,23,0.85,,,,,,
,,2010 - 2011,13,11,0.85,,,,,,
,,2011 - 2012,14,12,0.86,,,,,,
,,2012 - 2013,14,12,0.86,,,,,,
,,2013 - 2014,15,13,0.87,,,,,,
,,2015 - 2016,21,18,0.86,,,,,,
,,2016 - 2017,25,22,0.88,,,,,,
,,2017 - 2018,25,21,0.84,,,,,,
,,2018 - 2019,25,21,0.84,,,,,,
,,2019 - 2020,24,21,0.88,,,,,,
,,2020 - 2021,29,25,0.86,,,,,,
,,2021 - 2022,27,23,0.85,,,,,,
,,2022 - 2023,29,25,0.86,,,,,,
,10. Gaya,2000 - 2001,"3,225.00","2,041.00",0.63,,,,,,
,,2001 - 2002,"3,032.00","2,153.00",0.71,,,,,,
,,2002 - 2003,"2,974.00","2,260.00",0.76,,,,,,
,,2003 - 2004,"2,030.00","1,592.00",0.78,,,,,,
,,2004 - 2005,"2,039.00","1,719.00",0.84,,,,,,
,,2005 - 2006,"1,710.00","1,464.00",0.86,,,,,,
,,2006 - 2007,"1,926.00","1,635.00",0.85,,,,,,
,,2007 - 2008,"1,938.00","1,599.00",0.83,,,,,,
,,2008 - 2009,"2,003.00","1,695.00",0.85,,,,,,
,,2009 - 2010,"1,099.00",930,0.85,,,,,,
,,2010 - 2011,"1,621.00","1,326.00",0.82,,,,,,
,,2011 - 2012,"1,629.00","1,409.00",0.86,,,,,,
,,2012 - 2013,"1,629.00","1,412.00",0.87,,,,,,
,,2013 - 2014,"1,322.00","1,124.00",0.85,,,,,,
,,2014 - 2015,959,826,0.86,,,,,,
,,2015 - 2016,872,741,0.85,,,,,,
,,2016 - 2017,937,781,0.83,,,,,,
,,2017 - 2018,878,745,0.85,,,,,,
,11. Gopalganj,2000 - 2001,177,175,0.99,,,,,,
,,2001 - 2002,29,29,1,,,,,,
,,2002 - 2003,66,49,0.74,,,,,,
,,2003 - 2004,53,42,0.79,,,,,,
,,2004 - 2005,40,34,0.85,,,,,,
,,2005 - 2006,205,175,0.85,,,,,,
,,2006 - 2007,43,37,0.86,,,,,,
,,2007 - 2008,29,24,0.83,,,,,,
,,2008 - 2009,46,39,0.85,,,,,,
,,2009 - 2010,49,41,0.84,,,,,,
,,2010 - 2011,15,12,0.8,,,,,,
,,2011 - 2012,15,13,0.87,,,,,,
,,2012 - 2013,15,13,0.87,,,,,,
,,2022 - 2023,148,126,0.85,,,,,,
,12. Jamui,2000 - 2001,264,180,0.68,,,,,,
,,2001 - 2002,271,192,0.71,,,,,,
,,2002 - 2003,304,231,0.76,,,,,,
,,2003 - 2004,290,215,0.74,,,,,,
,,2004 - 2005,268,226,0.84,,,,,,
,,2005 - 2006,224,184,0.82,,,,,,
,,2006 - 2007,246,202,0.82,,,,,,
,,2007 - 2008,164,134,0.82,,,,,,
,,2008 - 2009,211,173,0.82,,,,,,
,,2009 - 2010,78,66,0.85,,,,,,
,,2010 - 2011,90,74,0.82,,,,,,
,,2011 - 2012,87,75,0.86,,,,,,
,,2012 - 2013,88,76,0.86,,,,,,
,,2013 - 2014,66,56,0.85,,,,,,
,,2014 - 2015,261,225,0.86,,,,,,
,,2015 - 2016,100,92,0.92,,,,,,
,13. Jehanabad,2000 - 2001,367,232,0.63,,,,,,
,,2001 - 2002,469,333,0.71,,,,,,
,,2002 - 2003,317,241,0.76,,,,,,
,,2003 - 2004,314,246,0.78,,,,,,
,,2004 - 2005,195,164,0.84,,,,,,
,,2005 - 2006,201,172,0.86,,,,,,
,,2006 - 2007,254,216,0.85,,,,,,
,,2007 - 2008,60,50,0.83,,,,,,
,,2008 - 2009,104,88,0.85,,,,,,
,,2009 - 2010,101,85,0.84,,,,,,
,,2010 - 2011,102,83,0.81,,,,,,
,,2011 - 2012,107,93,0.87,,,,,,
,,2012 - 2013,114,99,0.87,,,,,,
,,2013 - 2014,119,101,0.85,,,,,,
,,2014 - 2015,107,92,0.86,,,,,,
,,2015 - 2016,107,91,0.85,,,,,,
,,2016 - 2017,107,89,0.83,,,,,,
,,2017 - 2018,100,85,0.85,,,,,,
,,2018 - 2019,98,83,0.85,,,,,,
,,2019 - 2020,79,67,0.85,,,,,,
,,2020 - 2021,78,66,0.85,,,,,,
,,2021 - 2022,71,60,0.85,,,,,,
,,2022 - 2023,66,57,0.86,,,,,,
,14. Kaimur (bhabua),2000 - 2001,"2,174.00","1,804.00",0.83,,,,,,
,,2001 - 2002,"2,870.00","2,382.00",0.83,,,,,,
,,2002 - 2003,"2,602.00","2,160.00",0.83,,,,,,
,,2003 - 2004,"2,602.00","2,053.00",0.79,,,,,,
,,2004 - 2005,"1,249.00","1,142.00",0.91,,,,,,
,,2005 - 2006,"2,271.00","1,937.00",0.85,,,,,,
,,2006 - 2007,"2,233.00","1,905.00",0.85,,,,,,
,,2007 - 2008,"2,323.00","1,982.00",0.85,,,,,,
,,2008 - 2009,"2,012.00","1,716.00",0.85,,,,,,
,,2009 - 2010,"1,356.00","1,147.00",0.85,,,,,,
,,2010 - 2011,"1,342.00","1,098.00",0.82,,,,,,
,,2011 - 2012,"1,178.00","1,019.00",0.87,,,,,,
,,2012 - 2013,"1,104.00",957,0.87,,,,,,
,,2013 - 2014,"1,668.00","1,418.00",0.85,,,,,,
,,2014 - 2015,"1,482.00","1,276.00",0.86,,,,,,
,,2015 - 2016,"1,334.00","1,146.00",0.86,,,,,,
,,2016 - 2017,"1,495.00","1,245.00",0.83,,,,,,
,,2017 - 2018,"1,249.00","1,074.00",0.86,,,,,,
,,2018 - 2019,"1,454.00","1,237.00",0.85,,,,,,
,,2019 - 2020,436,370,0.85,,,,,,
,,2020 - 2021,252,215,0.85,,,,,,
,,2021 - 2022,247,210,0.85,,,,,,
,,2022 - 2023,241,206,0.85,,,,,,
,15. Katihar,2000 - 2001,271,173,0.64,,,,,,
,,2001 - 2002,352,175,0.5,,,,,,
,,2002 - 2003,297,226,0.76,,,,,,
,,2003 - 2004,441,346,0.78,,,,,,
,,2004 - 2005,688,508,0.74,,,,,,
,,2005 - 2006,715,612,0.86,,,,,,
,,2006 - 2007,415,352,0.85,,,,,,
,,2007 - 2008,469,372,0.79,,,,,,
,,2008 - 2009,499,422,0.85,,,,,,
,,2009 - 2010,491,415,0.85,,,,,,
,,2010 - 2011,410,335,0.82,,,,,,
,,2011 - 2012,434,375,0.86,,,,,,
,,2012 - 2013,393,341,0.87,,,,,,
,,2013 - 2014,392,333,0.85,,,,,,
,,2014 - 2015,482,415,0.86,,,,,,
,,2015 - 2016,485,417,0.86,,,,,,
,,2016 - 2017,155,129,0.83,,,,,,
,,2017 - 2018,494,420,0.85,,,,,,
,,2018 - 2019,235,199,0.85,,,,,,
,,2020 - 2021,97,82,0.85,,,,,,
,,2021 - 2022,88,75,0.85,,,,,,
,,2022 - 2023,79,67,0.85,,,,,,
,16. Khagaria,2000 - 2001,36,25,0.69,,,,,,
,,2001 - 2002,79,56,0.71,,,,,,
,,2002 - 2003,71,54,0.76,,,,,,
,,2003 - 2004,73,54,0.74,,,,,,
,,2004 - 2005,74,62,0.84,,,,,,
,,2005 - 2006,86,71,0.83,,,,,,
,,2006 - 2007,31,25,0.81,,,,,,
,,2007 - 2008,29,24,0.83,,,,,,
,,2008 - 2009,27,22,0.81,,,,,,
,,2009 - 2010,29,25,0.86,,,,,,
,,2010 - 2011,29,24,0.83,,,,,,
,,2011 - 2012,39,34,0.87,,,,,,
,,2012 - 2013,39,34,0.87,,,,,,
,,2013 - 2014,29,25,0.86,,,,,,
,,2014 - 2015,29,25,0.86,,,,,,
,,2015 - 2016,21,19,0.9,,,,,,
,,2016 - 2017,35,27,0.77,,,,,,
,,2017 - 2018,17,14,0.82,,,,,,
,,2018 - 2019,15,13,0.87,,,,,,
,,2019 - 2020,14,12,0.86,,,,,,
,,2020 - 2021,10,9,0.9,,,,,,
,,2021 - 2022,17,14,0.82,,,,,,
,,2022 - 2023,13,11,0.85,,,,,,
,17. Kishanganj,2000 - 2001,"2,943.00","1,875.00",0.64,,,,,,
,,2001 - 2002,"1,892.00","1,052.00",0.56,,,,,,
,,2002 - 2003,"1,568.00","1,192.00",0.76,,,,,,
,,2003 - 2004,"1,478.00","1,159.00",0.78,,,,,,
,,2004 - 2005,"1,458.00","1,076.00",0.74,,,,,,
,,2005 - 2006,"2,399.00","2,054.00",0.86,,,,,,
,,2006 - 2007,"1,778.00","1,510.00",0.85,,,,,,
,,2007 - 2008,"2,736.00","2,027.00",0.74,,,,,,
,,2008 - 2009,"2,668.00","2,257.00",0.85,,,,,,
,,2009 - 2010,"2,422.00","2,049.00",0.85,,,,,,
,,2010 - 2011,"2,181.00","1,784.00",0.82,,,,,,
,,2011 - 2012,"1,966.00","1,701.00",0.87,,,,,,
,,2012 - 2013,"1,777.00","1,541.00",0.87,,,,,,
,,2013 - 2014,"1,611.00","1,369.00",0.85,,,,,,
,,2014 - 2015,"1,696.00","1,460.00",0.86,,,,,,
,,2015 - 2016,"1,793.00","1,540.00",0.86,,,,,,
,,2016 - 2017,"1,828.00","1,523.00",0.83,,,,,,
,,2017 - 2018,"1,832.00","1,559.00",0.85,,,,,,
,,2018 - 2019,"1,836.00","1,557.00",0.85,,,,,,
,,2019 - 2020,"1,803.00","1,520.00",0.84,,,,,,
,,2020 - 2021,"1,812.00","1,535.00",0.85,,,,,,
,,2021 - 2022,"1,294.00","1,104.00",0.85,,,,,,
,,2022 - 2023,"1,152.00",979,0.85,,,,,,
,18. Lakhisarai,2000 - 2001,151,103,0.68,,,,,,
,,2001 - 2002,38,27,0.71,,,,,,
,,2002 - 2003,172,131,0.76,,,,,,
,,2003 - 2004,146,108,0.74,,,,,,
,,2004 - 2005,43,36,0.84,,,,,,
,,2005 - 2006,37,30,0.81,,,,,,
,,2006 - 2007,76,62,0.82,,,,,,
,,2007 - 2008,25,21,0.84,,,,,,
,,2008 - 2009,24,20,0.83,,,,,,
,,2009 - 2010,22,19,0.86,,,,,,
,,2010 - 2011,24,20,0.83,,,,,,
,,2011 - 2012,53,46,0.87,,,,,,
,,2012 - 2013,55,48,0.87,,,,,,
,,2014 - 2015,270,232,0.86,,,,,,
,,2015 - 2016,270,249,0.92,,,,,,
,,2016 - 2017,215,167,0.78,,,,,,
,,2017 - 2018,219,186,0.85,,,,,,
,,2021 - 2022,206,167,0.81,,,,,,
,,2022 - 2023,3,3,1,,,,,,
,19. Madhepura,2000 - 2001,"1,248.00",925,0.74,,,,,,
,,2001 - 2002,"1,201.00",890,0.74,,,,,,
,,2002 - 2003,595,441,0.74,,,,,,
,,2003 - 2004,750,588,0.78,,,,,,
,,2004 - 2005,502,423,0.84,,,,,,
,,2005 - 2006,536,464,0.87,,,,,,
,,2006 - 2007,621,527,0.85,,,,,,
,,2007 - 2008,571,471,0.82,,,,,,
,,2008 - 2009,211,179,0.85,,,,,,
,,2009 - 2010,193,163,0.84,,,,,,
,,2010 - 2011,194,159,0.82,,,,,,
,,2011 - 2012,97,84,0.87,,,,,,
,,2012 - 2013,97,84,0.87,,,,,,
,,2013 - 2014,41,35,0.85,,,,,,
,,2014 - 2015,113,97,0.86,,,,,,
,,2015 - 2016,83,71,0.86,,,,,,
,,2016 - 2017,80,67,0.84,,,,,,
,,2017 - 2018,103,88,0.85,,,,,,
,,2018 - 2019,52,44,0.85,,,,,,
,,2019 - 2020,38,32,0.84,,,,,,
,,2020 - 2021,55,47,0.85,,,,,,
,,2021 - 2022,77,65,0.84,,,,,,
,,2022 - 2023,72,57,0.79,,,,,,
,20. Madhubani,2000 - 2001,900,747,0.83,,,,,,
,,2001 - 2002,908,587,0.65,,,,,,
,,2002 - 2003,638,382,0.6,,,,,,
,,2003 - 2004,474,372,0.78,,,,,,
,,2004 - 2005,619,522,0.84,,,,,,
,,2005 - 2006,515,441,0.86,,,,,,
,,2006 - 2007,608,516,0.85,,,,,,
,,2007 - 2008,484,399,0.82,,,,,,
,,2008 - 2009,490,415,0.85,,,,,,
,,2009 - 2010,429,363,0.85,,,,,,
,,2010 - 2011,410,335,0.82,,,,,,
,,2011 - 2012,387,335,0.87,,,,,,
,,2012 - 2013,350,303,0.87,,,,,,
,,2013 - 2014,349,297,0.85,,,,,,
,,2014 - 2015,366,315,0.86,,,,,,
,,2015 - 2016,333,286,0.86,,,,,,
,,2016 - 2017,82,71,0.87,,,,,,
,,2017 - 2018,333,283,0.85,,,,,,
,,2018 - 2019,88,75,0.85,,,,,,
,,2019 - 2020,100,86,0.86,,,,,,
,,2020 - 2021,97,83,0.86,,,,,,
,,2021 - 2022,85,73,0.86,,,,,,
,,2022 - 2023,82,70,0.85,,,,,,
,21. Munger,2000 - 2001,56,38,0.68,,,,,,
,,2001 - 2002,64,45,0.7,,,,,,
,,2002 - 2003,93,71,0.76,,,,,,
,,2003 - 2004,70,52,0.74,,,,,,
,,2004 - 2005,146,123,0.84,,,,,,
,,2005 - 2006,140,115,0.82,,,,,,
,,2006 - 2007,216,177,0.82,,,,,,
,,2007 - 2008,260,213,0.82,,,,,,
,,2008 - 2009,369,303,0.82,,,,,,
,,2009 - 2010,146,124,0.85,,,,,,
,,2010 - 2011,146,119,0.82,,,,,,
,,2011 - 2012,144,125,0.87,,,,,,
,,2012 - 2013,196,170,0.87,,,,,,
,,2013 - 2014,144,122,0.85,,,,,,
,,2014 - 2015,121,104,0.86,,,,,,
,,2015 - 2016,127,117,0.92,,,,,,
,,2016 - 2017,138,107,0.78,,,,,,
,,2017 - 2018,127,108,0.85,,,,,,
,,2018 - 2019,128,109,0.85,,,,,,
,,2019 - 2020,128,106,0.83,,,,,,
,,2020 - 2021,128,108,0.84,,,,,,
,,2021 - 2022,128,104,0.81,,,,,,
,,2022 - 2023,132,130,0.98,,,,,,
,22. Muzaffarpur,2000 - 2001,264,122,0.46,,,,,,
,,2001 - 2002,165,117,0.71,,,,,,
,,2002 - 2003,407,309,0.76,,,,,,
,,2003 - 2004,474,372,0.78,,,,,,
,,2004 - 2005,141,119,0.84,,,,,,
,,2005 - 2006,75,64,0.85,,,,,,
,,2006 - 2007,67,57,0.85,,,,,,
,,2007 - 2008,265,223,0.84,,,,,,
,,2008 - 2009,266,223,0.84,,,,,,
,,2010 - 2011,186,152,0.82,,,,,,
,,2011 - 2012,142,123,0.87,,,,,,
,,2012 - 2013,75,65,0.87,,,,,,
,,2013 - 2014,52,44,0.85,,,,,,
,,2014 - 2015,23,20,0.87,,,,,,
,,2015 - 2016,56,48,0.86,,,,,,
,,2016 - 2017,54,47,0.87,,,,,,
,,2017 - 2018,45,38,0.84,,,,,,
,,2018 - 2019,32,28,0.88,,,,,,
,,2019 - 2020,34,29,0.85,,,,,,
,,2020 - 2021,33,28,0.85,,,,,,
,,2021 - 2022,34,29,0.85,,,,,,
,,2022 - 2023,36,31,0.86,,,,,,
