State,District,Year,Linseed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2013 - 2014,473,283,0.6,,,,,,
,,2014 - 2015,483,327,0.68,,,,,,
,,2015 - 2016,454,259,0.57,,,,,,
,,2016 - 2017,386,226,0.59,,,,,,
,,2017 - 2018,366,214,0.58,,,,,,
,,2018 - 2019,340,194,0.57,,,,,,
,,2019 - 2020,329,192,0.58,,,,,,
,,2020 - 2021,390,229,0.59,,,,,,
,,2021 - 2022,431,258,0.6,,,,,,
,,2022 - 2023,255,202,0.79,,,,,,
,22. Lakhimpur,2000 - 2001,21,7,0.33,,,,,,
,,2001 - 2002,22,7,0.32,,,,,,
,,2002 - 2003,21,7,0.33,,,,,,
,,2003 - 2004,19,6,0.32,,,,,,
,,2004 - 2005,19,7,0.37,,,,,,
,,2005 - 2006,19,7,0.37,,,,,,
,,2006 - 2007,24,9,0.38,,,,,,
,,2007 - 2008,10,4,0.4,,,,,,
,,2008 - 2009,15,5,0.33,,,,,,
,,2009 - 2010,12,4,0.33,,,,,,
,,2010 - 2011,20,7,0.35,,,,,,
,,2011 - 2012,25,9,0.36,,,,,,
,,2012 - 2013,11,4,0.36,,,,,,
,,2013 - 2014,10,5,0.5,,,,,,
,,2014 - 2015,20,13,0.65,,,,,,
,,2015 - 2016,15,4,0.27,,,,,,
,,2017 - 2018,20,12,0.6,,,,,,
,,2018 - 2019,10,7,0.7,,,,,,
,,2019 - 2020,10,7,0.7,,,,,,
,,2020 - 2021,13,8,0.62,,,,,,
,,2021 - 2022,15,8,0.53,,,,,,
,23. Majuli,2020 - 2021,15,8,0.53,,,,,,
,,2021 - 2022,20,13,0.65,,,,,,
,,2022 - 2023,20,11,0.55,,,,,,
,24. Marigaon,2000 - 2001,250,119,0.48,,,,,,
,,2001 - 2002,200,94,0.47,,,,,,
,,2002 - 2003,200,94,0.47,,,,,,
,,2003 - 2004,205,96,0.47,,,,,,
,,2004 - 2005,200,94,0.47,,,,,,
,,2005 - 2006,540,254,0.47,,,,,,
,,2006 - 2007,589,277,0.47,,,,,,
,,2007 - 2008,573,269,0.47,,,,,,
