State,District,Year,Sunflower,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2022 - 2023,29,45,1.55,,,,,,,,,
,2. Arwal,2003 - 2004,,,,8,11,1.38,,,,,,
,,2004 - 2005,,,,18,18,1,,,,,,
,,2005 - 2006,,,,2,2,1,,,,,,
,,2007 - 2008,13,19,1.46,,,,,,,,,
,,2008 - 2009,13,19,1.46,,,,,,,,,
,,2009 - 2010,33,46,1.39,,,,,,,,,
,,2010 - 2011,32,46,1.44,,,,,,,,,
,,2011 - 2012,34,49,1.44,,,,,,,,,
,3. Aurangabad,2000 - 2001,,,,51,75,1.47,,,,,,
,,2001 - 2002,,,,30,44,1.47,,,,,,
,,2002 - 2003,,,,3,4,1.33,,,,,,
,,2003 - 2004,,,,4,6,1.5,,,,,,
,,2007 - 2008,3,5,1.67,,,,,,,,,
,,2008 - 2009,3,5,1.67,,,,,,,,,
,,2009 - 2010,2,3,1.5,,,,,,,,,
,4. Begusarai,2000 - 2001,,,,167,277,1.66,,,,,,
,,2001 - 2002,,,,463,526,1.14,,,,,,
,,2002 - 2003,,,,46,60,1.3,,,,,,
,,2003 - 2004,,,,3,4,1.33,,,,,,
,,2004 - 2005,,,,104,144,1.38,,,,,,
,,2005 - 2006,,,,79,107,1.35,,,,,,
,,2006 - 2007,138,176,1.28,,,,,,,,,
,,2007 - 2008,38,52,1.37,,,,,,,,,
,,2008 - 2009,38,52,1.37,,,,,,,,,
,,2009 - 2010,6,8,1.33,,,,,,,,,
,,2010 - 2011,64,92,1.44,,,,,,,,,
,,2011 - 2012,35,50,1.43,,,,,,,,,
,,2012 - 2013,4,6,1.5,,,,,,,,,
,,2013 - 2014,76,109,1.43,,,,,,,,,
,,2014 - 2015,71,102,1.44,,,,,,,,,
,,2015 - 2016,74,105,1.42,,,,,,,,,
,,2016 - 2017,74,113,1.53,,,,,,,,,
,,2017 - 2018,61,91,1.49,,,,,,,,,
,,2018 - 2019,21,31,1.48,,,,,,,,,
,,2019 - 2020,152,226,1.49,,,,,,,,,
,,2020 - 2021,169,252,1.49,,,,,,,,,
,5. Bhagalpur,2000 - 2001,,,,258,381,1.48,,,,,,
,,2001 - 2002,,,,499,697,1.4,,,,,,
,,2002 - 2003,,,,423,571,1.35,,,,,,
,,2003 - 2004,,,,338,471,1.39,,,,,,
,,2004 - 2005,,,,427,626,1.47,,,,,,
,,2005 - 2006,,,,"1,026.00","1,487.00",1.45,,,,,,
,,2006 - 2007,545,759,1.39,,,,,,,,,
,,2007 - 2008,477,682,1.43,,,,,,,,,
,,2008 - 2009,477,682,1.43,,,,,,,,,
,,2009 - 2010,421,591,1.4,,,,,,,,,
,,2010 - 2011,385,552,1.43,,,,,,,,,
,,2011 - 2012,442,642,1.45,,,,,,,,,
,,2012 - 2013,285,415,1.46,,,,,,,,,
,,2013 - 2014,292,424,1.45,,,,,,,,,
,,2014 - 2015,260,378,1.45,,,,,,,,,
,,2015 - 2016,211,304,1.44,,,,,,,,,
,,2016 - 2017,159,236,1.48,,,,,,,,,
,,2017 - 2018,160,234,1.46,,,,,,,,,
,,2018 - 2019,160,234,1.46,,,,,,,,,
,,2019 - 2020,160,235,1.47,,,,,,,,,
,,2020 - 2021,62,90,1.45,,,,,,,,,
,,2021 - 2022,61,89,1.46,,,,,,,,,
,,2022 - 2023,61,89,1.46,,,,,,,,,
,6. Buxar,2000 - 2001,,,,53,82,1.55,,,,,,
,,2001 - 2002,,,,35,40,1.14,,,,,,
,,2002 - 2003,,,,34,45,1.32,,,,,,
,,2003 - 2004,,,,29,36,1.24,,,,,,
,,2004 - 2005,,,,28,41,1.46,,,,,,
,,2009 - 2010,3,4,1.33,,,,,,,,,
,,2011 - 2012,3,4,1.33,,,,,,,,,
,,2012 - 2013,2,3,1.5,,,,,,,,,
,,2013 - 2014,3,4,1.33,,,,,,,,,
,,2014 - 2015,1,1,1,,,,,,,,,
,,2015 - 2016,2,3,1.5,,,,,,,,,
,,2016 - 2017,2,3,1.5,,,,,,,,,
,7. Darbhanga,2002 - 2003,,,,56,78,1.39,,,,,,
,,2003 - 2004,,,,78,114,1.46,,,,,,
,,2004 - 2005,,,,813,"1,194.00",1.47,,,,,,
,,2005 - 2006,,,,67,98,1.46,,,,,,
,,2007 - 2008,17,25,1.47,,,,,,,,,
,,2008 - 2009,17,25,1.47,,,,,,,,,
,,2009 - 2010,16,22,1.38,,,,,,,,,
,,2010 - 2011,9,13,1.44,,,,,,,,,
,,2011 - 2012,9,13,1.44,,,,,,,,,
,,2012 - 2013,8,12,1.5,,,,,,,,,
,,2013 - 2014,10,15,1.5,,,,,,,,,
,,2014 - 2015,10,15,1.5,,,,,,,,,
,,2015 - 2016,11,16,1.45,,,,,,,,,
,,2016 - 2017,22,32,1.45,,,,,,,,,
,,2018 - 2019,19,27,1.42,,,,,,,,,
,,2019 - 2020,14,20,1.43,,,,,,,,,
,,2020 - 2021,16,23,1.44,,,,,,,,,
,,2021 - 2022,13,19,1.46,,,,,,,,,
,,2022 - 2023,13,19,1.46,,,,,,,,,
,8. Gaya,2000 - 2001,,,,39,59,1.51,,,,,,
,,2001 - 2002,,,,29,33,1.14,,,,,,
,,2002 - 2003,,,,95,128,1.35,,,,,,
,,2003 - 2004,,,,21,29,1.38,,,,,,
,,2004 - 2005,,,,42,57,1.36,,,,,,
,,2005 - 2006,,,,25,33,1.32,,,,,,
,,2006 - 2007,22,28,1.27,,,,,,,,,
,,2007 - 2008,16,23,1.44,,,,,,,,,
,,2008 - 2009,16,23,1.44,,,,,,,,,
,,2009 - 2010,43,60,1.4,,,,,,,,,
,,2010 - 2011,14,20,1.43,,,,,,,,,
,,2011 - 2012,2,2,1,,,,,,,,,
,,2012 - 2013,16,23,1.44,,,,,,,,,
,,2013 - 2014,"1,394.00","2,016.00",1.45,,,,,,,,,
,,2014 - 2015,471,682,1.45,,,,,,,,,
,9. Gopalganj,2000 - 2001,,,,8,11,1.38,,,,,,
,,2001 - 2002,,,,8,9,1.13,,,,,,
,,2002 - 2003,,,,32,38,1.19,,,,,,
,,2003 - 2004,,,,19,25,1.32,,,,,,
,,2004 - 2005,,,,28,40,1.43,,,,,,
,,2022 - 2023,35,52,1.49,,,,,,,,,
,10. Jamui,2000 - 2001,,,,3,4,1.33,,,,,,
,,2003 - 2004,,,,2,3,1.5,,,,,,
,,2006 - 2007,2,3,1.5,,,,,,,,,
,11. Jehanabad,2000 - 2001,,,,61,102,1.67,,,,,,
,,2001 - 2002,,,,92,107,1.16,,,,,,
,,2002 - 2003,,,,49,62,1.27,,,,,,
,,2003 - 2004,,,,43,59,1.37,,,,,,
,,2004 - 2005,,,,23,34,1.48,,,,,,
,,2005 - 2006,,,,55,77,1.4,,,,,,
,,2006 - 2007,49,67,1.37,,,,,,,,,
,,2007 - 2008,14,20,1.43,,,,,,,,,
,,2008 - 2009,14,20,1.43,,,,,,,,,
,,2009 - 2010,12,17,1.42,,,,,,,,,
,,2011 - 2012,3,4,1.33,,,,,,,,,
,,2012 - 2013,4,6,1.5,,,,,,,,,
,,2013 - 2014,4,6,1.5,,,,,,,,,
,,2014 - 2015,3,4,1.33,,,,,,,,,
,,2015 - 2016,3,4,1.33,,,,,,,,,
,,2016 - 2017,4,6,1.5,,,,,,,,,
,,2017 - 2018,3,4,1.33,,,,,,,,,
,,2018 - 2019,3,4,1.33,,,,,,,,,
,,2019 - 2020,3,4,1.33,,,,,,,,,
,,2020 - 2021,2,3,1.5,,,,,,,,,
,,2021 - 2022,2,3,1.5,,,,,,,,,
,12. Kaimur (bhabua),2001 - 2002,,,,7,10,1.43,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,
,,2019 - 2020,2,3,1.5,,,,,,,,,
,13. Katihar,2000 - 2001,,,,201,304,1.51,,,,,,
,,2001 - 2002,,,,92,102,1.11,,,,,,
,,2002 - 2003,,,,183,259,1.42,,,,,,
,,2003 - 2004,,,,668,980,1.47,,,,,,
,,2004 - 2005,,,,"2,030.00","2,654.00",1.31,,,,,,
,,2005 - 2006,,,,"1,767.00","2,488.00",1.41,,,,,,
,,2006 - 2007,"1,846.00","2,725.00",1.48,,,,,,,,,
,,2007 - 2008,"1,606.00","2,299.00",1.43,,,,,,,,,
,,2008 - 2009,"1,606.00","2,299.00",1.43,,,,,,,,,
,,2009 - 2010,760,"1,068.00",1.41,,,,,,,,,
,,2010 - 2011,"1,086.00","1,557.00",1.43,,,,,,,,,
,,2011 - 2012,503,733,1.46,,,,,,,,,
,,2012 - 2013,777,"1,143.00",1.47,,,,,,,,,
,,2014 - 2015,964,"1,401.00",1.45,,,,,,,,,
,,2015 - 2016,928,"1,343.00",1.45,,,,,,,,,
,,2016 - 2017,69,103,1.49,,,,,,,,,
,,2017 - 2018,5,7,1.4,,,,,,,,,
,,2018 - 2019,6,9,1.5,,,,,,,,,
,14. Khagaria,2000 - 2001,,,,"1,010.00","1,144.00",1.13,,,,,,
,,2001 - 2002,,,,964,"1,317.00",1.37,,,,,,
,,2002 - 2003,,,,979,"1,351.00",1.38,,,,,,
,,2003 - 2004,,,,"1,201.00","1,719.00",1.43,,,,,,
,,2004 - 2005,,,,23,33,1.43,,,,,,
,,2005 - 2006,,,,"1,257.00","1,812.00",1.44,,,,,,
,,2006 - 2007,947,"1,362.00",1.44,,,,,,,,,
,,2007 - 2008,903,"1,267.00",1.4,,,,,,,,,
,,2008 - 2009,903,"1,267.00",1.4,,,,,,,,,
,,2009 - 2010,"1,074.00","1,509.00",1.41,,,,,,,,,
,,2010 - 2011,"1,001.00","1,435.00",1.43,,,,,,,,,
,,2011 - 2012,936,"1,361.00",1.45,,,,,,,,,
,,2012 - 2013,912,"1,324.00",1.45,,,,,,,,,
,,2013 - 2014,953,"1,386.00",1.45,,,,,,,,,
,,2014 - 2015,956,"1,390.00",1.45,,,,,,,,,
,,2015 - 2016,864,"1,247.00",1.44,,,,,,,,,
,,2016 - 2017,767,"1,172.00",1.53,,,,,,,,,
,,2017 - 2018,679,"1,001.00",1.47,,,,,,,,,
,,2018 - 2019,650,963,1.48,,,,,,,,,
,,2019 - 2020,638,954,1.5,,,,,,,,,
,,2020 - 2021,653,968,1.48,,,,,,,,,
,,2021 - 2022,406,790,1.95,,,,,,,,,
,,2022 - 2023,336,610,1.82,,,,,,,,,
,15. Kishanganj,2001 - 2002,,,,275,409,1.49,,,,,,
,,2013 - 2014,424,552,1.3,,,,,,,,,
,16. Madhepura,2000 - 2001,,,,"1,394.00","2,235.00",1.6,,,,,,
,,2001 - 2002,,,,"1,910.00","2,285.00",1.2,,,,,,
,,2002 - 2003,,,,"3,057.00","3,735.00",1.22,,,,,,
,,2003 - 2004,,,,"3,158.00","4,272.00",1.35,,,,,,
,,2004 - 2005,,,,"3,506.00","4,991.00",1.42,,,,,,
,,2005 - 2006,,,,"3,561.00","4,582.00",1.29,,,,,,
,,2006 - 2007,"3,373.00","4,323.00",1.28,,,,,,,,,
,,2007 - 2008,"5,345.00","7,100.00",1.33,,,,,,,,,
,,2008 - 2009,"5,345.00","7,100.00",1.33,,,,,,,,,
,,2009 - 2010,"6,276.00","8,818.00",1.41,,,,,,,,,
,,2010 - 2011,"5,648.00","8,099.00",1.43,,,,,,,,,
,,2011 - 2012,"5,420.00","7,659.00",1.41,,,,,,,,,
,,2012 - 2013,"5,077.00","7,196.00",1.42,,,,,,,,,
,,2013 - 2014,"3,737.00","5,323.00",1.42,,,,,,,,,
,,2014 - 2015,"3,683.00","5,251.00",1.43,,,,,,,,,
,,2015 - 2016,"4,018.00","5,714.00",1.42,,,,,,,,,
,,2016 - 2017,"3,473.00","4,965.00",1.43,,,,,,,,,
,,2017 - 2018,"3,111.00","4,438.00",1.43,,,,,,,,,
,,2018 - 2019,"1,330.00","1,852.00",1.39,,,,,,,,,
,,2019 - 2020,"2,102.00","2,965.00",1.41,,,,,,,,,
,,2020 - 2021,"2,049.00","2,923.00",1.43,,,,,,,,,
,,2021 - 2022,"2,059.00","2,803.00",1.36,,,,,,,,,
,,2022 - 2023,"2,107.00","2,897.00",1.37,,,,,,,,,
,17. Madhubani,2000 - 2001,,,,7,7,1,,,,,,
,,2001 - 2002,,,,29,33,1.14,,,,,,
,,2002 - 2003,,,,15,15,1,,,,,,
,,2003 - 2004,,,,18,19,1.06,,,,,,
,,2004 - 2005,,,,8,12,1.5,,,,,,
,,2005 - 2006,,,,3,4,1.33,,,,,,
,,2006 - 2007,12,16,1.33,,,,,,,,,
,,2007 - 2008,2,3,1.5,,,,,,,,,
,,2008 - 2009,2,3,1.5,,,,,,,,,
,,2010 - 2011,4,6,1.5,,,,,,,,,
,,2011 - 2012,7,9,1.29,,,,,,,,,
,,2012 - 2013,4,5,1.25,,,,,,,,,
,,2013 - 2014,4,5,1.25,,,,,,,,,
,,2015 - 2016,1,1,1,,,,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,
,,2017 - 2018,1,1,1,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,18. Munger,2000 - 2001,,,,4,4,1,,,,,,
,,2001 - 2002,,,,10,12,1.2,,,,,,
,,2003 - 2004,,,,16,23,1.44,,,,,,
,,2004 - 2005,,,,37,50,1.35,,,,,,
,,2005 - 2006,,,,4,5,1.25,,,,,,
,,2006 - 2007,31,44,1.42,,,,,,,,,
,,2007 - 2008,28,42,1.5,,,,,,,,,
,,2008 - 2009,28,42,1.5,,,,,,,,,
,19. Muzaffarpur,2000 - 2001,,,,49,81,1.65,,,,,,
,,2001 - 2002,,,,39,49,1.26,,,,,,
,,2002 - 2003,,,,25,32,1.28,,,,,,
,,2003 - 2004,,,,4,5,1.25,,,,,,
,,2004 - 2005,,,,11,16,1.45,,,,,,
,,2005 - 2006,,,,31,45,1.45,,,,,,
,,2006 - 2007,33,48,1.45,,,,,,,,,
,,2007 - 2008,17,23,1.35,,,,,,,,,
,,2008 - 2009,17,23,1.35,,,,,,,,,
,,2009 - 2010,1,1,1,,,,,,,,,
,,2010 - 2011,35,50,1.43,,,,,,,,,
,,2011 - 2012,16,23,1.44,,,,,,,,,
,,2012 - 2013,15,22,1.47,,,,,,,,,
,,2013 - 2014,15,22,1.47,,,,,,,,,
,,2014 - 2015,6,9,1.5,,,,,,,,,
,,2015 - 2016,12,18,1.5,,,,,,,,,
,,2016 - 2017,6,9,1.5,,,,,,,,,
,,2017 - 2018,2,3,1.5,,,,,,,,,
,,2018 - 2019,2,3,1.5,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,20. Nalanda,2000 - 2001,,,,43,69,1.6,,,,,,
,,2001 - 2002,,,,136,155,1.14,,,,,,
,,2002 - 2003,,,,39,50,1.28,,,,,,
,,2003 - 2004,,,,53,72,1.36,,,,,,
,,2004 - 2005,,,,46,67,1.46,,,,,,
,,2005 - 2006,,,,74,97,1.31,,,,,,
,,2006 - 2007,62,80,1.29,,,,,,,,,
,,2007 - 2008,189,267,1.41,,,,,,,,,
,,2008 - 2009,189,267,1.41,,,,,,,,,
,,2009 - 2010,115,162,1.41,,,,,,,,,
,,2010 - 2011,152,218,1.43,,,,,,,,,
,,2011 - 2012,155,225,1.45,,,,,,,,,
,,2012 - 2013,92,134,1.46,,,,,,,,,
,,2013 - 2014,65,91,1.4,,,,,,,,,
,,2014 - 2015,55,77,1.4,,,,,,,,,
,,2015 - 2016,81,114,1.41,,,,,,,,,
,,2016 - 2017,51,73,1.43,,,,,,,,,
,,2017 - 2018,36,51,1.42,,,,,,,,,
,,2018 - 2019,23,34,1.48,,,,,,,,,
,,2019 - 2020,106,154,1.45,,,,,,,,,
,,2020 - 2021,88,126,1.43,,,,,,,,,
,,2021 - 2022,75,108,1.44,,,,,,,,,
,,2022 - 2023,80,115,1.44,,,,,,,,,
,21. Nawada,2000 - 2001,,,,111,162,1.46,,,,,,
,,2001 - 2002,,,,37,43,1.16,,,,,,
,,2002 - 2003,,,,90,109,1.21,,,,,,
,,2003 - 2004,,,,21,28,1.33,,,,,,
,,2004 - 2005,,,,45,66,1.47,,,,,,
,,2005 - 2006,,,,32,41,1.28,,,,,,
,,2006 - 2007,48,65,1.35,,,,,,,,,
,,2007 - 2008,49,64,1.31,,,,,,,,,
,,2008 - 2009,49,64,1.31,,,,,,,,,
,,2009 - 2010,2,3,1.5,,,,,,,,,
,,2010 - 2011,27,39,1.44,,,,,,,,,
,,2011 - 2012,15,22,1.47,,,,,,,,,
,,2012 - 2013,10,15,1.5,,,,,,,,,
,,2013 - 2014,67,85,1.27,,,,,,,,,
,,2014 - 2015,5,7,1.4,,,,,,,,,
,,2015 - 2016,7,8,1.14,,,,,,,,,
,,2016 - 2017,7,8,1.14,,,,,,,,,
,,2017 - 2018,42,61,1.45,,,,,,,,,
,,2018 - 2019,41,59,1.44,,,,,,,,,
,,2019 - 2020,37,54,1.46,,,,,,,,,
,,2020 - 2021,20,29,1.45,,,,,,,,,
,,2021 - 2022,20,29,1.45,,,,,,,,,
,,2022 - 2023,20,29,1.45,,,,,,,,,
,22. Pashchim champaran,2000 - 2001,,,,291,404,1.39,,,,,,
,,2001 - 2002,,,,195,255,1.31,,,,,,
,,2002 - 2003,,,,180,230,1.28,,,,,,
,,2003 - 2004,,,,175,258,1.47,,,,,,
,,2004 - 2005,,,,179,247,1.38,,,,,,
,,2005 - 2006,,,,187,260,1.39,,,,,,
,,2006 - 2007,205,286,1.4,,,,,,,,,
,,2007 - 2008,194,262,1.35,,,,,,,,,
,,2008 - 2009,194,262,1.35,,,,,,,,,
,,2009 - 2010,154,216,1.4,,,,,,,,,
,,2010 - 2011,130,186,1.43,,,,,,,,,
,,2011 - 2012,53,79,1.49,,,,,,,,,
,,2012 - 2013,55,82,1.49,,,,,,,,,
,,2013 - 2014,21,30,1.43,,,,,,,,,
,,2014 - 2015,19,28,1.47,,,,,,,,,
,,2015 - 2016,14,20,1.43,,,,,,,,,
,,2016 - 2017,14,20,1.43,,,,,,,,,
,,2017 - 2018,11,15,1.36,,,,,,,,,
,,2018 - 2019,7,10,1.43,,,,,,,,,
,,2019 - 2020,7,10,1.43,,,,,,,,,
,,2020 - 2021,8,11,1.38,,,,,,,,,
,,2021 - 2022,4,6,1.5,,,,,,,,,
,,2022 - 2023,4,6,1.5,,,,,,,,,
,23. Patna,2000 - 2001,,,,40,58,1.45,,,,,,
,,2001 - 2002,,,,35,51,1.46,,,,,,
,,2002 - 2003,,,,9,13,1.44,,,,,,
,,2003 - 2004,,,,3,4,1.33,,,,,,
,,2004 - 2005,,,,16,21,1.31,,,,,,
,,2005 - 2006,,,,110,146,1.33,,,,,,
,,2006 - 2007,150,205,1.37,,,,,,,,,
,,2007 - 2008,24,43,1.79,,,,,,,,,
,,2008 - 2009,24,43,1.79,,,,,,,,,
,,2009 - 2010,111,156,1.41,,,,,,,,,
,,2010 - 2011,7,10,1.43,,,,,,,,,
,,2011 - 2012,2,3,1.5,,,,,,,,,
,,2012 - 2013,38,55,1.45,,,,,,,,,
,,2013 - 2014,16,23,1.44,,,,,,,,,
,,2014 - 2015,19,28,1.47,,,,,,,,,
,,2015 - 2016,24,35,1.46,,,,,,,,,
,,2016 - 2017,20,30,1.5,,,,,,,,,
,,2017 - 2018,29,42,1.45,,,,,,,,,
,,2018 - 2019,35,51,1.46,,,,,,,,,
,,2019 - 2020,17,25,1.47,,,,,,,,,
,,2020 - 2021,27,40,1.48,,,,,,,,,
,,2021 - 2022,20,30,1.5,,,,,,,,,
,,2022 - 2023,23,45,1.96,,,,,,,,,
,24. Purbi champaran,2000 - 2001,,,,10,14,1.4,,,,,,
,,2001 - 2002,,,,134,176,1.31,,,,,,
,,2002 - 2003,,,,30,31,1.03,,,,,,
,,2003 - 2004,,,,18,25,1.39,,,,,,
,,2004 - 2005,,,,35,47,1.34,,,,,,
,,2005 - 2006,,,,40,53,1.33,,,,,,
,,2006 - 2007,32,42,1.31,,,,,,,,,
,,2007 - 2008,34,45,1.32,,,,,,,,,
,,2008 - 2009,34,45,1.32,,,,,,,,,
,,2009 - 2010,33,46,1.39,,,,,,,,,
,,2010 - 2011,36,52,1.44,,,,,,,,,
,,2011 - 2012,14,21,1.5,,,,,,,,,
,,2012 - 2013,16,23,1.44,,,,,,,,,
,,2013 - 2014,17,25,1.47,,,,,,,,,
,,2014 - 2015,28,40,1.43,,,,,,,,,
,,2015 - 2016,11,14,1.27,,,,,,,,,
,,2016 - 2017,11,14,1.27,,,,,,,,,
,,2017 - 2018,11,14,1.27,,,,,,,,,
,,2018 - 2019,10,13,1.3,,,,,,,,,
,,2019 - 2020,10,13,1.3,,,,,,,,,
,,2020 - 2021,10,13,1.3,,,,,,,,,
,,2021 - 2022,10,14,1.4,,,,,,,,,
,,2022 - 2023,11,14,1.27,,,,,,,,,
,25. Purnia,2000 - 2001,,,,"3,190.00","4,581.00",1.44,,,,,,
,,2001 - 2002,,,,"3,208.00","3,752.00",1.17,,,,,,
,,2002 - 2003,,,,"3,280.00","4,323.00",1.32,,,,,,
,,2003 - 2004,,,,"4,276.00","6,387.00",1.49,,,,,,
,,2004 - 2005,,,,"3,707.00","5,157.00",1.39,,,,,,
,,2005 - 2006,,,,"5,050.00","6,831.00",1.35,,,,,,
,,2006 - 2007,"5,112.00","6,894.00",1.35,,,,,,,,,
,,2007 - 2008,"3,441.00","4,711.00",1.37,,,,,,,,,
,,2008 - 2009,"3,441.00","4,711.00",1.37,,,,,,,,,
,,2009 - 2010,"1,987.00","2,792.00",1.41,,,,,,,,,
,,2010 - 2011,"1,886.00","2,705.00",1.43,,,,,,,,,
,,2011 - 2012,"1,055.00","1,512.00",1.43,,,,,,,,,
,,2012 - 2013,"1,388.00","1,947.00",1.4,,,,,,,,,
,,2013 - 2014,"2,019.00","2,936.00",1.45,,,,,,,,,
,,2014 - 2015,"1,627.00","2,366.00",1.45,,,,,,,,,
,,2015 - 2016,"1,566.00","2,265.00",1.45,,,,,,,,,
,,2016 - 2017,"1,701.00","2,489.00",1.46,,,,,,,,,
,,2017 - 2018,332,486,1.46,,,,,,,,,
,,2018 - 2019,34,51,1.5,,,,,,,,,
,,2019 - 2020,15,22,1.47,,,,,,,,,
,,2020 - 2021,13,19,1.46,,,,,,,,,
,,2021 - 2022,10,15,1.5,,,,,,,,,
,,2022 - 2023,23,34,1.48,,,,,,,,,
,26. Rohtas,2000 - 2001,,,,5,5,1,,,,,,
,,2002 - 2003,,,,19,21,1.11,,,,,,
,,2003 - 2004,,,,18,29,1.61,,,,,,
,,2004 - 2005,,,,1,1,1,,,,,,
,,2005 - 2006,,,,18,20,1.11,,,,,,
,,2006 - 2007,1,2,2,,,,,,,,,
,,2017 - 2018,1,1,1,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,,2019 - 2020,2,3,1.5,,,,,,,,,
,27. Saharsa,2000 - 2001,,,,972,"1,774.00",1.83,,,,,,
,,2001 - 2002,,,,775,"1,127.00",1.45,,,,,,
,,2002 - 2003,,,,588,748,1.27,,,,,,
,,2003 - 2004,,,,927,"1,273.00",1.37,,,,,,
,,2004 - 2005,,,,396,575,1.45,,,,,,
,,2005 - 2006,,,,563,796,1.41,,,,,,
,,2006 - 2007,556,774,1.39,,,,,,,,,
,,2007 - 2008,293,416,1.42,,,,,,,,,
,,2008 - 2009,293,416,1.42,,,,,,,,,
,,2009 - 2010,34,48,1.41,,,,,,,,,
,,2010 - 2011,101,145,1.44,,,,,,,,,
,,2011 - 2012,89,130,1.46,,,,,,,,,
,,2012 - 2013,23,33,1.43,,,,,,,,,
,,2013 - 2014,164,236,1.44,,,,,,,,,
,,2014 - 2015,68,97,1.43,,,,,,,,,
,,2015 - 2016,71,101,1.42,,,,,,,,,
,,2016 - 2017,72,103,1.43,,,,,,,,,
,,2017 - 2018,75,107,1.43,,,,,,,,,
,,2018 - 2019,82,117,1.43,,,,,,,,,
,,2019 - 2020,128,183,1.43,,,,,,,,,
,,2020 - 2021,126,180,1.43,,,,,,,,,
,,2021 - 2022,126,179,1.42,,,,,,,,,
,,2022 - 2023,123,172,1.4,,,,,,,,,
,28. Samastipur,2000 - 2001,,,,52,35,0.67,,,,,,
,,2001 - 2002,,,,149,166,1.11,,,,,,
,,2002 - 2003,,,,29,29,1,,,,,,
,,2003 - 2004,,,,33,33,1,,,,,,
,,2004 - 2005,,,,34,50,1.47,,,,,,
,,2005 - 2006,,,,36,47,1.31,,,,,,
,,2006 - 2007,39,50,1.28,,,,,,,,,
,,2007 - 2008,38,56,1.47,,,,,,,,,
,,2008 - 2009,38,56,1.47,,,,,,,,,
,,2009 - 2010,31,44,1.42,,,,,,,,,
,,2010 - 2011,53,76,1.43,,,,,,,,,
,,2011 - 2012,35,51,1.46,,,,,,,,,
,,2012 - 2013,39,57,1.46,,,,,,,,,
,,2013 - 2014,42,61,1.45,,,,,,,,,
,,2014 - 2015,571,854,1.5,,,,,,,,,
,,2015 - 2016,89,129,1.45,,,,,,,,,
,,2016 - 2017,3,4,1.33,,,,,,,,,
,29. Saran,2002 - 2003,,,,5,6,1.2,,,,,,
,,2004 - 2005,,,,3,4,1.33,,,,,,
,,2005 - 2006,,,,10,15,1.5,,,,,,
,,2006 - 2007,7,10,1.43,,,,,,,,,
,,2007 - 2008,13,18,1.38,,,,,,,,,
,,2008 - 2009,13,18,1.38,,,,,,,,,
,,2010 - 2011,2,3,1.5,,,,,,,,,
,,2011 - 2012,2,3,1.5,,,,,,,,,
,,2014 - 2015,55,68,1.24,,,,,,,,,
,,2015 - 2016,51,63,1.24,,,,,,,,,
,30. Sheikhpura,2000 - 2001,,,,1,1,1,,,,,,
,,2015 - 2016,5,7,1.4,,,,,,,,,
,,2016 - 2017,2,3,1.5,,,,,,,,,
,31. Sheohar,2005 - 2006,,,,1,1,1,,,,,,
,,2006 - 2007,1,1,1,,,,,,,,,
,,2009 - 2010,31,44,1.42,,,,,,,,,
,,2010 - 2011,31,44,1.42,,,,,,,,,
,,2011 - 2012,45,65,1.44,,,,,,,,,
,,2012 - 2013,60,87,1.45,,,,,,,,,
,,2013 - 2014,53,77,1.45,,,,,,,,,
,,2014 - 2015,62,90,1.45,,,,,,,,,
,,2015 - 2016,46,66,1.43,,,,,,,,,
,,2016 - 2017,89,130,1.46,,,,,,,,,
,,2017 - 2018,108,153,1.42,,,,,,,,,
,,2018 - 2019,7,9,1.29,,,,,,,,,
,,2019 - 2020,7,9,1.29,,,,,,,,,
,,2020 - 2021,7,9,1.29,,,,,,,,,
,32. Sitamarhi,2000 - 2001,,,,12,19,1.58,,,,,,
,,2001 - 2002,,,,8,9,1.13,,,,,,
,,2002 - 2003,,,,8,10,1.25,,,,,,
,,2003 - 2004,,,,9,12,1.33,,,,,,
,,2007 - 2008,3,4,1.33,,,,,,,,,
,,2008 - 2009,3,4,1.33,,,,,,,,,
,,2011 - 2012,3,4,1.33,,,,,,,,,
,33. Siwan,2000 - 2001,,,,28,46,1.64,,,,,,
,,2001 - 2002,,,,6,7,1.17,,,,,,
,,2003 - 2004,,,,1,1,1,,,,,,
,,2004 - 2005,,,,4,4,1,,,,,,
,,2005 - 2006,,,,4,4,1,,,,,,
,,2006 - 2007,1,1,1,,,,,,,,,
,,2007 - 2008,23,35,1.52,,,,,,,,,
,,2008 - 2009,23,35,1.52,,,,,,,,,
,34. Supaul,2000 - 2001,,,,861,"1,448.00",1.68,,,,,,
,,2001 - 2002,,,,"1,993.00","2,241.00",1.12,,,,,,
