State,District,Year,Black pepper,,,,,,,,
,,2013 - 2014,"1,069.00",190,0.18,,,,,,
,,2014 - 2015,853,149,0.17,,,,,,
,,2015 - 2016,915,159,0.17,,,,,,
,,2016 - 2017,979,172,0.18,,,,,,
,,2017 - 2018,997,175,0.18,,,,,,
,,2018 - 2019,975,171,0.18,,,,,,
,,2019 - 2020,980,172,0.18,,,,,,
,,2020 - 2021,984,215,0.22,,,,,,
,,2021 - 2022,987,182,0.18,,,,,,
,,2022 - 2023,992,184,0.19,,,,,,
,15. Theni,2000 - 2001,24,6,0.25,,,,,,
,,2003 - 2004,63,16,0.25,,,,,,
,,2005 - 2006,67,17,0.25,,,,,,
,,2006 - 2007,64,17,0.27,,,,,,
,,2007 - 2008,71,19,0.27,,,,,,
,,2008 - 2009,73,19,0.26,,,,,,
,,2009 - 2010,72,21,0.29,,,,,,
,,2011 - 2012,72,23,0.32,,,,,,
,,2013 - 2014,64,19,0.3,,,,,,
,,2014 - 2015,74,23,0.31,,,,,,
,,2015 - 2016,96,29,0.3,,,,,,
,,2016 - 2017,122,37,0.3,,,,,,
,,2017 - 2018,127,39,0.31,,,,,,
,,2018 - 2019,124,38,0.31,,,,,,
,,2019 - 2020,115,35,0.3,,,,,,
,,2020 - 2021,144,32,0.22,,,,,,
,,2021 - 2022,147,42,0.29,,,,,,
,,2022 - 2023,148,42,0.28,,,,,,
,16. Thenkasi,2020 - 2021,36,8,0.22,,,,,,
,,2021 - 2022,37,8,0.22,,,,,,
,,2022 - 2023,44,10,0.23,,,,,,
,17. Thiruvarur,2019 - 2020,2,0,0,,,,,,
,,2020 - 2021,1,0,0,,,,,,
,,2021 - 2022,1,0,0,,,,,,
,18. Tiruchirappalli,2007 - 2008,1,,0,,,,,,
,,2008 - 2009,1,,0,,,,,,
,,2009 - 2010,1,,0,,,,,,
,,2011 - 2012,1,,0,,,,,,
,,2013 - 2014,1,,0,,,,,,
,,2014 - 2015,1,,0,,,,,,
,,2015 - 2016,1,,0,,,,,,
,,2016 - 2017,1,,0,,,,,,
,,2017 - 2018,1,,0,,,,,,
,,2018 - 2019,1,,0,,,,,,
,,2019 - 2020,7,1,0.14,,,,,,
,,2020 - 2021,12,3,0.25,,,,,,
,,2021 - 2022,20,4,0.2,,,,,,
,,2022 - 2023,24,5,0.21,,,,,,
,19. Tirunelveli,2000 - 2001,7,1,0.14,,,,,,
,,2003 - 2004,43,9,0.21,,,,,,
,,2005 - 2006,51,10,0.2,,,,,,
,,2006 - 2007,42,9,0.21,,,,,,
,,2007 - 2008,41,8,0.2,,,,,,
,,2008 - 2009,39,8,0.21,,,,,,
,,2009 - 2010,40,8,0.2,,,,,,
,,2011 - 2012,40,8,0.2,,,,,,
,,2013 - 2014,188,38,0.2,,,,,,
,,2014 - 2015,24,5,0.21,,,,,,
,,2015 - 2016,24,5,0.21,,,,,,
,,2016 - 2017,34,7,0.21,,,,,,
,,2017 - 2018,34,7,0.21,,,,,,
,,2018 - 2019,33,7,0.21,,,,,,
,,2019 - 2020,34,7,0.21,,,,,,
,20. Tirupathur,2022 - 2023,4,1,0.25,,,,,,
,21. Tiruppur,2008 - 2009,1,,0,,,,,,
,,2011 - 2012,1,,0,,,,,,
,,2013 - 2014,1,,0,,,,,,
,,2014 - 2015,1,,0,,,,,,
,,2015 - 2016,8,1,0.13,,,,,,
,,2016 - 2017,7,1,0.14,,,,,,
,,2017 - 2018,1,,0,,,,,,
,,2018 - 2019,1,,0,,,,,,
,,2019 - 2020,1,0,0,,,,,,
,,2020 - 2021,2,0,0,,,,,,
,,2021 - 2022,1,0,0,,,,,,
,22. Tiruvannamalai,2017 - 2018,1,,0,,,,,,
,,2018 - 2019,26,6,0.23,,,,,,
,,2019 - 2020,94,22,0.23,,,,,,
,,2020 - 2021,63,14,0.22,,,,,,
,,2021 - 2022,20,5,0.25,,,,,,
,,2022 - 2023,103,23,0.22,,,,,,
,23. Vellore,2005 - 2006,1,,0,,,,,,
,,2006 - 2007,1,,0,,,,,,
,,2007 - 2008,1,,0,,,,,,
,,2008 - 2009,1,,0,,,,,,
,,2021 - 2022,7,1,0.14,,,,,,
,24. Villupuram,2016 - 2017,2,,0,,,,,,
,,2017 - 2018,5,1,0.2,,,,,,
,,2018 - 2019,6,1,0.17,,,,,,
,,2019 - 2020,41,8,0.2,,,,,,
,,2020 - 2021,6,1,0.17,,,,,,
,,2021 - 2022,1,0,0,,,,,,
