State,District,Year,Bajra,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2005 - 2006,10,11,1.1,,,,,,,,,
,,2007 - 2008,4,4,1,,,,,,,,,
,,2008 - 2009,4,4,1,,,,,,,,,
,,2009 - 2010,4,4,1,,,,,,,,,
,,2010 - 2011,5,6,1.2,,,,,,,,,
,,2011 - 2012,6,7,1.17,,,,,,,,,
,,2012 - 2013,8,9,1.13,,,,,,,,,
,,2013 - 2014,8,9,1.13,,,,,,,,,
,,2014 - 2015,9,10,1.11,,,,,,,,,
,,2015 - 2016,9,10,1.11,,,,,,,,,
,,2017 - 2018,10,11,1.1,,,,,,,,,
,,2018 - 2019,11,12,1.09,,,,,,,,,
,,2019 - 2020,14,16,1.14,,,,,,,,,
,,2020 - 2021,14,16,1.14,,,,,,,,,
,,2021 - 2022,13,15,1.15,,,,,,,,,
,,2022 - 2023,14,16,1.14,,,,,,,,,
,6. Bhojpur,2000 - 2001,297,259,0.87,,,,,,,,,
,,2001 - 2002,152,110,0.72,,,,,,,,,
,,2002 - 2003,151,149,0.99,,,,,,,,,
,,2003 - 2004,466,460,0.99,,,,,,,,,
,,2004 - 2005,129,127,0.98,,,,,,,,,
,,2005 - 2006,"1,175.00","1,161.00",0.99,,,,,,,,,
,,2006 - 2007,590,583,0.99,,,,,,,,,
,,2007 - 2008,"1,089.00","1,211.00",1.11,,,,,,,,,
,,2008 - 2009,"1,176.00","1,424.00",1.21,,,,,,,,,
,,2009 - 2010,"1,176.00","1,307.00",1.11,,,,,,,,,
,,2010 - 2011,"1,338.00","1,496.00",1.12,,,,,,,,,
,,2011 - 2012,"1,318.00","1,483.00",1.13,,,,,,,,,
,,2012 - 2013,881,"1,004.00",1.14,,,,,,,,,
,,2013 - 2014,443,504,1.14,,,,,,,,,
,,2014 - 2015,253,287,1.13,,,,,,,,,
,,2015 - 2016,"1,166.00","1,321.00",1.13,,,,,,,,,
,,2016 - 2017,925,"1,050.00",1.14,,,,,,,,,
,,2017 - 2018,975,"1,106.00",1.13,,,,,,,,,
,,2018 - 2019,290,329,1.13,,,,,,,,,
,,2019 - 2020,344,390,1.13,,,,,,,,,
,,2020 - 2021,638,724,1.13,,,,,,,,,
,,2021 - 2022,745,849,1.14,,,,,,,,,
,,2022 - 2023,401,457,1.14,,,,,,,,,
,7. Buxar,2000 - 2001,643,560,0.87,,,,,,,,,
,,2001 - 2002,359,259,0.72,,,,,,,,,
,,2002 - 2003,310,335,1.08,,,,,,,,,
,,2003 - 2004,303,337,1.11,,,,,,,,,
,,2004 - 2005,809,887,1.1,,,,,,,,,
,,2005 - 2006,"2,389.00","2,621.00",1.1,,,,,,,,,
,,2006 - 2007,"3,064.00","3,361.00",1.1,,,,,,,,,
,,2007 - 2008,"1,639.00","1,823.00",1.11,,,,,,,,,
,,2008 - 2009,"1,214.00","1,490.00",1.23,,,,,,,,,
,,2009 - 2010,"1,553.00","1,725.00",1.11,,,,,,,,,
,,2010 - 2011,"3,371.00","3,769.00",1.12,,,,,,,,,
,,2011 - 2012,"2,953.00","3,322.00",1.12,,,,,,,,,
,,2012 - 2013,"3,185.00","3,631.00",1.14,,,,,,,,,
,,2013 - 2014,"1,904.00","2,167.00",1.14,,,,,,,,,
