State,District,Year,Bajra,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,9. Jind,2000 - 2001,"40,297.00","64,000.00",1.59,,,,,,,,,
,,2001 - 2002,"38,682.00","53,000.00",1.37,,,,,,,,,
,,2002 - 2003,"40,759.00","43,000.00",1.05,,,,,,,,,
,,2003 - 2004,"46,045.00","84,000.00",1.82,,,,,,,,,
,,2004 - 2005,"45,807.00","67,000.00",1.46,,,,,,,,,
,,2005 - 2006,"46,755.00","88,000.00",1.88,,,,,,,,,
,,2006 - 2007,"53,955.00","1,09,000.00",2.02,,,,,,,,,
,,2007 - 2008,"55,722.00","1,30,000.00",2.33,,,,,,,,,
,,2008 - 2009,"53,145.00","1,02,000.00",1.92,,,,,,,,,
,,2009 - 2010,"44,849.00","79,000.00",1.76,,,,,,,,,
,,2010 - 2011,"43,201.00","89,000.00",2.06,,,,,,,,,
,,2011 - 2012,"28,275.00","58,000.00",2.05,,,,,,,,,
,,2012 - 2013,"22,684.00","47,000.00",2.07,,,,,,,,,
,,2013 - 2014,"15,000.00","34,000.00",2.27,,,,,,,,,
,,2014 - 2015,"11,000.00","22,000.00",2,,,,,,,,,
,,2015 - 2016,"12,000.00","22,000.00",1.83,,,,,,,,,
,,2016 - 2017,"16,600.00","29,700.00",1.79,,,,,,,,,
,,2017 - 2018,"13,900.00","23,900.00",1.72,,,,,,,,,
,,2018 - 2019,"11,000.00","20,000.00",1.82,,,,,,,,,
,,2019 - 2020,"7,900.00","16,400.00",2.08,,,,,,,,,
,,2020 - 2021,"8,100.00","19,110.00",2.36,,,,,,,,,
,,2021 - 2022,"6,732.00","15,950.00",2.37,,,,,,,,,
,,2022 - 2023,"6,930.00","17,880.00",2.58,,,,,,,,,
,10. Kaithal,2000 - 2001,"5,399.00","5,000.00",0.93,,,,,,,,,
,,2001 - 2002,"6,086.00","9,000.00",1.48,,,,,,,,,
,,2002 - 2003,"9,642.00","9,000.00",0.93,,,,,,,,,
,,2003 - 2004,"10,855.00","14,000.00",1.29,,,,,,,,,
,,2004 - 2005,"10,831.00","17,000.00",1.57,,,,,,,,,
,,2005 - 2006,"11,737.00","23,000.00",1.96,,,,,,,,,
,,2006 - 2007,"12,978.00","27,000.00",2.08,,,,,,,,,
,,2007 - 2008,"13,944.00","46,000.00",3.3,,,,,,,,,
,,2008 - 2009,"13,505.00","31,000.00",2.3,,,,,,,,,
,,2009 - 2010,"10,883.00","20,000.00",1.84,,,,,,,,,
,,2010 - 2011,"9,210.00","14,000.00",1.52,,,,,,,,,
,,2011 - 2012,"5,824.00","15,000.00",2.58,,,,,,,,,
,,2012 - 2013,"4,588.00","13,000.00",2.83,,,,,,,,,
,,2013 - 2014,"4,000.00","10,000.00",2.5,,,,,,,,,
,,2014 - 2015,"2,000.00","5,000.00",2.5,,,,,,,,,
,,2015 - 2016,"2,000.00","4,000.00",2,,,,,,,,,
,,2016 - 2017,"2,500.00","5,200.00",2.08,,,,,,,,,
,,2017 - 2018,"2,500.00","5,000.00",2,,,,,,,,,
,,2018 - 2019,"1,000.00","2,000.00",2,,,,,,,,,
,,2019 - 2020,600,"1,200.00",2,,,,,,,,,
,,2020 - 2021,900,"1,800.00",2,,,,,,,,,
,,2021 - 2022,439,940,2.14,,,,,,,,,
,,2022 - 2023,520,"1,380.00",2.65,,,,,,,,,
,11. Karnal,2000 - 2001,"2,828.00","3,000.00",1.06,,,,,,,,,
,,2001 - 2002,"1,312.00","1,000.00",0.76,,,,,,,,,
,,2002 - 2003,958,"1,000.00",1.04,,,,,,,,,
,,2003 - 2004,"1,015.00","2,000.00",1.97,,,,,,,,,
,,2004 - 2005,"1,030.00","2,000.00",1.94,,,,,,,,,
,,2005 - 2006,"1,276.00","3,000.00",2.35,,,,,,,,,
,,2006 - 2007,"1,638.00","6,000.00",3.66,,,,,,,,,
,,2007 - 2008,"1,573.00","4,000.00",2.54,,,,,,,,,
,,2008 - 2009,"2,831.00","9,000.00",3.18,,,,,,,,,
,,2009 - 2010,"1,235.00","2,000.00",1.62,,,,,,,,,
,,2010 - 2011,408,,0,,,,,,,,,
,,2011 - 2012,952,"2,000.00",2.1,,,,,,,,,
,,2012 - 2013,902,"2,000.00",2.22,,,,,,,,,
,,2013 - 2014,"1,000.00","2,000.00",2,,,,,,,,,
,,2014 - 2015,"1,000.00","2,000.00",2,,,,,,,,,
,,2015 - 2016,"1,000.00","2,000.00",2,,,,,,,,,
,,2016 - 2017,400,800,2,,,,,,,,,
,,2017 - 2018,400,600,1.5,,,,,,,,,
,,2018 - 2019,200,400,2,,,,,,,,,
,,2019 - 2020,100,200,2,,,,,,,,,
,,2020 - 2021,300,600,2,,,,,,,,,
,,2021 - 2022,77,180,2.34,,,,,,,,,
,,2022 - 2023,100,250,2.5,,,,,,,,,
,12. Kurukshetra,2000 - 2001,141,0,0,,,,,,,,,
,,2001 - 2002,40,0,0,,,,,,,,,
,,2002 - 2003,103,0,0,,,,,,,,,
,,2003 - 2004,93,0,0,,,,,,,,,
,,2004 - 2005,51,,0,,,,,,,,,
,,2005 - 2006,98,,0,,,,,,,,,
,,2006 - 2007,93,,0,,,,,,,,,
,,2007 - 2008,99,,0,,,,,,,,,
,,2008 - 2009,47,,0,,,,,,,,,
,,2009 - 2010,61,,0,,,,,,,,,
,,2010 - 2011,61,,0,,,,,,,,,
,,2011 - 2012,69,,0,,,,,,,,,
,,2012 - 2013,5,,0,,,,,,,,,
,,2020 - 2021,10,20,2,,,,,,,,,
,,2021 - 2022,1,0,0,,,,,,,,,
,13. Mahendragarh,2000 - 2001,"98,498.00","1,10,000.00",1.12,,,,,,,,,
,,2001 - 2002,"1,03,454.00","1,54,000.00",1.49,,,,,,,,,
,,2002 - 2003,"56,593.00","49,000.00",0.87,,,,,,,,,
,,2003 - 2004,"1,09,115.00","2,13,000.00",1.95,,,,,,,,,
,,2004 - 2005,"85,078.00","1,02,000.00",1.2,,,,,,,,,
,,2005 - 2006,"98,710.00","1,10,000.00",1.11,,,,,,,,,
,,2006 - 2007,"1,00,975.00","1,58,000.00",1.56,,,,,,,,,
,,2007 - 2008,"1,03,100.00","1,77,000.00",1.72,,,,,,,,,
,,2008 - 2009,"1,02,963.00","1,82,000.00",1.77,,,,,,,,,
,,2009 - 2010,"1,02,969.00","1,83,000.00",1.78,,,,,,,,,
,,2010 - 2011,"1,11,683.00","2,00,000.00",1.79,,,,,,,,,
,,2011 - 2012,"1,13,217.00","2,56,000.00",2.26,,,,,,,,,
,,2012 - 2013,"90,744.00","1,98,000.00",2.18,,,,,,,,,
,,2013 - 2014,"90,000.00","2,21,000.00",2.46,,,,,,,,,
,,2014 - 2015,"93,000.00","1,56,000.00",1.68,,,,,,,,,
,,2015 - 2016,"89,000.00","1,35,000.00",1.52,,,,,,,,,
,,2016 - 2017,"99,000.00","2,27,700.00",2.3,,,,,,,,,
,,2017 - 2018,"98,500.00","1,48,200.00",1.5,,,,,,,,,
,,2018 - 2019,"99,000.00","2,04,000.00",2.06,,,,,,,,,
,,2019 - 2020,"1,13,500.00","2,82,800.00",2.49,,,,,,,,,
,,2020 - 2021,"1,16,900.00","2,96,930.00",2.54,,,,,,,,,
,,2021 - 2022,"1,08,387.00","3,03,700.00",2.8,,,,,,,,,
,,2022 - 2023,"1,15,310.00","3,08,180.00",2.67,,,,,,,,,
,14. Mewat,2005 - 2006,"25,413.00","26,000.00",1.02,,,,,,,,,
,,2006 - 2007,"26,248.00","34,000.00",1.3,,,,,,,,,
,,2007 - 2008,"27,025.00","44,000.00",1.63,,,,,,,,,
,,2008 - 2009,"22,523.00","35,000.00",1.55,,,,,,,,,
,,2009 - 2010,"25,597.00","44,000.00",1.72,,,,,,,,,
,,2010 - 2011,"26,589.00","38,000.00",1.43,,,,,,,,,
,,2011 - 2012,"25,119.00","47,000.00",1.87,,,,,,,,,
,,2012 - 2013,"22,382.00","43,000.00",1.92,,,,,,,,,
,,2013 - 2014,"23,000.00","48,000.00",2.09,,,,,,,,,
,,2014 - 2015,"26,000.00","44,000.00",1.69,,,,,,,,,
,,2015 - 2016,"27,000.00","51,000.00",1.89,,,,,,,,,
,,2016 - 2017,"24,700.00","48,700.00",1.97,,,,,,,,,
,,2017 - 2018,"25,500.00","60,300.00",2.36,,,,,,,,,
,,2018 - 2019,"26,000.00","68,000.00",2.62,,,,,,,,,
,,2019 - 2020,"30,100.00","83,200.00",2.76,,,,,,,,,
,,2020 - 2021,"36,220.00","99,240.00",2.74,,,,,,,,,
,,2021 - 2022,"39,879.00","1,06,560.00",2.67,,,,,,,,,
,,2022 - 2023,"43,760.00","1,17,540.00",2.69,,,,,,,,,
,15. Palwal,2008 - 2009,"7,784.00","15,000.00",1.93,,,,,,,,,
,,2009 - 2010,"6,676.00","13,000.00",1.95,,,,,,,,,
,,2010 - 2011,"8,358.00","15,000.00",1.79,,,,,,,,,
,,2011 - 2012,"7,953.00","15,000.00",1.89,,,,,,,,,
,,2012 - 2013,"7,601.00","15,000.00",1.97,,,,,,,,,
,,2013 - 2014,"8,000.00","17,000.00",2.13,,,,,,,,,
,,2014 - 2015,"7,000.00","13,000.00",1.86,,,,,,,,,
,,2015 - 2016,"8,000.00","10,000.00",1.25,,,,,,,,,
,,2016 - 2017,"11,300.00","21,700.00",1.92,,,,,,,,,
,,2017 - 2018,"5,400.00","11,800.00",2.19,,,,,,,,,
,,2018 - 2019,"7,000.00","19,000.00",2.71,,,,,,,,,
,,2019 - 2020,"10,500.00","27,900.00",2.66,,,,,,,,,
,,2020 - 2021,"20,980.00","55,950.00",2.67,,,,,,,,,
,,2021 - 2022,"14,923.00","36,320.00",2.43,,,,,,,,,
,,2022 - 2023,"16,500.00","37,950.00",2.3,,,,,,,,,
,16. Panchkula,2000 - 2001,228,0,0,,,,,,,,,
,,2001 - 2002,345,0,0,,,,,,,,,
,,2002 - 2003,782,"1,000.00",1.28,,,,,,,,,
,,2003 - 2004,499,"2,000.00",4.01,,,,,,,,,
,,2004 - 2005,475,"3,000.00",6.32,,,,,,,,,
,,2005 - 2006,710,"1,000.00",1.41,,,,,,,,,
,,2006 - 2007,513,"2,000.00",3.9,,,,,,,,,
,,2007 - 2008,539,"2,000.00",3.71,,,,,,,,,
,,2008 - 2009,679,"2,000.00",2.95,,,,,,,,,
,,2009 - 2010,727,"2,000.00",2.75,,,,,,,,,
,,2010 - 2011,"1,329.00","2,000.00",1.5,,,,,,,,,
,,2011 - 2012,"1,125.00","2,000.00",1.78,,,,,,,,,
,,2012 - 2013,986,"2,000.00",2.03,,,,,,,,,
,,2013 - 2014,"1,000.00","2,000.00",2,,,,,,,,,
,,2015 - 2016,"1,000.00","2,000.00",2,,,,,,,,,
,,2017 - 2018,900,"1,600.00",1.78,,,,,,,,,
,,2018 - 2019,"1,000.00","3,000.00",3,,,,,,,,,
,,2019 - 2020,"1,200.00","3,000.00",2.5,,,,,,,,,
,,2020 - 2021,"1,160.00","3,090.00",2.66,,,,,,,,,
,,2021 - 2022,276,710,2.57,,,,,,,,,
,,2022 - 2023,820,"2,830.00",3.45,,,,,,,,,
,17. Panipat,2000 - 2001,450,0,0,,,,,,,,,
,,2001 - 2002,410,0,0,,,,,,,,,
,,2002 - 2003,551,"1,000.00",1.81,,,,,,,,,
,,2003 - 2004,575,"2,000.00",3.48,,,,,,,,,
,,2004 - 2005,704,"3,000.00",4.26,,,,,,,,,
,,2005 - 2006,617,"2,000.00",3.24,,,,,,,,,
,,2006 - 2007,698,"2,000.00",2.87,,,,,,,,,
,,2007 - 2008,681,"2,000.00",2.94,,,,,,,,,
,,2008 - 2009,527,"2,000.00",3.8,,,,,,,,,
,,2009 - 2010,558,,0,,,,,,,,,
,,2010 - 2011,476,"2,000.00",4.2,,,,,,,,,
,,2011 - 2012,430,,0,,,,,,,,,
,,2012 - 2013,401,,0,,,,,,,,,
,,2016 - 2017,300,600,2,,,,,,,,,
,,2017 - 2018,100,200,2,,,,,,,,,
,,2018 - 2019,400,700,1.75,,,,,,,,,
,,2019 - 2020,300,400,1.33,,,,,,,,,
,,2020 - 2021,"1,220.00","3,180.00",2.61,,,,,,,,,
,,2021 - 2022,567,"1,250.00",2.2,,,,,,,,,
,,2022 - 2023,330,830,2.52,,,,,,,,,
,18. Rewari,2000 - 2001,"54,421.00","59,000.00",1.08,,,,,,,,,
,,2001 - 2002,"58,775.00","91,000.00",1.55,,,,,,,,,
,,2002 - 2003,"38,030.00","26,000.00",0.68,,,,,,,,,
,,2003 - 2004,"60,559.00","1,01,000.00",1.67,,,,,,,,,
,,2004 - 2005,"50,379.00","78,000.00",1.55,,,,,,,,,
,,2005 - 2006,"55,350.00","48,000.00",0.87,,,,,,,,,
,,2006 - 2007,"57,639.00","82,000.00",1.42,,,,,,,,,
,,2007 - 2008,"64,060.00","1,01,000.00",1.58,,,,,,,,,
,,2008 - 2009,"62,545.00","1,21,000.00",1.93,,,,,,,,,
,,2009 - 2010,"58,603.00","97,000.00",1.66,,,,,,,,,
,,2010 - 2011,"66,706.00","1,26,000.00",1.89,,,,,,,,,
,,2011 - 2012,"62,758.00","1,47,000.00",2.34,,,,,,,,,
,,2012 - 2013,"49,474.00","98,000.00",1.98,,,,,,,,,
,,2013 - 2014,"60,000.00","1,40,000.00",2.33,,,,,,,,,
,,2014 - 2015,"59,000.00","1,35,000.00",2.29,,,,,,,,,
,,2015 - 2016,"62,000.00","1,32,000.00",2.13,,,,,,,,,
,,2016 - 2017,"68,000.00","1,48,700.00",2.19,,,,,,,,,
,,2017 - 2018,"67,800.00","1,32,400.00",1.95,,,,,,,,,
,,2018 - 2019,"65,000.00","1,36,000.00",2.09,,,,,,,,,
,,2019 - 2020,"67,200.00","1,45,000.00",2.16,,,,,,,,,
,,2020 - 2021,"84,220.00","2,08,020.00",2.47,,,,,,,,,
,,2021 - 2022,"74,147.00","1,51,410.00",2.04,,,,,,,,,
,,2022 - 2023,"82,350.00","2,12,380.00",2.58,,,,,,,,,
,19. Rohtak,2000 - 2001,"17,439.00","27,000.00",1.55,,,,,,,,,
,,2001 - 2002,"17,245.00","22,000.00",1.28,,,,,,,,,
,,2002 - 2003,"15,455.00","15,000.00",0.97,,,,,,,,,
,,2003 - 2004,"16,080.00","30,000.00",1.87,,,,,,,,,
,,2004 - 2005,"13,946.00","25,000.00",1.79,,,,,,,,,
,,2005 - 2006,"14,335.00","20,000.00",1.4,,,,,,,,,
,,2006 - 2007,"17,392.00","36,000.00",2.07,,,,,,,,,
,,2007 - 2008,"19,137.00","43,000.00",2.25,,,,,,,,,
,,2008 - 2009,"20,723.00","37,000.00",1.79,,,,,,,,,
,,2009 - 2010,"20,053.00","31,000.00",1.55,,,,,,,,,
,,2010 - 2011,"22,753.00","32,000.00",1.41,,,,,,,,,
,,2011 - 2012,"20,281.00","39,000.00",1.92,,,,,,,,,
,,2012 - 2013,"16,545.00","29,000.00",1.75,,,,,,,,,
,,2013 - 2014,"15,000.00","20,000.00",1.33,,,,,,,,,
,,2014 - 2015,"13,000.00","22,000.00",1.69,,,,,,,,,
,,2015 - 2016,"13,000.00","23,000.00",1.77,,,,,,,,,
,,2016 - 2017,"12,900.00","25,000.00",1.94,,,,,,,,,
,,2017 - 2018,"11,800.00","21,900.00",1.86,,,,,,,,,
,,2018 - 2019,"8,000.00","18,000.00",2.25,,,,,,,,,
,,2019 - 2020,"10,600.00","21,400.00",2.02,,,,,,,,,
,,2020 - 2021,"12,690.00","27,610.00",2.18,,,,,,,,,
,,2021 - 2022,"9,296.00","16,880.00",1.82,,,,,,,,,
,,2022 - 2023,"9,190.00","19,330.00",2.1,,,,,,,,,
,20. Sirsa,2000 - 2001,"2,947.00","3,000.00",1.02,,,,,,,,,
,,2001 - 2002,"3,393.00","5,000.00",1.47,,,,,,,,,
,,2002 - 2003,"5,850.00","5,000.00",0.85,,,,,,,,,
,,2003 - 2004,"8,177.00","15,000.00",1.83,,,,,,,,,
,,2004 - 2005,"5,785.00","8,000.00",1.38,,,,,,,,,
,,2005 - 2006,"4,866.00","8,000.00",1.64,,,,,,,,,
,,2006 - 2007,"4,826.00","9,000.00",1.86,,,,,,,,,
,,2007 - 2008,"5,721.00","12,000.00",2.1,,,,,,,,,
,,2008 - 2009,"4,889.00","10,000.00",2.05,,,,,,,,,
,,2009 - 2010,"2,950.00","6,000.00",2.03,,,,,,,,,
,,2010 - 2011,"5,513.00","19,000.00",3.45,,,,,,,,,
,,2011 - 2012,"3,901.00","9,000.00",2.31,,,,,,,,,
,,2012 - 2013,"1,670.00","3,000.00",1.8,,,,,,,,,
,,2013 - 2014,"2,000.00","3,000.00",1.5,,,,,,,,,
,,2014 - 2015,"1,000.00","2,000.00",2,,,,,,,,,
,,2015 - 2016,"1,000.00","1,000.00",1,,,,,,,,,
,,2016 - 2017,"4,000.00","9,400.00",2.35,,,,,,,,,
,,2017 - 2018,"3,200.00","5,400.00",1.69,,,,,,,,,
,,2018 - 2019,"4,000.00","11,000.00",2.75,,,,,,,,,
,,2019 - 2020,"5,400.00","15,200.00",2.81,,,,,,,,,
,,2020 - 2021,"5,960.00","14,070.00",2.36,,,,,,,,,
,,2021 - 2022,"6,247.00","17,720.00",2.84,,,,,,,,,
,,2022 - 2023,"3,700.00","9,000.00",2.43,,,,,,,,,
,21. Sonipat,2000 - 2001,"7,627.00","12,000.00",1.57,,,,,,,,,
,,2001 - 2002,"7,672.00","11,000.00",1.43,,,,,,,,,
,,2002 - 2003,"2,979.00","5,000.00",1.68,,,,,,,,,
,,2003 - 2004,"6,890.00","11,000.00",1.6,,,,,,,,,
,,2004 - 2005,"6,890.00","11,000.00",1.6,,,,,,,,,
,,2005 - 2006,"6,989.00","11,000.00",1.57,,,,,,,,,
,,2006 - 2007,"8,774.00","18,000.00",2.05,,,,,,,,,
,,2007 - 2008,"10,583.00","20,000.00",1.89,,,,,,,,,
,,2008 - 2009,"9,241.00","18,000.00",1.95,,,,,,,,,
,,2009 - 2010,"12,521.00","27,000.00",2.16,,,,,,,,,
,,2010 - 2011,"13,301.00","24,000.00",1.8,,,,,,,,,
,,2011 - 2012,"11,367.00","25,000.00",2.2,,,,,,,,,
,,2012 - 2013,"8,441.00","19,000.00",2.25,,,,,,,,,
,,2013 - 2014,"8,000.00","18,000.00",2.25,,,,,,,,,
,,2014 - 2015,"6,000.00","11,000.00",1.83,,,,,,,,,
,,2015 - 2016,"6,000.00","13,000.00",2.17,,,,,,,,,
,,2016 - 2017,"6,200.00","12,600.00",2.03,,,,,,,,,
,,2017 - 2018,"5,900.00","7,500.00",1.27,,,,,,,,,
,,2018 - 2019,"5,000.00","8,000.00",1.6,,,,,,,,,
,,2019 - 2020,"6,700.00","17,200.00",2.57,,,,,,,,,
,,2020 - 2021,"11,260.00","29,390.00",2.61,,,,,,,,,
,,2021 - 2022,"11,262.00","25,110.00",2.23,,,,,,,,,
,,2022 - 2023,"5,600.00","13,980.00",2.5,,,,,,,,,
,22. Yamunanagar,2000 - 2001,"1,498.00","1,000.00",0.67,,,,,,,,,
,,2001 - 2002,"1,084.00","1,000.00",0.92,,,,,,,,,
,,2002 - 2003,982,"1,000.00",1.02,,,,,,,,,
,,2003 - 2004,733,"2,000.00",2.73,,,,,,,,,
,,2004 - 2005,980,"2,000.00",2.04,,,,,,,,,
,,2005 - 2006,980,"1,000.00",1.02,,,,,,,,,
,,2006 - 2007,976,"2,000.00",2.05,,,,,,,,,
,,2007 - 2008,799,"2,000.00",2.5,,,,,,,,,
,,2008 - 2009,928,"2,000.00",2.16,,,,,,,,,
,,2009 - 2010,"1,243.00","2,000.00",1.61,,,,,,,,,
,,2010 - 2011,934,"2,000.00",2.14,,,,,,,,,
,,2011 - 2012,598,"2,000.00",3.34,,,,,,,,,
,,2012 - 2013,610,"2,000.00",3.28,,,,,,,,,
,,2017 - 2018,100,100,1,,,,,,,,,
,,2018 - 2019,100,200,2,,,,,,,,,
,,2019 - 2020,100,200,2,,,,,,,,,
,,2020 - 2021,210,570,2.71,,,,,,,,,
,,2021 - 2022,183,420,2.3,,,,,,,,,
,,2022 - 2023,190,480,2.53,,,,,,,,,
8. Himachal Pradesh,1. Bilaspur,2001 - 2002,5,2,0.4,,,,,,,,,
,,2006 - 2007,95,53,0.56,,,,,,,,,
,,2012 - 2013,147,74,0.5,,,,,,,,,
,,2018 - 2019,8,4,0.5,,,,,,,,,
,,2019 - 2020,9,9,1,,,,,,,,,
,2. Chamba,2000 - 2001,4,2,0.5,,,,,,,,,
,,2001 - 2002,1,1,1,,,,,,,,,
,,2012 - 2013,109,51,0.47,,,,,,,,,
,3. Hamirpur,2000 - 2001,4,2,0.5,,,,,,,,,
,,2001 - 2002,1,1,1,,,,,,,,,
,,2002 - 2003,1,0,0,,,,,,,,,
,,2004 - 2005,2,2,1,,,,,,,,,
,,2008 - 2009,8,4,0.5,,,,,,,,,
,,2009 - 2010,9,4,0.44,,,,,,,,,
,,2010 - 2011,9,4,0.44,,,,,,,,,
,,2011 - 2012,12,6,0.5,,,,,,,,,
,,2012 - 2013,241,118,0.49,,,,,,,,,
,,2013 - 2014,115,78,0.68,,,,,,,,,
,,2014 - 2015,115,78,0.68,,,,,,,,,
,,2015 - 2016,5,2,0.4,,,,,,,,,
,,2016 - 2017,5,2,0.4,,,,,,,,,
,,2017 - 2018,5,3,0.6,,,,,,,,,
,,2018 - 2019,1,0.5,0.5,,,,,,,,,
,,2019 - 2020,2,2,1,,,,,,,,,
,4. Kangra,2000 - 2001,73,23,0.32,,,,,,,,,
,,2001 - 2002,63,35,0.56,,,,,,,,,
,,2002 - 2003,89,49,0.55,,,,,,,,,
,,2003 - 2004,218,121,0.56,,,,,,,,,
,,2004 - 2005,210,111,0.53,,,,,,,,,
,,2005 - 2006,218,102,0.47,,,,,,,,,
,,2006 - 2007,184,87,0.47,,,,,,,,,
,,2008 - 2009,146,81,0.55,,,,,,,,,
,,2009 - 2010,150,76,0.51,,,,,,,,,
,,2010 - 2011,141,75,0.53,,,,,,,,,
,,2011 - 2012,145,85,0.59,,,,,,,,,
,,2012 - 2013,555,284,0.51,,,,,,,,,
,,2013 - 2014,320,182,0.57,,,,,,,,,
,,2014 - 2015,246,124,0.5,,,,,,,,,
,,2015 - 2016,48,29,0.6,,,,,,,,,
,,2016 - 2017,116,56,0.48,,,,,,,,,
,,2017 - 2018,48,36,0.75,,,,,,,,,
,,2018 - 2019,61,50,0.82,,,,,,,,,
,,2019 - 2020,75,77,1.03,,,,,,,,,
,,2020 - 2021,157,870,5.54,,,,,,,,,
,,2021 - 2022,318,177,0.56,,,,,,,,,
,,2022 - 2023,241,134,0.56,,,,,,,,,
,5. Mandi,2000 - 2001,23,8,0.35,,,,,,,,,
,,2001 - 2002,11,4,0.36,,,,,,,,,
,,2004 - 2005,34,18,0.53,,,,,,,,,
,,2005 - 2006,44,19,0.43,,,,,,,,,
,,2006 - 2007,61,34,0.56,,,,,,,,,
,,2008 - 2009,43,24,0.56,,,,,,,,,
,,2009 - 2010,51,24,0.47,,,,,,,,,
,,2010 - 2011,45,26,0.58,,,,,,,,,
,,2011 - 2012,56,26,0.46,,,,,,,,,
,,2012 - 2013,268,139,0.52,,,,,,,,,
,,2013 - 2014,134,67,0.5,,,,,,,,,
,,2014 - 2015,134,67,0.5,,,,,,,,,
,,2015 - 2016,23,13,0.57,,,,,,,,,
,,2016 - 2017,33,17,0.52,,,,,,,,,
,,2017 - 2018,23,17,0.74,,,,,,,,,
,,2018 - 2019,15,7,0.47,,,,,,,,,
,,2019 - 2020,18,18,1,,,,,,,,,
,,2020 - 2021,288,125,0.43,,,,,,,,,
,,2021 - 2022,204,89,0.44,,,,,,,,,
,,2022 - 2023,215,94,0.44,,,,,,,,,
,6. Shimla,2000 - 2001,6,3,0.5,,,,,,,,,
,,2001 - 2002,8,4,0.5,,,,,,,,,
,,2002 - 2003,1,2,2,,,,,,,,,
,,2003 - 2004,7,4,0.57,,,,,,,,,
,,2004 - 2005,3,2,0.67,,,,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,,,,
,,2006 - 2007,2,1,0.5,,,,,,,,,
,,2008 - 2009,2,2,1,,,,,,,,,
,,2009 - 2010,1,1,1,,,,,,,,,
,,2010 - 2011,2,1,0.5,,,,,,,,,
,,2011 - 2012,3,1,0.33,,,,,,,,,
,,2012 - 2013,334,164,0.49,,,,,,,,,
,,2013 - 2014,68,34,0.5,,,,,,,,,
,,2014 - 2015,68,34,0.5,,,,,,,,,
,,2015 - 2016,1,1,1,,,,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,
,,2017 - 2018,1,1,1,,,,,,,,,
,,2018 - 2019,1,0.5,0.5,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,,2020 - 2021,52,29,0.56,,,,,,,,,
,,2021 - 2022,35,19,0.54,,,,,,,,,
,,2022 - 2023,45,25,0.56,,,,,,,,,
,7. Sirmaur,2000 - 2001,5,2,0.4,,,,,,,,,
,,2001 - 2002,8,4,0.5,,,,,,,,,
,,2002 - 2003,11,6,0.55,,,,,,,,,
,,2003 - 2004,27,15,0.56,,,,,,,,,
,,2004 - 2005,32,17,0.53,,,,,,,,,
,,2005 - 2006,40,22,0.55,,,,,,,,,
,,2006 - 2007,18,6,0.33,,,,,,,,,
,,2008 - 2009,4,2,0.5,,,,,,,,,
,,2009 - 2010,2,1,0.5,,,,,,,,,
,,2010 - 2011,4,1,0.25,,,,,,,,,
,,2011 - 2012,7,4,0.57,,,,,,,,,
,,2012 - 2013,291,161,0.55,,,,,,,,,
,,2013 - 2014,94,39,0.41,,,,,,,,,
,,2014 - 2015,94,39,0.41,,,,,,,,,
,,2015 - 2016,2,1,0.5,,,,,,,,,
,,2016 - 2017,2,1,0.5,,,,,,,,,
,,2017 - 2018,2,1,0.5,,,,,,,,,
,,2018 - 2019,2,2,1,,,,,,,,,
,,2019 - 2020,2,2,1,,,,,,,,,
,,2020 - 2021,15,8,0.53,,,,,,,,,
,8. Solan,2000 - 2001,1,1,1,,,,,,,,,
,,2001 - 2002,13,6,0.46,,,,,,,,,
,,2003 - 2004,60,33,0.55,,,,,,,,,
,,2020 - 2021,11,60,5.45,,,,,,,,,
,,2021 - 2022,11,6,0.55,,,,,,,,,
,,2022 - 2023,38,21,0.55,,,,,,,,,
,9. Una,2012 - 2013,490,245,0.5,,,,,,,,,
9. Jammu and Kashmir,1. Bandipora,2014 - 2015,12,3.5,0.29,,,,,,,,,
,2. Doda,2000 - 2001,42,20.2,0.48,,,,,,,,,
,,2001 - 2002,47,24,0.51,,,,,,,,,
,,2003 - 2004,238,124,0.52,,,,,,,,,
,,2005 - 2006,5,2.6,0.52,,,,,,,,,
,,2016 - 2017,1,0.6,0.6,,,,,,,,,
,,2017 - 2018,9,5.4,0.6,,,,,,,,,
,3. Jammu,2000 - 2001,"11,486.00","5,265.80",0.46,,,,,,,,,
,,2001 - 2002,"11,467.00","6,870.00",0.6,,,,,,,,,
,,2002 - 2003,"11,619.00","6,961.00",0.6,,,,,,,,,
,,2003 - 2004,"14,470.00","8,670.00",0.6,,,,,,,,,
,,2004 - 2005,"14,029.00","8,405.00",0.6,,,,,,,,,
,,2005 - 2006,"11,751.00","7,040.40",0.6,,,,,,,,,
,,2006 - 2007,"13,270.00","7,950.50",0.6,,,,,,,,,
,,2007 - 2008,"7,817.00","4,683.40",0.6,,,,,,,,,
,,2009 - 2010,"9,683.00","5,801.30",0.6,,,,,,,,,
,,2010 - 2011,"9,625.00","5,766.60",0.6,,,,,,,,,
