State,District,Year,Ginger,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2009 - 2010,26,48,1.85,,,,,,,,,
,,2010 - 2011,11,21,1.91,,,,,,,,,
,,2011 - 2012,27,39,1.44,,,,,,,,,
,,2012 - 2013,6,9,1.5,,,,,,,,,
,,2013 - 2014,11,24,2.18,,,,,,,,,
,,2015 - 2016,65,"1,300.00",20,,,,,,,,,
,,2016 - 2017,72,"1,800.00",25,,,,,,,,,
,,2017 - 2018,80,"1,600.00",20,,,,,,,,,
,,2018 - 2019,112,"2,240.00",20,,,,,,,,,
,,2019 - 2020,118,"2,360.00",20,,,,,,,,,
,23. Jabalpur,2000 - 2001,,,,,,,60,79,1.32,,,
,,2001 - 2002,,,,,,,47,73,1.55,,,
,,2002 - 2003,,,,,,,59,86,1.46,,,
,,2003 - 2004,,,,,,,42,66,1.57,,,
,,2004 - 2005,,,,,,,41,68,1.66,,,
,,2006 - 2007,,,,,,,48,93,1.94,,,
,,2009 - 2010,42,65,1.55,,,,,,,,,
,,2010 - 2011,52,83,1.6,,,,,,,,,
,,2011 - 2012,49,76,1.55,,,,,,,,,
,,2012 - 2013,51,86,1.69,,,,,,,,,
,,2013 - 2014,36,61,1.69,,,,,,,,,
,,2015 - 2016,531.5,"7,972.50",15,,,,,,,,,
,,2016 - 2017,544,"8,160.00",15,,,,,,,,,
,,2017 - 2018,550,"8,255.52",15.01,,,,,,,,,
,,2018 - 2019,577.5,"8,085.00",14,,,,,,,,,
,,2019 - 2020,577.5,"8,668.29",15.01,,,,,,,,,
,24. Jhabua,2000 - 2001,,,,,,,30,17,0.57,,,
,,2001 - 2002,,,,,,,19,22,1.16,,,
,,2002 - 2003,,,,,,,29,42,1.45,,,
,,2003 - 2004,,,,,,,18,26,1.44,,,
,,2004 - 2005,,,,,,,29,35,1.21,,,
,,2006 - 2007,,,,,,,32,42,1.31,,,
,,2009 - 2010,29,36,1.24,,,,,,,,,
,,2010 - 2011,42,53,1.26,,,,,,,,,
,,2011 - 2012,53,50,0.94,,,,,,,,,
,,2012 - 2013,55,91,1.65,,,,,,,,,
,,2013 - 2014,53,124,2.34,,,,,,,,,
,,2015 - 2016,135,"2,700.00",20,,,,,,,,,
,,2016 - 2017,187,"2,244.00",12,,,,,,,,,
,,2017 - 2018,199,"2,388.00",12,,,,,,,,,
,,2018 - 2019,200,"2,400.00",12,,,,,,,,,
,,2019 - 2020,188,"2,256.00",12,,,,,,,,,
,25. Katni,2000 - 2001,,,,,,,98,95,0.97,,,
,,2001 - 2002,,,,,,,124,149,1.2,,,
,,2002 - 2003,,,,,,,112,85,0.76,,,
,,2003 - 2004,,,,,,,131,147,1.12,,,
,,2004 - 2005,,,,,,,128,123,0.96,,,
,,2006 - 2007,,,,,,,150,128,0.85,,,
,,2009 - 2010,179,165,0.92,,,,,,,,,
,,2010 - 2011,200,166,0.83,,,,,,,,,
,,2011 - 2012,174,114,0.66,,,,,,,,,
,,2012 - 2013,279,370,1.33,,,,,,,,,
,,2013 - 2014,328,731,2.23,,,,,,,,,
,,2015 - 2016,978,"12,548.00",12.83,,,,,,,,,
,,2016 - 2017,978,"13,339.92",13.64,,,,,,,,,
,,2017 - 2018,978.75,"15,464.25",15.8,,,,,,,,,
,,2018 - 2019,978.95,"15,467.41",15.8,,,,,,,,,
,,2019 - 2020,981.55,"15,508.49",15.8,,,,,,,,,
,26. Khandwa,2000 - 2001,,,,,,,216,207,0.96,,,
,,2001 - 2002,,,,,,,185,210,1.14,,,
,,2002 - 2003,,,,,,,206,195,0.95,,,
,,2003 - 2004,,,,,,,212,245,1.16,,,
,,2004 - 2005,,,,,,,330,311,0.94,,,
,,2006 - 2007,,,,,,,416,521,1.25,,,
,,2009 - 2010,604,757,1.25,,,,,,,,,
,,2010 - 2011,658,888,1.35,,,,,,,,,
,,2011 - 2012,606,534,0.88,,,,,,,,,
,,2012 - 2013,487,540,1.11,,,,,,,,,
,,2013 - 2014,406,431,1.06,,,,,,,,,
,,2015 - 2016,502,"12,550.00",25,,,,,,,,,
,,2016 - 2017,"1,010.00","12,550.00",12.43,,,,,,,,,
,,2017 - 2018,976,"12,128.00",12.43,,,,,,,,,
,,2018 - 2019,960,"11,904.00",12.4,,,,,,,,,
,,2019 - 2020,"1,008.00","12,499.00",12.4,,,,,,,,,
,27. Khargone,2000 - 2001,,,,,,,46,23,0.5,,,
,,2001 - 2002,,,,,,,58,45,0.78,,,
,,2002 - 2003,,,,,,,38,28,0.74,,,
,,2003 - 2004,,,,,,,76,76,1,,,
,,2004 - 2005,,,,,,,88,87,0.99,,,
,,2006 - 2007,,,,,,,130,120,0.92,,,
,,2009 - 2010,111,120,1.08,,,,,,,,,
,,2010 - 2011,126,132,1.05,,,,,,,,,
,,2011 - 2012,368,293,0.8,,,,,,,,,
,,2012 - 2013,61,50,0.82,,,,,,,,,
,,2013 - 2014,68,56,0.82,,,,,,,,,
,,2015 - 2016,288,"6,970.00",24.2,,,,,,,,,
,,2016 - 2017,225,"5,467.50",24.3,,,,,,,,,
,,2017 - 2018,125,"3,036.00",24.29,,,,,,,,,
,,2018 - 2019,142,"3,450.00",24.3,,,,,,,,,
,,2019 - 2020,145,"2,830.40",19.52,,,,,,,,,
,28. Mandla,2000 - 2001,,,,,,,5,4,0.8,,,
,,2001 - 2002,,,,,,,37,50,1.35,,,
,,2002 - 2003,,,,,,,35,51,1.46,,,
,,2003 - 2004,,,,,,,32,40,1.25,,,
,,2004 - 2005,,,,,,,30,35,1.17,,,
,,2006 - 2007,,,,,,,25,35,1.4,,,
,,2009 - 2010,26,35,1.35,,,,,,,,,
,,2010 - 2011,27,34,1.26,,,,,,,,,
,,2011 - 2012,26,22,0.85,,,,,,,,,
,,2012 - 2013,27,33,1.22,,,,,,,,,
,,2013 - 2014,18,39,2.17,,,,,,,,,
,,2015 - 2016,80.23,"1,226.75",15.29,,,,,,,,,
,,2016 - 2017,79.21,"1,008.03",12.73,,,,,,,,,
,,2017 - 2018,86.85,"1,108.65",12.77,,,,,,,,,
,,2018 - 2019,91.25,"1,167.35",12.79,,,,,,,,,
,,2019 - 2020,94.25,"1,206.25",12.8,,,,,,,,,
,29. Mandsaur,2006 - 2007,,,,,,,2,1,0.5,,,
,,2012 - 2013,2,1,0.5,,,,,,,,,
,,2015 - 2016,4,64,16,,,,,,,,,
,,2016 - 2017,6,96,16,,,,,,,,,
,,2017 - 2018,7.5,120,16,,,,,,,,,
,,2018 - 2019,12,192,16,,,,,,,,,
,,2019 - 2020,12,192,16,,,,,,,,,
,30. Morena,2010 - 2011,2,2,1,,,,,,,,,
,,2012 - 2013,2,,0,,,,,,,,,
,,2013 - 2014,12,10,0.83,,,,,,,,,
,31. Narsinghpur,2000 - 2001,,,,,,,149,250,1.68,,,
,,2001 - 2002,,,,,,,220,381,1.73,,,
,,2002 - 2003,,,,,,,182,319,1.75,,,
,,2003 - 2004,,,,,,,165,293,1.78,,,
,,2004 - 2005,,,,,,,153,272,1.78,,,
,,2006 - 2007,,,,,,,172,306,1.78,,,
,,2009 - 2010,132,229,1.73,,,,,,,,,
,,2010 - 2011,150,260,1.73,,,,,,,,,
,,2011 - 2012,220,327,1.49,,,,,,,,,
,,2012 - 2013,171,317,1.85,,,,,,,,,
,,2013 - 2014,162,322,1.99,,,,,,,,,
,,2015 - 2016,400.3,"6,671.60",16.67,,,,,,,,,
,,2016 - 2017,522,"8,700.00",16.67,,,,,,,,,
,,2017 - 2018,522,"8,700.00",16.67,,,,,,,,,
,,2018 - 2019,540,"8,978.00",16.63,,,,,,,,,
,,2019 - 2020,540,"8,978.00",16.63,,,,,,,,,
,32. Neemuch,2001 - 2002,,,,,,,1,1,1,,,
,,2015 - 2016,3,33,11,,,,,,,,,
,,2016 - 2017,5,50,10,,,,,,,,,
,,2017 - 2018,6,90,15,,,,,,,,,
,,2018 - 2019,6,60,10,,,,,,,,,
,,2019 - 2020,6,60,10,,,,,,,,,
,33. Panna,2000 - 2001,,,,,,,37,25,0.68,,,
,,2001 - 2002,,,,,,,33,26,0.79,,,
,,2002 - 2003,,,,,,,63,47,0.75,,,
,,2003 - 2004,,,,,,,54,40,0.74,,,
,,2004 - 2005,,,,,,,55,42,0.76,,,
,,2006 - 2007,,,,,,,85,71,0.84,,,
,,2009 - 2010,96,76,0.79,,,,,,,,,
,,2010 - 2011,178,135,0.76,,,,,,,,,
,,2011 - 2012,404,259,0.64,,,,,,,,,
,,2012 - 2013,302,380,1.26,,,,,,,,,
,,2013 - 2014,356,460,1.29,,,,,,,,,
,,2015 - 2016,81.2,534.8,6.59,,,,,,,,,
,,2016 - 2017,92,604,6.57,,,,,,,,,
,,2017 - 2018,95,623,6.56,,,,,,,,,
,,2018 - 2019,95,665,7,,,,,,,,,
,,2019 - 2020,115,"1,187.95",10.33,,,,,,,,,
,34. Raisen,2000 - 2001,,,,,,,19,13,0.68,,,
,,2001 - 2002,,,,,,,17,12,0.71,,,
,,2002 - 2003,,,,,,,21,15,0.71,,,
,,2003 - 2004,,,,,,,41,31,0.76,,,
,,2004 - 2005,,,,,,,69,52,0.75,,,
,,2006 - 2007,,,,,,,109,81,0.74,,,
,,2009 - 2010,48,36,0.75,,,,,,,,,
,,2010 - 2011,49,37,0.76,,,,,,,,,
,,2011 - 2012,73,40,0.55,,,,,,,,,
,,2012 - 2013,43,28,0.65,,,,,,,,,
,,2013 - 2014,39,32,0.82,,,,,,,,,
,,2015 - 2016,97,"1,235.00",12.73,,,,,,,,,
,,2016 - 2017,120,"1,488.00",12.4,,,,,,,,,
,,2017 - 2018,120,"1,488.00",12.4,,,,,,,,,
,,2018 - 2019,120,"1,488.00",12.4,,,,,,,,,
,,2019 - 2020,120,"1,488.00",12.4,,,,,,,,,
,35. Rajgarh,2000 - 2001,,,,,,,3,2,0.67,,,
,,2001 - 2002,,,,,,,2,2,1,,,
,,2002 - 2003,,,,,,,2,2,1,,,
,,2004 - 2005,,,,,,,1,1,1,,,
,,2009 - 2010,1,1,1,,,,,,,,,
,,2011 - 2012,2,2,1,,,,,,,,,
,,2012 - 2013,1,1,1,,,,,,,,,
,,2015 - 2016,140,"1,540.00",11,,,,,,,,,
,,2016 - 2017,157,"1,727.00",11,,,,,,,,,
,,2017 - 2018,160,"1,760.00",11,,,,,,,,,
,,2018 - 2019,160,"1,760.00",11,,,,,,,,,
,,2019 - 2020,205,"2,250.00",10.98,,,,,,,,,
,36. Ratlam,2000 - 2001,,,,,,,43,47,1.09,,,
,,2001 - 2002,,,,,,,7,8,1.14,,,
,,2002 - 2003,,,,,,,55,61,1.11,,,
,,2003 - 2004,,,,,,,29,32,1.1,,,
,,2004 - 2005,,,,,,,62,91,1.47,,,
,,2006 - 2007,,,,,,,103,132,1.28,,,
,,2009 - 2010,146,200,1.37,,,,,,,,,
,,2010 - 2011,132,156,1.18,,,,,,,,,
,,2011 - 2012,107,126,1.18,,,,,,,,,
,,2012 - 2013,97,119,1.23,,,,,,,,,
,,2013 - 2014,107,121,1.13,,,,,,,,,
,,2015 - 2016,40,726,18.15,,,,,,,,,
,,2016 - 2017,80,"1,453.00",18.16,,,,,,,,,
,,2017 - 2018,71,"1,453.00",20.46,,,,,,,,,
,,2018 - 2019,71,"1,290.25",18.17,,,,,,,,,
,,2019 - 2020,69,"1,259.65",18.26,,,,,,,,,
,37. Rewa,2000 - 2001,,,,,,,31,32,1.03,,,
,,2001 - 2002,,,,,,,30,37,1.23,,,
,,2002 - 2003,,,,,,,30,30,1,,,
,,2003 - 2004,,,,,,,24,24,1,,,
,,2004 - 2005,,,,,,,15,18,1.2,,,
,,2006 - 2007,,,,,,,59,67,1.14,,,
,,2009 - 2010,33,39,1.18,,,,,,,,,
,,2010 - 2011,41,46,1.12,,,,,,,,,
,,2011 - 2012,35,25,0.71,,,,,,,,,
,,2012 - 2013,60,51,0.85,,,,,,,,,
,,2013 - 2014,26,59,2.27,,,,,,,,,
,,2015 - 2016,455,"4,663.80",10.25,,,,,,,,,
,,2016 - 2017,867,"9,537.00",11,,,,,,,,,
,,2017 - 2018,728.28,"8,011.08",11,,,,,,,,,
,,2018 - 2019,"1,188.00","13,079.88",11.01,,,,,,,,,
,,2019 - 2020,"1,540.00","16,955.40",11.01,,,,,,,,,
,38. Sagar,2000 - 2001,,,,,,,274,327,1.19,,,
,,2001 - 2002,,,,,,,338,403,1.19,,,
,,2002 - 2003,,,,,,,326,261,0.8,,,
,,2003 - 2004,,,,,,,309,368,1.19,,,
,,2004 - 2005,,,,,,,324,387,1.19,,,
,,2006 - 2007,,,,,,,382,398,1.04,,,
,,2009 - 2010,320,444,1.39,,,,,,,,,
,,2010 - 2011,318,303,0.95,,,,,,,,,
,,2011 - 2012,348,370,1.06,,,,,,,,,
,,2012 - 2013,301,452,1.5,,,,,,,,,
,,2013 - 2014,258,430,1.67,,,,,,,,,
,,2015 - 2016,"1,425.00","35,635.00",25.01,,,,,,,,,
,,2016 - 2017,"1,425.00","35,635.00",25.01,,,,,,,,,
,,2017 - 2018,"1,125.00","28,750.00",25.56,,,,,,,,,
,,2018 - 2019,"1,205.00","30,530.00",25.34,,,,,,,,,
,,2019 - 2020,"1,345.00","26,725.15",19.87,,,,,,,,,
,39. Satna,2000 - 2001,,,,,,,134,92,0.69,,,
,,2001 - 2002,,,,,,,174,151,0.87,,,
,,2002 - 2003,,,,,,,153,102,0.67,,,
,,2003 - 2004,,,,,,,190,146,0.77,,,
,,2004 - 2005,,,,,,,169,119,0.7,,,
,,2006 - 2007,,,,,,,205,178,0.87,,,
,,2009 - 2010,284,226,0.8,,,,,,,,,
,,2010 - 2011,331,239,0.72,,,,,,,,,
,,2011 - 2012,327,205,0.63,,,,,,,,,
,,2012 - 2013,324,194,0.6,,,,,,,,,
,,2013 - 2014,354,320,0.9,,,,,,,,,
,,2015 - 2016,234.5,"3,264.50",13.92,,,,,,,,,
,,2016 - 2017,282.06,"3,728.68",13.22,,,,,,,,,
,,2017 - 2018,277,"3,683.50",13.3,,,,,,,,,
,,2018 - 2019,328,"4,148.20",12.65,,,,,,,,,
,,2019 - 2020,400,"5,414.44",13.54,,,,,,,,,
,40. Sehore,2000 - 2001,,,,,,,66,47,0.71,,,
,,2001 - 2002,,,,,,,68,59,0.87,,,
,,2002 - 2003,,,,,,,40,32,0.8,,,
,,2003 - 2004,,,,,,,25,22,0.88,,,
,,2006 - 2007,,,,,,,17,15,0.88,,,
,,2009 - 2010,7,8,1.14,,,,,,,,,
,,2010 - 2011,2,2,1,,,,,,,,,
,,2011 - 2012,4,4,1,,,,,,,,,
,,2012 - 2013,3,4,1.33,,,,,,,,,
,,2013 - 2014,2,3,1.5,,,,,,,,,
,,2015 - 2016,25,362.5,14.5,,,,,,,,,
,,2016 - 2017,50,707.5,14.15,,,,,,,,,
,,2017 - 2018,60,849,14.15,,,,,,,,,
,,2018 - 2019,65,919.75,14.15,,,,,,,,,
,,2019 - 2020,93,"1,315.95",14.15,,,,,,,,,
,41. Seoni,2000 - 2001,,,,,,,267,232,0.87,,,
,,2001 - 2002,,,,,,,302,407,1.35,,,
,,2002 - 2003,,,,,,,313,362,1.16,,,
,,2003 - 2004,,,,,,,293,367,1.25,,,
,,2004 - 2005,,,,,,,258,299,1.16,,,
,,2006 - 2007,,,,,,,297,372,1.25,,,
,,2009 - 2010,339,425,1.25,,,,,,,,,
,,2010 - 2011,378,474,1.25,,,,,,,,,
,,2011 - 2012,441,456,1.03,,,,,,,,,
,,2012 - 2013,429,827,1.93,,,,,,,,,
,,2013 - 2014,454,"1,258.00",2.77,,,,,,,,,
,,2015 - 2016,476,"6,663.00",14,,,,,,,,,
,,2016 - 2017,493,"7,197.80",14.6,,,,,,,,,
,,2017 - 2018,484,"6,824.40",14.1,,,,,,,,,
,,2018 - 2019,492,"6,992.00",14.21,,,,,,,,,
,,2019 - 2020,505,"7,176.40",14.21,,,,,,,,,
,42. Shahdol,2000 - 2001,,,,,,,112,148,1.32,,,
,,2001 - 2002,,,,,,,163,215,1.32,,,
,,2002 - 2003,,,,,,,154,139,0.9,,,
,,2003 - 2004,,,,,,,17,21,1.24,,,
,,2004 - 2005,,,,,,,29,29,1,,,
,,2006 - 2007,,,,,,,36,45,1.25,,,
,,2009 - 2010,57,66,1.16,,,,,,,,,
,,2010 - 2011,70,98,1.4,,,,,,,,,
,,2011 - 2012,65,53,0.82,,,,,,,,,
,,2012 - 2013,81,130,1.6,,,,,,,,,
,,2013 - 2014,91,195,2.14,,,,,,,,,
,,2015 - 2016,222,"3,219.00",14.5,,,,,,,,,
,,2016 - 2017,243,"3,890.40",16.01,,,,,,,,,
,,2017 - 2018,262,"3,863.40",14.75,,,,,,,,,
,,2018 - 2019,265,"3,963.80",14.96,,,,,,,,,
,,2019 - 2020,480,"7,185.60",14.97,,,,,,,,,
,43. Shajapur,2000 - 2001,,,,,,,1,1,1,,,
,,2001 - 2002,,,,,,,1,1,1,,,
,,2003 - 2004,,,,,,,3,3,1,,,
,,2004 - 2005,,,,,,,3,3,1,,,
,,2009 - 2010,2,2,1,,,,,,,,,
,,2010 - 2011,1,1,1,,,,,,,,,
,,2011 - 2012,1,1,1,,,,,,,,,
,,2012 - 2013,1,1,1,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,
,,2015 - 2016,122,"1,818.00",14.9,,,,,,,,,
,,2016 - 2017,125,"1,868.00",14.94,,,,,,,,,
,,2017 - 2018,90,"1,345.50",14.95,,,,,,,,,
,,2018 - 2019,92,"1,374.89",14.94,,,,,,,,,
,,2019 - 2020,90,"1,345.00",14.94,,,,,,,,,
,44. Sheopur,2004 - 2005,,,,,,,31,27,0.87,,,
,45. Shivpuri,2000 - 2001,,,,,,,58,57,0.98,,,
,,2001 - 2002,,,,,,,75,75,1,,,
,,2002 - 2003,,,,,,,17,6,0.35,,,
,,2003 - 2004,,,,,,,27,31,1.15,,,
,,2004 - 2005,,,,,,,24,21,0.88,,,
,,2006 - 2007,,,,,,,12,11,0.92,,,
,,2009 - 2010,14,12,0.86,,,,,,,,,
,,2010 - 2011,17,17,1,,,,,,,,,
,,2011 - 2012,23,16,0.7,,,,,,,,,
,,2012 - 2013,7,5,0.71,,,,,,,,,
,,2013 - 2014,31,28,0.9,,,,,,,,,
,,2015 - 2016,219,"4,380.00",20,,,,,,,,,
,,2016 - 2017,200,"4,000.00",20,,,,,,,,,
,,2017 - 2018,212,"4,240.00",20,,,,,,,,,
,,2018 - 2019,230,"4,600.00",20,,,,,,,,,
,,2019 - 2020,335,"4,600.00",13.73,,,,,,,,,
,46. Sidhi,2000 - 2001,,,,,,,24,13,0.54,,,
,,2001 - 2002,,,,,,,31,22,0.71,,,
,,2002 - 2003,,,,,,,27,14,0.52,,,
,,2003 - 2004,,,,,,,23,13,0.57,,,
,,2004 - 2005,,,,,,,33,23,0.7,,,
,,2006 - 2007,,,,,,,104,91,0.88,,,
,,2009 - 2010,28,27,0.96,,,,,,,,,
,,2010 - 2011,26,23,0.88,,,,,,,,,
,,2011 - 2012,43,25,0.58,,,,,,,,,
,,2012 - 2013,36,40,1.11,,,,,,,,,
,,2013 - 2014,55,75,1.36,,,,,,,,,
,,2015 - 2016,85,"1,700.00",20,,,,,,,,,
,,2016 - 2017,105,"2,182.00",20.78,,,,,,,,,
,,2017 - 2018,115,"2,300.00",20,,,,,,,,,
,,2018 - 2019,125,"2,500.00",20,,,,,,,,,
,,2019 - 2020,267,"5,067.66",18.98,,,,,,,,,
,47. Singrauli,2009 - 2010,52,61,1.17,,,,,,,,,
,,2010 - 2011,59,53,0.9,,,,,,,,,
,,2011 - 2012,64,42,0.66,,,,,,,,,
,,2012 - 2013,78,100,1.28,,,,,,,,,
,,2013 - 2014,85,76,0.89,,,,,,,,,
,,2015 - 2016,200,"2,760.00",13.8,,,,,,,,,
,,2016 - 2017,222,"3,085.80",13.9,,,,,,,,,
,,2017 - 2018,250,"3,750.00",15,,,,,,,,,
,,2018 - 2019,280,"4,480.00",16,,,,,,,,,
,,2019 - 2020,478,"8,604.00",18,,,,,,,,,
,48. Tikamgarh,2000 - 2001,,,,,,,890,"1,785.00",2.01,,,
,,2001 - 2002,,,,,,,"1,003.00","2,011.00",2,,,
,,2002 - 2003,,,,,,,"1,114.00","1,048.00",0.94,,,
,,2003 - 2004,,,,,,,991,"1,552.00",1.57,,,
,,2004 - 2005,,,,,,,942,"1,180.00",1.25,,,
,,2006 - 2007,,,,,,,861,"1,349.00",1.57,,,
,,2009 - 2010,"1,367.00","1,712.00",1.25,,,,,,,,,
,,2010 - 2011,"1,375.00","1,723.00",1.25,,,,,,,,,
,,2011 - 2012,"1,304.00","1,245.00",0.95,,,,,,,,,
,,2012 - 2013,"1,334.00","1,341.00",1.01,,,,,,,,,
,,2013 - 2014,"1,152.00","1,312.00",1.14,,,,,,,,,
,,2015 - 2016,"4,165.00","49,980.00",12,,,,,,,,,
,,2016 - 2017,"5,007.00","61,586.10",12.3,,,,,,,,,
,,2017 - 2018,"5,841.00","71,844.30",12.3,,,,,,,,,
,,2018 - 2019,"6,509.00","97,635.00",15,,,,,,,,,
,,2019 - 2020,"6,903.00","1,03,545.00",15,,,,,,,,,
,49. Ujjain,2000 - 2001,,,,,,,1,1,1,,,
,,2001 - 2002,,,,,,,4,3,0.75,,,
,,2002 - 2003,,,,,,,3,1,0.33,,,
,,2003 - 2004,,,,,,,2,2,1,,,
,,2004 - 2005,,,,,,,5,4,0.8,,,
,,2006 - 2007,,,,,,,6,5,0.83,,,
,,2009 - 2010,3,3,1,,,,,,,,,
,,2010 - 2011,4,4,1,,,,,,,,,
,,2011 - 2012,3,2,0.67,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,
,,2015 - 2016,74.2,"1,083.32",14.6,,,,,,,,,
,,2016 - 2017,40,584,14.6,,,,,,,,,
,,2017 - 2018,84,"1,251.60",14.9,,,,,,,,,
,,2018 - 2019,87.36,"1,310.40",15,,,,,,,,,
,,2019 - 2020,86.14,"1,300.71",15.1,,,,,,,,,
,50. Umaria,2000 - 2001,,,,,,,12,15,1.25,,,
,,2001 - 2002,,,,,,,18,24,1.33,,,
,,2002 - 2003,,,,,,,22,20,0.91,,,
,,2003 - 2004,,,,,,,15,18,1.2,,,
,,2004 - 2005,,,,,,,18,25,1.39,,,
,,2006 - 2007,,,,,,,37,51,1.38,,,
,,2009 - 2010,40,44,1.1,,,,,,,,,
,,2010 - 2011,61,79,1.3,,,,,,,,,
,,2011 - 2012,58,51,0.88,,,,,,,,,
,,2012 - 2013,75,124,1.65,,,,,,,,,
,,2013 - 2014,88,202,2.3,,,,,,,,,
,,2015 - 2016,35,195,5.57,,,,,,,,,
,,2016 - 2017,115,"3,400.00",29.57,,,,,,,,,
,,2017 - 2018,380,"2,431.50",6.4,,,,,,,,,
,,2018 - 2019,400,"2,560.00",6.4,,,,,,,,,
,,2019 - 2020,500,"5,685.00",11.37,,,,,,,,,
,51. Vidisha,2000 - 2001,,,,,,,71,55,0.77,,,
,,2001 - 2002,,,,,,,71,56,0.79,,,
,,2002 - 2003,,,,,,,55,48,0.87,,,
,,2003 - 2004,,,,,,,55,46,0.84,,,
,,2004 - 2005,,,,,,,93,75,0.81,,,
,,2006 - 2007,,,,,,,117,100,0.85,,,
,,2009 - 2010,71,60,0.85,,,,,,,,,
,,2010 - 2011,179,152,0.85,,,,,,,,,
,,2011 - 2012,79,63,0.8,,,,,,,,,
,,2012 - 2013,6,7,1.17,,,,,,,,,
,,2013 - 2014,180,210,1.17,,,,,,,,,
,,2015 - 2016,839.18,"13,598.51",16.2,,,,,,,,,
,,2016 - 2017,773,"15,446.00",19.98,,,,,,,,,
,,2017 - 2018,649,"13,054.00",20.11,,,,,,,,,
,,2018 - 2019,654,"13,354.00",20.42,,,,,,,,,
,,2019 - 2020,649,"12,026.40",18.53,,,,,,,,,
13. Manipur,1. Bishnupur,2004 - 2005,,,,,,,10,20,2,,,
,,2005 - 2006,,,,,,,10,20,2,,,
,,2006 - 2007,,,,,,,20,30,1.5,,,
,,2007 - 2008,,,,,,,10,20,2,,,
,,2008 - 2009,,,,,,,175,"2,038.00",11.65,,,
,,2009 - 2010,,,,,,,175,"2,062.00",11.78,,,
,,2010 - 2011,,,,,,,184,"2,154.00",11.71,,,
,,2011 - 2012,,,,,,,199,"2,308.40",11.6,,,
,,2012 - 2013,,,,,,,208,"2,454.40",11.8,,,
,,2013 - 2014,,,,,,,239,"2,868.00",12,,,
,,2014 - 2015,,,,,,,273,"3,468.00",12.7,,,
,,2015 - 2016,,,,,,,390,"3,889.03",9.97,,,
,,2016 - 2017,,,,,,,412,"4,120.00",10,,,
,,2017 - 2018,,,,,,,422,"4,285.00",10.15,,,
,,2018 - 2019,,,,,,,433,"4,327.00",9.99,,,
,2. Chandel,2000 - 2001,,,,,,,50,80,1.6,,,
,,2001 - 2002,,,,,,,330,540,1.64,,,
,,2002 - 2003,,,,,,,130,210,1.62,,,
,,2003 - 2004,,,,,,,250,410,1.64,,,
,,2004 - 2005,,,,,,,190,310,1.63,,,
,,2005 - 2006,,,,,,,90,150,1.67,,,
,,2006 - 2007,,,,,,,380,630,1.66,10,20,2
,,2007 - 2008,,,,,,,170,280,1.65,,,
,,2008 - 2009,,,,,,,175,"2,081.00",11.89,,,
,,2009 - 2010,,,,,,,175,"2,094.00",11.97,,,
,,2010 - 2011,,,,,,,185,"2,154.00",11.64,,,
,,2011 - 2012,,,,,,,205,"2,378.00",11.6,,,
,,2012 - 2013,,,,,,,214,"2,525.20",11.8,,,
,,2013 - 2014,,,,,,,244,"2,928.00",12,,,
,,2014 - 2015,,,,,,,276,"3,312.00",12,,,
,,2015 - 2016,,,,,,,"1,165.00","13,980.00",12,,,
,,2016 - 2017,,,,,,,"3,600.00","28,880.00",8.02,,,
,,2017 - 2018,,,,,,,"3,500.00","56,600.00",16.17,,,
,,2018 - 2019,,,,,,,"3,500.00","56,600.00",16.17,,,
,3. Churachandpur,2000 - 2001,,,,,,,610,"1,020.00",1.67,,,
,,2001 - 2002,,,,,,,"1,360.00","2,250.00",1.65,,,
,,2002 - 2003,,,,,,,620,"1,020.00",1.65,,,
,,2003 - 2004,,,,,,,370,610,1.65,,,
,,2004 - 2005,,,,,,,"1,060.00","1,750.00",1.65,,,
,,2005 - 2006,,,,,,,"1,860.00","3,070.00",1.65,,,
,,2006 - 2007,,,,,,,"3,150.00","5,200.00",1.65,510,840,1.65
,,2007 - 2008,,,,,,,"1,400.00","2,310.00",1.65,,,
,,2008 - 2009,,,,,,,900,"10,701.00",11.89,,,
,,2009 - 2010,,,,,,,900,"10,714.00",11.9,,,
,,2010 - 2011,,,,,,,914,"10,851.00",11.87,,,
,,2011 - 2012,,,,,,,950,"11,020.00",11.6,,,
,,2012 - 2013,,,,,,,997,"11,764.60",11.8,,,
,,2013 - 2014,,,,,,,"1,141.00","13,692.00",12,,,
,,2014 - 2015,,,,,,,"1,165.00","13,860.00",11.9,,,
,,2015 - 2016,,,,,,,344,"4,086.00",11.88,,,
,,2016 - 2017,,,,,,,312,"3,744.00",12,,,
,,2017 - 2018,,,,,,,317,"3,794.00",11.97,,,
,,2018 - 2019,,,,,,,318,"3,798.00",11.94,,,
,4. Imphal east,2000 - 2001,,,,,,,20,30,1.5,,,
,,2003 - 2004,,,,,,,20,30,1.5,,,
,,2004 - 2005,,,,,,,10,20,2,,,
,,2006 - 2007,,,,,,,10,20,2,,,
,,2008 - 2009,,,,,,,195,"2,242.00",11.5,,,
