State,District,Year,Ginger,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,8. Kurung kumey,2002 - 2003,20,145,7.25,,,,,,,,,
,,2003 - 2004,20,142,7.1,,,,,,,,,
,,2004 - 2005,70,484,6.91,,,,,,,,,
,,2005 - 2006,20,140,7,,,,,,,,,
,,2006 - 2007,100,80,0.8,,,,,,,,,
,,2007 - 2008,22,15,0.68,,,,,,,,,
,,2008 - 2009,22,132,6,,,,,,,,,
,,2009 - 2010,22,132,6,,,,,,,,,
,,2010 - 2011,20,139,6.95,,,,,,,,,
,,2011 - 2012,20,143,7.15,,,,,,,,,
,,2012 - 2013,21,145,6.9,,,,,,,,,
,,2013 - 2014,5,34,6.8,,,,,,,,,
,,2014 - 2015,25,122,4.88,,,,,,,,,
,,2015 - 2016,14,79,5.64,,,,,,,,,
,,2016 - 2017,14,99,7.07,,,,,,,,,
,,2017 - 2018,18,99,5.5,,,,,,,,,
,,2018 - 2019,18,105,5.83,,,,,,,,,
,,2019 - 2020,19,105,5.53,,,,,,,,,
,,2020 - 2021,19,108,5.68,,,,,,,,,
,,2021 - 2022,20,128,6.4,,,,,,,,,
,,2022 - 2023,23,136,5.91,,,,,,,,,
,9. Leparada,2019 - 2020,63,448,7.11,,,,,,,,,
,,2020 - 2021,63,453,7.19,,,,,,,,,
,,2021 - 2022,64,485,7.58,,,,,,,,,
,,2022 - 2023,75,569,7.59,,,,,,,,,
,10. Lohit,2000 - 2001,"1,060.00","10,388.00",9.8,,,,,,,,,
,,2001 - 2002,716,"7,160.00",10,,,,,,,,,
,,2002 - 2003,695,"6,950.00",10,,,,,,,,,
,,2003 - 2004,896,"8,064.00",9,,,,,,,,,
,,2004 - 2005,"2,230.00","15,610.00",7,,,,,,,,,
,,2005 - 2006,555,"4,551.00",8.2,,,,,,,,,
,,2006 - 2007,895,"7,294.00",8.15,,,,,,,,,
,,2007 - 2008,890,"7,324.00",8.23,,,,,,,,,
,,2008 - 2009,928,"7,778.00",8.38,,,,,,,,,
,,2009 - 2010,920,"7,544.00",8.2,,,,,,,,,
,,2010 - 2011,985,"8,826.00",8.96,,,,,,,,,
,,2011 - 2012,"1,015.00","9,112.00",8.98,,,,,,,,,
,,2012 - 2013,"1,025.00","9,277.00",9.05,,,,,,,,,
,,2013 - 2014,"1,035.00","9,387.00",9.07,,,,,,,,,
,,2014 - 2015,"1,122.00","9,877.00",8.8,,,,,,,,,
,,2015 - 2016,141,"1,222.00",8.67,,,,,,,,,
,,2016 - 2017,155,"1,222.00",7.88,,,,,,,,,
,,2017 - 2018,159,"1,163.00",7.31,,,,,,,,,
,,2018 - 2019,159,"1,169.00",7.35,,,,,,,,,
,,2019 - 2020,160,"1,169.00",7.31,,,,,,,,,
,,2020 - 2021,160,"1,174.00",7.34,,,,,,,,,
,,2021 - 2022,166,"1,256.00",7.57,,,,,,,,,
,,2022 - 2023,174,"1,317.00",7.57,,,,,,,,,
,11. Longding,2013 - 2014,17,139,8.18,,,,,,,,,
,,2014 - 2015,39,230,5.9,,,,,,,,,
,,2015 - 2016,39,274,7.03,,,,,,,,,
,,2016 - 2017,39,274,7.03,,,,,,,,,
,,2017 - 2018,43,274,6.37,,,,,,,,,
,,2018 - 2019,43,280,6.51,,,,,,,,,
,,2019 - 2020,43,280,6.51,,,,,,,,,
,,2020 - 2021,43,285,6.63,,,,,,,,,
,,2021 - 2022,44,302,6.86,,,,,,,,,
,,2022 - 2023,49,336,6.86,,,,,,,,,
,12. Lower dibang valley,2002 - 2003,"2,211.00","15,477.00",7,,,,,,,,,
,,2003 - 2004,"2,225.00","18,912.00",8.5,,,,,,,,,
,,2004 - 2005,430,"2,430.00",5.65,,,,,,,,,
,,2005 - 2006,"2,240.00","15,680.00",7,,,,,,,,,
,,2006 - 2007,"2,750.00","20,625.00",7.5,,,,,,,,,
,,2007 - 2008,"2,850.00","21,375.00",7.5,,,,,,,,,
