State,District,Year,Tapioca,,,,,,,,
,,2016 - 2017,,,,"1,160.00","6,690.00",5.77,,,
,,2017 - 2018,,,,"1,162.00","6,703.00",5.77,,,
,,2018 - 2019,,,,"1,163.00","6,710.00",5.77,,,
,,2019 - 2020,,,,"1,164.00","6,717.00",5.77,,,
,,2020 - 2021,,,,"1,165.00","6,724.00",5.77,,,
,,2021 - 2022,,,,"1,166.00","6,731.00",5.77,,,
,,2022 - 2023,,,,"1,166.00","6,731.00",5.77,,,
,10. West jaintia hills,2013 - 2014,,,,22,230,10.45,,,
,,2014 - 2015,,,,23,240,10.43,,,
,,2015 - 2016,,,,25,261,10.44,,,
,,2016 - 2017,,,,26,287,11.04,,,
,,2017 - 2018,,,,27,298,11.04,,,
,,2018 - 2019,,,,27,298,11.04,,,
,,2019 - 2020,,,,27,298,11.04,,,
,,2020 - 2021,,,,27,298,11.04,,,
,,2021 - 2022,,,,27,298,11.04,,,
,,2022 - 2023,,,,27,298,11.04,,,
,11. West khasi hills,2000 - 2001,665,"3,404.00",5.12,,,,,,
,,2001 - 2002,663,"3,402.00",5.13,,,,,,
,,2002 - 2003,651,"3,307.00",5.08,,,,,,
,,2003 - 2004,629,"3,192.00",5.07,,,,,,
,,2004 - 2005,634,"3,285.00",5.18,,,,,,
,,2005 - 2006,636,"3,369.00",5.3,,,,,,
,,2006 - 2007,,,,638,"3,373.00",5.29,,,
,,2008 - 2009,642,"3,397.00",5.29,,,,,,
,,2009 - 2010,,,,652,"3,583.00",5.5,,,
,,2010 - 2011,,,,649,"3,583.00",5.52,,,
,,2011 - 2012,,,,651,"3,603.00",5.53,,,
,,2012 - 2013,,,,721,"4,824.00",6.69,,,
,,2013 - 2014,,,,497,"3,489.00",7.02,,,
,,2014 - 2015,,,,501,"3,516.00",7.02,,,
,,2015 - 2016,,,,510,"3,594.00",7.05,,,
,,2016 - 2017,,,,561,"4,283.00",7.63,,,
,,2017 - 2018,,,,563,"4,300.00",7.64,,,
,,2018 - 2019,,,,564,"4,309.00",7.64,,,
,,2019 - 2020,,,,565,"4,317.00",7.64,,,
,,2020 - 2021,,,,566,"4,325.00",7.64,,,
,,2021 - 2022,,,,567,"4,333.00",7.64,,,
,,2022 - 2023,,,,568,"4,341.00",7.64,,,
8. Mizoram,1. Aizawl,2001 - 2002,126,574,4.56,,,,,,
,,2002 - 2003,42,273,6.5,,,,,,
,,2003 - 2004,17,220,12.94,,,,,,
,,2009 - 2010,,,,20,331,16.55,,,
,,2010 - 2011,,,,25,314,12.56,,,
,,2011 - 2012,,,,12,21,1.75,,,
,,2015 - 2016,,,,22,230,10.45,,,
,,2016 - 2017,,,,25,85,3.4,,,
,,2017 - 2018,,,,45,162,3.6,,,
,,2020 - 2021,,,,70,595,8.5,,,
,2. Champhai,2001 - 2002,92,112,1.22,,,,,,
,,2002 - 2003,95,143,1.51,,,,,,
,,2005 - 2006,,,,10,92,9.2,,,
,,2009 - 2010,,,,95,141,1.48,,,
,,2010 - 2011,,,,138,212,1.54,,,
,,2011 - 2012,,,,179,255,1.42,,,
,,2013 - 2014,,,,85,109,1.28,,,
,,2014 - 2015,,,,50,69,1.38,,,
,,2015 - 2016,,,,38,36,0.95,,,
,,2016 - 2017,,,,26,24,0.92,,,
,,2017 - 2018,,,,8,7.9,0.99,,,
,,2018 - 2019,,,,9,24,2.67,,,
,,2019 - 2020,,,,14,25,1.79,,,
,,2020 - 2021,,,,2,9,4.5,,,
,,2021 - 2022,,,,4,19,4.75,,,
,3. Hnahthial,2020 - 2021,,,,12,81,6.75,,,
,,2021 - 2022,,,,11,20,1.82,,,
,,2022 - 2023,,,,12,81,6.75,,,
,4. Khawzawl,2020 - 2021,,,,6,10,1.67,,,
,5. Kolasib,2001 - 2002,20,160,8,,,,,,
,,2002 - 2003,25,280,11.2,,,,,,
,,2003 - 2004,12,134,11.17,,,,,,
,,2004 - 2005,,,,19,191,10.05,,,
,,2005 - 2006,,,,15,155,10.33,,,
,,2008 - 2009,,,,3,1,0.33,,,
,,2009 - 2010,,,,26,317,12.19,,,
,,2010 - 2011,,,,101,437,4.33,,,
,,2011 - 2012,,,,106,464,4.38,,,
,,2012 - 2013,,,,26,361,13.88,,,
,,2013 - 2014,,,,29,"1,097.00",37.83,,,
,,2014 - 2015,,,,33,"1,215.00",36.82,,,
,,2016 - 2017,,,,40,"1,477.00",36.93,,,
,,2017 - 2018,,,,34,"1,253.00",36.85,,,
,,2018 - 2019,,,,34,"1,291.00",37.97,,,
,,2019 - 2020,,,,32,374,11.69,,,
,,2020 - 2021,,,,53,632,11.92,,,
,,2021 - 2022,,,,48,567,11.81,,,
,6. Lawngtlai,2005 - 2006,,,,82,122,1.49,,,
,,2009 - 2010,,,,11,110,10,,,
,,2010 - 2011,,,,14,117,8.36,,,
,,2011 - 2012,,,,19,137,7.21,,,
,,2013 - 2014,,,,27,105,3.89,,,
,,2014 - 2015,,,,32,124,3.88,,,
,,2015 - 2016,,,,33,118,3.58,,,
,,2016 - 2017,,,,33,117,3.55,,,
,,2017 - 2018,,,,52,184.5,3.55,,,
,,2018 - 2019,,,,54,171,3.17,,,
,,2019 - 2020,,,,65,211,3.25,,,
,,2020 - 2021,,,,60,199,3.32,,,
,,2021 - 2022,,,,62,205,3.31,,,
,,2022 - 2023,,,,145,523,3.61,,,
,7. Lunglei,2001 - 2002,69,633,9.17,,,,,,
,,2002 - 2003,70,634,9.06,,,,,,
,,2003 - 2004,44,215,4.89,,,,,,
,,2004 - 2005,,,,38,167,4.39,,,
,,2005 - 2006,,,,91,473,5.2,,,
,,2008 - 2009,,,,48,252,5.25,,,
,,2009 - 2010,,,,42,498,11.86,,,
,,2011 - 2012,,,,42,360,8.57,,,
,,2013 - 2014,,,,49,419,8.55,,,
,,2014 - 2015,,,,9,14,1.56,,,
,,2016 - 2017,,,,8,115,14.38,,,
,,2017 - 2018,,,,20,258,12.9,,,
,,2018 - 2019,,,,27,268,9.93,,,
,,2019 - 2020,,,,26,236,9.08,,,
,,2020 - 2021,,,,17,170,10,,,
,,2021 - 2022,,,,15,30,2,,,
,,2022 - 2023,,,,13,28,2.15,,,
,8. Mamit,2003 - 2004,66,121,1.83,,,,,,
,,2004 - 2005,,,,20,136,6.8,,,
,,2005 - 2006,,,,17,157,9.24,,,
,,2007 - 2008,,,,63,82,1.3,,,
,,2008 - 2009,,,,14,33,2.36,,,
,,2011 - 2012,,,,33,57,1.73,,,
,,2012 - 2013,,,,29,58,2,,,
,,2013 - 2014,,,,33,60,1.82,,,
,,2014 - 2015,,,,37,68,1.84,,,
,,2015 - 2016,,,,42,76,1.81,,,
,,2016 - 2017,,,,32,66,2.06,,,
,,2017 - 2018,,,,35,48,1.37,,,
,,2018 - 2019,,,,30,41,1.37,,,
,,2020 - 2021,,,,250,530,2.12,,,
,,2021 - 2022,,,,17,51,3,,,
,9. Saiha,2005 - 2006,,,,85,223,2.62,,,
,10. Saitual,2020 - 2021,,,,4,6,1.5,,,
,,2021 - 2022,,,,4,6,1.5,,,
,,2022 - 2023,,,,15,22,1.47,,,
9. Nagaland,1. Chumoukedima,2022 - 2023,,,,59,"1,325.00",22.46,,,
,2. Dimapur,2007 - 2008,,,,80,"1,840.00",23,,,
,,2008 - 2009,,,,150,"3,450.00",23,,,
,,2009 - 2010,,,,150,"1,730.00",11.53,,,
,,2010 - 2011,,,,90,"2,120.00",23.56,,,
,,2011 - 2012,,,,100,"2,330.00",23.3,,,
,,2012 - 2013,,,,120,"2,430.00",20.25,,,
,,2013 - 2014,,,,120,"2,430.00",20.25,,,
,,2014 - 2015,,,,140,"2,830.00",20.21,,,
,,2015 - 2016,,,,150,"2,830.00",18.87,,,
,,2016 - 2017,,,,160,"3,240.00",20.25,,,
,,2017 - 2018,,,,170,"3,450.00",20.29,,,
,,2018 - 2019,,,,180,"3,660.00",20.33,,,
,,2019 - 2020,,,,189,"3,842.00",20.33,,,
,,2020 - 2021,,,,199,"4,031.00",20.26,,,
,,2021 - 2022,,,,175,"1,750.00",10,,,
,,2022 - 2023,,,,52,"1,167.00",22.44,,,
,3. Kiphire,2008 - 2009,,,,100,"2,300.00",23,,,
,,2009 - 2010,,,,180,"2,050.00",11.39,,,
,,2010 - 2011,,,,100,"2,350.00",23.5,,,
,,2011 - 2012,,,,100,"2,350.00",23.5,,,
,,2012 - 2013,,,,120,"2,400.00",20,,,
,,2013 - 2014,,,,130,"2,630.00",20.23,,,
,,2014 - 2015,,,,140,"2,830.00",20.21,,,
,,2015 - 2016,,,,150,"3,030.00",20.2,,,
,,2016 - 2017,,,,160,"3,240.00",20.25,,,
,,2017 - 2018,,,,170,"3,450.00",20.29,,,
,,2018 - 2019,,,,180,"3,650.00",20.28,,,
,,2019 - 2020,,,,189,"3,832.00",20.28,,,
,,2020 - 2021,,,,199,"4,021.00",20.21,,,
,,2021 - 2022,,,,150,"2,100.00",14,,,
,,2022 - 2023,,,,133,"3,033.00",22.8,,,
,4. Kohima,2007 - 2008,,,,80,"1,910.00",23.88,,,
,,2008 - 2009,,,,150,"3,450.00",23,,,
,,2009 - 2010,,,,240,"2,740.00",11.42,,,
,,2010 - 2011,,,,140,"3,300.00",23.57,,,
,,2011 - 2012,,,,140,"3,300.00",23.57,,,
,,2012 - 2013,,,,160,"3,240.00",20.25,,,
,,2013 - 2014,,,,160,"3,240.00",20.25,,,
,,2014 - 2015,,,,170,"3,440.00",20.24,,,
,,2015 - 2016,,,,180,"3,650.00",20.28,,,
,,2016 - 2017,,,,190,"3,850.00",20.26,,,
,,2017 - 2018,,,,200,"4,050.00",20.25,,,
,,2018 - 2019,,,,210,"4,250.00",20.24,,,
,,2019 - 2020,,,,220,"4,461.00",20.28,,,
,,2020 - 2021,,,,231,"4,680.00",20.26,,,
,,2021 - 2022,,,,220,"4,400.00",20,,,
,,2022 - 2023,,,,137,"3,046.00",22.23,,,
,5. Longleng,2008 - 2009,,,,60,"1,380.00",23,,,
,,2009 - 2010,,,,160,"1,830.00",11.44,,,
,,2010 - 2011,,,,80,"1,900.00",23.75,,,
,,2011 - 2012,,,,90,"2,100.00",23.33,,,
,,2012 - 2013,,,,110,"2,200.00",20,,,
,,2013 - 2014,,,,110,"2,200.00",20,,,
,,2014 - 2015,,,,110,"2,200.00",20,,,
,,2015 - 2016,,,,120,"2,430.00",20.25,,,
,,2016 - 2017,,,,130,"2,640.00",20.31,,,
,,2017 - 2018,,,,150,"3,040.00",20.27,,,
,,2018 - 2019,,,,170,"3,440.00",20.24,,,
,,2019 - 2020,,,,179,"3,611.00",20.17,,,
,,2020 - 2021,,,,188,"3,789.00",20.15,,,
,,2021 - 2022,,,,250,"2,630.00",10.52,,,
,,2022 - 2023,,,,221,"4,801.00",21.72,,,
,6. Mokokchung,2007 - 2008,,,,100,"2,310.00",23.1,,,
,,2008 - 2009,,,,510,"11,750.00",23.04,,,
,,2009 - 2010,,,,660,"5,590.00",8.47,,,
,,2010 - 2011,,,,560,"13,150.00",23.48,,,
,,2011 - 2012,,,,580,"13,700.00",23.62,,,
,,2012 - 2013,,,,610,"12,390.00",20.31,,,
,,2013 - 2014,,,,640,"12,940.00",20.22,,,
,,2014 - 2015,,,,660,"13,360.00",20.24,,,
,,2015 - 2016,,,,670,"13,560.00",20.24,,,
,,2016 - 2017,,,,680,"13,750.00",20.22,,,
,,2017 - 2018,,,,690,"13,970.00",20.25,,,
,,2018 - 2019,,,,700,"14,170.00",20.24,,,
,,2019 - 2020,,,,734,"14,875.00",20.27,,,
,,2020 - 2021,,,,771,"15,607.00",20.24,,,
,,2021 - 2022,,,,230,"5,000.00",21.74,,,
,,2022 - 2023,,,,306,"7,073.00",23.11,,,
,7. Mon,2007 - 2008,,,,70,"1,620.00",23.14,,,
,,2008 - 2009,,,,100,"2,300.00",23,,,
,,2009 - 2010,,,,200,"2,240.00",11.2,,,
,,2010 - 2011,,,,120,"2,810.00",23.42,,,
,,2011 - 2012,,,,120,"2,810.00",23.42,,,
,,2012 - 2013,,,,140,"2,830.00",20.21,,,
,,2013 - 2014,,,,140,"2,830.00",20.21,,,
,,2014 - 2015,,,,140,"2,830.00",20.21,,,
,,2015 - 2016,,,,150,"3,120.00",20.8,,,
,,2016 - 2017,,,,160,"3,240.00",20.25,,,
,,2017 - 2018,,,,170,"3,440.00",20.24,,,
,,2018 - 2019,,,,180,"3,640.00",20.22,,,
,,2019 - 2020,,,,189,"3,821.00",20.22,,,
,,2020 - 2021,,,,199,"4,009.00",20.15,,,
,,2021 - 2022,,,,360,"3,850.00",10.69,,,
,,2022 - 2023,,,,318,"6,836.00",21.5,,,
,8. Noklak,2021 - 2022,,,,290,"3,698.00",12.75,,,
,,2022 - 2023,,,,256,"5,744.00",22.44,,,
,9. Nuiland,2022 - 2023,,,,64,"1,437.00",22.45,,,
,10. Peren,2008 - 2009,,,,120,"2,760.00",23,,,
,,2009 - 2010,,,,160,"1,830.00",11.44,,,
,,2010 - 2011,,,,90,"2,110.00",23.44,,,
,,2011 - 2012,,,,100,"2,330.00",23.3,,,
,,2012 - 2013,,,,130,"2,610.00",20.08,,,
,,2013 - 2014,,,,130,"2,610.00",20.08,,,
,,2014 - 2015,,,,130,"2,610.00",20.08,,,
,,2015 - 2016,,,,140,"2,830.00",20.21,,,
,,2016 - 2017,,,,150,"3,040.00",20.27,,,
,,2017 - 2018,,,,160,"3,240.00",20.25,,,
,,2018 - 2019,,,,170,"3,450.00",20.29,,,
,,2019 - 2020,,,,178,"3,622.00",20.35,,,
,,2020 - 2021,,,,187,"3,799.00",20.32,,,
,,2021 - 2022,,,,469,"8,678.00",18.5,,,
,,2022 - 2023,,,,314,"7,441.00",23.7,,,
,11. Phek,2007 - 2008,,,,60,"1,380.00",23,,,
,,2008 - 2009,,,,80,"1,860.00",23.25,,,
,,2009 - 2010,,,,200,"2,280.00",11.4,,,
,,2010 - 2011,,,,120,"2,820.00",23.5,,,
,,2011 - 2012,,,,120,"2,820.00",23.5,,,
,,2012 - 2013,,,,140,"2,830.00",20.21,,,
,,2013 - 2014,,,,150,"3,040.00",20.27,,,
,,2014 - 2015,,,,160,"3,240.00",20.25,,,
,,2015 - 2016,,,,160,"3,240.00",20.25,,,
,,2016 - 2017,,,,170,"3,440.00",20.24,,,
,,2017 - 2018,,,,180,"3,650.00",20.28,,,
,,2018 - 2019,,,,190,"3,860.00",20.32,,,
,,2019 - 2020,,,,200,"4,052.00",20.26,,,
,,2020 - 2021,,,,210,"4,251.00",20.24,,,
,,2021 - 2022,,,,172,"1,969.00",11.45,,,
,,2022 - 2023,,,,151,"3,355.00",22.22,,,
,12. Shamator,2022 - 2023,,,,167,"3,693.00",22.11,,,
,13. Tseminyu,2022 - 2023,,,,64,"1,422.00",22.22,,,
,14. Tuensang,2007 - 2008,,,,60,"1,380.00",23,,,
,,2008 - 2009,,,,120,"2,750.00",22.92,,,
,,2009 - 2010,,,,270,"3,080.00",11.41,,,
,,2010 - 2011,,,,170,"3,990.00",23.47,,,
,,2011 - 2012,,,,170,"3,990.00",23.47,,,
,,2012 - 2013,,,,180,"3,650.00",20.28,,,
,,2013 - 2014,,,,210,"4,250.00",20.24,,,
,,2014 - 2015,,,,210,"4,250.00",20.24,,,
,,2015 - 2016,,,,220,"4,510.00",20.5,,,
,,2016 - 2017,,,,230,"4,650.00",20.22,,,
,,2017 - 2018,,,,240,"4,870.00",20.29,,,
,,2018 - 2019,,,,250,"5,060.00",20.24,,,
,,2019 - 2020,,,,262,"5,312.00",20.27,,,
,,2020 - 2021,,,,275,"5,573.00",20.27,,,
,,2021 - 2022,,,,550,"6,069.00",11.03,,,
,,2022 - 2023,,,,285,"6,287.00",22.06,,,
,15. Wokha,2007 - 2008,,,,70,"1,600.00",22.86,,,
,,2008 - 2009,,,,100,"2,300.00",23,,,
,,2009 - 2010,,,,120,"1,390.00",11.58,,,
,,2010 - 2011,,,,60,"1,410.00",23.5,,,
,,2011 - 2012,,,,70,"1,650.00",23.57,,,
,,2012 - 2013,,,,120,"2,420.00",20.17,,,
,,2013 - 2014,,,,140,"2,830.00",20.21,,,
,,2014 - 2015,,,,150,"3,030.00",20.2,,,
,,2015 - 2016,,,,160,"3,210.00",20.06,,,
,,2016 - 2017,,,,170,"3,440.00",20.24,,,
,,2017 - 2018,,,,180,"3,640.00",20.22,,,
,,2018 - 2019,,,,190,"3,850.00",20.26,,,
,,2019 - 2020,,,,199,"4,041.00",20.31,,,
,,2020 - 2021,,,,209,"4,240.00",20.29,,,
,,2021 - 2022,,,,130,"1,105.00",8.5,,,
,,2022 - 2023,,,,115,"2,547.00",22.15,,,
,16. Zunheboto,2007 - 2008,,,,80,"1,820.00",22.75,,,
,,2008 - 2009,,,,110,"2,580.00",23.45,,,
,,2009 - 2010,,,,200,"2,290.00",11.45,,,
,,2010 - 2011,,,,120,"2,830.00",23.58,,,
,,2011 - 2012,,,,120,"2,830.00",23.58,,,
,,2012 - 2013,,,,140,"2,810.00",20.07,,,
,,2013 - 2014,,,,150,"3,040.00",20.27,,,
,,2014 - 2015,,,,160,"3,240.00",20.25,,,
,,2015 - 2016,,,,170,"3,470.00",20.41,,,
,,2016 - 2017,,,,180,"3,640.00",20.22,,,
,,2017 - 2018,,,,190,"3,850.00",20.26,,,
,,2018 - 2019,,,,200,"4,050.00",20.25,,,
,,2019 - 2020,,,,211,"4,251.00",20.15,,,
,,2020 - 2021,,,,222,"4,460.00",20.09,,,
,,2021 - 2022,,,,150,"1,680.00",11.2,,,
,,2022 - 2023,,,,128,"2,828.00",22.09,,,
10. Puducherry,1. Mahe,2000 - 2001,17,136,8,,,,,,
,,2001 - 2002,18,153,8.5,,,,,,
,,2002 - 2003,16,130,8.13,,,,,,
,,2003 - 2004,15,150,10,,,,,,
,,2006 - 2007,,,,16,208,13,,,
,,2007 - 2008,,,,10,128,12.8,,,
,,2008 - 2009,,,,6,60,10,,,
,,2009 - 2010,,,,6,57,9.5,2,18,9
,,2010 - 2011,,,,5,64,12.8,,,
,,2011 - 2012,,,,4,50,12.5,,,
,,2015 - 2016,,,,,,,7,280,40
,,2016 - 2017,,,,5,175,35,,,
,,2017 - 2018,,,,5,210,42,,,
,,2018 - 2019,,,,5,200,40,,,
,,2019 - 2020,,,,5,175,35,,,
,,2020 - 2021,,,,5,200,40,,,
,,2021 - 2022,,,,5,150,30,,,
,,2022 - 2023,,,,4,120,30,,,
,2. Pondicherry,2000 - 2001,325,"9,549.00",29.38,,,,,,
,,2001 - 2002,446,"15,387.00",34.5,,,,,,
,,2002 - 2003,421,"13,367.00",31.75,,,,,,
,,2003 - 2004,552,"16,566.00",30.01,,,,,,
,,2006 - 2007,,,,341,"13,933.00",40.86,,,
,,2007 - 2008,,,,323,"13,243.00",41,6,245,40.83
,,2008 - 2009,,,,294,"8,820.00",30,1,29,29
,,2009 - 2010,,,,236,"6,712.00",28.44,1,26,26
,,2010 - 2011,,,,251,"4,719.00",18.8,3,57,19
,,2011 - 2012,,,,241,"6,014.00",24.95,1,24,24
,,2012 - 2013,,,,181,"4,319.00",23.86,7,120,17.14
,,2013 - 2014,,,,166,"4,980.00",30,17,424,24.94
,,2014 - 2015,,,,188,"4,782.00",25.44,17,432,25.41
,,2015 - 2016,,,,,,,202,"4,108.00",20.34
,,2016 - 2017,,,,152,"3,040.00",20,11,173,15.73
,,2017 - 2018,,,,178,"3,560.00",20,4,80,20
,,2018 - 2019,,,,177,"4,337.00",24.5,6,147,24.5
,,2019 - 2020,,,,165,"4,043.00",24.5,8,196,24.5
,,2020 - 2021,,,,155,"6,200.00",40,,,
,,2021 - 2022,,,,142,"3,422.00",24.1,4,96,24
,,2022 - 2023,,,,141,"3,398.00",24.1,3,72,24
11. Tamil Nadu,1. Ariyalur,2008 - 2009,258,,0,,,,,,
,,2009 - 2010,257,"8,858.00",34.47,,,,,,
,,2011 - 2012,273,"10,282.00",37.66,,,,,,
,,2013 - 2014,189,"5,655.00",29.92,,,,,,
,,2014 - 2015,303,"9,829.00",32.44,,,,,,
,,2015 - 2016,283,"9,162.00",32.37,,,,,,
,,2016 - 2017,188,"7,714.00",41.03,,,,,,
,,2017 - 2018,222,"6,965.00",31.37,,,,,,
,,2018 - 2019,222,"7,704.00",34.7,,,,,,
,,2019 - 2020,227,"8,592.00",37.85,,,,,,
,,2020 - 2021,319,"13,554.00",42.49,,,,,,
,,2021 - 2022,390,"12,542.00",32.16,,,,,,
,,2022 - 2023,223,"8,412.00",37.72,,,,,,
,2. Chengalpattu,2020 - 2021,24,"1,030.00",42.92,,,,,,
,,2021 - 2022,6,179,29.83,,,,,,
,,2022 - 2023,5,188,37.6,,,,,,
,3. Coimbatore,2000 - 2001,"1,236.00","43,860.00",35.49,,,,,,
,,2002 - 2003,518,"15,576.00",30.07,,,,,,
,,2003 - 2004,459,"14,224.00",30.99,,,,,,
,,2004 - 2005,579,"23,894.00",41.27,,,,,,
,,2005 - 2006,848,"32,403.00",38.21,,,,,,
,,2006 - 2007,"1,173.00","47,343.00",40.36,,,,,,
,,2007 - 2008,"1,123.00","47,394.00",42.2,,,,,,
,,2008 - 2009,797,"43,875.00",55.05,,,,,,
,,2009 - 2010,600,"21,061.00",35.1,,,,,,
,,2011 - 2012,652,"24,556.00",37.66,,,,,,
,,2013 - 2014,340,"10,174.00",29.92,,,,,,
,,2014 - 2015,449,"14,565.00",32.44,,,,,,
,,2015 - 2016,550,"18,296.00",33.27,,,,,,
,,2016 - 2017,566,"10,113.00",17.87,,,,,,
,,2017 - 2018,501,"21,325.00",42.56,,,,,,
,,2018 - 2019,491,"20,494.00",41.74,,,,,,
,,2019 - 2020,698,"27,677.00",39.65,,,,,,
,,2020 - 2021,"1,086.00","46,179.00",42.52,,,,,,
,,2021 - 2022,743,"23,898.00",32.16,,,,,,
,,2022 - 2023,644,"34,025.00",52.83,,,,,,
,4. Cuddalore,2000 - 2001,"3,706.00","1,34,961.00",36.42,,,,,,
,,2002 - 2003,"4,923.00","2,05,397.00",41.72,,,,,,
,,2003 - 2004,"5,168.00","1,77,563.00",34.36,,,,,,
,,2004 - 2005,"6,967.00","2,77,465.00",39.83,,,,,,
,,2005 - 2006,"5,745.00","1,65,559.00",28.82,,,,,,
,,2006 - 2007,"4,226.00","2,98,001.00",70.52,,,,,,
,,2007 - 2008,"4,057.00","1,26,522.00",31.19,,,,,,
,,2008 - 2009,"3,315.00","1,54,648.00",46.65,,,,,,
,,2009 - 2010,"3,080.00","1,02,733.00",33.35,,,,,,
,,2011 - 2012,"3,404.00","1,01,408.00",29.79,,,,,,
,,2013 - 2014,"3,252.00","1,24,710.00",38.35,,,,,,
,,2014 - 2015,"4,530.00","76,983.00",16.99,,,,,,
,,2015 - 2016,"6,072.00","56,136.00",9.25,,,,,,
,,2016 - 2017,"5,503.00","1,56,900.00",28.51,,,,,,
,,2017 - 2018,"6,276.00","1,93,237.00",30.79,,,,,,
,,2018 - 2019,"6,112.00","1,99,936.00",32.71,,,,,,
,,2019 - 2020,"5,724.00","1,96,596.00",34.35,,,,,,
,,2020 - 2021,"5,607.00","1,78,566.00",31.85,,,,,,
,,2021 - 2022,"5,714.00","1,54,183.00",26.98,,,,,,
,,2022 - 2023,"4,727.00","1,20,589.00",25.51,,,,,,
,5. Dharmapuri,2000 - 2001,"18,014.00","6,55,121.00",36.37,,,,,,
,,2002 - 2003,"14,712.00","3,05,811.00",20.79,,,,,,
,,2003 - 2004,"16,274.00","3,30,953.00",20.34,,,,,,
,,2004 - 2005,"22,029.00","10,95,224.00",49.72,,,,,,
,,2005 - 2006,"24,067.00","9,62,448.00",39.99,,,,,,
,,2006 - 2007,"29,091.00","9,32,824.00",32.07,,,,,,
,,2007 - 2008,"26,585.00","12,15,185.00",45.71,,,,,,
,,2008 - 2009,"23,189.00","6,68,794.00",28.84,,,,,,
,,2009 - 2010,"22,779.00","6,61,723.00",29.05,,,,,,
,,2011 - 2012,"18,049.00","5,88,414.00",32.6,,,,,,
,,2013 - 2014,"17,635.00","4,09,393.00",23.21,,,,,,
,,2014 - 2015,"13,119.00","3,81,274.00",29.06,,,,,,
,,2015 - 2016,"13,528.00","3,59,358.00",26.56,,,,,,
,,2016 - 2017,"12,260.00","3,67,535.00",29.98,,,,,,
,,2017 - 2018,"12,421.00","3,77,406.00",30.38,,,,,,
,,2018 - 2019,"7,269.00","1,69,798.00",23.36,,,,,,
,,2019 - 2020,"13,786.00","4,43,652.00",32.18,,,,,,
,,2020 - 2021,"13,150.00","5,64,806.00",42.95,,,,,,
,,2021 - 2022,"12,693.00","4,03,609.00",31.8,,,,,,
,,2022 - 2023,"13,860.00","4,05,052.00",29.22,,,,,,
,6. Dindigul,2000 - 2001,683,"24,237.00",35.49,,,,,,
,,2002 - 2003,205,"6,476.00",31.59,,,,,,
,,2003 - 2004,175,"5,896.00",33.69,,,,,,
,,2004 - 2005,154,"6,355.00",41.27,,,,,,
,,2005 - 2006,237,"9,056.00",38.21,,,,,,
,,2006 - 2007,255,"10,292.00",40.36,,,,,,
,,2007 - 2008,291,"12,281.00",42.2,,,,,,
,,2008 - 2009,253,"9,227.00",36.47,,,,,,
,,2009 - 2010,386,"13,305.00",34.47,,,,,,
,,2011 - 2012,640,"24,103.00",37.66,,,,,,
,,2013 - 2014,152,"4,548.00",29.92,,,,,,
,,2014 - 2015,101,"3,276.00",32.44,,,,,,
,,2015 - 2016,146,"4,458.00",30.53,,,,,,
,,2016 - 2017,88,"2,127.00",24.17,,,,,,
,,2017 - 2018,91,"3,114.00",34.22,,,,,,
,,2018 - 2019,89,"3,108.00",34.92,,,,,,
,,2019 - 2020,114,"4,308.00",37.79,,,,,,
,,2020 - 2021,157,"6,666.00",42.46,,,,,,
,,2021 - 2022,343,"11,009.00",32.1,,,,,,
,,2022 - 2023,574,"21,556.00",37.55,,,,,,
,7. Erode,2000 - 2001,"6,624.00","2,87,482.00",43.4,,,,,,
,,2002 - 2003,"3,745.00","76,725.00",20.49,,,,,,
,,2003 - 2004,"3,834.00","1,36,176.00",35.52,,,,,,
,,2004 - 2005,"4,039.00","1,53,407.00",37.98,,,,,,
,,2005 - 2006,"6,364.00","3,16,161.00",49.68,,,,,,
,,2006 - 2007,"8,958.00","4,68,565.00",52.31,,,,,,
,,2007 - 2008,"8,345.00","3,75,618.00",45.01,,,,,,
,,2008 - 2009,"8,395.00","4,13,762.00",49.29,,,,,,
,,2009 - 2010,"8,670.00","3,08,313.00",35.56,,,,,,
,,2011 - 2012,"5,892.00","2,37,160.00",40.25,,,,,,
,,2013 - 2014,"4,794.00","1,80,844.00",37.72,,,,,,
,,2014 - 2015,"6,581.00","2,13,471.00",32.44,,,,,,
,,2015 - 2016,"8,138.00","2,22,029.00",27.28,,,,,,
,,2016 - 2017,"7,008.00","2,16,377.00",30.88,,,,,,
,,2017 - 2018,"5,513.00","2,63,113.00",47.73,,,,,,
,,2018 - 2019,"7,088.00","2,24,166.00",31.63,,,,,,
,,2019 - 2020,"9,297.00","3,28,846.00",35.37,,,,,,
,,2020 - 2021,"10,184.00","3,78,646.00",37.18,,,,,,
,,2021 - 2022,"8,626.00","2,37,681.00",27.55,,,,,,
,,2022 - 2023,"6,021.00","1,90,318.00",31.61,,,,,,
,8. Kallakurichi,2020 - 2021,"12,913.00","5,49,436.00",42.55,,,,,,
,,2021 - 2022,"15,759.00","6,05,742.00",38.44,,,,,,
,,2022 - 2023,"15,604.00","7,79,691.00",49.97,,,,,,
,9. Kanchipuram,2000 - 2001,13,461,35.46,,,,,,
,,2002 - 2003,7,221,31.57,,,,,,
,,2003 - 2004,4,135,33.75,,,,,,
,,2004 - 2005,3,124,41.33,,,,,,
,,2006 - 2007,5,202,40.4,,,,,,
,,2007 - 2008,6,253,42.17,,,,,,
,,2008 - 2009,8,292,36.5,,,,,,
