State,District,Year,Sweet potato,,,,,,,,
,,2021 - 2022,100,962,9.62,,,,,,
,,2022 - 2023,54,"1,724.00",31.93,,,,,,
,33. Vellore,2002 - 2003,4,55,13.75,,,,,,
,,2003 - 2004,9,130,14.44,,,,,,
,,2004 - 2005,8,121,15.13,,,,,,
,,2005 - 2006,7,146,20.86,,,,,,
,,2006 - 2007,10,168,16.8,,,,,,
,,2007 - 2008,5,68,13.6,,,,,,
,,2008 - 2009,22,292,13.27,,,,,,
,,2009 - 2010,17,249,14.65,,,,,,
,,2011 - 2012,7,143,20.43,,,,,,
,,2013 - 2014,3,63,21,,,,,,
,,2015 - 2016,14,228,16.29,,,,,,
,,2016 - 2017,5,47,9.4,,,,,,
,,2019 - 2020,10,246,24.6,,,,,,
,,2021 - 2022,1,16,16,,,,,,
,,2022 - 2023,4,0,0,,,,,,
,34. Villupuram,2000 - 2001,287,"2,922.00",10.18,,,,,,
,,2002 - 2003,138,"2,094.00",15.17,,,,,,
,,2003 - 2004,139,"1,956.00",14.07,,,,,,
,,2004 - 2005,309,"3,278.00",10.61,,,,,,
,,2005 - 2006,103,924,8.97,,,,,,
,,2006 - 2007,166,"2,344.00",14.12,,,,,,
,,2007 - 2008,263,"3,051.00",11.6,,,,,,
,,2008 - 2009,172,"1,294.00",7.52,,,,,,
,,2009 - 2010,94,"1,045.00",11.12,,,,,,
,,2011 - 2012,30,377,12.57,,,,,,
,,2013 - 2014,42,887,21.12,,,,,,
,,2014 - 2015,75,"1,217.00",16.23,,,,,,
,,2015 - 2016,29,401,13.83,,,,,,
,,2016 - 2017,33,314,9.52,,,,,,
,,2017 - 2018,38,310,8.16,,,,,,
,,2018 - 2019,19,183,9.63,,,,,,
,,2019 - 2020,46,760,16.52,,,,,,
,,2020 - 2021,6,117,19.5,,,,,,
,,2021 - 2022,5,73,14.6,,,,,,
,,2022 - 2023,2,117,58.5,,,,,,
,35. Virudhunagar,2000 - 2001,7,85,12.14,,,,,,
,,2002 - 2003,70,956,13.66,,,,,,
,,2003 - 2004,64,927,14.48,,,,,,
,,2004 - 2005,46,696,15.13,,,,,,
,,2005 - 2006,49,"1,022.00",20.86,,,,,,
,,2006 - 2007,62,"1,042.00",16.81,,,,,,
,,2007 - 2008,26,353,13.58,,,,,,
,,2008 - 2009,29,385,13.28,,,,,,
,,2009 - 2010,41,600,14.63,,,,,,
,,2011 - 2012,22,638,29,,,,,,
,,2013 - 2014,4,84,21,,,,,,
,,2014 - 2015,6,105,17.5,,,,,,
,,2015 - 2016,13,212,16.31,,,,,,
,,2016 - 2017,2,19,9.5,,,,,,
,,2017 - 2018,7,184,26.29,,,,,,
,,2018 - 2019,14,377,26.93,,,,,,
,,2019 - 2020,34,829,24.38,,,,,,
,,2020 - 2021,23,518,22.52,,,,,,
,,2021 - 2022,13,311,23.92,,,,,,
,,2022 - 2023,6,518,86.33,,,,,,
19. Telangana,1. Adilabad,2000 - 2001,6,81,13.5,,,,,,
,,2001 - 2002,6,80,13.33,,,,,,
,,2002 - 2003,5,54,10.8,,,,,,
,,2003 - 2004,6,43,7.17,,,,,,
,,2004 - 2005,6,42,7,,,,,,
,,2005 - 2006,8,67,8.38,,,,,,
,,2006 - 2007,14,126,9,,,,,,
,,2014 - 2015,,,,15,116,7.73,,,
,,2015 - 2016,,,,13,184,14.15,,,
,2. Bhadradri,2021 - 2022,,,,2,23,11.5,,,
,,2022 - 2023,,,,19,138,7.26,,,
,3. Jagitial,2021 - 2022,,,,,,,1,12,12
,4. Jangoan,2016 - 2017,,,,133,"1,013.00",7.62,,,
,,2017 - 2018,,,,157,"1,217.00",7.75,,,
,,2018 - 2019,,,,20,127,6.35,,,
,,2019 - 2020,,,,57,894,15.68,,,
,,2020 - 2021,,,,67,597,8.91,5,45,9
,,2021 - 2022,,,,75,889,11.85,1,12,12
,,2022 - 2023,,,,70,409,5.84,,,
,5. Kamareddy,2021 - 2022,,,,2,23,11.5,,,
,,2022 - 2023,,,,3,22,7.33,,,
,6. Karimnagar,2000 - 2001,76,"1,027.00",13.51,,,,,,
,,2001 - 2002,25,332,13.28,,,,,,
,,2002 - 2003,24,259,10.79,,,,,,
,,2004 - 2005,6,42,7,,,,,,
,,2005 - 2006,6,51,8.5,,,,,,
,,2006 - 2007,22,198,9,,,,,,
,,2014 - 2015,,,,,,,2,16,8
,,2018 - 2019,,,,6,38,6.33,,,
,,2019 - 2020,,,,6,94,15.67,,,
,,2020 - 2021,,,,9,80,8.89,1,9,9
,,2021 - 2022,,,,5,58,11.6,3,35,11.67
,,2022 - 2023,,,,1,7,7,3,22,7.33
,7. Khammam,2000 - 2001,9,122,13.56,,,,,,
,,2001 - 2002,6,80,13.33,,,,,,
,,2002 - 2003,3,32,10.67,,,,,,
,,2003 - 2004,23,166,7.22,,,,,,
,,2004 - 2005,24,169,7.04,,,,,,
,,2005 - 2006,15,126,8.4,,,,,,
,,2006 - 2007,23,206,8.96,,,,,,
,,2008 - 2009,31,31,1,,,,,,
,,2009 - 2010,7,14,2,,,,,,
,,2011 - 2012,12,154,12.83,,,,,,
,,2014 - 2015,,,,16,124,7.75,,,
,,2015 - 2016,,,,7,99,14.14,,,
,,2022 - 2023,,,,1,7,7,2,15,7.5
,8. Komaram bheem asifabad,2019 - 2020,,,,9,141,15.67,1,16,16
,,2021 - 2022,,,,1,12,12,,,
,,2022 - 2023,,,,6,44,7.33,,,
,9. Mahabubabad,2016 - 2017,,,,7,53,7.57,,,
,,2020 - 2021,,,,5,45,9,,,
,,2021 - 2022,,,,9,104,11.56,12,138,11.5
,,2022 - 2023,,,,1,7,7,3,22,7.33
,10. Mahbubnagar,2000 - 2001,12,162,13.5,,,,,,
,,2004 - 2005,16,113,7.06,,,,,,
,,2005 - 2006,10,84,8.4,,,,,,
,,2021 - 2022,,,,1,12,12,,,
,,2022 - 2023,,,,,,,1,7,7
,11. Mancherial,2016 - 2017,,,,2,17,8.5,,,
,,2017 - 2018,,,,13,101,7.77,,,
,,2018 - 2019,,,,14,89,6.36,,,
,,2019 - 2020,,,,6,94,15.67,,,
,,2020 - 2021,,,,6,53,8.83,,,
,,2021 - 2022,,,,5,58,11.6,,,
,,2022 - 2023,,,,5,36,7.2,,,
,12. Medak,2021 - 2022,,,,1,12,12,,,
,,2022 - 2023,,,,5,36,7.2,,,
,13. Medchal,2020 - 2021,,,,,,,1,9,9
,14. Nagarkurnool,2019 - 2020,,,,2,31,15.5,,,
,,2020 - 2021,,,,1,9,9,,,
,,2021 - 2022,,,,,,,1,12,12
,15. Nalgonda,2021 - 2022,,,,2,23,11.5,,,
,16. Nizamabad,2020 - 2021,,,,1,9,9,,,
,,2021 - 2022,,,,1,12,12,,,
,17. Rangareddi,2000 - 2001,54,730,13.52,,,,,,
,,2001 - 2002,82,"1,088.00",13.27,,,,,,
,,2002 - 2003,26,281,10.81,,,,,,
,,2003 - 2004,59,427,7.24,,,,,,
,,2004 - 2005,35,246,7.03,,,,,,
,,2005 - 2006,39,328,8.41,,,,,,
,,2006 - 2007,28,252,9,,,,,,
,,2008 - 2009,12,12,1,,,,,,
,,2009 - 2010,8,16,2,,,,,,
,,2010 - 2011,23,295,12.83,,,,,,
,,2011 - 2012,7,90,12.86,,,,,,
,,2013 - 2014,19,166,8.74,,,,,,
,,2014 - 2015,,,,23,178,7.74,5,39,7.8
,,2015 - 2016,,,,25,169,6.76,,,
,,2016 - 2017,,,,15,236,15.73,,,
,,2017 - 2018,,,,10,77,7.7,,,
,,2018 - 2019,,,,23,146,6.35,6,38,6.33
,,2019 - 2020,,,,8,125,15.63,,,
,,2020 - 2021,,,,12,107,8.92,7,62,8.86
,,2021 - 2022,,,,19,194,10.21,14,143,10.21
,,2022 - 2023,,,,15,169,11.27,6,67,11.17
,18. Sangareddy,2017 - 2018,,,,1,8,8,,,
,,2019 - 2020,,,,1,16,16,,,
,19. Suryapet,2016 - 2017,,,,42,353,8.4,,,
,,2017 - 2018,,,,11,85,7.73,,,
,,2018 - 2019,,,,12,76,6.33,,,
,,2019 - 2020,,,,19,298,15.68,8,125,15.63
,,2020 - 2021,,,,1,9,9,,,
,,2021 - 2022,,,,233,"2,687.00",11.53,3,35,11.67
,,2022 - 2023,,,,21,191,9.1,4,36,9
,20. Vikarabad,2020 - 2021,,,,10,89,8.9,,,
,,2021 - 2022,,,,1,13,13,11,143,13
,,2022 - 2023,,,,1,7,7,6,44,7.33
,21. Warangal,2003 - 2004,72,520,7.22,,,,,,
,,2004 - 2005,46,324,7.04,,,,,,
,,2005 - 2006,55,463,8.42,,,,,,
,,2006 - 2007,62,557,8.98,,,,,,
,,2008 - 2009,43,43,1,,,,,,
,,2009 - 2010,106,214,2.02,,,,,,
,,2010 - 2011,59,593,10.05,,,,,,
,,2011 - 2012,60,686,11.43,,,,,,
,,2013 - 2014,90,576,6.4,,,,,,
,,2014 - 2015,,,,42,326,7.76,,,
,,2015 - 2016,,,,42,778,18.52,,,
,,2017 - 2018,,,,7,54,7.71,,,
,,2018 - 2019,,,,8,51,6.38,,,
,22. Yadadri,2019 - 2020,,,,,,,6,94,15.67
,,2020 - 2021,,,,,,,7,62,8.86
,,2021 - 2022,,,,3,35,11.67,,,
20. Uttar Pradesh,1. Agra,2004 - 2005,96,"1,116.00",11.63,,,,,,
,,2005 - 2006,115,"1,504.00",13.08,,,,,,
,,2006 - 2007,,,,,,,61,833,13.66
,,2007 - 2008,,,,,,,155,"2,087.00",13.46
,,2008 - 2009,,,,,,,105,"1,290.00",12.29
,,2009 - 2010,,,,,,,106,"1,442.00",13.6
,,2010 - 2011,,,,,,,181,"2,229.00",12.31
,,2011 - 2012,,,,,,,122,"1,585.00",12.99
,,2012 - 2013,,,,,,,143,"1,852.00",12.95
,,2013 - 2014,,,,,,,274,"3,621.00",13.22
,,2014 - 2015,,,,,,,131,"1,623.00",12.39
,,2015 - 2016,,,,,,,145,"1,748.00",12.06
,,2016 - 2017,,,,,,,163,"1,820.00",11.17
,,2017 - 2018,,,,,,,188,"2,099.00",11.16
,,2018 - 2019,,,,,,,197,"2,263.00",11.49
,,2019 - 2020,,,,,,,165,"1,938.00",11.75
,,2020 - 2021,,,,,,,172,"2,148.00",12.49
,,2021 - 2022,,,,,,,177,"2,044.00",11.55
,,2022 - 2023,,,,,,,180,"2,084.00",11.58
,2. Aligarh,2004 - 2005,345,"4,009.00",11.62,,,,,,
,,2005 - 2006,341,"4,460.00",13.08,,,,,,
,,2006 - 2007,,,,,,,145,"1,979.00",13.65
,,2007 - 2008,,,,,,,319,"4,295.00",13.46
,,2008 - 2009,,,,,,,357,"4,385.00",12.28
,,2009 - 2010,,,,,,,293,"3,985.00",13.6
,,2010 - 2011,,,,,,,247,"3,042.00",12.32
,,2011 - 2012,,,,,,,207,"2,689.00",12.99
,,2012 - 2013,,,,,,,269,"3,483.00",12.95
,,2013 - 2014,,,,,,,115,"1,520.00",13.22
,,2014 - 2015,,,,,,,229,"2,836.00",12.38
,,2015 - 2016,,,,,,,108,"1,302.00",12.06
,,2016 - 2017,,,,,,,186,"2,077.00",11.17
,,2017 - 2018,,,,,,,237,"2,646.00",11.16
,,2018 - 2019,,,,,,,127,"1,459.00",11.49
,,2019 - 2020,,,,,,,177,"2,079.00",11.75
,,2020 - 2021,,,,,,,167,"2,085.00",12.49
,,2021 - 2022,,,,,,,179,"2,067.00",11.55
,,2022 - 2023,,,,,,,177,"2,049.00",11.58
,3. Allahabad,2004 - 2005,139,"1,616.00",11.63,,,,,,
,,2005 - 2006,60,785,13.08,,,,,,
,,2006 - 2007,,,,,,,30,409,13.63
,,2007 - 2008,,,,,,,54,727,13.46
,,2008 - 2009,,,,,,,40,491,12.28
,,2009 - 2010,,,,,,,72,979,13.6
,,2010 - 2011,,,,,,,51,628,12.31
,,2011 - 2012,,,,,,,49,636,12.98
,,2012 - 2013,,,,,,,49,634,12.94
,,2013 - 2014,,,,,,,56,740,13.21
,,2014 - 2015,,,,,,,93,"1,152.00",12.39
,,2015 - 2016,,,,,,,62,748,12.06
,,2016 - 2017,,,,,,,62,692,11.16
,,2017 - 2018,,,,,,,67,748,11.16
,,2018 - 2019,,,,,,,62,712,11.48
,,2019 - 2020,,,,,,,62,728,11.74
,,2020 - 2021,,,,,,,62,774,12.48
,,2021 - 2022,,,,,,,63,728,11.56
,,2022 - 2023,,,,,,,63,729,11.57
,4. Ambedkar nagar,2004 - 2005,11,128,11.64,,,,,,
,,2005 - 2006,10,131,13.1,,,,,,
,,2006 - 2007,,,,,,,40,546,13.65
,,2007 - 2008,,,,,,,8,108,13.5
,,2008 - 2009,,,,,,,5,61,12.2
,,2009 - 2010,,,,,,,15,204,13.6
,,2010 - 2011,,,,,,,16,197,12.31
,,2011 - 2012,,,,,,,17,221,13
,,2012 - 2013,,,,,,,8,104,13
,,2013 - 2014,,,,,,,2,26,13
,,2014 - 2015,,,,,,,9,111,12.33
,,2015 - 2016,,,,,,,12,145,12.08
,,2016 - 2017,,,,,,,28,313,11.18
,,2017 - 2018,,,,,,,12,134,11.17
,,2018 - 2019,,,,,,,11,126,11.45
,,2019 - 2020,,,,,,,14,165,11.79
,,2020 - 2021,,,,,,,15,187,12.47
,,2021 - 2022,,,,,,,16,185,11.56
,,2022 - 2023,,,,,,,9,104,11.56
,5. Amethi,2012 - 2013,,,,,,,768,"9,943.00",12.95
,,2013 - 2014,,,,,,,154,"2,035.00",13.21
,,2014 - 2015,,,,,,,863,"10,690.00",12.39
,,2015 - 2016,,,,,,,892,"10,752.00",12.05
,,2016 - 2017,,,,,,,515,"5,750.00",11.17
,,2017 - 2018,,,,,,,886,"9,893.00",11.17
,,2018 - 2019,,,,,,,879,"10,096.00",11.49
,,2019 - 2020,,,,,,,936,"10,991.00",11.74
,,2020 - 2021,,,,,,,900,"11,239.00",12.49
,,2021 - 2022,,,,,,,833,"9,620.00",11.55
,,2022 - 2023,,,,,,,919,"10,638.00",11.58
,6. Amroha,2004 - 2005,158,"1,836.00",11.62,,,,,,
,,2005 - 2006,85,"1,112.00",13.08,,,,,,
,,2006 - 2007,,,,,,,96,"1,310.00",13.65
,,2007 - 2008,,,,,,,58,781,13.47
,,2008 - 2009,,,,,,,107,"1,314.00",12.28
,,2009 - 2010,,,,,,,103,"1,401.00",13.6
,,2010 - 2011,,,,,,,47,579,12.32
,,2011 - 2012,,,,,,,74,962,13
,,2012 - 2013,,,,,,,77,997,12.95
,,2013 - 2014,,,,,,,86,"1,137.00",13.22
,,2014 - 2015,,,,,,,41,508,12.39
,,2015 - 2016,,,,,,,36,434,12.06
,,2016 - 2017,,,,,,,63,704,11.17
,,2017 - 2018,,,,,,,64,715,11.17
,,2018 - 2019,,,,,,,62,773,12.47
,,2019 - 2020,,,,,,,53,622,11.74
,,2020 - 2021,,,,,,,56,699,12.48
,,2021 - 2022,,,,,,,60,693,11.55
,,2022 - 2023,,,,,,,59,683,11.58
,7. Auraiya,2004 - 2005,77,895,11.62,,,,,,
,,2005 - 2006,85,"1,112.00",13.08,,,,,,
,,2006 - 2007,,,,,,,85,"1,160.00",13.65
,,2007 - 2008,,,,,,,44,592,13.45
,,2008 - 2009,,,,,,,33,405,12.27
,,2009 - 2010,,,,,,,78,"1,061.00",13.6
,,2010 - 2011,,,,,,,47,579,12.32
,,2011 - 2012,,,,,,,73,949,13
,,2012 - 2013,,,,,,,59,764,12.95
,,2013 - 2014,,,,,,,83,"1,097.00",13.22
,,2014 - 2015,,,,,,,39,483,12.38
,,2015 - 2016,,,,,,,8,96,12
,,2016 - 2017,,,,,,,52,581,11.17
,,2017 - 2018,,,,,,,59,659,11.17
,,2018 - 2019,,,,,,,59,678,11.49
,,2019 - 2020,,,,,,,66,775,11.74
,,2020 - 2021,,,,,,,49,612,12.49
,,2021 - 2022,,,,,,,63,728,11.56
,,2022 - 2023,,,,,,,59,683,11.58
,8. Azamgarh,2004 - 2005,84,976,11.62,,,,,,
,,2005 - 2006,14,183,13.07,,,,,,
,,2006 - 2007,,,,,,,61,833,13.66
,,2007 - 2008,,,,,,,12,162,13.5
,,2008 - 2009,,,,,,,18,221,12.28
,,2009 - 2010,,,,,,,21,286,13.62
,,2011 - 2012,,,,,,,22,286,13
,,2012 - 2013,,,,,,,4,52,13
,,2013 - 2014,,,,,,,2,27,13.5
,,2014 - 2015,,,,,,,3,37,12.33
,,2016 - 2017,,,,,,,7,78,11.14
,,2017 - 2018,,,,,,,3,33,11
,,2018 - 2019,,,,,,,3,34,11.33
,,2019 - 2020,,,,,,,3,35,11.67
,,2020 - 2021,,,,,,,5,62,12.4
,,2021 - 2022,,,,,,,6,69,11.5
,,2022 - 2023,,,,,,,4,46,11.5
,9. Baghpat,2004 - 2005,6,70,11.67,,,,,,
,,2005 - 2006,6,78,13,,,,,,
,,2006 - 2007,,,,,,,15,205,13.67
,,2007 - 2008,,,,,,,4,54,13.5
,,2008 - 2009,,,,,,,9,110,12.22
,,2009 - 2010,,,,,,,8,109,13.63
,,2011 - 2012,,,,,,,7,91,13
,,2012 - 2013,,,,,,,1,13,13
,,2013 - 2014,,,,,,,5,66,13.2
,,2016 - 2017,,,,,,,3,34,11.33
,10. Bahraich,2004 - 2005,78,907,11.63,,,,,,
,,2005 - 2006,63,824,13.08,,,,,,
,,2006 - 2007,,,,,,,122,"1,665.00",13.65
,,2007 - 2008,,,,,,,61,821,13.46
,,2008 - 2009,,,,,,,57,700,12.28
,,2009 - 2010,,,,,,,64,870,13.59
,,2010 - 2011,,,,,,,73,899,12.32
,,2011 - 2012,,,,,,,75,975,13
,,2012 - 2013,,,,,,,89,"1,152.00",12.94
,,2013 - 2014,,,,,,,104,"1,374.00",13.21
,,2014 - 2015,,,,,,,87,"1,078.00",12.39
,,2015 - 2016,,,,,,,58,699,12.05
,,2016 - 2017,,,,,,,73,815,11.16
,,2017 - 2018,,,,,,,82,916,11.17
,,2018 - 2019,,,,,,,86,988,11.49
,,2019 - 2020,,,,,,,77,904,11.74
,,2020 - 2021,,,,,,,75,937,12.49
,,2021 - 2022,,,,,,,79,912,11.54
,,2022 - 2023,,,,,,,78,903,11.58
,11. Ballia,2004 - 2005,38,442,11.63,,,,,,
,,2005 - 2006,19,248,13.05,,,,,,
,,2006 - 2007,,,,,,,4,54,13.5
,,2007 - 2008,,,,,,,17,229,13.47
,,2008 - 2009,,,,,,,10,122,12.2
,,2009 - 2010,,,,,,,18,245,13.61
,,2010 - 2011,,,,,,,14,172,12.29
,,2011 - 2012,,,,,,,13,169,13
,,2012 - 2013,,,,,,,14,181,12.93
,,2016 - 2017,,,,,,,5,56,11.2
,,2017 - 2018,,,,,,,8,89,11.13
,,2018 - 2019,,,,,,,3,34,11.33
,,2019 - 2020,,,,,,,3,35,11.67
,,2020 - 2021,,,,,,,4,50,12.5
,,2021 - 2022,,,,,,,8,92,11.5
,,2022 - 2023,,,,,,,7,81,11.57
,12. Balrampur,2004 - 2005,18,209,11.61,,,,,,
,,2005 - 2006,13,170,13.08,,,,,,
,,2006 - 2007,,,,,,,2,27,13.5
,,2007 - 2008,,,,,,,15,202,13.47
,,2008 - 2009,,,,,,,18,221,12.28
,,2009 - 2010,,,,,,,13,177,13.62
,,2011 - 2012,,,,,,,10,130,13
,,2016 - 2017,,,,,,,2,22,11
,13. Banda,2004 - 2005,27,314,11.63,,,,,,
,,2005 - 2006,31,406,13.1,,,,,,
,,2006 - 2007,,,,,,,9,123,13.67
,,2007 - 2008,,,,,,,59,795,13.47
,,2008 - 2009,,,,,,,32,393,12.28
,,2009 - 2010,,,,,,,32,435,13.59
,,2010 - 2011,,,,,,,27,333,12.33
,,2011 - 2012,,,,,,,32,416,13
,,2012 - 2013,,,,,,,44,570,12.95
,,2014 - 2015,,,,,,,15,186,12.4
,,2015 - 2016,,,,,,,19,229,12.05
,,2016 - 2017,,,,,,,22,246,11.18
,,2017 - 2018,,,,,,,19,212,11.16
,,2018 - 2019,,,,,,,14,161,11.5
,,2019 - 2020,,,,,,,18,211,11.72
,,2020 - 2021,,,,,,,18,225,12.5
,,2021 - 2022,,,,,,,29,335,11.55
,,2022 - 2023,,,,,,,30,347,11.57
,14. Barabanki,2004 - 2005,375,"4,358.00",11.62,,,,,,
,,2005 - 2006,346,"4,526.00",13.08,,,,,,
,,2006 - 2007,,,,,,,350,"4,777.00",13.65
,,2007 - 2008,,,,,,,183,"2,464.00",13.46
,,2008 - 2009,,,,,,,174,"2,137.00",12.28
,,2009 - 2010,,,,,,,148,"2,013.00",13.6
,,2010 - 2011,,,,,,,240,"2,956.00",12.32
,,2011 - 2012,,,,,,,219,"2,846.00",13
,,2012 - 2013,,,,,,,159,"2,059.00",12.95
,,2013 - 2014,,,,,,,97,"1,282.00",13.22
,,2014 - 2015,,,,,,,95,"1,177.00",12.39
,,2015 - 2016,,,,,,,38,458,12.05
,,2016 - 2017,,,,,,,110,"1,228.00",11.16
,,2017 - 2018,,,,,,,100,"1,117.00",11.17
,,2018 - 2019,,,,,,,88,"1,011.00",11.49
,,2019 - 2020,,,,,,,85,998,11.74
,,2020 - 2021,,,,,,,84,"1,049.00",12.49
,,2021 - 2022,,,,,,,64,739,11.55
,,2022 - 2023,,,,,,,92,"1,065.00",11.58
,15. Bareilly,2004 - 2005,308,"3,580.00",11.62,,,,,,
,,2005 - 2006,540,"7,064.00",13.08,,,,,,
,,2006 - 2007,,,,,,,357,"4,873.00",13.65
,,2007 - 2008,,,,,,,231,"3,110.00",13.46
,,2008 - 2009,,,,,,,206,"2,530.00",12.28
,,2009 - 2010,,,,,,,92,"1,251.00",13.6
,,2010 - 2011,,,,,,,285,"3,510.00",12.32
,,2011 - 2012,,,,,,,234,"3,040.00",12.99
,,2012 - 2013,,,,,,,99,"1,282.00",12.95
,,2013 - 2014,,,,,,,19,251,13.21
,,2014 - 2015,,,,,,,146,"1,809.00",12.39
,,2015 - 2016,,,,,,,93,"1,121.00",12.05
,,2016 - 2017,,,,,,,118,"1,318.00",11.17
,,2017 - 2018,,,,,,,116,"1,295.00",11.16
,,2018 - 2019,,,,,,,120,"1,378.00",11.48
,,2019 - 2020,,,,,,,108,"1,268.00",11.74
,,2020 - 2021,,,,,,,111,"1,386.00",12.49
,,2021 - 2022,,,,,,,101,"1,166.00",11.54
,,2022 - 2023,,,,,,,111,"1,285.00",11.58
,16. Basti,2004 - 2005,8,93,11.63,,,,,,
,,2005 - 2006,8,165,20.63,,,,,,
,,2006 - 2007,,,,,,,12,164,13.67
,,2007 - 2008,,,,,,,8,108,13.5
,,2008 - 2009,,,,,,,6,74,12.33
,,2009 - 2010,,,,,,,38,517,13.61
,,2010 - 2011,,,,,,,14,172,12.29
,,2011 - 2012,,,,,,,16,208,13
,,2012 - 2013,,,,,,,6,78,13
,,2013 - 2014,,,,,,,6,79,13.17
,,2014 - 2015,,,,,,,11,136,12.36
,,2016 - 2017,,,,,,,8,89,11.13
,,2017 - 2018,,,,,,,6,67,11.17
,,2018 - 2019,,,,,,,6,69,11.5
,,2019 - 2020,,,,,,,6,71,11.83
,,2020 - 2021,,,,,,,6,75,12.5
,,2021 - 2022,,,,,,,8,92,11.5
,,2022 - 2023,,,,,,,6,69,11.5
,17. Bijnor,2004 - 2005,90,"1,046.00",11.62,,,,,,
,,2005 - 2006,32,419,13.09,,,,,,
,,2006 - 2007,,,,,,,56,764,13.64
,,2007 - 2008,,,,,,,10,135,13.5
,,2008 - 2009,,,,,,,11,135,12.27
,,2009 - 2010,,,,,,,1,14,14
,,2010 - 2011,,,,,,,3,37,12.33
,,2012 - 2013,,,,,,,1,13,13
,,2014 - 2015,,,,,,,12,149,12.42
,,2015 - 2016,,,,,,,2,24,12
,,2016 - 2017,,,,,,,3,34,11.33
,,2017 - 2018,,,,,,,4,45,11.25
,,2018 - 2019,,,,,,,3,34,11.33
,,2019 - 2020,,,,,,,2,24,12
,,2020 - 2021,,,,,,,2,25,12.5
,,2021 - 2022,,,,,,,3,35,11.67
,,2022 - 2023,,,,,,,2,23,11.5
,18. Budaun,2004 - 2005,"1,506.00","17,503.00",11.62,,,,,,
,,2005 - 2006,"1,554.00","20,327.00",13.08,,,,,,
,,2006 - 2007,,,,,,,"1,417.00","19,341.00",13.65
,,2007 - 2008,,,,,,,"1,323.00","17,812.00",13.46
,,2008 - 2009,,,,,,,"1,041.00","12,786.00",12.28
,,2009 - 2010,,,,,,,"1,368.00","18,605.00",13.6
,,2010 - 2011,,,,,,,"1,341.00","16,514.00",12.31
,,2011 - 2012,,,,,,,"1,298.00","16,866.00",12.99
,,2012 - 2013,,,,,,,"1,274.00","16,494.00",12.95
,,2013 - 2014,,,,,,,"1,252.00","16,545.00",13.21
,,2014 - 2015,,,,,,,"1,295.00","16,041.00",12.39
,,2015 - 2016,,,,,,,283,"3,411.00",12.05
,,2016 - 2017,,,,,,,"1,167.00","13,030.00",11.17
,,2017 - 2018,,,,,,,"1,054.00","11,769.00",11.17
,,2018 - 2019,,,,,,,"1,010.00","11,600.00",11.49
,,2019 - 2020,,,,,,,"1,010.00","11,860.00",11.74
,,2020 - 2021,,,,,,,967,"12,076.00",12.49
,,2021 - 2022,,,,,,,"1,042.00","12,034.00",11.55
,,2022 - 2023,,,,,,,"1,017.00","11,773.00",11.58
,19. Bulandshahr,2004 - 2005,106,"1,232.00",11.62,,,,,,
,,2005 - 2006,87,"1,138.00",13.08,,,,,,
,,2006 - 2007,,,,,,,69,942,13.65
,,2007 - 2008,,,,,,,113,"1,521.00",13.46
,,2008 - 2009,,,,,,,124,"1,523.00",12.28
,,2009 - 2010,,,,,,,100,"1,360.00",13.6
,,2010 - 2011,,,,,,,75,924,12.32
,,2011 - 2012,,,,,,,96,"1,247.00",12.99
,,2012 - 2013,,,,,,,60,777,12.95
,,2013 - 2014,,,,,,,91,"1,203.00",13.22
,,2014 - 2015,,,,,,,84,"1,041.00",12.39
,,2015 - 2016,,,,,,,97,"1,169.00",12.05
,,2016 - 2017,,,,,,,86,960,11.16
,,2017 - 2018,,,,,,,78,871,11.17
,,2018 - 2019,,,,,,,81,930,11.48
,,2019 - 2020,,,,,,,64,752,11.75
,,2020 - 2021,,,,,,,81,"1,012.00",12.49
,,2021 - 2022,,,,,,,78,901,11.55
,,2022 - 2023,,,,,,,58,671,11.57
,20. Chandauli,2004 - 2005,6,70,11.67,,,,,,
,,2005 - 2006,2,26,13,,,,,,
,,2006 - 2007,,,,,,,6,82,13.67
,,2007 - 2008,,,,,,,2,27,13.5
,,2008 - 2009,,,,,,,4,49,12.25
,,2009 - 2010,,,,,,,5,68,13.6
,,2010 - 2011,,,,,,,4,49,12.25
,,2011 - 2012,,,,,,,4,52,13
,,2013 - 2014,,,,,,,2,26,13
,,2015 - 2016,,,,,,,2,24,12
,,2016 - 2017,,,,,,,2,22,11
,,2017 - 2018,,,,,,,2,22,11
,,2018 - 2019,,,,,,,2,23,11.5
,,2019 - 2020,,,,,,,2,23,11.5
,,2020 - 2021,,,,,,,2,25,12.5
,,2022 - 2023,,,,,,,2,23,11.5
,21. Chitrakoot,2004 - 2005,25,290,11.6,,,,,,
,,2005 - 2006,21,275,13.1,,,,,,
,,2006 - 2007,,,,,,,17,232,13.65
,,2007 - 2008,,,,,,,29,390,13.45
,,2008 - 2009,,,,,,,21,258,12.29
,,2009 - 2010,,,,,,,35,476,13.6
,,2010 - 2011,,,,,,,25,308,12.32
,,2011 - 2012,,,,,,,25,324,12.96
,,2012 - 2013,,,,,,,47,608,12.94
,,2013 - 2014,,,,,,,4,53,13.25
,,2014 - 2015,,,,,,,27,334,12.37
,,2015 - 2016,,,,,,,64,772,12.06
,,2016 - 2017,,,,,,,33,368,11.15
,,2017 - 2018,,,,,,,29,324,11.17
,,2018 - 2019,,,,,,,26,299,11.5
,,2019 - 2020,,,,,,,36,423,11.75
