state,district,year,cowpea_kharif_yield_tonne_per_hectare
,,2016 - 2017,1.12
,,2017 - 2018,0.98
,,2018 - 2019,0.98
,,2019 - 2020,1.01
,,2020 - 2021,1.01
,,2021 - 2022,1.01
,,2022 - 2023,1.01
Nagaland,Chumoukedima,2022 - 2023,1.42
,Dimapur,2013 - 2014,1.45
,,2014 - 2015,1.48
,,2015 - 2016,1.5
,,2016 - 2017,1.43
,,2017 - 2018,1.48
,,2018 - 2019,1.48
,,2019 - 2020,1.5
,,2020 - 2021,1.5
,,2021 - 2022,1.29
,,2022 - 2023,1.42
,Kiphire,2021 - 2022,1.2
,,2022 - 2023,1.38
,Kohima,2021 - 2022,1.32
,,2022 - 2023,1.5
,Mokokchung,2021 - 2022,1.44
,,2022 - 2023,1.46
,Mon,2013 - 2014,1.44
,,2014 - 2015,1.44
,,2015 - 2016,1.47
,,2016 - 2017,1.47
,,2017 - 2018,1.44
,,2018 - 2019,1.44
,,2019 - 2020,1.48
,,2020 - 2021,1.48
,,2021 - 2022,1.25
,,2022 - 2023,1.42
