state,district,year,sugarcane_whole_year_yield_tonne_per_hectare
,,2009 - 2010,33.25
,,2010 - 2011,27.57
,,2011 - 2012,31.92
,,2012 - 2013,27.8
,,2013 - 2014,28.7
,,2014 - 2015,29.67
,,2015 - 2016,30.76
,,2016 - 2017,33.6
,,2017 - 2018,32.94
,,2018 - 2019,31.51
,,2019 - 2020,32.84
,,2020 - 2021,35.85
,,2021 - 2022,38.97
,,2022 - 2023,44.55
,Kamrup,2000 - 2001,36.9
,,2001 - 2002,43.38
,,2002 - 2003,43.43
,,2003 - 2004,41.26
,,2004 - 2005,40.31
,,2005 - 2006,48.43
,,2006 - 2007,48.69
,,2007 - 2008,34.55
,,2008 - 2009,36.5
,,2009 - 2010,35.07
,,2010 - 2011,38.48
,,2011 - 2012,39.55
,,2012 - 2013,39.82
,,2013 - 2014,40.46
,,2014 - 2015,40.51
,,2015 - 2016,31.94
,,2016 - 2017,27.92
,,2017 - 2018,32.44
,,2018 - 2019,28.4
,,2019 - 2020,29.72
,,2020 - 2021,30.43
,,2021 - 2022,57.36
,,2022 - 2023,79.98
,Kamrup metro,2005 - 2006,55.03
,,2006 - 2007,53.73
,,2007 - 2008,38.08
,,2008 - 2009,38.38
,,2009 - 2010,39.11
,,2010 - 2011,36.2
,,2011 - 2012,37.06
,,2012 - 2013,35.61
,,2013 - 2014,36.97
,,2014 - 2015,36.76
,,2015 - 2016,35.25
,,2016 - 2017,38.46
,,2017 - 2018,37.41
,,2018 - 2019,35.06
,,2019 - 2020,41.01
,,2020 - 2021,35.84
,,2021 - 2022,38.97
,,2022 - 2023,44.56
