state,district,year,sugarcane_whole_year_yield_tonne_per_hectare
,Karbi anglong,2000 - 2001,41.25
,,2001 - 2002,44.16
,,2002 - 2003,39.38
,,2003 - 2004,44.15
,,2004 - 2005,41.16
,,2005 - 2006,40.58
,,2006 - 2007,46.62
,,2007 - 2008,47.22
,,2008 - 2009,45.8
,,2009 - 2010,45.88
,,2010 - 2011,36.2
,,2011 - 2012,36.18
,,2012 - 2013,39.04
,,2013 - 2014,39.51
,,2014 - 2015,37.72
,,2015 - 2016,30.89
,,2016 - 2017,40.22
,,2017 - 2018,35.32
,,2018 - 2019,39.39
,,2019 - 2020,44.12
,,2020 - 2021,35.85
,,2021 - 2022,30.67
,,2022 - 2023,44.61
,Karimganj,2000 - 2001,35.74
,,2001 - 2002,44.07
,,2002 - 2003,48.21
,,2003 - 2004,37.18
,,2004 - 2005,45.54
,,2005 - 2006,33.43
,,2006 - 2007,32.6
,,2007 - 2008,23.41
,,2008 - 2009,26.19
,,2009 - 2010,38.99
,,2010 - 2011,28.72
,,2011 - 2012,34.87
,,2012 - 2013,36.42
,,2013 - 2014,35.67
,,2014 - 2015,28.97
,,2015 - 2016,37.05
,,2016 - 2017,36.9
,,2017 - 2018,36.3
,,2018 - 2019,36.21
,,2019 - 2020,35.28
,,2020 - 2021,36.31
,,2021 - 2022,34.63
,,2022 - 2023,34.1
,Kokrajhar,2000 - 2001,36.88
,,2001 - 2002,37.24
,,2002 - 2003,36.41
,,2003 - 2004,38.6
,,2004 - 2005,36.92
,,2005 - 2006,37.19
,,2006 - 2007,39.64
,,2007 - 2008,38.08
,,2008 - 2009,38.38
,,2009 - 2010,39.11
,,2010 - 2011,36.2
,,2011 - 2012,37.05
,,2012 - 2013,35.61
,,2013 - 2014,36.97
,,2014 - 2015,36.76
,,2015 - 2016,35.25
,,2016 - 2017,38.47
,,2017 - 2018,37.38
,,2018 - 2019,35.06
,,2019 - 2020,41.01
,,2020 - 2021,35.84
,,2021 - 2022,38.97
,,2022 - 2023,44.57
,Lakhimpur,2000 - 2001,35.1
,,2001 - 2002,38.56
,,2002 - 2003,38.23
,,2003 - 2004,33.51
,,2004 - 2005,37.66
,,2005 - 2006,38.96
,,2006 - 2007,38.15
,,2007 - 2008,33.4
,,2008 - 2009,36.06
,,2009 - 2010,37.33
,,2010 - 2011,45.85
,,2011 - 2012,61.53
,,2012 - 2013,49.68
,,2013 - 2014,46.75
,,2014 - 2015,47.51
,,2015 - 2016,44.13
,,2016 - 2017,45.39
,,2017 - 2018,43.63
,,2018 - 2019,35.06
,,2019 - 2020,41.01
,,2020 - 2021,48.1
,,2021 - 2022,47.4
,,2022 - 2023,49.41
,Majuli,2020 - 2021,30.45
,,2021 - 2022,38.97
,,2022 - 2023,34.78
,Marigaon,2000 - 2001,42.16
,,2001 - 2002,39.93
,,2002 - 2003,41.16
,,2003 - 2004,35.46
,,2004 - 2005,37.72
,,2005 - 2006,38.28
,,2006 - 2007,36.06
,,2007 - 2008,36.87
,,2008 - 2009,39.49
,,2009 - 2010,38.01
,,2010 - 2011,37.23
,,2011 - 2012,39.97
,,2012 - 2013,34.47
,,2013 - 2014,33.3
,,2014 - 2015,39.88
,,2015 - 2016,39.95
,,2016 - 2017,37.64
,,2017 - 2018,31.51
,,2018 - 2019,29.02
,,2019 - 2020,35.88
,,2020 - 2021,37.21
,,2021 - 2022,35.98
,,2022 - 2023,52.08
,Nagaon,2000 - 2001,34.93
,,2001 - 2002,34.31
,,2002 - 2003,33.28
,,2003 - 2004,36.15
,,2004 - 2005,33.0
,,2005 - 2006,33.6
,,2006 - 2007,35.04
,,2007 - 2008,35.18
,,2008 - 2009,36.53
,,2009 - 2010,37.59
,,2010 - 2011,35.54
,,2011 - 2012,36.73
,,2012 - 2013,33.57
,,2013 - 2014,35.79
,,2014 - 2015,33.54
,,2015 - 2016,30.58
,,2016 - 2017,35.78
,,2017 - 2018,37.31
,,2018 - 2019,34.95
,,2019 - 2020,39.6
,,2020 - 2021,36.62
,,2021 - 2022,32.53
,,2022 - 2023,50.92
,Nalbari,2000 - 2001,38.43
,,2001 - 2002,37.23
,,2002 - 2003,37.68
,,2003 - 2004,39.9
,,2004 - 2005,38.35
,,2005 - 2006,39.34
,,2006 - 2007,37.8
,,2007 - 2008,38.08
,,2008 - 2009,39.06
,,2009 - 2010,39.0
,,2010 - 2011,39.09
,,2011 - 2012,34.28
,,2012 - 2013,33.52
,,2013 - 2014,34.03
,,2014 - 2015,33.57
,,2015 - 2016,34.5
,,2016 - 2017,35.38
,,2017 - 2018,33.47
,,2018 - 2019,33.27
,,2019 - 2020,32.91
,,2020 - 2021,34.37
,,2021 - 2022,38.97
,,2022 - 2023,44.56
,Sivasagar,2000 - 2001,36.9
,,2001 - 2002,37.23
,,2002 - 2003,36.42
,,2003 - 2004,38.59
,,2004 - 2005,36.92
,,2005 - 2006,37.19
,,2006 - 2007,39.63
,,2007 - 2008,38.07
,,2008 - 2009,38.39
,,2009 - 2010,39.11
,,2010 - 2011,36.21
,,2011 - 2012,37.05
,,2012 - 2013,35.62
,,2013 - 2014,36.98
,,2014 - 2015,36.76
,,2015 - 2016,35.24
,,2016 - 2017,38.47
,,2017 - 2018,37.4
,,2018 - 2019,35.07
,,2019 - 2020,41.01
,,2020 - 2021,35.85
,,2021 - 2022,38.97
,,2022 - 2023,44.56
,Sonitpur,2000 - 2001,40.13
,,2001 - 2002,37.78
,,2002 - 2003,38.4
,,2003 - 2004,39.12
,,2004 - 2005,36.32
,,2005 - 2006,38.51
,,2006 - 2007,39.09
,,2007 - 2008,35.24
,,2008 - 2009,35.67
,,2009 - 2010,39.03
,,2010 - 2011,39.54
,,2011 - 2012,42.97
,,2012 - 2013,36.43
,,2013 - 2014,38.04
,,2014 - 2015,38.86
,,2015 - 2016,38.15
,,2016 - 2017,38.71
,,2017 - 2018,36.35
,,2018 - 2019,36.5
,,2019 - 2020,45.45
,,2020 - 2021,33.68
,,2021 - 2022,39.5
,,2022 - 2023,30.58
,South salmara mancachar,2020 - 2021,35.86
,,2021 - 2022,38.95
,,2022 - 2023,44.58
,Tinsukia,2000 - 2001,30.78
,,2001 - 2002,37.23
,,2002 - 2003,36.42
,,2003 - 2004,38.59
,,2004 - 2005,36.92
,,2005 - 2006,37.19
,,2006 - 2007,39.63
,,2007 - 2008,38.07
,,2008 - 2009,38.39
,,2009 - 2010,39.11
,,2010 - 2011,36.2
,,2011 - 2012,37.06
,,2012 - 2013,35.61
,,2013 - 2014,36.97
,,2014 - 2015,36.77
,,2015 - 2016,35.25
,,2016 - 2017,38.47
,,2017 - 2018,37.4
,,2018 - 2019,35.06
,,2019 - 2020,41.01
,,2020 - 2021,35.84
,,2021 - 2022,38.97
,,2022 - 2023,44.56
,Udalguri,2005 - 2006,42.08
,,2006 - 2007,33.22
,,2007 - 2008,33.08
,,2008 - 2009,46.27
,,2009 - 2010,32.02
,,2010 - 2011,44.93
,,2011 - 2012,39.02
,,2012 - 2013,45.09
,,2013 - 2014,37.08
,,2014 - 2015,39.91
,,2015 - 2016,37.96
,,2016 - 2017,40.28
,,2017 - 2018,39.9
,,2018 - 2019,35.21
,,2019 - 2020,38.79
,,2020 - 2021,36.59
,,2021 - 2022,37.06
,,2022 - 2023,37.64
,West karbi anglong,2020 - 2021,46.08
,,2021 - 2022,43.13
,,2022 - 2023,50.45
Bihar,Araria,2000 - 2001,38.92
,,2001 - 2002,46.32
,,2002 - 2003,41.19
,,2003 - 2004,39.7
,,2004 - 2005,36.49
,,2010 - 2011,50.18
,Arwal,2003 - 2004,42.15
,,2004 - 2005,35.96
,,2005 - 2006,26.31
,,2007 - 2008,37.08
,,2008 - 2009,35.0
,,2009 - 2010,48.78
,,2010 - 2011,67.13
,,2012 - 2013,60.47
,,2013 - 2014,24.74
,,2014 - 2015,113.29
,,2015 - 2016,110.5
,,2016 - 2017,122.5
,,2017 - 2018,40.71
,,2018 - 2019,94.47
,,2019 - 2020,60.6
,,2020 - 2021,54.79
,Aurangabad,2000 - 2001,45.02
,,2001 - 2002,44.49
,,2002 - 2003,46.15
,,2003 - 2004,42.67
,,2004 - 2005,35.96
,,2005 - 2006,26.3
,,2007 - 2008,36.52
,,2008 - 2009,38.51
,,2009 - 2010,48.6
,,2010 - 2011,67.12
,,2012 - 2013,60.46
,,2013 - 2014,24.73
,,2014 - 2015,112.85
,,2015 - 2016,101.74
,,2016 - 2017,122.5
,,2017 - 2018,40.7
,,2018 - 2019,94.49
,,2019 - 2020,60.67
,,2020 - 2021,54.78
,,2021 - 2022,57.25
,Banka,2000 - 2001,30.16
,,2001 - 2002,48.64
,,2002 - 2003,51.0
,,2003 - 2004,35.91
,,2004 - 2005,41.49
,,2005 - 2006,38.5
,,2007 - 2008,49.74
,,2008 - 2009,38.36
,,2009 - 2010,72.69
,,2010 - 2011,71.54
,,2012 - 2013,57.24
,,2013 - 2014,73.61
,,2014 - 2015,68.55
,,2015 - 2016,56.74
,,2016 - 2017,69.5
,,2017 - 2018,58.78
,,2018 - 2019,88.42
,,2019 - 2020,67.1
,,2020 - 2021,69.97
,,2021 - 2022,42.0
,,2022 - 2023,51.13
,Begusarai,2000 - 2001,40.28
,,2001 - 2002,46.38
,,2002 - 2003,39.54
,,2003 - 2004,43.71
,,2004 - 2005,27.04
,,2005 - 2006,38.22
,,2007 - 2008,0.64
,,2008 - 2009,16.94
,,2009 - 2010,32.09
,,2010 - 2011,81.49
,,2012 - 2013,90.23
,,2013 - 2014,72.39
,,2014 - 2015,60.62
,,2015 - 2016,59.91
,,2016 - 2017,56.9
,,2017 - 2018,64.03
,,2018 - 2019,61.3
,,2019 - 2020,79.04
,,2020 - 2021,64.34
,,2021 - 2022,41.65
,,2022 - 2023,85.35
,Bhagalpur,2000 - 2001,35.21
,,2001 - 2002,46.91
,,2002 - 2003,44.23
,,2003 - 2004,49.93
,,2004 - 2005,36.11
,,2005 - 2006,40.26
,,2007 - 2008,47.9
,,2008 - 2009,36.02
,,2009 - 2010,39.01
,,2010 - 2011,98.58
,,2012 - 2013,68.82
,,2013 - 2014,71.83
,,2014 - 2015,67.32
,,2015 - 2016,56.7
,,2016 - 2017,55.52
,,2017 - 2018,55.1
,,2018 - 2019,56.59
,,2019 - 2020,56.61
,,2020 - 2021,60.35
,,2021 - 2022,41.6
,,2022 - 2023,39.53
,Bhojpur,2000 - 2001,23.08
,,2001 - 2002,39.73
,,2002 - 2003,37.03
,,2003 - 2004,35.97
,,2004 - 2005,41.04
,,2005 - 2006,41.89
,,2007 - 2008,38.29
,,2008 - 2009,46.2
,,2009 - 2010,44.75
,,2010 - 2011,45.93
,,2012 - 2013,39.53
,,2013 - 2014,52.06
,,2014 - 2015,66.64
,,2015 - 2016,47.1
,,2016 - 2017,54.36
,,2017 - 2018,63.81
,,2018 - 2019,59.5
,,2019 - 2020,61.0
,,2021 - 2022,57.5
,,2022 - 2023,69.0
,Buxar,2000 - 2001,23.08
,,2001 - 2002,37.05
,,2002 - 2003,31.94
,,2003 - 2004,34.39
,,2004 - 2005,41.91
,,2005 - 2006,42.11
,,2007 - 2008,51.73
,,2008 - 2009,49.3
,,2009 - 2010,28.71
,,2010 - 2011,24.76
,,2012 - 2013,36.86
,,2013 - 2014,58.96
,,2014 - 2015,66.64
,,2015 - 2016,43.63
,,2016 - 2017,53.67
,,2017 - 2018,64.44
,,2018 - 2019,59.0
,,2019 - 2020,60.59
,,2020 - 2021,54.86
,,2021 - 2022,57.26
,,2022 - 2023,73.66
,Darbhanga,2000 - 2001,46.91
,,2001 - 2002,35.67
,,2002 - 2003,35.35
,,2003 - 2004,44.42
,,2004 - 2005,13.32
,,2005 - 2006,29.22
,,2007 - 2008,19.2
,,2008 - 2009,35.39
,,2009 - 2010,39.05
,,2010 - 2011,43.45
,,2012 - 2013,46.5
,,2013 - 2014,52.6
,,2014 - 2015,41.16
,,2015 - 2016,47.8
,,2016 - 2017,57.58
,,2017 - 2018,59.28
,,2018 - 2019,38.38
,,2019 - 2020,58.67
,,2020 - 2021,19.91
,,2021 - 2022,50.71
,,2022 - 2023,46.32
,Gaya,2000 - 2001,45.02
,,2001 - 2002,44.49
,,2002 - 2003,46.07
,,2003 - 2004,42.01
,,2004 - 2005,35.96
,,2005 - 2006,26.94
,,2007 - 2008,37.0
,,2008 - 2009,35.3
,,2009 - 2010,48.75
,,2010 - 2011,48.65
,,2012 - 2013,60.86
,,2013 - 2014,28.63
,,2014 - 2015,79.15
,,2015 - 2016,109.07
,,2016 - 2017,68.39
,,2017 - 2018,54.75
,,2018 - 2019,68.36
,Gopalganj,2000 - 2001,42.23
,,2001 - 2002,46.43
,,2002 - 2003,33.41
,,2003 - 2004,39.39
,,2004 - 2005,39.71
,,2005 - 2006,48.21
,,2007 - 2008,36.26
,,2008 - 2009,44.15
,,2009 - 2010,46.61
,,2010 - 2011,40.0
,,2012 - 2013,49.46
,,2013 - 2014,54.4
,,2014 - 2015,57.78
,,2015 - 2016,56.84
,,2016 - 2017,53.7
,,2017 - 2018,56.93
,,2018 - 2019,56.97
,,2019 - 2020,66.35
,,2020 - 2021,56.98
,,2021 - 2022,75.13
,,2022 - 2023,63.33
,Jamui,2000 - 2001,46.91
,,2001 - 2002,52.23
,,2002 - 2003,48.09
,,2003 - 2004,46.17
,,2004 - 2005,47.17
,,2005 - 2006,16.54
,,2007 - 2008,14.23
,,2008 - 2009,16.2
,,2009 - 2010,37.53
,,2010 - 2011,67.61
,,2012 - 2013,65.36
,,2013 - 2014,48.66
,,2014 - 2015,57.0
,,2015 - 2016,66.36
,,2016 - 2017,56.66
,,2017 - 2018,53.07
,,2018 - 2019,45.72
,,2019 - 2020,58.68
,,2020 - 2021,61.04
,,2021 - 2022,42.0
,Jehanabad,2000 - 2001,45.01
,,2001 - 2002,44.49
,,2002 - 2003,46.15
,,2003 - 2004,42.52
,,2004 - 2005,35.96
,,2005 - 2006,26.31
,,2007 - 2008,37.08
,,2008 - 2009,35.0
,,2009 - 2010,48.78
,,2010 - 2011,86.74
,,2012 - 2013,60.46
,,2013 - 2014,24.73
,,2014 - 2015,113.28
,,2015 - 2016,110.5
,,2016 - 2017,122.53
,,2017 - 2018,40.69
,,2019 - 2020,60.59
,Kaimur (bhabua),2000 - 2001,23.08
,,2001 - 2002,36.48
,,2002 - 2003,41.1
,,2003 - 2004,35.29
,,2004 - 2005,41.91
,,2005 - 2006,42.11
,,2007 - 2008,27.03
,,2008 - 2009,44.0
,,2009 - 2010,28.18
,,2010 - 2011,24.76
,,2012 - 2013,48.93
,,2013 - 2014,39.15
,,2014 - 2015,66.63
,,2015 - 2016,43.55
,,2016 - 2017,53.68
,,2017 - 2018,64.45
,,2018 - 2019,59.43
,,2019 - 2020,60.58
,,2020 - 2021,54.8
,,2021 - 2022,57.14
,,2022 - 2023,68.96
,Katihar,2000 - 2001,42.14
,,2001 - 2002,46.0
,,2002 - 2003,40.0
,,2003 - 2004,39.7
,,2004 - 2005,36.49
,,2005 - 2006,40.88
,,2007 - 2008,41.54
,,2008 - 2009,45.25
,,2009 - 2010,43.59
,,2010 - 2011,44.84
,,2012 - 2013,56.73
,,2013 - 2014,53.14
,,2014 - 2015,58.61
,,2015 - 2016,51.09
,,2016 - 2017,56.05
,,2018 - 2019,56.69
,Khagaria,2000 - 2001,40.22
,,2001 - 2002,46.33
,,2002 - 2003,39.44
,,2003 - 2004,43.68
,,2004 - 2005,26.62
,,2005 - 2006,39.08
,,2008 - 2009,17.0
,,2009 - 2010,31.0
,,2010 - 2011,84.22
,,2012 - 2013,99.85
,,2013 - 2014,74.3
,,2014 - 2015,55.54
,,2015 - 2016,53.57
,,2019 - 2020,61.09
,,2020 - 2021,60.2
,,2021 - 2022,54.4
,,2022 - 2023,75.0
,Kishanganj,2000 - 2001,29.0
,,2001 - 2002,46.32
,,2007 - 2008,35.64
,,2008 - 2009,44.0
,,2009 - 2010,48.03
,,2010 - 2011,50.19
,,2012 - 2013,64.68
,,2013 - 2014,57.21
,,2014 - 2015,55.54
,,2015 - 2016,53.56
,,2016 - 2017,57.56
,,2017 - 2018,59.52
,,2018 - 2019,56.68
,,2019 - 2020,61.12
,,2020 - 2021,54.56
,,2021 - 2022,54.41
,,2022 - 2023,67.02
,Lakhisarai,2010 - 2011,84.22
,Madhepura,2000 - 2001,40.7
,,2001 - 2002,48.01
,,2002 - 2003,40.55
,,2003 - 2004,39.7
,,2004 - 2005,36.49
,,2005 - 2006,41.59
,,2007 - 2008,35.65
,,2008 - 2009,43.99
,,2009 - 2010,48.03
,,2010 - 2011,50.18
,,2012 - 2013,64.68
,,2013 - 2014,57.22
,,2014 - 2015,60.41
,,2015 - 2016,85.46
,,2016 - 2017,66.68
,,2017 - 2018,61.05
,,2018 - 2019,67.27
,,2019 - 2020,61.05
,,2020 - 2021,29.6
,,2021 - 2022,54.57
,Madhubani,2000 - 2001,38.67
,,2001 - 2002,36.2
,,2002 - 2003,17.81
,,2003 - 2004,18.39
,,2004 - 2005,13.18
,,2005 - 2006,31.39
,,2007 - 2008,33.63
,,2008 - 2009,35.39
,,2009 - 2010,39.05
,,2010 - 2011,54.57
,,2012 - 2013,48.3
,,2013 - 2014,56.77
,,2014 - 2015,35.76
,,2015 - 2016,44.49
,,2016 - 2017,52.91
,,2017 - 2018,57.13
,,2018 - 2019,59.5
,,2019 - 2020,84.44
,,2020 - 2021,43.17
,,2021 - 2022,48.43
,,2022 - 2023,107.04
,Munger,2007 - 2008,14.44
,,2010 - 2011,67.61
,,2012 - 2013,69.13
,,2013 - 2014,48.66
,,2014 - 2015,60.13
,,2015 - 2016,61.54
,,2016 - 2017,57.25
,,2017 - 2018,56.8
,,2018 - 2019,60.98
,,2019 - 2020,80.04
,,2020 - 2021,64.47
,,2021 - 2022,85.6
,,2022 - 2023,84.35
,Muzaffarpur,2000 - 2001,48.77
,,2001 - 2002,44.93
,,2002 - 2003,43.46
,,2003 - 2004,39.96
,,2004 - 2005,38.38
,,2005 - 2006,39.6
,,2007 - 2008,37.98
,,2008 - 2009,17.64
,,2009 - 2010,28.9
,,2010 - 2011,50.56
,,2012 - 2013,77.76
,,2013 - 2014,38.47
,,2014 - 2015,50.4
,,2015 - 2016,34.54
,,2016 - 2017,36.55
,,2017 - 2018,35.32
,,2018 - 2019,33.89
,,2019 - 2020,31.39
,,2020 - 2021,34.12
,,2021 - 2022,35.99
,,2022 - 2023,34.87
,Nalanda,2000 - 2001,32.76
,,2001 - 2002,40.35
,,2002 - 2003,37.56
,,2003 - 2004,34.76
,,2004 - 2005,41.54
,,2005 - 2006,42.04
,,2007 - 2008,42.4
,,2008 - 2009,54.94
,,2009 - 2010,30.66
,,2010 - 2011,24.76
,,2012 - 2013,49.76
,,2013 - 2014,52.82
,,2014 - 2015,65.55
,,2015 - 2016,44.53
,,2016 - 2017,54.23
,,2017 - 2018,63.48
,,2018 - 2019,58.99
,,2020 - 2021,54.7
,,2021 - 2022,54.44
,,2022 - 2023,73.63
,Nawada,2000 - 2001,45.02
,,2001 - 2002,44.52
,,2002 - 2003,46.15
,,2003 - 2004,42.59
,,2004 - 2005,35.95
,,2005 - 2006,27.05
,,2007 - 2008,36.99
,,2008 - 2009,35.0
,,2009 - 2010,48.78
,,2010 - 2011,50.18
,,2012 - 2013,60.46
,,2013 - 2014,24.74
,,2014 - 2015,113.26
,,2015 - 2016,110.48
,,2016 - 2017,97.39
,,2017 - 2018,48.97
,,2018 - 2019,78.3
,,2019 - 2020,60.8
,,2020 - 2021,54.68
,,2021 - 2022,55.95
,Pashchim champaran,2000 - 2001,49.06
,,2001 - 2002,51.21
,,2002 - 2003,48.45
,,2003 - 2004,43.41
,,2004 - 2005,42.47
,,2005 - 2006,42.46
,,2007 - 2008,40.52
,,2008 - 2009,46.22
,,2009 - 2010,31.69
,,2010 - 2011,38.92
,,2012 - 2013,46.33
,,2013 - 2014,48.59
,,2014 - 2015,64.26
,,2015 - 2016,49.41
,,2016 - 2017,52.14
,,2017 - 2018,60.36
,,2018 - 2019,109.61
,,2019 - 2020,61.68
,,2020 - 2021,54.9
,,2021 - 2022,59.15
,,2022 - 2023,66.9
,Patna,2000 - 2001,28.12
,,2001 - 2002,40.13
,,2002 - 2003,37.91
,,2003 - 2004,37.71
,,2004 - 2005,37.96
,,2005 - 2006,41.34
,,2007 - 2008,35.65
,,2008 - 2009,44.0
,,2009 - 2010,43.95
,,2010 - 2011,36.74
,,2012 - 2013,55.14
,,2013 - 2014,56.66
,,2014 - 2015,58.4
,,2015 - 2016,50.78
,,2016 - 2017,56.75
,,2017 - 2018,60.68
,,2018 - 2019,57.15
,,2019 - 2020,61.13
,,2020 - 2021,54.61
,,2021 - 2022,54.42
,,2022 - 2023,73.63
,Purbi champaran,2000 - 2001,33.49
,,2001 - 2002,36.26
,,2002 - 2003,35.62
,,2003 - 2004,44.0
,,2004 - 2005,40.06
,,2005 - 2006,33.08
,,2007 - 2008,36.82
,,2008 - 2009,44.6
,,2009 - 2010,129.23
,,2010 - 2011,40.64
,,2012 - 2013,47.57
,,2013 - 2014,41.9
,,2014 - 2015,50.81
,,2015 - 2016,18.41
,,2016 - 2017,54.48
,,2017 - 2018,43.32
,,2018 - 2019,45.19
,,2019 - 2020,53.07
,,2020 - 2021,44.73
,,2021 - 2022,41.67
,,2022 - 2023,80.95
,Purnia,2000 - 2001,28.85
,,2001 - 2002,46.33
,,2002 - 2003,40.14
,,2005 - 2006,41.0
,,2010 - 2011,43.56
,,2012 - 2013,46.68
,,2013 - 2014,48.0
,,2014 - 2015,62.35
,,2015 - 2016,47.63
,,2016 - 2017,53.69
,,2017 - 2018,59.08
,,2018 - 2019,94.45
,,2019 - 2020,60.5
,,2020 - 2021,55.0
,,2021 - 2022,57.3
,,2022 - 2023,69.0
,Rohtas,2000 - 2001,23.08
,,2001 - 2002,37.41
,,2002 - 2003,31.01
,,2003 - 2004,34.3
,,2004 - 2005,41.93
,,2005 - 2006,42.05
,,2009 - 2010,30.96
,,2010 - 2011,28.47
,,2012 - 2013,42.89
,,2013 - 2014,52.08
,,2014 - 2015,66.05
,,2015 - 2016,43.56
,Saharsa,2000 - 2001,40.5
,,2001 - 2002,46.33
,,2002 - 2003,43.1
,,2003 - 2004,40.79
,,2004 - 2005,48.0
,,2005 - 2006,44.52
,,2007 - 2008,45.59
,,2008 - 2009,43.95
,,2009 - 2010,48.0
,,2010 - 2011,50.25
,,2012 - 2013,54.46
,,2013 - 2014,50.02
,,2014 - 2015,62.35
,,2015 - 2016,54.72
,,2016 - 2017,55.34
,,2017 - 2018,59.32
,,2018 - 2019,89.84
,,2019 - 2020,60.67
,,2020 - 2021,50.17
,,2021 - 2022,56.8
,,2022 - 2023,68.87
,Samastipur,2000 - 2001,38.57
,,2001 - 2002,35.67
,,2002 - 2003,40.19
,,2003 - 2004,34.93
,,2004 - 2005,13.37
,,2005 - 2006,28.97
,,2007 - 2008,16.47
,,2008 - 2009,35.79
,,2009 - 2010,39.05
,,2010 - 2011,48.95
,,2012 - 2013,46.58
,,2013 - 2014,57.07
,,2014 - 2015,36.0
,,2015 - 2016,44.8
,,2016 - 2017,53.17
,,2017 - 2018,59.28
,,2018 - 2019,48.17
,,2019 - 2020,82.42
,,2020 - 2021,48.6
,,2021 - 2022,53.29
,,2022 - 2023,105.37
,Saran,2000 - 2001,27.02
,,2001 - 2002,50.75
,,2002 - 2003,39.72
,,2003 - 2004,40.49
,,2004 - 2005,36.87
,,2005 - 2006,42.28
,,2007 - 2008,34.4
,,2009 - 2010,46.49
,,2010 - 2011,41.69
,,2012 - 2013,48.09
,,2013 - 2014,54.41
,,2014 - 2015,57.43
,,2015 - 2016,51.44
,,2016 - 2017,52.87
,,2017 - 2018,53.13
,,2018 - 2019,68.7
,,2019 - 2020,62.7
,,2020 - 2021,55.73
,,2021 - 2022,66.15
,,2022 - 2023,80.76
,Sheikhpura,2000 - 2001,46.83
,,2001 - 2002,52.23
,,2002 - 2003,40.69
,,2003 - 2004,46.15
,,2004 - 2005,48.0
,,2005 - 2006,13.0
,,2007 - 2008,1.38
,,2008 - 2009,16.17
,,2009 - 2010,40.74
,,2010 - 2011,67.81
,,2012 - 2013,65.78
,,2013 - 2014,48.66
,,2014 - 2015,60.44
,,2015 - 2016,53.57
,,2016 - 2017,55.63
,,2017 - 2018,56.0
,,2018 - 2019,56.75
,,2019 - 2020,61.12
,,2020 - 2021,64.45
,,2021 - 2022,54.4
,,2022 - 2023,74.75
,Sheohar,2000 - 2001,33.64
,,2001 - 2002,47.15
,,2002 - 2003,21.31
,,2003 - 2004,18.11
,,2004 - 2005,34.15
,,2005 - 2006,39.6
,,2007 - 2008,43.1
,,2008 - 2009,57.37
,,2009 - 2010,51.04
,,2010 - 2011,21.22
,,2012 - 2013,116.53
,,2013 - 2014,92.39
,,2014 - 2015,64.57
,,2015 - 2016,102.73
,,2016 - 2017,54.17
,,2017 - 2018,102.28
,,2018 - 2019,99.7
,,2019 - 2020,69.63
,,2020 - 2021,53.67
,,2021 - 2022,53.46
,,2022 - 2023,67.44
,Sitamarhi,2000 - 2001,34.13
,,2001 - 2002,47.26
,,2002 - 2003,31.81
,,2003 - 2004,39.53
,,2004 - 2005,34.71
,,2005 - 2006,53.92
,,2007 - 2008,28.56
,,2008 - 2009,45.56
,,2009 - 2010,33.65
,,2010 - 2011,82.37
,,2012 - 2013,53.62
,,2013 - 2014,48.41
,,2014 - 2015,58.63
,,2015 - 2016,56.57
,,2016 - 2017,58.46
,,2017 - 2018,66.5
,,2018 - 2019,53.21
,,2019 - 2020,53.62
,,2020 - 2021,64.19
,,2021 - 2022,56.78
,,2022 - 2023,68.87
,Siwan,2000 - 2001,35.89
,,2001 - 2002,47.16
,,2002 - 2003,35.34
,,2003 - 2004,38.63
,,2004 - 2005,35.72
,,2005 - 2006,35.87
,,2007 - 2008,32.39
,,2008 - 2009,44.15
,,2009 - 2010,46.54
,,2010 - 2011,46.23
,,2012 - 2013,35.81
,,2013 - 2014,54.42
,,2014 - 2015,55.13
,,2015 - 2016,66.1
,,2016 - 2017,127.99
,,2017 - 2018,61.25
,,2018 - 2019,54.24
,,2019 - 2020,49.11
,,2020 - 2021,39.83
,,2021 - 2022,53.84
,,2022 - 2023,58.72
,Supaul,2010 - 2011,50.18
,,2013 - 2014,48.9
,,2014 - 2015,60.0
,,2015 - 2016,85.1
,,2016 - 2017,62.09
,Vaishali,2000 - 2001,41.27
,,2001 - 2002,47.14
,,2002 - 2003,44.0
,,2003 - 2004,39.96
,,2004 - 2005,37.78
,,2005 - 2006,39.6
,,2007 - 2008,37.98
,,2008 - 2009,45.56
,,2009 - 2010,51.03
,,2010 - 2011,46.79
,,2012 - 2013,77.76
,,2013 - 2014,52.21
,,2014 - 2015,50.4
,,2015 - 2016,45.9
,,2016 - 2017,52.63
,,2017 - 2018,60.67
,,2018 - 2019,63.67
,,2019 - 2020,48.94
,,2020 - 2021,47.67
,,2021 - 2022,46.51
Chhattisgarh,Balod,2011 - 2012,12.0
,,2012 - 2013,2.61
,,2013 - 2014,2.56
,,2014 - 2015,3.25
,,2015 - 2016,2.47
,,2016 - 2017,0.71
,,2017 - 2018,1.3
,,2018 - 2019,2.49
,,2019 - 2020,0.53
,,2020 - 2021,27.43
,,2021 - 2022,16.12
,,2022 - 2023,2.94
,Baloda bazar,2011 - 2012,7.68
,,2012 - 2013,3.35
,,2013 - 2014,3.52
,,2014 - 2015,3.58
,,2015 - 2016,2.75
,,2016 - 2017,2.7
,,2017 - 2018,0.62
,,2018 - 2019,0.19
,,2019 - 2020,0.0
,,2020 - 2021,0.42
,,2021 - 2022,0.0
,,2022 - 2023,1.7
,Balrampur,2011 - 2012,13.12
,,2012 - 2013,3.6
,,2013 - 2014,2.5
