state,district,year,jowar_kharif_yield_tonne_per_hectare
,,2021 - 2022,0.79
,,2022 - 2023,0.74
,Nalgonda,2000 - 2001,0.56
,,2001 - 2002,0.34
,,2002 - 2003,0.25
,,2003 - 2004,0.51
,,2004 - 2005,0.21
,,2005 - 2006,0.45
,,2006 - 2007,0.24
,,2007 - 2008,0.67
,,2008 - 2009,0.68
,,2009 - 2010,0.64
,,2010 - 2011,0.71
,,2011 - 2012,1.18
,,2012 - 2013,0.67
,,2013 - 2014,0.63
,,2014 - 2015,0.33
,,2015 - 2016,0.47
,,2016 - 2017,0.43
,,2017 - 2018,0.94
,,2018 - 2019,0.94
,,2019 - 2020,1.18
,,2020 - 2021,0.81
,,2021 - 2022,0.67
,,2022 - 2023,0.68
,Narayanapet,2018 - 2019,1.05
,,2019 - 2020,1.09
,,2020 - 2021,0.68
,,2021 - 2022,0.91
,,2022 - 2023,1.0
,Nirmal,2016 - 2017,0.98
,,2017 - 2018,1.0
,,2018 - 2019,0.94
,,2019 - 2020,1.18
,,2020 - 2021,0.81
,,2021 - 2022,0.68
,,2022 - 2023,0.69
,Nizamabad,2000 - 2001,1.02
,,2001 - 2002,0.75
,,2002 - 2003,0.77
,,2003 - 2004,0.92
,,2004 - 2005,0.74
,,2005 - 2006,0.63
,,2006 - 2007,1.13
,,2007 - 2008,1.0
,,2008 - 2009,1.07
,,2009 - 2010,0.88
,,2010 - 2011,1.88
,,2011 - 2012,0.91
,,2012 - 2013,1.0
,,2013 - 2014,0.92
,,2014 - 2015,0.58
,,2015 - 2016,0.6
,,2016 - 2017,0.5
,,2017 - 2018,1.0
,,2018 - 2019,
,,2019 - 2020,1.17
,,2020 - 2021,0.83
,,2021 - 2022,0.5
,,2022 - 2023,0.67
,Peddapalli,2019 - 2020,1.18
,,2020 - 2021,0.67
,,2021 - 2022,
,Rajanna,2019 - 2020,1.33
,,2020 - 2021,0.82
,,2021 - 2022,0.6
,,2022 - 2023,1.0
,Rangareddi,2000 - 2001,0.87
,,2001 - 2002,1.03
,,2002 - 2003,1.04
,,2003 - 2004,1.05
,,2004 - 2005,1.44
,,2005 - 2006,1.08
,,2006 - 2007,1.59
,,2007 - 2008,1.38
,,2008 - 2009,1.42
,,2009 - 2010,0.86
,,2010 - 2011,0.75
,,2011 - 2012,0.95
,,2012 - 2013,1.0
,,2013 - 2014,1.13
,,2014 - 2015,1.26
,,2015 - 2016,1.49
,,2016 - 2017,1.32
,,2017 - 2018,1.08
,,2018 - 2019,0.71
,,2019 - 2020,1.5
,,2020 - 2021,0.85
,,2021 - 2022,0.63
,,2022 - 2023,0.56
,Sangareddy,2016 - 2017,0.71
,,2017 - 2018,0.92
,,2018 - 2019,0.68
,,2019 - 2020,0.85
,,2020 - 2021,0.93
,,2021 - 2022,0.38
,,2022 - 2023,0.81
,Siddipet,2016 - 2017,0.71
,,2017 - 2018,0.94
,,2018 - 2019,0.92
,,2019 - 2020,1.18
,,2020 - 2021,0.82
,,2021 - 2022,0.65
,,2022 - 2023,0.67
,Suryapet,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.2
,,2020 - 2021,0.87
,,2021 - 2022,0.75
,,2022 - 2023,0.67
,Vikarabad,2016 - 2017,1.32
,,2017 - 2018,0.78
,,2018 - 2019,1.14
,,2019 - 2020,1.47
,,2020 - 2021,0.71
,,2021 - 2022,1.06
,,2022 - 2023,1.16
,Wanaparthy,2016 - 2017,0.79
,,2017 - 2018,1.09
,,2018 - 2019,1.07
,,2019 - 2020,1.43
,,2020 - 2021,1.23
,,2021 - 2022,0.4
,,2022 - 2023,0.88
,Warangal,2000 - 2001,0.57
,,2001 - 2002,1.01
,,2002 - 2003,0.88
,,2003 - 2004,1.05
,,2004 - 2005,0.69
,,2005 - 2006,0.71
,,2006 - 2007,0.68
,,2007 - 2008,
,,2008 - 2009,0.71
,,2009 - 2010,1.1
,,2010 - 2011,0.81
,,2011 - 2012,0.13
,,2012 - 2013,
,,2013 - 2014,0.73
,,2014 - 2015,0.54
,,2015 - 2016,0.8
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,1.0
,,2019 - 2020,1.21
,,2020 - 2021,0.86
,,2021 - 2022,0.67
,,2022 - 2023,0.5
,Warangal urban,2017 - 2018,1.0
,,2019 - 2020,1.19
,,2020 - 2021,0.83
,,2021 - 2022,0.67
,,2022 - 2023,0.63
,Yadadri,2016 - 2017,0.43
,,2017 - 2018,0.42
,,2018 - 2019,1.2
,,2019 - 2020,1.04
,,2020 - 2021,0.81
,,2021 - 2022,0.23
,,2022 - 2023,0.69
Tripura,Dhalai,2016 - 2017,0.8
,,2017 - 2018,0.81
,,2018 - 2019,0.82
,,2019 - 2020,0.86
,,2020 - 2021,
,Gomati,2016 - 2017,0.79
,,2017 - 2018,0.82
,,2018 - 2019,0.78
,,2019 - 2020,0.81
,,2020 - 2021,
,Khowai,2016 - 2017,0.79
,,2017 - 2018,0.82
,,2018 - 2019,0.81
,,2019 - 2020,0.85
,North tripura,2016 - 2017,0.81
,,2017 - 2018,0.83
,,2018 - 2019,0.76
,,2019 - 2020,0.78
,,2020 - 2021,
,Sepahijala,2016 - 2017,0.77
,,2017 - 2018,0.83
,,2018 - 2019,0.75
,,2019 - 2020,0.78
,South tripura,2016 - 2017,0.81
,,2017 - 2018,0.83
,,2018 - 2019,0.79
,,2019 - 2020,0.86
,Unakoti,2016 - 2017,0.79
,,2017 - 2018,0.8
,,2018 - 2019,0.76
,,2019 - 2020,0.78
,West tripura,2016 - 2017,0.81
,,2017 - 2018,0.83
,,2018 - 2019,0.76
,,2019 - 2020,
Uttar Pradesh,Agra,2000 - 2001,0.82
,,2001 - 2002,0.77
,,2002 - 2003,0.99
,,2003 - 2004,0.89
,,2004 - 2005,0.75
,,2005 - 2006,0.94
,,2006 - 2007,1.14
,,2007 - 2008,0.62
,,2008 - 2009,0.99
,,2009 - 2010,0.95
,,2010 - 2011,0.99
,,2011 - 2012,0.77
,,2012 - 2013,1.09
,,2013 - 2014,0.9
,,2014 - 2015,2.43
,,2015 - 2016,0.75
,,2016 - 2017,1.0
,,2017 - 2018,1.01
,,2018 - 2019,1.05
,,2019 - 2020,1.11
,,2020 - 2021,1.24
,,2021 - 2022,1.08
,,2022 - 2023,1.6
,Aligarh,2000 - 2001,0.82
,,2001 - 2002,0.76
,,2002 - 2003,1.0
,,2003 - 2004,0.91
,,2004 - 2005,0.77
,,2005 - 2006,0.9
,,2006 - 2007,1.15
,,2007 - 2008,0.75
,,2008 - 2009,1.0
,,2009 - 2010,0.5
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.05
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Allahabad,2000 - 2001,0.75
,,2001 - 2002,0.99
,,2002 - 2003,0.78
,,2003 - 2004,0.68
,,2004 - 2005,1.31
,,2005 - 2006,1.52
,,2006 - 2007,1.44
,,2007 - 2008,1.31
,,2008 - 2009,1.39
,,2009 - 2010,1.43
,,2010 - 2011,1.22
,,2011 - 2012,1.28
,,2012 - 2013,1.51
,,2013 - 2014,1.04
,,2014 - 2015,0.78
,,2015 - 2016,0.61
,,2016 - 2017,0.69
,,2017 - 2018,0.63
,,2018 - 2019,1.18
,,2019 - 2020,1.42
,,2020 - 2021,1.72
,,2021 - 2022,1.35
,,2022 - 2023,2.51
,Ambedkar nagar,2000 - 2001,0.76
,,2001 - 2002,0.89
,,2002 - 2003,0.74
,,2003 - 2004,0.87
,,2004 - 2005,0.74
,,2005 - 2006,0.68
,,2006 - 2007,0.89
,,2007 - 2008,0.86
,,2008 - 2009,0.71
,,2009 - 2010,0.84
,,2010 - 2011,0.82
,,2011 - 2012,0.88
,,2012 - 2013,1.06
,,2013 - 2014,0.48
,,2014 - 2015,1.08
,,2015 - 2016,0.95
,,2016 - 2017,1.23
,,2017 - 2018,0.72
,,2018 - 2019,0.66
,,2019 - 2020,1.36
,,2020 - 2021,1.4
,,2021 - 2022,1.9
,,2022 - 2023,1.63
,Amethi,2010 - 2011,0.69
,,2011 - 2012,0.81
,,2012 - 2013,0.99
,,2013 - 2014,0.59
,,2014 - 2015,1.08
,,2015 - 2016,0.95
,,2016 - 2017,1.23
,,2017 - 2018,0.72
,,2018 - 2019,0.66
,,2019 - 2020,1.36
,,2020 - 2021,1.38
,,2021 - 2022,1.78
,,2022 - 2023,1.63
,Amroha,2000 - 2001,0.71
,,2001 - 2002,1.0
,,2004 - 2005,1.0
,,2006 - 2007,1.17
,,2007 - 2008,0.56
,Auraiya,2000 - 2001,1.13
,,2001 - 2002,0.74
,,2002 - 2003,1.23
,,2003 - 2004,1.29
,,2004 - 2005,1.0
,,2005 - 2006,1.37
,,2006 - 2007,1.13
,,2007 - 2008,1.23
,,2008 - 2009,1.28
,,2009 - 2010,1.07
,,2010 - 2011,1.17
,,2011 - 2012,1.23
,,2012 - 2013,1.37
,,2013 - 2014,1.39
,,2014 - 2015,0.9
,,2015 - 2016,0.8
,,2016 - 2017,1.12
,,2017 - 2018,1.53
,,2018 - 2019,1.94
,,2019 - 2020,1.64
,,2020 - 2021,1.78
,,2021 - 2022,1.75
,,2022 - 2023,1.76
,Azamgarh,2000 - 2001,1.17
,,2001 - 2002,1.0
,,2002 - 2003,1.08
,,2003 - 2004,1.13
,,2004 - 2005,1.08
,,2005 - 2006,1.27
,,2006 - 2007,1.25
,,2007 - 2008,0.83
,,2008 - 2009,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.15
,,2012 - 2013,1.46
,,2013 - 2014,1.2
,,2014 - 2015,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.35
,,2018 - 2019,1.5
,,2019 - 2020,1.4
,,2020 - 2021,2.4
,,2021 - 2022,2.33
,,2022 - 2023,1.67
,Baghpat,2000 - 2001,0.8
,,2001 - 2002,0.87
,,2002 - 2003,0.92
,,2003 - 2004,0.86
,,2004 - 2005,0.8
,,2005 - 2006,0.81
,,2006 - 2007,0.81
,,2007 - 2008,0.63
,,2008 - 2009,0.76
,,2009 - 2010,0.77
,,2011 - 2012,0.75
,,2013 - 2014,0.83
,,2016 - 2017,0.73
,,2021 - 2022,1.09
,,2022 - 2023,1.64
,Bahraich,2000 - 2001,1.24
,,2001 - 2002,1.19
,,2002 - 2003,1.14
,,2003 - 2004,1.27
,,2004 - 2005,1.03
,,2005 - 2006,1.09
,,2006 - 2007,1.12
,,2007 - 2008,0.94
,,2008 - 2009,1.11
,,2009 - 2010,0.97
,,2010 - 2011,1.11
,,2011 - 2012,0.91
,,2012 - 2013,1.3
,,2013 - 2014,0.97
,,2014 - 2015,1.03
,,2015 - 2016,0.71
,,2016 - 2017,1.06
,,2017 - 2018,1.24
,,2018 - 2019,1.29
,,2019 - 2020,1.18
,,2020 - 2021,1.22
,,2021 - 2022,1.53
,,2022 - 2023,1.59
,Ballia,2000 - 2001,1.22
,,2001 - 2002,1.06
,,2002 - 2003,1.11
,,2003 - 2004,1.13
,,2004 - 2005,1.06
,,2005 - 2006,1.27
,,2006 - 2007,1.24
,,2007 - 2008,0.86
,,2008 - 2009,1.21
,,2009 - 2010,1.09
,,2010 - 2011,1.19
,,2011 - 2012,1.15
,,2012 - 2013,1.43
,,2013 - 2014,1.14
,,2014 - 2015,1.1
,,2015 - 2016,0.8
,,2016 - 2017,1.17
,,2017 - 2018,1.34
,,2018 - 2019,1.38
,,2019 - 2020,1.46
,,2020 - 2021,1.67
,,2021 - 2022,1.51
,,2022 - 2023,1.59
,Balrampur,2000 - 2001,1.24
,,2001 - 2002,1.19
,,2004 - 2005,1.0
,,2006 - 2007,1.09
,,2008 - 2009,1.0
,,2009 - 2010,0.8
,,2011 - 2012,1.0
,,2012 - 2013,1.25
,,2014 - 2015,1.0
,,2015 - 2016,0.6
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2020 - 2021,1.75
,,2021 - 2022,2.0
,,2022 - 2023,1.6
,Banda,2000 - 2001,0.85
,,2001 - 2002,0.73
,,2002 - 2003,0.65
,,2003 - 2004,0.98
,,2004 - 2005,0.9
,,2005 - 2006,0.96
,,2006 - 2007,0.74
,,2007 - 2008,0.56
,,2008 - 2009,0.49
,,2009 - 2010,0.7
,,2010 - 2011,0.98
,,2011 - 2012,1.13
,,2012 - 2013,1.43
,,2013 - 2014,1.15
,,2014 - 2015,1.11
,,2015 - 2016,0.35
,,2016 - 2017,0.92
,,2017 - 2018,1.61
,,2018 - 2019,1.38
,,2019 - 2020,1.85
,,2020 - 2021,2.38
,,2021 - 2022,1.74
,,2022 - 2023,1.94
,Barabanki,2000 - 2001,0.76
,,2001 - 2002,1.1
,,2002 - 2003,0.73
,,2003 - 2004,0.87
,,2004 - 2005,0.84
,,2005 - 2006,0.49
,,2006 - 2007,1.15
,,2007 - 2008,0.86
,,2008 - 2009,0.71
,,2009 - 2010,0.84
,,2010 - 2011,1.3
,,2011 - 2012,1.17
,,2012 - 2013,1.06
,,2013 - 2014,0.48
,,2014 - 2015,1.08
,,2015 - 2016,0.93
,,2016 - 2017,1.22
,,2017 - 2018,0.72
,,2018 - 2019,0.66
,,2019 - 2020,1.36
,,2020 - 2021,1.38
,,2021 - 2022,1.69
,,2022 - 2023,1.63
,Bareilly,2000 - 2001,0.84
,,2001 - 2002,0.76
,,2002 - 2003,0.98
,,2003 - 2004,0.89
,,2004 - 2005,0.76
,,2005 - 2006,0.93
,,2006 - 2007,1.02
,,2007 - 2008,0.62
,,2008 - 2009,0.94
,,2009 - 2010,0.83
,,2010 - 2011,1.01
,,2011 - 2012,0.76
,,2012 - 2013,1.08
,,2013 - 2014,0.89
,,2014 - 2015,0.96
,,2015 - 2016,0.76
,,2016 - 2017,0.99
,,2017 - 2018,1.01
,,2018 - 2019,1.05
,,2019 - 2020,1.11
,,2020 - 2021,1.23
,,2021 - 2022,1.07
,,2022 - 2023,1.59
,Basti,2001 - 2002,0.97
,,2002 - 2003,1.19
,,2003 - 2004,1.3
,,2004 - 2005,0.76
,,2005 - 2006,1.32
,,2006 - 2007,1.23
,,2007 - 2008,0.6
,,2008 - 2009,1.0
,,2009 - 2010,0.96
,,2011 - 2012,1.19
,Bijnor,2000 - 2001,0.6
,,2002 - 2003,0.89
,,2003 - 2004,1.27
,,2005 - 2006,1.0
,,2012 - 2013,0.67
,,2015 - 2016,2.0
,,2020 - 2021,1.5
,Budaun,2000 - 2001,0.84
,,2001 - 2002,0.76
,,2002 - 2003,0.98
,,2003 - 2004,0.89
,,2004 - 2005,0.76
,,2005 - 2006,0.93
,,2006 - 2007,1.03
,,2007 - 2008,0.62
,,2008 - 2009,0.94
,,2009 - 2010,0.83
,,2010 - 2011,1.01
,,2011 - 2012,0.76
,,2012 - 2013,1.08
,,2013 - 2014,0.9
,,2014 - 2015,0.95
,,2015 - 2016,0.77
,,2016 - 2017,0.98
,,2017 - 2018,1.0
,,2018 - 2019,1.05
,,2020 - 2021,1.24
,,2021 - 2022,1.07
,,2022 - 2023,1.59
,Bulandshahr,2000 - 2001,0.81
,,2001 - 2002,0.86
,,2002 - 2003,9.34
,,2003 - 2004,0.86
,,2004 - 2005,0.8
,,2005 - 2006,0.81
,,2006 - 2007,0.81
,,2007 - 2008,0.63
,,2008 - 2009,0.75
,,2009 - 2010,0.74
,,2010 - 2011,0.81
,,2011 - 2012,0.76
,,2012 - 2013,1.11
,,2013 - 2014,0.81
,,2014 - 2015,0.73
,,2015 - 2016,0.78
,,2016 - 2017,0.74
,,2017 - 2018,0.92
,,2018 - 2019,1.09
,,2019 - 2020,1.14
,,2020 - 2021,1.22
,,2021 - 2022,1.06
,Chandauli,2000 - 2001,1.88
,,2001 - 2002,0.92
,,2002 - 2003,0.88
,,2003 - 2004,0.94
,,2004 - 2005,1.27
,,2005 - 2006,1.45
,,2006 - 2007,1.34
,,2007 - 2008,1.22
,,2008 - 2009,1.22
,,2009 - 2010,1.1
,,2010 - 2011,1.21
,,2011 - 2012,1.06
,,2012 - 2013,1.36
,,2013 - 2014,0.81
,,2014 - 2015,1.19
,,2015 - 2016,1.34
,,2016 - 2017,0.79
,,2017 - 2018,1.37
,,2018 - 2019,1.29
,,2019 - 2020,0.61
,,2020 - 2021,2.43
,,2021 - 2022,1.8
,,2022 - 2023,1.1
,Chitrakoot,2000 - 2001,0.84
,,2001 - 2002,0.65
,,2002 - 2003,0.64
,,2003 - 2004,0.89
,,2004 - 2005,1.1
,,2005 - 2006,1.09
,,2006 - 2007,0.63
,,2007 - 2008,0.44
,,2008 - 2009,0.77
,,2009 - 2010,0.87
,,2010 - 2011,0.83
,,2011 - 2012,1.13
,,2012 - 2013,1.24
,,2013 - 2014,0.92
,,2014 - 2015,0.91
,,2015 - 2016,0.15
,,2016 - 2017,1.13
,,2017 - 2018,0.79
,,2018 - 2019,0.85
,,2019 - 2020,1.54
,,2020 - 2021,1.85
,,2021 - 2022,1.46
,,2022 - 2023,1.28
,Deoria,2000 - 2001,1.26
,,2001 - 2002,1.34
,,2002 - 2003,1.35
,,2003 - 2004,1.38
,,2004 - 2005,1.17
,,2005 - 2006,1.29
,,2006 - 2007,1.26
,,2007 - 2008,0.81
,,2008 - 2009,1.21
,,2009 - 2010,1.01
,,2010 - 2011,1.1
,,2011 - 2012,0.86
,,2012 - 2013,1.52
,,2013 - 2014,1.29
,,2014 - 2015,1.11
,,2015 - 2016,0.83
,,2016 - 2017,1.32
,,2017 - 2018,1.65
,,2018 - 2019,1.25
,,2019 - 2020,1.73
,,2020 - 2021,2.28
,,2021 - 2022,1.8
,,2022 - 2023,1.59
,Etah,2000 - 2001,0.83
,,2001 - 2002,0.77
,,2002 - 2003,1.0
,,2003 - 2004,0.89
,,2004 - 2005,0.75
,,2005 - 2006,0.94
,,2006 - 2007,1.14
,,2007 - 2008,0.62
,,2009 - 2010,0.89
,,2015 - 2016,0.76
,Etawah,2000 - 2001,0.94
,,2001 - 2002,0.93
,,2002 - 2003,1.09
,,2003 - 2004,0.91
,,2004 - 2005,0.74
,,2005 - 2006,1.14
,,2006 - 2007,1.04
,,2008 - 2009,1.28
,,2009 - 2010,1.07
,,2010 - 2011,1.17
,,2011 - 2012,1.23
,,2012 - 2013,1.38
,,2013 - 2014,1.39
,,2014 - 2015,0.89
,,2015 - 2016,0.8
,,2016 - 2017,1.12
,,2017 - 2018,1.53
,,2018 - 2019,1.67
,,2019 - 2020,1.29
,,2020 - 2021,1.84
,,2021 - 2022,1.5
,,2022 - 2023,1.72
,Faizabad,2000 - 2001,0.76
,,2001 - 2002,0.4
,,2002 - 2003,0.54
,,2003 - 2004,0.56
,,2004 - 2005,0.74
,,2005 - 2006,0.48
,,2006 - 2007,0.89
,,2007 - 2008,0.86
,,2008 - 2009,0.71
,,2009 - 2010,0.84
,,2010 - 2011,0.82
,,2011 - 2012,0.88
,,2012 - 2013,1.06
,,2013 - 2014,0.48
,,2014 - 2015,1.08
,,2015 - 2016,0.95
,,2016 - 2017,1.23
,,2017 - 2018,0.72
,,2018 - 2019,0.66
,,2019 - 2020,1.36
,,2020 - 2021,1.4
,,2021 - 2022,1.71
,,2022 - 2023,1.63
,Farrukhabad,2000 - 2001,0.94
,,2001 - 2002,0.93
,,2002 - 2003,1.09
,,2003 - 2004,0.91
,,2004 - 2005,0.74
,,2005 - 2006,1.14
,,2006 - 2007,1.04
,,2007 - 2008,0.89
,,2008 - 2009,1.28
,,2009 - 2010,1.07
,,2010 - 2011,1.17
,,2011 - 2012,1.23
,,2012 - 2013,1.37
,,2013 - 2014,1.39
,,2014 - 2015,0.9
,,2015 - 2016,0.8
,,2016 - 2017,1.12
,,2017 - 2018,1.53
,,2018 - 2019,1.67
,,2019 - 2020,1.29
,,2020 - 2021,1.98
,,2021 - 2022,1.44
,,2022 - 2023,1.72
,Fatehpur,2000 - 2001,1.13
,,2001 - 2002,1.05
,,2002 - 2003,1.05
,,2003 - 2004,1.07
,,2004 - 2005,2.11
,,2005 - 2006,1.69
,,2006 - 2007,1.41
,,2007 - 2008,1.67
,,2008 - 2009,1.31
,,2009 - 2010,1.45
,,2010 - 2011,1.46
,,2011 - 2012,1.7
,,2012 - 2013,1.58
,,2013 - 2014,1.41
,,2014 - 2015,0.61
,,2015 - 2016,0.75
,,2016 - 2017,0.8
,,2017 - 2018,1.28
,,2018 - 2019,1.43
,,2019 - 2020,1.59
,,2020 - 2021,1.61
,,2021 - 2022,1.66
,,2022 - 2023,1.34
,Firozabad,2000 - 2001,0.82
,,2001 - 2002,0.77
,,2002 - 2003,0.99
,,2003 - 2004,0.89
,,2004 - 2005,0.76
,,2005 - 2006,0.94
,,2006 - 2007,1.14
,,2007 - 2008,0.62
,,2008 - 2009,0.99
,,2009 - 2010,0.95
,,2010 - 2011,1.0
,,2011 - 2012,0.77
,,2012 - 2013,1.09
,,2013 - 2014,0.89
,,2014 - 2015,2.43
,,2015 - 2016,0.75
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.05
,,2019 - 2020,1.11
,,2020 - 2021,1.24
,,2021 - 2022,1.08
,,2022 - 2023,1.59
,Gautam buddha nagar,2000 - 2001,0.81
,,2001 - 2002,0.86
,,2002 - 2003,1.0
,,2003 - 2004,0.86
,,2004 - 2005,0.8
,,2005 - 2006,0.81
,,2006 - 2007,0.79
,,2008 - 2009,0.82
,,2009 - 2010,0.73
,,2010 - 2011,0.82
,,2012 - 2013,1.0
,,2015 - 2016,0.77
,,2018 - 2019,1.05
,Ghaziabad,2000 - 2001,0.82
,,2001 - 2002,0.86
,,2002 - 2003,0.91
,,2003 - 2004,0.85
,,2004 - 2005,0.81
,,2005 - 2006,0.83
,,2007 - 2008,1.0
,,2009 - 2010,0.75
,,2010 - 2011,0.8
,,2011 - 2012,0.75
,,2012 - 2013,1.13
,,2013 - 2014,0.5
,,2017 - 2018,1.0
,,2022 - 2023,1.6
,Ghazipur,2000 - 2001,1.88
,,2001 - 2002,1.08
,,2002 - 2003,1.12
,,2003 - 2004,0.84
,,2004 - 2005,1.27
,,2005 - 2006,1.61
,,2006 - 2007,1.47
,,2007 - 2008,1.73
,,2008 - 2009,1.22
,,2009 - 2010,1.1
,,2010 - 2011,1.21
,,2011 - 2012,1.06
,,2012 - 2013,1.82
,,2013 - 2014,0.79
,,2014 - 2015,1.57
,,2015 - 2016,1.84
,,2016 - 2017,0.73
,,2017 - 2018,1.91
,,2018 - 2019,2.13
,,2019 - 2020,1.39
,,2020 - 2021,2.65
,,2021 - 2022,2.04
,,2022 - 2023,1.14
,Gonda,2000 - 2001,1.23
,,2001 - 2002,1.2
,,2002 - 2003,1.13
,,2003 - 2004,1.27
,,2005 - 2006,1.1
,,2007 - 2008,0.95
,,2008 - 2009,1.12
,,2009 - 2010,0.96
,,2010 - 2011,1.1
,Gorakhpur,2000 - 2001,1.26
,,2001 - 2002,1.35
,,2002 - 2003,1.36
,,2003 - 2004,1.38
,,2004 - 2005,1.17
,,2005 - 2006,1.26
,,2006 - 2007,1.28
,,2007 - 2008,0.79
,,2008 - 2009,1.2
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2015 - 2016,1.0
,Hamirpur,2000 - 2001,0.81
,,2001 - 2002,1.07
,,2002 - 2003,0.86
,,2003 - 2004,0.98
,,2004 - 2005,0.81
,,2005 - 2006,0.54
,,2006 - 2007,0.55
,,2007 - 2008,0.17
,,2008 - 2009,0.41
,,2009 - 2010,0.43
,,2010 - 2011,0.73
,,2011 - 2012,0.98
,,2012 - 2013,1.32
,,2013 - 2014,1.07
,,2014 - 2015,0.82
,,2015 - 2016,0.06
,,2016 - 2017,0.67
,,2017 - 2018,0.88
,,2018 - 2019,0.85
,,2019 - 2020,1.13
,,2020 - 2021,1.02
,,2021 - 2022,0.98
,,2022 - 2023,1.53
,Hapur,2020 - 2021,1.0
,Hardoi,2000 - 2001,0.9
,,2001 - 2002,1.02
,,2002 - 2003,1.39
,,2003 - 2004,0.97
,,2004 - 2005,0.96
,,2005 - 2006,1.01
,,2006 - 2007,1.11
,,2007 - 2008,0.73
,,2008 - 2009,1.09
,,2009 - 2010,0.88
,,2010 - 2011,1.08
,,2011 - 2012,0.73
,,2012 - 2013,1.21
,,2013 - 2014,1.08
,,2014 - 2015,0.97
,,2015 - 2016,1.41
,,2016 - 2017,1.36
,,2017 - 2018,1.56
,,2018 - 2019,0.99
,,2019 - 2020,1.08
,,2020 - 2021,1.01
,,2021 - 2022,1.3
,,2022 - 2023,1.72
,Hathras,2000 - 2001,0.81
,,2001 - 2002,0.78
,,2002 - 2003,1.0
,,2003 - 2004,0.89
,,2004 - 2005,0.75
,,2005 - 2006,1.0
,,2007 - 2008,0.6
,,2008 - 2009,1.0
,,2009 - 2010,0.89
,,2010 - 2011,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.9
,,2014 - 2015,1.0
,,2015 - 2016,0.67
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.13
,,2020 - 2021,1.2
,,2021 - 2022,1.0
,,2022 - 2023,1.64
,Jalaun,2000 - 2001,0.98
,,2001 - 2002,1.45
,,2002 - 2003,0.8
,,2003 - 2004,1.12
,,2004 - 2005,1.35
,,2005 - 2006,1.41
,,2006 - 2007,1.68
,,2007 - 2008,0.25
,,2008 - 2009,1.84
,,2009 - 2010,1.14
,,2010 - 2011,1.11
,,2011 - 2012,1.09
,,2012 - 2013,1.9
,,2013 - 2014,1.26
,,2014 - 2015,0.86
,,2015 - 2016,0.65
,,2016 - 2017,0.95
,,2017 - 2018,1.88
,,2018 - 2019,1.41
,,2019 - 2020,1.41
,,2020 - 2021,1.64
,,2021 - 2022,2.27
,,2022 - 2023,1.59
,Jaunpur,2000 - 2001,1.42
,,2001 - 2002,0.97
,,2002 - 2003,1.1
,,2003 - 2004,1.09
,,2004 - 2005,1.3
,,2005 - 2006,1.45
,,2006 - 2007,1.34
,,2007 - 2008,1.22
,,2008 - 2009,1.22
,,2009 - 2010,1.1
,,2010 - 2011,1.21
,,2011 - 2012,1.06
,,2012 - 2013,1.36
,,2013 - 2014,0.81
,,2014 - 2015,1.47
,,2015 - 2016,0.66
,,2016 - 2017,1.19
,,2017 - 2018,1.41
,,2018 - 2019,1.97
,,2019 - 2020,1.13
,,2020 - 2021,3.14
,,2021 - 2022,1.85
,,2022 - 2023,1.29
,Jhansi,2000 - 2001,0.86
,,2001 - 2002,0.57
,,2002 - 2003,0.2
,,2003 - 2004,0.9
,,2004 - 2005,0.9
,,2005 - 2006,0.46
,,2006 - 2007,0.97
,,2007 - 2008,0.28
,,2008 - 2009,0.87
,,2009 - 2010,0.3
,,2010 - 2011,1.28
,,2011 - 2012,1.11
,,2012 - 2013,1.93
,,2013 - 2014,0.6
,,2014 - 2015,0.87
,,2015 - 2016,0.61
,,2016 - 2017,0.95
,,2017 - 2018,0.85
,,2018 - 2019,1.71
,,2019 - 2020,0.98
,,2020 - 2021,1.23
,,2021 - 2022,2.28
,,2022 - 2023,1.59
,Kannauj,2000 - 2001,1.36
,,2001 - 2002,0.93
,,2002 - 2003,1.09
,,2003 - 2004,0.91
,,2004 - 2005,0.74
,,2005 - 2006,1.14
,,2006 - 2007,1.04
,,2007 - 2008,0.89
,,2008 - 2009,1.28
,,2009 - 2010,1.07
,,2010 - 2011,1.17
,,2011 - 2012,1.23
,,2012 - 2013,1.37
,,2013 - 2014,1.39
,,2014 - 2015,0.9
,,2015 - 2016,0.8
,,2016 - 2017,1.12
,,2017 - 2018,1.53
,,2018 - 2019,1.67
,,2019 - 2020,1.3
,,2020 - 2021,1.91
,,2021 - 2022,1.47
,,2022 - 2023,1.72
,Kanpur dehat,2003 - 2004,1.17
,,2004 - 2005,0.78
,,2005 - 2006,1.24
,,2006 - 2007,1.39
