state,district,year,tobacco_whole_year_yield_tonne_per_hectare
,,2007 - 2008,0.6
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,1.0
,Sonitpur,2000 - 2001,0.53
,,2001 - 2002,0.53
,,2002 - 2003,0.53
,,2003 - 2004,0.62
,,2004 - 2005,0.64
,,2005 - 2006,0.62
,,2006 - 2007,0.54
,,2007 - 2008,0.61
,,2008 - 2009,0.75
,,2009 - 2010,0.67
,,2010 - 2011,0.6
,,2011 - 2012,0.75
,,2012 - 2013,0.67
,,2013 - 2014,0.78
,,2014 - 2015,0.67
,,2015 - 2016,0.67
,,2016 - 2017,0.67
,,2017 - 2018,0.67
,,2019 - 2020,0.33
,Tinsukia,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.6
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,1.0
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,1.0
,,2014 - 2015,1.0
,Udalguri,2005 - 2006,0.5
,,2006 - 2007,1.0
,,2007 - 2008,0.5
,,2009 - 2010,0.6
,,2010 - 2011,0.5
,,2011 - 2012,1.0
,West karbi anglong,2020 - 2021,0.67
,,2021 - 2022,1.0
Bihar,Araria,2004 - 2005,1.25
,,2013 - 2014,1.89
,Begusarai,2000 - 2001,1.13
,,2001 - 2002,1.4
,,2002 - 2003,1.2
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2009 - 2010,2.0
,,2010 - 2011,1.83
,,2011 - 2012,1.83
,,2013 - 2014,1.83
,,2014 - 2015,1.83
,,2015 - 2016,1.71
,,2016 - 2017,1.71
,,2022 - 2023,1.76
,Bhagalpur,2000 - 2001,1.17
,,2001 - 2002,1.12
,,2002 - 2003,1.13
,,2003 - 2004,1.12
,,2004 - 2005,1.14
,,2005 - 2006,1.14
,,2007 - 2008,1.71
,,2009 - 2010,1.91
,,2010 - 2011,1.75
,,2011 - 2012,1.9
,,2012 - 2013,1.87
,,2013 - 2014,1.92
,,2014 - 2015,1.77
,,2015 - 2016,1.74
,,2016 - 2017,1.77
,,2017 - 2018,1.76
,,2018 - 2019,1.75
,,2019 - 2020,1.76
,,2020 - 2021,1.75
,,2021 - 2022,1.75
,,2022 - 2023,1.75
,Darbhanga,2000 - 2001,1.14
,,2001 - 2002,1.09
,,2002 - 2003,1.11
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2022 - 2023,1.77
,Gopalganj,2000 - 2001,1.16
,,2001 - 2002,1.1
,,2002 - 2003,1.12
,,2003 - 2004,1.11
,,2004 - 2005,1.16
,,2005 - 2006,1.16
,,2007 - 2008,1.68
,,2009 - 2010,1.86
,,2010 - 2011,1.78
,,2011 - 2012,1.89
,,2012 - 2013,1.89
,,2013 - 2014,1.9
,,2014 - 2015,1.75
,,2015 - 2016,1.77
,,2016 - 2017,1.75
,,2017 - 2018,1.76
,,2018 - 2019,1.76
,,2019 - 2020,1.76
,,2020 - 2021,1.76
,,2021 - 2022,1.76
,,2022 - 2023,1.76
,Jamui,2001 - 2002,1.25
,Jehanabad,2000 - 2001,1.25
,,2001 - 2002,2.0
,Kaimur (bhabua),2000 - 2001,1.19
,Katihar,2000 - 2001,1.16
,,2001 - 2002,1.16
,,2002 - 2003,1.12
,,2003 - 2004,1.12
,,2004 - 2005,1.16
,,2005 - 2006,1.16
,,2007 - 2008,1.2
,,2009 - 2010,1.86
,,2010 - 2011,1.79
,,2011 - 2012,1.9
,,2012 - 2013,1.89
,,2014 - 2015,1.76
,,2015 - 2016,1.73
,,2016 - 2017,1.75
,,2017 - 2018,1.75
,Khagaria,2011 - 2012,2.0
,,2012 - 2013,2.0
,,2013 - 2014,2.0
,,2014 - 2015,2.0
,,2020 - 2021,2.0
,Kishanganj,2000 - 2001,1.16
,,2002 - 2003,1.13
,,2003 - 2004,1.11
,,2004 - 2005,1.16
,,2005 - 2006,1.16
,,2007 - 2008,1.68
,,2009 - 2010,1.87
,,2010 - 2011,1.78
,,2011 - 2012,1.88
,,2012 - 2013,1.9
,,2013 - 2014,1.89
,,2014 - 2015,1.76
,,2015 - 2016,1.74
,,2016 - 2017,1.76
,,2017 - 2018,1.76
,,2018 - 2019,1.75
,,2019 - 2020,1.76
,,2020 - 2021,1.76
,Madhepura,2007 - 2008,1.75
,Madhubani,2000 - 2001,1.14
,,2001 - 2002,1.08
,,2003 - 2004,1.1
,,2004 - 2005,1.17
,,2005 - 2006,1.25
,Munger,2013 - 2014,2.0
,,2014 - 2015,1.8
,,2015 - 2016,1.8
,Muzaffarpur,2000 - 2001,1.16
,,2001 - 2002,1.1
,,2002 - 2003,1.12
,,2003 - 2004,1.11
,,2004 - 2005,1.16
,,2005 - 2006,1.15
,,2007 - 2008,2.29
,,2009 - 2010,1.87
,,2010 - 2011,1.78
,,2011 - 2012,1.88
,,2012 - 2013,1.89
,,2013 - 2014,1.9
,,2014 - 2015,1.76
,,2015 - 2016,1.74
,,2016 - 2017,1.76
,,2017 - 2018,1.76
,,2018 - 2019,1.75
,,2019 - 2020,1.76
,,2020 - 2021,1.76
,,2021 - 2022,1.76
,,2022 - 2023,1.76
,Purbi champaran,2004 - 2005,1.17
,,2005 - 2006,1.14
,,2007 - 2008,2.33
,Purnia,2000 - 2001,1.17
,,2001 - 2002,1.2
,,2003 - 2004,1.14
,,2004 - 2005,1.17
,,2005 - 2006,1.15
,,2007 - 2008,1.69
,,2010 - 2011,1.78
,,2012 - 2013,1.88
,Samastipur,2000 - 2001,1.16
,,2001 - 2002,1.1
,,2002 - 2003,1.12
,,2003 - 2004,1.11
,,2004 - 2005,1.16
,,2005 - 2006,1.16
,,2007 - 2008,1.14
,,2009 - 2010,1.87
,,2010 - 2011,1.78
,,2011 - 2012,1.89
,,2012 - 2013,1.89
,,2013 - 2014,1.9
,,2014 - 2015,1.76
,,2015 - 2016,1.74
,,2016 - 2017,1.76
,,2017 - 2018,1.75
,,2018 - 2019,1.75
,,2019 - 2020,1.75
,,2020 - 2021,1.75
,,2021 - 2022,1.75
,,2022 - 2023,1.75
,Saran,2002 - 2003,1.08
,,2004 - 2005,1.0
,Sheohar,2000 - 2001,1.16
,,2001 - 2002,1.11
,,2002 - 2003,1.12
,,2003 - 2004,1.1
,,2004 - 2005,1.16
,,2005 - 2006,1.2
,,2007 - 2008,2.25
,,2009 - 2010,2.0
,,2010 - 2011,2.0
,,2011 - 2012,1.88
,,2012 - 2013,1.87
,,2013 - 2014,1.9
,,2014 - 2015,1.76
,,2015 - 2016,1.71
,,2016 - 2017,1.77
,,2017 - 2018,1.77
,,2018 - 2019,1.76
,,2019 - 2020,1.76
,,2020 - 2021,1.76
,,2021 - 2022,1.74
,,2022 - 2023,1.74
,Sitamarhi,2000 - 2001,1.16
,,2001 - 2002,1.1
,,2002 - 2003,1.12
,,2003 - 2004,1.11
,,2004 - 2005,1.16
,,2005 - 2006,1.15
,Siwan,2004 - 2005,1.16
,,2005 - 2006,1.15
,,2007 - 2008,1.69
,,2009 - 2010,1.86
,,2010 - 2011,1.78
,,2011 - 2012,1.88
,,2012 - 2013,1.89
,,2013 - 2014,1.9
,,2014 - 2015,1.75
,,2015 - 2016,1.77
,,2016 - 2017,1.76
,,2017 - 2018,1.76
,,2018 - 2019,1.76
,,2019 - 2020,1.75
,,2020 - 2021,1.76
,,2021 - 2022,1.76
,,2022 - 2023,1.76
,Supaul,2000 - 2001,1.0
,Vaishali,2000 - 2001,1.16
,,2001 - 2002,1.1
,,2002 - 2003,1.12
,,2003 - 2004,1.11
,,2004 - 2005,1.16
,,2005 - 2006,1.15
,,2007 - 2008,2.29
,,2009 - 2010,1.87
,,2010 - 2011,1.78
,,2011 - 2012,1.89
,,2012 - 2013,1.89
,,2013 - 2014,1.9
,,2014 - 2015,1.76
,,2015 - 2016,1.73
,,2016 - 2017,1.76
,,2017 - 2018,1.76
,,2018 - 2019,1.75
,,2019 - 2020,1.76
,,2020 - 2021,1.76
,,2021 - 2022,1.76
,,2022 - 2023,1.76
Chhattisgarh,Baloda bazar,2022 - 2023,1.0
,Balrampur,2011 - 2012,0.33
,,2012 - 2013,4.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2017 - 2018,0.0
,,2019 - 2020,1.0
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,1.0
,Bastar,2000 - 2001,0.63
,,2001 - 2002,0.6
,,2002 - 2003,0.67
,,2003 - 2004,0.67
,,2004 - 2005,0.57
