feature,H_Cluster,State,District
Madhya Pradesh_Tikamgarh,2,Madhya Pradesh,Tikamgarh
Madhya Pradesh_Ujjain,9,Madhya Pradesh,Ujjain
Madhya Pradesh_Umaria,9,Madhya Pradesh,Umaria
Madhya Pradesh_Vidisha,9,Madhya Pradesh,Vidisha
Maharashtra_Ahmednagar,12,Maharashtra,Ahmednagar
Maharashtra_Akola,9,Maharashtra,Akola
Maharashtra_Amravati,9,Maharashtra,Amravati
Maharashtra_Aurangabad,9,Maharashtra,Aurangabad
Maharashtra_Beed,9,Maharashtra,Beed
Maharashtra_Bhandara,9,Maharashtra,Bhandara
Maharashtra_Buldhana,9,Maharashtra,Buldhana
Maharashtra_Chandrapur,9,Maharashtra,Chandrapur
Maharashtra_Dhule,9,Maharashtra,Dhule
Maharashtra_Gadchiroli,9,Maharashtra,Gadchiroli
Maharashtra_Gondia,9,Maharashtra,Gondia
Maharashtra_Hingoli,9,Maharashtra,Hingoli
Maharashtra_Jalgaon,9,Maharashtra,Jalgaon
Maharashtra_Jalna,9,Maharashtra,Jalna
Maharashtra_Kolhapur,13,Maharashtra,Kolhapur
Maharashtra_Latur,9,Maharashtra,Latur
Maharashtra_Mumbai Suburban,5,Maharashtra,Mumbai Suburban
Maharashtra_Nagpur,9,Maharashtra,Nagpur
Maharashtra_Nanded,9,Maharashtra,Nanded
Maharashtra_Nandurbar,9,Maharashtra,Nandurbar
Maharashtra_Nashik,9,Maharashtra,Nashik
Maharashtra_Osmanabad,9,Maharashtra,Osmanabad
Maharashtra_Palghar,4,Maharashtra,Palghar
Maharashtra_Parbhani,9,Maharashtra,Parbhani
Maharashtra_Pune,12,Maharashtra,Pune
Maharashtra_Raigad,4,Maharashtra,Raigad
Maharashtra_Ratnagiri,4,Maharashtra,Ratnagiri
Maharashtra_Sangli,12,Maharashtra,Sangli
Maharashtra_Satara,12,Maharashtra,Satara
Maharashtra_Sindhudurg,4,Maharashtra,Sindhudurg
Maharashtra_Solapur,12,Maharashtra,Solapur
Maharashtra_Thane,4,Maharashtra,Thane
