state,district,year,bajra_kharif_area_hectare,bajra_kharif_production_tonne,bajra_kharif_yield_tonne_per_hectare,bajra_rabi_area_hectare,bajra_rabi_production_tonne,bajra_rabi_yield_tonne_per_hectare,bajra_whole_year_area_hectare,bajra_whole_year_production_tonne,bajra_whole_year_yield_tonne_per_hectare,bajra_summer_area_hectare,bajra_summer_production_tonne,bajra_summer_yield_tonne_per_hectare
,,2011 - 2012,11.0,12.0,1.09,,,,,,,,,
,,2012 - 2013,40.0,46.0,1.15,,,,,,,,,
,,2015 - 2016,1.0,1.0,1.0,,,,,,,,,
,Jehanabad,2002 - 2003,1.0,1.0,1.0,,,,,,,,,
,,2003 - 2004,1.0,1.0,1.0,,,,,,,,,
,Kaimur (bhabua),2000 - 2001,145.0,127.0,0.88,,,,,,,,,
,,2001 - 2002,157.0,113.0,0.72,,,,,,,,,
,,2005 - 2006,143.0,151.0,1.06,,,,,,,,,
,Katihar,2018 - 2019,77.0,87.0,1.13,,,,,,,,,
,Khagaria,2006 - 2007,4.0,4.0,1.0,,,,,,,,,
,Madhepura,2002 - 2003,5.0,5.0,1.0,,,,,,,,,
,,2014 - 2015,12.0,14.0,1.17,,,,,,,,,
,Madhubani,2000 - 2001,72.0,53.0,0.74,,,,,,,,,
,,2001 - 2002,23.0,15.0,0.65,,,,,,,,,
,Nawada,2005 - 2006,17.0,18.0,1.06,,,,,,,,,
,,2007 - 2008,20.0,22.0,1.1,,,,,,,,,
,,2008 - 2009,50.0,60.0,1.2,,,,,,,,,
,,2009 - 2010,31.0,35.0,1.13,,,,,,,,,
,,2013 - 2014,155.0,176.0,1.14,,,,,,,,,
,Pashchim champaran,2000 - 2001,135.0,88.0,0.65,,,,,,,,,
,,2001 - 2002,73.0,53.0,0.73,,,,,,,,,
,,2002 - 2003,43.0,44.0,1.02,,,,,,,,,
,,2003 - 2004,43.0,45.0,1.05,,,,,,,,,
,,2004 - 2005,49.0,53.0,1.08,,,,,,,,,
,,2005 - 2006,137.0,145.0,1.06,,,,,,,,,
,,2006 - 2007,51.0,55.0,1.08,,,,,,,,,
,,2007 - 2008,51.0,53.0,1.04,,,,,,,,,
,,2008 - 2009,48.0,52.0,1.08,,,,,,,,,
,,2009 - 2010,55.0,61.0,1.11,,,,,,,,,
,,2011 - 2012,57.0,64.0,1.12,,,,,,,,,
,,2012 - 2013,17.0,19.0,1.12,,,,,,,,,
,,2013 - 2014,32.0,36.0,1.13,,,,,,,,,
,,2014 - 2015,1.0,1.0,1.0,,,,,,,,,
,Patna,2002 - 2003,310.0,319.0,1.03,,,,,,,,,
,,2003 - 2004,459.0,487.0,1.06,,,,,,,,,
,,2005 - 2006,353.0,364.0,1.03,,,,,,,,,
,,2006 - 2007,270.0,278.0,1.03,,,,,,,,,
,,2007 - 2008,223.0,248.0,1.11,,,,,,,,,
,,2017 - 2018,14.0,16.0,1.14,,,,,,,,,
,,2020 - 2021,223.0,253.0,1.13,,,,,,,,,
,,2021 - 2022,263.0,300.0,1.14,,,,,,,,,
,Purbi champaran,2002 - 2003,70.0,72.0,1.03,,,,,,,,,
,,2011 - 2012,2.0,2.0,1.0,,,,,,,,,
,Rohtas,2000 - 2001,49.0,42.0,0.86,,,,,,,,,
,,2001 - 2002,7.0,5.0,0.71,,,,,,,,,
,,2002 - 2003,8.0,13.0,1.63,,,,,,,,,
,,2003 - 2004,30.0,31.0,1.03,,,,,,,,,
,,2004 - 2005,24.0,26.0,1.08,,,,,,,,,
,,2005 - 2006,24.0,25.0,1.04,,,,,,,,,
,,2009 - 2010,7.0,8.0,1.14,,,,,,,,,
,,2010 - 2011,7.0,8.0,1.14,,,,,,,,,
,Saharsa,2007 - 2008,5.0,4.0,0.8,,,,,,,,,
,Samastipur,2009 - 2010,4.0,4.0,1.0,,,,,,,,,
,Saran,2000 - 2001,28.0,14.0,0.5,,,,,,,,,
,,2001 - 2002,25.0,19.0,0.76,,,,,,,,,
