state,district,year,groundnut_rabi_area_hectare,groundnut_rabi_production_tonne,groundnut_rabi_yield_tonne_per_hectare,groundnut_kharif_area_hectare,groundnut_kharif_production_tonne,groundnut_kharif_yield_tonne_per_hectare,groundnut_summer_area_hectare,groundnut_summer_production_tonne,groundnut_summer_yield_tonne_per_hectare,groundnut_whole_year_area_hectare,groundnut_whole_year_production_tonne,groundnut_whole_year_yield_tonne_per_hectare,groundnut_autumn_area_hectare,groundnut_autumn_production_tonne,groundnut_autumn_yield_tonne_per_hectare,groundnut_winter_area_hectare,groundnut_winter_production_tonne,groundnut_winter_yield_tonne_per_hectare
,,2019 - 2020,,,,4.0,10.0,2.5,,,,,,,,,,,,
,,2020 - 2021,,,,17.0,36.0,2.12,,,,,,,,,,,,
,,2021 - 2022,,,,10.0,22.0,2.2,,,,,,,,,,,,
,,2022 - 2023,,,,15.0,33.0,2.2,,,,,,,,,,,,
,Karur,2000 - 2001,,,,,,1.65,,,,,,,,,,,,
,,2001 - 2002,,,,,,2.1,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.58,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.46,,,,,,,,,,,,
,,2004 - 2005,,,,,,2.02,,,,,,,,,,,,
,,2005 - 2006,,,,,,2.11,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,2.26,,,,,,
,,2007 - 2008,,,,,,,,,,,,2.28,,,,,,
,,2008 - 2009,,,,,,,,,,,,2.43,,,,,,
,,2009 - 2010,,,,,,,,,,,,2.43,,,,,,
,,2010 - 2011,,,,,,1.86,,,,,,,,,,,,
,,2011 - 2012,,,2.72,,,2.61,,,,,,,,,,,,
,,2012 - 2013,,,,,,2.71,,,,,,,,,,,,
,,2013 - 2014,496.0,,3.36,,,3.16,,,,,,,,,,,,
,,2014 - 2015,,,2.89,,,2.28,,,,,,,,,,,,
,,2015 - 2016,,,2.78,,,2.8,,,,,,,,,,,,
,,2016 - 2017,492.0,,2.35,,,2.29,,,,,,,,,,,,
,,2017 - 2018,,,2.65,,,2.46,,,,,,,,,,,,
,,2018 - 2019,,,3.45,394.0,852.0,2.16,,,,,,,,,,,,
,,2019 - 2020,809.0,,2.97,216.0,535.0,2.48,,,,,,,,,,,,
,,2020 - 2021,,,2.64,,,2.13,,,,,,,,,,,,
,,2021 - 2022,,,3.7,,,2.27,,,,,,,,,,,,
,,2022 - 2023,,,2.8,,,2.12,,,,,,,,,,,,
,Krishnagiri,2004 - 2005,,,,,,1.55,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.23,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,1.19,,,,,,
,,2007 - 2008,,,,,,,,,,,,2.11,,,,,,
,,2008 - 2009,,,,,,,,,,,,1.56,,,,,,
,,2009 - 2010,,,,,,,,,,,,1.79,,,,,,
,,2010 - 2011,,,,,,2.37,,,,,,,,,,,,
,,2011 - 2012,,,3.75,,,3.03,,,,,,,,,,,,
,,2012 - 2013,,,,,,2.11,,,,,,,,,,,,
,,2013 - 2014,,,3.63,,,2.57,,,,,,,,,,,,
,,2014 - 2015,722.0,,2.39,,,2.09,,,,,,,,,,,,
,,2015 - 2016,,,2.89,,,2.21,,,,,,,,,,,,
,,2016 - 2017,425.0,,3.23,,,1.8,,,,,,,,,,,,
,,2017 - 2018,,,3.72,,,3.02,,,,,,,,,,,,
,,2018 - 2019,,,3.49,,,3.41,,,,,,,,,,,,
,,2019 - 2020,786.0,,3.31,,,3.33,,,,,,,,,,,,
,,2020 - 2021,643.0,,3.53,,,3.53,,,,,,,,,,,,
,,2021 - 2022,307.0,,3.53,,,2.69,,,,,,,,,,,,
,,2022 - 2023,605.0,,3.38,,,2.76,,,,,,,,,,,,
,Madurai,2000 - 2001,,,,,,1.58,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.64,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.47,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.47,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.33,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.6,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,2.13,,,,,,
,,2007 - 2008,,,,,,,,,,,,1.87,,,,,,
,,2008 - 2009,,,,,,,,,,,,1.98,,,,,,
,,2009 - 2010,,,,,,,,,,,,1.54,,,,,,
,,2010 - 2011,,,,,,1.83,,,,,,,,,,,,
,,2011 - 2012,,,2.18,,,1.62,,,,,,,,,,,,
,,2012 - 2013,,,,,,2.0,,,,,,,,,,,,
,,2013 - 2014,,,2.2,,,2.09,,,,,,,,,,,,
,,2014 - 2015,,,2.09,,,2.15,,,,,,,,,,,,
,,2015 - 2016,,,2.01,,,1.48,,,,,,,,,,,,
,,2016 - 2017,783.0,,3.23,,,1.72,,,,,,,,,,,,
,,2017 - 2018,662.0,,3.92,,,2.46,,,,,,,,,,,,
,,2018 - 2019,764.0,,2.69,,,2.17,,,,,,,,,,,,
,,2019 - 2020,844.0,,3.74,963.0,,2.37,,,,,,,,,,,,
,,2020 - 2021,982.0,,3.23,,,2.95,,,,,,,,,,,,
,,2021 - 2022,,,3.9,,,2.46,,,,,,,,,,,,
,,2022 - 2023,928.0,,3.49,,,2.65,,,,,,,,,,,,
,Mayiladuthurai,2020 - 2021,,,4.08,,,,,,,,,,,,,,,
,,2021 - 2022,,,3.67,10.0,23.0,2.3,,,,,,,,,,,,
,,2022 - 2023,921.0,,4.49,96.0,204.0,2.13,,,,,,,,,,,,
,Nagapattinam,2000 - 2001,,,,,,1.2,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.69,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.56,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.29,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.7,,,,,,,,,,,,
,,2005 - 2006,,,,,,3.35,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,3.8,,,,,,
,,2007 - 2008,,,,,,,,,,,,1.98,,,,,,
,,2008 - 2009,,,,,,,,,,,,2.52,,,,,,
,,2009 - 2010,,,,,,,,,,,,3.02,,,,,,
,,2010 - 2011,,,,,,3.16,,,,,,,,,,,,
,,2011 - 2012,,,3.9,89.0,196.0,2.2,,,,,,,,,,,,
,,2012 - 2013,,,,,,2.87,,,,,,,,,,,,
,,2013 - 2014,,,3.21,,,,,,,,,,,,,,,
,,2014 - 2015,,,3.25,3.0,7.0,2.33,,,,,,,,,,,,
,,2015 - 2016,,,3.72,,,,,,,,,,,,,,,
,,2016 - 2017,,,3.68,5.0,8.0,1.6,,,,,,,,,,,,
,,2017 - 2018,,,3.88,30.0,74.0,2.47,,,,,,,,,,,,
,,2018 - 2019,,,2.11,,,,,,,,,,,,,,,
,,2019 - 2020,,,4.38,30.0,74.0,2.47,,,,,,,,,,,,
,,2020 - 2021,,,3.23,,,,,,,,,,,,,,,
,,2021 - 2022,,,3.9,,,,,,,,,,,,,,,
,,2022 - 2023,,,3.49,,,,,,,,,,,,,,,
,Namakkal,2000 - 2001,,,,,,1.98,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.99,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.11,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.38,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.06,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.58,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,1.73,,,,,,
,,2007 - 2008,,,,,,,,,,,,1.66,,,,,,
,,2008 - 2009,,,,,,,,,,,,1.9,,,,,,
,,2009 - 2010,,,,,,,,,,,,1.57,,,,,,
,,2010 - 2011,,,,,,2.34,,,,,,,,,,,,
,,2011 - 2012,,,3.36,,,2.09,,,,,,,,,,,,
,,2012 - 2013,,,,,,1.36,,,,,,,,,,,,
,,2013 - 2014,,,3.15,,,1.88,,,,,,,,,,,,
,,2014 - 2015,,,2.22,,,2.16,,,,,,,,,,,,
,,2015 - 2016,,,2.49,,,1.68,,,,,,,,,,,,
,,2016 - 2017,,,0.88,,,0.62,,,,,,,,,,,,
,,2017 - 2018,,,3.61,,,2.13,,,,,,,,,,,,
,,2018 - 2019,,,2.15,,,1.42,,,,,,,,,,,,
,,2019 - 2020,,,3.35,,,2.1,,,,,,,,,,,,
,,2020 - 2021,,,2.94,,,1.46,,,,,,,,,,,,
,,2021 - 2022,,,3.34,,,2.06,,,,,,,,,,,,
,,2022 - 2023,,,2.94,,,1.94,,,,,,,,,,,,
,Perambalur,2000 - 2001,,,,,,1.34,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.56,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.47,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.43,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.19,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.55,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,1.92,,,,,,
,,2007 - 2008,,,,,,,,,,,,1.29,,,,,,
,,2008 - 2009,,,,,,,,,,,,14.93,,,,,,
,,2009 - 2010,,,,,,,,,,,,2.14,,,,,,
,,2010 - 2011,,,,,,1.39,,,,,,,,,,,,
,,2011 - 2012,,,2.18,666.0,,1.87,,,,,,,,,,,,
,,2012 - 2013,,,,,,2.49,,,,,,,,,,,,
,,2013 - 2014,,,2.92,809.0,,2.21,,,,,,,,,,,,
,,2014 - 2015,791.0,,2.66,660.0,,2.34,,,,,,,,,,,,
,,2015 - 2016,,,3.15,930.0,,2.18,,,,,,,,,,,,
,,2016 - 2017,456.0,,3.23,751.0,,1.57,,,,,,,,,,,,
,,2017 - 2018,,,1.89,824.0,,2.46,,,,,,,,,,,,
,,2018 - 2019,560.0,,3.03,367.0,797.0,2.17,,,,,,,,,,,,
,,2019 - 2020,,,2.9,768.0,,2.48,,,,,,,,,,,,
,,2020 - 2021,,,1.96,,,2.13,,,,,,,,,,,,
,,2021 - 2022,927.0,,3.33,,,2.27,,,,,,,,,,,,
,,2022 - 2023,,,2.57,,,2.12,,,,,,,,,,,,
,Pudukkottai,2000 - 2001,,,,,,1.38,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.5,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.07,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.28,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.43,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.96,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,1.76,,,,,,
,,2007 - 2008,,,,,,,,,,,,1.19,,,,,,
,,2008 - 2009,,,,,,,,,,,,1.28,,,,,,
,,2009 - 2010,,,,,,,,,,,,1.71,,,,,,
,,2010 - 2011,,,,,,1.56,,,,,,,,,,,,
,,2011 - 2012,,,2.12,,,2.19,,,,,,,,,,,,
,,2012 - 2013,,,,,,1.97,,,,,,,,,,,,
,,2013 - 2014,,,2.29,,,1.94,,,,,,,,,,,,
,,2014 - 2015,,,3.79,,,3.1,,,,,,,,,,,,
,,2015 - 2016,,,3.95,,,2.6,,,,,,,,,,,,
,,2016 - 2017,,,2.76,,,1.78,,,,,,,,,,,,
,,2017 - 2018,,,3.59,,,1.75,,,,,,,,,,,,
,,2018 - 2019,,,2.44,,,1.93,,,,,,,,,,,,
,,2019 - 2020,,,3.56,,,2.2,,,,,,,,,,,,
,,2020 - 2021,,,2.63,,,1.71,,,,,,,,,,,,
,,2021 - 2022,,,4.04,,,1.58,,,,,,,,,,,,
,,2022 - 2023,,,2.64,,,1.79,,,,,,,,,,,,
,Ramanathapuram,2000 - 2001,,,,,,0.82,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.53,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.15,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.39,,,,,,,,,,,,
,,2004 - 2005,,,,,,2.23,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.0,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,1.25,,,,,,
,,2007 - 2008,,,,,,,,,,,,0.77,,,,,,
,,2008 - 2009,,,,,,,,,,,,1.49,,,,,,
,,2009 - 2010,,,,,,,,,,,,1.34,,,,,,
,,2010 - 2011,,,,,,1.33,,,,,,,,,,,,
,,2011 - 2012,,,1.36,114.0,251.0,2.2,,,,,,,,,,,,
,,2012 - 2013,,,,,,1.25,,,,,,,,,,,,
,,2013 - 2014,,,0.93,33.0,73.0,2.21,,,,,,,,,,,,
,,2014 - 2015,,,2.25,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.36,,,,,,,,,,,,,,,
,,2016 - 2017,,,0.39,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.1,,,,,,,,,,,,,,,
,,2018 - 2019,,,0.92,,,,,,,,,,,,,,,
,,2019 - 2020,,,2.13,1.0,2.0,2.0,,,,,,,,,,,,
,,2020 - 2021,,,1.76,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.15,1.0,3.0,3.0,,,,,,,,,,,,
,,2022 - 2023,,656.0,0.3,87.0,184.0,2.11,,,,,,,,,,,,
,Ranipet,2020 - 2021,,,2.9,,,2.49,,,,,,,,,,,,
,,2021 - 2022,,,2.9,,,2.67,,,,,,,,,,,,
,,2022 - 2023,,,3.23,,,2.92,,,,,,,,,,,,
,Salem,2000 - 2001,,,,,,1.72,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.7,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.06,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.08,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.17,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.36,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,1.51,,,,,,
,,2007 - 2008,,,,,,,,,,,,1.46,,,,,,
,,2008 - 2009,,,,,,,,,,,,1.5,,,,,,
,,2009 - 2010,,,,,,,,,,,,1.54,,,,,,
,,2010 - 2011,,,,,,2.19,,,,,,,,,,,,
,,2011 - 2012,,,3.49,,,2.2,,,,,,,,,,,,
,,2012 - 2013,,,,,,1.93,,,,,,,,,,,,
,,2013 - 2014,,,3.16,,,1.76,,,,,,,,,,,,
,,2014 - 2015,,,3.28,,,2.24,,,,,,,,,,,,
,,2015 - 2016,,,2.87,,,2.05,,,,,,,,,,,,
,,2016 - 2017,,,1.68,,,1.76,,,,,,,,,,,,
,,2017 - 2018,,,3.09,,,2.54,,,,,,,,,,,,
,,2018 - 2019,,,3.15,,,1.52,,,,,,,,,,,,
,,2019 - 2020,,,3.95,,,2.49,,,,,,,,,,,,
,,2020 - 2021,,,3.66,,,1.97,,,,,,,,,,,,
,,2021 - 2022,,,3.27,,,2.02,,,,,,,,,,,,
,,2022 - 2023,,,3.27,,,1.7,,,,,,,,,,,,
,Sivaganga,2000 - 2001,,,,,,1.67,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.68,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.61,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.38,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.41,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.81,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,1.23,,,,,,
,,2007 - 2008,,,,,,,,,,,,0.84,,,,,,
,,2008 - 2009,,,,,,,,,,,,1.47,,,,,,
,,2009 - 2010,,,,,,,,,,,,0.91,,,,,,
,,2010 - 2011,,,,,,1.19,,,,,,,,,,,,
,,2011 - 2012,,,3.75,,,2.24,,,,,,,,,,,,
,,2012 - 2013,,,,,,2.54,,,,,,,,,,,,
,,2013 - 2014,537.0,,3.63,,,1.46,,,,,,,,,,,,
,,2014 - 2015,561.0,,1.93,,,1.21,,,,,,,,,,,,
,,2015 - 2016,,,1.14,,,1.73,,,,,,,,,,,,
,,2016 - 2017,838.0,,3.24,,,0.61,,,,,,,,,,,,
,,2017 - 2018,989.0,,3.92,,,1.19,,,,,,,,,,,,
,,2018 - 2019,925.0,,3.49,,,0.87,,,,,,,,,,,,
,,2019 - 2020,935.0,,3.74,,,1.44,,,,,,,,,,,,
,,2020 - 2021,,,3.23,,,2.26,,,,,,,,,,,,
,,2021 - 2022,778.0,,3.9,,,1.34,,,,,,,,,,,,
,,2022 - 2023,937.0,,3.49,,,1.08,,,,,,,,,,,,
,Thanjavur,2000 - 2001,,,,,,1.95,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.86,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.7,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.79,,,,,,,,,,,,
,,2004 - 2005,,,,,,2.24,,,,,,,,,,,,
,,2005 - 2006,,,,,,2.47,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,2.33,,,,,,
,,2007 - 2008,,,,,,,,,,,,1.41,,,,,,
,,2008 - 2009,,,,,,,,,,,,2.22,,,,,,
,,2009 - 2010,,,,,,,,,,,,3.63,,,,,,
,,2010 - 2011,,,,,,3.76,,,,,,,,,,,,
,,2011 - 2012,,,2.97,,,3.67,,,,,,,,,,,,
,,2012 - 2013,,,,,,3.1,,,,,,,,,,,,
,,2013 - 2014,,,3.79,,,3.43,,,,,,,,,,,,
,,2014 - 2015,,,3.9,517.0,,2.88,,,,,,,,,,,,
,,2015 - 2016,,,5.05,,,3.28,,,,,,,,,,,,
,,2016 - 2017,,,3.88,635.0,995.0,1.57,,,,,,,,,,,,
,,2017 - 2018,,,4.41,,,2.46,,,,,,,,,,,,
,,2018 - 2019,,,4.65,414.0,897.0,2.17,,,,,,,,,,,,
,,2019 - 2020,,,5.62,900.0,,2.48,,,,,,,,,,,,
,,2020 - 2021,,,4.59,,,2.13,,,,,,,,,,,,
,,2021 - 2022,,,3.86,,,4.01,,,,,,,,,,,,
,,2022 - 2023,,,2.74,605.0,,2.12,,,,,,,,,,,,
,The nilgiris,2000 - 2001,,,,26.0,34.0,1.31,,,,,,,,,,,,
,,2001 - 2002,,,,8.0,10.0,1.25,,,,,,,,,,,,
,,2002 - 2003,,,,9.0,20.0,2.22,,,,,,,,,,,,
,,2003 - 2004,,,,3.0,4.0,1.33,,,,,,,,,,,,
,,2009 - 2010,,,,,,,,,,5.0,7.0,1.4,,,,,,
,,2010 - 2011,,,,3.0,6.0,2.0,,,,,,,,,,,,
,,2013 - 2014,,,,4.0,9.0,2.25,,,,,,,,,,,,
,,2014 - 2015,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2015 - 2016,,,,4.0,9.0,2.25,,,,,,,,,,,,
,,2016 - 2017,,,,4.0,6.0,1.5,,,,,,,,,,,,
,,2017 - 2018,2.0,8.0,4.0,5.0,12.0,2.4,,,,,,,,,,,,
,Theni,2000 - 2001,,,,,,1.97,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.23,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.87,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.2,,,,,,,,,,,,
,,2004 - 2005,,,,,,2.39,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.81,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,2.15,,,,,,
,,2007 - 2008,,,,,,,,,,,,1.97,,,,,,
,,2008 - 2009,,,,,,,,,,,,1.79,,,,,,
,,2009 - 2010,,,,,,,,,,,,2.2,,,,,,
,,2010 - 2011,,,,,,1.91,,,,,,,,,,,,
,,2011 - 2012,369.0,,3.75,,,2.2,,,,,,,,,,,,
,,2012 - 2013,,,,,,5.21,,,,,,,,,,,,
,,2013 - 2014,464.0,,3.63,,,2.05,,,,,,,,,,,,
,,2014 - 2015,518.0,,3.44,,,3.52,,,,,,,,,,,,
,,2015 - 2016,221.0,728.0,3.29,,,3.39,,,,,,,,,,,,
,,2016 - 2017,414.0,,3.23,,,2.55,,,,,,,,,,,,
,,2017 - 2018,242.0,948.0,3.92,,,2.17,,,,,,,,,,,,
,,2018 - 2019,623.0,,3.49,,,3.32,,,,,,,,,,,,
,,2019 - 2020,548.0,,3.74,,,2.93,,,,,,,,,,,,
,,2020 - 2021,488.0,,3.23,,,2.63,,,,,,,,,,,,
,,2021 - 2022,,,3.9,,,2.96,,,,,,,,,,,,
,,2022 - 2023,729.0,,3.49,985.0,,2.69,,,,,,,,,,,,
,Thenkasi,2020 - 2021,325.0,,3.23,494.0,,2.13,,,,,,,,,,,,
,,2021 - 2022,263.0,,3.9,564.0,,2.27,,,,,,,,,,,,
,,2022 - 2023,32.0,112.0,3.5,566.0,,2.12,,,,,,,,,,,,
,Thiruvallur,2000 - 2001,,,,,,2.87,,,,,,,,,,,,
,,2001 - 2002,,,,,,3.76,,,,,,,,,,,,
,,2002 - 2003,,,,,,3.03,,,,,,,,,,,,
,,2003 - 2004,,,,,,3.12,,,,,,,,,,,,
,,2004 - 2005,,,,,,3.47,,,,,,,,,,,,
,,2005 - 2006,,,,,,3.01,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,3.73,,,,,,
,,2007 - 2008,,,,,,,,,,,,3.48,,,,,,
,,2008 - 2009,,,,,,,,,,,,3.85,,,,,,
,,2009 - 2010,,,,,,,,,,,,4.28,,,,,,
,,2010 - 2011,,,,,,3.52,,,,,,,,,,,,
,,2011 - 2012,,,4.46,,,2.33,,,,,,,,,,,,
,,2012 - 2013,,,,,,4.58,,,,,,,,,,,,
,,2013 - 2014,,,5.66,,,3.07,,,,,,,,,,,,
,,2014 - 2015,,,4.97,,,4.08,,,,,,,,,,,,
,,2015 - 2016,,,4.59,,,4.44,,,,,,,,,,,,
,,2016 - 2017,,,5.15,,,1.57,,,,,,,,,,,,
,,2017 - 2018,,,4.71,,,2.46,,,,,,,,,,,,
,,2018 - 2019,,,3.45,,,2.17,,,,,,,,,,,,
,,2019 - 2020,,,4.95,790.0,,2.48,,,,,,,,,,,,
,,2020 - 2021,,,3.89,,,2.13,,,,,,,,,,,,
,,2021 - 2022,,,4.8,,,2.27,,,,,,,,,,,,
,,2022 - 2023,,,4.62,,,2.12,,,,,,,,,,,,
,Thiruvarur,2000 - 2001,,,,878.0,,2.36,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.72,,,,,,,,,,,,
,,2002 - 2003,,,,,,2.25,,,,,,,,,,,,
,,2003 - 2004,,,,,,2.36,,,,,,,,,,,,
,,2004 - 2005,,,,,,2.49,,,,,,,,,,,,
,,2005 - 2006,,,,,,2.62,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,2.55,,,,,,
,,2007 - 2008,,,,,,,,,,,,2.2,,,,,,
,,2008 - 2009,,,,,,,,,,,,2.01,,,,,,
,,2009 - 2010,,,,,,,,,,,,3.63,,,,,,
,,2010 - 2011,,,,,,5.04,,,,,,,,,,,,
,,2011 - 2012,,,5.65,20.0,44.0,2.2,,,,,,,,,,,,
,,2012 - 2013,,,,,,3.22,,,,,,,,,,,,
,,2013 - 2014,,,5.22,,,,,,,,,,,,,,,
,,2014 - 2015,,,4.95,,,,,,,,,,,,,,,
,,2015 - 2016,,,5.69,,,,,,,,,,,,,,,
,,2016 - 2017,,,3.67,,,,,,,,,,,,,,,
,,2017 - 2018,,,4.54,160.0,394.0,2.46,,,,,,,,,,,,
,,2018 - 2019,,,4.4,9.0,20.0,2.22,,,,,,,,,,,,
,,2019 - 2020,,,4.96,114.0,283.0,2.48,,,,,,,,,,,,
,,2020 - 2021,,,3.33,460.0,980.0,2.13,,,,,,,,,,,,
,,2021 - 2022,,,3.72,255.0,580.0,2.27,,,,,,,,,,,,
,,2022 - 2023,,,2.66,380.0,804.0,2.12,,,,,,,,,,,,
,Thoothukudi,2000 - 2001,,,,,,1.65,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.83,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.46,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.4,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.43,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.68,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,1.46,,,,,,
,,2007 - 2008,,,,,,,,,,,,1.6,,,,,,
,,2008 - 2009,,,,,,,,,,885.0,,1.3,,,,,,
,,2009 - 2010,,,,,,,,,,645.0,896.0,1.39,,,,,,
,,2010 - 2011,,,,517.0,,2.23,,,,,,,,,,,,
,,2011 - 2012,242.0,908.0,3.75,266.0,586.0,2.2,,,,,,,,,,,,
,,2012 - 2013,,,,512.0,,2.6,,,,,,,,,,,,
,,2013 - 2014,287.0,,3.63,230.0,509.0,2.21,,,,,,,,,,,,
,,2014 - 2015,527.0,,3.45,294.0,687.0,2.34,,,,,,,,,,,,
,,2015 - 2016,710.0,,3.29,347.0,755.0,2.18,,,,,,,,,,,,
,,2016 - 2017,667.0,,3.24,121.0,189.0,1.56,,,,,,,,,,,,
,,2017 - 2018,522.0,,3.92,83.0,204.0,2.46,,,,,,,,,,,,
,,2018 - 2019,465.0,,3.49,129.0,279.0,2.16,,,,,,,,,,,,
,,2019 - 2020,820.0,,3.75,19.0,48.0,2.53,,,,,,,,,,,,
,,2020 - 2021,977.0,,3.23,132.0,281.0,2.13,,,,,,,,,,,,
,,2021 - 2022,946.0,,3.9,413.0,940.0,2.28,,,,,,,,,,,,
,,2022 - 2023,612.0,,3.49,168.0,356.0,2.12,,,,,,,,,,,,
,Tiruchirappalli,2000 - 2001,,,,,,1.44,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.84,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.73,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.63,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.74,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.8,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,2.26,,,,,,
,,2007 - 2008,,,,,,,,,,,,1.85,,,,,,
,,2008 - 2009,,,,,,,,,,,,1.61,,,,,,
,,2009 - 2010,,,,,,,,,,,,1.75,,,,,,
,,2010 - 2011,,,,,,1.81,,,,,,,,,,,,
,,2011 - 2012,,,3.52,,,1.67,,,,,,,,,,,,
,,2012 - 2013,,,,,,2.53,,,,,,,,,,,,
,,2013 - 2014,,,3.69,,,2.29,,,,,,,,,,,,
,,2014 - 2015,,,3.14,,,2.22,,,,,,,,,,,,
,,2015 - 2016,,,2.42,,,2.1,,,,,,,,,,,,
,,2016 - 2017,,,2.07,,,1.1,,,,,,,,,,,,
,,2017 - 2018,,,2.56,,,2.88,,,,,,,,,,,,
,,2018 - 2019,,,2.71,,,3.11,,,,,,,,,,,,
,,2019 - 2020,,,2.63,,,2.22,,,,,,,,,,,,
,,2020 - 2021,,,3.41,,,2.42,,,,,,,,,,,,
,,2021 - 2022,,,3.9,,,1.18,,,,,,,,,,,,
,,2022 - 2023,,,3.48,,,1.38,,,,,,,,,,,,
,Tirunelveli,2000 - 2001,,,,,,2.07,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.66,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.53,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.77,,,,,,,,,,,,
,,2004 - 2005,,,,,,2.25,,,,,,,,,,,,
,,2005 - 2006,,,,,,2.1,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,1.67,,,,,,
,,2007 - 2008,,,,,,,,,,,,1.77,,,,,,
,,2008 - 2009,,,,,,,,,,,,1.75,,,,,,
,,2009 - 2010,,,,,,,,,,,,1.5,,,,,,
,,2010 - 2011,,,,,,2.21,,,,,,,,,,,,
,,2011 - 2012,402.0,,3.75,688.0,,2.6,,,,,,,,,,,,
,,2012 - 2013,,,,,,2.61,,,,,,,,,,,,
,,2013 - 2014,246.0,893.0,3.63,388.0,859.0,2.21,,,,,,,,,,,,
