state,district,year,potato_kharif_area_hectare,potato_kharif_production_tonne,potato_kharif_yield_tonne_per_hectare,potato_rabi_area_hectare,potato_rabi_production_tonne,potato_rabi_yield_tonne_per_hectare,potato_whole_year_area_hectare,potato_whole_year_production_tonne,potato_whole_year_yield_tonne_per_hectare,potato_winter_area_hectare,potato_winter_production_tonne,potato_winter_yield_tonne_per_hectare,potato_summer_area_hectare,potato_summer_production_tonne,potato_summer_yield_tonne_per_hectare
,,2004 - 2005,,,,,,,680.0,,11.6,,,,,,
,,2005 - 2006,,,,,,,688.0,,7.11,,,,,,
,,2006 - 2007,,,,,,,723.0,,9.13,,,,,,
,,2007 - 2008,715.0,,10.31,,,,,,,,,,,,
,,2008 - 2009,433.0,,7.24,107.0,576.0,5.38,,,,,,,,,
,,2009 - 2010,83.0,435.0,5.24,380.0,,7.6,,,,,,,,,
,,2010 - 2011,81.0,432.0,5.33,374.0,,7.17,,,,,,,,,
,,2011 - 2012,79.0,400.0,5.06,376.0,,7.69,,,,,,,,,
,,2012 - 2013,88.0,427.0,4.85,371.0,,7.56,,,,,,,,,
,,2013 - 2014,88.0,411.0,4.67,384.0,,7.43,,,,,,,,,
,,2014 - 2015,98.0,428.0,4.37,389.0,,7.2,,,,,,,,,
,,2015 - 2016,88.0,457.0,5.19,384.0,,7.55,,,,,,,,,
,,2016 - 2017,80.0,428.0,5.35,374.0,,7.67,,,,,,,,,
,,2017 - 2018,80.0,433.0,5.41,374.0,,7.94,,,,,,,,,
,,2018 - 2019,270.0,,5.41,562.0,,7.94,,,,,,,,,
,,2019 - 2020,268.0,,5.41,566.0,,8.12,,,,,,,,,
,,2020 - 2021,705.0,,8.74,248.0,,8.75,,,,,,,,,
,,2021 - 2022,497.0,,8.74,298.0,,8.74,,,,,,,,,
,Hamirpur,2001 - 2002,,,,,,,11.0,86.0,7.82,,,,,,
,,2002 - 2003,,,,,,,8.0,80.0,10.0,,,,,,
,,2003 - 2004,,,,,,,7.0,81.0,11.57,,,,,,
,,2004 - 2005,,,,,,,4.0,40.0,10.0,,,,,,
,,2005 - 2006,,,,,,,9.0,20.0,2.22,,,,,,
,,2006 - 2007,,,,,,,2.0,20.0,10.0,,,,,,
,,2007 - 2008,6.0,52.0,8.67,,,,,,,,,,,,
,,2008 - 2009,,,,1.0,2.0,2.0,,,,,,,,,
,,2009 - 2010,,,,3.0,2.0,0.67,,,,,,,,,
,,2010 - 2011,,,,5.0,9.0,1.8,,,,,,,,,
,,2011 - 2012,,,,7.0,17.0,2.43,,,,,,,,,
,,2012 - 2013,,,,19.0,28.0,1.47,,,,,,,,,
,,2013 - 2014,,,,11.0,14.0,1.27,,,,,,,,,
,,2014 - 2015,,,,24.0,38.0,1.58,,,,,,,,,
,,2015 - 2016,,,,11.0,16.0,1.45,,,,,,,,,
,,2016 - 2017,,,,1.0,1.0,1.0,,,,,,,,,
,,2017 - 2018,,,,7.0,11.0,1.57,,,,,,,,,
,,2018 - 2019,,,,3.0,4.0,1.33,,,,,,,,,
,,2019 - 2020,,,,3.0,23.0,7.67,,,,,,,,,
,,2020 - 2021,1.0,4.0,4.0,3.0,13.0,4.33,,,,,,,,,
,,2021 - 2022,1.0,4.0,4.0,3.0,13.0,4.33,,,,,,,,,
,Kangra,2001 - 2002,,,,,,,,,7.78,,,,,,
,,2002 - 2003,,,,,,,,,9.67,,,,,,
,,2003 - 2004,,,,,,,,,13.22,,,,,,
,,2004 - 2005,,,,,,,,,12.72,,,,,,
,,2005 - 2006,,,,,,,,,2.6,,,,,,
,,2006 - 2007,,,,,,,,,7.69,,,,,,
,,2007 - 2008,,,7.88,,,,,,,,,,,,
,,2008 - 2009,231.0,,11.55,,,9.16,,,,,,,,,
,,2009 - 2010,181.0,,13.5,,,9.57,,,,,,,,,
,,2010 - 2011,187.0,,13.21,,,9.21,,,,,,,,,
,,2011 - 2012,187.0,,12.88,,,9.54,,,,,,,,,
,,2012 - 2013,172.0,,14.08,,,9.45,,,,,,,,,
,,2013 - 2014,192.0,,12.63,,,9.92,,,,,,,,,
,,2014 - 2015,184.0,,13.99,,,9.5,,,,,,,,,
,,2015 - 2016,181.0,,11.88,,,9.6,,,,,,,,,
,,2016 - 2017,177.0,,13.59,,,9.59,,,,,,,,,
,,2017 - 2018,177.0,,12.47,,,9.67,,,,,,,,,
,,2018 - 2019,996.0,,9.67,153.0,,12.46,,,,,,,,,
,,2019 - 2020,998.0,,9.67,158.0,,13.47,,,,,,,,,
,,2020 - 2021,158.0,755.0,4.78,,,8.65,,,,,,,,,
,,2021 - 2022,111.0,605.0,5.45,982.0,,8.65,,,,,,,,,
,Kinnaur,2001 - 2002,,,,,,,199.0,,5.03,,,,,,
,,2002 - 2003,,,,,,,239.0,,6.61,,,,,,
,,2003 - 2004,,,,,,,169.0,,7.86,,,,,,
,,2004 - 2005,,,,,,,183.0,,10.96,,,,,,
,,2005 - 2006,,,,,,,134.0,,8.04,,,,,,
,,2006 - 2007,,,,,,,143.0,,8.71,,,,,,
,,2007 - 2008,156.0,,8.81,,,,,,,,,,,,
,,2008 - 2009,135.0,983.0,7.28,,,,,,,,,,,,
,,2009 - 2010,97.0,755.0,7.78,,,,,,,,,,,,
,,2010 - 2011,94.0,745.0,7.93,,,,,,,,,,,,
,,2011 - 2012,119.0,755.0,6.34,,,,,,,,,,,,
,,2012 - 2013,115.0,751.0,6.53,,,,,,,,,,,,
,,2013 - 2014,96.0,725.0,7.55,,,,,,,,,,,,
,,2014 - 2015,119.0,754.0,6.34,,,,,,,,,,,,
,,2015 - 2016,99.0,755.0,7.63,,,,,,,,,,,,
,,2016 - 2017,99.0,755.0,7.63,,,,,,,,,,,,
,,2017 - 2018,99.0,765.0,7.73,,,,,,,,,,,,
,,2018 - 2019,,,,126.0,973.0,7.72,,,,,,,,,
,,2019 - 2020,,,,135.0,,8.73,,,,,,,,,
,,2020 - 2021,85.0,681.0,8.01,,,,,,,,,,,,
,,2021 - 2022,64.0,513.0,8.02,,,,,,,,,,,,
,Kullu,2001 - 2002,,,,,,,,,7.93,,,,,,
,,2002 - 2003,,,,,,,,,8.25,,,,,,
,,2003 - 2004,,,,,,,,,8.67,,,,,,
,,2004 - 2005,,,,,,,,,5.68,,,,,,
,,2005 - 2006,,,,,,,,,5.03,,,,,,
,,2006 - 2007,,,,,,,,,5.66,,,,,,
,,2007 - 2008,,,8.41,,,,,,,,,,,,
,,2008 - 2009,549.0,,20.71,464.0,,7.45,,,,,,,,,
,,2009 - 2010,417.0,,22.65,365.0,,8.59,,,,,,,,,
,,2010 - 2011,401.0,,22.66,362.0,,8.59,,,,,,,,,
,,2011 - 2012,409.0,,23.12,378.0,,8.81,,,,,,,,,
,,2012 - 2013,400.0,,23.71,350.0,,9.32,,,,,,,,,
,,2013 - 2014,421.0,,22.38,356.0,,8.77,,,,,,,,,
,,2014 - 2015,425.0,,22.56,352.0,,8.9,,,,,,,,,
,,2015 - 2016,421.0,,15.21,360.0,,8.61,,,,,,,,,
,,2016 - 2017,411.0,,23.08,365.0,,8.59,,,,,,,,,
,,2017 - 2018,411.0,,20.58,365.0,,8.59,,,,,,,,,
,,2018 - 2019,408.0,,8.59,652.0,,20.58,,,,,,,,,
,,2019 - 2020,416.0,,8.59,672.0,,14.58,,,,,,,,,
,,2020 - 2021,303.0,,12.19,358.0,,12.19,,,,,,,,,
,,2021 - 2022,507.0,,12.19,362.0,,12.19,,,,,,,,,
,Lahul and spiti,2001 - 2002,,,,,,,813.0,,14.44,,,,,,
,,2002 - 2003,,,,,,,813.0,,13.7,,,,,,
,,2003 - 2004,,,,,,,807.0,,15.79,,,,,,
,,2004 - 2005,,,,,,,759.0,,13.68,,,,,,
,,2005 - 2006,,,,,,,759.0,,17.89,,,,,,
,,2006 - 2007,,,,,,,755.0,,29.2,,,,,,
,,2007 - 2008,819.0,,18.49,,,,,,,,,,,,
,,2008 - 2009,824.0,,21.13,,,,,,,,,,,,
,,2009 - 2010,639.0,,24.13,,,,,,,,,,,,
,,2010 - 2011,657.0,,22.98,,,,,,,,,,,,
,,2011 - 2012,628.0,,23.12,,,,,,,,,,,,
,,2012 - 2013,666.0,,22.96,,,,,,,,,,,,
,,2013 - 2014,621.0,,24.14,,,,,,,,,,,,
,,2014 - 2015,642.0,,23.6,,,,,,,,,,,,
,,2015 - 2016,672.0,,18.1,,,,,,,,,,,,
,,2016 - 2017,670.0,,22.63,,,,,,,,,,,,
,,2017 - 2018,670.0,,22.63,,,,,,,,,,,,
,,2018 - 2019,,,,625.0,,23.21,,,,,,,,,
,,2019 - 2020,,,,640.0,,23.21,,,,,,,,,
,,2020 - 2021,676.0,,18.25,676.0,,18.25,,,,,,,,,
,,2021 - 2022,501.0,,18.25,,,,,,,,,,,,
,Mandi,2001 - 2002,,,,,,,,,8.73,,,,,,
,,2002 - 2003,,,,,,,,,14.05,,,,,,
,,2003 - 2004,,,,,,,,,13.28,,,,,,
,,2004 - 2005,,,,,,,,,14.51,,,,,,
,,2005 - 2006,,,,,,,,,7.52,,,,,,
,,2006 - 2007,,,,,,,,,8.38,,,,,,
,,2007 - 2008,,,9.9,,,,,,,,,,,,
,,2008 - 2009,,,7.89,386.0,634.0,1.64,,,,,,,,,
,,2009 - 2010,,,7.91,286.0,492.0,1.72,,,,,,,,,
,,2010 - 2011,,,7.88,285.0,493.0,1.73,,,,,,,,,
,,2011 - 2012,,,7.68,286.0,492.0,1.72,,,,,,,,,
,,2012 - 2013,,,7.98,281.0,488.0,1.74,,,,,,,,,
,,2013 - 2014,,,7.84,268.0,468.0,1.75,,,,,,,,,
,,2014 - 2015,,,7.76,305.0,524.0,1.72,,,,,,,,,
,,2015 - 2016,,,7.71,286.0,492.0,1.72,,,,,,,,,
,,2016 - 2017,,,7.71,286.0,492.0,1.72,,,,,,,,,
,,2017 - 2018,,,7.76,286.0,512.0,1.79,,,,,,,,,
,,2018 - 2019,206.0,368.0,1.79,,,7.76,,,,,,,,,
,,2019 - 2020,306.0,,5.79,,,8.76,,,,,,,,,
,,2020 - 2021,,,8.66,447.0,,7.67,,,,,,,,,
,,2021 - 2022,,,8.66,489.0,,7.69,,,,,,,,,
,Shimla,2002 - 2003,,,,,,,,,6.61,,,,,,
,,2003 - 2004,,,,,,,,,10.76,,,,,,
,,2004 - 2005,,,,,,,,,8.56,,,,,,
,,2005 - 2006,,,,,,,,,6.47,,,,,,
,,2006 - 2007,,,,,,,,,9.0,,,,,,
,,2007 - 2008,,,7.73,,,,,,,,,,,,
,,2008 - 2009,,,6.53,980.0,,3.73,,,,,,,,,
,,2009 - 2010,,,6.09,824.0,,3.89,,,,,,,,,
,,2010 - 2011,,,6.08,801.0,,4.01,,,,,,,,,
,,2011 - 2012,,,6.09,831.0,,3.97,,,,,,,,,
,,2012 - 2013,,,6.25,839.0,,3.94,,,,,,,,,
,,2013 - 2014,,,6.59,851.0,,3.92,,,,,,,,,
,,2014 - 2015,,,6.19,856.0,,2.93,,,,,,,,,
,,2015 - 2016,,,6.09,831.0,,3.97,,,,,,,,,
,,2016 - 2017,,,6.09,831.0,,3.97,,,,,,,,,
,,2017 - 2018,,,6.13,831.0,,3.97,,,,,,,,,
,,2018 - 2019,528.0,,3.97,,,6.13,,,,,,,,,
,,2019 - 2020,520.0,,8.97,,,14.13,,,,,,,,,
,,2020 - 2021,642.0,,7.79,434.0,,7.65,,,,,,,,,
,,2021 - 2022,571.0,,7.79,419.0,,7.65,,,,,,,,,
,Sirmaur,2001 - 2002,,,,,,,,,7.9,,,,,,
,,2002 - 2003,,,,,,,,,13.61,,,,,,
,,2003 - 2004,,,,,,,,,10.79,,,,,,
,,2004 - 2005,,,,,,,,,5.73,,,,,,
,,2005 - 2006,,,,,,,,,6.76,,,,,,
,,2006 - 2007,,,,,,,,,15.31,,,,,,
,,2007 - 2008,968.0,,8.29,,,,,,,,,,,,
,,2008 - 2009,744.0,,8.26,147.0,296.0,2.01,,,,,,,,,
,,2009 - 2010,624.0,,8.44,103.0,177.0,1.72,,,,,,,,,
,,2010 - 2011,652.0,,8.67,109.0,198.0,1.82,,,,,,,,,
,,2011 - 2012,623.0,,9.02,101.0,197.0,1.95,,,,,,,,,
,,2012 - 2013,624.0,,8.92,85.0,185.0,2.18,,,,,,,,,
,,2013 - 2014,621.0,,9.06,100.0,198.0,1.98,,,,,,,,,
,,2014 - 2015,651.0,,8.78,124.0,198.0,1.6,,,,,,,,,
,,2015 - 2016,623.0,,9.02,101.0,177.0,1.75,,,,,,,,,
,,2016 - 2017,623.0,,9.02,101.0,177.0,1.75,,,,,,,,,
,,2017 - 2018,623.0,,9.02,101.0,278.0,2.75,,,,,,,,,
,,2018 - 2019,98.0,269.0,2.74,630.0,,9.02,,,,,,,,,
,,2019 - 2020,102.0,689.0,6.75,635.0,,10.02,,,,,,,,,
,,2020 - 2021,302.0,,8.08,179.0,,7.91,,,,,,,,,
,,2021 - 2022,381.0,,8.08,164.0,,16.7,,,,,,,,,
,Solan,2001 - 2002,,,,,,,109.0,851.0,7.81,,,,,,
,,2002 - 2003,,,,,,,91.0,908.0,9.98,,,,,,
,,2003 - 2004,,,,,,,104.0,,11.53,,,,,,
,,2004 - 2005,,,,,,,84.0,837.0,9.96,,,,,,
,,2005 - 2006,,,,,,,122.0,638.0,5.23,,,,,,
,,2006 - 2007,,,,,,,83.0,483.0,5.82,,,,,,
,,2007 - 2008,64.0,159.0,2.48,,,,,,,,,,,,
,,2008 - 2009,5.0,50.0,10.0,72.0,95.0,1.32,,,,,,,,,
,,2009 - 2010,4.0,47.0,11.75,54.0,79.0,1.46,,,,,,,,,
,,2010 - 2011,9.0,31.0,3.44,56.0,70.0,1.25,,,,,,,,,
,,2011 - 2012,3.0,29.0,9.67,56.0,76.0,1.36,,,,,,,,,
,,2012 - 2013,17.0,36.0,2.12,55.0,75.0,1.36,,,,,,,,,
,,2013 - 2014,13.0,37.0,2.85,65.0,70.0,1.08,,,,,,,,,
,,2014 - 2015,23.0,52.0,2.26,63.0,117.0,1.86,,,,,,,,,
,,2015 - 2016,3.0,37.0,12.33,59.0,75.0,1.27,,,,,,,,,
,,2016 - 2017,3.0,37.0,12.33,56.0,70.0,1.25,,,,,,,,,
,,2017 - 2018,13.0,59.0,4.54,56.0,258.0,4.61,,,,,,,,,
,,2018 - 2019,54.0,248.0,4.59,12.0,54.0,4.5,,,,,,,,,
,,2019 - 2020,58.0,268.0,4.62,10.0,46.0,4.6,,,,,,,,,
,,2020 - 2021,10.0,69.0,6.9,62.0,400.0,6.45,,,,,,,,,
,,2021 - 2022,8.0,56.0,7.0,79.0,511.0,6.47,,,,,,,,,
,Una,2001 - 2002,,,,,,,309.0,,9.84,,,,,,
,,2002 - 2003,,,,,,,91.0,780.0,8.57,,,,,,
,,2003 - 2004,,,,,,,639.0,,11.53,,,,,,
,,2004 - 2005,,,,,,,792.0,,9.91,,,,,,
,,2005 - 2006,,,,,,,866.0,,7.88,,,,,,
,,2006 - 2007,,,,,,,821.0,,7.44,,,,,,
,,2007 - 2008,859.0,,8.97,,,,,,,,,,,,
,,2008 - 2009,363.0,,9.92,320.0,,9.88,,,,,,,,,
,,2009 - 2010,279.0,,8.33,254.0,,11.15,,,,,,,,,
,,2010 - 2011,270.0,,8.7,259.0,,10.97,,,,,,,,,
,,2011 - 2012,270.0,,8.46,259.0,,10.38,,,,,,,,,
,,2012 - 2013,277.0,,10.42,268.0,,10.78,,,,,,,,,
,,2013 - 2014,264.0,,8.71,251.0,,11.2,,,,,,,,,
,,2014 - 2015,284.0,,8.76,281.0,,10.31,,,,,,,,,
,,2015 - 2016,273.0,,8.47,261.0,,10.15,,,,,,,,,
,,2016 - 2017,270.0,,8.61,259.0,,10.99,,,,,,,,,
,,2017 - 2018,270.0,,8.61,259.0,,10.99,,,,,,,,,
,,2018 - 2019,340.0,,10.99,,,8.61,,,,,,,,,
,,2019 - 2020,302.0,,7.99,998.0,,8.61,,,,,,,,,
,,2020 - 2021,936.0,,11.43,961.0,,11.44,,,,,,,,,
,,2021 - 2022,945.0,,11.44,,,11.44,,,,,,,,,
Jammu and Kashmir,Anantnag,2001 - 2002,,,,,,,41.0,478.0,11.66,,,,,,
,,2002 - 2003,,,,,,,26.0,323.0,12.42,,,,,,
,,2003 - 2004,,,,,,,29.0,445.0,15.34,,,,,,
,,2005 - 2006,43.0,585.7,13.62,,,,,,,,,,,,
,,2006 - 2007,7.0,74.6,10.66,17.0,198.6,11.68,,,,,,,,,
,,2007 - 2008,20.0,39.0,1.95,4.0,46.7,11.68,,,,,,,,,
,,2008 - 2009,,,,32.0,181.8,5.68,,,,,,,,,
,,2009 - 2010,,,,24.0,267.6,11.15,,,,,,,,,
,,2010 - 2011,52.0,240.4,4.62,20.0,225.2,11.26,,,,,,,,,
,,2011 - 2012,59.0,454.5,7.7,20.0,179.6,8.98,,,,,,,,,
,,2012 - 2013,55.0,546.1,9.93,20.0,179.3,8.97,,,,,,,,,
,,2013 - 2014,,,,20.0,179.3,8.97,,,,,,,,,
,,2014 - 2015,99.0,508.3,5.13,,,,,,,,,,,,
,,2015 - 2016,88.0,700.7,7.96,61.0,570.5,9.35,,,,,,,,,
,,2016 - 2017,49.0,476.6,9.73,29.0,376.6,12.99,,,,,,,,,
,,2017 - 2018,31.0,,47.8,50.0,703.4,14.07,,,,,,,,,
,,2018 - 2019,30.0,,47.8,19.0,241.4,12.71,,,,,,,,,
,,2019 - 2020,30.0,345.8,11.53,10.0,81.06,8.11,,,,,,,,,
,,2020 - 2021,31.0,209.9,6.77,19.0,221.47,11.66,,,,,,,,,
,,2021 - 2022,,,,15.0,123.1,8.21,,,,,,,,,
,,2022 - 2023,,,,8.0,68.8,8.6,,,,,,,,,
,Badgam,2001 - 2002,,,,,,,199.0,,13.62,,,,,,
,,2002 - 2003,,,,,,,207.0,,13.52,,,,,,
,,2003 - 2004,,,,,,,192.0,,12.55,,,,,,
,,2006 - 2007,,,,187.0,,11.72,,,,,,,,,
,,2007 - 2008,141.0,793.2,5.63,187.0,,11.72,,,,,,,,,
,,2008 - 2009,,,,158.0,730.7,4.62,,,,,,,,,
,,2009 - 2010,356.0,,8.73,464.0,,12.94,,,,,,,,,
,,2010 - 2011,73.0,220.8,3.02,487.0,,12.94,,,,,,,,,
,,2011 - 2012,64.0,197.1,3.08,470.0,,9.43,,,,,,,,,
,,2012 - 2013,67.0,507.3,7.57,491.0,,12.39,,,,,,,,,
,,2013 - 2014,,,,491.0,,12.39,,,,,,,,,
,,2014 - 2015,17.0,74.8,4.4,,,,,,,,,,,,
,,2015 - 2016,50.0,193.2,3.86,539.0,,9.35,,,,,,,,,
,,2016 - 2017,,,,149.0,,18.15,,,,,,,,,
,,2017 - 2018,43.0,232.7,5.41,247.0,,14.63,,,,,,,,,
,,2018 - 2019,,,,255.0,,12.71,,,,,,,,,
,,2019 - 2020,26.0,299.7,11.53,218.0,,12.55,,,,,,,,,
,,2020 - 2021,26.0,181.9,7.0,274.0,,18.33,,,,,,,,,
,,2021 - 2022,,,,241.0,,16.46,,,,,,,,,
,,2022 - 2023,,,,240.0,,17.68,,,,,,,,,
,Bandipora,2007 - 2008,382.0,,6.86,56.0,504.8,9.01,,,,,,,,,
,,2008 - 2009,,,,58.0,,37.75,,,,,,,,,
,,2009 - 2010,337.0,,6.14,75.0,451.3,6.02,,,,,,,,,
,,2010 - 2011,336.0,331.5,0.99,75.0,451.7,6.02,,,,,,,,,
,,2011 - 2012,334.0,,11.15,1.0,7.2,7.2,,,,,,,,,
,,2012 - 2013,334.0,,11.25,97.0,,10.56,,,,,,,,,
,,2013 - 2014,,,,97.0,,10.56,,,,,,,,,
,,2014 - 2015,431.0,,12.3,,,,,,,,,,,,
,,2015 - 2016,382.0,,10.75,122.0,,9.35,,,,,,,,,
,,2016 - 2017,385.0,,11.38,122.0,893.1,7.32,,,,,,,,,
,,2017 - 2018,347.0,,11.23,122.0,,9.37,,,,,,,,,
,,2018 - 2019,384.0,,11.23,110.0,,16.34,,,,,,,,,
,,2019 - 2020,384.0,,12.89,110.0,803.3,7.3,,,,,,,,,
,,2020 - 2021,384.0,,7.0,121.0,,9.46,,,,,,,,,
,,2021 - 2022,,,,121.0,,9.46,,,,,,,,,
,,2022 - 2023,,,,122.0,,9.41,,,,,,,,,
,Baramulla,2001 - 2002,,,,,,,308.0,,10.98,,,,,,
,,2002 - 2003,,,,,,,301.0,,6.89,,,,,,
,,2003 - 2004,,,,,,,266.0,,6.72,,,,,,
,,2005 - 2006,287.0,,12.26,,,,,,,,,,,,
,,2006 - 2007,381.0,,6.68,56.0,504.8,9.01,,,,,,,,,
,,2009 - 2010,4.0,28.4,7.1,,,,,,,,,,,,
,,2011 - 2012,5.0,22.2,4.44,,,,,,,,,,,,
,,2014 - 2015,1.0,10.6,10.6,,,,,,,,,,,,
,,2015 - 2016,1.0,8.0,8.0,,,,,,,,,,,,
,,2016 - 2017,2.0,19.5,9.75,,,,,,,,,,,,
,,2017 - 2018,1.0,12.1,12.1,,,,,,,,,,,,
,,2018 - 2019,90.0,,12.23,,,,,,,,,,,,
,,2019 - 2020,90.0,,11.53,,,,,,,,,,,,
,,2020 - 2021,1.0,7.0,7.0,,,,,,,,,,,,
,Doda,2001 - 2002,,,,,,,80.0,782.0,9.78,,,,,,
,,2002 - 2003,,,,,,,64.0,168.0,2.63,,,,,,
,,2003 - 2004,,,,,,,87.0,454.0,5.22,,,,,,
,,2005 - 2006,36.0,88.3,2.45,,,,,,,,,,,,
,,2006 - 2007,55.0,178.4,3.24,,,,,,,,,,,,
,,2007 - 2008,22.0,58.3,2.65,,,,,,,,,,,,
,,2011 - 2012,37.0,383.3,10.36,,,,,,,,,,,,
,,2014 - 2015,15.0,132.6,8.84,,,,,,,,,,,,
,,2015 - 2016,87.0,310.0,3.56,,,,,,,,,,,,
,,2016 - 2017,5.0,19.6,3.92,1.0,9.8,9.8,,,,,,,,,
,,2017 - 2018,53.0,460.3,8.68,2.0,22.8,11.4,,,,,,,,,
,,2018 - 2019,41.0,335.0,8.17,6.0,49.9,8.32,,,,,,,,,
,,2019 - 2020,108.0,500.7,4.64,6.0,5.93,0.99,,,,,,,,,
,,2020 - 2021,118.0,310.1,2.63,7.0,,153.08,,,,,,,,,
,,2021 - 2022,,,,9.0,0.0,0.0,,,,,,,,,
,,2022 - 2023,,,,9.0,112.4,12.49,,,,,,,,,
,Ganderbal,2007 - 2008,29.0,163.1,5.62,,,,,,,,,,,,
,,2010 - 2011,29.0,59.1,2.04,,,,,,,,,,,,
,,2011 - 2012,29.0,107.8,3.72,,,,,,,,,,,,
,,2012 - 2013,29.0,103.2,3.56,,,,,,,,,,,,
,,2014 - 2015,12.0,10.6,0.88,,,,,,,,,,,,
,,2015 - 2016,79.0,629.0,7.96,55.0,514.4,9.35,,,,,,,,,
,,2016 - 2017,79.0,768.5,9.73,66.0,857.1,12.99,,,,,,,,,
,,2017 - 2018,79.0,959.7,12.15,26.0,282.9,10.88,,,,,,,,,
,,2018 - 2019,76.0,929.5,12.23,94.0,,12.71,,,,,,,,,
,,2019 - 2020,76.0,876.1,11.53,96.0,,11.42,,,,,,,,,
,,2020 - 2021,79.0,265.6,3.36,97.0,,14.95,,,,,,,,,
,,2021 - 2022,,,,60.0,,26.8,,,,,,,,,
,,2022 - 2023,,,,60.0,,19.51,,,,,,,,,
,Jammu,2001 - 2002,,,,,,,110.0,,14.34,,,,,,
,,2002 - 2003,,,,,,,140.0,,12.46,,,,,,
,,2003 - 2004,,,,,,,21.0,261.0,12.43,,,,,,
,,2005 - 2006,79.0,303.3,3.84,,,,,,,,,,,,
,,2006 - 2007,98.0,386.1,3.94,115.0,,35.5,,,,,,,,,
,,2007 - 2008,78.0,433.9,5.56,115.0,,35.5,,,,,,,,,
,,2008 - 2009,,,,151.0,,10.53,,,,,,,,,
,,2009 - 2010,32.0,317.0,9.91,145.0,,27.33,,,,,,,,,
,,2010 - 2011,99.0,681.2,6.88,160.0,,26.36,,,,,,,,,
,,2011 - 2012,2.0,41.2,20.6,130.0,,20.63,,,,,,,,,
,,2012 - 2013,53.0,548.8,10.35,141.0,,18.53,,,,,,,,,
,,2013 - 2014,,,,141.0,,18.53,,,,,,,,,
,,2014 - 2015,362.0,,8.84,,,,,,,,,,,,
,,2015 - 2016,,,,5.0,92.2,18.44,,,,,,,,,
,,2016 - 2017,327.0,,3.93,5.0,49.0,9.8,,,,,,,,,
,,2017 - 2018,333.0,,8.69,18.0,337.7,18.76,,,,,,,,,
,,2018 - 2019,,,,519.0,,8.32,,,,,,,,,
,,2019 - 2020,41.0,377.2,9.2,519.0,,5.94,,,,,,,,,
,,2020 - 2021,39.0,,31.77,519.0,,24.96,,,,,,,,,
,,2021 - 2022,,,,34.0,221.6,6.52,,,,,,,,,
,,2022 - 2023,,,,36.0,586.24,16.28,,,,,,,,,
,Kargil,2008 - 2009,,,,15.0,140.0,9.33,,,,,,,,,
,,2009 - 2010,9.0,84.1,9.34,15.0,139.9,9.33,,,,,,,,,
,,2010 - 2011,10.0,93.5,9.35,21.0,195.9,9.33,,,,,,,,,
,,2011 - 2012,43.0,402.1,9.35,25.0,233.2,9.33,,,,,,,,,
,,2012 - 2013,43.0,402.2,9.35,14.0,130.8,9.34,,,,,,,,,
,,2013 - 2014,,,,14.0,130.8,9.34,,,,,,,,,
,,2014 - 2015,56.0,523.8,9.35,,,,,,,,,,,,
,,2015 - 2016,4.0,,0.0,14.0,130.6,9.33,,,,,,,,,
,,2016 - 2017,4.0,37.4,9.35,18.0,167.9,9.33,,,,,,,,,
,,2017 - 2018,14.0,130.3,9.31,20.0,186.6,9.33,,,,,,,,,
,,2018 - 2019,35.0,325.7,9.31,152.0,466.5,3.07,,,,,,,,,
,Kathua,2001 - 2002,,,,,,,125.0,820.0,6.56,,,,,,
,,2002 - 2003,,,,,,,97.0,745.0,7.68,,,,,,
,,2003 - 2004,,,,,,,104.0,640.0,6.15,,,,,,
,,2005 - 2006,124.0,362.6,2.92,,,,,,,,,,,,
,,2006 - 2007,29.0,136.3,4.7,12.0,302.7,25.23,,,,,,,,,
,,2007 - 2008,135.0,660.1,4.89,12.0,302.7,25.23,,,,,,,,,
,,2008 - 2009,,,,11.0,267.2,24.29,,,,,,,,,
,,2009 - 2010,54.0,376.4,6.97,17.0,320.3,18.84,,,,,,,,,
,,2010 - 2011,167.0,,7.49,19.0,358.4,18.86,,,,,,,,,
,,2011 - 2012,91.0,228.7,2.51,7.0,69.7,9.96,,,,,,,,,
,,2012 - 2013,131.0,949.0,7.24,9.0,162.5,18.06,,,,,,,,,
,,2013 - 2014,,,,9.0,162.5,18.06,,,,,,,,,
,,2014 - 2015,136.0,482.6,3.55,,,,,,,,,,,,
,,2015 - 2016,120.0,438.9,3.66,17.0,209.2,12.31,,,,,,,,,
,,2016 - 2017,136.0,534.5,3.93,7.0,68.6,9.8,,,,,,,,,
,,2017 - 2018,108.0,461.7,4.28,2.0,22.8,11.4,,,,,,,,,
,,2018 - 2019,114.0,487.0,4.27,7.0,58.3,8.33,,,,,,,,,
,,2019 - 2020,130.0,,8.55,7.0,47.45,6.78,,,,,,,,,
,,2020 - 2021,134.0,,8.51,29.0,718.49,24.78,,,,,,,,,
,,2021 - 2022,,,,29.0,715.3,24.67,,,,,,,,,
,,2022 - 2023,,,,30.0,374.68,12.49,,,,,,,,,
,Kishtwar,2007 - 2008,5.0,13.2,2.64,,,,,,,,,,,,
,,2009 - 2010,16.0,72.8,4.55,,,,,,,,,,,,
,,2010 - 2011,30.0,206.4,6.88,,,,,,,,,,,,
,,2012 - 2013,95.0,964.2,10.15,,,,,,,,,,,,
,,2014 - 2015,106.0,,11.0,,,,,,,,,,,,
,,2016 - 2017,53.0,208.3,3.93,,,,,,,,,,,,
