state,district,year,potato_kharif_area_hectare,potato_kharif_production_tonne,potato_kharif_yield_tonne_per_hectare,potato_rabi_area_hectare,potato_rabi_production_tonne,potato_rabi_yield_tonne_per_hectare,potato_whole_year_area_hectare,potato_whole_year_production_tonne,potato_whole_year_yield_tonne_per_hectare,potato_winter_area_hectare,potato_winter_production_tonne,potato_winter_yield_tonne_per_hectare,potato_summer_area_hectare,potato_summer_production_tonne,potato_summer_yield_tonne_per_hectare
,,2018 - 2019,,,,,,,447.0,,4.81,,,,,,
,,2019 - 2020,,,,,,,448.0,,6.15,,,,,,
,,2020 - 2021,,,,,,,448.0,,6.17,,,,,,
,,2021 - 2022,,,,,,,458.0,,6.42,,,,,,
,,2022 - 2023,,,,,,,469.0,,6.42,,,,,,
,Tawang,2000 - 2001,,,,,,,,,5.12,,,,,,
,,2001 - 2002,,,,,,,,,5.0,,,,,,
,,2002 - 2003,,,,,,,,,5.0,,,,,,
,,2003 - 2004,,,,,,,,,5.5,,,,,,
,,2004 - 2005,,,,,,,808.0,,5.5,,,,,,
,,2005 - 2006,,,,,,,600.0,,6.0,,,,,,
,,2006 - 2007,,,,,,,500.0,,6.5,,,,,,
,,2007 - 2008,,,,,,,500.0,,6.5,,,,,,
,,2008 - 2009,,,,,,,460.0,,11.0,,,,,,
,,2009 - 2010,,,,,,,448.0,,11.0,,,,,,
,,2010 - 2011,,,,,,,450.0,,9.0,,,,,,
,,2011 - 2012,,,,,,,477.0,,9.48,,,,,,
