state,district,year,sunflower_rabi_area_hectare,sunflower_rabi_production_tonne,sunflower_rabi_yield_tonne_per_hectare,sunflower_kharif_area_hectare,sunflower_kharif_production_tonne,sunflower_kharif_yield_tonne_per_hectare,sunflower_whole_year_area_hectare,sunflower_whole_year_production_tonne,sunflower_whole_year_yield_tonne_per_hectare,sunflower_summer_area_hectare,sunflower_summer_production_tonne,sunflower_summer_yield_tonne_per_hectare
,,2016 - 2017,514.0,701.0,1.36,,,,,,,,,
,,2017 - 2018,236.0,333.0,1.41,,,,,,,,,
,,2018 - 2019,216.0,309.0,1.43,,,,,,,,,
,,2019 - 2020,30.0,37.0,1.23,,,,,,,,,
,,2021 - 2022,4.0,6.0,1.5,,,,,,,,,
,,2022 - 2023,29.0,45.0,1.55,,,,,,,,,
,Arwal,2003 - 2004,,,,8.0,11.0,1.38,,,,,,
,,2004 - 2005,,,,18.0,18.0,1.0,,,,,,
,,2005 - 2006,,,,2.0,2.0,1.0,,,,,,
,,2007 - 2008,13.0,19.0,1.46,,,,,,,,,
,,2008 - 2009,13.0,19.0,1.46,,,,,,,,,
,,2009 - 2010,33.0,46.0,1.39,,,,,,,,,
,,2010 - 2011,32.0,46.0,1.44,,,,,,,,,
,,2011 - 2012,34.0,49.0,1.44,,,,,,,,,
,Aurangabad,2000 - 2001,,,,51.0,75.0,1.47,,,,,,
,,2001 - 2002,,,,30.0,44.0,1.47,,,,,,
,,2002 - 2003,,,,3.0,4.0,1.33,,,,,,
,,2003 - 2004,,,,4.0,6.0,1.5,,,,,,
,,2007 - 2008,3.0,5.0,1.67,,,,,,,,,
,,2008 - 2009,3.0,5.0,1.67,,,,,,,,,
,,2009 - 2010,2.0,3.0,1.5,,,,,,,,,
