state,district,year,moong_rabi_area_hectare,moong_rabi_production_tonne,moong_rabi_yield_tonne_per_hectare,moong_kharif_area_hectare,moong_kharif_production_tonne,moong_kharif_yield_tonne_per_hectare,moong_summer_area_hectare,moong_summer_production_tonne,moong_summer_yield_tonne_per_hectare,moong_whole_year_area_hectare,moong_whole_year_production_tonne,moong_whole_year_yield_tonne_per_hectare,moong_autumn_area_hectare,moong_autumn_production_tonne,moong_autumn_yield_tonne_per_hectare,moong_winter_area_hectare,moong_winter_production_tonne,moong_winter_yield_tonne_per_hectare
,,2005 - 2006,,,0.49,380.0,263.0,0.69,,,,,,,,,,,,
,,2006 - 2007,,,0.53,109.0,42.0,0.39,,,,,,,,,,,,
,,2007 - 2008,,,0.25,,,,,,,,,,,,,,,
,,2008 - 2009,,,0.47,280.0,110.0,0.39,,,,,,,,,,,,
,,2009 - 2010,,,0.66,441.0,78.0,0.18,,,,,,,,,,,,
,,2010 - 2011,,,0.57,183.0,46.0,0.25,,,,,,,,,,,,
,,2011 - 2012,,,0.88,106.0,62.0,0.58,,,,,,,,,,,,
,,2012 - 2013,,,1.0,,,,,,,,,,,,,,,
,,2013 - 2014,,,0.82,464.0,191.0,0.41,,,,,,,,,,,,
,,2014 - 2015,,,0.73,634.0,425.0,0.67,,,,,,,,,,,,
,,2015 - 2016,,,0.95,,,0.99,,,,,,,,,,,,
,,2016 - 2017,,,0.23,350.0,343.0,0.98,,,,,,,,,,,,
,,2017 - 2018,,,0.7,201.0,234.0,1.16,,,,,,,,,,,,
,,2018 - 2019,,,1.02,146.0,212.0,1.45,,,,,,,,,,,,
,,2019 - 2020,,,1.21,110.0,89.0,0.81,,,,,,,,,,,,
,,2020 - 2021,,,1.31,49.0,35.0,0.71,,,,,,,,,,,,
,,2021 - 2022,,,1.24,34.0,40.0,1.18,,,,,,,,,,,,
,,2022 - 2023,8.0,10.0,1.25,,,,,,,,,,,,,,,
Arunachal Pradesh,Anjaw,2016 - 2017,,,,15.0,13.0,0.87,,,,,,,,,,,,
,,2017 - 2018,,,,10.0,14.0,1.4,,,,,,,,,,,,
,,2018 - 2019,,,,10.0,14.0,1.4,,,,,,,,,,,,
,,2019 - 2020,,,,10.0,18.0,1.8,,,,,,,,,,,,
,,2020 - 2021,,,,10.0,18.0,1.8,,,,,,,,,,,,
,,2021 - 2022,,,,10.0,8.0,0.8,,,,,,,,,,,,
,,2022 - 2023,,,,10.0,8.0,0.8,,,,,,,,,,,,
,Changlang,2016 - 2017,,,,61.0,63.0,1.03,,,,,,,,,,,,
,,2017 - 2018,,,,64.0,66.0,1.03,,,,,,,,,,,,
,,2018 - 2019,,,,64.0,66.0,1.03,,,,,,,,,,,,
,,2019 - 2020,,,,64.0,66.0,1.03,,,,,,,,,,,,
,,2020 - 2021,,,,64.0,66.0,1.03,,,,,,,,,,,,
,,2021 - 2022,,,,70.0,71.0,1.01,,,,,,,,,,,,
,,2022 - 2023,,,,85.0,86.0,1.01,,,,,,,,,,,,
,Dibang valley,2016 - 2017,,,,18.0,17.0,0.94,,,,,,,,,,,,
,,2017 - 2018,,,,14.0,17.0,1.21,,,,,,,,,,,,
,,2018 - 2019,,,,14.0,17.0,1.21,,,,,,,,,,,,
,,2019 - 2020,,,,14.0,17.0,1.21,,,,,,,,,,,,
,,2020 - 2021,,,,14.0,17.0,1.21,,,,,,,,,,,,
,,2021 - 2022,,,,14.0,13.0,0.93,,,,,,,,,,,,
,,2022 - 2023,,,,14.0,13.0,0.93,,,,,,,,,,,,
,East kameng,2016 - 2017,,,,105.0,110.0,1.05,,,,,,,,,,,,
,,2017 - 2018,,,,56.0,45.0,0.8,,,,,,,,,,,,
,,2018 - 2019,,,,113.0,122.0,1.08,,,,,,,,,,,,
,,2019 - 2020,,,,80.0,85.0,1.06,,,,,,,,,,,,
,,2020 - 2021,,,,80.0,85.0,1.06,,,,,,,,,,,,
,,2021 - 2022,,,,82.0,86.0,1.05,,,,,,,,,,,,
,,2022 - 2023,,,,84.0,89.0,1.06,,,,,,,,,,,,
,East siang,2016 - 2017,,,,101.0,74.0,0.73,,,,,,,,,,,,
,,2017 - 2018,,,,106.0,74.0,0.7,,,,,,,,,,,,
,,2018 - 2019,,,,72.0,71.0,0.99,,,,,,,,,,,,
,,2019 - 2020,,,,73.0,72.0,0.99,,,,,,,,,,,,
,,2020 - 2021,,,,73.0,72.0,0.99,,,,,,,,,,,,
,,2021 - 2022,,,,81.0,83.0,1.02,,,,,,,,,,,,
,,2022 - 2023,,,,86.0,89.0,1.03,,,,,,,,,,,,
,Kamle,2018 - 2019,,,,48.0,33.0,0.69,,,,,,,,,,,,
,,2019 - 2020,,,,49.0,35.0,0.71,,,,,,,,,,,,
,,2020 - 2021,,,,49.0,35.0,0.71,,,,,,,,,,,,
,,2021 - 2022,,,,19.0,16.0,0.84,,,,,,,,,,,,
,,2022 - 2023,,,,19.0,17.0,0.89,,,,,,,,,,,,
,Leparada,2019 - 2020,,,,10.0,9.0,0.9,,,,,,,,,,,,
,,2020 - 2021,,,,10.0,9.0,0.9,,,,,,,,,,,,
,,2021 - 2022,,,,11.0,10.0,0.91,,,,,,,,,,,,
,,2022 - 2023,,,,11.0,10.0,0.91,,,,,,,,,,,,
,Lohit,2016 - 2017,,,,204.0,171.0,0.84,,,,,,,,,,,,
,,2017 - 2018,,,,193.0,171.0,0.89,,,,,,,,,,,,
,,2018 - 2019,,,,193.0,171.0,0.89,,,,,,,,,,,,
,,2019 - 2020,,,,193.0,173.0,0.9,,,,,,,,,,,,
,,2020 - 2021,,,,193.0,173.0,0.9,,,,,,,,,,,,
,,2021 - 2022,,,,210.0,219.0,1.04,,,,,,,,,,,,
,,2022 - 2023,,,,215.0,221.0,1.03,,,,,,,,,,,,
,Longding,2016 - 2017,,,,14.0,12.0,0.86,,,,,,,,,,,,
,,2017 - 2018,,,,10.0,11.0,1.1,,,,,,,,,,,,
,,2018 - 2019,,,,10.0,11.0,1.1,,,,,,,,,,,,
,,2019 - 2020,,,,10.0,11.0,1.1,,,,,,,,,,,,
,,2020 - 2021,,,,10.0,11.0,1.1,,,,,,,,,,,,
,,2021 - 2022,,,,10.0,8.0,0.8,,,,,,,,,,,,
,,2022 - 2023,,,,10.0,8.0,0.8,,,,,,,,,,,,
,Lower dibang valley,2016 - 2017,,,,89.0,93.0,1.04,,,,,,,,,,,,
,,2017 - 2018,,,,95.0,101.0,1.06,,,,,,,,,,,,
,,2018 - 2019,,,,95.0,101.0,1.06,,,,,,,,,,,,
,,2019 - 2020,,,,95.0,102.0,1.07,,,,,,,,,,,,
,,2020 - 2021,,,,95.0,102.0,1.07,,,,,,,,,,,,
,,2021 - 2022,,,,97.0,103.0,1.06,,,,,,,,,,,,
,,2022 - 2023,,,,97.0,104.0,1.07,,,,,,,,,,,,
,Lower siang,2018 - 2019,,,,59.0,33.0,0.56,,,,,,,,,,,,
,,2019 - 2020,,,,59.0,30.0,0.51,,,,,,,,,,,,
,,2020 - 2021,,,,59.0,30.0,0.51,,,,,,,,,,,,
,,2021 - 2022,,,,60.0,65.0,1.08,,,,,,,,,,,,
,,2022 - 2023,,,,60.0,66.0,1.1,,,,,,,,,,,,
,Lower subansiri,2016 - 2017,,,,57.0,55.0,0.96,,,,,,,,,,,,
,,2018 - 2019,,,,35.0,54.0,1.54,,,,,,,,,,,,
,,2019 - 2020,,,,35.0,55.0,1.57,,,,,,,,,,,,
,,2020 - 2021,,,,35.0,55.0,1.57,,,,,,,,,,,,
,,2021 - 2022,,,,37.0,39.0,1.05,,,,,,,,,,,,
,,2022 - 2023,,,,37.0,40.0,1.08,,,,,,,,,,,,
,Namsai,2016 - 2017,,,,192.0,122.0,0.64,,,,,,,,,,,,
,,2017 - 2018,,,,207.0,122.0,0.59,,,,,,,,,,,,
,,2018 - 2019,,,,207.0,122.0,0.59,,,,,,,,,,,,
,,2019 - 2020,,,,207.0,122.0,0.59,,,,,,,,,,,,
,,2020 - 2021,,,,207.0,122.0,0.59,,,,,,,,,,,,
,,2021 - 2022,,,,217.0,209.0,0.96,,,,,,,,,,,,
,,2022 - 2023,,,,217.0,211.0,0.97,,,,,,,,,,,,
,Pakke kessang,2019 - 2020,,,,34.0,37.0,1.09,,,,,,,,,,,,
,,2020 - 2021,,,,34.0,37.0,1.09,,,,,,,,,,,,
,,2021 - 2022,,,,36.0,38.0,1.06,,,,,,,,,,,,
,,2022 - 2023,,,,38.0,40.0,1.05,,,,,,,,,,,,
,Papum pare,2016 - 2017,,,,48.0,45.0,0.94,,,,,,,,,,,,
,,2017 - 2018,,,,65.0,54.0,0.83,,,,,,,,,,,,
,,2018 - 2019,,,,56.0,45.0,0.8,,,,,,,,,,,,
,,2019 - 2020,,,,56.0,46.0,0.82,,,,,,,,,,,,
,,2020 - 2021,,,,56.0,46.0,0.82,,,,,,,,,,,,
,,2021 - 2022,,,,59.0,65.0,1.1,,,,,,,,,,,,
,,2022 - 2023,,,,61.0,68.0,1.11,,,,,,,,,,,,
,Siang,2016 - 2017,,,,44.0,42.0,0.95,,,,,,,,,,,,
,,2017 - 2018,,,,18.0,41.0,2.28,,,,,,,,,,,,
,,2018 - 2019,,,,38.0,41.0,1.08,,,,,,,,,,,,
,,2019 - 2020,,,,38.0,41.0,1.08,,,,,,,,,,,,
,,2020 - 2021,,,,38.0,41.0,1.08,,,,,,,,,,,,
,,2021 - 2022,,,,41.0,46.0,1.12,,,,,,,,,,,,
,,2022 - 2023,,,,41.0,47.0,1.15,,,,,,,,,,,,
,Tawang,2016 - 2017,,,,171.0,272.0,1.59,,,,,,,,,,,,
,,2017 - 2018,,,,172.0,273.0,1.59,,,,,,,,,,,,
,,2018 - 2019,,,,172.0,273.0,1.59,,,,,,,,,,,,
,,2019 - 2020,,,,174.0,275.0,1.58,,,,,,,,,,,,
,,2020 - 2021,,,,174.0,275.0,1.58,,,,,,,,,,,,
,,2021 - 2022,,,,179.0,198.0,1.11,,,,,,,,,,,,
,,2022 - 2023,,,,181.0,201.0,1.11,,,,,,,,,,,,
,Tirap,2016 - 2017,,,,17.0,15.0,0.88,,,,,,,,,,,,
,,2017 - 2018,,,,11.0,15.0,1.36,,,,,,,,,,,,
,,2018 - 2019,,,,11.0,15.0,1.36,,,,,,,,,,,,
,,2019 - 2020,,,,11.0,15.0,1.36,,,,,,,,,,,,
,,2020 - 2021,,,,11.0,15.0,1.36,,,,,,,,,,,,
,,2021 - 2022,,,,14.0,12.0,0.86,,,,,,,,,,,,
,,2022 - 2023,,,,14.0,12.0,0.86,,,,,,,,,,,,
,Upper siang,2016 - 2017,,,,40.0,45.0,1.13,,,,,,,,,,,,
,,2017 - 2018,,,,32.0,42.0,1.31,,,,,,,,,,,,
,,2018 - 2019,,,,37.0,42.0,1.14,,,,,,,,,,,,
,,2019 - 2020,,,,37.0,42.0,1.14,,,,,,,,,,,,
,,2020 - 2021,,,,37.0,42.0,1.14,,,,,,,,,,,,
,,2021 - 2022,,,,38.0,44.0,1.16,,,,,,,,,,,,
,,2022 - 2023,,,,40.0,45.0,1.13,,,,,,,,,,,,
,Upper subansiri,2016 - 2017,,,,63.0,82.0,1.3,,,,,,,,,,,,
,,2017 - 2018,,,,50.0,86.0,1.72,,,,,,,,,,,,
,,2018 - 2019,,,,57.0,83.0,1.46,,,,,,,,,,,,
,,2019 - 2020,,,,57.0,84.0,1.47,,,,,,,,,,,,
,,2020 - 2021,,,,57.0,84.0,1.47,,,,,,,,,,,,
,,2021 - 2022,,,,60.0,63.0,1.05,,,,,,,,,,,,
,,2022 - 2023,,,,60.0,64.0,1.07,,,,,,,,,,,,
,West kameng,2017 - 2018,,,,113.0,122.0,1.08,,,,,,,,,,,,
,West siang,2016 - 2017,,,,48.0,46.0,0.96,,,,,,,,,,,,
,,2017 - 2018,,,,52.0,45.0,0.87,,,,,,,,,,,,
,,2018 - 2019,,,,22.0,25.0,1.14,,,,,,,,,,,,
,,2019 - 2020,,,,12.0,19.0,1.58,,,,,,,,,,,,
,,2020 - 2021,,,,12.0,19.0,1.58,,,,,,,,,,,,
,,2021 - 2022,,,,13.0,12.0,0.92,,,,,,,,,,,,
,,2022 - 2023,,,,13.0,12.0,0.92,,,,,,,,,,,,
Assam,Baksa,2005 - 2006,295.0,126.0,0.43,,,,,,,,,,,,,,,
,,2006 - 2007,322.0,137.0,0.43,,,,,,,,,,,,,,,
,,2007 - 2008,325.0,138.0,0.42,,,,,,,,,,,,,,,
,,2008 - 2009,180.0,75.0,0.42,,,,,,,,,,,,,,,
,,2009 - 2010,276.0,117.0,0.42,,,,,,,,,,,,,,,
,,2010 - 2011,259.0,110.0,0.42,,,,,,,,,,,,,,,
,,2011 - 2012,282.0,136.0,0.48,,,,,,,,,,,,,,,
,,2012 - 2013,288.0,155.0,0.54,,,,,,,,,,,,,,,
,,2013 - 2014,288.0,210.0,0.73,,,,,,,,,,,,,,,
,,2014 - 2015,127.0,76.0,0.6,,,,,,,,,,,,,,,
,,2015 - 2016,120.0,92.0,0.77,,,,,,,,,,,,,,,
,,2016 - 2017,130.0,73.0,0.56,,,,,,,,,,,,,,,
,,2017 - 2018,142.0,110.0,0.77,,,,,,,,,,,,,,,
,,2018 - 2019,142.0,84.0,0.59,,,,,,,,,,,,,,,
,,2019 - 2020,142.0,126.0,0.89,,,,,,,,,,,,,,,
,,2020 - 2021,160.0,142.0,0.89,,,,,,,,,,,,,,,
,,2021 - 2022,151.0,134.0,0.89,,,,,,,,,,,,,,,
,,2022 - 2023,157.0,140.0,0.89,,,,,,,,,,,,,,,
,Barpeta,2001 - 2002,,548.0,0.48,,,,,,,,,,,,,,,
,,2002 - 2003,,512.0,0.48,,,,,,,,,,,,,,,
,,2003 - 2004,,514.0,0.48,,,,,,,,,,,,,,,
,,2004 - 2005,820.0,394.0,0.48,,,,,,,,,,,,,,,
,,2005 - 2006,692.0,333.0,0.48,,,,,,,,,,,,,,,
,,2006 - 2007,841.0,403.0,0.48,,,,,,,,,,,,,,,
,,2007 - 2008,855.0,411.0,0.48,,,,,,,,,,,,,,,
,,2008 - 2009,418.0,196.0,0.47,,,,,,,,,,,,,,,
,,2009 - 2010,740.0,353.0,0.48,,,,,,,,,,,,,,,
,,2010 - 2011,393.0,188.0,0.48,,,,,,,,,,,,,,,
,,2011 - 2012,374.0,202.0,0.54,,,,,,,,,,,,,,,
,,2012 - 2013,402.0,242.0,0.6,,,,,,,,,,,,,,,
,,2013 - 2014,378.0,197.0,0.52,,,,,,,,,,,,,,,
,,2014 - 2015,385.0,256.0,0.66,,,,,,,,,,,,,,,
,,2015 - 2016,358.0,258.0,0.72,,,,,,,,,,,,,,,
,,2016 - 2017,349.0,221.0,0.63,,,,,,,,,,,,,,,
,,2017 - 2018,629.0,394.0,0.63,,,,,,,,,,,,,,,
,,2018 - 2019,303.0,185.0,0.61,,,,,,,,,,,,,,,
,,2019 - 2020,352.0,214.0,0.61,,,,,,,,,,,,,,,
,,2020 - 2021,351.0,215.0,0.61,,,,,,,,,,,,,,,
,,2021 - 2022,335.0,227.0,0.68,,,,,,,,,,,,,,,
,,2022 - 2023,318.0,219.0,0.69,,,,,,,,,,,,,,,
,Biswanath,2020 - 2021,508.0,508.0,1.0,,,,,,,,,,,,,,,
,,2021 - 2022,594.0,593.0,1.0,,,,,,,,,,,,,,,
,,2022 - 2023,859.0,855.0,1.0,,,,,,,,,,,,,,,
,Bongaigaon,2001 - 2002,273.0,118.0,0.43,,,,,,,,,,,,,,,
,,2002 - 2003,330.0,146.0,0.44,,,,,,,,,,,,,,,
,,2003 - 2004,303.0,133.0,0.44,,,,,,,,,,,,,,,
,,2004 - 2005,282.0,122.0,0.43,,,,,,,,,,,,,,,
,,2005 - 2006,202.0,84.0,0.42,,,,,,,,,,,,,,,
,,2006 - 2007,201.0,82.0,0.41,,,,,,,,,,,,,,,
,,2007 - 2008,195.0,80.0,0.41,,,,,,,,,,,,,,,
,,2008 - 2009,185.0,74.0,0.4,,,,,,,,,,,,,,,
,,2009 - 2010,194.0,80.0,0.41,,,,,,,,,,,,,,,
,,2010 - 2011,188.0,76.0,0.4,,,,,,,,,,,,,,,
,,2011 - 2012,185.0,87.0,0.47,,,,,,,,,,,,,,,
,,2012 - 2013,227.0,123.0,0.54,,,,,,,,,,,,,,,
,,2013 - 2014,481.0,317.0,0.66,,,,,,,,,,,,,,,
,,2014 - 2015,431.0,256.0,0.59,,,,,,,,,,,,,,,
,,2015 - 2016,474.0,217.0,0.46,,,,,,,,,,,,,,,
,,2016 - 2017,545.0,361.0,0.66,,,,,,,,,,,,,,,
,,2017 - 2018,478.0,346.0,0.72,,,,,,,,,,,,,,,
,,2018 - 2019,498.0,211.0,0.42,,,,,,,,,,,,,,,
,,2019 - 2020,396.0,166.0,0.42,,,,,,,,,,,,,,,
,,2020 - 2021,404.0,226.0,0.56,,,,,,,,,,,,,,,
,,2021 - 2022,648.0,361.0,0.56,,,,,,,,,,,,,,,
,,2022 - 2023,669.0,274.0,0.41,,,,,,,,,,,,,,,
,Cachar,2001 - 2002,19.0,8.0,0.42,,,,,,,,,,,,,,,
,,2002 - 2003,21.0,10.0,0.48,,,,,,,,,,,,,,,
,,2003 - 2004,23.0,11.0,0.48,,,,,,,,,,,,,,,
,,2004 - 2005,31.0,17.0,0.55,,,,,,,,,,,,,,,
,,2005 - 2006,35.0,19.0,0.54,,,,,,,,,,,,,,,
,,2006 - 2007,38.0,19.0,0.5,,,,,,,,,,,,,,,
,,2007 - 2008,37.0,18.0,0.49,,,,,,,,,,,,,,,
,,2008 - 2009,34.0,17.0,0.5,,,,,,,,,,,,,,,
,,2009 - 2010,35.0,18.0,0.51,,,,,,,,,,,,,,,
,,2010 - 2011,34.0,17.0,0.5,,,,,,,,,,,,,,,
,,2011 - 2012,32.0,18.0,0.56,,,,,,,,,,,,,,,
,,2012 - 2013,33.0,19.0,0.58,,,,,,,,,,,,,,,
,,2013 - 2014,35.0,21.0,0.6,,,,,,,,,,,,,,,
,,2014 - 2015,36.0,23.0,0.64,,,,,,,,,,,,,,,
,,2015 - 2016,34.0,22.0,0.65,,,,,,,,,,,,,,,
,,2016 - 2017,35.0,23.0,0.66,,,,,,,,,,,,,,,
,,2017 - 2018,36.0,24.0,0.67,,,,,,,,,,,,,,,
,,2018 - 2019,37.0,29.0,0.78,,,,,,,,,,,,,,,
,,2019 - 2020,41.0,32.0,0.78,,,,,,,,,,,,,,,
,,2020 - 2021,42.0,33.0,0.79,,,,,,,,,,,,,,,
,,2021 - 2022,54.0,42.0,0.78,,,,,,,,,,,,,,,
,,2022 - 2023,530.0,239.0,0.45,,,,,,,,,,,,,,,
,Charaideo,2020 - 2021,23.0,15.0,0.65,,,,,,,,,,,,,,,
,,2021 - 2022,28.0,19.0,0.68,,,,,,,,,,,,,,,
,,2022 - 2023,39.0,26.0,0.67,,,,,,,,,,,,,,,
,Chirang,2005 - 2006,156.0,64.0,0.41,,,,,,,,,,,,,,,
,,2006 - 2007,94.0,39.0,0.41,,,,,,,,,,,,,,,
,,2007 - 2008,110.0,45.0,0.41,,,,,,,,,,,,,,,
,,2008 - 2009,118.0,48.0,0.41,,,,,,,,,,,,,,,
,,2009 - 2010,145.0,59.0,0.41,,,,,,,,,,,,,,,
,,2010 - 2011,143.0,58.0,0.41,,,,,,,,,,,,,,,
,,2011 - 2012,129.0,62.0,0.48,,,,,,,,,,,,,,,
,,2012 - 2013,124.0,66.0,0.53,,,,,,,,,,,,,,,
,,2013 - 2014,119.0,55.0,0.46,,,,,,,,,,,,,,,
,,2014 - 2015,127.0,76.0,0.6,,,,,,,,,,,,,,,
,,2015 - 2016,116.0,56.0,0.48,,,,,,,,,,,,,,,
,,2016 - 2017,60.0,37.0,0.62,,,,,,,,,,,,,,,
,,2017 - 2018,45.0,22.0,0.49,,,,,,,,,,,,,,,
,,2018 - 2019,74.0,59.0,0.8,,,,,,,,,,,,,,,
,,2019 - 2020,76.0,47.0,0.62,,,,,,,,,,,,,,,
,,2020 - 2021,77.0,47.0,0.61,,,,,,,,,,,,,,,
,,2021 - 2022,237.0,214.0,0.9,,,,,,,,,,,,,,,
,,2022 - 2023,492.0,275.0,0.56,,,,,,,,,,,,,,,
,Darrang,2001 - 2002,885.0,449.0,0.51,,,,,,,,,,,,,,,
,,2002 - 2003,880.0,447.0,0.51,,,,,,,,,,,,,,,
,,2003 - 2004,860.0,444.0,0.52,,,,,,,,,,,,,,,
,,2004 - 2005,,562.0,0.52,,,,,,,,,,,,,,,
,,2005 - 2006,469.0,238.0,0.51,,,,,,,,,,,,,,,
,,2006 - 2007,240.0,122.0,0.51,,,,,,,,,,,,,,,
,,2007 - 2008,325.0,165.0,0.51,,,,,,,,,,,,,,,
,,2008 - 2009,177.0,90.0,0.51,,,,,,,,,,,,,,,
,,2009 - 2010,160.0,81.0,0.51,,,,,,,,,,,,,,,
,,2010 - 2011,217.0,110.0,0.51,,,,,,,,,,,,,,,
,,2011 - 2012,498.0,284.0,0.57,,,,,,,,,,,,,,,
,,2012 - 2013,474.0,269.0,0.57,,,,,,,,,,,,,,,
,,2013 - 2014,426.0,383.0,0.9,,,,,,,,,,,,,,,
,,2014 - 2015,397.0,249.0,0.63,,,,,,,,,,,,,,,
,,2015 - 2016,401.0,262.0,0.65,,,,,,,,,,,,,,,
,,2016 - 2017,346.0,226.0,0.65,,,,,,,,,,,,,,,
,,2017 - 2018,381.0,342.0,0.9,,,,,,,,,,,,,,,
,,2018 - 2019,360.0,324.0,0.9,,,,,,,,,,,,,,,
,,2019 - 2020,454.0,408.0,0.9,,,,,,,,,,,,,,,
,,2020 - 2021,409.0,306.0,0.75,,,,,,,,,,,,,,,
,,2021 - 2022,416.0,325.0,0.78,,,,,,,,,,,,,,,
,,2022 - 2023,441.0,372.0,0.84,,,,,,,,,,,,,,,
,Dhemaji,2001 - 2002,53.0,27.0,0.51,,,,,,,,,,,,,,,
,,2002 - 2003,75.0,40.0,0.53,,,,,,,,,,,,,,,
,,2003 - 2004,76.0,40.0,0.53,,,,,,,,,,,,,,,
,,2004 - 2005,81.0,43.0,0.53,,,,,,,,,,,,,,,
,,2005 - 2006,75.0,40.0,0.53,,,,,,,,,,,,,,,
,,2006 - 2007,71.0,37.0,0.52,,,,,,,,,,,,,,,
,,2007 - 2008,75.0,40.0,0.53,,,,,,,,,,,,,,,
,,2008 - 2009,73.0,39.0,0.53,,,,,,,,,,,,,,,
,,2009 - 2010,81.0,42.0,0.52,,,,,,,,,,,,,,,
,,2010 - 2011,229.0,128.0,0.56,,,,,,,,,,,,,,,
,,2011 - 2012,249.0,147.0,0.59,,,,,,,,,,,,,,,
,,2012 - 2013,250.0,158.0,0.63,,,,,,,,,,,,,,,
,,2013 - 2014,367.0,235.0,0.64,,,,,,,,,,,,,,,
,,2014 - 2015,581.0,391.0,0.67,,,,,,,,,,,,,,,
,,2015 - 2016,314.0,222.0,0.71,,,,,,,,,,,,,,,
,,2016 - 2017,240.0,169.0,0.7,,,,,,,,,,,,,,,
,,2017 - 2018,235.0,165.0,0.7,,,,,,,,,,,,,,,
,,2018 - 2019,230.0,148.0,0.64,,,,,,,,,,,,,,,
,,2019 - 2020,202.0,189.0,0.94,,,,,,,,,,,,,,,
,,2020 - 2021,202.0,155.0,0.77,,,,,,,,,,,,,,,
,,2021 - 2022,196.0,124.0,0.63,,,,,,,,,,,,,,,
,,2022 - 2023,112.0,63.0,0.56,,,,,,,,,,,,,,,
,Dhubri,2001 - 2002,243.0,131.0,0.54,,,,,,,,,,,,,,,
,,2002 - 2003,220.0,119.0,0.54,,,,,,,,,,,,,,,
,,2003 - 2004,207.0,111.0,0.54,,,,,,,,,,,,,,,
,,2004 - 2005,163.0,88.0,0.54,,,,,,,,,,,,,,,
,,2005 - 2006,128.0,68.0,0.53,,,,,,,,,,,,,,,
,,2006 - 2007,125.0,68.0,0.54,,,,,,,,,,,,,,,
,,2007 - 2008,147.0,79.0,0.54,,,,,,,,,,,,,,,
,,2008 - 2009,138.0,72.0,0.52,,,,,,,,,,,,,,,
,,2009 - 2010,104.0,56.0,0.54,,,,,,,,,,,,,,,
,,2010 - 2011,95.0,51.0,0.54,,,,,,,,,,,,,,,
,,2011 - 2012,145.0,90.0,0.62,,,,,,,,,,,,,,,
,,2012 - 2013,119.0,82.0,0.69,,,,,,,,,,,,,,,
,,2013 - 2014,114.0,89.0,0.78,,,,,,,,,,,,,,,
,,2014 - 2015,126.0,97.0,0.77,,,,,,,,,,,,,,,
,,2015 - 2016,115.0,128.0,1.11,,,,,,,,,,,,,,,
,,2016 - 2017,118.0,105.0,0.89,,,,,,,,,,,,,,,
,,2017 - 2018,120.0,120.0,1.0,,,,,,,,,,,,,,,
,,2018 - 2019,103.0,107.0,1.04,,,,,,,,,,,,,,,
,,2019 - 2020,95.0,98.0,1.03,,,,,,,,,,,,,,,
,,2020 - 2021,36.0,38.0,1.06,,,,,,,,,,,,,,,
,,2021 - 2022,36.0,38.0,1.06,,,,,,,,,,,,,,,
,,2022 - 2023,165.0,174.0,1.05,,,,,,,,,,,,,,,
,Dibrugarh,2001 - 2002,185.0,85.0,0.46,,,,,,,,,,,,,,,
,,2002 - 2003,106.0,48.0,0.45,,,,,,,,,,,,,,,
,,2003 - 2004,103.0,47.0,0.46,,,,,,,,,,,,,,,
,,2004 - 2005,107.0,49.0,0.46,,,,,,,,,,,,,,,
,,2005 - 2006,13.0,6.0,0.46,,,,,,,,,,,,,,,
,,2006 - 2007,20.0,9.0,0.45,,,,,,,,,,,,,,,
,,2007 - 2008,22.0,10.0,0.45,,,,,,,,,,,,,,,
,,2008 - 2009,20.0,9.0,0.45,,,,,,,,,,,,,,,
,,2009 - 2010,59.0,27.0,0.46,,,,,,,,,,,,,,,
,,2010 - 2011,70.0,32.0,0.46,,,,,,,,,,,,,,,
,,2011 - 2012,75.0,39.0,0.52,,,,,,,,,,,,,,,
,,2012 - 2013,118.0,68.0,0.58,,,,,,,,,,,,,,,
,,2013 - 2014,115.0,58.0,0.5,,,,,,,,,,,,,,,
,,2014 - 2015,91.0,58.0,0.64,,,,,,,,,,,,,,,
,,2015 - 2016,60.0,44.0,0.73,,,,,,,,,,,,,,,
,,2016 - 2017,70.0,52.0,0.74,,,,,,,,,,,,,,,
,,2017 - 2018,74.0,55.0,0.74,,,,,,,,,,,,,,,
,,2018 - 2019,63.0,37.0,0.59,,,,,,,,,,,,,,,
,,2019 - 2020,90.0,53.0,0.59,,,,,,,,,,,,,,,
,,2020 - 2021,93.0,56.0,0.6,,,,,,,,,,,,,,,
,,2021 - 2022,75.0,27.0,0.36,,,,,,,,,,,,,,,
,,2022 - 2023,75.0,53.0,0.71,,,,,,,,,,,,,,,
,Dima hasao,2001 - 2002,81.0,38.0,0.47,,,,,,,,,,,,,,,
,,2002 - 2003,84.0,39.0,0.46,,,,,,,,,,,,,,,
,,2003 - 2004,84.0,39.0,0.46,,,,,,,,,,,,,,,
,,2004 - 2005,85.0,40.0,0.47,,,,,,,,,,,,,,,
,,2005 - 2006,85.0,40.0,0.47,,,,,,,,,,,,,,,
,,2006 - 2007,85.0,40.0,0.47,,,,,,,,,,,,,,,
,,2007 - 2008,87.0,41.0,0.47,,,,,,,,,,,,,,,
,,2008 - 2009,83.0,40.0,0.48,,,,,,,,,,,,,,,
,,2009 - 2010,90.0,42.0,0.47,,,,,,,,,,,,,,,
,,2010 - 2011,99.0,47.0,0.47,,,,,,,,,,,,,,,
,,2011 - 2012,117.0,62.0,0.53,,,,,,,,,,,,,,,
,,2012 - 2013,105.0,62.0,0.59,,,,,,,,,,,,,,,
,,2013 - 2014,115.0,69.0,0.6,,,,,,,,,,,,,,,
,,2014 - 2015,84.0,55.0,0.65,,,,,,,,,,,,,,,
